@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R7-10,22-23,27,31-34,37,39,45,49,53,55-56,58'

@attribute Word_freq_remove numeric
@attribute Word_freq_internet numeric
@attribute Word_freq_order numeric
@attribute Word_freq_mail numeric
@attribute Word_freq_font numeric
@attribute Word_freq_000 numeric
@attribute Word_freq_george numeric
@attribute Word_freq_telnet numeric
@attribute Word_freq_857 numeric
@attribute Word_freq_data numeric
@attribute Word_freq_415 numeric
@attribute Word_freq_1999 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_re numeric
@attribute Char_freq1 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.331,2.287,14,0
0,0,0,0,0,0,1.19,0,0.59,0,0.59,0.59,0,0.59,0,0,1.818,22,0
0,0,0,1.28,0,0,1.92,0,0.64,0,0.64,1.28,0.64,0.64,0.104,0,1.888,22,0
0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,1.937,8,0
0,0,0,0,0,0,1.4,0,0.7,0,0.7,0,0,1.4,0,0,1.682,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,0,0,1.25,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,0
0.14,0.14,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,5.331,80,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857,5,0
0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,3.037,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,4.333,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0,1.076,2,0
0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,2.646,77,0
0,0,0,0,0,0,2.56,1.28,1.28,0,1.28,0,0,0,0,0,2.142,11,0
0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,1.074,3,0
0,0.88,0,0.17,0,0,0.35,0.17,0.17,0.17,0.17,0.17,0,0.17,0,0,1.472,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,1.69,0,0,0,0,0,1.69,1.69,0,0.63,3.083,12,0
0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,2.166,5,0
0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,1.663,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.768,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,9,0
0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,1.433,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0.13,0.3,0,0,0,0.02,0,0,0.27,0,0.41,0.13,0,0.166,0.007,2.984,52,0
0,0,0,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545,4,0
0,0,0,0,0,0,0,0,0,0,0,1.94,1.94,1.94,0.147,0,1.789,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,4,0
0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,1.3,3,0
0,0,0,0.45,0,0,0,0.45,0,0,0,0,0,0,0,0.024,4.223,157,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,8,0
0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,2.157,11,0
0,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0.03,0,2.426,76,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0
0,0.13,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.028,0,2.341,22,0
0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,2.12,0,0,0,0,0,0,2.12,0,0,1.142,2,0
0,0,0,0,0,0,2.38,0,0,0,0,0,0,2.38,0,0,1.666,9,0
0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.857,11,0
0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.857,11,0
0,0,0.34,0.17,0,0,0.17,0,0,0,0,0.34,0,0,0.466,0,2.926,48,0
0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,1.9,12,0
0,0.28,0,0,0,0.09,0,0,0,0,0,0.28,0,0.37,0.014,0,1.877,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,7,0
0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3.333,8,0
0,0,0,0,0,0,1.66,0,0,0,0,1.66,0,0,0,0,1.722,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.347,10,0
0,0,0,0,0,0,1.4,0,0,1.4,0,0,0,0,0,0,2.653,15,0
0,0,0,0,0,0,0,0,0,0,0,0.38,0.19,0,0.066,0.044,1.759,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,0
0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1.37,0,0,0,0.34,0,0,1.784,18,0
0,0,0,0,0,0,0.9,0.9,0.9,0,0.9,0,0,0,0,0,2.15,11,0
0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1.176,3,0
0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,4,0
0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.037,1.531,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.277,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,1.197,6,0
0,0.42,0,0,0,0,0,0,0,0.14,0,0.28,0,0,0.08,0.04,2.275,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,3.97,0,0.66,0,0,0,0,0,0,0,1.32,0,0.66,0.11,0,2.857,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0.83,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,1.969,13,0
0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,1.545,7,0
0,0,0,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,1.333,3,0
0,0,0,0,0,0,0.31,0,0,1.57,0,0.31,0.31,0.62,0.164,0.054,1.671,13,0
0,0.1,0,0,0,0.1,0,0,0,0,0,0.31,0,0,0.079,0.063,2.542,26,0
0,0,0,0,0,0,1.12,0,0,0,0,0,0,1.12,0,0,1.214,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,1.76,6,0
0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,1.285,3,0
0,0,0,0,0,0,0.91,0,0,0,0,0,0,0.91,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.888,29,0
0,0,0,0,0,0,0.67,0.33,0.33,0.33,0.33,0.33,0.33,1.35,0,0,2.068,12,0
0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.4,0,0,1.156,3,0
0,0,0.61,0,0,0,0.06,0,0,0.27,0,0.47,0,0,0.173,0.019,2.738,36,0
0,0,0,0.72,0,0,0,0,0,0,0,0.72,0.72,0.72,0,0,2.431,12,0
0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,1,1,0
0,0.04,0.04,0.08,0,0.02,0,0,0,1.67,0,0.82,0.04,0,0.005,0.039,2.246,54,0
0,0,0,0.74,0,0,0,0,0,0,0,1.11,0,0,0,0,4.666,64,0
0,1.17,0,4.7,0,0,1.17,0,0,0,0,0,0,1.17,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1.44,0,1.6,0,0,0.208,0,4.122,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.928,15,0
0,0,0,0,0,0,1.16,0,0,1.16,0,0,0,1.16,0.196,0,1.058,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.842,15,0
0,0,0,0,0,0,1.72,0,0,0,0,0,0,1.72,0,0,1.2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0,2.25,10,0
0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,1.25,2,0
0,0,0,0,0,0,0,0,0,1.03,0,0.51,0,0,0,0,1.681,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.285,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,1.545,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,1.684,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,2.85,0,2.85,0,0,1.294,5,0
0,0,0,0,0,0,0,0,0,0,0,0.86,0.28,0.86,0,0,2.557,16,0
0,0,0,0,0,0,0,0,0,0,0,1.21,0,1.21,0,0,1.406,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,1.076,2,0
0,0.27,0,0,0,0,0,0,0,0.13,0,0,0,0.82,0,0,1.279,11,0
0,0,0.35,0,1.05,0,0,0,0,0,0,0.35,0,0,0,0,2.483,17,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.145,0,2.638,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,1.523,5,0
0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.15,0.013,0,1.111,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.508,47,0
0,0,0.27,0.55,0,0,0,0,0,0,0,0,0,0.27,0,0,1.873,47,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.857,2.918,47,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,2.457,47,0
0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0.065,2.89,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.172,9,0
0,0,0,2.27,0,0,0,0,0,0,0,0,2.27,2.27,0,0,1.2,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,1.222,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,2.5,24,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,1.142,3,0
0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0.285,3.714,19,0
0,0,0,0.11,0,0,0,0,0,0,0,0.11,0,0.33,0.017,0,2.944,63,0
0,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0,0,6.09,71,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,2,0
0.68,0,0,0.34,0,0,0,0,0,0.34,0,0,0,0,0,0.048,1.405,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.22,0.014,0,1.111,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.27,0,0,1.409,17,0
0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,6.137,107,0
0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,1.203,8,0
0,0,0.58,0,0,0,0,0,0,0,0,0,0.58,0,0,0,1.702,16,0
0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,1.769,27,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1.247,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,1.222,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.176,15,0
0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.19,0.086,0,3.377,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.04,0,2,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,1.555,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1.666,4,0
0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,2,0
0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,1.714,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.025,0.008,1.318,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
