@relation phoneme

@attribute Ao numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.617,0.251,1.041,0
2.039,-0.492,-0.188,0
1.345,1.822,0.693,0
0.46,0.684,-0.74,0
1.03,2.133,-0.391,0
0.494,-0.522,-0.643,0
0.306,0.559,2.143,0
1.453,2.313,-0.639,0
0.473,1.178,1.742,0
1.985,-0.373,0.448,0
1.211,1.85,-0.578,0
0.824,1.225,2.058,0
0.651,-0.107,0.128,0
0.961,2.531,-0.704,0
0.77,-0.12,0.075,0
1.08,2.079,-0.517,0
2.045,-0.306,-0.163,0
2.116,1.494,0.734,0
0.299,-0.098,0.085,0
1.309,1.846,0.741,0
2.718,-0.422,0.257,0
1.45,0.538,1.677,0
0.813,1.764,1.109,0
2.057,-0.42,0.286,0
1.922,-0.293,0.174,0
2.281,-0.331,0.287,0
0.966,0.467,0.455,0
2.892,-0.548,-0.239,0
-0.273,0.17,0.27,0
1.627,-0.29,0.171,0
1.079,2.757,-0.688,0
1.473,1.838,0.714,0
1.221,1.189,1.071,0
2.061,-0.344,-0.179,0
0.342,0.575,2.155,0
2.546,1.536,-0.43,0
2.369,-0.472,-0.198,0
2.757,-0.421,0.513,0
1.72,1.373,-0.39,0
1.239,2.361,-0.652,0
2.467,-0.428,-0.213,0
-0.245,0.444,0.171,0
-0.321,-0.732,1.244,0
2.421,-0.499,-0.284,0
2.222,-0.437,-0.362,0
1.743,-0.315,-0.404,0
1.128,0.42,-0.215,0
0.911,0.354,0.189,0
1.719,0.384,0.37,0
2.181,-0.506,0.329,0
1.824,1.135,0.347,0
1.226,-0.265,0.1,0
1.585,0.878,-0.395,0
1.825,-0.389,0.296,0
0.54,0.227,0.216,0
0.929,1.762,0.943,0
3.459,-0.525,-0.291,0
1.816,2.572,-0.621,0
1.65,2.153,-0.58,0
0.609,1.806,0.81,0
2.962,1.236,0.588,0
2.24,0.711,-0.188,0
2.937,-0.498,0.263,0
1.829,-0.383,-0.134,0
2.204,0.864,0.482,0
1.497,1.213,0.493,0
1.432,1.361,-0.408,0
-0.242,0.209,0.188,0
0.36,0.497,-1.093,0
2.25,0.718,0.272,0
2.285,-0.449,-0.159,0
0.46,2.043,0.909,0
2.136,0.629,-0.165,0
2.563,1.044,0.741,0
0.588,1.521,1.318,0
0.866,0.238,0.096,0
1.636,0.389,-0.134,0
0.338,0.465,-0.538,0
0.91,1.412,-0.616,0
0.567,2.562,-0.649,0
2.446,-0.545,0.576,0
1.363,0.414,0.156,0
1.741,0.822,0.382,0
2.261,-0.479,-0.195,0
3.251,-0.511,0.702,0
0.524,0.571,-0.407,0
-0.434,-0.145,-0.079,0
1.426,0.594,0.232,0
2.547,-0.477,0.494,0
2.668,0.663,0.708,0
0.968,0.646,1.022,0
2.703,1.06,0.599,0
0.929,2.174,1.115,0
2.018,2.318,-0.568,0
1.279,2.076,-0.579,0
0.557,0.706,2.038,0
0.728,-0.13,0.112,0
0.332,0.453,-0.514,0
1.623,-0.435,0.226,0
0.524,0.118,0.152,0
1.762,1.497,-0.448,0
0.438,1.053,0,0
0.333,0.52,1.505,0
0.389,0.324,0.427,0
2.295,0.593,0.225,0
0.791,-0.985,-1.254,0
0.671,0.951,2.188,0
0.356,0.453,1.809,0
-0.469,-1.22,-1.177,0
2.951,-0.463,-0.179,0
0.345,0.349,1.171,0
-0.331,-0.158,0.077,0
-0.264,-0.112,-0.067,0
2.288,1.742,-0.424,0
0.615,-0.1,0.079,0
-0.895,1.893,-0.988,0
0.446,-0.105,0.08,0
0.753,-0.143,-0.091,0
0.575,0.825,0.514,0
3.553,-0.57,-0.26,0
2.769,-0.651,0.331,0
1.196,1.052,0.485,0
0.718,0.37,-0.085,0
2.499,-0.446,-0.162,0
0.78,0.364,-0.118,0
2.597,-0.453,-0.2,0
0.579,0.617,0.845,0
0.928,2.273,0.965,0
-0.242,0.208,0.188,0
0.442,1.164,1.157,0
0.554,1.26,0.965,0
1.812,1.189,0.441,0
2.848,-0.663,-0.215,0
1.8,-0.386,-0.152,0
0.412,-0.148,-0.073,0
1.604,1.045,-0.292,0
0.295,0.345,-0.621,0
1.658,2.22,-0.567,0
0.36,1.436,-0.266,0
-0.36,-0.132,-0.085,0
1.687,2.051,-0.63,0
2.292,-0.532,-0.212,0
0.354,0.768,2.27,0
2.984,-0.535,1.012,0
1.687,0.933,-0.294,0
1.426,0.472,-0.145,0
0.996,0.73,-0.175,0
1.828,0.782,-0.201,0
2.567,-0.429,-0.26,0
0.524,0.135,0.129,0
1.087,2.791,-0.824,0
0.311,-0.082,0.072,0
1.723,1.396,-0.502,0
1.703,0.826,0.721,0
0.432,0.511,0.7,0
1.155,-0.241,-0.087,0
2.197,-0.337,0.199,0
-0.324,0.275,0.407,0
0.822,2.479,1.382,0
0.851,1.499,2.585,0
0.452,0.523,1.469,0
0.607,2.578,0.819,0
0.636,-0.098,0.078,0
2.622,-0.362,-0.159,0
0.751,0.152,0.134,0
1.937,0.963,-0.257,0
2.597,-0.462,0.523,0
2.304,0.993,0.561,0
0.438,0.842,2.42,0
1.201,1.963,-0.682,0
0.319,0.514,1.813,0
2.335,-0.436,0.302,0
0.845,0.402,0.299,0
2.737,-0.383,-0.185,0
2.073,0.627,0.313,0
0.72,2.504,-0.794,0
0.475,1.232,1.637,0
2.206,-0.476,0.225,0
2.132,-0.487,-0.205,0
2.36,-0.503,0.291,0
1.141,1.935,-0.548,0
0.97,0.184,0.141,0
1.54,2.029,-0.76,0
2.168,-0.377,-0.281,0
0.757,2.362,0.896,0
1.975,-0.349,0.217,0
0.425,0.952,2.461,0
2.186,0.949,-0.248,0
0.437,1.708,1.274,0
2.23,-0.347,0.568,0
0.758,-0.161,0.075,0
2.259,-0.485,0.252,0
0.721,-0.098,-0.051,0
1.746,-0.37,-0.183,0
0.389,0.516,1.049,0
3.147,-0.605,-0.303,0
3.51,-0.562,0.319,0
0.937,2.118,1.064,0
0.627,0.475,-0.183,0
-0.22,0.216,0.198,0
1.612,-0.366,0.529,0
2.454,0.913,-0.57,0
1.205,2.199,-0.573,0
0.311,0.426,1.818,0
0.378,0.46,-0.601,0
0.29,0.153,0.162,0
0.847,1.963,-0.94,0
0.307,0.355,-0.594,0
2.786,-0.486,-0.188,0
2.192,1.276,0.833,0
0.706,0.663,0.406,0
0.256,0.232,0.389,0
0.287,0.439,-0.522,0
1.595,2.108,0.716,0
2.557,1.385,0.578,0
2.63,1.553,0.469,0
1.639,0.709,0.28,0
1.884,0.49,0.272,0
1.537,0.842,0.709,0
1.727,0.828,0.386,0
1.205,2.009,-0.546,0
1.298,-0.23,0.109,0
1.266,2.692,1.077,0
0.713,1.753,1.197,0
1.297,2.72,-0.722,0
1.334,1.982,-0.7,0
1.292,2.157,-0.682,0
3.348,-0.621,-0.245,0
2.417,-0.479,0.328,0
2.566,-0.518,-0.195,0
0.358,1.359,-0.324,0
0.501,-0.135,0.102,0
1.009,2.024,-0.555,0
1.673,0.824,0.405,0
2.037,-0.464,-0.176,0
2.255,0.725,0.299,0
1.102,2.21,-0.87,0
0.312,-0.077,0.074,0
-0.656,-0.802,-0.64,0
2.962,-0.624,0.388,0
0.377,0.143,0.108,0
3.056,-0.609,-0.304,0
1.608,-0.304,-0.121,0
0.406,0.468,1.568,0
0.402,1.256,-0.298,0
1.433,1.771,-0.542,0
2.763,-0.478,-0.173,0
0.5,2.194,0.831,0
1.032,2.25,-0.676,0
2.25,-0.543,-0.199,0
0.467,0.25,-0.08,0
0.775,0.272,0.176,0
2.047,-0.326,-0.175,0
0.428,0.846,2.32,0
2.111,1.173,-0.532,0
2.251,-0.457,0.322,0
2.311,-0.475,-0.289,0
-1.012,-0.546,1.599,0
1.736,1.384,-0.502,0
1.568,1.605,-0.261,0
1.073,-0.213,-0.08,0
1.536,-0.369,-0.114,0
3.001,-0.43,-0.189,0
-0.224,0.171,0.098,0
0.948,-0.251,0.103,0
0.338,0.198,0.211,0
0.548,2.208,-0.621,0
0.66,-0.09,0.068,0
0.291,0.288,0.54,0
2.229,-0.481,-0.194,0
2.458,-0.385,0.228,0
2.292,0.884,-0.353,0
0.295,0.459,0.62,0
0.858,0.313,0.189,0
1.632,-0.259,-0.102,0
0.471,-0.12,-0.069,0
-0.724,-0.463,-0.163,0
0.402,-0.122,-0.083,0
1.079,0.316,0.216,0
1.44,-0.223,0.129,0
-0.347,0.154,-0.09,0
1.055,2.305,-0.547,0
2.319,-0.385,0.22,0
-0.562,1.513,1.824,0
1.286,2.305,-0.702,0
-1.279,0.451,0.202,0
2.515,1.07,0.553,0
0.365,0.371,0.981,0
1.772,-0.324,0.206,0
1.041,1.766,1.376,0
0.274,0.337,1.426,0
0.561,1.243,2.211,0
0.509,-0.151,0.16,0
0.825,2.484,-0.527,0
2.561,1.097,0.802,0
1.624,0.778,0.398,0
0.659,1.591,1.318,0
1.606,0.361,0.258,0
1.73,-0.246,-0.11,0
1.088,1.85,-0.51,0
2.204,-0.467,0.348,0
1.823,0.536,0.273,0
1.79,-0.298,-0.127,0
0.796,0.222,-0.066,0
0.592,-0.232,0.179,0
0.953,1.616,-0.338,0
0.521,-0.127,-0.08,0
0.522,0.576,-0.368,0
1.762,1.652,1.081,0
2.428,-0.398,-0.169,0
0.67,1.702,1.477,0
2.628,-0.487,0.253,0
2.821,-0.423,-0.432,0
0.857,2.104,0.725,0
0.562,0.181,0.148,0
2.156,-0.272,-0.142,0
0.771,0.374,-0.118,0
1.277,1.865,-0.605,0
0.399,0.665,-0.156,0
2.927,-0.485,-0.241,0
0.855,1.941,-0.668,0
0.925,0.339,0.195,0
0.508,1.077,0,0
1.555,0.496,0.516,0
0.987,-0.164,0.135,0
3.042,-0.487,-0.256,0
2.584,0.739,0.408,0
1.671,1.491,0.617,0
0.671,1.898,1.02,0
2.814,-0.461,-0.239,0
2.971,-0.438,0.257,0
1.589,2.961,-0.863,0
1.357,1.34,-0.372,0
0.308,-0.077,0.071,0
1.341,1.919,-0.489,0
2.364,-0.326,-0.155,0
1.307,0.799,0.332,0
3.108,-0.643,-0.263,0
1.034,2.5,-0.732,0
0.337,-0.117,-0.078,0
2.138,1.839,0.707,0
0.624,2.375,1.077,0
1.082,1.435,-0.239,0
0.469,1.166,-0.279,0
1.955,-0.449,0.295,0
3.435,-0.592,-0.239,0
2.805,1.183,0.64,0
0.482,0.179,0.133,0
0.625,0.155,0.106,0
0.336,-0.094,-0.053,0
2.062,0.808,1.29,0
1.486,0.742,0.661,0
1.892,0.585,0.715,0
0.577,1.37,1.883,0
1.84,0.387,0.952,0
1.257,2.274,-0.82,0
1.576,1.853,-0.535,0
0.283,0.158,0.156,0
0.56,1.377,1.336,0
0.621,1.433,2.052,0
1.23,2.807,-0.812,0
1.995,-0.36,-0.139,0
2.85,0.735,0.557,0
0.46,2.043,0.909,0
1.46,-0.253,0.674,0
2.241,-0.417,0.214,0
0.269,0.513,1.841,0
3.32,-0.579,-0.24,0
3.227,-0.407,0.395,0
0.382,0.268,-0.469,0
2.235,1.159,0.508,0
1.517,0.394,0.182,0
2.466,-0.731,0.345,0
2.678,-0.468,0.32,0
2.94,-0.701,0.4,0
3.327,-0.623,-0.266,0
0.606,1.343,2.28,0
2.098,0.519,0.29,0
1.583,-0.355,-0.152,0
0.308,0.272,0.451,0
2.849,-0.41,0.284,0
0.531,2.079,-0.445,0
1.153,1.582,-0.687,0
1.797,2.33,-0.627,0
-0.233,0.162,-0.078,0
0.772,0.16,0.123,0
0.384,0.803,1.56,0
2.302,-0.467,0.227,0
0.249,-0.08,0.102,0
1.972,-0.46,-0.185,0
0.546,0.884,1.965,0
2.493,-0.363,0.211,0
-0.393,0.153,-0.082,0
-0.372,-0.421,0.878,0
2.757,-0.347,-0.163,0
-0.514,0.598,1.065,0
1.014,2.321,-0.849,0
0.78,0.341,-0.092,0
1.017,2.191,-0.814,0
1.69,-0.371,-0.151,0
1.867,-0.351,-0.161,0
0.673,1.165,1.399,0
1.436,2.41,-0.653,0
0.92,1.713,0.78,0
2.735,-0.464,-0.19,0
1.381,-0.306,-0.147,0
2.521,-0.385,-0.156,0
-0.301,0.136,-0.078,0
1.261,0.997,0.523,0
0.527,0.381,0.925,0
2.328,-0.485,0.285,0
0.698,-0.13,-0.061,0
0.932,2.296,-0.612,0
1.188,0.384,1.008,0
0.332,0.467,-0.794,0
0.758,2.099,0.746,0
0.578,-0.193,-0.13,0
0.333,0.597,2.136,0
2.528,-0.347,-0.151,0
-0.22,0.158,0.09,0
1.472,-0.29,0.24,0
1.368,2.688,-0.692,0
0.266,0.158,0.194,0
3.256,-0.436,-0.268,0
0.99,0.181,0.14,0
0.525,0.163,0.236,0
2.344,-0.414,-0.178,0
1.097,-0.779,-0.596,0
1.674,1.574,-0.348,0
1.059,1.477,-0.32,0
0.966,-0.214,0.107,0
2.166,1.094,0.594,0
1.322,0.348,-0.109,0
0.593,1.242,1.118,0
1.229,2.271,0.879,0
1.491,0.895,0.624,0
3.129,-0.561,0.289,0
0.496,0.188,0.15,0
0.365,0.371,0.981,0
0.559,1.184,2.327,0
2.96,-0.474,-0.203,0
2.12,-0.337,-0.184,0
0.324,0.286,0.468,0
0.618,-0.098,0.068,0
2.039,-0.425,-0.476,0
2.695,0.917,0.309,0
2.782,-0.427,-0.206,0
3.05,-0.59,0.876,0
0.985,2.493,-0.747,0
0.651,-0.118,0.073,0
2.521,1.073,0.387,0
0.394,0.507,1.837,0
1.055,2.807,-0.819,0
0.464,0.43,0.257,0
0.378,-0.122,-0.068,0
0.471,1.647,1.183,0
1.288,0.45,0.442,0
1,3.109,-0.767,0
0.994,0.745,-0.148,0
1.683,1.012,0.521,0
0.613,0.201,0.093,0
0.483,0.776,1.912,0
1.075,2.677,-0.948,0
0.421,0.735,-0.265,0
1.232,-0.204,0.103,0
1.371,-0.298,-0.131,0
1.424,1.878,-0.653,0
2.867,-0.516,-0.299,0
1.317,-0.295,-0.121,0
0.406,0.588,-0.594,0
0.404,0.131,0.1,0
1.152,2.329,1.276,0
1.627,-0.274,0.172,0
2.956,-0.539,0.285,0
1.321,0.696,-0.171,0
-0.221,0.216,0.198,0
1.998,0.677,0.319,0
0.556,1.314,0.928,0
3.15,-0.74,0.478,0
1.871,-0.317,-0.141,0
1.037,2.259,-0.65,0
0.496,0.467,0.781,0
1.654,1.561,-0.351,0
1.846,0.747,0.244,0
2.177,2.151,-0.598,0
1.118,1.829,-0.555,0
0.342,0.561,-0.223,0
0.52,-0.129,0.13,0
2.68,-0.574,0.265,0
1.815,1.17,0.509,0
2.524,-0.429,0.276,0
0.322,0.206,0.088,0
0.597,0.173,0.117,0
1.628,2.141,-0.561,0
1.912,-0.322,-0.154,0
1.876,0.914,0.379,0
0.309,-0.153,-0.171,0
1.04,2.761,-0.833,0
1.31,0.96,-0.298,0
0.639,-0.107,0.13,0
2.06,-0.45,-0.191,0
1.01,2.931,-0.842,0
2.822,-0.629,0.446,0
-0.236,0.189,0.119,0
0.884,-0.137,0.104,0
2.197,-0.479,-0.19,0
2.783,-0.523,0.345,0
2.821,1.114,0.415,0
2.018,1.768,0.697,0
2.139,0.629,0.241,0
0.432,0.837,1.902,0
0.88,-0.137,0.094,0
0.559,1.911,1.542,0
1.418,1.792,-0.596,0
0.473,-0.124,-0.072,0
1.796,1.078,-0.286,0
2.042,-0.356,0.214,0
1.72,0.6,0.3,0
1.543,0.576,-0.193,0
1.547,0.664,0.275,0
2.521,-0.346,-0.152,0
2.024,2.367,-0.615,0
1.697,0.485,0.283,0
0.486,-0.108,-0.064,0
0.401,0.451,0.717,0
0.482,0.179,0.133,0
1.194,1.549,0.687,0
1.645,1.533,0.638,0
2.596,-0.414,-0.46,0
1.576,-0.268,0.337,0
1.266,1.981,-0.874,0
3.42,-0.661,-0.245,0
1.198,1.256,0.469,0
1.997,-0.478,-0.163,0
1.811,0.682,0.257,0
1.896,-0.387,-0.144,0
1.155,0.3,0.227,0
1.604,2.018,0.773,0
1.193,1.848,1.005,0
2.897,-0.59,0.371,0
0.547,0.397,0.904,0
1.19,2.566,-0.72,0
0.718,0.396,0.716,0
1.345,-0.219,-0.089,0
1.8,1.051,0.468,0
1.807,1.377,0.992,0
-0.333,-0.785,-0.982,0
0.976,2.113,-0.532,0
1.028,1.955,-0.764,0
2.53,-0.481,-0.343,0
2.169,0.845,-0.253,0
4.378,-0.48,-0.253,0
0.562,0.181,0.148,0
3.27,-0.513,0.338,0
2.216,-0.407,-0.173,0
2.268,-0.362,0.19,0
0.855,0.166,0.124,0
0.729,1.062,1.448,0
-0.237,0.416,1.551,0
0.544,0.162,0.096,0
2.3,-0.49,-0.202,0
1.031,1.947,-0.544,0
1.967,2.317,-0.589,0
1.085,2.7,-0.753,0
0.58,1.436,1.811,0
2.402,-0.509,-0.18,0
0.804,1.77,-0.782,0
2.238,-0.446,0.247,0
2.183,-0.357,-0.115,0
1.13,2.209,-0.786,0
2.227,-0.556,-0.225,0
2.219,2.076,-0.524,0
1.185,1.777,-0.6,0
1.421,-0.367,-0.121,0
1.644,0.581,-0.183,0
1.133,2.402,-0.701,0
1.371,2.552,-0.6,0
1.138,2.518,-0.974,0
1.886,1.179,0.363,0
1.774,-0.391,-0.157,0
1.009,2.565,-0.848,0
1.185,0.293,0.182,0
0.53,-0.105,0.081,0
1.876,1.048,-0.326,0
2.488,-0.491,0.28,0
3.075,-0.657,0.489,0
2.334,-0.451,0.253,0
0.484,1.991,0.879,0
2.256,1.035,0.564,0
0.436,0.541,1.177,0
1.068,2.387,-0.747,0
3.135,-0.582,0.456,0
2.555,-0.47,0.26,0
1.957,-0.32,-0.146,0
0.484,0.626,2.007,0
2.159,-0.382,-0.154,0
0.591,-0.148,-0.069,0
1.27,1.582,-0.591,0
2.226,-0.355,-0.161,0
1.876,2.619,-0.613,0
0.843,0.243,0.104,0
1.141,1.623,-0.508,0
2.532,-0.358,-0.158,0
1.762,-0.258,-0.14,0
1.798,0.666,0.92,0
2.585,-0.577,0.309,0
3.001,-0.43,-0.171,0
1.697,-0.298,0.185,0
1.346,1.791,0.679,0
3.902,-0.637,-0.353,0
1.749,-0.436,-0.183,0
1.293,0.256,0.226,0
1.654,0.502,1.395,0
2.125,-0.418,0.279,0
1.818,0.438,0.264,0
1.214,0.546,0.307,0
1.739,0.89,0.369,0
3.145,-0.507,1.274,0
1.555,-0.247,-0.097,0
0.415,0.501,2.147,0
1.719,-0.343,-0.388,0
0.306,0.14,0.176,0
2.426,0.676,1.775,0
1.17,1.625,0.783,0
0.753,0.402,0.723,0
2.127,-0.37,0.254,0
3.078,0.872,0.348,0
3.439,-0.486,-0.276,0
1.759,0.786,-0.405,0
2.003,0.67,0.273,0
-0.241,0.488,-0.127,0
0.46,1.628,1.282,0
1.552,0.829,0.323,0
0.285,1.283,-0.314,0
0.531,0.944,1.576,0
2.452,-0.534,0.304,0
1.136,2.493,-0.638,0
1.792,-0.344,-0.124,0
0.979,-0.232,0.129,0
1.034,0.256,0.187,0
0.517,0.571,0.498,0
0.867,1.701,2.015,0
1.605,0.535,0.236,0
2.076,0.701,1.452,0
-0.78,-1.11,-0.493,0
1.791,1.23,0.983,0
0.724,1.313,-0.259,0
0.424,0.742,1.839,0
1.241,1.328,-0.472,0
3.126,-0.557,1.004,0
0.69,0.299,0.223,0
1.233,2.209,-0.468,0
1.589,1.012,0.685,0
0.661,0.164,0.104,0
0.79,1.243,1.747,0
0.46,1.628,1.282,0
2.78,-0.438,-0.205,0
0.705,1.06,2.135,0
1.039,0.479,0.679,0
1.214,-0.168,0.11,0
1.482,0.376,-0.13,0
1.49,1.931,0.699,0
1.209,2.637,-0.73,0
2.212,-0.34,-0.167,0
0.847,-1.823,-0.464,0
0.572,1.055,-0.219,0
2.482,1.234,0.553,0
1.03,1.515,0.792,0
1.439,0.356,0.391,0
1.159,2.064,-0.69,0
0.266,0.403,0.529,0
0.482,0.232,-0.141,0
0.943,1.352,-0.387,0
1.317,1.506,-0.454,0
2.446,1.17,-0.338,0
0.667,0.729,-0.804,0
0.808,2.093,1.937,0
2.719,-0.412,-0.168,0
1.634,-0.276,-0.121,0
1.178,2.537,-0.725,0
0.86,2.49,-0.71,0
0.862,1.637,-0.686,0
0.651,1.536,2.12,0
2.299,0.586,0.344,0
0.271,0.34,0.455,0
2.022,-0.329,0.179,0
0.906,0.491,0.38,0
1.895,-0.488,0.204,0
2.286,-0.293,-0.149,0
1.344,0.978,0.492,0
1.934,-0.321,-0.1,0
1.009,-0.209,-0.085,0
1.911,0.883,-0.24,0
2.976,-0.61,0.683,0
0.964,-0.256,-0.123,0
1.027,2.399,-0.68,0
1.569,0.535,0.332,0
1.803,1.168,0.516,0
2.921,-0.637,0.523,0
0.907,1.961,-0.659,0
1.147,3.108,-0.844,0
0.891,1.871,-0.51,0
2.524,0.915,-0.32,0
0.279,0.185,0.21,0
2.054,-0.377,0.473,0
1.935,0.837,1.316,0
0.432,1.607,1.44,0
-0.306,-0.128,-0.087,0
2.416,0.755,0.399,0
2.501,0.739,0.526,0
1.424,1.738,-0.798,0
0.592,0.613,0.858,0
1.855,-0.449,-0.163,0
1.782,1.24,0.448,0
1.336,0.326,-0.104,0
0.525,0.651,1.087,0
0.476,0.192,0.146,0
1.266,0.522,0.394,0
0.225,0.119,0.264,0
1.18,1.616,0.741,0
1.798,-0.414,-0.153,0
0.549,0.782,1.773,0
2.494,1.208,0.836,0
0.624,-0.79,2.613,0
0.338,0.32,0.777,0
1.351,0.36,0.679,0
0.896,2.265,0.928,0
3.341,-0.518,-0.294,0
-0.247,-0.104,-0.062,0
0.532,0.93,1.668,0
2.585,-0.676,0.426,0
3.515,-0.656,0.333,0
0.65,-0.139,-0.067,0
1.786,1.235,0.459,0
1.523,-0.519,0.373,0
0.729,-0.13,0.089,0
1.977,-0.433,1.578,0
1.802,-0.275,-0.123,0
1.429,0.662,1.619,0
1.004,2.947,-0.928,0
1.943,1.757,0.721,0
2.093,1.121,0.57,0
1.904,-0.411,0.367,0
2.315,1.872,0.703,0
1.699,0.663,0.266,0
3.228,-0.618,-0.288,0
1.272,2.656,-0.946,0
0.767,0.195,0.149,0
1.305,0.66,0.813,0
1.148,0.444,-0.309,0
1.047,1.964,-0.541,0
2.87,-0.414,-0.173,0
1.999,-0.332,-0.174,0
0.282,0.158,0.155,0
1.963,-0.355,0.191,0
1.249,0.329,0.161,0
1.456,0.507,-0.189,0
-0.312,0.137,-0.075,0
1.518,0.68,0.716,0
-0.243,0.187,-0.081,0
1.81,1.486,-0.41,0
1.99,-0.31,0.179,0
0.551,1.79,1.089,0
-0.825,-1.641,-1.494,0
2.345,-0.401,0.399,0
1.872,-0.297,0.164,0
2.268,-0.337,0.189,0
1.494,1.248,-0.413,0
2.386,-0.481,0.321,0
0.949,1.91,-0.481,0
1.063,0.852,0.72,0
0.704,0.719,1.741,0
1.502,0.527,0.413,0
0.373,0.415,1.402,0
0.569,0.732,2.224,0
2.024,0.606,1.205,0
1.328,-0.829,-0.314,0
-0.268,0.164,0.12,0
2.071,1.352,-0.423,0
-0.213,0.166,0.1,0
2.209,-0.336,-0.142,0
0.314,0.445,1.544,0
0.584,-0.13,-0.087,0
2.152,-0.639,-0.244,0
2.342,-0.337,-0.138,0
3.106,-0.421,0.302,0
0.316,0.492,-0.883,0
1.714,0.461,0.22,0
1.122,1.58,-0.47,0
2.035,0.566,1.846,0
1.788,1.134,-0.448,0
1.502,-0.196,-0.085,0
2.093,-0.414,0.213,0
0.482,0.237,0.666,0
0.61,-0.149,-0.08,0
2.586,-0.581,0.292,0
2.35,-0.346,0.183,0
-0.229,-0.104,0.071,0
-0.277,0.154,0.122,0
0.297,0.192,0.222,0
1.276,2.268,-0.721,0
1.762,1.223,0.454,0
0.327,0.386,0.659,0
1.318,1.996,-0.616,0
1.71,-0.321,0.249,0
1.138,1.605,-0.456,0
2.869,-0.439,0.242,0
0.372,0.331,0.48,0
0.892,2.474,-0.531,0
2.973,-0.529,-0.241,0
1.222,1.612,-0.49,0
2.083,-0.419,0.67,0
0.341,0.514,0.608,0
0.472,1.064,1.996,0
1.514,1.835,0.661,0
-0.27,0.438,0.21,0
0.706,1.122,1.936,0
2.205,-0.484,0.191,0
-0.306,-0.135,0.101,0
0.496,1.126,-0.401,0
2.015,-0.417,-0.187,0
2.394,1.358,0.675,0
0.325,0.38,-0.085,0
-0.805,-0.294,-0.151,0
1.811,-0.291,0.212,0
0.588,0.146,0.207,0
0.795,2.354,1.06,0
3.178,-0.741,0.437,0
2.372,-0.478,-0.209,0
0.624,1.886,0.956,0
-0.304,0.15,-0.072,0
1.975,0.622,-0.18,0
-0.234,0.14,-0.073,0
1.265,2.289,-0.524,0
0.514,0.792,1.52,0
1.781,-0.696,0.491,0
0.892,0.355,0.315,0
2.494,-0.423,0.309,0
1.275,-0.243,0.725,0
1.18,-0.264,-0.114,0
2.345,-0.471,1.402,0
2.143,0.546,0.306,0
1.272,2.177,-0.644,0
1.84,-0.232,-0.116,0
1.224,2.774,-0.656,0
0.853,-0.161,0.091,0
1.535,0.75,-0.175,0
0.282,1.688,-0.397,0
0.333,0.421,-0.872,0
0.729,0.839,1.728,0
1.555,0.384,0.271,0
0.825,2.484,-0.527,0
2.662,1.031,0.367,0
1.344,0.444,0.155,0
0.591,0.327,0.236,0
3.041,-0.569,0.547,0
0.281,0.389,1.072,0
1.607,-0.248,-0.109,0
0.806,2.461,1.262,0
1.306,1.854,-0.784,0
0.694,0.395,-0.087,0
2.493,0.816,0.301,0
2.703,-0.6,0.372,0
0.997,-0.15,0.117,0
2.773,-0.448,0.247,0
2.284,-0.325,-0.147,0
2.283,1.34,-0.367,0
0.487,-0.127,0.079,0
2.255,-0.325,0.235,0
2.225,-0.495,0.215,0
0.519,1.95,1.181,0
-0.31,0.308,0.612,0
2.007,1.015,0.607,0
2.989,0.968,-0.351,0
0.987,2.503,-0.842,0
2.432,-0.471,0.25,0
3.039,-0.471,-0.191,0
0.65,-0.112,0.131,0
2.131,-0.356,-0.297,0
0.591,0.157,0.141,0
2.669,-0.603,0.308,0
0.954,1.718,2.003,0
1.695,0.99,-0.264,0
0.618,2.516,0.937,0
2.61,-0.358,-0.158,0
1.367,-0.202,0.14,0
1.769,0.552,-0.236,0
0.582,1.368,2.225,0
2.82,0.866,-0.317,0
1.908,-0.373,0.25,0
1.941,-0.341,-0.129,0
0.603,0.156,0.145,0
0.661,1.404,2.273,0
1.871,-0.387,0.776,0
2.577,1.527,0.771,0
1.597,2.578,-0.55,0
0.938,0.769,0.346,0
1.252,1.345,0.436,0
1.29,2.774,-0.784,0
0.584,0.741,2.355,0
1.072,2.581,-0.699,0
2.247,0.744,0.503,0
-0.239,-0.101,-0.06,0
0.514,1.248,2.127,0
0.954,-0.135,0.116,0
2.103,-0.494,0.601,0
2.237,1.065,-0.617,0
-0.263,-0.098,0.069,0
0.32,0.113,0.082,0
2.256,-0.352,0.196,0
0.349,1.192,-0.276,0
1.218,-0.269,-0.098,0
1.764,0.375,0.511,0
0.828,0.178,0.163,0
0.953,2.051,-0.777,0
1.074,2.474,1.139,0
1.132,2.038,-0.56,0
0.97,0.396,0.265,0
2.321,1.722,0.716,0
2.32,-0.385,0.22,0
0.65,0.376,0.525,0
0.715,1.784,0.792,0
3.104,-0.475,0.845,0
2.01,0.611,0.314,0
0.614,1.646,-1.219,0
1.703,-0.323,0.333,0
1.489,2.335,-0.665,0
0.517,2.305,-0.586,0
0.765,2.081,0.818,0
1.682,0.6,1.275,0
0.33,0.62,2.29,0
1.411,1.129,0.649,0
2.465,-0.387,-0.202,0
1.11,-0.174,-0.08,0
2.105,-0.397,-0.201,0
1.008,0.494,0.432,0
1.054,2.259,-0.708,0
0.438,0.136,0.112,0
1.509,2.2,0.783,0
