@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
88,50,121,58,114,59,74,182,opel
86,75,146,62,140,48,72,183,opel
87,85,177,61,164,40,63,198,opel
84,90,180,60,177,37,71,190,opel
99,100,177,54,224,30,72,185,opel
100,109,230,70,226,30,72,187,opel
95,104,228,74,212,31,74,186,opel
92,79,176,64,162,41,67,191,opel
97,81,183,64,168,39,70,192,opel
93,78,162,60,150,45,67,191,opel
103,105,221,69,218,30,73,187,opel
89,77,172,62,157,42,63,198,opel
89,81,156,57,161,41,72,187,opel
89,83,195,65,178,37,71,189,opel
99,109,220,66,221,30,70,188,opel
106,98,192,58,217,31,71,188,opel
88,69,146,59,130,51,64,193,opel
99,105,209,64,197,34,65,194,opel
92,75,172,60,147,45,62,206,opel
78,60,116,56,123,55,78,178,opel
101,105,212,68,209,32,73,186,opel
73,53,111,54,126,55,82,176,opel
77,63,135,59,130,52,79,183,opel
101,108,184,54,216,31,68,190,opel
104,96,231,74,220,30,73,186,opel
82,73,141,57,153,44,75,181,opel
107,103,221,66,209,32,66,191,opel
104,109,230,67,218,30,67,191,opel
103,83,194,63,175,38,65,197,opel
90,78,145,55,138,48,67,192,opel
103,98,212,63,193,34,64,198,opel
95,96,196,63,190,35,68,191,opel
