@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.42,0.1825,10
F,0.45,0.2425,10
F,0.495,0.39,10
F,0.525,0.43,10
F,0.465,0.27,10
M,0.455,0.204,10
I,0.475,0.28,10
F,0.48,0.335,10
F,0.48,0.325,10
F,0.5,0.28,10
F,0.48,0.34,10
M,0.45,0.263,10
F,0.42,0.4095,10
F,0.44,0.2735,10
F,0.515,0.395,10
F,0.53,0.401,10
F,0.385,0.2365,10
F,0.505,0.396,10
F,0.51,0.403,10
F,0.475,0.285,10
M,0.45,0.25,10
F,0.525,0.3605,10
F,0.525,0.394,10
F,0.5,0.4,10
F,0.47,0.405,10
F,0.335,0.12,10
M,0.55,0.4895,10
M,0.535,0.4075,10
M,0.465,0.225,10
F,0.405,0.177,10
M,0.53,0.495,10
F,0.51,0.36,10
M,0.38,0.145,10
M,0.495,0.295,10
M,0.38,0.155,10
F,0.36,0.16,10
M,0.475,0.278,10
F,0.5,0.309,10
M,0.405,0.2525,10
F,0.415,0.2765,10
M,0.5,0.305,10
F,0.545,0.495,10
M,0.315,0.113,10
I,0.4,0.253,10
F,0.445,0.253,10
M,0.49,0.335,10
F,0.45,0.2575,10
F,0.475,0.3205,10
M,0.51,0.375,10
I,0.475,0.285,10
M,0.36,0.16,10
F,0.57,0.488,10
M,0.51,0.409,10
F,0.5,0.354,10
I,0.475,0.27,10
M,0.43,0.219,10
M,0.405,0.255,10
M,0.46,0.255,10
I,0.425,0.203,10
F,0.49,0.3245,10
M,0.495,0.4695,10
I,0.475,0.259,10
M,0.235,0.055,10
F,0.455,0.265,10
F,0.375,0.155,10
M,0.35,0.1565,10
M,0.455,0.269,10
F,0.48,0.33,10
I,0.49,0.352,10
F,0.58,0.5375,10
M,0.255,0.054,10
F,0.52,0.355,10
M,0.4,0.23,10
M,0.5,0.415,10
M,0.455,0.223,10
M,0.43,0.2405,10
I,0.415,0.1765,10
F,0.45,0.3,10
F,0.42,0.2125,10
I,0.475,0.2755,10
F,0.455,0.269,10
F,0.515,0.3575,10
F,0.425,0.2225,10
F,0.415,0.199,10
M,0.505,0.41,10
F,0.4,0.195,10
M,0.505,0.335,10
M,0.44,0.285,10
F,0.48,0.31,10
F,0.535,0.49,10
F,0.415,0.285,10
M,0.525,0.372,10
F,0.415,0.2,10
F,0.5,0.3185,10
M,0.38,0.1545,10
I,0.43,0.208,10
F,0.525,0.34,10
F,0.475,0.379,10
M,0.455,0.271,10
F,0.49,0.33,10
I,0.385,0.172,10
M,0.525,0.47,10
F,0.5,0.329,10
F,0.515,0.41,10
F,0.525,0.3985,10
F,0.435,0.225,10
M,0.515,0.4,10
I,0.42,0.235,10
M,0.45,0.305,10
M,0.515,0.3535,10
F,0.53,0.44,10
M,0.435,0.205,10
F,0.51,0.364,10
F,0.42,0.2175,10
M,0.43,0.2285,10
I,0.415,0.19,10
M,0.455,0.2655,10
I,0.375,0.17,10
F,0.38,0.3345,10
M,0.28,0.08,10
M,0.47,0.321,10
F,0.305,0.1,10
F,0.485,0.345,10
I,0.435,0.2325,10
I,0.405,0.19,10
M,0.465,0.33,10
M,0.55,0.365,10
M,0.545,0.449,10
M,0.405,0.21,10
F,0.405,0.215,10
F,0.37,0.195,10
I,0.49,0.2925,10
I,0.275,0.085,10
F,0.465,0.28,10
I,0.45,0.2965,10
I,0.46,0.238,10
M,0.455,0.275,10
M,0.47,0.305,10
M,0.49,0.294,10
M,0.43,0.245,10
F,0.35,0.135,10
M,0.48,0.317,10
M,0.515,0.3115,10
I,0.305,0.125,10
F,0.465,0.2585,10
M,0.38,0.185,10
M,0.49,0.361,10
F,0.48,0.3885,10
F,0.485,0.315,10
M,0.45,0.3605,10
F,0.465,0.2845,10
I,0.385,0.16,10
F,0.51,0.325,10
F,0.41,0.215,10
M,0.43,0.121,10
I,0.46,0.295,10
M,0.375,0.18,10
M,0.46,0.32,10
I,0.425,0.239,10
M,0.425,0.235,10
I,0.375,0.255,10
M,0.485,0.25,10
M,0.47,0.28,10
F,0.32,0.119,10
F,0.4,0.208,10
M,0.445,0.27,10
F,0.56,0.624,10
F,0.46,0.32,10
I,0.275,0.085,10
F,0.355,0.185,10
F,0.465,0.2425,10
F,0.49,0.28,10
F,0.445,0.265,10
M,0.505,0.335,10
M,0.6,0.584,10
I,0.425,0.195,10
M,0.44,0.26,10
F,0.51,0.391,10
I,0.35,0.1275,10
F,0.47,0.34,10
M,0.475,0.337,10
F,0.5,0.35,10
F,0.385,0.175,10
I,0.38,0.1,10
F,0.52,0.383,10
I,0.44,0.245,10
M,0.425,0.245,10
F,0.305,0.08,10
M,0.51,0.4505,10
M,0.49,0.491,10
M,0.36,0.165,10
M,0.48,0.314,10
I,0.365,0.156,10
F,0.5,0.31,10
M,0.37,0.175,10
I,0.31,0.095,10
F,0.535,0.424,10
F,0.5,0.3005,10
M,0.275,0.07,10
M,0.435,0.275,10
F,0.585,0.565,10
M,0.37,0.155,10
M,0.48,0.3385,10
I,0.46,0.25,10
I,0.29,0.085,10
M,0.49,0.341,10
F,0.46,0.3085,10
I,0.43,0.2545,10
I,0.45,0.26,10
I,0.36,0.147,10
M,0.53,0.385,10
M,0.365,0.145,10
M,0.475,0.2885,10
M,0.525,0.4075,10
F,0.475,0.291,10
F,0.48,0.287,10
M,0.58,0.595,10
M,0.44,0.265,10
M,0.49,0.405,10
F,0.53,0.435,10
F,0.51,0.3985,10
M,0.5,0.295,10
M,0.565,0.4135,10
I,0.325,0.209,10
M,0.48,0.285,10
F,0.57,0.435,10
F,0.55,0.4175,10
M,0.485,0.3,10
M,0.435,0.239,10
F,0.475,0.3985,10
M,0.505,0.3535,10
M,0.385,0.1815,10
F,0.5,0.3595,10
F,0.36,0.15,10
F,0.505,0.36,10
F,0.495,0.1625,10
M,0.55,0.496,10
F,0.505,0.39,10
M,0.435,0.32,10
F,0.5,0.38,10
M,0.53,0.405,10
M,0.52,0.374,10
M,0.475,0.309,10
I,0.45,0.215,10
M,0.52,0.4,10
F,0.51,0.3885,10
F,0.38,0.174,10
I,0.365,0.1615,10
M,0.5,0.3425,10
I,0.27,0.075,10
F,0.45,0.236,10
M,0.42,0.25,10
F,0.51,0.3965,10
F,0.525,0.3905,10
M,0.5,0.384,10
M,0.51,0.4055,10
F,0.4,0.2875,10
F,0.55,0.5215,10
M,0.52,0.4,10
M,0.475,0.297,10
F,0.445,0.2695,10
F,0.5,0.3315,10
M,0.475,0.3665,10
M,0.265,0.0485,10
M,0.525,0.477,10
M,0.455,0.2835,10
M,0.295,0.1005,10
I,0.52,0.3305,10
M,0.545,0.378,10
M,0.42,0.38,10
F,0.455,0.315,10
M,0.495,0.3135,10
M,0.455,0.258,10
M,0.515,0.175,10
M,0.45,0.2845,10
M,0.565,0.512,10
M,0.46,0.22,10
M,0.255,0.06,10
M,0.405,0.389,10
M,0.225,0.045,10
M,0.465,0.275,10
I,0.425,0.225,10
M,0.6,0.5755,10
F,0.375,0.12,10
M,0.335,0.115,10
M,0.49,0.3455,10
M,0.545,0.506,10
M,0.405,0.195,10
M,0.475,0.3105,10
M,0.44,0.3265,10
M,0.285,0.081,10
M,0.4,0.2,10
M,0.475,0.3105,10
I,0.425,0.2425,10
F,0.515,0.45,10
F,0.45,0.2765,10
F,0.43,0.4155,10
M,0.45,0.2535,10
F,0.52,0.4575,10
M,0.465,0.23,10
F,0.375,0.18,10
M,0.485,0.3075,10
F,0.475,0.37,10
M,0.46,0.27,10
M,0.45,0.343,10
F,0.57,0.435,10
M,0.4,0.185,10
M,0.42,0.344,10
M,0.425,0.2165,10
M,0.305,0.1,10
M,0.5,0.3725,10
F,0.515,0.385,10
M,0.525,0.43,10
M,0.475,0.266,10
F,0.31,0.115,10
M,0.495,0.32,10
I,0.46,0.27,10
F,0.495,0.3925,10
F,0.365,0.22,10
M,0.455,0.2615,10
I,0.375,0.145,10
F,0.435,0.2425,10
M,0.495,0.485,10
F,0.375,0.1685,10
F,0.495,0.347,10
F,0.535,0.344,10
M,0.49,0.365,10
M,0.48,0.305,10
I,0.295,0.085,10
I,0.53,0.34,10
I,0.45,0.2215,10
F,0.55,0.354,10
F,0.505,0.315,10
M,0.56,0.388,10
M,0.53,0.48,10
F,0.465,0.2255,10
I,0.415,0.236,10
M,0.355,0.155,10
I,0.435,0.245,10
M,0.475,0.2725,10
F,0.44,0.2575,10
M,0.42,0.2185,10
M,0.375,0.185,10
M,0.46,0.295,10
F,0.435,0.24,10
I,0.47,0.287,10
M,0.45,0.2875,10
M,0.365,0.155,10
I,0.4,0.22,10
M,0.505,0.48,10
M,0.505,0.335,10
F,0.475,0.31,10
F,0.325,0.105,10
F,0.42,0.275,10
M,0.435,0.2705,10
M,0.425,0.195,10
F,0.525,0.4275,10
M,0.48,0.225,10
F,0.535,0.503,10
M,0.415,0.255,10
M,0.475,0.3745,10
F,0.435,0.245,10
F,0.475,0.319,10
M,0.375,0.19,10
F,0.46,0.275,10
M,0.43,0.25,10
F,0.46,0.2985,10
F,0.505,0.326,10
I,0.435,0.238,10
F,0.405,0.21,10
M,0.47,0.277,10
M,0.475,0.3295,10
M,0.365,0.158,10
M,0.44,0.2735,10
I,0.43,0.28,10
F,0.4,0.185,10
F,0.54,0.435,10
I,0.34,0.13,10
M,0.47,0.2565,10
F,0.425,0.239,10
M,0.325,0.144,10
M,0.45,0.217,10
M,0.57,0.485,10
I,0.4,0.18,10
I,0.41,0.1945,10
F,0.485,0.355,10
M,0.535,0.42,10
M,0.51,0.31,10
I,0.365,0.1625,10
M,0.54,0.365,10
I,0.425,0.244,10
M,0.55,0.404,10
M,0.345,0.125,10
I,0.45,0.2595,10
M,0.505,0.345,10
F,0.265,0.0735,10
F,0.48,0.3135,10
F,0.44,0.263,10
F,0.455,0.3,10
M,0.515,0.358,10
F,0.485,0.3705,10
M,0.485,0.3035,10
I,0.445,0.26,10
M,0.48,0.347,10
M,0.46,0.323,10
I,0.425,0.26,10
M,0.34,0.185,10
M,0.46,0.265,10
F,0.36,0.16,10
M,0.475,0.3,10
F,0.375,0.167,10
F,0.425,0.23,10
M,0.26,0.06,10
I,0.405,0.21,10
M,0.525,0.35,10
M,0.37,0.185,10
F,0.48,0.293,10
F,0.315,0.0835,10
F,0.48,0.365,10
M,0.57,0.446,10
F,0.415,0.285,10
I,0.45,0.254,10
M,0.47,0.295,10
M,0.57,0.5315,10
M,0.435,0.259,10
I,0.425,0.236,10
F,0.47,0.2315,10
M,0.525,0.465,10
F,0.475,0.355,10
M,0.495,0.365,10
M,0.44,0.2605,10
M,0.265,0.065,10
M,0.44,0.2795,10
F,0.33,0.125,10
M,0.46,0.2955,10
M,0.445,0.237,10
F,0.48,0.324,10
M,0.44,0.26,10
M,0.5,0.415,10
M,0.515,0.3685,10
F,0.555,0.4935,10
F,0.33,0.145,10
M,0.53,0.3735,10
M,0.365,0.276,10
M,0.51,0.339,10
I,0.26,0.06,10
M,0.48,0.29,10
F,0.44,0.2375,10
M,0.47,0.355,10
M,0.475,0.3035,10
M,0.54,0.384,10
F,0.395,0.24,10
M,0.495,0.285,10
F,0.34,0.13,10
F,0.53,0.389,10
F,0.53,0.398,10
M,0.515,0.335,10
M,0.475,0.26,10
M,0.525,0.4485,10
F,0.45,0.25,10
F,0.51,0.342,10
F,0.29,0.0885,10
M,0.47,0.33,10
F,0.495,0.3185,10
F,0.385,0.18,10
I,0.445,0.236,10
F,0.43,0.195,10
F,0.48,0.305,10
F,0.34,0.13,10
M,0.355,0.174,10
M,0.44,0.2485,10
I,0.425,0.24,10
F,0.55,0.435,10
M,0.415,0.205,10
M,0.35,0.135,10
F,0.55,0.3965,10
I,0.405,0.168,10
F,0.36,0.15,10
I,0.385,0.143,10
F,0.29,0.085,10
F,0.4,0.195,10
I,0.325,0.105,10
M,0.505,0.345,10
F,0.545,0.43,10
M,0.49,0.3465,10
M,0.355,0.1505,10
M,0.47,0.325,10
I,0.37,0.136,10
I,0.45,0.213,10
M,0.355,0.14,10
F,0.52,0.3825,10
F,0.465,0.263,10
I,0.47,0.315,10
F,0.485,0.34,10
F,0.455,0.2765,10
F,0.53,0.3725,10
F,0.435,0.27,10
M,0.46,0.275,10
I,0.37,0.145,10
I,0.43,0.2815,10
M,0.25,0.0605,10
I,0.43,0.225,10
F,0.395,0.3205,10
F,0.41,0.205,10
F,0.36,0.125,10
M,0.43,0.225,10
F,0.5,0.3,10
M,0.46,0.3305,10
F,0.41,0.2,10
F,0.49,0.319,8
I,0.38,0.175,8
I,0.295,0.085,8
I,0.44,0.224,8
M,0.34,0.135,8
F,0.425,0.205,8
F,0.505,0.336,8
F,0.46,0.248,8
F,0.33,0.1355,8
F,0.38,0.1785,8
M,0.52,0.4,8
I,0.38,0.209,8
I,0.4,0.2055,8
I,0.215,0.04,8
I,0.345,0.126,8
I,0.36,0.125,8
I,0.4,0.19,8
M,0.385,0.14,8
F,0.44,0.275,8
F,0.46,0.276,8
I,0.425,0.21,8
I,0.42,0.228,8
F,0.435,0.2295,8
I,0.46,0.235,8
M,0.355,0.135,8
M,0.395,0.225,8
M,0.49,0.265,8
M,0.41,0.268,8
M,0.415,0.2365,8
M,0.465,0.29,8
M,0.415,0.2875,8
M,0.435,0.285,8
I,0.395,0.148,8
F,0.405,0.22,8
M,0.435,0.206,8
M,0.37,0.135,8
I,0.3,0.0835,8
M,0.565,0.2685,8
I,0.31,0.1,8
M,0.5,0.25,8
F,0.46,0.29,8
I,0.45,0.24,8
F,0.425,0.202,8
M,0.39,0.1415,8
M,0.42,0.2315,8
I,0.47,0.289,8
M,0.44,0.239,8
F,0.4,0.22,8
I,0.365,0.182,8
M,0.23,0.043,8
M,0.48,0.3235,8
F,0.49,0.3595,8
I,0.39,0.185,8
I,0.42,0.198,8
M,0.295,0.095,8
F,0.375,0.17,8
I,0.37,0.152,8
M,0.325,0.13,8
I,0.34,0.11,8
I,0.325,0.1075,8
I,0.34,0.12,8
F,0.43,0.283,8
I,0.34,0.0965,8
I,0.355,0.1495,8
M,0.45,0.2405,8
I,0.355,0.12,8
M,0.45,0.2295,8
F,0.325,0.095,8
F,0.3,0.0935,8
I,0.395,0.165,8
I,0.385,0.1725,8
M,0.46,0.2385,8
I,0.355,0.1335,8
I,0.285,0.0675,8
F,0.445,0.2325,8
F,0.32,0.1,8
I,0.4,0.16,8
I,0.415,0.171,8
M,0.375,0.1505,8
I,0.325,0.09,8
I,0.325,0.0925,8
F,0.275,0.08,8
I,0.32,0.09,8
I,0.37,0.163,8
F,0.435,0.275,8
I,0.315,0.1,8
F,0.46,0.2,8
M,0.465,0.3055,8
F,0.48,0.33,8
F,0.435,0.23,8
F,0.46,0.275,8
M,0.455,0.268,8
M,0.47,0.2475,8
M,0.485,0.2415,8
I,0.375,0.1405,8
F,0.53,0.4,8
I,0.315,0.1015,8
M,0.42,0.1795,8
M,0.455,0.275,8
I,0.3,0.1645,8
M,0.505,0.323,8
I,0.385,0.151,8
I,0.42,0.1985,8
I,0.4,0.1935,8
M,0.28,0.075,8
F,0.35,0.131,8
I,0.4,0.175,8
F,0.425,0.228,8
I,0.42,0.22,8
I,0.375,0.16,8
I,0.34,0.125,8
M,0.455,0.24,8
F,0.355,0.135,8
M,0.395,0.1495,8
I,0.355,0.14,8
F,0.4,0.18,8
I,0.43,0.2725,8
M,0.265,0.063,8
M,0.485,0.3,8
I,0.375,0.161,8
I,0.43,0.22,8
F,0.415,0.175,8
I,0.4,0.1645,8
M,0.45,0.2445,8
F,0.5,0.35,8
I,0.28,0.09,8
F,0.38,0.185,8
F,0.35,0.175,8
I,0.38,0.1535,8
I,0.325,0.115,8
M,0.305,0.085,8
F,0.5,0.3995,8
F,0.305,0.105,8
I,0.43,0.23,8
M,0.455,0.225,8
I,0.395,0.171,8
I,0.315,0.1045,8
I,0.365,0.151,8
I,0.365,0.158,8
I,0.225,0.035,8
F,0.46,0.2565,8
I,0.395,0.17,8
F,0.44,0.2155,8
I,0.34,0.125,8
I,0.375,0.162,8
F,0.425,0.1795,8
F,0.36,0.16,8
I,0.355,0.125,8
I,0.29,0.078,8
F,0.43,0.23,8
I,0.435,0.244,8
M,0.3,0.0775,8
M,0.35,0.135,8
M,0.455,0.25,8
F,0.365,0.141,8
F,0.43,0.223,8
M,0.48,0.286,8
M,0.365,0.313,8
F,0.44,0.185,8
I,0.365,0.135,8
F,0.38,0.1515,8
I,0.43,0.2055,8
F,0.475,0.3065,8
I,0.325,0.095,8
M,0.335,0.12,8
F,0.46,0.265,8
I,0.4,0.2,8
M,0.275,0.0905,8
M,0.355,0.15,8
I,0.28,0.065,8
I,0.415,0.2215,8
I,0.28,0.0725,8
M,0.325,0.1155,8
I,0.355,0.1435,8
I,0.375,0.17,8
F,0.355,0.1335,8
I,0.37,0.126,8
I,0.38,0.157,8
M,0.195,0.027,8
F,0.495,0.245,8
I,0.285,0.068,8
M,0.385,0.17,8
I,0.34,0.115,8
M,0.445,0.249,8
I,0.4,0.204,8
I,0.375,0.185,8
M,0.41,0.159,8
I,0.315,0.11,8
M,0.36,0.19,8
F,0.48,0.32,8
M,0.37,0.146,8
F,0.365,0.1245,8
F,0.34,0.109,8
I,0.375,0.1525,8
M,0.345,0.132,8
I,0.425,0.213,8
F,0.265,0.06,8
I,0.385,0.165,8
I,0.35,0.123,8
M,0.47,0.275,8
F,0.5,0.352,8
I,0.245,0.05,8
I,0.31,0.115,8
F,0.475,0.315,8
I,0.195,0.034,8
I,0.34,0.1345,8
I,0.415,0.185,8
I,0.405,0.182,8
M,0.485,0.31,8
I,0.375,0.1725,8
M,0.4,0.149,8
I,0.475,0.251,8
M,0.395,0.252,8
I,0.34,0.12,8
I,0.23,0.04,8
M,0.43,0.229,8
M,0.39,0.169,8
I,0.3,0.075,8
M,0.465,0.255,8
I,0.385,0.174,8
I,0.325,0.1065,8
I,0.39,0.19,8
I,0.37,0.139,8
I,0.385,0.1805,8
M,0.35,0.135,8
M,0.385,0.1695,8
I,0.39,0.156,8
I,0.37,0.1465,8
I,0.39,0.1615,8
I,0.39,0.173,8
F,0.465,0.47,8
I,0.4,0.17,8
M,0.5,0.32,8
F,0.45,0.2335,8
M,0.28,0.074,8
M,0.45,0.2605,8
I,0.385,0.195,8
I,0.375,0.157,8
I,0.345,0.11,8
M,0.475,0.27,8
I,0.42,0.1755,8
I,0.33,0.11,8
I,0.355,0.155,8
I,0.355,0.184,8
F,0.47,0.29,8
F,0.425,0.24,8
F,0.305,0.09,8
M,0.425,0.2185,8
I,0.375,0.135,8
F,0.455,0.25,8
M,0.425,0.195,8
I,0.4,0.207,8
I,0.2,0.032,8
M,0.37,0.142,8
M,0.39,0.1535,8
M,0.45,0.2515,8
M,0.335,0.135,8
M,0.355,0.125,8
I,0.4,0.169,8
M,0.385,0.153,8
I,0.385,0.165,8
I,0.375,0.13,8
F,0.455,0.225,8
F,0.43,0.22,8
M,0.425,0.19,8
I,0.385,0.135,8
I,0.375,0.145,8
F,0.355,0.2825,8
I,0.36,0.147,8
I,0.375,0.1545,8
F,0.375,0.135,8
I,0.32,0.0945,8
I,0.365,0.18,8
I,0.345,0.12,8
I,0.355,0.1505,8
I,0.37,0.1455,8
I,0.395,0.1405,8
M,0.44,0.27,8
I,0.44,0.239,8
M,0.485,0.215,8
M,0.33,0.129,8
F,0.425,0.215,8
I,0.365,0.1315,8
M,0.415,0.203,8
M,0.45,0.216,8
F,0.465,0.255,8
F,0.4,0.1765,8
F,0.36,0.1385,8
M,0.37,0.135,8
I,0.355,0.132,8
F,0.42,0.225,8
I,0.345,0.109,8
I,0.38,0.165,8
I,0.38,0.185,8
I,0.255,0.06,8
I,0.355,0.14,8
I,0.435,0.227,8
F,0.41,0.177,8
I,0.375,0.143,8
M,0.445,0.2215,8
I,0.325,0.105,8
I,0.395,0.2455,8
I,0.405,0.21,8
I,0.405,0.174,8
I,0.26,0.065,8
F,0.42,0.2035,8
F,0.275,0.07,8
I,0.32,0.105,8
F,0.33,0.12,8
I,0.285,0.08,8
F,0.42,0.223,8
F,0.46,0.275,8
F,0.435,0.2245,8
M,0.44,0.245,8
I,0.38,0.134,8
I,0.275,0.15,8
I,0.3,0.0895,8
I,0.34,0.115,8
I,0.405,0.18,8
M,0.335,0.135,8
I,0.21,0.031,8
I,0.43,0.2175,8
M,0.455,0.2335,8
I,0.37,0.15,8
I,0.31,0.081,8
M,0.47,0.287,8
I,0.33,0.1245,8
I,0.28,0.067,8
I,0.34,0.12,8
I,0.4,0.19,8
I,0.38,0.16,8
I,0.345,0.125,8
I,0.24,0.054,8
I,0.355,0.14,8
M,0.355,0.2505,8
I,0.27,0.061,8
I,0.335,0.109,8
I,0.425,0.2105,8
F,0.455,0.333,8
I,0.4,0.1785,8
I,0.42,0.2,8
F,0.415,0.175,8
M,0.39,0.119,8
M,0.465,0.176,8
I,0.34,0.1315,8
F,0.445,0.2785,8
F,0.39,0.175,8
F,0.435,0.36,8
I,0.33,0.105,8
M,0.35,0.175,8
M,0.51,0.377,8
I,0.39,0.16,8
I,0.375,0.1395,8
M,0.41,0.194,8
I,0.35,0.14,8
I,0.31,0.085,8
I,0.305,0.09,8
I,0.315,0.088,8
F,0.51,0.321,8
I,0.31,0.0995,8
I,0.38,0.1505,8
I,0.43,0.2615,8
M,0.47,0.24,8
M,0.36,0.115,8
F,0.44,0.245,8
M,0.47,0.28,8
I,0.38,0.167,8
M,0.515,0.3445,8
F,0.365,0.175,8
M,0.41,0.1955,8
I,0.435,0.1205,8
I,0.29,0.076,8
I,0.405,0.1485,8
F,0.445,0.24,8
I,0.33,0.1185,8
M,0.54,0.4325,8
I,0.355,0.185,8
F,0.34,0.1175,8
I,0.285,0.075,8
M,0.355,0.239,8
M,0.435,0.255,8
M,0.35,0.1305,8
I,0.415,0.225,8
M,0.38,0.185,8
I,0.44,0.2,8
I,0.28,0.079,8
F,0.365,0.146,8
M,0.45,0.24,8
M,0.505,0.365,8
I,0.27,0.07,8
M,0.525,0.405,8
I,0.42,0.1845,8
F,0.43,0.22,8
I,0.34,0.105,8
I,0.375,0.149,8
I,0.3,0.085,8
M,0.47,0.292,8
M,0.43,0.2155,8
I,0.35,0.1325,8
M,0.4,0.211,8
M,0.39,0.19,8
I,0.4,0.169,8
I,0.36,0.1305,8
I,0.38,0.1665,8
I,0.36,0.19,8
M,0.48,0.35,8
M,0.415,0.1955,8
I,0.335,0.11,8
M,0.41,0.2105,8
I,0.255,0.0525,8
F,0.34,0.135,8
I,0.32,0.105,8
I,0.26,0.07,8
M,0.405,0.1885,8
M,0.355,0.1395,8
I,0.385,0.15,8
I,0.325,0.1,8
F,0.46,0.2815,8
M,0.375,0.169,8
M,0.35,0.117,8
M,0.485,0.276,8
M,0.48,0.372,8
I,0.29,0.08,8
F,0.42,0.183,8
F,0.435,0.265,8
I,0.45,0.253,8
M,0.405,0.175,8
I,0.38,0.166,8
I,0.36,0.13,8
I,0.4,0.18,8
M,0.435,0.214,8
F,0.4,0.205,8
I,0.355,0.14,8
M,0.445,0.219,8
M,0.48,0.27,8
M,0.42,0.25,8
M,0.38,0.175,8
M,0.455,0.265,8
I,0.45,0.245,8
I,0.36,0.125,8
M,0.375,0.145,8
F,0.465,0.25,8
M,0.275,0.085,8
F,0.445,0.253,8
I,0.365,0.15,8
M,0.365,0.139,8
F,0.445,0.22,8
I,0.41,0.184,8
F,0.385,0.17,8
I,0.48,0.29,8
I,0.26,0.07,8
M,0.44,0.25,8
I,0.31,0.087,8
M,0.4,0.1735,8
I,0.365,0.2305,8
I,0.405,0.185,8
I,0.3,0.12,8
F,0.48,0.248,8
F,0.325,0.155,8
M,0.48,0.28,8
I,0.3,0.075,8
M,0.45,0.237,8
I,0.435,0.206,8
I,0.375,0.15,8
M,0.4,0.185,8
M,0.45,0.23,8
M,0.36,0.155,8
M,0.255,0.092,8
M,0.385,0.1455,8
I,0.375,0.191,8
I,0.41,0.2,8
I,0.24,0.04,8
M,0.395,0.167,8
I,0.365,0.135,8
I,0.31,0.0925,8
I,0.28,0.064,8
M,0.44,0.23,8
I,0.39,0.1605,8
I,0.38,0.1505,8
I,0.325,0.1125,8
I,0.385,0.304,8
M,0.465,0.28,8
I,0.315,0.095,8
I,0.325,0.101,8
M,0.365,0.14,8
I,0.43,0.2095,8
M,0.47,0.309,8
M,0.445,0.24,8
I,0.25,0.055,8
F,0.355,0.145,8
M,0.285,0.08,8
I,0.32,0.0725,8
F,0.43,0.1945,8
M,0.415,0.255,8
M,0.385,0.1775,8
F,0.45,0.29,8
I,0.355,0.184,8
I,0.35,0.1405,8
I,0.37,0.15,8
M,0.375,0.15,8
F,0.35,0.13,8
F,0.405,0.215,8
F,0.425,0.1965,8
M,0.39,0.1635,8
I,0.29,0.0825,8
M,0.4,0.175,8
I,0.395,0.17,8
I,0.36,0.15,8
I,0.31,0.0855,8
I,0.335,0.1185,8
M,0.44,0.375,20
M,0.44,0.375,20
M,0.525,0.445,20
M,0.515,0.525,20
I,0.445,0.315,20
M,0.58,0.58,20
M,0.47,0.325,20
F,0.45,0.405,20
M,0.415,0.265,20
F,0.455,0.415,20
F,0.485,0.515,20
F,0.57,0.65,20
M,0.525,0.37,20
F,0.475,0.425,20
F,0.47,0.358,20
F,0.525,0.445,20
M,0.435,0.31,20
M,0.515,0.45,20
M,0.525,0.43,20
F,0.4,0.225,20
F,0.545,0.605,20
F,0.415,0.33,20
I,0.42,0.205,20
F,0.4,0.28,16
I,0.445,0.355,16
M,0.365,0.19,16
I,0.33,0.195,16
I,0.48,0.425,16
M,0.545,0.455,16
F,0.545,0.415,16
F,0.525,0.58,16
F,0.35,0.1335,16
F,0.52,0.474,16
M,0.575,0.665,16
M,0.415,0.235,16
F,0.535,0.42,16
F,0.39,0.21,16
F,0.465,0.295,16
M,0.4,0.185,16
M,0.5,0.465,16
F,0.6,0.71,16
F,0.5,0.39,16
F,0.435,0.22,16
M,0.485,0.29,16
F,0.405,0.345,16
I,0.445,0.275,16
F,0.545,0.485,16
M,0.45,0.27,16
F,0.425,0.25,16
F,0.565,0.5,16
M,0.5,0.37,16
M,0.485,0.405,16
F,0.5,0.36,16
F,0.595,0.66,16
M,0.52,0.4465,16
F,0.44,0.335,16
M,0.525,0.47,16
M,0.565,0.58,16
F,0.375,0.23,16
M,0.455,0.375,16
F,0.475,0.34,16
M,0.46,0.435,16
M,0.45,0.365,16
M,0.42,0.26,16
M,0.405,0.29,16
F,0.525,0.665,16
M,0.465,0.33,16
M,0.48,0.36,16
F,0.425,0.26,16
M,0.51,0.545,16
M,0.515,0.49,16
M,0.525,0.465,16
M,0.485,0.635,16
M,0.45,0.425,16
M,0.35,0.184,16
F,0.315,0.1195,16
M,0.47,0.34,16
F,0.425,0.32,16
I,0.355,0.14,16
F,0.515,0.42,16
F,0.48,0.295,16
F,0.515,0.425,16
F,0.445,0.335,16
M,0.515,0.34,16
F,0.44,0.335,19
F,0.455,0.35,19
M,0.57,0.5,19
F,0.475,0.425,19
M,0.405,0.29,19
M,0.55,0.57,19
M,0.41,0.355,19
M,0.515,0.41,19
M,0.45,0.41,19
F,0.41,0.24,19
M,0.405,0.295,19
M,0.38,0.215,19
M,0.5,0.33,19
F,0.425,0.285,19
F,0.525,0.435,19
F,0.44,0.32,19
F,0.58,0.6,19
M,0.455,0.345,19
F,0.52,0.42,19
M,0.475,0.27,19
M,0.435,0.325,19
F,0.46,0.26,19
M,0.515,0.355,19
F,0.55,0.455,19
F,0.485,0.3,19
I,0.355,0.16,19
F,0.555,0.515,19
M,0.535,0.54,19
I,0.425,0.245,14
M,0.45,0.36,14
F,0.455,0.285,14
