@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.49,0.656,0.2455,9
F,0.5,0.7145,0.3235,9
I,0.44,0.4465,0.213,9
M,0.625,1.124,0.556,9
M,0.65,1.1805,0.5235,9
F,0.38,0.3215,0.1545,9
M,0.59,1.187,0.5985,9
I,0.54,0.6275,0.2505,9
I,0.575,0.8515,0.4555,9
M,0.59,0.998,0.445,9
M,0.61,1.022,0.449,9
M,0.59,1.004,0.496,9
M,0.595,0.9125,0.4095,9
F,0.53,0.741,0.325,9
F,0.67,1.3645,0.6075,9
I,0.475,0.456,0.182,9
I,0.455,0.372,0.138,9
I,0.44,0.3875,0.1755,9
I,0.53,0.5745,0.2525,9
I,0.45,0.448,0.208,9
I,0.51,0.5775,0.231,9
M,0.615,1.224,0.6035,9
M,0.61,1.142,0.62,9
I,0.42,0.3915,0.1575,9
M,0.5,0.6765,0.302,9
F,0.615,0.9525,0.3915,9
I,0.32,0.1565,0.057,9
M,0.575,0.9785,0.4505,9
M,0.63,1.1005,0.52,9
I,0.445,0.4235,0.182,9
M,0.495,0.5415,0.2375,9
M,0.53,0.702,0.2975,9
M,0.575,0.9465,0.4355,9
F,0.605,1.289,0.6,9
F,0.49,0.578,0.2395,9
I,0.575,0.8015,0.3475,9
F,0.54,0.7505,0.368,9
I,0.56,0.974,0.547,9
I,0.515,0.6965,0.32,9
F,0.675,1.4785,0.628,9
M,0.615,1.0875,0.4975,9
M,0.625,1.254,0.5815,9
M,0.44,0.487,0.226,9
M,0.45,0.3715,0.1605,9
M,0.365,0.2205,0.0855,9
M,0.54,0.891,0.4815,9
I,0.475,0.4535,0.203,9
M,0.595,1.108,0.4915,9
I,0.51,0.6855,0.2875,9
M,0.615,1.296,0.545,9
M,0.64,1.006,0.456,9
M,0.565,0.9595,0.4565,9
M,0.685,1.4545,0.6315,9
M,0.605,1.1175,0.555,9
M,0.63,1.1315,0.481,9
M,0.605,1.167,0.457,9
F,0.635,1.4595,0.705,9
F,0.625,1.3745,0.7335,9
F,0.615,1.084,0.5885,9
F,0.58,0.92,0.393,9
F,0.705,1.219,0.6395,9
F,0.645,1.1665,0.4935,9
I,0.5,0.5075,0.2115,9
M,0.645,1.251,0.5355,9
M,0.585,0.9145,0.4555,9
M,0.475,0.4625,0.186,9
M,0.645,1.192,0.6055,9
F,0.595,1.1775,0.542,9
M,0.67,1.4005,0.715,9
M,0.425,0.393,0.13,9
M,0.575,0.9215,0.354,9
M,0.595,0.944,0.3625,9
M,0.61,1.052,0.498,9
F,0.525,0.756,0.2745,9
F,0.65,1.3825,0.702,9
M,0.485,0.968,0.419,9
M,0.335,0.1975,0.0795,9
I,0.555,0.7905,0.3485,9
M,0.63,1.0915,0.4615,9
I,0.525,0.6055,0.2605,9
M,0.565,0.836,0.406,9
M,0.615,1.12,0.5775,9
I,0.535,0.728,0.2845,9
M,0.495,0.976,0.45,9
M,0.395,0.282,0.0975,9
I,0.435,0.4075,0.1535,9
F,0.445,0.455,0.1785,9
M,0.635,1.2915,0.594,9
I,0.555,0.5585,0.222,9
M,0.58,0.9615,0.486,9
M,0.725,2.3305,1.253,9
F,0.715,1.79,0.844,9
M,0.625,1.179,0.605,9
M,0.4,0.2935,0.096,9
F,0.55,0.651,0.2965,9
F,0.53,0.5685,0.249,9
F,0.615,0.923,0.4615,9
M,0.555,0.837,0.382,9
I,0.535,0.6885,0.273,9
F,0.545,0.6765,0.29,9
M,0.565,0.895,0.415,9
I,0.42,0.352,0.1635,9
M,0.52,0.6595,0.2485,9
F,0.535,0.7145,0.335,9
I,0.35,0.209,0.066,9
F,0.585,0.9835,0.4845,9
F,0.6,1.13,0.575,9
M,0.47,0.5795,0.293,9
I,0.53,0.555,0.1935,9
F,0.515,0.5755,0.1975,9
M,0.535,0.725,0.269,9
I,0.5,0.6215,0.2925,9
M,0.62,1.1,0.505,9
F,0.51,1.183,0.508,9
M,0.6,1.176,0.5255,9
F,0.54,0.9455,0.3675,9
F,0.58,1.165,0.65,9
M,0.59,0.853,0.326,9
M,0.565,0.784,0.3495,9
F,0.655,1.5475,0.713,9
F,0.605,1.056,0.433,9
M,0.5,0.5975,0.27,9
M,0.45,0.3955,0.147,9
F,0.675,1.711,0.8365,9
M,0.505,0.642,0.289,9
I,0.525,0.664,0.3115,9
F,0.575,0.895,0.3605,9
F,0.57,1.018,0.447,9
I,0.67,1.2565,0.5355,9
M,0.62,1.307,0.6355,9
M,0.545,0.793,0.434,9
F,0.62,1.0405,0.464,9
I,0.505,0.6115,0.245,9
M,0.515,0.9225,0.4185,9
M,0.51,0.7175,0.3725,9
I,0.47,0.5225,0.198,9
F,0.465,0.421,0.1565,9
F,0.69,1.454,0.624,9
M,0.625,1.177,0.5055,9
I,0.515,0.573,0.213,9
F,0.525,0.8435,0.4325,9
M,0.44,0.4585,0.2,9
F,0.575,1.103,0.538,9
M,0.39,0.3055,0.143,9
F,0.345,0.197,0.071,9
F,0.625,1.38,0.5845,9
M,0.6,1.11,0.5105,9
M,0.725,1.51,0.8735,9
I,0.48,0.494,0.2385,9
M,0.625,1.0985,0.4645,9
F,0.605,1.1185,0.469,9
I,0.525,0.6095,0.248,9
M,0.56,0.9415,0.509,9
M,0.61,1.281,0.597,9
M,0.46,0.5165,0.1885,9
F,0.56,0.714,0.283,9
I,0.44,0.438,0.2115,9
M,0.575,0.785,0.318,9
F,0.545,0.7405,0.3565,9
F,0.615,1.055,0.543,9
M,0.625,1.2935,0.5805,9
M,0.5,0.5765,0.273,9
F,0.56,0.9705,0.4315,9
M,0.625,1.2135,0.631,9
M,0.66,1.5655,0.7345,9
F,0.615,1.0805,0.52,9
I,0.385,0.2615,0.111,9
F,0.57,0.811,0.3875,9
F,0.645,1.159,0.4675,9
F,0.55,0.8105,0.368,9
I,0.515,0.565,0.235,9
M,0.645,1.2095,0.603,9
I,0.48,0.5435,0.244,9
M,0.65,1.469,0.7115,9
I,0.36,0.199,0.0695,9
I,0.465,0.471,0.222,9
M,0.325,0.155,0.0475,9
F,0.33,0.2,0.0625,9
F,0.565,0.863,0.435,9
M,0.505,0.5525,0.239,9
M,0.35,0.195,0.0745,9
F,0.615,1.1215,0.545,9
F,0.555,0.812,0.4055,9
F,0.63,1.306,0.516,9
F,0.53,0.677,0.2565,9
M,0.56,0.8995,0.464,9
F,0.565,0.83,0.393,9
I,0.55,0.741,0.348,9
M,0.34,0.213,0.081,9
M,0.645,1.33,0.6665,9
M,0.64,1.1285,0.477,9
M,0.65,1.304,0.57,9
M,0.475,0.5095,0.2165,9
I,0.475,0.4555,0.177,9
M,0.625,1.082,0.4955,9
I,0.53,0.632,0.2715,9
M,0.455,0.401,0.1575,9
I,0.46,0.447,0.161,9
F,0.58,0.8265,0.4035,9
F,0.585,1.058,0.486,9
I,0.545,0.687,0.2615,9
I,0.54,0.7265,0.3205,9
F,0.505,0.6855,0.361,9
I,0.4,0.2775,0.1245,9
F,0.53,0.6355,0.2635,9
I,0.475,0.4225,0.1905,9
F,0.54,0.8115,0.3875,9
F,0.45,0.4715,0.2035,9
M,0.585,0.9335,0.478,9
I,0.51,0.5575,0.2615,9
I,0.53,0.7675,0.419,9
F,0.635,1.211,0.707,9
I,0.54,0.836,0.3725,9
I,0.58,0.701,0.3285,9
F,0.43,0.397,0.1575,9
I,0.4,0.315,0.109,9
M,0.445,0.515,0.2495,9
M,0.6,1.285,0.6095,9
I,0.455,0.452,0.2165,9
I,0.535,0.6075,0.268,9
F,0.605,1.1775,0.611,9
M,0.575,0.839,0.4005,9
I,0.405,0.347,0.1605,9
M,0.53,0.738,0.2845,9
M,0.65,1.3455,0.586,9
I,0.44,0.379,0.162,9
M,0.575,0.907,0.4245,9
F,0.545,1.1185,0.5425,9
F,0.66,1.3275,0.556,9
M,0.505,0.655,0.3185,9
F,0.555,0.913,0.4585,9
M,0.58,0.8295,0.3365,9
F,0.605,1.076,0.463,9
I,0.52,0.663,0.3005,9
M,0.425,0.4405,0.152,9
I,0.61,0.9605,0.4495,9
I,0.42,0.3435,0.1515,9
M,0.685,1.7925,0.8145,9
F,0.61,1.0835,0.4525,9
F,0.45,0.425,0.1865,9
F,0.45,0.4165,0.1655,9
I,0.44,0.375,0.1425,9
M,0.595,1.057,0.4255,9
F,0.58,0.93,0.385,9
M,0.385,0.2775,0.109,9
I,0.565,0.6545,0.2815,9
F,0.585,0.9355,0.4035,9
I,0.465,0.4075,0.1515,9
F,0.655,1.494,0.6895,9
I,0.54,0.6555,0.2705,9
I,0.5,0.5795,0.239,9
M,0.525,0.622,0.2655,9
F,0.545,0.844,0.3945,9
F,0.64,1.382,0.646,9
M,0.6,1.038,0.4975,9
I,0.555,0.783,0.345,9
F,0.625,1.3235,0.6075,9
M,0.61,0.983,0.4565,10
F,0.615,1.1615,0.513,10
F,0.61,1.1155,0.3835,10
M,0.7,2.003,0.8105,10
M,0.655,1.4245,0.6325,10
M,0.59,0.8855,0.388,10
M,0.625,1.3325,0.5705,10
I,0.53,0.6255,0.245,10
M,0.615,0.9335,0.382,10
I,0.54,0.7585,0.307,10
I,0.55,0.7535,0.3285,10
M,0.625,1.4105,0.691,10
M,0.445,0.4415,0.1805,10
F,0.655,1.348,0.5855,10
I,0.5,0.6265,0.2605,10
M,0.66,1.489,0.6065,10
F,0.62,1.233,0.592,10
F,0.67,1.309,0.5445,10
M,0.67,1.519,0.616,10
M,0.47,0.4665,0.2025,10
M,0.6,1.0165,0.512,10
M,0.605,1.1835,0.582,10
F,0.455,0.4385,0.206,10
F,0.56,1.0235,0.429,10
I,0.425,0.3265,0.1285,10
I,0.56,0.9175,0.4005,10
F,0.625,1.2255,0.5075,10
F,0.64,1.3115,0.4945,10
M,0.7,1.9125,0.8825,10
M,0.57,1.0145,0.516,10
F,0.61,1.2635,0.53,10
F,0.6,0.922,0.363,10
F,0.395,0.2245,0.078,10
M,0.695,2.173,1.133,10
F,0.56,1.224,0.5565,10
F,0.71,1.3165,0.6835,10
M,0.645,1.39,0.6465,10
M,0.62,0.911,0.375,10
M,0.44,0.516,0.2155,10
M,0.57,1.1935,0.513,10
M,0.56,0.8255,0.2425,10
I,0.37,0.25,0.1025,10
F,0.575,1.764,0.914,10
M,0.62,1.085,0.454,10
M,0.475,0.5175,0.2075,10
I,0.475,0.53,0.2505,10
F,0.615,1.0265,0.4935,10
M,0.4,0.287,0.1135,10
F,0.48,0.6375,0.277,10
F,0.635,1.3715,0.5065,10
F,0.59,1.0425,0.4635,10
F,0.66,1.337,0.615,10
M,0.575,0.892,0.4415,10
F,0.655,1.6525,0.8515,10
M,0.485,0.5725,0.204,10
F,0.55,1.205,0.543,10
I,0.545,0.8145,0.305,10
F,0.605,1.382,0.609,10
M,0.59,1.115,0.5165,10
I,0.585,0.8465,0.339,10
F,0.655,1.367,0.5835,10
M,0.555,1.406,0.6115,10
F,0.42,0.4135,0.1645,10
M,0.735,2.2355,1.1705,10
F,0.635,1.2435,0.5805,10
M,0.535,0.7845,0.3285,10
M,0.67,1.4755,0.6275,10
F,0.545,0.754,0.256,10
F,0.6,1.0645,0.4495,10
M,0.685,1.885,0.89,10
M,0.415,0.417,0.1535,10
F,0.36,0.2165,0.096,10
M,0.345,0.163,0.0615,10
M,0.58,0.9975,0.3935,10
M,0.59,0.977,0.4625,10
F,0.615,1.1155,0.5045,10
M,0.55,0.869,0.3155,10
M,0.465,0.7775,0.436,10
F,0.6,0.837,0.37,10
M,0.625,1.223,0.565,10
M,0.57,0.9055,0.3925,10
M,0.625,1.096,0.5445,10
M,0.585,1.04,0.434,10
F,0.635,1.1845,0.533,10
F,0.595,1.11,0.498,10
M,0.69,1.872,0.893,10
F,0.65,1.2075,0.5105,10
F,0.575,1.116,0.509,10
M,0.425,0.388,0.149,10
M,0.54,0.817,0.2945,10
F,0.635,1.2565,0.539,10
F,0.6,1.088,0.4905,10
I,0.535,0.705,0.3065,10
I,0.55,0.7995,0.295,10
M,0.635,1.3695,0.657,10
M,0.33,0.197,0.085,10
M,0.58,1.0465,0.518,10
F,0.6,1.1345,0.492,10
I,0.55,0.8725,0.412,10
M,0.585,1.1135,0.5825,10
M,0.61,1.3065,0.6895,10
F,0.515,0.7565,0.1905,10
M,0.625,1.085,0.4645,10
M,0.645,1.401,0.6165,10
F,0.575,0.8285,0.362,10
I,0.55,0.6755,0.3015,10
F,0.62,1.043,0.4835,10
I,0.57,0.7665,0.347,10
M,0.7,1.7585,0.8745,10
M,0.63,1.243,0.623,10
F,0.44,0.451,0.188,10
F,0.415,0.3605,0.12,10
F,0.505,0.5895,0.2635,10
M,0.495,0.474,0.197,10
F,0.585,0.913,0.4305,10
F,0.695,1.361,0.5465,10
M,0.345,0.169,0.06,10
F,0.5,0.6675,0.261,10
F,0.35,0.205,0.0745,10
M,0.61,1.112,0.465,10
I,0.47,0.441,0.167,10
F,0.605,1.1345,0.4305,10
M,0.4,0.297,0.108,10
F,0.535,0.8105,0.3155,10
F,0.655,1.2905,0.6205,10
F,0.65,1.35,0.575,10
F,0.645,1.1345,0.528,10
I,0.515,0.4745,0.213,10
F,0.67,1.566,0.858,10
M,0.49,0.7605,0.245,10
M,0.58,0.798,0.365,10
M,0.575,1.0105,0.368,10
F,0.565,1.058,0.439,10
M,0.485,0.663,0.313,10
F,0.62,1.293,0.596,10
M,0.605,0.9755,0.419,10
F,0.62,1.0165,0.4355,10
F,0.545,0.654,0.2945,10
I,0.595,0.984,0.4865,10
M,0.615,1.054,0.4845,10
M,0.635,1.1935,0.5205,10
M,0.585,0.953,0.3945,10
M,0.66,1.374,0.589,10
M,0.66,1.5505,0.6505,10
M,0.62,1.1015,0.4965,10
F,0.455,0.5725,0.1965,10
F,0.55,0.875,0.362,10
F,0.545,1.358,0.567,10
M,0.53,0.8315,0.352,10
M,0.715,1.89,0.95,10
I,0.57,0.7655,0.331,10
F,0.4,0.4335,0.2105,10
I,0.54,0.7205,0.2955,10
F,0.67,1.0145,0.4375,10
F,0.705,2.381,0.9915,10
M,0.58,0.7955,0.405,10
I,0.575,0.8145,0.403,10
M,0.565,0.831,0.4245,10
F,0.6,0.8895,0.419,10
F,0.585,0.982,0.4055,10
M,0.64,1.3715,0.567,10
M,0.625,1.2425,0.5995,10
M,0.665,1.3575,0.5325,10
F,0.6,1.056,0.4575,10
F,0.72,2.1505,1.0745,10
F,0.66,1.4415,0.5925,10
M,0.43,0.406,0.1675,10
F,0.635,1.1345,0.505,10
M,0.625,1.3405,0.656,10
I,0.54,0.6665,0.3125,10
F,0.715,2.0725,0.8655,10
M,0.37,0.241,0.11,10
I,0.55,0.89,0.4325,10
M,0.58,1.012,0.4985,10
M,0.585,0.885,0.4025,10
F,0.41,0.321,0.1255,10
I,0.47,0.468,0.1665,10
M,0.63,1.3415,0.6575,10
M,0.68,1.534,0.671,10
I,0.575,0.858,0.449,10
F,0.485,0.556,0.1925,10
M,0.615,1.129,0.4795,10
M,0.6,1.34,0.617,10
F,0.63,1.1655,0.536,10
M,0.66,1.558,0.755,10
M,0.645,1.307,0.4335,10
F,0.645,1.3345,0.667,10
M,0.555,0.86,0.3345,10
I,0.565,0.8715,0.3755,10
M,0.58,0.824,0.3465,10
F,0.62,1.1295,0.463,10
F,0.65,1.5245,0.59,10
M,0.615,1.128,0.4465,10
I,0.65,1.238,0.5495,10
M,0.67,1.5265,0.651,10
M,0.575,0.876,0.3795,10
F,0.63,1.336,0.6805,10
F,0.475,0.588,0.237,10
F,0.59,0.966,0.391,10
I,0.515,0.6505,0.2495,10
M,0.57,1.195,0.5625,10
M,0.33,0.163,0.0615,10
I,0.585,0.985,0.3695,10
M,0.58,1.4395,0.6715,10
M,0.705,1.675,0.797,10
F,0.6,1.1345,0.4535,10
I,0.485,0.458,0.181,10
M,0.475,0.563,0.2525,10
M,0.545,0.8445,0.373,10
M,0.625,1.3555,0.671,10
I,0.555,0.7395,0.3135,10
M,0.53,0.699,0.288,10
F,0.615,1.327,0.6,10
F,0.535,0.6845,0.2725,10
F,0.58,0.974,0.4305,10
I,0.58,0.7905,0.3525,10
F,0.625,1.3525,0.6235,10
F,0.49,0.585,0.243,10
F,0.415,0.3675,0.146,10
M,0.615,1.167,0.4895,10
M,0.54,0.6855,0.293,10
F,0.625,1.362,0.6765,10
F,0.575,0.857,0.461,10
I,0.61,0.9665,0.4145,10
I,0.55,0.7935,0.378,10
M,0.635,1.1795,0.4785,10
M,0.465,0.5265,0.2105,10
M,0.45,0.478,0.18,10
M,0.64,1.098,0.5195,10
M,0.54,0.879,0.339,10
M,0.625,1.205,0.5175,10
F,0.5,0.5765,0.2395,10
F,0.38,0.257,0.099,10
M,0.655,1.274,0.586,10
F,0.575,1.1,0.506,10
F,0.63,1.0005,0.452,10
M,0.515,0.623,0.2855,10
M,0.595,0.799,0.3245,10
M,0.585,1.409,0.8,10
I,0.55,0.7915,0.3535,10
M,0.46,0.495,0.1655,10
M,0.6,1.262,0.6245,10
M,0.51,0.6565,0.262,10
M,0.62,1.2815,0.5715,10
F,0.475,0.5785,0.2775,10
M,0.62,1.3585,0.5935,10
M,0.615,1.0565,0.4815,10
M,0.635,1.4065,0.684,10
I,0.405,0.3625,0.1565,10
F,0.455,0.5185,0.221,10
M,0.585,1.206,0.581,10
F,0.525,0.717,0.289,10
F,0.62,1.2155,0.545,10
F,0.665,1.389,0.5945,10
M,0.375,0.2225,0.0875,10
M,0.675,1.265,0.6025,10
I,0.55,0.712,0.3025,10
F,0.58,0.8785,0.425,10
F,0.65,1.567,0.7245,10
F,0.72,1.9965,0.9035,10
F,0.66,1.5965,0.7765,10
M,0.72,1.8275,0.919,10
M,0.585,1.171,0.522,10
I,0.55,0.656,0.257,10
F,0.65,1.2895,0.6095,10
F,0.455,0.458,0.1985,10
M,0.64,1.3135,0.4865,10
M,0.6,1.142,0.539,10
F,0.54,0.7655,0.3265,10
I,0.435,0.407,0.1685,10
M,0.57,0.873,0.382,10
F,0.52,0.8045,0.3325,10
I,0.475,0.499,0.232,10
M,0.51,0.6905,0.259,10
F,0.58,1.017,0.3515,10
M,0.58,1.049,0.5205,10
I,0.575,0.805,0.3155,10
F,0.66,1.431,0.622,10
F,0.38,0.3105,0.12,10
M,0.62,1.0855,0.481,10
M,0.53,0.7455,0.2995,10
M,0.67,1.482,0.739,10
F,0.705,1.564,0.612,10
F,0.705,1.761,0.747,10
I,0.515,0.6725,0.2555,10
F,0.685,1.5105,0.7385,10
I,0.575,0.8715,0.45,10
I,0.415,0.3215,0.1535,10
F,0.695,1.679,0.805,10
M,0.74,1.8725,0.9115,10
F,0.55,0.9205,0.381,10
I,0.355,0.216,0.083,10
M,0.615,0.9685,0.49,10
M,0.61,1.214,0.5315,10
M,0.505,0.4825,0.21,10
F,0.585,1.077,0.4995,10
M,0.52,0.5815,0.2565,10
F,0.52,0.813,0.385,10
M,0.485,0.547,0.215,10
F,0.6,1.122,0.5095,10
F,0.67,1.42,0.573,10
M,0.635,0.986,0.405,10
M,0.695,1.74,0.885,10
F,0.345,0.207,0.0775,10
M,0.585,1.065,0.5315,10
F,0.645,1.546,0.7035,10
I,0.35,0.174,0.0705,10
F,0.595,1.0455,0.4565,10
F,0.65,1.5055,0.6565,10
M,0.64,1.139,0.5395,10
F,0.63,1.1105,0.467,10
M,0.535,0.875,0.279,10
M,0.685,1.3845,0.6615,10
F,0.565,0.826,0.341,10
M,0.685,1.519,0.699,10
M,0.7,1.8565,0.8445,10
F,0.69,1.658,0.708,10
I,0.52,0.699,0.3395,10
F,0.64,1.1145,0.508,10
F,0.665,1.2475,0.4625,10
F,0.49,0.6345,0.1995,10
F,0.645,1.2395,0.468,10
M,0.55,1.0145,0.407,10
I,0.57,0.833,0.354,10
F,0.58,0.925,0.37,10
F,0.645,1.2205,0.6145,10
M,0.685,1.533,0.667,10
M,0.585,0.922,0.3635,10
M,0.6,1.1315,0.508,10
M,0.445,0.3795,0.143,10
I,0.63,1.0605,0.5165,10
M,0.625,1.0565,0.4615,10
F,0.47,0.4775,0.2105,10
I,0.465,0.7615,0.362,10
M,0.37,0.228,0.0675,10
M,0.605,1.1155,0.479,10
M,0.46,0.515,0.224,10
F,0.535,0.879,0.295,10
M,0.595,0.838,0.3965,10
F,0.47,0.5615,0.252,10
M,0.61,1.0265,0.435,10
F,0.59,0.976,0.465,10
M,0.645,1.226,0.5885,10
F,0.57,0.871,0.385,10
F,0.49,0.6725,0.249,10
F,0.53,0.6695,0.289,10
M,0.695,1.51,0.664,10
M,0.595,1.2015,0.492,10
F,0.635,1.2355,0.5205,10
I,0.54,0.702,0.322,10
F,0.615,1.1575,0.5005,10
F,0.585,0.9855,0.4325,10
M,0.57,0.8815,0.3605,10
M,0.625,1.0815,0.4715,10
M,0.66,1.4465,0.694,10
M,0.6,1.9875,1.005,10
M,0.63,1.2645,0.5635,10
F,0.595,1.148,0.444,10
M,0.63,1.3135,0.4935,10
F,0.65,1.281,0.5985,10
M,0.515,0.722,0.32,10
M,0.61,1.168,0.554,10
F,0.635,1.376,0.6495,10
F,0.625,1.0945,0.531,10
M,0.47,0.522,0.2395,10
F,0.565,0.8765,0.3455,10
M,0.655,1.27,0.6035,10
I,0.415,0.2965,0.123,10
M,0.67,1.5945,0.6705,10
F,0.645,1.212,0.515,10
F,0.7,1.6015,0.707,10
M,0.755,2.0065,0.8295,10
M,0.525,0.9605,0.438,10
F,0.625,1.255,0.525,10
F,0.65,1.375,0.531,10
M,0.595,1.1785,0.526,10
M,0.595,1.0305,0.4925,10
M,0.62,1.049,0.462,10
F,0.66,1.5175,0.7765,10
I,0.585,1.0505,0.48,10
M,0.66,1.583,0.7395,10
M,0.715,1.6755,0.889,10
M,0.535,0.791,0.33,10
M,0.61,1,0.494,10
F,0.625,1.3335,0.605,10
M,0.57,0.95,0.4005,10
M,0.29,0.1295,0.0535,10
F,0.645,1.363,0.573,10
I,0.59,0.9745,0.4675,10
I,0.47,0.4985,0.2095,10
M,0.64,1.247,0.5475,10
I,0.575,0.795,0.364,10
M,0.575,0.737,0.325,10
F,0.665,1.3805,0.675,10
M,0.615,1.219,0.564,10
I,0.54,0.619,0.2755,10
M,0.515,0.8815,0.292,10
F,0.63,1.167,0.548,10
M,0.58,0.9115,0.446,10
M,0.575,0.992,0.432,10
F,0.385,0.286,0.1225,10
F,0.605,1.079,0.4505,10
M,0.555,0.874,0.3275,10
I,0.4,0.2875,0.1145,10
M,0.55,0.8395,0.3155,10
M,0.705,2.21,1.1075,10
F,0.595,0.964,0.5005,10
M,0.625,1.1565,0.52,10
F,0.62,1.0125,0.5325,10
F,0.46,0.5325,0.2085,10
F,0.475,0.5305,0.2135,10
M,0.575,0.985,0.3745,10
F,0.62,1.1045,0.535,10
F,0.675,1.4465,0.6775,10
F,0.605,1.1,0.547,10
M,0.525,0.7575,0.3305,10
F,0.575,0.9575,0.4815,10
F,0.495,0.6905,0.3125,10
M,0.6,0.99,0.386,10
M,0.655,1.3585,0.6395,10
M,0.54,0.972,0.419,10
I,0.58,0.9265,0.4135,10
F,0.545,0.6855,0.2905,10
I,0.725,2.0495,0.7735,10
F,0.565,1.2365,0.5305,10
M,0.645,1.3375,0.554,10
M,0.56,0.849,0.3265,10
F,0.385,0.314,0.146,10
M,0.565,1.0595,0.4735,10
I,0.51,0.8415,0.3845,10
F,0.675,1.382,0.6045,10
F,0.655,1.415,0.5885,10
F,0.615,1.3435,0.629,10
M,0.715,1.9525,0.7645,10
F,0.615,1.004,0.4475,10
I,0.58,0.8295,0.3915,10
F,0.61,1.1185,0.478,10
M,0.45,0.349,0.119,10
I,0.525,0.6955,0.2405,10
F,0.51,0.7005,0.347,10
M,0.63,1.233,0.6565,10
F,0.71,1.5805,0.802,10
M,0.595,1.1295,0.57,10
F,0.58,1.48,0.6535,10
M,0.605,1.1255,0.59,10
M,0.65,1.466,0.677,10
I,0.535,0.8075,0.3655,10
M,0.69,1.5955,0.678,10
M,0.515,0.6615,0.2875,10
F,0.605,1.0565,0.37,10
F,0.68,1.541,0.5985,10
I,0.515,0.7125,0.285,10
M,0.34,0.1835,0.077,10
M,0.64,1.042,0.515,10
M,0.6,1.14,0.423,10
I,0.68,1.1095,0.439,10
M,0.475,0.655,0.266,10
M,0.64,1.4025,0.705,10
F,0.61,1.0725,0.4835,10
M,0.53,0.879,0.28,10
M,0.66,1.6275,0.594,10
F,0.64,1.394,0.4935,10
M,0.55,0.8265,0.4405,10
M,0.68,1.4535,0.592,10
M,0.63,1.31,0.495,10
F,0.72,1.52,0.637,10
M,0.55,0.8025,0.244,10
M,0.535,0.7465,0.348,10
I,0.52,0.6805,0.28,10
M,0.44,0.402,0.1305,10
I,0.605,0.9995,0.425,10
M,0.57,0.7535,0.349,10
M,0.56,0.8645,0.3305,10
M,0.53,0.724,0.3105,10
F,0.49,0.549,0.245,10
M,0.61,1.0805,0.517,10
F,0.6,1.21,0.653,10
I,0.595,0.9365,0.434,10
M,0.56,1.1115,0.5035,10
F,0.555,0.846,0.346,10
I,0.53,0.81,0.4725,10
M,0.63,1.362,0.5785,10
I,0.62,0.924,0.358,10
I,0.59,1.022,0.428,10
M,0.615,1.0175,0.473,10
M,0.595,1.185,0.482,10
M,0.46,0.482,0.207,10
M,0.35,0.179,0.0705,10
F,0.52,0.6985,0.2945,10
M,0.58,1.0335,0.469,10
M,0.615,1.2205,0.4985,10
F,0.73,2.0165,1.0685,10
I,0.49,0.5585,0.252,10
M,0.485,0.5415,0.2595,10
F,0.695,1.7715,0.8195,10
I,0.455,0.457,0.2085,10
M,0.465,0.488,0.188,10
M,0.6,1.194,0.5625,10
F,0.47,0.472,0.182,10
F,0.665,1.491,0.6345,10
M,0.77,2.1945,1.0515,10
F,0.52,0.712,0.2845,10
F,0.645,1.129,0.5015,10
F,0.44,0.4195,0.153,10
F,0.55,0.741,0.295,10
M,0.65,1.7395,0.5715,10
M,0.61,1.137,0.4565,10
I,0.395,0.2715,0.134,10
M,0.64,1.369,0.632,10
F,0.515,0.6935,0.3115,10
F,0.625,1.33,0.6675,10
M,0.605,1.15,0.575,10
I,0.57,0.751,0.2825,10
F,0.375,0.2705,0.093,10
M,0.5,0.636,0.2535,10
M,0.625,1.065,0.4865,10
F,0.51,0.8145,0.459,10
F,0.575,1.068,0.556,10
M,0.51,0.6515,0.2455,10
F,0.645,1.2465,0.5475,10
M,0.55,0.879,0.368,10
I,0.52,0.5825,0.233,10
M,0.59,1.207,0.559,10
M,0.645,1.1605,0.519,10
I,0.545,0.7285,0.302,10
F,0.705,1.866,0.929,10
M,0.685,1.545,0.686,10
M,0.625,0.8765,0.456,10
F,0.555,1.016,0.4935,10
F,0.63,1.2615,0.5505,10
I,0.41,0.2595,0.097,10
F,0.57,0.8935,0.3145,10
M,0.615,1.103,0.4635,10
F,0.595,0.98,0.4115,10
F,0.625,1.1435,0.4755,10
I,0.575,0.807,0.3615,10
F,0.47,0.4755,0.1675,10
F,0.695,1.8385,0.8035,10
M,0.36,0.2765,0.0895,10
F,0.655,1.4545,0.6,10
F,0.625,1.262,0.507,10
I,0.52,0.581,0.2555,10
F,0.545,0.9185,0.429,10
I,0.575,0.7965,0.364,10
F,0.73,1.6895,0.6555,10
M,0.625,1.0845,0.5005,10
I,0.56,0.825,0.402,10
M,0.72,2.165,1.1055,10
M,0.645,1.463,0.592,10
M,0.715,1.7405,0.871,10
M,0.595,0.886,0.4315,10
M,0.67,1.6615,0.8005,10
F,0.58,0.873,0.3615,10
I,0.605,1.071,0.482,10
F,0.545,0.7715,0.272,10
F,0.645,1.37,0.6135,10
I,0.36,0.2335,0.095,10
