@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.45,0.9765,0.235,9
I,0.4,0.5575,0.1525,9
F,0.44,0.765,0.245,9
I,0.36,0.4725,0.138,9
I,0.365,0.49,0.1335,9
I,0.37,0.457,0.15,9
F,0.44,0.803,0.234,9
I,0.345,0.3435,0.115,9
I,0.4,0.5925,0.168,9
F,0.565,1.79,0.5385,9
F,0.47,0.869,0.238,9
M,0.41,0.6875,0.1765,9
M,0.49,1.167,0.3745,9
M,0.47,1.0875,0.2685,9
F,0.5,1.2015,0.3355,9
M,0.405,0.7555,0.201,9
F,0.475,1.13,0.305,9
M,0.455,0.9595,0.23,9
I,0.465,0.9605,0.286,9
M,0.45,0.785,0.2265,9
I,0.24,0.17,0.055,9
F,0.335,0.425,0.115,9
I,0.425,0.7905,0.225,9
F,0.39,0.644,0.1635,9
M,0.375,0.976,0.2475,9
F,0.5,1.3275,0.4085,9
M,0.47,1.309,0.325,9
M,0.5,1.0985,0.354,9
I,0.345,0.4615,0.116,9
F,0.37,0.4925,0.135,9
F,0.485,1.201,0.38,9
M,0.435,0.7345,0.213,9
M,0.435,0.717,0.194,9
M,0.47,1.187,0.31,9
F,0.3,0.3215,0.095,9
F,0.4,0.778,0.18,9
I,0.395,0.663,0.1905,9
F,0.465,0.923,0.2415,9
F,0.5,1.4415,0.341,9
M,0.475,1.1175,0.274,9
I,0.445,0.9175,0.24,9
F,0.49,1.36,0.305,9
M,0.45,0.8675,0.215,9
F,0.51,1.2235,0.354,9
M,0.51,1.3835,0.3665,9
M,0.335,0.394,0.122,9
F,0.475,1.027,0.285,9
M,0.565,1.751,0.446,9
F,0.445,0.941,0.285,9
F,0.54,1.46,0.4165,9
I,0.4,0.717,0.221,9
F,0.45,0.9645,0.209,9
I,0.385,0.596,0.21,9
M,0.38,0.5765,0.145,9
M,0.42,0.842,0.2045,9
I,0.33,0.352,0.1,9
F,0.49,1.115,0.3095,9
M,0.365,1.0765,0.27,9
M,0.48,1.118,0.3,9
I,0.4,0.6025,0.154,9
I,0.32,0.3325,0.105,9
I,0.205,0.127,0.042,9
I,0.355,0.4865,0.142,9
M,0.425,0.793,0.215,9
F,0.55,2.073,0.5015,9
M,0.225,0.1385,0.05,9
M,0.49,1.2525,0.289,9
M,0.505,1.469,0.38,9
M,0.455,1.082,0.315,9
M,0.44,0.9415,0.283,9
I,0.4,0.686,0.18,9
F,0.35,0.459,0.145,9
M,0.405,0.738,0.193,9
M,0.465,0.98,0.247,9
F,0.535,1.5845,0.4215,9
F,0.385,1.1185,0.2845,9
M,0.47,0.9565,0.265,9
I,0.34,0.3575,0.1045,9
M,0.37,0.515,0.159,9
F,0.48,1.1435,0.353,9
F,0.41,0.8255,0.245,9
M,0.47,1.124,0.287,9
I,0.33,0.448,0.12,9
M,0.385,0.5525,0.1555,9
F,0.45,1.0095,0.2645,9
M,0.48,0.9125,0.289,9
I,0.375,0.542,0.17,9
F,0.46,0.9795,0.2655,9
M,0.45,0.895,0.246,9
I,0.35,0.375,0.115,9
M,0.49,1.195,0.355,9
M,0.52,1.2655,0.336,9
I,0.38,0.5605,0.15,9
F,0.49,1.1345,0.295,9
M,0.45,0.998,0.301,9
M,0.27,0.197,0.07,9
I,0.445,0.832,0.279,9
I,0.42,0.7745,0.2365,9
M,0.405,0.891,0.202,9
M,0.51,1.4545,0.3725,9
F,0.495,1.147,0.2885,9
M,0.515,1.331,0.361,9
M,0.425,0.872,0.199,9
F,0.445,0.8,0.207,9
F,0.475,1.076,0.335,9
F,0.47,1.0805,0.3205,9
M,0.465,0.9145,0.235,9
F,0.5,1.1185,0.335,9
F,0.44,0.7835,0.2185,9
I,0.465,0.9225,0.26,9
M,0.445,1.0225,0.228,9
I,0.265,0.2775,0.08,9
F,0.515,1.289,0.3315,9
M,0.515,1.1845,0.335,9
M,0.385,0.6595,0.16,9
F,0.455,0.914,0.271,9
I,0.415,0.6375,0.168,9
M,0.49,1.1285,0.34,9
I,0.415,0.5745,0.189,9
F,0.375,0.5755,0.19,9
M,0.265,0.1975,0.07,9
M,0.375,0.5735,0.195,9
F,0.43,0.8825,0.31,9
F,0.475,0.9525,0.32,9
M,0.355,0.3955,0.145,9
M,0.34,0.3715,0.105,9
M,0.46,1.004,0.26,9
F,0.48,1.1685,0.356,9
M,0.425,0.873,0.1965,9
F,0.54,1.454,0.39,9
M,0.455,0.93,0.22,9
I,0.385,0.591,0.1775,9
M,0.41,0.642,0.155,9
F,0.405,0.913,0.2065,9
I,0.25,0.1565,0.06,9
F,0.465,0.958,0.2705,9
F,0.425,0.8355,0.245,9
F,0.36,0.447,0.14,9
M,0.295,0.2105,0.075,9
M,0.435,0.8455,0.222,9
I,0.4,0.5775,0.177,9
M,0.5,1.3195,0.341,9
F,0.52,1.285,0.317,9
M,0.51,1.33,0.317,9
I,0.47,0.8025,0.22,9
M,0.475,1.224,0.311,9
F,0.525,1.382,0.37,9
I,0.38,0.5385,0.165,9
F,0.395,0.516,0.162,9
I,0.42,0.6765,0.208,9
F,0.37,1.183,0.343,9
M,0.47,1.059,0.275,9
M,0.51,1.407,0.335,9
M,0.455,1.1315,0.305,9
I,0.405,0.632,0.1875,9
F,0.42,0.6295,0.215,9
M,0.37,1.0615,0.296,9
I,0.27,0.271,0.0735,9
M,0.51,1.542,0.375,9
M,0.5,1.307,0.315,9
F,0.39,0.674,0.1785,9
F,0.5,1.3825,0.3195,9
I,0.365,0.4465,0.1135,9
M,0.49,1.1,0.31,9
I,0.41,0.6615,0.196,9
I,0.42,0.912,0.205,9
I,0.295,0.25,0.08,9
I,0.46,0.755,0.238,9
M,0.515,1.5655,0.386,9
F,0.43,0.8105,0.275,9
F,0.475,1.3875,0.3095,9
F,0.46,1.165,0.3055,9
M,0.475,1.114,0.29,9
I,0.37,0.4075,0.1455,9
F,0.43,0.7545,0.2015,9
I,0.225,0.124,0.04,9
I,0.43,0.7245,0.24,9
F,0.485,1.3745,0.332,9
F,0.4,0.6995,0.223,9
M,0.34,0.486,0.1225,9
M,0.43,0.784,0.213,9
I,0.395,0.575,0.183,9
M,0.475,1.213,0.274,9
F,0.43,0.844,0.231,9
I,0.325,0.3915,0.115,9
F,0.455,0.9775,0.275,9
F,0.53,1.4985,0.425,9
M,0.475,1.024,0.322,9
I,0.375,0.456,0.16,9
M,0.495,1.2095,0.339,9
M,0.49,1.251,0.3165,9
M,0.41,0.8705,0.213,9
F,0.495,1.211,0.323,9
M,0.47,0.9785,0.276,9
I,0.445,0.867,0.28,9
I,0.355,0.498,0.1525,9
M,0.495,1.177,0.345,9
M,0.335,0.4085,0.135,9
M,0.495,1.304,0.3725,9
I,0.45,0.855,0.26,9
F,0.465,1.0765,0.287,9
M,0.52,1.368,0.365,9
M,0.5,1.3815,0.315,9
I,0.43,0.8195,0.2295,9
M,0.435,0.8965,0.275,9
I,0.31,0.315,0.095,9
I,0.445,0.7095,0.235,9
I,0.4,0.555,0.195,9
F,0.5,1.464,0.4245,9
F,0.4,0.578,0.17,9
M,0.29,0.3275,0.09,9
F,0.42,1.6645,0.4525,9
I,0.36,0.4555,0.145,9
M,0.465,1.038,0.251,9
F,0.39,0.6335,0.2,9
F,0.4,0.6865,0.185,9
F,0.505,1.2635,0.355,9
F,0.46,1.058,0.294,9
F,0.325,0.438,0.11,9
I,0.395,0.6215,0.195,9
F,0.395,0.7145,0.195,9
I,0.225,0.152,0.045,9
F,0.51,1.043,0.305,9
F,0.475,1.056,0.357,9
M,0.395,0.5415,0.155,9
I,0.42,0.743,0.231,9
M,0.47,1.0325,0.2785,9
F,0.455,1.059,0.274,9
F,0.365,0.543,0.15,9
M,0.41,0.769,0.215,9
F,0.43,0.741,0.196,9
M,0.285,0.253,0.0925,9
M,0.5,1.142,0.345,9
M,0.44,0.8295,0.2485,9
M,0.255,0.1915,0.063,9
F,0.43,0.812,0.2215,9
F,0.42,0.7505,0.1845,9
F,0.355,0.4495,0.15,9
F,0.49,1.145,0.3155,9
M,0.455,1.044,0.27,9
M,0.395,0.646,0.172,9
M,0.405,0.6155,0.205,9
F,0.405,0.6355,0.185,9
F,0.465,1.0425,0.27,10
I,0.42,0.6725,0.235,10
M,0.305,0.297,0.1,10
M,0.42,0.6855,0.38,10
M,0.465,1.262,0.33,10
M,0.515,1.217,0.3115,10
M,0.48,1.3555,0.3385,10
F,0.405,0.6835,0.215,10
M,0.5,1.401,0.3725,10
F,0.57,2.0165,0.435,10
F,0.435,0.8105,0.24,10
M,0.435,0.7625,0.259,10
F,0.475,1.0005,0.265,10
F,0.525,1.644,0.4275,10
I,0.425,0.6805,0.195,10
M,0.43,0.7845,0.245,10
I,0.26,0.174,0.06,10
I,0.375,0.6505,0.2215,10
M,0.345,0.3795,0.125,10
M,0.425,0.849,0.2645,10
F,0.405,0.6845,0.205,10
M,0.6,2.1945,0.584,10
M,0.475,1.1935,0.3665,10
F,0.36,0.5065,0.16,10
I,0.44,0.825,0.245,10
M,0.29,0.241,0.069,10
I,0.43,0.742,0.208,10
F,0.425,0.813,0.23,10
I,0.445,0.7935,0.26,10
F,0.51,1.567,0.391,10
M,0.46,1.4395,0.2955,10
M,0.53,1.5505,0.495,10
F,0.45,1.2365,0.308,10
F,0.515,1.389,0.395,10
F,0.48,1.1045,0.287,10
M,0.475,1.0265,0.3035,10
F,0.495,1.548,0.3925,10
F,0.52,1.3435,0.345,10
M,0.455,0.7955,0.204,10
M,0.54,1.534,0.384,10
F,0.445,0.826,0.2475,10
M,0.355,0.547,0.14,10
M,0.495,1.139,0.285,10
M,0.43,0.9115,0.121,10
M,0.43,0.879,0.25,10
M,0.44,0.8255,0.285,10
I,0.45,0.807,0.254,10
M,0.355,0.478,0.155,10
M,0.455,1.1215,0.271,10
I,0.55,2.0495,0.655,10
M,0.48,1.085,0.327,10
F,0.425,0.8735,0.2225,10
I,0.45,0.924,0.2965,10
F,0.42,1.764,0.4095,10
F,0.415,0.7055,0.199,10
M,0.38,0.7605,0.185,10
M,0.55,1.885,0.4895,10
F,0.375,0.5895,0.167,10
I,0.43,0.712,0.225,10
F,0.435,0.8785,0.2425,10
F,0.38,0.6725,0.21,10
M,0.4,0.663,0.2,10
F,0.52,1.4545,0.383,10
F,0.485,1.0945,0.296,10
F,0.415,0.879,0.285,10
F,0.475,1.1435,0.349,10
F,0.4,0.714,0.208,10
F,0.45,1.077,0.25,10
M,0.47,1.186,0.277,10
M,0.525,1.89,0.4305,10
I,0.31,0.2875,0.095,10
M,0.525,1.6615,0.43,10
M,0.55,1.274,0.365,10
M,0.38,0.482,0.145,10
F,0.325,0.3635,0.12,10
F,0.455,0.966,0.31,10
F,0.475,1.1155,0.379,10
M,0.45,0.874,0.305,10
F,0.5,1.122,0.309,10
F,0.465,1.1,0.2585,10
M,0.5,1.362,0.384,10
F,0.51,1.415,0.364,10
F,0.45,0.837,0.2425,10
I,0.435,0.7535,0.2325,10
M,0.45,0.824,0.263,10
F,0.495,1.262,0.39,10
M,0.47,1.409,0.295,10
M,0.42,0.7465,0.2185,10
M,0.25,0.197,0.0605,10
F,0.525,1.5965,0.3605,10
M,0.525,1.478,0.372,10
M,0.45,1.195,0.295,10
M,0.48,1.3065,0.29,10
F,0.56,1.7715,0.437,10
F,0.525,1.42,0.3905,10
M,0.47,1.194,0.2635,10
M,0.46,0.929,0.255,10
M,0.48,1.1015,0.305,10
M,0.375,0.5175,0.17,10
F,0.475,1.004,0.2895,10
M,0.455,0.8855,0.275,10
I,0.475,1.12,0.27,10
M,0.405,0.7575,0.195,10
F,0.395,0.7565,0.3205,10
M,0.52,1.4755,0.374,10
M,0.44,0.875,0.3,10
I,0.45,0.751,0.2215,10
M,0.565,1.8565,0.54,10
M,0.455,0.9685,0.2655,10
F,0.375,0.458,0.12,10
M,0.425,0.8315,0.2165,10
M,0.52,1.558,0.4,10
M,0.48,1.0855,0.305,10
M,0.475,0.977,0.275,10
F,0.575,2.1505,0.585,10
M,0.49,1.2005,0.294,10
F,0.47,1.1345,0.3375,10
F,0.36,0.472,0.15,10
F,0.49,0.92,0.28,10
M,0.485,1.233,0.3035,10
I,0.475,0.9665,0.345,10
F,0.535,1.361,0.465,10
I,0.305,0.3625,0.125,10
F,0.47,0.871,0.2315,10
I,0.45,1.022,0.265,10
F,0.52,1.541,0.4575,10
M,0.565,1.9525,0.4135,10
F,0.48,1.3525,0.365,10
M,0.47,1.1155,0.321,10
I,0.415,0.7125,0.245,10
M,0.515,1.247,0.3685,10
M,0.53,1.39,0.3735,10
F,0.265,0.2165,0.0735,10
F,0.26,0.207,0.0765,10
M,0.44,1.1115,0.26,10
M,0.57,1.8725,0.446,10
M,0.515,1.042,0.175,10
M,0.47,1.214,0.325,10
F,0.405,0.646,0.177,10
M,0.455,0.953,0.258,10
F,0.49,1.336,0.3245,10
F,0.505,1.2235,0.36,10
M,0.225,0.1295,0.045,10
M,0.46,1.0565,0.27,10
F,0.475,1.1845,0.291,10
I,0.38,0.3265,0.1,10
M,0.39,0.6565,0.175,10
I,0.425,0.656,0.203,10
I,0.49,1.071,0.352,10
M,0.45,1.34,0.3605,10
F,0.49,1.1345,0.35,10
F,0.5,1.383,0.38,10
F,0.34,0.3675,0.12,10
F,0.44,0.9185,0.2375,10
I,0.3,0.2595,0.08,10
F,0.41,0.6965,0.2,10
M,0.47,1.0175,0.28,10
M,0.45,0.838,0.217,10
F,0.515,1.337,0.3575,10
M,0.46,0.892,0.22,10
F,0.55,1.679,0.3965,10
M,0.54,1.482,0.365,10
M,0.36,0.501,0.165,10
M,0.37,0.5725,0.175,10
F,0.47,1.255,0.405,10
M,0.425,0.817,0.195,10
F,0.405,0.6375,0.21,10
F,0.45,1.0235,0.3,10
F,0.48,1.079,0.293,10
M,0.6,2.003,0.5755,10
I,0.4,0.6955,0.253,10
F,0.445,1.017,0.265,10
M,0.515,1.4415,0.335,10
M,0.375,0.593,0.18,10
F,0.525,1.3595,0.3985,10
M,0.47,1.0865,0.2565,10
I,0.41,0.699,0.1945,10
M,0.415,0.879,0.255,10
M,0.505,1.4025,0.335,10
I,0.415,0.702,0.19,10
F,0.5,1.2475,0.3595,10
M,0.465,0.885,0.274,10
F,0.485,1.362,0.3705,10
M,0.46,0.86,0.275,10
F,0.52,1.281,0.3825,10
F,0.55,1.566,0.354,10
F,0.51,1.129,0.342,10
F,0.37,0.585,0.195,10
M,0.45,1.142,0.307,10
M,0.505,1.1565,0.3535,10
I,0.27,0.216,0.075,10
I,0.45,0.8145,0.213,10
I,0.49,1.1,0.2925,10
M,0.26,0.198,0.06,10
M,0.495,1.2075,0.32,10
M,0.475,1.0845,0.3105,10
M,0.56,1.675,0.388,10
M,0.485,1.1795,0.355,10
M,0.52,1.4535,0.4125,10
F,0.45,0.875,0.2765,10
F,0.375,0.5785,0.155,10
F,0.44,0.964,0.2575,10
M,0.45,0.9125,0.35,10
F,0.505,1.1345,0.315,10
F,0.48,1.1145,0.34,10
M,0.435,0.992,0.239,10
M,0.55,2.173,0.496,10
I,0.44,0.7665,0.202,10
M,0.455,0.9335,0.2615,10
F,0.51,1.6525,0.403,10
M,0.475,1.201,0.309,10
F,0.505,1.2075,0.39,10
F,0.53,1.5105,0.3725,10
M,0.505,1.167,0.345,10
M,0.37,0.655,0.185,10
M,0.465,1.115,0.275,10
F,0.34,0.451,0.13,10
F,0.375,0.556,0.1685,10
M,0.435,0.7535,0.194,10
M,0.445,0.876,0.27,10
M,0.525,1.622,0.477,10
M,0.47,1.2015,0.265,10
M,0.42,0.791,0.25,10
F,0.48,1.043,0.31,10
F,0.5,0.925,0.3005,10
F,0.33,0.5325,0.125,10
M,0.48,1.223,0.3375,10
F,0.475,1.148,0.37,10
F,0.45,0.8285,0.236,10
F,0.495,1.2355,0.347,10
M,0.48,1.1785,0.314,10
M,0.44,0.879,0.265,10
I,0.325,0.3215,0.105,10
M,0.49,1.171,0.335,10
F,0.54,1.5805,0.435,10
M,0.44,0.966,0.2605,10
M,0.34,0.495,0.185,10
I,0.45,0.8715,0.225,10
F,0.5,1.148,0.3315,10
I,0.31,0.2965,0.0995,10
I,0.435,0.7995,0.238,10
M,0.525,1.085,0.35,10
M,0.49,1.101,0.3455,10
F,0.46,1.0455,0.3085,10
F,0.475,0.974,0.285,10
M,0.295,0.2765,0.1005,10
M,0.52,1.4105,0.3465,10
F,0.41,0.712,0.225,10
F,0.585,2.0725,0.565,10
M,0.435,1.0105,0.32,10
I,0.385,0.6265,0.16,10
M,0.565,2.21,0.512,10
M,0.49,0.9755,0.315,10
M,0.28,0.2225,0.08,10
F,0.41,0.654,0.205,10
I,0.445,0.8225,0.236,10
M,0.51,1.5945,0.4505,10
I,0.425,0.7965,0.239,10
M,0.525,1.7585,0.47,10
M,0.385,0.791,0.1815,10
F,0.505,1.367,0.396,10
F,0.475,1.382,0.3985,10
F,0.415,0.7715,0.2765,10
M,0.405,0.7775,0.1455,10
F,0.51,1.375,0.3985,10
I,0.275,0.2335,0.085,10
I,0.43,0.7285,0.2545,10
F,0.425,0.873,0.239,10
F,0.485,1.0565,0.355,10
M,0.53,1.583,0.405,10
M,0.405,0.8315,0.2525,10
F,0.415,1.358,0.403,10
M,0.495,1.0815,0.3135,10
M,0.51,1.5265,0.345,10
F,0.465,1.0725,0.28,10
F,0.46,1.017,0.32,10
I,0.375,0.8415,0.255,10
M,0.47,0.9975,0.33,10
I,0.43,0.7395,0.28,10
F,0.42,0.754,0.275,10
F,0.495,1.2635,0.3455,10
F,0.395,0.7155,0.24,10
F,0.475,1.1295,0.33,10
I,0.275,0.2255,0.085,10
M,0.445,1.0145,0.3,10
M,0.525,1.3135,0.4075,10
M,0.505,1.872,0.48,10
F,0.355,0.4755,0.185,10
I,0.43,0.833,0.2815,10
M,0.48,1.181,0.225,10
M,0.51,1.261,0.339,10
M,0.495,1.6275,0.485,10
F,0.535,1.866,0.4395,10
M,0.35,0.406,0.135,10
M,0.485,1.049,0.25,10
M,0.275,0.2065,0.07,10
F,0.375,0.5615,0.18,10
F,0.46,0.9575,0.236,10
F,0.55,1.9965,0.5215,10
F,0.305,0.314,0.08,10
I,0.52,1.238,0.3305,10
F,0.56,2.381,0.624,10
F,0.46,1.0265,0.2745,10
F,0.435,0.6855,0.225,10
M,0.45,1.0595,0.265,10
F,0.525,1.6015,0.43,10
M,0.47,1.012,0.305,10
M,0.49,0.8765,0.233,10
F,0.315,0.321,0.095,10
F,0.35,0.5185,0.135,10
M,0.405,0.722,0.21,10
I,0.475,0.984,0.2755,10
M,0.57,2.2355,0.5315,10
M,0.45,1.0805,0.2935,10
F,0.505,1.0145,0.3745,10
F,0.52,1.3345,0.355,10
M,0.385,0.4825,0.1535,10
M,0.515,1.265,0.325,10
I,0.415,0.7915,0.236,10
F,0.47,1.116,0.34,10
M,0.485,1.7395,0.3075,10
I,0.425,0.9175,0.26,10
F,0.42,0.8655,0.2175,10
F,0.42,0.857,0.2125,10
I,0.475,1.0605,0.28,10
F,0.475,1.3335,0.319,10
F,0.4,1.224,0.2875,10
F,0.39,0.5305,0.17,10
F,0.435,0.982,0.27,10
M,0.49,1.207,0.309,10
M,0.43,0.831,0.219,10
F,0.49,1.2435,0.305,10
F,0.335,0.4335,0.12,10
M,0.44,1.025,0.2485,10
M,0.46,0.8975,0.345,10
F,0.485,1.2255,0.36,10
M,0.53,1.51,0.385,10
F,0.585,1.309,0.413,10
F,0.515,1.3115,0.41,10
M,0.49,1.3585,0.365,10
F,0.53,1.491,0.435,10
M,0.475,0.983,0.266,10
M,0.5,1.0565,0.305,10
I,0.48,0.9995,0.3,10
F,0.545,1.5055,0.43,10
F,0.485,1.2155,0.345,10
M,0.36,0.488,0.19,10
M,0.475,1.168,0.3295,10
F,0.465,0.9855,0.2845,10
M,0.315,0.287,0.113,10
M,0.515,1.4465,0.3755,10
I,0.325,0.7615,0.209,10
M,0.42,1.3405,0.344,10
M,0.365,0.467,0.158,10
F,0.535,1.2895,0.344,10
F,0.455,0.976,0.2765,10
F,0.36,0.4385,0.125,10
M,0.545,1.4245,0.378,10
M,0.45,0.871,0.25,10
F,0.515,1.212,0.385,10
M,0.36,0.5265,0.165,10
M,0.48,1.137,0.347,10
M,0.49,1.112,0.341,10
M,0.46,1.03,0.3305,10
F,0.335,0.322,0.125,10
I,0.46,0.9265,0.27,10
M,0.42,0.675,0.1825,10
F,0.515,1.546,0.415,10
F,0.58,1.658,0.4715,10
F,0.275,0.205,0.07,10
F,0.48,1.1615,0.305,10
M,0.465,1.0165,0.225,10
I,0.385,0.581,0.143,10
I,0.425,0.8725,0.2425,10
F,0.5,1.293,0.354,10
M,0.545,1.7405,0.449,10
M,0.44,1.0465,0.2795,10
F,0.4,0.7005,0.195,10
F,0.485,1.1575,0.315,10
F,0.51,1.3805,0.325,10
F,0.485,1.167,0.34,10
F,0.48,1.056,0.3135,10
F,0.46,0.8765,0.275,10
F,0.46,1.1185,0.2985,10
M,0.385,0.623,0.175,10
I,0.46,0.8465,0.295,10
M,0.46,1.1135,0.274,10
M,0.265,0.163,0.0485,10
I,0.405,0.6755,0.21,10
M,0.37,0.4665,0.155,10
M,0.48,1.1835,0.317,10
M,0.46,1.14,0.365,10
F,0.445,0.913,0.253,10
F,0.5,1.376,0.31,10
F,0.48,1.1345,0.305,10
F,0.53,1.4465,0.389,10
F,0.57,1.761,0.488,10
M,0.235,0.163,0.055,10
M,0.455,0.972,0.269,10
F,0.48,1.1,0.31,10
F,0.55,1.8495,0.4175,10
M,0.5,1.2645,0.3425,10
M,0.405,1.406,0.389,10
M,0.455,0.886,0.223,10
I,0.425,0.89,0.236,10
F,0.43,1.48,0.4155,10
F,0.44,1.016,0.263,10
F,0.555,1.6895,0.4935,10
F,0.495,1.1655,0.1625,10
M,0.505,1.463,0.416,10
I,0.37,0.4985,0.145,10
M,0.46,0.869,0.32,10
M,0.285,0.228,0.081,10
M,0.34,0.388,0.125,10
F,0.53,1.431,0.398,10
M,0.43,0.8395,0.2405,10
M,0.255,0.179,0.06,10
F,0.375,0.588,0.155,10
F,0.385,0.6905,0.175,10
M,0.475,1.15,0.297,10
M,0.485,1.098,0.3175,10
F,0.51,1.382,0.3965,10
M,0.45,0.95,0.2845,10
I,0.47,0.985,0.315,10
M,0.57,1.8275,0.485,10
M,0.51,1.2815,0.39,10
M,0.495,1.3695,0.365,10
F,0.47,0.9205,0.2675,10
M,0.43,0.8265,0.225,10
M,0.4,0.6515,0.185,10
I,0.365,0.499,0.156,10
M,0.395,0.5815,0.17,10
M,0.43,0.798,0.2285,10
M,0.58,2.0065,0.595,10
F,0.545,1.5245,0.495,10
F,0.475,1.21,0.3205,10
M,0.5,1.2425,0.335,10
I,0.475,1.0505,0.285,10
M,0.48,1.04,0.285,10
F,0.4,0.6675,0.22,10
F,0.525,1.348,0.394,10
M,0.5,1.3375,0.415,10
M,0.49,1.205,0.3465,10
M,0.365,0.516,0.155,10
I,0.405,0.7585,0.19,10
F,0.445,1.224,0.2695,10
I,0.37,0.458,0.136,10
M,0.515,1.229,0.3535,10
I,0.45,0.858,0.215,10
F,0.475,1.115,0.355,10
I,0.46,0.8715,0.25,10
F,0.535,1.4415,0.49,10
M,0.46,0.922,0.285,10
F,0.475,1.0165,0.325,10
M,0.365,0.9605,0.276,10
I,0.4,0.5825,0.18,10
F,0.295,0.2245,0.08,10
M,0.475,1.1255,0.26,10
M,0.515,1.369,0.358,10
M,0.435,0.8815,0.255,10
I,0.435,0.805,0.245,10
F,0.31,0.3465,0.115,10
I,0.45,0.8075,0.2595,10
F,0.5,1.1105,0.329,10
M,0.455,1.012,0.2835,10
M,0.485,1.243,0.3,10
F,0.51,1.233,0.322,10
M,0.435,0.699,0.205,10
M,0.51,1.545,0.4055,10
F,0.53,1.564,0.44,10
M,0.49,1.3325,0.405,10
F,0.29,0.257,0.085,10
M,0.505,1.533,0.41,10
F,0.515,1.3715,0.45,10
M,0.44,0.8815,0.2735,10
M,0.365,0.522,0.145,10
M,0.335,0.349,0.115,10
M,0.56,1.74,0.4375,10
M,0.475,1.065,0.2885,10
F,0.415,0.8045,0.285,10
M,0.405,0.8025,0.255,10
F,0.36,0.4765,0.16,10
F,0.465,0.8935,0.263,10
M,0.44,1.2255,0.3265,10
F,0.5,1.2565,0.35,10
M,0.425,0.7455,0.245,10
M,0.525,1.4065,0.3745,10
I,0.385,0.5125,0.172,10
F,0.48,1.1345,0.335,10
F,0.28,0.2305,0.075,10
I,0.425,0.8145,0.244,10
M,0.46,1.1295,0.265,10
F,0.5,1.2205,0.3185,10
F,0.51,1.363,0.36,10
M,0.4,0.6905,0.23,10
F,0.44,0.846,0.2735,10
F,0.41,0.6985,0.215,10
F,0.475,1.088,0.31,10
F,0.455,1.058,0.3,10
M,0.46,1.206,0.323,10
I,0.405,0.657,0.168,10
M,0.45,1.0145,0.2875,10
I,0.375,0.468,0.17,10
M,0.38,0.6615,0.155,10
F,0.415,0.6935,0.2,10
I,0.42,0.81,0.192,10
F,0.5,1.2465,0.3,10
M,0.51,0.986,0.31,10
M,0.465,0.911,0.278,10
M,0.505,1.27,0.335,10
I,0.425,0.7205,0.225,10
M,0.475,1.3405,0.337,10
M,0.525,1.3575,0.4485,10
M,0.53,1.5955,0.48,10
F,0.49,1.2155,0.3105,10
M,0.35,0.3675,0.12,10
F,0.535,1.2395,0.424,10
M,0.45,1.1935,0.343,10
M,0.375,0.563,0.185,10
F,0.48,1.0645,0.325,10
F,0.525,1.37,0.34,10
M,0.34,0.402,0.165,10
F,0.38,1.205,0.3345,10
I,0.415,0.619,0.1765,10
M,0.415,0.724,0.205,10
F,0.45,0.741,0.2665,10
F,0.455,0.8895,0.269,10
F,0.385,0.7655,0.2365,10
F,0.58,2.103,0.5375,10
I,0.53,1.1095,0.34,10
M,0.495,1.3635,0.295,10
F,0.51,1.35,0.3885,10
I,0.34,0.407,0.13,10
M,0.515,1.466,0.4,10
F,0.435,0.8295,0.245,10
I,0.36,0.457,0.147,10
F,0.5,1.327,0.355,10
F,0.455,1.0735,0.265,10
F,0.29,0.2705,0.0885,10
F,0.57,1.587,0.435,10
M,0.475,1.129,0.3,10
F,0.48,1.0125,0.324,10
I,0.375,0.441,0.145,10
M,0.525,1.489,0.421,10
M,0.45,0.959,0.2535,10
F,0.53,1.5175,0.401,10
M,0.46,1.049,0.305,10
F,0.495,1.198,0.3185,10
M,0.5,1.519,0.415,10
F,0.48,1.2615,0.3885,10
F,0.33,0.463,0.145,10
I,0.29,0.25,0.085,10
I,0.35,0.4745,0.1275,10
M,0.55,2.165,0.404,10
M,0.495,1.219,0.3885,10
M,0.52,1.519,0.4,10
M,0.46,1.0335,0.295,10
F,0.4,0.5765,0.185,10
I,0.44,0.7905,0.242,10
M,0.355,0.491,0.174,10
M,0.475,1.103,0.2725,10
F,0.535,1.8385,0.503,10
M,0.505,1.307,0.52,10
I,0.46,0.8295,0.238,10
M,0.48,1.065,0.285,10
I,0.425,0.7655,0.24,10
F,0.5,1.3165,0.28,10
M,0.44,0.8645,0.26,10
F,0.325,0.3105,0.105,10
M,0.51,1.226,0.3745,10
F,0.47,1.0745,0.29,8
I,0.345,0.434,0.1215,8
I,0.255,0.1745,0.057,8
I,0.375,0.464,0.149,8
I,0.285,0.226,0.0675,8
F,0.43,0.909,0.22,8
I,0.375,0.4155,0.145,8
I,0.32,0.34,0.0945,8
I,0.36,0.492,0.15,8
M,0.385,0.609,0.1775,8
F,0.48,0.991,0.24,8
I,0.385,0.6115,0.15,8
M,0.44,0.838,0.23,8
M,0.51,1.308,0.377,8
