@relation abalone

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,1.1665,0.4935,0.299,9
F,1.1545,0.4865,0.288,9
I,0.6545,0.2815,0.21,9
F,0.923,0.4615,0.2415,9
M,1.1845,0.506,0.335,9
F,1.5535,0.7945,0.3695,9
M,0.9215,0.354,0.2365,9
M,1.118,0.446,0.3,9
F,1.0315,0.432,0.337,9
M,1.0375,0.476,0.283,9
M,0.7345,0.33,0.213,9
F,0.517,0.2205,0.165,9
F,1.211,0.707,0.323,9
F,0.908,0.4015,0.255,9
F,1.122,0.545,0.3055,9
I,0.848,0.4,0.25,9
I,0.742,0.32,0.25,9
F,0.9525,0.3915,0.32,9
F,1.4045,0.6255,0.3745,9
M,0.842,0.428,0.2045,9
F,0.651,0.2965,0.2,9
M,1.224,0.6035,0.311,9
F,0.447,0.1695,0.14,9
M,1.052,0.498,0.267,9
F,1.3745,0.7335,0.332,9
I,1.2975,0.6035,0.3595,9
M,0.8875,0.3345,0.2695,9
F,0.8115,0.3875,0.2035,9
F,1.494,0.6895,0.1825,9
I,0.352,0.1635,0.1,9
F,1.288,0.573,0.315,9
M,0.9335,0.478,0.235,9
I,0.4225,0.1905,0.1355,9
F,0.7835,0.313,0.2185,9
I,0.832,0.3455,0.279,9
F,0.927,0.333,0.2985,9
F,1.273,0.564,0.374,9
F,0.8105,0.368,0.275,9
M,0.2005,0.094,0.063,9
F,0.6295,0.2815,0.215,9
F,1.145,0.4775,0.3155,9
M,1.5905,0.6425,0.5175,9
F,0.967,0.4525,0.274,9
I,0.9895,0.495,0.246,9
F,1.4355,0.643,0.37,9
I,0.537,0.2165,0.1785,9
F,0.897,0.377,0.29,9
I,0.7675,0.419,0.21,9
M,0.894,0.3885,0.264,9
M,0.8675,0.3935,0.215,9
F,0.4035,0.175,0.129,9
F,0.8355,0.3545,0.245,9
M,1.059,0.504,0.275,9
F,0.6855,0.361,0.161,9
M,0.6335,0.288,0.168,9
I,0.6735,0.2895,0.22,9
F,1.1775,0.611,0.292,9
I,0.8015,0.3475,0.25,9
F,0.425,0.1865,0.115,9
M,1.4095,0.586,0.405,9
M,1.859,0.945,0.441,9
M,1.4545,0.642,0.354,9
F,0.9645,0.531,0.209,9
F,1.076,0.463,0.335,9
F,1.757,0.8265,0.461,9
I,0.5795,0.239,0.185,9
F,1.059,0.4735,0.274,9
M,1.063,0.513,0.2625,9
I,1.0015,0.53,0.244,9
M,1.1955,0.5845,0.3,9
I,0.709,0.3195,0.185,9
M,0.814,0.3775,0.22,9
F,1.4405,0.5885,0.3175,9
M,1.3195,0.667,0.341,9
M,0.891,0.4815,0.202,9
M,1.176,0.5255,0.308,9
M,1.0765,0.488,0.27,9
I,0.452,0.22,0.1035,9
M,0.785,0.318,0.2265,9
I,0.3875,0.1755,0.12,9
M,0.486,0.231,0.1225,9
F,0.932,0.361,0.335,9
F,2.073,1.0715,0.5015,9
I,0.447,0.161,0.16,9
I,0.25,0.1075,0.08,9
I,0.7745,0.3535,0.2365,9
F,1.0155,0.491,0.289,9
M,0.2795,0.1115,0.075,9
I,1.2565,0.5355,0.386,9
M,1.331,0.5725,0.361,9
I,0.152,0.071,0.045,9
I,0.28,0.094,0.0955,9
M,0.577,0.269,0.1535,9
I,0.687,0.2615,0.25,9
M,1.3555,0.619,0.39,9
M,0.7905,0.307,0.2595,9
M,0.1385,0.048,0.05,9
I,0.738,0.304,0.22,9
F,0.913,0.4585,0.2065,9
M,1.1285,0.477,0.34,9
M,1.1035,0.421,0.325,9
I,0.9205,0.445,0.253,9
I,0.974,0.547,0.235,9
I,0.717,0.3315,0.221,9
I,0.596,0.2805,0.1695,9
F,1.2945,0.668,0.2715,9
F,1.04,0.452,0.288,9
I,0.5085,0.21,0.135,9
F,0.7955,0.3485,0.22,9
F,0.5565,0.2215,0.185,9
M,1.1325,0.5235,0.2825,9
M,1.004,0.496,0.26,9
I,0.448,0.208,0.12,9
M,0.6765,0.302,0.2065,9
M,1.251,0.5355,0.3165,9
I,0.5775,0.231,0.177,9
M,0.9615,0.486,0.253,9
F,1.6645,0.7755,0.4525,9
I,0.4725,0.215,0.15,9
M,1.2095,0.603,0.339,9
M,1.02,0.4805,0.29,9
I,0.6315,0.3045,0.19,9
F,1.5335,0.6635,0.4025,9
F,1.056,0.433,0.357,9
F,1.4595,0.705,0.39,9
M,0.301,0.124,0.09,9
F,0.438,0.1805,0.11,9
M,1.4545,0.6315,0.3725,9
M,0.1915,0.08,0.063,9
F,0.578,0.2395,0.18,9
M,0.653,0.3315,0.167,9
I,0.7305,0.3325,0.215,9
M,1.0325,0.497,0.2785,9
I,0.7245,0.321,0.24,9
F,1.306,0.516,0.375,9
M,1.2525,0.63,0.289,9
I,0.4075,0.1515,0.1455,9
I,0.7665,0.341,0.23,9
M,0.197,0.0665,0.07,9
F,1.454,0.624,0.39,9
M,1.142,0.62,0.245,9
M,0.9415,0.3805,0.283,9
I,0.632,0.2715,0.1875,9
F,1.3185,0.6185,0.3315,9
F,0.9685,0.446,0.255,9
I,0.646,0.2965,0.165,9
M,0.852,0.4215,0.227,9
F,0.4205,0.163,0.14,9
M,0.7175,0.3725,0.17,9
I,0.86,0.437,0.245,9
F,1.2705,0.5415,0.3225,9
I,0.6115,0.245,0.2,9
F,1.2635,0.512,0.355,9
M,0.6485,0.2735,0.184,9
I,0.452,0.2165,0.125,9
F,1.058,0.486,0.294,9
F,0.903,0.3575,0.295,9
M,0.93,0.408,0.22,9
F,0.8975,0.4115,0.23,9
M,0.9785,0.4505,0.276,9
M,0.417,0.191,0.1175,9
M,0.4625,0.186,0.145,9
M,1.1805,0.5235,0.3275,9
F,0.756,0.2745,0.275,9
F,1.79,0.844,0.5385,9
M,1.307,0.6355,0.315,9
F,0.7135,0.2565,0.225,9
M,1.304,0.57,0.3725,9
M,0.952,0.3895,0.2745,9
I,0.565,0.235,0.179,9
M,0.155,0.0475,0.06,9
F,1.056,0.493,0.2725,9
M,0.847,0.415,0.22,9
I,0.8025,0.379,0.22,9
F,1.3875,0.58,0.3095,9
M,0.853,0.326,0.245,9
M,2.3305,1.253,0.52,9
M,1.0615,0.494,0.296,9
M,0.9415,0.509,0.1975,9
M,1.368,0.6185,0.365,9
M,1.195,0.4605,0.355,9
I,0.456,0.182,0.16,9
I,0.6885,0.273,0.237,9
I,0.783,0.345,0.247,9
M,0.7815,0.361,0.2385,9
F,0.4715,0.2035,0.149,9
F,0.5755,0.22,0.19,9
M,1.038,0.4975,0.251,9
I,0.3435,0.1515,0.115,9
M,0.9685,0.4985,0.2385,9
I,0.474,0.179,0.175,9
F,1.1435,0.4915,0.353,9
M,0.6355,0.2185,0.255,9
M,1.0535,0.516,0.235,9
F,1.201,0.417,0.38,9
I,0.5575,0.2615,0.1525,9
M,0.635,0.29,0.175,9
M,0.4585,0.2,0.13,9
I,0.591,0.271,0.1775,9
I,0.4615,0.229,0.116,9
M,0.655,0.3185,0.185,9
M,1.5655,0.7345,0.386,9
M,1.4405,0.6595,0.425,9
I,0.777,0.354,0.222,9
F,1.3275,0.556,0.4085,9
M,0.625,0.305,0.175,9
F,0.7555,0.3355,0.214,9
M,0.872,0.4625,0.199,9
I,0.1975,0.0745,0.07,9
F,1.136,0.5265,0.2925,9
M,0.793,0.434,0.19,9
M,0.6875,0.3435,0.1765,9
F,0.7145,0.335,0.2075,9
I,0.17,0.062,0.055,9
F,0.3455,0.1405,0.11,9
F,0.9795,0.397,0.2655,9
M,0.4475,0.193,0.13,9
M,1.1735,0.6245,0.2595,9
I,0.1785,0.071,0.055,9
I,0.8205,0.3715,0.236,9
F,1.0805,0.52,0.32,9
F,1.464,0.6415,0.4245,9
M,0.195,0.078,0.059,9
M,1.11,0.5105,0.285,9
M,0.4085,0.1755,0.135,9
M,0.793,0.343,0.215,9
M,1.179,0.605,0.271,9
F,0.9775,0.468,0.275,9
M,1.124,0.556,0.287,9
I,0.912,0.495,0.205,9
I,0.872,0.4675,0.217,9
F,1.165,0.65,0.3055,9
M,1.0225,0.549,0.228,9
F,1.254,0.591,0.3485,9
I,0.594,0.2945,0.1565,9
I,1.1815,0.581,0.3095,9
I,0.686,0.3285,0.18,9
M,0.283,0.1175,0.085,9
F,0.714,0.283,0.275,9
M,0.802,0.3595,0.215,9
I,1.044,0.438,0.278,9
M,0.515,0.2495,0.159,9
F,1.1215,0.545,0.29,9
M,0.998,0.445,0.301,9
M,0.877,0.4325,0.24,9
M,1.281,0.597,0.33,9
M,1.2415,0.6575,0.2785,9
F,1.084,0.5885,0.246,9
I,0.573,0.213,0.195,9
M,1.213,0.621,0.274,9
M,0.282,0.0975,0.096,9
I,0.1565,0.057,0.06,9
M,1.751,0.895,0.446,9
F,1.018,0.447,0.265,9
M,0.8115,0.392,0.2235,9
I,0.3915,0.1575,0.115,9
M,0.674,0.3325,0.185,9
F,0.421,0.1565,0.1345,9
M,0.839,0.4005,0.239,9
F,0.455,0.1785,0.14,9
M,1.7925,0.8145,0.461,9
I,0.664,0.3115,0.178,9
I,0.498,0.2175,0.1525,9
F,0.8265,0.4035,0.225,9
M,1.3835,0.6385,0.3665,9
F,1.3105,0.577,0.355,9
F,1.1605,0.6005,0.307,9
M,0.9165,0.4135,0.2725,9
M,1,0.494,0.275,10
F,1.079,0.4505,0.293,10
I,0.985,0.3695,0.315,10
F,1.068,0.556,0.2575,10
M,0.8815,0.292,0.255,10
M,1.369,0.632,0.358,10
F,1.198,0.5415,0.3185,10
M,0.6905,0.259,0.23,10
F,0.966,0.391,0.31,10
M,1.0105,0.368,0.32,10
I,0.6665,0.3125,0.1895,10
F,1.21,0.653,0.3205,10
M,0.2065,0.0725,0.07,10
M,1.3585,0.5935,0.3745,10
M,1.085,0.4645,0.327,10
F,0.4195,0.153,0.13,10
M,1.3415,0.6575,0.375,10
I,0.8415,0.3845,0.255,10
M,0.228,0.0675,0.081,10
M,1.519,0.699,0.4,10
M,1.3375,0.554,0.415,10
M,0.5265,0.2105,0.165,10
I,0.216,0.083,0.075,10
M,1.463,0.592,0.416,10
F,0.585,0.243,0.195,10
I,1.1095,0.439,0.34,10
F,0.646,0.2895,0.177,10
F,0.826,0.341,0.2475,10
M,1.1785,0.526,0.314,10
M,1.675,0.797,0.388,10
M,0.953,0.3945,0.258,10
F,1.262,0.507,0.39,10
M,0.791,0.33,0.25,10
I,0.795,0.364,0.26,10
F,1.11,0.498,0.33,10
F,0.4385,0.206,0.125,10
M,1.137,0.4565,0.347,10
F,0.7955,0.3425,0.2425,10
F,0.321,0.1255,0.095,10
F,1.212,0.515,0.385,10
F,0.717,0.289,0.195,10
M,0.6855,0.293,0.38,10
M,0.879,0.28,0.25,10
F,1.1575,0.5005,0.315,10
M,1.89,0.95,0.4305,10
M,1.8565,0.8445,0.54,10
M,1.2815,0.5715,0.39,10
F,0.654,0.2945,0.205,10
F,0.8045,0.3325,0.285,10
M,1.186,0.6355,0.277,10
M,1.534,0.671,0.384,10
I,0.499,0.232,0.156,10
F,1.0645,0.4495,0.325,10
F,0.741,0.295,0.2665,10
M,1.3635,0.583,0.295,10
F,0.873,0.3615,0.239,10
F,1.309,0.5445,0.413,10
F,0.4135,0.1645,0.119,10
I,0.441,0.167,0.145,10
I,0.7965,0.364,0.239,10
I,1.0605,0.5165,0.28,10
F,1.0125,0.5325,0.324,10
M,0.623,0.2855,0.175,10
M,0.879,0.339,0.255,10
F,0.463,0.186,0.145,10
I,0.7205,0.2955,0.225,10
F,1.3595,0.564,0.3985,10
M,1.3845,0.6615,0.4075,10
F,0.9575,0.4815,0.236,10
F,1.233,0.592,0.322,10
M,1.098,0.5195,0.3175,10
M,0.985,0.3745,0.355,10
M,1.0855,0.481,0.305,10
I,0.7585,0.307,0.19,10
I,0.3265,0.1285,0.1,10
M,0.929,0.38,0.255,10
I,0.174,0.0705,0.06,10
M,2.21,1.1075,0.512,10
M,0.8265,0.4405,0.225,10
M,1.885,0.89,0.4895,10
F,0.982,0.4055,0.27,10
M,1.1605,0.519,0.335,10
M,1.04,0.434,0.285,10
I,0.81,0.4725,0.192,10
M,0.2765,0.0895,0.1005,10
F,0.257,0.099,0.085,10
F,1.1,0.547,0.2585,10
F,0.5725,0.1965,0.175,10
F,0.3635,0.159,0.12,10
M,1.4245,0.6325,0.378,10
F,1.017,0.5265,0.265,10
F,1.5175,0.7765,0.401,10
M,1.14,0.423,0.365,10
M,1.1115,0.5035,0.26,10
F,0.8105,0.3155,0.24,10
M,0.874,0.3275,0.305,10
M,1.219,0.564,0.3885,10
F,0.6375,0.277,0.21,10
F,1.567,0.7245,0.391,10
F,1.764,0.914,0.4095,10
M,0.491,0.207,0.174,10
M,2.1945,1.0515,0.584,10
I,1.12,0.565,0.27,10
M,0.838,0.3965,0.217,10
F,1.088,0.4905,0.31,10
M,0.7575,0.3305,0.195,10
M,1.401,0.6165,0.3725,10
M,1.545,0.686,0.4055,10
M,1.096,0.5445,0.295,10
M,0.636,0.2535,0.19,10
M,1.0805,0.517,0.2935,10
I,0.833,0.354,0.2815,10
F,1.0265,0.4935,0.2745,10
I,0.581,0.2555,0.143,10
M,0.4825,0.21,0.1535,10
M,1.0145,0.407,0.2875,10
F,1.3115,0.4945,0.41,10
M,0.9115,0.446,0.121,10
I,0.984,0.4865,0.2755,10
I,0.2595,0.097,0.08,10
F,0.922,0.363,0.305,10
F,0.7715,0.272,0.2765,10
F,0.5615,0.252,0.18,10
M,1.8725,0.9115,0.446,10
M,0.563,0.2525,0.185,10
I,0.8145,0.403,0.213,10
I,0.5585,0.252,0.1615,10
F,1.2365,0.5305,0.308,10
F,1.389,0.5945,0.395,10
F,1.376,0.6495,0.31,10
I,0.2875,0.1145,0.095,10
I,0.7395,0.3135,0.28,10
M,0.911,0.375,0.278,10
M,0.5815,0.2565,0.17,10
F,1.3435,0.629,0.345,10
M,0.1295,0.0535,0.045,10
F,0.6855,0.2905,0.225,10
I,0.805,0.3155,0.245,10
M,2.165,1.1055,0.404,10
F,1.2155,0.4625,0.3105,10
M,1.9875,1.005,0.491,10
F,0.925,0.37,0.3005,10
M,0.8855,0.388,0.275,10
M,1.0565,0.4615,0.305,10
M,0.7465,0.348,0.2185,10
M,0.9685,0.49,0.2655,10
M,1.4065,0.684,0.3745,10
M,0.9335,0.382,0.2615,10
F,0.4775,0.2105,0.15,10
M,1.7405,0.871,0.449,10
M,1.201,0.5395,0.309,10
F,1.1345,0.505,0.315,10
F,0.2245,0.078,0.08,10
I,0.6255,0.245,0.2135,10
F,1.1345,0.4305,0.35,10
M,0.197,0.085,0.0605,10
F,1.9965,0.9035,0.5215,10
F,0.2165,0.096,0.0735,10
M,0.972,0.419,0.269,10
M,0.163,0.0615,0.0485,10
F,1.224,0.618,0.2875,10
F,0.6835,0.271,0.215,10
F,1.2395,0.468,0.424,10
M,1.262,0.6245,0.33,10
M,0.179,0.0705,0.06,10
F,2.103,1.0265,0.5375,10
M,0.501,0.1665,0.165,10
M,1.054,0.4845,0.295,10
F,1.077,0.4995,0.25,10
F,0.6725,0.249,0.21,10
I,0.9995,0.425,0.3,10
M,1.3715,0.567,0.409,10
M,1.31,0.495,0.4695,10
M,1.3135,0.4935,0.465,10
M,0.3675,0.1465,0.12,10
F,0.5765,0.2395,0.185,10
M,1.1795,0.4785,0.355,10
F,1.0235,0.429,0.3,10
F,1.5105,0.7385,0.3725,10
M,1.03,0.4275,0.3305,10
F,1.116,0.509,0.34,10
M,2.2355,1.1705,0.5315,10
M,1.012,0.441,0.305,10
F,1.1,0.506,0.31,10
M,0.7775,0.436,0.1455,10
M,1.247,0.5475,0.3685,10
M,0.798,0.365,0.2285,10
F,0.472,0.182,0.15,10
F,0.4335,0.2105,0.12,10
M,0.9975,0.3935,0.33,10
F,0.6345,0.1995,0.22,10
M,0.871,0.407,0.25,10
M,2.173,1.133,0.496,10
F,1.42,0.573,0.3905,10
F,0.6905,0.3125,0.175,10
M,0.163,0.0615,0.055,10
F,0.879,0.295,0.285,10
F,0.205,0.0745,0.07,10
F,1.566,0.858,0.354,10
M,1.065,0.5315,0.2885,10
F,0.754,0.256,0.275,10
F,1.2155,0.545,0.345,10
M,1.39,0.6465,0.3735,10
I,2.0495,0.7735,0.655,10
F,1.2475,0.4625,0.3595,10
F,1.548,0.724,0.3925,10
M,0.4415,0.1805,0.1505,10
F,0.2305,0.0945,0.075,10
F,1.1435,0.4755,0.349,10
M,1.583,0.7395,0.405,10
F,1.0145,0.4375,0.3745,10
M,1.101,0.534,0.3455,10
F,1.016,0.4935,0.263,10
M,1.1935,0.5205,0.3665,10
F,0.875,0.362,0.2765,10
M,1.3695,0.657,0.365,10
F,0.6675,0.261,0.22,10
M,1.4755,0.6275,0.374,10
F,1.3715,0.5065,0.45,10
F,1.004,0.4475,0.2895,10
I,0.924,0.358,0.2965,10
F,1.52,0.637,0.435,10
F,1.361,0.5465,0.465,10
I,0.619,0.2755,0.1765,10
I,0.8715,0.45,0.225,10
I,0.468,0.1665,0.17,10
I,0.9665,0.4145,0.345,10
M,1.0265,0.435,0.3035,10
F,1.362,0.6765,0.3705,10
M,1.3065,0.6895,0.29,10
M,1.2015,0.492,0.265,10
F,0.3675,0.146,0.12,10
M,0.663,0.313,0.2,10
M,0.2225,0.0875,0.08,10
I,0.7535,0.3285,0.2325,10
M,1.27,0.6035,0.335,10
I,0.7995,0.295,0.238,10
I,0.5125,0.2075,0.172,10
M,1.4025,0.705,0.335,10
I,0.7935,0.378,0.26,10
F,0.8655,0.4315,0.2175,10
F,1.491,0.6345,0.435,10
F,1.224,0.5565,0.2695,10
F,1.431,0.622,0.398,10
M,0.831,0.4245,0.219,10
I,0.407,0.1685,0.13,10
F,1.2465,0.5475,0.3,10
M,1.1565,0.52,0.3535,10
M,1.168,0.554,0.3295,10
I,0.53,0.2505,0.1625,10
F,0.5065,0.222,0.16,10
F,1.0165,0.4355,0.325,10
M,1.3405,0.6325,0.344,10
M,0.169,0.06,0.054,10
F,1.541,0.5985,0.4575,10
M,0.886,0.4315,0.223,10
F,1.48,0.6535,0.4155,10
F,0.8295,0.3875,0.245,10
M,0.8445,0.373,0.235,10
M,0.287,0.1135,0.113,10
F,0.714,0.318,0.208,10
M,1.4395,0.6715,0.2955,10
F,1.6015,0.707,0.43,10
F,0.8765,0.3455,0.275,10
F,0.837,0.37,0.2425,10
F,0.9205,0.381,0.2675,10
M,1.0595,0.4735,0.265,10
F,2.1505,1.0745,0.585,10
M,0.1835,0.077,0.065,10
M,1.2005,0.575,0.294,10
M,1.1315,0.508,0.309,10
M,1.0565,0.4815,0.27,10
I,0.25,0.1025,0.085,10
F,0.8145,0.459,0.195,10
I,1.022,0.428,0.265,10
F,0.6695,0.289,0.18,10
M,0.406,0.1675,0.135,10
F,1.546,0.7035,0.415,10
F,0.9185,0.429,0.2375,10
M,0.388,0.149,0.125,10
F,1.3525,0.6235,0.365,10
F,1.382,0.609,0.3985,10
M,1.085,0.454,0.35,10
I,0.6265,0.2605,0.16,10
M,1.9125,0.8825,0.506,10
F,0.549,0.245,0.174,10
F,1.336,0.6805,0.3245,10
F,1.367,0.5835,0.396,10
M,1.519,0.616,0.415,10
M,0.417,0.1535,0.144,10
M,1.307,0.4335,0.52,10
I,0.657,0.2985,0.168,10
F,1.394,0.4935,0.4,10
F,1.1345,0.4535,0.335,10
M,0.9125,0.3595,0.35,10
F,1.5965,0.7765,0.3605,10
F,1.122,0.5095,0.309,10
F,1.1045,0.535,0.287,10
F,1.2435,0.5805,0.305,10
I,0.4745,0.213,0.1275,10
M,0.482,0.207,0.145,10
F,1.148,0.444,0.37,10
F,0.458,0.1985,0.12,10
M,1.74,0.885,0.4375,10
F,1.679,0.805,0.3965,10
M,0.241,0.11,0.069,10
M,1.8275,0.919,0.485,10
F,0.6845,0.2725,0.205,10
M,1.243,0.623,0.3,10
M,1.1155,0.479,0.321,10
F,1.4465,0.6775,0.389,10
F,1.363,0.573,0.36,10
F,0.6935,0.3115,0.2,10
F,0.3605,0.12,0.1,10
F,1.35,0.575,0.3885,10
F,1.0565,0.37,0.355,10
M,0.675,0.294,0.1825,10
F,1.1295,0.463,0.33,10
M,1.5265,0.651,0.345,10
M,1.042,0.515,0.175,10
M,1.103,0.4635,0.2725,10
M,1.6275,0.594,0.485,10
F,1.0005,0.452,0.265,10
I,0.8145,0.305,0.244,10
F,1.383,0.54,0.38,10
F,0.92,0.437,0.28,10
I,1.071,0.482,0.352,10
F,0.5185,0.221,0.135,10
M,1.15,0.575,0.297,10
M,1.1215,0.533,0.271,10
I,0.458,0.181,0.136,10
M,0.297,0.108,0.1,10
F,1.1615,0.513,0.305,10
F,1.4415,0.5925,0.49,10
F,0.6965,0.302,0.2,10
M,0.5175,0.2075,0.17,10
M,1.139,0.5395,0.285,10
M,1.51,0.664,0.385,10
F,0.8285,0.362,0.236,10
M,0.722,0.32,0.21,10
M,0.977,0.4625,0.275,10
M,1.217,0.667,0.3115,10
I,0.9265,0.4135,0.27,10
F,0.5305,0.2135,0.17,10
F,0.3105,0.12,0.105,10
F,1.564,0.612,0.44,10
I,0.8465,0.339,0.295,10
F,0.974,0.4305,0.285,10
M,0.959,0.463,0.2535,10
M,0.922,0.3635,0.285,10
M,1.482,0.739,0.365,10
F,1.1155,0.5045,0.315,10
F,0.314,0.146,0.08,10
M,1.012,0.4985,0.2835,10
M,0.879,0.368,0.265,10
M,0.869,0.3155,0.32,10
I,0.8715,0.3755,0.25,10
M,1.112,0.465,0.341,10
M,1.362,0.5785,0.384,10
M,0.799,0.3245,0.23,10
F,0.7055,0.329,0.199,10
F,1.255,0.525,0.405,10
M,1.3325,0.5705,0.405,10
I,0.8075,0.3655,0.2595,10
F,1.1845,0.533,0.291,10
F,0.556,0.1925,0.1685,10
I,0.858,0.449,0.215,10
M,1.0165,0.512,0.225,10
F,0.857,0.461,0.2125,10
F,1.33,0.6675,0.33,10
I,0.4985,0.2095,0.145,10
M,0.198,0.0725,0.06,10
M,0.3795,0.143,0.125,10
I,0.2965,0.123,0.0995,10
F,1.2075,0.5105,0.39,10
F,1.2235,0.5215,0.36,10
M,0.6615,0.2875,0.155,10
I,0.699,0.3395,0.1945,10
M,0.875,0.279,0.3,10
F,1.017,0.3515,0.32,10
M,1.2075,0.55,0.32,10
M,0.699,0.288,0.205,10
F,0.8735,0.4205,0.2225,10
F,0.712,0.2845,0.225,10
F,1.6895,0.6555,0.4935,10
F,0.207,0.0775,0.0765,10
F,0.7565,0.1905,0.3205,10
I,0.742,0.3525,0.208,10
F,1.587,0.739,0.435,10
I,1.0505,0.48,0.285,10
F,1.5245,0.59,0.495,10
F,0.4765,0.192,0.16,10
I,0.89,0.4325,0.236,10
M,1.185,0.482,0.361,10
M,0.9755,0.419,0.315,10
M,1.214,0.5315,0.325,10
M,0.515,0.224,0.1565,10
I,0.712,0.3025,0.225,10
M,0.593,0.277,0.18,10
M,0.791,0.375,0.1815,10
I,0.5825,0.233,0.18,10
F,1.382,0.6045,0.3965,10
M,0.876,0.3795,0.27,10
I,0.2715,0.134,0.085,10
M,0.966,0.439,0.2605,10
F,1.2615,0.5505,0.3885,10
M,0.983,0.4565,0.266,10
I,0.9745,0.4675,0.259,10
M,0.9055,0.3925,0.275,10
M,0.5725,0.204,0.175,10
M,0.992,0.432,0.239,10
M,1.195,0.5625,0.295,10
F,1.1105,0.467,0.329,10
F,1.3345,0.667,0.355,10
M,0.474,0.197,0.1545,10
M,0.8315,0.411,0.2165,10
I,0.457,0.2085,0.147,10
F,0.813,0.385,0.23,10
F,2.0725,0.8655,0.565,10
M,1.4105,0.691,0.3465,10
F,1.2895,0.6095,0.344,10
F,1.415,0.5885,0.364,10
I,0.9175,0.4005,0.26,10
M,1.171,0.522,0.335,10
I,0.7125,0.285,0.245,10
F,1.7715,0.8195,0.437,10
M,1.6755,0.889,0.42,10
F,1.348,0.5855,0.394,10
M,0.892,0.4415,0.22,10
M,1.142,0.539,0.307,10
F,1.761,0.747,0.488,10
M,1.0305,0.4925,0.278,10
M,0.817,0.2945,0.195,10
M,0.488,0.188,0.19,10
I,0.6955,0.2405,0.253,10
M,0.8025,0.244,0.255,10
I,0.3625,0.1565,0.125,10
M,1.406,0.6115,0.389,10
F,1.1145,0.508,0.34,10
F,0.871,0.385,0.2315,10
M,1.489,0.6065,0.421,10
F,0.2705,0.093,0.0885,10
M,0.7535,0.349,0.194,10
F,1.1155,0.3835,0.379,10
F,0.8895,0.419,0.269,10
F,1.058,0.439,0.3,10
M,0.522,0.2395,0.145,10
F,0.5895,0.2635,0.167,10
M,1.478,0.5815,0.372,10
M,0.5415,0.2595,0.16,10
F,0.846,0.346,0.2735,10
M,0.8765,0.456,0.233,10
M,1.1135,0.5825,0.274,10
I,0.751,0.2825,0.2215,10
M,0.824,0.3465,0.263,10
F,1.056,0.4575,0.3135,10
I,0.2255,0.08,0.085,10
F,1.5055,0.6565,0.43,10
F,1.2205,0.6145,0.3185,10
M,0.737,0.325,0.237,10
F,1.1345,0.528,0.305,10
M,1.229,0.5055,0.3535,10
M,0.8975,0.341,0.345,10
I,0.656,0.257,0.203,10
M,1.622,0.6645,0.477,10
F,1.293,0.596,0.354,10
F,1.115,0.484,0.355,10
I,0.702,0.322,0.19,10
I,0.6805,0.28,0.195,10
M,0.8395,0.3155,0.2405,10
I,0.8225,0.3685,0.236,10
M,0.95,0.4005,0.2845,10
F,1.2635,0.53,0.3455,10
M,1.115,0.5165,0.275,10
F,1.644,0.818,0.4275,10
M,1.274,0.586,0.365,10
F,0.98,0.4115,0.2255,10
M,0.6515,0.2455,0.185,10
I,0.9365,0.434,0.287,10
F,0.7005,0.347,0.195,10
I,0.7905,0.3525,0.242,10
F,0.976,0.465,0.2765,10
F,1.1655,0.536,0.1625,10
F,1.148,0.5475,0.3315,10
M,1.129,0.4795,0.3,10
M,1.374,0.589,0.345,10
M,0.8815,0.3605,0.2735,10
M,0.986,0.405,0.31,10
M,1.265,0.6025,0.325,10
M,1.065,0.4865,0.285,10
F,1.0735,0.479,0.265,10
F,0.5325,0.2085,0.125,10
M,1.025,0.5075,0.2485,10
M,1.261,0.5,0.339,10
F,1.1185,0.478,0.2985,10
F,2.0165,1.0685,0.435,10
M,0.467,0.1895,0.158,10
F,1.0945,0.531,0.296,10
M,0.724,0.3105,0.205,10
M,0.99,0.386,0.3105,10
M,1.3575,0.5325,0.4485,10
M,1.128,0.4465,0.34,10
I,0.7915,0.3535,0.236,10
F,1.6525,0.8515,0.403,10
M,0.547,0.215,0.14,10
F,0.9855,0.4325,0.2845,10
I,0.6725,0.2555,0.235,10
M,0.873,0.382,0.2705,10
M,0.8255,0.2425,0.285,10
F,0.8785,0.425,0.2425,10
F,0.286,0.1225,0.0835,10
F,1.3335,0.605,0.319,10
F,1.37,0.6135,0.34,10
F,0.5785,0.2775,0.155,10
I,0.6755,0.3015,0.21,10
F,0.7155,0.3165,0.24,10
M,0.849,0.3265,0.2645,10
F,0.322,0.1205,0.125,10
F,1.3165,0.6835,0.28,10
M,1.2205,0.4985,0.33,10
M,0.402,0.1305,0.165,10
F,1.337,0.615,0.3575,10
F,0.6985,0.2945,0.215,10
M,1.0865,0.511,0.2565,10
I,0.7665,0.347,0.202,10
M,1.2645,0.5635,0.3425,10
F,1.375,0.531,0.3985,10
M,1.049,0.462,0.25,10
M,1.205,0.5175,0.3465,10
M,0.7625,0.327,0.259,10
M,0.4665,0.2025,0.155,10
F,1.1345,0.492,0.3375,10
F,1.327,0.6,0.355,10
M,2.0065,0.8295,0.595,10
M,0.8645,0.3305,0.26,10
