@relation abalone

@attribute Sex {M,F,I}
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.5315,0.325,10
M,0.4865,0.4075,10
F,0.5835,0.396,10
I,0.3915,0.238,10
M,0.4615,0.305,10
M,0.5205,0.3665,10
F,0.1645,0.119,10
F,1.0745,0.585,10
F,0.637,0.435,10
F,0.675,0.325,10
I,0.1565,0.125,10
M,0.259,0.23,10
F,0.605,0.319,10
F,0.7765,0.401,10
I,0.425,0.3,10
M,0.57,0.265,10
F,0.498,0.33,10
F,0.2905,0.225,10
F,0.0945,0.075,10
M,0.517,0.2935,10
M,0.327,0.259,10
M,0.89,0.4895,10
M,1.1705,0.5315,10
I,0.4135,0.27,10
F,0.545,0.345,10
M,0.3965,0.217,10
M,0.657,0.365,10
M,0.149,0.125,10
M,0.5205,0.305,10
M,0.515,0.175,10
F,0.5205,0.347,10
F,0.612,0.44,10
F,0.609,0.3985,10
M,0.4315,0.223,10
M,0.575,0.297,10
M,0.2945,0.195,10
M,0.4935,0.465,10
M,0.277,0.18,10
M,0.4275,0.3305,10
I,0.123,0.0995,10
M,0.554,0.415,10
M,0.871,0.449,10
M,0.8105,0.5755,10
F,0.478,0.2985,10
F,0.385,0.2315,10
F,0.186,0.145,10
I,0.232,0.156,10
M,0.559,0.309,10
F,0.096,0.0735,10
M,0.368,0.32,10
F,0.295,0.285,10
M,0.2425,0.285,10
F,0.3155,0.24,10
M,0.465,0.341,10
F,0.439,0.3,10
M,0.21,0.1535,10
I,0.5495,0.3305,10
M,0.6715,0.2955,10
F,0.5075,0.36,10
M,0.7645,0.4135,10
F,0.4995,0.25,10
M,0.0535,0.045,10
F,0.4115,0.2255,10
F,0.573,0.3905,10
F,0.362,0.2765,10
M,0.454,0.35,10
M,0.11,0.069,10
I,0.439,0.34,10
F,0.505,0.315,10
I,0.402,0.245,10
F,0.531,0.3985,10
F,0.277,0.21,10
M,0.2075,0.17,10
I,0.45,0.225,10
M,0.518,0.2795,10
F,0.6675,0.33,10
I,0.7735,0.655,10
M,0.8295,0.595,10
F,0.6095,0.344,10
I,0.1685,0.13,10
M,0.2395,0.145,10
F,0.295,0.2665,10
M,0.3595,0.35,10
M,0.382,0.2705,10
F,0.6145,0.3185,10
M,0.38,0.255,10
M,0.582,0.317,10
F,0.222,0.16,10
I,0.1535,0.105,10
F,0.4755,0.349,10
M,0.1305,0.165,10
F,0.629,0.345,10
I,0.3655,0.2595,10
F,0.2085,0.125,10
I,0.449,0.215,10
M,1.0515,0.584,10
F,0.5045,0.315,10
M,0.0615,0.055,10
F,0.3425,0.2425,10
F,0.539,0.35,10
M,0.564,0.3885,10
F,0.6,0.383,10
I,0.364,0.239,10
M,0.6065,0.421,10
F,0.206,0.125,10
I,0.2825,0.2215,10
F,0.243,0.195,10
F,0.5565,0.2695,10
F,0.159,0.12,10
F,0.3265,0.2365,10
I,0.3065,0.22,10
F,0.575,0.3885,10
I,0.1665,0.17,10
F,0.515,0.385,10
I,0.378,0.26,10
M,0.5885,0.3745,10
F,1.0265,0.5375,10
I,0.428,0.265,10
F,0.6135,0.34,10
M,0.6165,0.3725,10
M,0.522,0.335,10
F,0.8195,0.437,10
M,0.5825,0.274,10
M,0.495,0.4695,10
M,0.5625,0.2635,10
M,0.419,0.269,10
M,0.4785,0.355,10
M,0.33,0.25,10
F,0.4835,0.31,10
F,0.461,0.2125,10
M,1.1075,0.512,10
M,0.677,0.4,10
I,0.3615,0.254,10
I,0.347,0.202,10
F,0.4935,0.4,10
M,0.885,0.4375,10
M,0.3925,0.275,10
M,0.3345,0.275,10
M,0.386,0.3105,10
M,0.2995,0.245,10
F,0.818,0.4275,10
F,0.3115,0.2,10
M,0.423,0.365,10
M,0.473,0.28,10
I,0.331,0.24,10
I,0.305,0.244,10
F,0.153,0.13,10
F,0.4495,0.325,10
M,0.405,0.31,10
M,0.567,0.409,10
M,0.18,0.155,10
M,0.119,0.115,10
I,0.3535,0.236,10
M,0.4795,0.3,10
M,0.5055,0.3535,10
F,0.8515,0.403,10
F,0.099,0.085,10
F,0.0745,0.07,10
I,0.339,0.295,10
M,0.3245,0.23,10
M,0.0675,0.081,10
F,0.3455,0.275,10
F,0.708,0.4715,10
F,0.5415,0.3185,10
M,0.6325,0.378,10
M,0.492,0.265,10
F,0.805,0.3965,10
F,0.592,0.322,10
F,0.6345,0.435,10
F,0.2105,0.12,10
F,0.547,0.2585,10
M,0.1895,0.158,10
F,0.506,0.31,10
I,0.08,0.085,10
F,0.1255,0.095,10
M,0.516,0.3,10
M,0.623,0.3,10
F,0.425,0.2425,10
F,0.508,0.34,10
F,0.4625,0.3105,10
M,0.4335,0.52,10
M,0.0725,0.07,10
F,0.5805,0.305,10
M,0.5625,0.295,10
M,0.49,0.2655,10
F,0.1205,0.125,10
F,0.5475,0.3315,10
M,0.435,0.3035,10
M,0.339,0.255,10
F,0.4205,0.2225,10
M,0.8005,0.43,10
F,0.3145,0.263,10
F,0.245,0.174,10
M,0.4025,0.274,10
M,0.616,0.415,10
M,0.439,0.2605,10
M,0.6275,0.374,10
F,0.667,0.355,10
F,0.535,0.287,10
M,0.554,0.3295,10
M,0.4625,0.275,10
M,0.4735,0.265,10
M,0.671,0.384,10
M,0.592,0.416,10
M,0.1465,0.12,10
M,0.6395,0.365,10
M,0.4985,0.33,10
F,0.302,0.2,10
M,0.5075,0.2485,10
I,0.3755,0.25,10
I,0.097,0.08,10
I,0.2085,0.147,10
F,0.536,0.1625,10
M,0.1535,0.144,10
F,0.252,0.18,10
M,0.667,0.3115,10
M,0.6035,0.335,10
F,0.146,0.12,10
M,0.8,0.295,10
M,0.375,0.278,10
F,0.5005,0.315,10
F,0.484,0.355,10
F,0.6205,0.326,10
M,0.5785,0.384,10
F,0.653,0.3205,10
M,0.2565,0.17,10
F,0.724,0.3925,10
M,0.4845,0.295,10
F,0.341,0.2475,10
I,0.4325,0.236,10
M,0.6505,0.495,10
M,0.8745,0.47,10
M,0.143,0.125,10
M,0.539,0.307,10
F,0.385,0.23,10
M,0.481,0.305,10
M,0.6895,0.29,10
F,0.444,0.37,10
F,0.3125,0.175,10
F,0.2135,0.17,10
F,0.468,0.424,10
I,0.134,0.085,10
M,0.375,0.1815,10
F,0.37,0.2425,10
I,0.245,0.2135,10
M,0.4895,0.345,10
I,0.252,0.1615,10
M,0.2875,0.155,10
M,0.3635,0.285,10
M,0.6705,0.4505,10
M,0.508,0.309,10
M,0.463,0.2535,10
F,0.479,0.265,10
M,0.6355,0.277,10
M,0.32,0.21,10
F,0.4945,0.41,10
F,0.513,0.305,10
M,1.133,0.496,10
M,0.419,0.315,10
M,0.462,0.25,10
M,0.262,0.175,10
F,0.3875,0.245,10
M,0.405,0.204,10
M,0.348,0.2185,10
F,0.3615,0.239,10
M,0.665,0.225,10
F,0.429,0.3,10
M,0.3305,0.26,10
I,0.322,0.19,10
M,0.95,0.4305,10
I,0.3395,0.1945,10
F,0.5065,0.45,10
M,0.382,0.2615,10
M,0.4865,0.285,10
M,0.684,0.3745,10
M,0.2525,0.185,10
F,0.618,0.2875,10
F,0.929,0.4395,10
I,0.3015,0.21,10
F,0.6565,0.43,10
M,0.5035,0.26,10
M,0.3265,0.2645,10
M,0.3285,0.245,10
M,0.8825,0.506,10
F,0.256,0.275,10
I,0.181,0.136,10
M,0.4465,0.34,10
M,0.5815,0.372,10
F,0.465,0.2765,10
M,0.4715,0.3135,10
F,0.2845,0.225,10
I,0.3285,0.2325,10
F,0.528,0.305,10
I,0.488,0.2925,10
M,0.889,0.42,10
F,0.5475,0.3,10
F,0.622,0.398,10
I,0.2755,0.1765,10
M,0.656,0.337,10
F,0.2895,0.177,10
M,0.3465,0.263,10
F,0.5445,0.413,10
M,0.292,0.255,10
M,0.388,0.275,10
F,0.5985,0.3825,10
M,0.0875,0.08,10
F,0.5265,0.265,10
F,0.221,0.135,10
M,0.325,0.237,10
F,0.2945,0.215,10
M,0.512,0.225,10
F,0.5305,0.308,10
F,0.1925,0.1685,10
M,0.5935,0.3745,10
M,0.5005,0.3105,10
M,0.4645,0.327,10
M,0.4005,0.2845,10
F,0.4325,0.2845,10
M,0.494,0.275,10
M,0.411,0.2165,10
F,0.507,0.39,10
F,0.525,0.405,10
M,0.694,0.3755,10
M,0.2855,0.175,10
F,0.467,0.329,10
F,0.548,0.34,10
I,0.307,0.19,10
F,0.4355,0.325,10
F,0.429,0.2375,10
I,0.2555,0.143,10
I,0.083,0.075,10
F,0.419,0.269,10
I,0.482,0.352,10
F,0.188,0.13,10
I,0.3695,0.315,10
F,0.271,0.215,10
M,0.9115,0.446,10
M,0.586,0.365,10
M,0.5705,0.405,10
F,0.615,0.3575,10
F,0.4305,0.285,10
F,0.6235,0.365,10
F,0.492,0.3375,10
F,0.6805,0.3245,10
F,0.5925,0.49,10
I,0.354,0.2815,10
M,0.436,0.1455,10
F,0.329,0.199,10
F,0.509,0.34,10
M,0.2535,0.19,10
F,0.5855,0.394,10
M,0.589,0.345,10
F,0.318,0.208,10
F,0.2105,0.15,10
F,0.1965,0.175,10
I,0.257,0.203,10
I,0.3155,0.245,10
M,0.6615,0.4075,10
M,0.919,0.485,10
I,0.2505,0.1625,10
M,0.456,0.233,10
M,0.699,0.4,10
I,0.3135,0.28,10
F,0.4505,0.293,10
F,0.463,0.33,10
M,0.52,0.3535,10
M,0.446,0.121,10
F,0.1475,0.115,10
F,0.3165,0.24,10
M,0.482,0.361,10
M,0.6325,0.344,10
M,0.511,0.2565,10
I,0.213,0.1275,10
M,0.3305,0.195,10
F,0.12,0.105,10
F,0.37,0.3005,10
M,0.6565,0.3035,10
F,0.078,0.08,10
M,0.4565,0.266,10
F,0.858,0.354,10
F,0.437,0.28,10
M,0.1805,0.1505,10
M,0.513,0.343,10
F,0.5015,0.342,10
F,0.2635,0.167,10
F,0.182,0.15,10
M,0.583,0.295,10
M,0.5,0.339,10
M,0.526,0.314,10
M,0.207,0.145,10
M,0.3745,0.355,10
M,0.06,0.054,10
M,0.5195,0.3175,10
I,0.4865,0.2755,10
M,0.5405,0.3265,10
M,0.077,0.065,10
M,0.244,0.255,10
F,0.2775,0.155,10
F,0.0775,0.0765,10
I,0.302,0.2545,10
M,0.4405,0.225,10
F,0.093,0.0885,10
F,0.8035,0.503,10
M,1.005,0.491,10
F,0.54,0.38,10
M,0.55,0.32,10
F,0.7245,0.391,10
F,0.5885,0.364,10
M,0.373,0.235,10
F,0.289,0.195,10
F,0.747,0.488,10
I,0.4005,0.26,10
F,0.1225,0.0835,10
M,0.671,0.3385,10
I,0.48,0.285,10
F,0.53,0.3455,10
F,0.4815,0.236,10
F,0.4835,0.28,10
F,0.1675,0.185,10
M,0.678,0.48,10
I,0.412,0.2425,10
M,0.441,0.305,10
F,0.4375,0.3745,10
F,0.531,0.296,10
M,0.581,0.323,10
F,0.556,0.2575,10
I,0.285,0.245,10
F,0.459,0.195,10
F,0.2725,0.205,10
I,0.3685,0.236,10
M,0.4965,0.305,10
M,0.5445,0.295,10
M,0.617,0.3605,10
M,0.5715,0.39,10
M,0.266,0.185,10
M,0.691,0.3465,10
M,0.4925,0.278,10
M,0.1665,0.165,10
F,0.4055,0.27,10
F,0.1995,0.22,10
M,0.5635,0.3425,10
F,0.4565,0.3085,10
F,0.289,0.18,10
F,0.261,0.22,10
F,0.5945,0.395,10
F,0.362,0.236,10
I,0.2095,0.145,10
F,0.914,0.4095,10
M,0.7055,0.335,10
M,0.085,0.0605,10
M,0.5715,0.3075,10
I,0.4725,0.192,10
M,0.279,0.3,10
F,0.4315,0.2175,10
M,0.3945,0.258,10
F,0.4625,0.3595,10
M,0.651,0.345,10
M,0.365,0.2285,10
M,0.1135,0.113,10
F,0.5985,0.4575,10
F,0.59,0.495,10
M,0.0705,0.06,10
M,0.592,0.4125,10
F,0.9915,0.624,10
M,0.6115,0.389,10
F,0.543,0.3345,10
F,0.4905,0.31,10
F,0.596,0.354,10
I,0.3525,0.208,10
M,0.293,0.38,10
M,0.5995,0.335,10
F,0.567,0.403,10
M,0.2595,0.16,10
M,0.3275,0.305,10
F,0.381,0.2675,10
F,0.5215,0.36,10
F,0.37,0.355,10
M,0.4415,0.22,10
M,0.368,0.265,10
F,0.391,0.31,10
M,0.469,0.295,10
M,0.533,0.271,10
M,0.341,0.345,10
M,0.188,0.19,10
M,0.893,0.48,10
M,0.5395,0.285,10
M,0.4565,0.347,10
F,0.6835,0.28,10
F,0.533,0.291,10
F,0.192,0.16,10
M,0.6465,0.3735,10
M,0.313,0.2,10
M,0.7395,0.405,10
F,0.4305,0.35,10
M,0.1675,0.135,10
F,0.5005,0.2575,10
M,0.575,0.294,10
I,0.434,0.287,10
M,0.5315,0.2885,10
M,0.108,0.1,10
M,0.2105,0.165,10
F,0.363,0.305,10
M,0.59,0.26,10
F,0.5325,0.324,10
F,0.4575,0.3135,10
I,0.1025,0.085,10
M,0.594,0.485,10
M,0.0725,0.06,10
M,0.2455,0.185,10
M,0.479,0.321,10
I,0.095,0.085,10
M,0.224,0.1565,10
F,0.2395,0.185,10
I,0.2075,0.172,10
F,0.6045,0.3965,10
M,1.1055,0.404,10
F,0.5095,0.309,10
M,0.755,0.4,10
I,0.358,0.2965,10
I,0.364,0.26,10
F,0.346,0.2735,10
F,0.6555,0.4935,10
F,0.5105,0.39,10
I,0.4675,0.259,10
M,0.294,0.1825,10
F,0.6495,0.31,10
F,0.4535,0.335,10
M,0.2155,0.155,10
I,0.565,0.27,10
F,0.249,0.21,10
M,0.3795,0.27,10
M,0.3605,0.2735,10
I,0.362,0.209,10
F,0.12,0.1,10
M,0.8445,0.54,10
F,0.7035,0.415,10
M,0.3105,0.205,10
M,0.534,0.3455,10
M,0.519,0.335,10
F,0.452,0.265,10
F,0.1905,0.3205,10
M,0.245,0.185,10
F,0.4935,0.2745,10
M,0.5395,0.309,10
I,0.4145,0.345,10
I,0.0705,0.06,10
F,0.802,0.435,10
I,0.2495,0.2215,10
M,0.407,0.25,10
F,0.8655,0.565,10
M,0.197,0.1545,10
M,0.4245,0.219,10
M,0.352,0.2525,10
I,0.233,0.18,10
I,0.4235,0.228,8
M,0.547,0.2295,8
M,0.5425,0.323,8
I,0.1695,0.1065,8
I,0.0785,0.07,8
F,0.259,0.175,8
I,0.175,0.135,8
M,0.3415,0.239,8
I,0.082,0.064,8
F,0.371,0.36,8
I,0.3395,0.2095,8
M,0.3495,0.2105,8
I,0.201,0.12,8
I,0.268,0.1365,8
I,0.124,0.1,8
I,0.1135,0.0945,8
I,0.34,0.244,8
I,0.3165,0.18,8
M,0.2575,0.129,8
I,0.21,0.155,8
I,0.151,0.088,8
F,0.583,0.4,8
F,0.7595,0.321,8
M,0.166,0.135,8
M,0.6165,0.32,8
M,0.5145,0.3055,8
I,0.136,0.115,8
I,0.1415,0.12,8
M,0.321,0.2445,8
I,0.3355,0.2175,8
M,0.289,0.153,8
I,0.211,0.1545,8
F,0.5155,0.25,8
M,0.05,0.063,8
M,0.2435,0.132,8
I,0.1235,0.0725,8
I,0.1895,0.2305,8
I,0.1785,0.0855,8
I,0.349,0.2,8
M,0.5795,0.206,8
M,0.369,0.24,8
I,0.2275,0.1765,8
M,0.4165,0.23,8
F,0.3985,0.248,8
M,0.0315,0.027,8
M,0.371,0.29,8
F,0.1525,0.135,8
I,0.1885,0.11,8
I,0.1305,0.0725,8
I,0.167,0.115,8
I,0.1495,0.1,8
M,0.25,0.15,8
I,0.038,0.031,8
I,0.2435,0.175,8
I,0.416,0.0995,8
M,0.2575,0.1535,8
F,0.4035,0.283,8
M,0.069,0.0695,8
M,0.241,0.155,8
M,0.3865,0.1955,8
I,0.2165,0.184,8
F,0.318,0.1325,8
M,0.4475,0.268,8
M,0.042,0.043,8
F,0.4985,0.2815,8
I,0.0865,0.07,8
F,0.585,0.33,8
M,0.5185,0.3235,8
M,0.41,0.225,8
I,0.211,0.15,8
F,0.4735,0.24,8
M,0.7725,0.4325,8
I,0.1485,0.1455,8
M,0.3685,0.1735,8
M,0.486,0.285,8
I,0.1975,0.125,8
M,0.2935,0.15,8
I,0.073,0.061,8
I,0.293,0.1555,8
I,0.0885,0.09,8
M,0.42,0.2215,8
M,0.2,0.1305,8
F,0.4235,0.248,8
F,0.4945,0.371,8
F,0.165,0.131,8
I,0.2375,0.1535,8
M,0.2945,0.198,8
I,0.212,0.109,8
I,0.3595,0.1985,8
F,0.2705,0.185,8
F,0.593,0.352,8
I,0.2,0.17,8
I,0.3015,0.18,8
I,0.25,0.163,8
M,0.621,0.3445,8
I,0.1385,0.0925,8
I,0.248,0.171,8
I,0.2465,0.167,8
M,0.2075,0.135,8
I,0.253,0.14,8
I,0.112,0.08,8
I,0.1805,0.0965,8
M,0.1565,0.117,8
I,0.205,0.1505,8
I,0.129,0.0955,8
F,0.5635,0.281,8
I,0.2525,0.19,8
F,0.445,0.2565,8
I,0.141,0.075,8
I,0.3985,0.1805,8
F,0.3395,0.2,8
F,0.411,0.225,8
I,0.288,0.167,8
I,0.135,0.078,8
I,0.3445,0.24,8
M,0.302,0.1415,8
M,0.171,0.12,8
F,0.148,0.1175,8
M,0.4235,0.28,8
M,0.709,0.4,8
F,0.4065,0.177,8
M,0.498,0.23,8
I,0.1125,0.115,8
I,0.38,0.29,8
I,0.053,0.05,8
M,0.21,0.1505,8
M,0.2435,0.1025,8
I,0.264,0.174,8
I,0.2755,0.165,8
I,0.2375,0.1725,8
I,0.3065,0.1485,8
I,0.1625,0.105,8
I,0.1785,0.1505,8
M,0.349,0.135,8
I,0.2545,0.1645,8
F,0.4215,0.225,8
M,0.564,0.264,8
M,0.475,0.215,8
I,0.053,0.04,8
I,0.201,0.14,8
M,0.3525,0.2875,8
F,0.3045,0.175,8
M,0.2345,0.194,8
I,0.486,0.239,8
I,0.195,0.1205,8
M,0.481,0.24,8
F,0.5475,0.215,8
M,0.416,0.25,8
M,0.2385,0.185,8
M,0.3295,0.203,8
I,0.1985,0.109,8
M,0.25,0.1635,8
I,0.345,0.2,8
M,0.2505,0.175,8
I,0.25,0.185,8
I,0.14,0.1245,8
M,0.2235,0.1155,8
M,0.1685,0.15,8
M,0.4285,0.2405,8
M,0.44,0.2315,8
I,0.1395,0.12,8
F,0.684,0.336,8
I,0.279,0.13,8
I,0.1,0.076,8
M,0.4225,0.275,8
M,0.0615,0.057,8
F,0.332,0.1335,8
I,0.2945,0.171,8
M,0.1065,0.074,8
M,0.1225,0.0905,8
M,0.413,0.249,8
F,0.417,0.24,8
I,0.037,0.04,8
M,0.1145,0.085,8
M,0.472,0.252,8
F,0.093,0.08,8
I,0.149,0.09,8
M,0.347,0.142,8
I,0.2935,0.16,8
F,0.6025,0.29,8
M,0.2765,0.17,8
F,0.134,0.095,8
I,0.12,0.056,8
I,0.1525,0.1185,8
M,0.2855,0.2155,8
M,0.192,0.135,8
F,0.325,0.205,8
F,0.154,0.109,8
F,0.3485,0.2825,8
I,0.1325,0.101,8
M,0.2725,0.1395,8
I,0.1645,0.1,8
F,0.4925,0.29,8
I,0.1215,0.068,8
I,0.1265,0.0895,8
I,0.373,0.2215,8
M,0.3765,0.268,8
M,0.61,0.3,8
I,0.2145,0.1435,8
M,0.0865,0.095,8
I,0.045,0.034,8
M,0.456,0.255,8
F,0.453,0.22,8
F,0.4485,0.3595,8
M,0.372,0.19,8
M,0.175,0.135,8
F,0.078,0.06,8
I,0.3475,0.213,8
I,0.252,0.123,8
I,0.3015,0.18,8
F,0.1305,0.105,8
I,0.259,0.1645,8
I,0.215,0.166,8
I,0.115,0.085,8
F,0.4445,0.225,8
F,0.282,0.17,8
I,0.3035,0.169,8
F,0.1955,0.155,8
I,0.297,0.1405,8
M,0.0815,0.075,8
M,0.2825,0.17,8
I,0.271,0.139,8
F,0.2565,0.22,8
I,0.2455,0.173,8
I,0.362,0.156,8
I,0.2065,0.132,8
I,0.2385,0.19,8
I,0.1605,0.103,8
I,0.0855,0.0525,8
F,0.1255,0.09,8
I,0.1385,0.105,8
I,0.2535,0.14,8
I,0.2375,0.14,8
I,0.2855,0.161,8
M,0.266,0.169,8
F,0.438,0.22,8
I,0.0565,0.054,8
I,0.2695,0.21,8
I,0.3595,0.225,8
I,0.092,0.15,8
I,0.092,0.09,8
I,0.296,0.198,8
I,0.339,0.21,8
I,0.21,0.131,8
I,0.1815,0.1125,8
I,0.2835,0.135,8
M,0.4235,0.313,8
M,0.604,0.35,8
I,0.1185,0.081,8
I,0.1495,0.12,8
I,0.0435,0.04,8
M,0.3835,0.27,8
M,0.8255,0.405,8
I,0.294,0.1605,8
M,0.11,0.08,8
F,0.3005,0.24,8
M,0.3795,0.216,8
F,0.427,0.3,8
F,0.551,0.2785,8
F,0.3695,0.1965,8
I,0.2295,0.157,8
I,0.0865,0.075,8
I,0.097,0.067,8
M,0.387,0.245,8
M,0.174,0.135,8
I,0.2465,0.147,8
F,0.29,0.146,8
I,0.1125,0.0925,8
M,0.637,0.31,8
M,0.4035,0.195,8
M,0.343,0.19,8
I,0.207,0.1215,8
I,0.171,0.1345,8
M,0.5315,0.2415,8
F,0.2945,0.175,8
F,0.536,0.245,8
I,0.0955,0.085,8
F,0.4605,0.36,8
I,0.2735,0.158,8
F,0.5225,0.32,8
F,0.4095,0.276,8
M,0.3375,0.225,8
F,0.433,0.315,8
F,0.375,0.1945,8
I,0.239,0.204,8
F,0.2635,0.221,8
I,0.1765,0.095,8
F,0.405,0.2335,8
F,0.455,0.228,8
I,0.3175,0.15,8
I,0.289,0.2615,8
I,0.0795,0.055,8
F,0.5585,0.29,8
F,0.4025,0.275,8
M,0.1885,0.175,8
I,0.187,0.11,8
I,0.325,0.17,8
I,0.4955,0.304,8
F,0.54,0.27,8
M,0.214,0.145,8
I,0.2415,0.1615,8
F,0.1405,0.1,8
M,0.497,0.2185,8
I,0.138,0.087,8
F,0.509,0.3065,8
I,0.2205,0.135,8
I,0.3395,0.1665,8
F,0.3345,0.21,8
I,0.294,0.1755,8
I,0.35,0.1845,8
M,0.3945,0.225,8
F,0.477,0.275,8
M,0.234,0.135,8
I,0.204,0.143,8
I,0.2055,0.105,8
M,0.246,0.1455,8
M,0.194,0.115,8
M,0.32,0.1695,8
M,0.3735,0.2195,8
I,0.3495,0.1785,8
I,0.2255,0.17,8
M,0.4005,0.2385,8
F,0.1335,0.0935,8
I,0.0395,0.032,8
I,0.2065,0.115,8
M,0.347,0.1885,8
M,0.457,0.28,8
F,0.434,0.185,8
F,0.412,0.22,8
I,0.31,0.2,8
I,0.164,0.126,8
M,0.5305,0.276,8
I,0.0985,0.07,8
F,0.367,0.23,8
I,0.414,0.2,8
M,0.341,0.214,8
I,0.106,0.08,8
M,0.537,0.176,8
I,0.195,0.182,8
I,0.3815,0.245,8
F,0.143,0.12,8
I,0.2265,0.162,8
I,0.14,0.0825,8
F,0.206,0.141,8
I,0.196,0.125,8
I,0.123,0.125,8
I,0.072,0.057,8
F,0.5455,0.25,8
M,0.3935,0.19,8
I,0.298,0.23,8
I,0.063,0.06,8
M,0.251,0.169,8
I,0.2235,0.16,8
I,0.1675,0.105,8
M,0.4645,0.27,8
F,0.43,0.2155,8
I,0.3425,0.224,8
I,0.1775,0.125,8
I,0.255,0.184,8
M,0.629,0.34,8
I,0.251,0.15,8
I,0.1295,0.1,8
I,0.241,0.15,8
F,0.4315,0.223,8
I,0.197,0.1335,8
I,0.233,0.185,8
M,0.5315,0.2475,8
I,0.2875,0.16,8
I,0.171,0.158,8
I,0.2215,0.16,8
M,0.3265,0.175,8
F,0.2765,0.135,8
M,0.221,0.239,8
I,0.21,0.12,8
M,0.3695,0.1955,8
M,0.3395,0.235,8
I,0.105,0.07,8
I,0.2135,0.1315,8
I,0.1135,0.0675,8
F,0.427,0.175,8
M,0.1305,0.115,8
M,0.3125,0.159,8
I,0.181,0.191,8
I,0.1875,0.1305,8
F,0.184,0.1245,8
I,0.238,0.185,8
F,0.2905,0.183,8
M,0.4375,0.27,8
I,0.234,0.165,8
M,0.3645,0.25,8
M,0.539,0.28,8
M,0.477,0.2515,8
M,0.5785,0.25,8
M,0.43,0.205,8
M,0.144,0.13,8
F,0.4055,0.215,8
I,0.377,0.235,8
M,0.398,0.175,8
F,0.2865,0.1765,8
I,0.0845,0.079,8
I,0.141,0.12,8
I,0.194,0.14,8
I,0.258,0.1075,8
M,0.544,0.377,8
I,0.25,0.185,8
I,0.327,0.174,8
I,0.2825,0.19,8
F,0.1635,0.1385,8
F,0.583,0.333,8
M,0.418,0.2605,8
M,0.404,0.255,8
I,0.32,0.17,8
I,0.27,0.185,8
M,0.4,0.229,8
I,0.249,0.152,8
I,0.0825,0.065,8
M,0.224,0.167,8
I,0.156,0.105,8
I,0.3465,0.182,8
F,0.093,0.07,8
M,0.258,0.255,8
M,0.199,0.097,8
I,0.3095,0.1725,8
M,0.4765,0.265,8
I,0.0545,0.04,8
M,0.3165,0.2365,8
I,0.134,0.075,8
I,0.245,0.1405,8
F,0.4175,0.265,8
M,0.2405,0.139,8
I,0.334,0.207,8
I,0.1825,0.12,8
M,0.4365,0.25,8
M,0.19,0.135,8
M,0.253,0.14,8
I,0.036,0.035,8
F,0.4895,0.31,8
F,0.6235,0.35,8
M,0.587,0.286,8
I,0.3975,0.253,8
M,0.465,0.2505,8
M,0.327,0.14,8
F,0.1635,0.1355,8
F,0.1505,0.135,8
I,0.2065,0.165,8
M,0.5575,0.372,8
I,0.2695,0.17,8
F,0.237,0.145,8
I,0.2485,0.134,8
I,0.115,0.085,8
M,0.479,0.309,8
F,0.41,0.2425,8
I,0.31,0.1395,8
I,0.1745,0.0945,8
I,0.2425,0.1465,8
I,0.225,0.11,8
I,0.152,0.12,8
F,0.5415,0.265,8
M,0.243,0.135,8
F,0.3475,0.175,8
I,0.4525,0.2725,8
F,0.395,0.223,8
M,0.336,0.237,8
I,0.261,0.175,8
I,0.349,0.285,8
F,0.5015,0.319,8
I,0.278,0.169,8
M,0.2125,0.15,8
I,0.279,0.19,8
I,0.077,0.065,8
I,0.358,0.2055,8
F,0.165,0.155,8
M,0.696,0.24,8
I,0.2075,0.15,8
I,0.1525,0.125,8
I,0.17,0.145,8
M,0.4095,0.2335,8
M,0.504,0.249,8
F,0.2555,0.146,8
I,0.261,0.1935,8
I,0.2055,0.1505,8
F,0.479,0.255,8
M,0.4155,0.23,8
F,0.32,0.22,8
I,0.2025,0.148,8
I,0.2895,0.22,8
M,0.3035,0.1495,8
F,0.484,0.2325,8
M,0.137,0.092,8
M,0.106,0.0775,8
I,0.2505,0.1525,8
M,0.444,0.275,8
M,0.0975,0.085,8
I,0.15,0.115,8
I,0.2385,0.126,8
M,0.355,0.1795,8
I,0.1855,0.1015,8
F,0.336,0.245,8
I,0.214,0.1495,8
I,0.4005,0.211,8
I,0.3075,0.1405,8
I,0.2835,0.2105,8
I,0.191,0.13,8
F,0.221,0.17,8
M,0.341,0.119,8
I,0.1525,0.0835,8
I,0.111,0.095,8
M,0.2165,0.19,8
M,0.589,0.287,8
I,0.196,0.135,8
I,0.175,0.1185,8
M,0.348,0.375,20
M,0.367,0.37,20
M,0.55,0.43,20
F,0.535,0.515,20
M,0.393,0.375,20
F,0.6845,0.605,20
M,0.7415,0.58,20
M,0.275,0.265,20
F,0.61,0.445,20
I,0.3935,0.315,20
F,0.48,0.425,20
F,0.5595,0.4,20
M,0.5295,0.525,20
F,0.382,0.415,20
F,0.765,0.85,20
F,0.237,0.33,20
M,0.354,0.31,20
F,0.27,0.225,20
F,0.625,0.65,20
M,0.2885,0.48,20
M,0.488,0.45,20
F,0.414,0.405,20
I,0.299,0.205,20
F,0.5605,0.815,16
