@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.56,0.425,0.509,9
M,0.615,0.475,0.476,9
M,0.645,0.49,0.5355,9
M,0.64,0.49,0.477,9
I,0.58,0.42,0.3285,9
I,0.365,0.26,0.0935,9
I,0.57,0.42,0.3535,9
F,0.69,0.55,0.8715,9
I,0.54,0.425,0.32,9
M,0.59,0.435,0.4525,9
M,0.58,0.445,0.3775,9
M,0.595,0.475,0.621,9
F,0.6,0.475,0.485,9
M,0.525,0.425,0.4625,9
F,0.715,0.565,0.844,9
I,0.455,0.355,0.138,9
M,0.51,0.41,0.569,9
I,0.36,0.28,0.0695,9
I,0.52,0.395,0.3005,9
F,0.665,0.5,0.643,9
F,0.705,0.54,0.8265,9
F,0.705,0.55,0.6395,9
I,0.51,0.4,0.2615,9
M,0.58,0.445,0.49,9
I,0.56,0.425,0.3715,9
F,0.62,0.475,0.6865,9
M,0.525,0.405,0.3755,9
F,0.585,0.465,0.4035,9
F,0.595,0.455,0.452,9
M,0.455,0.35,0.1575,9
F,0.505,0.39,0.2475,9
M,0.575,0.455,0.4245,9
I,0.485,0.39,0.287,9
F,0.575,0.48,0.511,9
I,0.625,0.485,0.438,9
I,0.53,0.415,0.2525,9
F,0.575,0.43,0.3485,9
I,0.53,0.43,0.346,9
I,0.5,0.39,0.2115,9
F,0.57,0.46,0.397,9
F,0.7,0.525,0.8545,9
M,0.575,0.475,0.4955,9
F,0.435,0.35,0.197,9
I,0.56,0.445,0.3455,9
I,0.49,0.385,0.271,9
M,0.625,0.515,0.5725,9
F,0.58,0.425,0.3645,9
M,0.51,0.38,0.3435,9
F,0.53,0.405,0.2635,9
M,0.505,0.405,0.305,9
M,0.395,0.305,0.0975,9
I,0.47,0.345,0.229,9
F,0.515,0.39,0.1975,9
M,0.6,0.51,0.6095,9
M,0.65,0.51,0.7155,9
I,0.475,0.365,0.229,9
M,0.5,0.39,0.361,9
F,0.61,0.495,0.4525,9
M,0.44,0.335,0.157,9
M,0.575,0.445,0.549,9
F,0.55,0.415,0.318,9
F,0.585,0.46,0.365,9
I,0.485,0.355,0.21,9
M,0.58,0.45,0.486,9
I,0.55,0.465,0.481,9
M,0.575,0.48,0.4355,9
I,0.365,0.295,0.1075,9
I,0.5,0.38,0.28,9
M,0.345,0.27,0.0665,9
I,0.56,0.425,0.3095,9
M,0.645,0.51,0.605,9
I,0.53,0.4,0.1935,9
I,0.355,0.27,0.1425,9
M,0.59,0.475,0.4545,9
F,0.505,0.38,0.361,9
M,0.635,0.5,0.594,9
I,0.59,0.445,0.328,9
F,0.58,0.45,0.393,9
M,0.625,0.48,0.6575,9
F,0.465,0.35,0.1565,9
M,0.5,0.38,0.273,9
F,0.45,0.335,0.1865,9
F,0.6,0.485,0.3545,9
F,0.64,0.49,0.653,9
F,0.625,0.485,0.7335,9
I,0.465,0.375,0.222,9
I,0.435,0.32,0.1485,9
F,0.56,0.43,0.3465,9
F,0.57,0.45,0.4015,9
M,0.67,0.525,0.6595,9
M,0.625,0.455,0.4955,9
F,0.6,0.475,0.5885,9
M,0.31,0.225,0.0455,9
I,0.48,0.355,0.2385,9
I,0.515,0.395,0.2365,9
F,0.49,0.38,0.2395,9
M,0.365,0.285,0.0855,9
F,0.62,0.51,0.5415,9
F,0.56,0.445,0.3575,9
I,0.525,0.375,0.3045,9
F,0.485,0.365,0.27,9
M,0.585,0.465,0.4315,9
M,0.55,0.43,0.413,9
F,0.675,0.525,0.628,9
F,0.605,0.475,0.463,9
M,0.54,0.405,0.4815,9
M,0.625,0.47,0.605,9
F,0.53,0.42,0.2565,9
M,0.575,0.475,0.3665,9
M,0.475,0.355,0.186,9
M,0.635,0.5,0.4405,9
M,0.565,0.44,0.3595,9
I,0.53,0.425,0.419,9
I,0.49,0.39,0.2205,9
F,0.345,0.255,0.071,9
I,0.435,0.355,0.1535,9
I,0.545,0.43,0.2615,9
M,0.575,0.47,0.4505,9
M,0.59,0.485,0.4535,9
F,0.6,0.47,0.4995,9
F,0.56,0.41,0.342,9
M,0.66,0.535,0.6425,9
F,0.635,0.51,0.532,9
M,0.525,0.4,0.282,9
I,0.575,0.455,0.495,9
F,0.62,0.48,0.464,9
F,0.62,0.485,0.5105,9
I,0.575,0.44,0.4555,9
M,0.425,0.325,0.142,9
M,0.61,0.47,0.449,9
M,0.65,0.51,0.7215,9
M,0.555,0.445,0.4225,9
F,0.56,0.42,0.7755,9
F,0.455,0.355,0.177,9
I,0.47,0.36,0.198,9
M,0.565,0.43,0.3495,9
F,0.645,0.5,0.4675,9
F,0.64,0.5,0.565,9
M,0.555,0.455,0.382,9
I,0.44,0.34,0.2115,9
I,0.525,0.4,0.369,9
M,0.585,0.465,0.4555,9
I,0.5,0.375,0.215,9
I,0.475,0.375,0.182,9
M,0.565,0.45,0.415,9
M,0.4,0.305,0.096,9
F,0.55,0.44,0.33,9
M,0.605,0.455,0.421,9
F,0.58,0.435,0.475,9
M,0.65,0.505,0.7115,9
F,0.655,0.51,0.4795,9
I,0.52,0.41,0.2965,9
M,0.45,0.355,0.147,9
F,0.69,0.54,0.624,9
F,0.55,0.43,0.368,9
F,0.555,0.43,0.3525,9
F,0.595,0.46,0.4655,9
I,0.57,0.445,0.3705,9
F,0.525,0.42,0.2745,9
M,0.465,0.36,0.172,9
I,0.61,0.465,0.436,9
I,0.505,0.425,0.245,9
M,0.615,0.475,0.7315,9
F,0.615,0.47,0.5885,9
M,0.36,0.295,0.066,9
I,0.505,0.38,0.2645,9
M,0.61,0.485,0.597,9
I,0.46,0.35,0.1575,9
F,0.505,0.4,0.2675,9
M,0.595,0.465,0.4335,9
F,0.57,0.465,0.446,9
M,0.505,0.385,0.239,9
F,0.405,0.325,0.151,9
M,0.515,0.4,0.288,9
M,0.58,0.44,0.3365,9
F,0.55,0.47,0.377,9
F,0.635,0.485,0.668,9
I,0.42,0.305,0.094,9
M,0.525,0.42,0.428,9
F,0.575,0.475,0.3605,9
I,0.485,0.37,0.1885,9
M,0.61,0.365,0.488,9
F,0.53,0.43,0.325,9
M,0.58,0.46,0.513,9
I,0.575,0.445,0.3475,9
M,0.615,0.48,0.446,9
M,0.595,0.48,0.4095,9
I,0.475,0.355,0.2155,9
M,0.625,0.47,0.556,9
M,0.355,0.29,0.134,9
M,0.63,0.455,0.481,9
I,0.55,0.42,0.495,9
I,0.525,0.4,0.248,9
F,0.55,0.405,0.2965,9
M,0.565,0.445,0.4345,9
I,0.44,0.32,0.1755,9
M,0.61,0.47,0.497,9
M,0.57,0.455,0.3895,9
I,0.515,0.36,0.1815,9
M,0.595,0.47,0.4915,9
I,0.445,0.36,0.182,9
F,0.57,0.43,0.3875,9
M,0.35,0.26,0.0745,9
F,0.59,0.44,0.4775,9
M,0.59,0.5,0.485,9
F,0.635,0.495,0.5115,9
F,0.64,0.475,0.4865,9
F,0.635,0.5,0.705,9
M,0.6,0.475,0.502,9
I,0.54,0.42,0.3205,9
M,0.66,0.515,0.7345,9
F,0.615,0.475,0.543,9
M,0.645,0.51,0.6665,9
M,0.62,0.5,0.6355,9
F,0.625,0.485,0.591,9
I,0.35,0.265,0.066,9
M,0.575,0.45,0.354,9
M,0.645,0.48,0.6055,9
M,0.595,0.46,0.4215,9
F,0.37,0.285,0.1125,9
F,0.575,0.465,0.442,9
M,0.55,0.41,0.4455,9
M,0.62,0.49,0.4605,9
F,0.56,0.435,0.4755,9
F,0.49,0.385,0.2455,9
M,0.645,0.485,0.5695,9
I,0.385,0.29,0.111,9
I,0.62,0.47,0.3595,9
M,0.62,0.46,0.4915,9
M,0.585,0.46,0.478,9
I,0.475,0.35,0.1905,9
I,0.51,0.375,0.3845,10
M,0.695,0.53,0.664,10
I,0.395,0.295,0.134,10
I,0.47,0.375,0.1665,10
F,0.515,0.415,0.3115,10
M,0.67,0.54,0.739,10
M,0.525,0.405,0.3305,10
I,0.52,0.41,0.3395,10
F,0.655,0.51,0.5885,10
F,0.675,0.57,0.739,10
I,0.725,0.55,0.7735,10
M,0.645,0.5,0.554,10
M,0.66,0.515,0.694,10
F,0.65,0.51,0.531,10
I,0.49,0.365,0.252,10
M,0.57,0.435,0.382,10
F,0.66,0.53,0.622,10
M,0.595,0.46,0.57,10
F,0.455,0.36,0.206,10
F,0.635,0.505,0.505,10
F,0.62,0.51,0.592,10
I,0.355,0.27,0.083,10
M,0.56,0.44,0.3305,10
F,0.51,0.4,0.459,10
M,0.61,0.475,0.435,10
F,0.595,0.44,0.5005,10
M,0.54,0.425,0.2945,10
F,0.655,0.505,0.5835,10
F,0.575,0.47,0.509,10
F,0.615,0.455,0.5045,10
M,0.7,0.565,0.8445,10
F,0.6,0.455,0.419,10
F,0.565,0.455,0.439,10
I,0.56,0.44,0.402,10
F,0.66,0.525,0.7765,10
I,0.58,0.46,0.4135,10
I,0.415,0.325,0.1535,10
M,0.35,0.255,0.0705,10
I,0.575,0.45,0.3615,10
F,0.63,0.5,0.467,10
F,0.65,0.545,0.59,10
I,0.485,0.37,0.181,10
F,0.63,0.475,0.452,10
F,0.64,0.5,0.4935,10
M,0.625,0.48,0.4645,10
F,0.62,0.5,0.596,10
F,0.625,0.49,0.6675,10
F,0.47,0.36,0.182,10
I,0.55,0.435,0.295,10
M,0.58,0.43,0.365,10
M,0.585,0.49,0.522,10
M,0.69,0.53,0.678,10
M,0.58,0.46,0.6715,10
I,0.405,0.305,0.1565,10
M,0.4,0.305,0.108,10
M,0.53,0.43,0.28,10
I,0.55,0.445,0.378,10
F,0.545,0.415,0.272,10
F,0.73,0.57,1.0685,10
M,0.67,0.5,0.616,10
F,0.655,0.51,0.8515,10
F,0.705,0.56,0.9915,10
M,0.61,0.48,0.6895,10
I,0.515,0.42,0.2555,10
F,0.64,0.515,0.4945,10
M,0.64,0.515,0.632,10
M,0.55,0.405,0.244,10
M,0.655,0.545,0.6325,10
M,0.635,0.525,0.684,10
F,0.535,0.405,0.2725,10
M,0.46,0.35,0.224,10
F,0.66,0.495,0.724,10
I,0.475,0.365,0.2505,10
M,0.475,0.375,0.2075,10
M,0.67,0.51,0.651,10
F,0.67,0.505,0.4375,10
I,0.605,0.48,0.425,10
M,0.6,0.46,0.423,10
I,0.55,0.435,0.3285,10
M,0.615,0.495,0.564,10
F,0.635,0.515,0.5065,10
M,0.625,0.505,0.52,10
F,0.55,0.47,0.381,10
F,0.605,0.48,0.4505,10
F,0.35,0.275,0.0745,10
F,0.495,0.385,0.3125,10
M,0.66,0.53,0.7395,10
M,0.595,0.455,0.4315,10
F,0.59,0.465,0.4635,10
M,0.635,0.51,0.405,10
F,0.72,0.55,0.637,10
I,0.41,0.3,0.097,10
F,0.48,0.405,0.277,10
I,0.575,0.45,0.449,10
F,0.55,0.45,0.295,10
F,0.575,0.42,0.461,10
M,0.64,0.515,0.5475,10
M,0.685,0.51,0.686,10
M,0.56,0.44,0.2425,10
F,0.575,0.45,0.556,10
M,0.66,0.52,0.755,10
F,0.575,0.46,0.4815,10
M,0.57,0.435,0.3925,10
I,0.435,0.34,0.1685,10
F,0.615,0.5,0.6,10
F,0.615,0.475,0.4475,10
F,0.595,0.475,0.444,10
I,0.52,0.385,0.2555,10
M,0.535,0.42,0.33,10
M,0.44,0.34,0.1305,10
M,0.735,0.57,1.1705,10
M,0.635,0.48,0.665,10
I,0.55,0.425,0.412,10
M,0.555,0.46,0.3345,10
I,0.54,0.415,0.322,10
F,0.73,0.555,0.6555,10
I,0.5,0.385,0.2605,10
F,0.655,0.525,0.5855,10
M,0.53,0.405,0.352,10
M,0.62,0.51,0.5715,10
M,0.615,0.47,0.473,10
M,0.61,0.45,0.517,10
F,0.565,0.445,0.341,10
M,0.705,0.565,1.1075,10
F,0.59,0.455,0.391,10
I,0.605,0.49,0.482,10
I,0.565,0.46,0.3755,10
M,0.715,0.535,0.889,10
F,0.52,0.41,0.2845,10
M,0.675,0.515,0.6025,10
F,0.67,0.55,0.858,10
M,0.56,0.425,0.3265,10
M,0.62,0.48,0.4965,10
F,0.625,0.495,0.507,10
F,0.63,0.49,0.6805,10
M,0.6,0.47,0.5625,10
I,0.455,0.36,0.2085,10
I,0.57,0.425,0.331,10
M,0.495,0.38,0.197,10
F,0.645,0.525,0.6135,10
F,0.605,0.465,0.547,10
I,0.55,0.415,0.3535,10
M,0.6,0.465,0.6245,10
F,0.6,0.475,0.653,10
M,0.755,0.58,0.8295,10
M,0.595,0.47,0.492,10
M,0.615,0.5,0.4845,10
M,0.685,0.55,0.89,10
I,0.575,0.45,0.45,10
M,0.57,0.435,0.349,10
F,0.545,0.42,0.256,10
I,0.55,0.425,0.257,10
F,0.635,0.495,0.5205,10
M,0.515,0.405,0.32,10
I,0.57,0.44,0.347,10
I,0.56,0.425,0.4005,10
M,0.59,0.475,0.4625,10
F,0.66,0.53,0.7765,10
M,0.715,0.525,0.95,10
M,0.59,0.49,0.559,10
M,0.625,0.48,0.671,10
F,0.6,0.48,0.4535,10
M,0.615,0.505,0.4895,10
I,0.52,0.425,0.28,10
I,0.58,0.46,0.3915,10
M,0.515,0.435,0.292,10
M,0.62,0.525,0.454,10
M,0.64,0.51,0.567,10
F,0.635,0.5,0.6495,10
F,0.7,0.525,0.707,10
F,0.665,0.51,0.675,10
M,0.72,0.57,0.919,10
M,0.29,0.225,0.0535,10
M,0.53,0.415,0.3105,10
M,0.65,0.525,0.6645,10
F,0.72,0.55,0.9035,10
M,0.595,0.49,0.482,10
F,0.56,0.445,0.5565,10
F,0.71,0.54,0.802,10
M,0.625,0.49,0.5175,10
F,0.6,0.47,0.363,10
I,0.545,0.43,0.302,10
I,0.57,0.43,0.354,10
M,0.615,0.475,0.4635,10
F,0.455,0.35,0.1965,10
M,0.575,0.445,0.325,10
M,0.445,0.345,0.143,10
M,0.555,0.405,0.6115,10
F,0.415,0.305,0.12,10
F,0.625,0.48,0.6235,10
I,0.61,0.475,0.4145,10
M,0.5,0.375,0.2535,10
M,0.615,0.455,0.382,10
M,0.52,0.395,0.2565,10
M,0.515,0.385,0.2855,10
M,0.51,0.4,0.259,10
F,0.58,0.425,0.3615,10
I,0.55,0.43,0.3025,10
I,0.585,0.46,0.339,10
M,0.375,0.28,0.0875,10
F,0.63,0.49,0.4625,10
F,0.705,0.53,0.612,10
I,0.525,0.4,0.2405,10
I,0.575,0.45,0.403,10
F,0.4,0.335,0.2105,10
M,0.58,0.44,0.518,10
I,0.36,0.275,0.095,10
M,0.565,0.43,0.4245,10
M,0.58,0.455,0.405,10
F,0.575,0.48,0.506,10
M,0.45,0.35,0.1465,10
F,0.58,0.475,0.4305,10
F,0.49,0.365,0.1995,10
M,0.465,0.36,0.2105,10
F,0.49,0.38,0.245,10
M,0.475,0.37,0.266,10
M,0.47,0.365,0.2395,10
M,0.585,0.48,0.434,10
M,0.49,0.38,0.245,10
I,0.545,0.425,0.305,10
M,0.58,0.46,0.5205,10
F,0.715,0.585,0.8655,10
M,0.535,0.44,0.279,10
M,0.45,0.355,0.18,10
I,0.415,0.31,0.123,10
M,0.465,0.36,0.188,10
F,0.695,0.55,0.767,10
F,0.38,0.325,0.12,10
M,0.56,0.44,0.5035,10
I,0.535,0.45,0.3655,10
F,0.565,0.45,0.5305,10
F,0.605,0.475,0.609,10
M,0.485,0.36,0.2595,10
F,0.615,0.475,0.484,10
F,0.65,0.52,0.5985,10
F,0.68,0.52,0.5985,10
F,0.615,0.52,0.629,10
F,0.595,0.48,0.498,10
I,0.585,0.475,0.48,10
M,0.615,0.455,0.49,10
M,0.53,0.425,0.2995,10
M,0.545,0.425,0.373,10
M,0.55,0.44,0.368,10
M,0.64,0.525,0.4865,10
F,0.47,0.355,0.1675,10
M,0.55,0.46,0.3155,10
M,0.575,0.46,0.4415,10
M,0.67,0.525,0.8005,10
M,0.625,0.495,0.4715,10
F,0.345,0.26,0.0775,10
F,0.665,0.53,0.6345,10
F,0.645,0.5,0.5475,10
F,0.665,0.515,0.5945,10
M,0.37,0.285,0.0675,10
I,0.47,0.37,0.2095,10
F,0.675,0.51,0.6045,10
I,0.65,0.52,0.5495,10
M,0.605,0.47,0.479,10
F,0.565,0.46,0.3455,10
F,0.625,0.47,0.525,10
M,0.655,0.505,0.6035,10
I,0.425,0.38,0.1285,10
M,0.58,0.43,0.446,10
M,0.615,0.47,0.4465,10
I,0.35,0.26,0.0705,10
F,0.655,0.52,0.6,10
M,0.59,0.465,0.5165,10
M,0.6,0.475,0.508,10
F,0.4,0.31,0.1475,10
I,0.47,0.375,0.167,10
I,0.52,0.4,0.233,10
M,0.645,0.53,0.6465,10
M,0.565,0.45,0.4735,10
F,0.485,0.375,0.1925,10
M,0.59,0.455,0.388,10
M,0.595,0.48,0.526,10
M,0.63,0.525,0.4935,10
M,0.585,0.455,0.3945,10
F,0.55,0.38,0.543,10
M,0.63,0.5,0.5635,10
M,0.575,0.435,0.432,10
F,0.535,0.415,0.295,10
M,0.445,0.355,0.1805,10
F,0.6,0.48,0.4495,10
F,0.545,0.435,0.2905,10
M,0.535,0.43,0.3285,10
F,0.625,0.485,0.531,10
F,0.505,0.375,0.2635,10
M,0.65,0.485,0.5715,10
M,0.645,0.5,0.6165,10
F,0.595,0.46,0.4565,10
F,0.625,0.475,0.4755,10
F,0.455,0.35,0.221,10
M,0.345,0.255,0.06,10
M,0.65,0.515,0.677,10
M,0.7,0.6,0.8105,10
F,0.62,0.475,0.463,10
I,0.54,0.42,0.3125,10
M,0.37,0.29,0.11,10
F,0.645,0.515,0.515,10
M,0.4,0.315,0.1135,10
F,0.69,0.58,0.708,10
I,0.475,0.365,0.232,10
F,0.58,0.46,0.3515,10
F,0.59,0.455,0.465,10
M,0.585,0.475,0.5315,10
F,0.535,0.435,0.3155,10
F,0.675,0.53,0.6775,10
M,0.63,0.485,0.623,10
F,0.47,0.36,0.2105,10
F,0.665,0.5,0.4625,10
M,0.645,0.505,0.592,10
F,0.545,0.415,0.567,10
M,0.575,0.435,0.368,10
M,0.61,0.48,0.4565,10
F,0.615,0.485,0.5005,10
F,0.61,0.46,0.478,10
F,0.515,0.395,0.1905,10
M,0.585,0.465,0.4025,10
F,0.545,0.44,0.429,10
I,0.58,0.44,0.3525,10
M,0.635,0.475,0.5205,10
F,0.555,0.44,0.346,10
I,0.595,0.47,0.434,10
M,0.46,0.38,0.207,10
M,0.53,0.435,0.288,10
M,0.615,0.475,0.4795,10
M,0.61,0.46,0.494,10
M,0.64,0.505,0.705,10
M,0.63,0.5,0.5785,10
F,0.65,0.51,0.7245,10
M,0.45,0.335,0.119,10
M,0.58,0.45,0.3465,10
F,0.395,0.295,0.078,10
F,0.64,0.48,0.508,10
F,0.52,0.415,0.3325,10
I,0.575,0.425,0.364,10
M,0.58,0.46,0.469,10
F,0.61,0.495,0.53,10
M,0.515,0.38,0.2875,10
M,0.62,0.475,0.5935,10
F,0.67,0.585,0.5445,10
M,0.51,0.39,0.262,10
M,0.33,0.235,0.0615,10
I,0.59,0.45,0.428,10
M,0.625,0.5,0.4615,10
M,0.63,0.51,0.6575,10
I,0.63,0.475,0.5165,10
F,0.42,0.32,0.1645,10
M,0.43,0.35,0.1675,10
M,0.68,0.54,0.671,10
F,0.65,0.51,0.575,10
M,0.695,0.56,0.885,10
F,0.53,0.385,0.289,10
M,0.605,0.49,0.419,10
F,0.645,0.52,0.667,10
I,0.585,0.47,0.3695,10
M,0.64,0.515,0.515,10
F,0.695,0.535,0.5465,10
F,0.585,0.435,0.4055,10
M,0.54,0.415,0.339,10
F,0.705,0.57,0.747,10
M,0.7,0.525,0.8745,10
F,0.645,0.515,0.7035,10
F,0.6,0.47,0.492,10
M,0.66,0.495,0.594,10
F,0.645,0.51,0.573,10
M,0.485,0.37,0.204,10
I,0.57,0.45,0.2825,10
M,0.665,0.525,0.5325,10
F,0.645,0.5,0.6145,10
F,0.67,0.525,0.573,10
M,0.635,0.485,0.4785,10
F,0.605,0.485,0.37,10
M,0.57,0.45,0.4005,10
M,0.645,0.505,0.4335,10
F,0.52,0.425,0.385,10
F,0.415,0.34,0.146,10
F,0.66,0.535,0.5925,10
I,0.68,0.53,0.439,10
M,0.645,0.51,0.5885,10
M,0.615,0.46,0.4815,10
M,0.715,0.565,0.7645,10
M,0.51,0.4,0.2455,10
M,0.685,0.52,0.699,10
F,0.615,0.48,0.513,10
F,0.385,0.315,0.1225,10
F,0.625,0.475,0.605,10
F,0.65,0.535,0.6095,10
F,0.645,0.535,0.468,10
F,0.65,0.505,0.5105,10
M,0.655,0.49,0.6395,10
M,0.595,0.45,0.3965,10
M,0.34,0.265,0.077,10
F,0.645,0.51,0.5015,10
F,0.62,0.48,0.4835,10
F,0.49,0.38,0.249,10
M,0.61,0.475,0.4565,10
F,0.575,0.45,0.362,10
I,0.515,0.35,0.213,10
M,0.63,0.495,0.495,10
M,0.585,0.46,0.581,10
I,0.515,0.415,0.285,10
I,0.6,0.475,0.565,10
M,0.625,0.48,0.4865,10
F,0.475,0.375,0.237,10
M,0.625,0.49,0.456,10
M,0.62,0.48,0.481,10
M,0.525,0.365,0.438,10
M,0.55,0.43,0.4405,10
I,0.525,0.405,0.2985,10
F,0.635,0.475,0.533,10
F,0.595,0.465,0.3425,10
I,0.37,0.29,0.1025,10
F,0.635,0.5,0.539,10
M,0.585,0.46,0.3635,10
M,0.67,0.51,0.6705,10
F,0.385,0.305,0.146,10
F,0.58,0.43,0.6535,10
F,0.615,0.46,0.4935,10
F,0.62,0.48,0.535,10
M,0.66,0.53,0.6505,10
M,0.62,0.485,0.462,10
M,0.74,0.57,0.9115,10
M,0.72,0.55,1.1055,10
M,0.625,0.48,0.565,10
F,0.6,0.45,0.37,10
M,0.655,0.55,0.586,10
F,0.36,0.265,0.096,10
M,0.595,0.475,0.4925,10
I,0.53,0.42,0.4725,10
M,0.57,0.45,0.5625,10
F,0.545,0.41,0.2945,10
M,0.615,0.48,0.4985,10
F,0.685,0.53,0.7385,10
I,0.515,0.375,0.2495,10
F,0.705,0.535,0.929,10
F,0.47,0.375,0.252,10
M,0.36,0.295,0.0895,10
F,0.6,0.5,0.5095,10
F,0.46,0.33,0.2085,10
F,0.555,0.44,0.4935,10
M,0.64,0.495,0.5395,10
M,0.485,0.4,0.313,10
M,0.475,0.375,0.2525,10
M,0.535,0.42,0.348,10
M,0.6,0.45,0.539,10
M,0.625,0.5,0.5995,10
M,0.66,0.505,0.589,10
M,0.595,0.465,0.3245,10
M,0.57,0.445,0.516,10
M,0.61,0.49,0.465,10
F,0.51,0.4,0.347,10
M,0.575,0.47,0.3745,10
F,0.41,0.315,0.1255,10
M,0.66,0.525,0.6065,10
M,0.625,0.5,0.5445,10
F,0.6,0.48,0.4575,10
M,0.62,0.465,0.375,10
M,0.705,0.56,0.797,10
M,0.67,0.52,0.6275,10
M,0.58,0.455,0.4985,10
M,0.465,0.405,0.436,10
M,0.68,0.52,0.592,10
M,0.585,0.47,0.8,10
I,0.465,0.325,0.362,10
M,0.645,0.505,0.519,10
F,0.63,0.495,0.536,10
F,0.58,0.435,0.425,10
M,0.69,0.505,0.893,10
M,0.54,0.455,0.419,10
F,0.71,0.5,0.6835,10
F,0.375,0.29,0.093,10
M,0.715,0.545,0.871,10
M,0.415,0.325,0.1535,10
M,0.7,0.545,0.8825,10
M,0.47,0.37,0.2025,10
F,0.585,0.45,0.4995,10
I,0.55,0.405,0.3015,10
M,0.57,0.45,0.513,10
F,0.61,0.475,0.3835,10
M,0.57,0.44,0.3605,10
I,0.4,0.31,0.1145,10
I,0.54,0.405,0.307,10
M,0.625,0.475,0.656,10
M,0.44,0.365,0.2155,10
F,0.62,0.485,0.545,10
M,0.635,0.495,0.657,10
M,0.625,0.52,0.691,10
F,0.65,0.545,0.6565,10
M,0.33,0.25,0.085,10
M,0.6,0.465,0.512,10
M,0.505,0.385,0.21,10
M,0.46,0.34,0.1655,10
I,0.54,0.415,0.2755,10
F,0.585,0.445,0.4305,10
M,0.61,0.475,0.554,10
M,0.685,0.535,0.6615,10
F,0.57,0.47,0.385,10
M,0.575,0.445,0.3795,10
F,0.72,0.575,1.0745,10
F,0.49,0.37,0.243,10
F,0.695,0.535,0.8035,10
M,0.605,0.475,0.575,10
I,0.575,0.435,0.3155,10
M,0.6,0.475,0.386,10
M,0.61,0.47,0.5315,10
F,0.57,0.465,0.3145,10
I,0.595,0.475,0.4865,10
I,0.62,0.45,0.358,10
F,0.475,0.39,0.2135,10
I,0.575,0.45,0.364,10
F,0.58,0.5,0.37,10
F,0.625,0.485,0.5075,10
F,0.625,0.485,0.6765,10
F,0.44,0.34,0.188,10
F,0.63,0.48,0.5505,10
M,0.65,0.495,0.55,10
M,0.425,0.34,0.149,10
M,0.625,0.49,0.5705,10
F,0.585,0.465,0.4325,10
F,0.5,0.4,0.2395,10
M,0.77,0.6,1.0515,10
M,0.625,0.475,0.5005,10
F,0.475,0.375,0.2775,10
F,0.695,0.55,0.805,10
F,0.455,0.375,0.1985,10
M,0.58,0.47,0.3935,10
F,0.525,0.43,0.289,10
F,0.595,0.465,0.4115,10
M,0.55,0.43,0.3155,10
M,0.64,0.485,0.5195,10
F,0.38,0.29,0.099,10
F,0.66,0.515,0.615,10
F,0.52,0.41,0.2945,10
I,0.59,0.475,0.4675,10
I,0.555,0.43,0.3135,10
F,0.635,0.49,0.5805,10
M,0.54,0.42,0.293,10
M,0.605,0.48,0.582,10
F,0.5,0.4,0.261,10
F,0.62,0.48,0.5325,10
M,0.695,0.55,1.133,10
I,0.54,0.425,0.2955,10
F,0.655,0.505,0.6205,10
F,0.55,0.45,0.362,10
M,0.585,0.46,0.5825,10
F,0.56,0.45,0.429,10
M,0.55,0.45,0.407,10
M,0.6,0.49,1.005,10
F,0.44,0.34,0.153,10
M,0.345,0.265,0.0615,10
F,0.61,0.465,0.4835,10
F,0.63,0.485,0.548,10
F,0.62,0.475,0.4355,10
M,0.605,0.475,0.59,10
F,0.605,0.49,0.4305,10
F,0.54,0.385,0.3265,10
I,0.55,0.425,0.4325,10
M,0.555,0.45,0.3275,10
F,0.6,0.475,0.4905,10
F,0.645,0.48,0.528,10
M,0.485,0.355,0.215,10
I,0.53,0.43,0.245,10
M,0.6,0.45,0.617,10
M,0.685,0.505,0.667,10
M,0.63,0.485,0.6565,10
F,0.695,0.56,0.8195,10
I,0.535,0.4,0.3065,10
F,0.575,0.42,0.914,10
I,0.455,0.325,0.4005,8
I,0.545,0.405,0.327,8
I,0.475,0.365,0.268,8
I,0.47,0.355,0.167,8
I,0.485,0.38,0.2215,8
I,0.575,0.43,0.2895,8
I,0.35,0.255,0.0855,8
I,0.55,0.42,0.294,8
I,0.485,0.375,0.2505,8
I,0.545,0.435,0.372,8
I,0.495,0.355,0.214,8
I,0.47,0.385,0.264,8
I,0.485,0.37,0.2425,8
F,0.545,0.44,0.366,8
I,0.55,0.45,0.3445,8
I,0.49,0.4,0.3035,8
I,0.42,0.32,0.2055,8
M,0.59,0.465,0.4235,8
I,0.395,0.305,0.1135,8
F,0.46,0.425,0.3005,8
I,0.335,0.26,0.0785,8
M,0.37,0.28,0.0815,8
M,0.48,0.355,0.221,8
M,0.53,0.4,0.398,8
M,0.59,0.44,0.387,8
M,0.52,0.4,0.254,8
I,0.51,0.4,0.239,8
I,0.435,0.325,0.136,8
I,0.455,0.375,0.233,8
F,0.43,0.34,0.154,8
I,0.5,0.395,0.332,8
I,0.485,0.365,0.1895,8
I,0.46,0.355,0.1975,8
M,0.46,0.345,0.2435,8
I,0.56,0.44,0.349,8
I,0.315,0.245,0.053,8
M,0.485,0.39,0.251,8
I,0.385,0.28,0.1305,8
