@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.475,1.027,0.447,9
I,0.4,0.555,0.1935,9
I,0.41,0.6075,0.268,9
F,0.255,0.197,0.071,9
I,0.445,0.7095,0.303,9
I,0.39,0.664,0.3115,9
F,0.485,1.201,0.417,9
I,0.37,0.433,0.201,9
F,0.45,0.9625,0.4375,9
M,0.475,1.114,0.4955,9
I,0.43,0.687,0.2615,9
F,0.45,0.93,0.385,9
I,0.385,0.591,0.271,9
M,0.52,1.2655,0.615,9
F,0.45,0.92,0.393,9
M,0.565,1.751,0.895,9
F,0.44,0.983,0.4475,9
M,0.435,0.9685,0.4985,9
M,0.37,0.968,0.419,9
I,0.42,0.743,0.31,9
F,0.4,0.729,0.2675,9
F,0.435,0.745,0.347,9
M,0.435,0.9765,0.4525,9
F,0.52,1.494,0.7365,9
I,0.4,0.5925,0.265,9
F,0.41,0.7555,0.3355,9
F,0.34,0.482,0.186,9
F,0.38,0.578,0.2395,9
F,0.35,0.4035,0.175,9
M,0.27,0.195,0.078,9
I,0.37,0.457,0.1885,9
M,0.29,0.283,0.1175,9
M,0.375,0.976,0.45,9
F,0.39,0.674,0.3165,9
I,0.395,0.5805,0.2445,9
M,0.48,0.9165,0.4135,9
F,0.46,0.927,0.333,9
M,0.47,1.041,0.54,9
M,0.45,0.895,0.415,9
I,0.395,0.575,0.247,9
I,0.39,0.591,0.287,9
M,0.29,0.3275,0.134,9
F,0.335,0.425,0.1865,9
M,0.47,1.1185,0.5225,9
F,0.525,1.711,0.8365,9
M,0.435,0.8455,0.401,9
F,0.42,0.677,0.2565,9
M,0.48,0.9125,0.4095,9
M,0.49,1.1285,0.477,9
M,0.495,1.254,0.5815,9
M,0.475,1.0375,0.476,9
F,0.43,0.741,0.325,9
M,0.47,0.9785,0.4505,9
M,0.225,0.1295,0.0455,9
M,0.515,1.1845,0.506,9
F,0.41,0.8215,0.342,9
F,0.33,0.4525,0.18,9
I,0.425,0.688,0.3095,9
M,0.47,0.9235,0.4545,9
M,0.4,0.707,0.282,9
F,0.49,1.2615,0.5385,9
I,0.35,0.4725,0.215,9
M,0.29,0.2795,0.1115,9
I,0.455,0.974,0.547,9
M,0.39,0.7815,0.361,9
F,0.465,0.9355,0.4035,9
F,0.55,2.073,1.0715,9
I,0.4,0.636,0.3055,9
M,0.43,0.8995,0.464,9
F,0.47,1.0805,0.4995,9
I,0.375,0.456,0.182,9
M,0.4,0.6335,0.288,9
I,0.355,0.4865,0.2155,9
M,0.49,1.195,0.4605,9
M,0.375,0.5735,0.2505,9
M,0.405,0.7175,0.3725,9
F,0.535,1.5845,0.7175,9
F,0.465,0.9685,0.446,9
M,0.49,1.2525,0.63,9
I,0.425,0.781,0.3905,9
F,0.445,0.941,0.3845,9
F,0.495,1.0805,0.52,9
I,0.355,0.4325,0.2005,9
F,0.515,1.5335,0.6635,9
F,0.515,1.1215,0.545,9
M,0.455,0.97,0.462,9
F,0.47,0.974,0.393,9
M,0.285,0.2205,0.0855,9
I,0.355,0.5085,0.21,9
M,0.49,1.1955,0.5845,9
M,0.46,1.0375,0.5415,9
I,0.355,0.452,0.2165,9
I,0.375,0.5795,0.239,9
F,0.39,0.644,0.2475,9
F,0.5,1.2645,0.565,9
M,0.525,1.4005,0.715,9
I,0.4,0.6095,0.248,9
M,0.305,0.2775,0.109,9
I,0.41,0.6615,0.2585,9
I,0.28,0.199,0.0695,9
M,0.51,1.3555,0.619,9
I,0.36,0.4235,0.182,9
F,0.325,0.455,0.1785,9
I,0.42,0.6275,0.2505,9
M,0.405,0.625,0.305,9
M,0.47,1.0325,0.497,9
M,0.435,0.725,0.269,9
M,0.425,0.7905,0.307,9
M,0.5,1.3195,0.667,9
I,0.465,0.9605,0.4495,9
F,0.455,0.9775,0.468,9
M,0.51,1.296,0.545,9
M,0.45,1.02,0.546,9
M,0.445,0.8625,0.4225,9
I,0.405,0.6615,0.2945,9
F,0.475,1.3245,0.6865,9
M,0.44,0.8705,0.407,9
F,0.54,1.757,0.8265,9
F,0.44,0.863,0.435,9
M,0.38,0.577,0.269,9
F,0.475,1.4405,0.5885,9
F,0.5,1.438,0.5185,9
F,0.4,0.569,0.256,9
I,0.38,0.5605,0.28,9
M,0.47,1.022,0.449,9
I,0.445,0.9205,0.445,9
F,0.41,0.7405,0.3565,9
F,0.455,0.967,0.4525,9
M,0.475,1.176,0.5255,9
M,0.3,0.24,0.0885,9
I,0.435,0.848,0.4,9
M,0.52,1.6385,0.8115,9
M,0.42,0.842,0.428,9
F,0.425,0.8355,0.3545,9
M,0.41,0.642,0.289,9
M,0.325,0.3755,0.142,9
M,0.425,0.793,0.343,9
M,0.51,1.542,0.7155,9
M,0.465,0.9145,0.4555,9
F,0.49,1.36,0.653,9
F,0.36,0.4715,0.2035,9
F,0.46,1.103,0.538,9
I,0.37,0.4365,0.188,9
M,0.365,0.5945,0.309,9
M,0.465,1.08,0.595,9
F,0.395,0.5685,0.249,9
I,0.375,0.542,0.215,9
F,0.475,1.055,0.543,9
M,0.51,1.4545,0.6315,9
F,0.335,0.38,0.1695,9
M,0.45,0.795,0.3385,9
I,0.305,0.28,0.094,9
F,0.54,1.46,0.6435,9
I,0.425,0.6115,0.245,9
M,0.475,0.857,0.3665,9
F,0.495,1.211,0.707,9
F,0.49,1.115,0.484,9
F,0.505,1.4045,0.6255,9
M,0.36,0.431,0.172,9
M,0.385,0.6595,0.2485,9
M,0.455,0.7225,0.295,9
I,0.415,0.596,0.2805,9
F,0.495,1.3105,0.577,9
M,0.505,1.469,0.7115,9
F,0.44,0.803,0.382,9
M,0.475,1.4335,0.7315,9
M,0.305,0.282,0.0975,9
F,0.39,0.5755,0.1975,9
F,0.5,1.3825,0.702,9
M,0.445,0.836,0.406,9
M,0.47,1.059,0.504,9
M,0.35,0.393,0.13,9
F,0.475,1.13,0.575,9
I,0.415,0.5745,0.2525,9
M,0.405,0.7555,0.3755,9
M,0.45,0.998,0.445,9
F,0.475,1.0265,0.485,9
F,0.46,0.9795,0.397,9
F,0.505,1.2635,0.512,9
M,0.445,0.814,0.3775,9
I,0.395,0.5805,0.2365,9
M,0.3,0.417,0.191,9
F,0.405,0.913,0.4585,9
M,0.31,0.6485,0.2735,9
M,0.425,0.9415,0.509,9
F,0.49,1.136,0.5265,9
I,0.45,0.86,0.437,9
M,0.48,1.192,0.6055,9
F,0.55,1.659,0.8715,9
I,0.42,0.6735,0.2895,9
I,0.415,0.709,0.3195,9
M,0.29,0.276,0.1175,9
M,0.3,0.3055,0.143,9
F,0.46,1.058,0.486,9
M,0.455,1.082,0.4955,9
F,0.46,1.494,0.6895,9
F,0.44,1.018,0.447,9
F,0.39,0.5565,0.2215,9
F,0.47,0.869,0.435,9
M,0.42,0.6765,0.302,9
I,0.44,0.8515,0.4555,9
F,0.485,1.3205,0.5945,9
I,0.425,0.742,0.32,9
M,0.55,1.51,0.8735,9
F,0.425,0.797,0.297,9
F,0.445,0.995,0.504,9
M,0.51,1.407,0.7215,9
F,0.385,1.1185,0.5425,9
M,0.285,0.253,0.096,9
F,0.44,0.83,0.393,9
M,0.335,0.4085,0.1755,9
M,0.435,0.806,0.3415,9
F,0.4,0.6995,0.3115,9
I,0.45,0.728,0.2845,9
F,0.465,0.958,0.442,9
M,0.335,0.394,0.157,9
M,0.505,1.0915,0.4615,9
F,0.5,1.464,0.6415,9
I,0.455,0.9895,0.495,9
M,0.375,0.5105,0.192,9
F,0.48,1.0405,0.464,9
F,0.43,0.8435,0.4325,9
F,0.465,0.923,0.4615,9
F,0.41,0.6765,0.29,9
M,0.52,1.368,0.6185,9
F,0.43,0.7545,0.3525,9
I,0.355,0.494,0.2385,9
M,0.47,1.179,0.605,9
I,0.37,0.4075,0.1515,9
M,0.395,0.674,0.3325,9
F,0.4,0.578,0.191,9
F,0.5,1.288,0.573,9
I,0.395,0.663,0.3005,9
M,0.45,0.9215,0.354,9
I,0.37,0.474,0.179,9
M,0.455,0.93,0.408,9
M,0.45,0.886,0.3605,9
F,0.425,0.9455,0.3675,9
F,0.44,0.7835,0.313,9
F,0.435,0.953,0.475,9
M,0.46,1.0165,0.491,9
I,0.43,0.7665,0.341,9
M,0.455,0.952,0.3895,9
F,0.435,0.8715,0.4755,9
M,0.44,0.802,0.3595,9
M,0.48,1.2415,0.6575,9
M,0.34,0.3715,0.1605,9
F,0.465,1.151,0.613,9
F,0.455,0.914,0.3895,9
F,0.53,1.5535,0.7945,9
M,0.49,1.167,0.457,9
F,0.51,1.043,0.4795,9
M,0.33,0.4405,0.152,9
M,0.45,0.9615,0.486,9
M,0.255,0.2005,0.094,9
F,0.51,1.2415,0.5815,9
F,0.37,1.183,0.508,9
M,0.495,1.2935,0.5805,9
F,0.47,0.9205,0.381,10
I,0.4,0.5825,0.233,10
M,0.505,1.167,0.4895,10
M,0.37,0.655,0.266,10
I,0.375,0.8415,0.3845,10
M,0.325,0.417,0.1535,10
F,0.355,0.4755,0.1675,10
F,0.51,1.129,0.5015,10
M,0.435,1.0105,0.368,10
M,0.475,0.977,0.4625,10
I,0.425,0.7655,0.331,10
M,0.495,1.3635,0.583,10
M,0.475,1.3585,0.5935,10
I,0.35,0.4745,0.213,10
F,0.41,0.6985,0.2945,10
M,0.52,1.4755,0.6275,10
M,0.485,1.7395,0.5715,10
I,0.375,0.468,0.1665,10
I,0.49,1.1,0.488,10
F,0.465,0.8935,0.3145,10
F,0.44,0.9185,0.429,10
I,0.415,0.7125,0.285,10
F,0.475,1.0005,0.452,10
F,0.32,0.4135,0.1645,10
M,0.305,0.297,0.108,10
M,0.465,1.0165,0.512,10
F,0.265,0.2165,0.096,10
F,0.46,0.9575,0.4815,10
M,0.475,1.15,0.575,10
F,0.425,0.8735,0.4205,10
M,0.365,0.522,0.2395,10
F,0.405,0.6375,0.277,10
F,0.545,1.5055,0.6565,10
M,0.49,1.2005,0.575,10
F,0.48,1.056,0.4575,10
I,0.375,0.6505,0.2495,10
F,0.46,1.0455,0.4565,10
F,0.51,1.415,0.5885,10
I,0.475,0.9665,0.4145,10
M,0.52,1.558,0.755,10
M,0.475,1.201,0.5395,10
F,0.515,1.546,0.7035,10
M,0.425,0.8445,0.373,10
M,0.425,0.849,0.3265,10
M,0.46,1.1295,0.57,10
M,0.44,1.025,0.5075,10
I,0.42,0.81,0.4725,10
F,0.4,0.5765,0.2395,10
F,0.465,0.9855,0.4325,10
M,0.44,1.2255,0.5405,10
F,0.34,0.4195,0.153,10
M,0.475,1.065,0.5315,10
M,0.505,1.872,0.893,10
F,0.385,0.7655,0.3265,10
M,0.445,0.737,0.325,10
M,0.51,1.5945,0.6705,10
I,0.435,0.805,0.3155,10
F,0.41,0.6965,0.302,10
F,0.405,0.646,0.2895,10
M,0.415,0.879,0.339,10
M,0.465,0.885,0.4025,10
M,0.475,1.129,0.4795,10
I,0.48,0.9995,0.425,10
M,0.475,0.99,0.386,10
F,0.42,0.8655,0.4315,10
M,0.265,0.1835,0.077,10
F,0.585,1.309,0.5445,10
F,0.58,1.658,0.708,10
F,0.45,0.741,0.295,10
F,0.455,0.8895,0.419,10
M,0.51,1.261,0.5,10
M,0.485,1.233,0.6565,10
M,0.405,0.7775,0.436,10
F,0.515,1.337,0.615,10
F,0.35,0.5725,0.1965,10
M,0.51,1.3415,0.6575,10
M,0.48,1.1015,0.4965,10
F,0.425,0.873,0.3615,10
F,0.5,1.383,0.54,10
I,0.43,0.7395,0.3135,10
I,0.34,0.407,0.1685,10
F,0.475,0.974,0.4305,10
F,0.38,0.549,0.245,10
M,0.5,1.096,0.5445,10
M,0.5,1.362,0.5785,10
I,0.4,0.705,0.3065,10
F,0.475,1.0165,0.4355,10
I,0.47,0.9365,0.434,10
M,0.42,0.791,0.33,10
M,0.525,1.3135,0.4935,10
F,0.5,1.2475,0.4625,10
I,0.435,0.7535,0.3285,10
F,0.52,1.4545,0.6,10
M,0.405,0.8025,0.244,10
F,0.53,1.491,0.6345,10
I,0.52,1.238,0.5495,10
M,0.365,0.467,0.1895,10
I,0.305,0.3625,0.1565,10
F,0.4,1.224,0.618,10
I,0.45,0.924,0.358,10
M,0.42,0.675,0.294,10
F,0.455,1.0735,0.479,10
I,0.475,0.984,0.4865,10
M,0.525,1.7585,0.8745,10
F,0.455,1.1155,0.5045,10
F,0.48,1.1145,0.508,10
I,0.42,0.6665,0.3125,10
I,0.365,0.5585,0.252,10
M,0.525,1.89,0.95,10
I,0.43,0.6255,0.245,10
F,0.485,1.2155,0.545,10
I,0.45,0.8715,0.45,10
M,0.49,1.185,0.482,10
F,0.525,1.37,0.6135,10
F,0.5,1.2205,0.6145,10
M,0.425,0.8315,0.411,10
M,0.565,2.21,1.1075,10
M,0.36,0.5415,0.2595,10
F,0.495,1.198,0.5415,10
F,0.49,1.2435,0.5805,10
F,0.475,1.088,0.4905,10
F,0.34,0.451,0.188,10
F,0.535,1.2395,0.468,10
F,0.475,1.148,0.444,10
F,0.45,1.068,0.556,10
F,0.445,0.826,0.341,10
F,0.475,1.115,0.484,10
M,0.455,0.953,0.3945,10
M,0.515,1.4465,0.694,10
I,0.37,0.458,0.181,10
M,0.42,1.3405,0.6325,10
F,0.44,0.964,0.5005,10
M,0.57,1.8725,0.9115,10
F,0.485,1.0945,0.531,10
M,0.42,0.6855,0.293,10
M,0.485,1.049,0.462,10
I,0.45,0.858,0.449,10
F,0.395,0.7565,0.1905,10
M,0.51,0.986,0.405,10
I,0.425,0.656,0.257,10
M,0.47,0.9975,0.3935,10
F,0.385,0.6905,0.3125,10
M,0.25,0.197,0.085,10
M,0.525,1.489,0.6065,10
M,0.355,0.491,0.207,10
I,0.405,0.6755,0.3015,10
M,0.515,1.042,0.515,10
M,0.38,0.6615,0.2875,10
F,0.405,0.6835,0.271,10
I,0.425,0.8145,0.305,10
F,0.39,0.5305,0.2135,10
M,0.525,1.3575,0.5325,10
F,0.425,0.813,0.385,10
M,0.46,1.14,0.423,10
M,0.475,1.3405,0.656,10
M,0.43,0.7845,0.3285,10
M,0.28,0.2225,0.0875,10
M,0.475,1.0305,0.4925,10
M,0.525,1.4065,0.684,10
I,0.45,0.8075,0.3655,10
M,0.485,1.1795,0.4785,10
I,0.29,0.25,0.1025,10
I,0.475,0.9745,0.4675,10
M,0.36,0.488,0.188,10
F,0.37,0.585,0.243,10
M,0.45,1.142,0.539,10
I,0.445,0.8225,0.3685,10
F,0.51,1.382,0.6045,10
F,0.5,1.148,0.5475,10
F,0.42,0.857,0.461,10
M,0.485,1.243,0.623,10
F,0.275,0.205,0.0745,10
F,0.475,1.21,0.653,10
M,0.395,0.5815,0.2565,10
I,0.44,0.825,0.402,10
M,0.495,1.0815,0.4715,10
M,0.455,0.9685,0.49,10
I,0.45,0.795,0.364,10
M,0.375,0.5175,0.2075,10
M,0.53,1.5955,0.678,10
M,0.43,0.831,0.4245,10
I,0.295,0.2715,0.134,10
M,0.525,1.478,0.5815,10
F,0.375,0.5785,0.2775,10
F,0.55,1.566,0.858,10
F,0.34,0.3675,0.146,10
M,0.47,1.194,0.5625,10
M,0.475,1.1255,0.59,10
F,0.455,1.058,0.439,10
M,0.545,1.4245,0.6325,10
M,0.48,1.065,0.4865,10
M,0.38,0.7605,0.245,10
M,0.34,0.402,0.1305,10
F,0.455,0.966,0.391,10
M,0.255,0.179,0.0705,10
M,0.425,0.7455,0.2995,10
M,0.47,1.012,0.441,10
F,0.465,1.0725,0.4835,10
I,0.45,1.022,0.428,10
M,0.45,1.195,0.5625,10
F,0.45,1.0235,0.429,10
F,0.5,0.925,0.37,10
I,0.425,0.8725,0.412,10
M,0.46,0.929,0.38,10
M,0.49,1.171,0.522,10
M,0.36,0.5265,0.2105,10
M,0.45,1.0805,0.517,10
M,0.285,0.228,0.0675,10
M,0.47,1.2015,0.492,10
I,0.41,0.699,0.3395,10
M,0.5,1.2425,0.5995,10
F,0.35,0.5185,0.221,10
M,0.51,1.3715,0.567,10
M,0.435,0.7625,0.327,10
M,0.46,1.03,0.4275,10
I,0.365,0.499,0.232,10
M,0.475,1.1315,0.508,10
M,0.46,1.4395,0.6715,10
M,0.46,0.86,0.3345,10
F,0.445,1.224,0.5565,10
M,0.53,1.5505,0.6505,10
F,0.5,1.122,0.5095,10
M,0.455,0.886,0.4315,10
M,0.385,0.4825,0.21,10
M,0.48,1.0855,0.481,10
F,0.56,2.381,0.9915,10
F,0.47,0.922,0.363,10
F,0.52,1.281,0.5985,10
F,0.55,1.52,0.637,10
F,0.5,1.376,0.6495,10
M,0.49,1.3325,0.5705,10
M,0.435,0.8815,0.292,10
M,0.505,1.1605,0.519,10
M,0.475,1.0265,0.435,10
F,0.5,1.2565,0.539,10
F,0.325,0.3635,0.159,10
F,0.475,1.3335,0.605,10
F,0.505,1.2235,0.5215,10
M,0.44,1.1115,0.5035,10
F,0.46,1.1185,0.478,10
M,0.435,0.873,0.382,10
F,0.415,1.358,0.567,10
F,0.405,0.6845,0.2725,10
M,0.49,1.9875,1.005,10
M,0.255,0.169,0.06,10
M,0.475,1.1935,0.5205,10
F,0.515,1.3715,0.5065,10
M,0.42,0.7465,0.348,10
F,0.555,1.6895,0.6555,10
F,0.415,0.6935,0.3115,10
M,0.58,2.0065,0.8295,10
M,0.49,1.112,0.465,10
M,0.495,1.3695,0.657,10
M,0.365,0.516,0.2155,10
F,0.33,0.5325,0.2085,10
F,0.4,0.714,0.318,10
M,0.44,0.8645,0.3305,10
M,0.475,0.983,0.4565,10
F,0.45,0.875,0.362,10
M,0.44,0.8255,0.2425,10
M,0.355,0.478,0.18,10
F,0.535,1.8385,0.8035,10
I,0.36,0.457,0.2085,10
F,0.525,1.42,0.573,10
F,0.485,1.1575,0.5005,10
M,0.55,1.885,0.89,10
F,0.53,1.564,0.612,10
F,0.505,1.2075,0.5105,10
M,0.455,0.7955,0.405,10
I,0.385,0.581,0.2555,10
M,0.43,0.9115,0.446,10
F,0.28,0.2305,0.0945,10
M,0.495,1.6275,0.594,10
M,0.5,1.3375,0.554,10
I,0.27,0.216,0.083,10
F,0.535,1.866,0.929,10
F,0.47,1.116,0.509,10
F,0.31,0.3465,0.1475,10
F,0.45,1.077,0.4995,10
M,0.44,1.0465,0.518,10
I,0.275,0.2335,0.095,10
F,0.49,1.33,0.6675,10
F,0.475,1.1845,0.533,10
F,0.515,1.212,0.515,10
M,0.45,1.34,0.617,10
M,0.515,1.229,0.5055,10
F,0.47,1.1345,0.492,10
F,0.5,1.3165,0.6835,10
F,0.375,0.5895,0.2635,10
M,0.48,1.1785,0.526,10
F,0.52,1.541,0.5985,10
M,0.5,1.519,0.616,10
M,0.49,1.101,0.534,10
F,0.465,0.7955,0.3425,10
M,0.45,0.871,0.407,10
M,0.565,1.9525,0.7645,10
F,0.465,0.98,0.4115,10
M,0.52,1.4535,0.592,10
I,0.31,0.2965,0.123,10
M,0.375,0.636,0.2535,10
F,0.53,1.4465,0.6775,10
M,0.45,0.874,0.3275,10
F,0.45,0.8285,0.362,10
M,0.46,1.049,0.5205,10
I,0.325,0.7615,0.362,10
M,0.47,1.409,0.8,10
M,0.6,2.1945,1.0515,10
M,0.47,0.985,0.3745,10
F,0.54,1.5805,0.802,10
M,0.435,0.9055,0.3925,10
F,0.51,1.6525,0.8515,10
F,0.505,1.1345,0.505,10
M,0.495,1.219,0.564,10
F,0.48,1.079,0.4505,10
M,0.4,0.663,0.313,10
M,0.44,0.879,0.368,10
F,0.36,0.4775,0.2105,10
F,0.48,1.3525,0.6235,10
M,0.55,2.173,1.133,10
M,0.48,1.137,0.4565,10
F,0.365,0.6345,0.1995,10
M,0.565,1.8565,0.8445,10
F,0.48,1.043,0.4835,10
M,0.525,1.085,0.454,10
I,0.405,0.7585,0.307,10
F,0.49,1.336,0.6805,10
F,0.585,2.0725,0.8655,10
M,0.445,1.0145,0.516,10
F,0.435,0.8295,0.3875,10
F,0.53,1.5175,0.7765,10
M,0.44,0.875,0.279,10
M,0.48,1.181,0.665,10
M,0.515,1.4415,0.7055,10
M,0.525,1.3135,0.4865,10
I,0.43,0.742,0.3525,10
M,0.5,1.054,0.4845,10
F,0.525,1.5965,0.7765,10
M,0.225,0.1295,0.0535,10
F,0.5,1.2465,0.5475,10
F,0.495,1.2635,0.53,10
M,0.355,0.4415,0.1805,10
M,0.6,2.003,0.8105,10
M,0.295,0.2765,0.0895,10
F,0.41,0.712,0.2845,10
M,0.51,1.5265,0.651,10
F,0.51,1.233,0.592,10
F,0.49,0.92,0.437,10
M,0.38,0.482,0.207,10
F,0.48,1.1,0.506,10
M,0.29,0.241,0.11,10
F,0.29,0.257,0.099,10
M,0.47,1.214,0.5315,10
M,0.235,0.163,0.0615,10
M,0.45,0.95,0.4005,10
M,0.52,1.4105,0.691,10
F,0.465,1.1,0.547,10
M,0.425,0.817,0.2945,10
F,0.495,1.262,0.507,10
F,0.335,0.322,0.1205,10
F,0.535,1.2895,0.6095,10
F,0.515,1.3115,0.4945,10
F,0.445,1.017,0.5265,10
F,0.435,0.8105,0.3155,10
I,0.46,0.8715,0.3755,10
I,0.45,0.807,0.3615,10
F,0.295,0.2245,0.078,10
F,0.56,1.7715,0.8195,10
M,0.55,2.165,1.1055,10
F,0.46,1.0265,0.4935,10
F,0.38,1.205,0.543,10
M,0.405,1.406,0.6115,10
M,0.45,0.824,0.3465,10
M,0.48,1.2205,0.4985,10
M,0.515,1.247,0.5475,10
I,0.425,0.7965,0.364,10
I,0.415,0.7915,0.3535,10
F,0.29,0.2705,0.093,10
F,0.48,1.1045,0.535,10
M,0.55,1.274,0.586,10
M,0.545,1.7405,0.871,10
F,0.47,1.255,0.525,10
I,0.425,0.89,0.4325,10
M,0.445,0.876,0.3795,10
F,0.395,0.7155,0.3165,10
F,0.435,0.6855,0.2905,10
F,0.415,0.7055,0.329,10
F,0.335,0.4335,0.2105,10
F,0.495,1.2355,0.5205,10
M,0.45,1.1935,0.513,10
M,0.53,1.39,0.6465,10
M,0.415,0.724,0.3105,10
M,0.545,1.9125,0.8825,10
M,0.505,1.27,0.6035,10
F,0.525,1.348,0.5855,10
M,0.57,2.2355,1.1705,10
F,0.51,1.3805,0.675,10
M,0.44,0.8815,0.3605,10
F,0.505,1.367,0.5835,10
M,0.515,1.466,0.677,10
F,0.45,0.837,0.37,10
M,0.35,0.3675,0.1465,10
I,0.47,0.985,0.3695,10
M,0.46,1,0.494,10
M,0.36,0.501,0.1665,10
I,0.26,0.174,0.0705,10
M,0.47,1.186,0.6355,10
M,0.455,1.1215,0.533,10
F,0.315,0.321,0.1255,10
M,0.465,0.799,0.3245,10
I,0.31,0.2875,0.1145,10
M,0.405,0.7575,0.3305,10
I,0.46,0.9265,0.4135,10
F,0.495,1.548,0.724,10
I,0.385,0.5125,0.2075,10
F,0.58,2.103,1.0265,10
M,0.475,1.168,0.554,10
F,0.525,1.3595,0.564,10
M,0.505,1.307,0.4335,10
M,0.54,1.534,0.671,10
F,0.51,1.567,0.7245,10
M,0.49,1.3585,0.6395,10
M,0.38,0.474,0.197,10
M,0.47,1.0175,0.473,10
F,0.53,1.431,0.622,10
M,0.525,1.6615,0.8005,10
F,0.47,0.871,0.385,10
F,0.375,0.5615,0.252,10
F,0.375,0.556,0.1925,10
I,0.43,0.712,0.3025,10
M,0.465,0.911,0.375,10
M,0.45,0.9125,0.3595,10
I,0.43,0.7285,0.302,10
M,0.26,0.198,0.0725,10
M,0.51,1.2815,0.5715,10
M,0.345,0.3795,0.143,10
I,0.55,2.0495,0.7735,10
F,0.4,0.6675,0.261,10
M,0.46,0.8975,0.341,10
F,0.26,0.207,0.0775,10
F,0.515,1.389,0.5945,10
F,0.525,1.644,0.818,10
M,0.35,0.515,0.224,10
M,0.35,0.406,0.1675,10
F,0.48,1.0125,0.5325,10
F,0.36,0.4765,0.192,10
F,0.485,1.2255,0.5075,10
M,0.48,1.3065,0.6895,10
M,0.515,1.217,0.667,10
F,0.33,0.463,0.186,10
M,0.52,1.519,0.699,10
I,0.46,0.8295,0.3915,10
I,0.43,0.833,0.354,10
F,0.52,1.3435,0.629,10
I,0.425,0.9175,0.4005,10
M,0.405,0.722,0.32,10
M,0.48,1.085,0.4645,10
I,0.415,0.702,0.322,10
F,0.48,1.1345,0.4535,10
M,0.505,1.1565,0.52,10
F,0.57,1.761,0.747,10
F,0.325,0.3105,0.12,10
F,0.38,0.6725,0.249,10
M,0.485,1.098,0.5195,10
M,0.375,0.593,0.277,10
I,0.275,0.2255,0.08,10
I,0.49,1.071,0.482,10
F,0.36,0.5065,0.222,10
I,0.415,0.619,0.2755,10
M,0.49,0.9755,0.419,10
F,0.475,1.1435,0.4755,10
M,0.385,0.623,0.2855,10
I,0.45,0.751,0.2825,10
M,0.505,1.374,0.589,10
M,0.48,1.1835,0.582,10
F,0.45,1.2365,0.5305,10
I,0.365,0.53,0.2505,10
M,0.45,1.0595,0.4735,10
M,0.56,1.74,0.885,10
M,0.515,1.265,0.6025,10
I,0.475,1.0505,0.48,10
M,0.47,1.1155,0.479,10
M,0.475,1.0845,0.5005,10
I,0.325,0.3215,0.1535,10
M,0.315,0.287,0.1135,10
F,0.46,0.8765,0.3455,10
M,0.49,1.207,0.559,10
M,0.275,0.2065,0.0725,10
M,0.5,1.401,0.6165,10
I,0.445,0.7935,0.378,10
F,0.55,1.8495,0.767,10
M,0.535,1.6755,0.889,10
F,0.475,1.1295,0.463,10
M,0.44,0.966,0.439,10
F,0.36,0.472,0.182,10
F,0.305,0.3605,0.12,10
M,0.375,0.563,0.2525,10
M,0.45,0.838,0.3965,10
F,0.49,1.1345,0.4305,10
I,0.46,0.8465,0.339,10
M,0.455,0.9335,0.382,10
M,0.495,1.31,0.495,10
F,0.535,1.4415,0.5925,10
F,0.475,1.382,0.609,10
M,0.335,0.349,0.119,10
M,0.495,1.2075,0.55,10
M,0.51,1.226,0.5885,10
M,0.495,1.139,0.5395,10
F,0.49,1.2155,0.4625,10
F,0.5,1.394,0.4935,10
I,0.3,0.2595,0.097,10
F,0.385,0.6695,0.289,10
M,0.5,1.0565,0.4615,10
M,0.57,1.8275,0.919,10
F,0.435,0.982,0.4055,10
M,0.385,0.791,0.375,10
F,0.505,1.0145,0.4375,10
F,0.44,0.846,0.346,10
I,0.475,1.12,0.565,10
M,0.46,1.0335,0.469,10
F,0.42,1.764,0.914,10
M,0.47,1.128,0.4465,10
F,0.575,2.1505,1.0745,10
M,0.4,0.6515,0.2455,10
M,0.46,0.922,0.3635,10
F,0.415,0.879,0.295,10
I,0.44,0.7665,0.347,10
M,0.46,1.1135,0.5825,10
I,0.37,0.4985,0.2095,10
F,0.435,0.8785,0.425,10
F,0.36,0.4385,0.206,10
M,0.53,1.583,0.7395,10
M,0.46,1.206,0.581,10
F,0.48,1.11,0.498,10
M,0.39,0.6565,0.262,10
F,0.455,0.976,0.465,10
M,0.49,0.8765,0.456,10
M,0.455,0.972,0.419,10
M,0.4,0.6905,0.259,10
M,0.405,0.8315,0.352,10
F,0.545,1.5245,0.59,10
F,0.4,0.8145,0.459,10
M,0.455,0.8855,0.388,10
F,0.485,1.167,0.548,10
F,0.53,1.5105,0.7385,10
F,0.55,1.679,0.805,10
M,0.48,1.3555,0.671,10
M,0.34,0.388,0.149,10
M,0.5,1.2645,0.5635,10
M,0.505,1.463,0.592,10
F,0.505,1.2905,0.6205,10
F,0.315,0.286,0.1225,10
F,0.5,1.293,0.596,10
M,0.45,0.959,0.463,10
I,0.53,1.1095,0.439,10
F,0.5,1.1105,0.467,10
F,0.48,1.1345,0.528,10
F,0.48,1.0645,0.4495,10
