@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R3-4,7-8,13,17-20,22,27,29-31,36,38-39,41,49,51-52,54,56,62-65'

@attribute Atr-2 numeric
@attribute Atr-3 numeric
@attribute Atr-6 numeric
@attribute Atr-7 numeric
@attribute Atr-12 numeric
@attribute Atr-16 numeric
@attribute Atr-17 numeric
@attribute Atr-18 numeric
@attribute Atr-19 numeric
@attribute Atr-21 numeric
@attribute Atr-26 numeric
@attribute Atr-28 numeric
@attribute Atr-29 numeric
@attribute Atr-30 numeric
@attribute Atr-35 numeric
@attribute Atr-37 numeric
@attribute Atr-38 numeric
@attribute Atr-40 numeric
@attribute Atr-48 numeric
@attribute Atr-50 numeric
@attribute Atr-51 numeric
@attribute Atr-53 numeric
@attribute Atr-55 numeric
@attribute Atr-61 numeric
@attribute Atr-62 numeric
@attribute Atr-63 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,3,0,0,16,0,0,0,8,13,0,16,11,0,16,12,0,0,0,0,5,16,0,14,5,0,1
6,13,0,0,6,0,0,13,10,16,4,16,12,1,16,0,0,0,0,16,5,14,0,8,0,0,8
14,16,0,0,14,0,0,0,0,12,7,16,9,0,16,16,7,0,0,8,16,0,0,0,0,0,7
2,15,0,0,3,0,8,16,4,13,16,2,16,10,12,14,1,0,0,0,14,0,0,0,0,0,4
0,9,0,0,12,0,0,11,13,6,16,2,15,7,4,14,1,0,0,0,10,0,0,0,0,0,4
2,8,2,0,6,0,7,11,5,13,15,15,15,1,2,6,0,0,0,0,7,0,0,0,0,0,9
5,15,0,0,12,0,0,14,8,13,16,0,10,9,13,8,9,0,0,13,12,15,0,7,0,0,0
4,10,0,0,14,0,0,5,1,12,0,16,5,0,11,0,0,0,0,9,14,4,1,15,12,5,2
0,10,0,0,7,0,0,12,13,0,13,0,0,0,6,8,1,0,0,7,16,6,8,16,13,2,6
12,16,3,0,8,0,0,7,15,0,1,11,0,0,6,1,0,0,0,7,6,13,0,6,0,0,5
0,12,0,0,10,1,14,2,6,0,11,0,0,0,11,0,0,0,0,0,5,6,0,6,0,0,5
0,13,5,1,1,0,4,16,1,13,14,10,16,4,16,13,2,0,0,0,11,0,0,0,0,0,4
0,11,0,0,16,0,0,5,16,0,7,8,0,0,16,0,0,0,0,7,16,4,0,12,1,0,1
10,15,0,0,16,0,2,0,5,0,0,16,9,0,3,16,7,0,0,12,9,16,0,6,0,0,3
8,14,0,0,9,0,0,11,11,9,3,16,12,0,16,2,0,0,0,16,5,12,0,3,0,0,8
9,14,0,0,5,0,6,14,4,12,10,16,7,0,14,13,1,0,0,16,5,10,0,12,1,0,8
4,12,0,0,12,0,0,8,0,10,0,2,13,0,0,8,0,0,0,8,16,14,1,10,10,2,2
6,16,0,0,16,0,5,10,0,13,8,0,4,7,0,6,8,0,0,14,16,15,0,2,0,0,0
3,10,0,0,8,0,11,11,0,0,14,8,4,0,7,14,9,0,0,1,4,16,0,2,0,0,5
4,11,0,0,5,0,2,14,0,12,11,13,3,0,14,0,0,0,0,14,4,11,0,5,0,0,8
4,13,0,0,16,0,0,0,0,9,1,16,14,5,16,10,3,0,0,1,16,0,0,0,0,0,7
8,13,0,0,16,0,0,2,11,6,2,15,8,0,13,16,7,0,0,5,16,11,0,0,0,0,3
8,16,0,0,16,0,2,11,16,11,0,16,7,0,0,16,2,0,0,16,7,15,0,5,0,0,3
0,9,0,0,2,0,0,12,9,1,15,0,11,12,6,16,5,0,0,0,5,2,0,0,0,0,4
5,14,0,0,9,0,2,10,0,16,2,16,7,0,11,14,1,0,0,13,11,15,0,7,0,0,3
1,15,5,0,4,0,2,14,9,1,16,15,10,0,0,14,3,0,0,1,4,10,0,1,0,0,5
3,15,0,0,6,0,0,12,2,15,11,4,16,5,15,12,6,0,0,6,2,13,0,11,0,0,9
4,10,0,0,2,0,0,2,16,0,7,9,0,0,14,0,0,0,0,1,7,11,0,13,14,8,1
6,8,0,0,5,0,8,15,6,13,16,14,15,1,9,6,6,0,0,16,5,15,0,2,0,0,8
2,13,0,0,4,0,0,15,3,0,14,6,0,0,16,13,1,0,0,12,9,9,0,15,4,0,6
6,8,4,0,12,0,0,16,5,0,16,16,14,1,5,15,8,0,0,5,8,11,0,1,0,0,5
10,12,5,0,8,0,0,16,4,1,16,16,15,3,0,11,8,0,0,3,11,9,0,0,0,0,5
13,12,4,0,8,0,4,12,0,0,15,5,0,0,10,2,0,0,0,2,9,3,0,0,0,0,5
0,4,2,0,16,0,5,14,16,16,12,16,16,5,4,16,1,0,0,0,8,16,0,16,6,0,1
11,16,0,0,16,0,0,3,8,2,0,11,0,0,16,0,0,0,0,16,15,8,0,16,3,0,2
15,16,3,0,10,0,0,0,0,16,0,11,12,1,16,14,8,0,0,6,15,0,0,0,0,0,7
4,12,0,0,16,0,0,15,15,16,16,0,10,6,1,7,9,0,0,13,11,16,0,5,0,0,0
5,14,0,0,16,0,0,11,16,7,8,16,5,0,16,6,0,0,0,11,16,5,0,11,3,0,1
5,12,0,0,14,0,0,2,0,7,2,15,2,0,13,13,0,0,0,12,5,15,0,4,0,0,3
1,12,1,0,10,0,6,10,6,9,13,16,7,0,15,15,0,0,0,4,14,13,0,10,1,0,8
5,11,0,0,0,0,4,12,0,0,12,4,0,0,16,14,1,0,0,14,7,11,0,11,4,0,6
12,14,1,0,14,0,0,12,13,0,7,3,0,0,15,0,0,0,0,3,8,3,0,3,0,0,5
13,16,0,0,16,0,0,0,8,4,0,16,1,0,16,0,0,0,0,15,16,16,0,5,0,0,2
0,11,0,0,13,0,5,13,0,13,11,0,15,1,0,14,5,0,0,8,14,16,0,6,0,0,0
0,3,0,0,16,0,0,2,15,4,13,16,2,0,8,7,0,0,0,0,5,16,0,9,0,0,1
2,13,0,0,10,0,0,15,6,10,15,0,11,7,0,10,8,0,0,15,14,14,0,1,0,0,0
10,15,0,0,16,0,5,14,0,9,12,16,16,2,9,14,7,0,0,14,12,11,0,16,9,0,9
5,11,0,0,0,0,2,16,4,0,13,0,0,0,15,6,0,0,0,16,12,16,0,10,0,0,6
7,6,7,0,7,0,5,14,4,0,16,15,3,0,3,8,0,0,0,3,5,2,0,0,0,0,5
11,12,0,0,6,0,7,3,12,0,0,14,5,0,8,16,2,0,0,9,8,15,0,8,1,0,3
9,12,0,0,14,0,2,6,0,4,0,14,0,0,10,13,1,0,0,8,5,14,0,1,0,0,3
2,9,0,0,14,0,0,2,0,7,0,16,9,4,16,11,5,0,0,0,13,0,0,0,0,0,7
3,11,0,0,1,0,4,12,0,8,15,4,15,4,8,14,4,0,0,0,2,11,0,7,1,0,9
10,14,0,0,15,0,8,11,0,15,16,5,16,4,12,14,7,0,0,4,2,11,0,15,4,0,9
6,15,5,0,12,0,2,16,3,11,13,15,13,1,16,7,0,0,0,13,11,16,0,7,0,0,8
0,11,8,5,13,0,0,12,5,15,7,9,9,0,16,16,6,0,0,0,13,0,0,0,0,0,7
8,13,0,0,14,0,5,12,0,16,16,9,16,4,8,14,6,0,0,12,3,14,0,9,0,0,9
12,16,3,0,12,0,0,0,0,15,15,16,7,0,16,15,2,0,0,11,16,0,0,0,0,0,7
1,7,0,0,10,0,0,14,16,4,3,6,13,0,0,11,6,0,0,10,5,8,0,16,4,0,5
0,3,0,0,11,0,0,0,15,0,11,0,14,8,12,16,8,0,0,0,0,7,0,2,0,0,4
13,16,0,0,14,0,5,5,0,10,0,16,8,0,16,16,5,0,0,3,4,16,0,8,0,0,3
8,12,1,0,7,0,0,0,0,16,0,14,16,3,8,15,8,0,0,12,4,14,0,11,0,0,3
4,13,0,0,16,0,4,16,7,15,15,15,16,4,14,16,6,0,0,0,0,10,0,15,8,0,9
8,16,0,0,12,0,6,16,12,0,16,15,3,0,5,10,0,0,0,15,9,14,0,6,0,0,5
5,15,0,0,9,0,0,10,0,10,0,0,11,3,0,15,0,0,0,10,12,14,0,11,4,0,2
0,8,0,0,11,0,0,14,15,10,16,0,6,6,0,8,9,0,0,11,5,15,0,9,0,0,0
10,16,0,0,9,0,0,7,16,0,11,16,10,1,8,13,11,0,0,0,0,15,0,13,2,0,5
0,6,0,0,9,0,0,4,16,0,8,0,0,0,15,8,0,0,0,8,13,4,2,14,7,0,6
0,10,0,0,5,0,2,16,6,13,16,6,16,3,16,16,8,0,0,0,10,0,0,0,0,0,4
3,14,0,0,5,0,0,14,7,7,16,0,3,7,0,5,8,0,0,14,8,14,0,3,0,0,0
8,14,6,0,6,0,0,14,5,1,16,12,14,1,0,9,7,0,0,5,2,13,0,1,0,0,5
1,12,0,0,1,0,0,16,1,0,12,0,0,0,14,15,4,0,0,11,7,4,0,14,5,0,6
10,13,0,0,11,0,6,7,0,14,14,9,16,1,8,13,4,0,0,3,2,5,0,14,3,0,9
0,14,0,0,1,0,0,11,11,0,13,0,0,0,8,5,0,0,0,9,15,0,4,12,12,1,6
3,11,16,8,12,0,0,0,0,15,0,9,15,1,15,16,8,0,0,0,12,0,0,0,0,0,7
3,15,0,0,12,0,4,16,9,9,16,16,10,3,16,1,0,0,0,14,16,12,0,5,0,0,8
5,12,0,0,15,0,3,15,11,0,12,11,2,0,0,15,1,0,0,2,7,14,0,10,0,0,3
8,14,1,0,5,0,0,0,1,14,0,11,0,0,2,7,0,0,0,9,5,15,0,5,0,0,3
7,14,3,0,4,0,4,13,0,0,16,8,1,0,3,13,0,0,0,9,0,14,0,3,0,0,5
8,15,0,0,5,0,0,16,4,15,9,16,8,0,15,10,0,0,0,16,5,15,0,12,1,0,8
8,15,0,0,16,0,5,16,1,16,16,15,16,2,16,16,5,0,0,9,12,14,0,3,0,0,9
0,14,0,0,2,0,1,16,6,0,14,0,0,0,11,2,0,0,0,10,13,5,0,16,10,0,6
3,13,0,0,0,0,0,12,6,0,15,0,0,0,14,2,0,0,0,15,12,15,0,12,8,0,6
11,14,0,0,16,0,4,12,0,4,1,12,4,0,1,1,0,0,0,9,15,8,0,12,7,0,2
9,16,0,0,14,0,8,5,3,5,0,16,6,0,0,16,3,0,0,5,7,16,0,9,1,0,3
0,14,0,0,8,0,0,6,16,0,7,0,0,0,16,8,1,0,0,10,13,2,4,16,13,0,6
15,16,0,0,15,0,10,16,2,14,13,16,16,3,0,16,4,0,0,7,8,16,0,9,1,0,9
10,14,0,0,13,0,2,16,4,16,12,12,16,4,9,16,0,0,0,2,4,16,0,4,0,0,9
9,15,0,0,14,0,7,12,2,13,14,14,16,1,3,16,4,0,0,14,11,14,0,11,2,0,9
0,7,0,0,9,0,0,13,12,0,16,0,10,11,6,16,8,0,0,0,5,6,0,2,0,0,4
1,9,0,0,14,0,0,14,14,16,16,0,11,4,0,15,4,0,0,11,7,7,0,1,0,0,0
0,11,0,0,6,0,3,16,6,5,16,2,15,10,14,14,1,0,0,0,8,4,0,0,0,0,4
9,15,0,0,2,0,1,3,0,15,0,11,11,0,11,0,0,0,0,15,6,0,0,15,6,0,2
12,14,4,0,12,0,0,0,0,12,2,5,16,3,16,16,8,0,0,3,14,0,0,0,0,0,7
3,14,0,0,5,0,9,16,3,13,16,14,16,7,12,14,1,0,0,0,12,1,0,0,0,0,9
2,16,0,0,16,0,0,2,15,7,0,16,4,0,15,3,0,0,0,1,16,0,0,0,0,0,1
12,16,1,0,11,0,8,16,4,0,15,6,0,0,6,1,0,0,0,9,11,1,0,0,0,0,5
12,16,0,0,14,0,0,0,0,12,6,16,11,3,16,16,12,0,0,11,15,0,0,0,0,0,7
16,16,1,0,3,0,0,0,0,15,3,14,3,0,16,14,5,0,0,12,7,0,0,0,0,0,7
7,12,0,0,12,2,16,9,1,0,13,0,0,0,7,0,0,0,0,9,16,0,0,0,0,0,5
8,15,2,0,8,0,10,10,0,0,10,0,0,0,4,0,0,0,0,5,14,0,0,0,0,0,5
8,15,0,0,15,0,4,13,7,7,14,14,1,0,16,0,0,0,0,13,16,3,0,1,0,0,8
8,16,0,0,16,0,7,3,6,4,0,13,0,0,16,0,0,0,0,16,11,6,0,11,7,0,2
3,10,0,0,8,0,8,8,0,11,6,10,7,0,5,1,0,0,0,4,16,5,0,11,2,0,2
3,12,0,0,1,0,1,13,1,0,12,4,3,0,13,15,2,0,0,14,4,13,0,8,0,0,6
14,16,0,0,16,0,0,4,13,3,9,16,13,0,8,16,8,0,0,13,16,15,0,1,0,0,3
0,2,0,0,14,0,0,11,16,4,16,4,13,12,16,16,11,0,0,0,0,8,0,6,0,0,4
12,12,16,2,12,0,0,0,0,15,0,16,3,0,16,0,0,0,0,14,12,0,0,0,0,0,7
7,13,0,0,10,0,4,16,3,11,11,13,9,0,15,3,0,0,0,12,7,15,0,13,1,0,8
2,10,0,0,5,0,1,16,2,0,14,0,0,0,2,9,2,0,0,15,11,15,0,7,0,0,6
12,14,0,0,6,0,8,7,7,0,0,7,0,0,11,0,0,0,0,9,13,7,0,16,13,0,2
3,11,0,0,8,0,0,6,14,0,0,16,7,0,14,11,0,0,0,14,11,15,0,6,0,0,8
9,12,16,2,9,0,0,0,0,14,0,8,14,1,2,12,0,0,0,0,1,14,0,1,0,0,3
5,9,11,0,12,0,7,15,1,0,13,4,0,0,16,6,0,0,0,0,10,2,0,0,0,0,5
2,6,16,2,9,0,0,5,1,2,0,0,8,10,0,16,7,0,0,9,13,1,0,0,0,0,7
6,15,0,0,3,0,6,14,0,14,13,16,16,4,4,13,4,0,0,14,6,13,0,9,0,0,9
5,14,0,0,13,0,0,0,0,14,2,16,16,11,16,11,3,0,0,3,16,0,0,0,0,0,7
2,11,0,0,16,0,0,0,10,16,0,16,15,1,14,13,0,0,0,11,16,5,0,0,0,0,1
6,14,0,0,16,0,0,4,2,10,0,10,8,0,16,16,4,0,0,0,12,0,0,0,0,0,7
3,10,0,0,10,0,0,8,0,0,16,1,0,0,15,5,0,0,0,0,12,1,0,0,0,0,5
0,14,0,0,2,0,0,7,13,0,8,0,0,0,11,2,0,0,0,13,15,2,3,12,10,0,6
0,3,0,0,8,0,0,5,14,0,15,0,3,8,12,13,10,0,0,0,2,5,0,0,0,0,4
4,16,0,0,16,0,0,0,14,10,2,16,6,0,16,9,0,0,0,5,16,5,0,11,1,0,1
5,13,0,0,10,0,3,15,2,11,12,0,8,8,0,9,8,0,0,14,5,12,0,0,0,0,0
0,12,0,0,16,0,0,3,15,6,15,16,2,0,16,3,0,0,0,1,16,6,0,10,0,0,1
13,5,1,0,16,0,6,16,9,4,16,15,5,0,5,12,0,0,0,8,13,3,0,0,0,0,5
0,9,0,0,12,0,0,15,14,11,16,4,16,10,11,16,2,0,0,0,8,6,0,2,0,0,4
9,16,0,0,16,0,0,0,8,5,0,14,3,0,0,15,2,0,0,4,8,15,0,8,0,0,3
0,1,0,0,16,0,0,4,14,9,16,16,8,0,3,6,0,0,0,0,5,10,0,6,0,0,1
14,16,0,0,16,0,0,0,5,16,0,16,8,0,0,13,1,0,0,5,9,16,0,10,1,0,3
13,15,5,0,8,0,7,13,0,0,15,15,7,0,5,12,0,0,0,2,13,1,0,0,0,0,5
0,1,1,0,16,0,5,11,15,16,15,16,15,0,8,7,0,0,0,0,8,6,0,15,2,0,1
0,3,0,0,12,0,0,7,16,3,15,5,16,2,11,16,6,0,0,0,1,7,0,7,0,0,4
1,15,0,0,16,0,0,7,16,0,13,13,0,0,16,0,0,0,0,2,16,0,0,3,0,0,1
9,15,0,0,13,0,0,6,14,13,0,12,15,5,0,10,10,0,0,3,8,15,0,9,1,0,9
16,16,6,0,5,0,0,0,0,11,0,16,3,0,0,11,0,0,0,3,7,4,0,0,0,0,3
2,13,0,0,14,0,0,7,9,16,5,15,16,4,3,13,5,0,0,12,6,11,0,16,1,0,9
2,13,0,0,11,0,0,10,6,5,2,12,14,0,15,2,0,0,0,13,8,4,0,7,0,0,8
0,8,0,0,16,0,0,7,16,0,15,16,0,0,15,9,2,0,0,0,11,0,0,0,0,0,4
16,16,2,0,8,0,9,16,1,0,16,3,0,0,16,1,0,0,0,7,13,3,0,0,0,0,5
5,15,0,0,12,0,0,12,12,14,3,14,3,0,14,3,0,0,0,16,4,16,0,12,2,0,8
0,1,5,0,16,0,0,10,16,16,16,16,16,0,11,16,0,0,0,0,0,16,0,10,0,0,1
10,15,3,0,5,0,0,0,0,15,0,9,16,0,0,16,0,0,0,2,3,12,0,0,0,0,3
3,13,0,0,15,0,0,7,0,15,0,13,6,0,3,4,0,0,0,3,16,8,0,8,0,0,2
10,13,0,0,11,0,0,12,9,8,5,16,11,1,16,0,0,0,0,16,7,5,0,1,0,0,8
9,15,0,0,16,0,0,0,3,11,2,16,13,10,16,12,4,0,0,7,16,0,0,0,0,0,7
2,14,0,0,15,0,2,16,7,15,16,0,13,7,1,10,8,0,0,15,14,16,0,5,0,0,0
10,16,0,0,16,0,5,4,5,0,0,14,1,0,3,15,1,0,0,9,8,15,0,9,0,0,3
3,11,0,0,5,0,0,7,10,15,2,16,14,6,0,7,9,0,0,9,7,8,0,16,6,0,9
5,11,0,0,6,0,11,7,0,0,16,11,2,0,4,12,3,0,0,1,6,10,0,15,2,0,5
5,16,16,11,5,0,0,0,0,9,0,6,16,3,16,16,7,0,0,1,13,0,0,0,0,0,7
0,9,9,0,4,0,5,14,1,15,14,16,15,0,1,7,0,0,0,0,11,0,0,0,0,0,9
0,2,0,0,16,0,0,0,11,7,0,16,2,0,16,0,0,0,0,8,15,0,0,8,0,0,1
8,14,0,0,14,0,4,8,1,7,0,16,5,0,11,16,2,0,0,4,11,14,0,10,0,0,3
3,11,0,0,0,0,1,14,1,0,15,0,0,0,15,15,2,0,0,16,11,10,0,15,7,0,6
10,14,0,0,16,0,1,1,6,1,0,9,0,0,16,9,1,0,0,8,4,15,0,9,0,0,3
5,11,0,0,4,0,4,16,6,0,15,16,9,0,0,16,6,0,0,0,1,15,0,1,0,0,5
1,13,0,0,2,0,0,13,5,0,16,0,0,0,10,12,3,0,0,13,11,13,0,11,2,0,6
12,13,1,0,11,0,8,16,7,0,16,11,1,0,6,9,0,0,0,1,7,11,0,1,0,0,5
0,2,10,0,8,0,1,15,3,11,14,13,16,8,7,13,4,0,0,0,0,9,0,4,0,0,9
5,11,0,0,16,0,2,16,9,12,13,0,6,6,0,5,9,0,0,13,12,16,0,10,0,0,0
7,14,0,0,14,0,0,13,13,16,4,13,16,4,0,12,4,0,0,16,9,15,0,8,0,0,9
5,12,0,0,15,0,2,14,1,12,9,16,11,0,15,9,0,0,0,11,8,16,0,3,0,0,8
2,12,9,2,12,0,0,12,8,8,16,3,15,2,0,7,0,0,0,0,13,0,0,0,0,0,7
7,13,0,0,13,0,12,7,0,4,4,14,8,0,0,7,0,0,0,12,16,12,0,10,14,0,2
3,10,0,0,15,0,0,15,5,9,0,16,5,0,7,16,3,0,0,16,10,16,0,8,0,0,3
0,12,0,0,13,0,1,14,15,0,16,10,7,0,16,16,6,0,0,11,16,16,0,12,4,0,6
2,15,0,0,9,0,3,16,9,0,16,12,5,0,16,16,0,0,0,13,14,16,0,10,0,0,6
7,14,0,0,16,0,7,11,0,14,14,11,16,5,15,12,8,0,0,14,11,15,0,9,0,0,9
9,13,13,0,12,0,4,16,0,0,16,11,1,0,8,12,0,0,0,12,8,10,0,3,0,0,5
4,15,0,0,13,0,3,12,0,14,12,0,11,8,0,8,8,0,0,16,7,15,0,2,0,0,0
7,13,0,0,16,0,3,8,5,0,3,16,6,0,7,16,5,0,0,16,6,14,0,10,0,0,3
0,6,0,0,16,0,0,9,16,6,16,16,4,0,16,6,0,0,0,0,8,15,0,11,2,0,1
0,6,0,0,12,0,3,16,14,0,16,16,11,1,13,14,5,0,0,10,15,13,0,16,9,0,6
6,12,0,0,14,0,8,15,1,16,15,11,16,5,16,14,8,0,0,16,13,14,0,13,5,0,9
11,13,0,0,6,0,10,9,6,0,10,10,0,0,11,0,0,0,0,13,16,11,0,15,11,0,2
3,8,14,0,13,0,1,16,0,0,16,10,1,0,14,10,0,0,0,7,15,11,0,2,0,0,5
1,9,0,0,5,0,4,15,1,14,6,13,9,0,0,13,1,0,0,12,9,4,0,15,11,1,3
1,14,0,0,10,0,1,16,10,0,16,5,0,0,16,8,0,0,0,11,13,16,0,16,9,0,6
4,15,0,0,10,0,5,13,0,16,12,0,13,3,0,14,3,0,0,10,11,14,0,3,0,0,0
0,9,0,0,5,0,0,7,12,12,1,16,5,0,16,1,0,0,0,12,13,12,0,16,14,0,8
0,9,0,0,3,0,0,15,2,14,13,13,8,1,3,14,6,0,0,0,9,0,0,0,0,0,4
0,12,0,0,5,0,0,15,7,14,16,9,16,11,9,15,6,0,0,2,11,0,0,0,0,0,4
3,15,0,0,4,0,4,16,5,7,16,16,9,5,14,16,9,0,0,4,16,0,0,0,0,0,4
6,11,0,0,7,0,10,7,0,10,13,15,10,0,4,12,0,0,0,8,2,12,0,12,0,0,9
9,16,2,0,3,0,7,9,0,4,12,13,14,7,8,5,8,0,0,3,4,15,0,7,0,0,5
4,15,0,0,12,0,0,0,0,9,2,15,10,4,16,15,7,0,0,1,16,0,0,0,0,0,7
5,16,0,0,16,0,0,14,16,8,14,16,8,0,16,5,0,0,0,11,16,14,0,16,3,0,1
6,15,0,0,16,0,14,12,3,4,11,16,3,0,9,0,0,0,0,4,16,9,3,16,16,14,2
7,16,0,0,9,0,1,15,12,9,16,0,7,10,0,10,11,0,0,15,12,14,0,4,0,0,0
11,16,0,0,16,0,2,3,2,4,0,14,0,0,16,0,0,0,0,16,16,16,0,5,0,0,2
4,11,0,0,8,0,4,15,0,16,11,16,9,0,16,1,0,0,0,15,3,9,0,12,5,0,8
0,3,11,0,11,0,2,15,9,13,16,16,16,11,8,16,2,0,0,0,0,9,0,4,0,0,9
6,15,0,0,16,0,10,11,2,2,1,14,0,0,14,0,0,0,0,11,15,16,0,5,0,0,2
0,0,2,0,16,0,0,4,16,16,15,7,13,0,15,16,9,0,0,0,0,8,0,8,0,0,4
13,16,1,0,13,0,11,13,1,0,13,0,0,0,15,0,0,0,0,6,9,9,0,3,0,0,5
4,12,0,0,5,0,8,13,0,15,12,15,3,0,16,1,0,0,0,12,6,13,0,8,0,0,8
0,14,11,0,16,0,0,4,16,16,12,16,12,0,16,6,0,0,0,11,16,2,0,1,0,0,1
6,15,0,0,15,0,8,13,0,8,0,16,3,0,11,0,0,0,0,8,15,15,0,1,0,0,2
0,9,0,0,16,0,0,15,15,16,14,0,12,8,0,14,6,0,0,3,16,14,0,5,0,0,0
1,13,0,0,8,0,8,15,3,15,3,12,8,0,4,1,0,0,0,1,16,13,0,11,0,0,2
4,14,0,0,16,0,10,15,9,4,2,14,0,0,16,0,0,0,0,8,16,16,0,6,0,0,2
0,0,14,1,13,0,0,11,9,9,16,16,16,6,16,16,3,0,0,0,0,5,0,0,0,0,9
8,14,1,0,8,0,14,14,1,0,15,0,0,0,16,0,0,0,0,2,13,0,0,0,0,0,5
4,11,0,0,9,0,8,15,1,16,14,15,6,0,16,0,0,0,0,12,3,9,0,6,0,0,8
4,14,0,0,16,0,0,0,14,5,0,16,3,0,15,2,0,0,0,4,16,0,0,1,0,0,1
13,16,0,0,16,0,0,0,9,0,9,0,0,0,15,11,1,0,0,2,4,15,0,5,0,0,3
5,15,1,0,9,0,0,0,0,16,0,9,11,0,13,12,1,0,0,0,14,0,0,0,0,0,7
15,14,0,0,15,0,8,1,6,2,0,16,2,0,14,0,0,0,0,16,15,9,0,15,5,0,2
12,16,0,0,13,0,0,0,3,7,2,8,0,0,12,11,1,0,0,6,0,14,0,8,1,0,3
0,8,0,0,13,0,0,12,16,0,16,9,4,0,13,14,3,0,0,0,9,3,0,0,0,0,4
8,16,10,0,8,0,9,16,2,0,16,2,0,0,15,0,0,0,0,14,15,0,0,0,0,0,5
0,11,0,0,13,0,0,10,16,0,16,13,7,0,11,16,2,0,0,9,14,15,0,11,1,0,6
6,13,0,0,0,0,0,16,6,0,16,11,5,0,12,16,6,0,0,13,14,16,0,13,2,0,6
4,10,0,0,16,0,4,16,16,12,16,16,7,0,16,8,0,0,0,15,16,12,0,12,1,0,1
9,16,10,0,8,0,11,16,7,0,15,6,0,0,14,0,0,0,0,9,13,0,0,0,0,0,5
2,13,1,0,15,0,0,14,16,10,16,0,8,8,0,9,8,0,0,16,6,10,0,1,0,0,0
12,16,0,0,11,0,8,13,10,0,1,12,0,0,14,0,0,0,0,13,16,16,0,9,3,0,2
0,13,0,0,8,0,0,9,16,0,13,5,0,0,16,8,1,0,0,8,16,16,0,13,1,0,6
1,7,0,0,14,0,4,16,5,16,6,12,16,5,0,15,8,0,0,12,8,13,0,16,10,0,9
2,16,0,0,14,0,0,15,10,16,16,0,12,5,0,12,5,0,0,14,13,15,0,6,0,0,0
2,16,0,0,6,0,0,15,10,0,16,0,0,0,16,14,2,0,0,16,9,16,0,12,0,0,6
9,16,1,0,14,0,0,0,0,16,0,13,14,1,10,6,0,0,0,15,16,7,0,16,2,0,2
4,16,0,0,16,0,0,5,16,4,7,15,0,0,16,0,0,0,0,6,16,5,0,3,0,0,1
4,14,0,0,16,0,0,0,16,9,1,16,3,0,16,2,0,0,0,7,16,0,0,4,0,0,1
15,16,5,0,12,0,13,16,3,0,16,0,0,0,16,0,0,0,0,4,14,0,0,0,0,0,5
0,5,0,0,11,0,0,12,14,0,16,7,10,0,16,12,0,0,0,0,0,9,0,6,0,0,4
13,16,12,1,12,0,2,15,15,0,8,15,1,0,3,6,0,0,0,7,10,4,0,0,0,0,5
0,10,0,0,12,0,10,16,8,16,14,14,9,0,14,5,0,0,0,0,14,16,0,11,0,0,8
15,16,0,0,16,0,2,12,5,3,0,16,3,0,15,0,0,0,0,16,13,4,0,16,16,2,2
6,13,0,0,10,0,0,0,1,9,0,16,7,0,0,14,1,0,0,16,4,9,0,16,3,0,3
16,8,0,0,0,0,2,16,16,0,8,10,0,0,14,0,0,0,0,5,12,11,3,16,16,9,1
3,15,0,0,0,0,3,13,0,0,12,0,0,0,11,14,1,0,0,15,8,12,0,8,0,0,6
3,15,0,0,11,0,3,16,3,14,12,0,12,4,0,6,8,0,0,12,8,15,0,5,0,0,0
0,15,12,4,0,0,0,8,7,15,0,8,12,0,8,12,3,0,0,0,10,0,0,0,0,0,7
7,16,8,0,10,0,0,13,6,13,10,13,5,0,10,8,3,0,0,1,16,3,0,0,0,0,7
10,7,0,0,14,0,5,12,0,13,12,0,4,7,0,4,8,0,0,14,3,14,0,10,0,0,0
10,13,0,0,5,0,0,6,16,0,6,13,0,0,6,2,0,0,0,7,11,14,4,14,16,15,1
3,11,0,0,5,0,2,16,9,12,9,10,10,0,6,12,1,0,0,8,10,14,0,9,0,0,8
2,14,0,0,0,0,1,15,1,0,15,0,0,0,16,13,1,0,0,12,11,8,0,15,4,0,6
2,14,0,0,11,0,4,14,1,13,13,0,10,6,1,8,9,0,0,13,11,15,0,5,0,0,0
14,16,0,0,13,0,0,12,7,14,4,16,5,0,14,0,0,0,0,13,0,3,0,1,0,0,8
0,8,0,0,8,0,1,13,12,4,16,7,15,10,16,15,2,0,0,0,3,5,0,0,0,0,4
5,15,0,0,11,0,7,9,0,14,9,0,8,6,0,4,8,0,0,15,7,16,0,5,0,0,0
12,14,0,0,13,0,0,16,2,13,9,8,16,2,16,13,0,0,0,1,6,10,0,2,0,0,9
0,12,0,0,13,0,5,16,6,12,14,0,11,5,0,7,10,0,0,9,11,15,0,11,0,0,0
0,10,0,0,8,0,5,4,10,12,8,0,7,5,0,2,9,0,0,6,11,10,0,14,5,0,0
11,16,0,0,11,0,3,13,1,15,0,12,11,0,1,7,0,0,0,12,16,11,0,13,16,8,2
9,16,0,0,13,0,0,12,0,8,0,12,8,0,0,5,0,0,0,10,16,10,1,16,16,5,2
9,16,4,0,7,0,5,5,1,15,0,16,7,0,1,16,4,0,0,3,4,16,0,8,0,0,3
