@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
6,16,0.198,114,1
9,14.222,0.219,252,1
10,28,0.356,998,1
9,7.333,0.241,143,1
6,3,0.306,33,1
8,3.125,0.405,81,1
8,3.5,0.438,98,1
9,3.667,0.354,105,1
10,15.5,0.332,514,1
9,7.556,0.335,205,1
6,3,0.491,53,1
5,1.2,0.433,13,1
9,0.667,0.37,20,1
8,1.5,0.458,44,1
8,1.25,0.363,29,1
6,1.333,0.563,27,1
13,31.308,0.266,1406,1
4,5,0.388,31,1
10,1.8,0.389,70,1
7,30.857,0.458,693,1
8,3.375,0.218,47,1
9,4.222,0.444,152,1
7,34.286,0.215,362,1
11,5.182,0.271,170,1
17,1.412,0.4,163,1
18,3.556,0.261,301,1
9,13.444,0.399,434,1
10,16.2,0.294,477,1
10,26.3,0.204,537,1
8,2,0.328,42,1
7,2.714,0.662,88,1
9,20.778,0.42,707,1
7,0.857,0.333,14,1
7,1.714,0.357,30,1
6,5,0.311,56,1
6,2.833,0.245,25,1
9,13.111,0.372,395,1
11,0.727,0.375,33,1
7,2.143,0.438,46,1
9,0.889,0.264,19,1
9,54.222,0.074,326,1
11,0.727,0.58,51,1
7,3,0.286,42,1
24,7.792,0.485,2178,1
9,4.333,0.308,108,1
7,1.857,0.363,33,1
8,1.5,0.406,39,1
9,14.111,0.213,243,1
7,13.143,0.309,199,1
8,8.625,0.261,144,1
2,5.5,0.409,9,1
9,9,0.187,136,1
9,10.222,0.365,302,1
10,53.5,0.113,606,1
8,4.25,0.419,114,1
9,2.333,0.354,67,1
8,3.75,0.354,85,1
6,2.167,0.359,28,1
5,1.6,0.675,27,1
10,1.1,0.382,42,1
8,4,0.352,90,1
10,13.1,0.415,543,1
8,9.5,0.314,191,1
8,0.625,0.525,21,1
9,34.556,0.163,456,1
5,0.4,0.8,8,1
5,0.6,0.6,9,1
9,20.556,0.386,643,1
10,0.9,0.522,47,1
9,10.333,0.229,192,1
8,5.375,0.372,128,1
7,4.286,0.324,68,1
12,19.167,0.164,453,1
8,1.25,0.375,30,1
8,9.875,0.316,200,1
7,3.286,0.286,46,1
9,31,0.097,243,1
10,5.1,0.306,156,1
16,26.688,0.4,2736,1
7,4.571,0.268,60,1
6,4.667,0.369,62,1
7,3.714,0.374,68,1
10,2,0.29,58,1
8,1.125,0.458,33,1
7,1.286,0.381,24,1
7,4.857,0.252,60,1
8,6.25,0.528,211,1
7,2,0.367,36,1
8,2,0.383,49,1
10,2.1,0.329,69,1
9,31.444,0.186,474,1
9,20.111,0.375,611,1
11,2,0.624,151,1
5,1.4,0.486,17,1
10,8,0.553,442,1
3,1.333,0.917,11,1
8,34.375,0.209,460,1
8,1.875,0.375,45,1
8,5.625,0.492,177,1
10,7.9,0.163,129,1
11,6.727,0.247,201,1
12,0.75,0.509,55,1
7,10.714,0.156,82,1
10,3,0.357,107,1
7,2.286,0.42,47,1
9,59.333,0.169,811,1
8,22.875,0.288,421,1
16,25.5,0.39,2546,1
9,13.444,0.356,388,1
9,2.444,0.227,45,1
7,4.429,0.276,60,1
10,6.3,0.298,188,1
1,42,0.381,16,1
7,2.857,0.25,35,1
9,11.889,0.383,369,1
10,0.9,0.689,62,1
6,8.167,0.32,94,1
11,24.636,0.278,829,1
10,3.3,0.394,130,1
11,2.909,0.332,117,1
6,2,0.375,27,1
9,4.556,0.374,138,1
10,5.1,0.28,143,1
11,24.727,0.279,835,1
9,6,0.292,142,1
10,1.2,0.333,40,1
6,2.167,0.295,23,1
6,5.333,0.286,55,1
7,14.286,0.294,206,1
7,3,0.327,48,1
8,2.125,0.36,49,1
14,22.929,0.361,1624,1
9,10.222,0.287,238,1
9,13.667,0.346,383,1
10,0.8,0.4,32,1
7,1.143,0.357,20,1
36,5.167,0.318,2126,1
6,8.167,0.286,84,1
8,1.375,0.318,28,1
11,5.545,0.294,197,1
7,2.714,0.278,37,1
7,4.714,0.143,33,1
25,19.8,0.464,5748,1
8,3.375,0.343,74,1
7,5.143,0.278,70,1
19,6.842,0.208,514,1
10,4.5,0.296,133,1
7,5.143,0.409,103,1
10,4.8,0.36,173,1
9,1.333,0.407,44,1
7,2,0.388,38,1
6,4.833,0.293,51,1
9,19,0.121,186,1
7,13.714,0.314,211,1
12,9.833,0.266,377,1
8,4.875,0.378,118,1
6,16.5,0.301,179,1
9,5,0.425,172,1
7,5,0.445,109,1
12,9.75,0.251,353,1
11,1.182,0.42,60,1
8,2.875,0.321,59,1
11,23.727,0.233,668,1
9,2.333,0.175,33,1
9,9,0.322,235,1
11,2.273,0.327,90,1
8,2.75,0.426,75,1
9,11,0.484,431,1
1,177,0.203,36,1
8,8,0.252,129,1
5,6.4,0.406,65,1
10,4.6,0.3,138,1
1,36,0.222,8,1
13,2.923,0.324,160,1
7,4.857,0.298,71,1
7,3.714,0.346,63,1
8,0.5,0.469,15,1
12,1.833,0.621,164,1
11,7.727,0.268,251,1
8,7.75,0.361,179,1
9,3.556,0.333,96,1
9,12.111,0.219,215,1
4,1,0.563,9,1
7,1.571,0.286,22,1
12,22.583,0.238,773,1
8,8.625,0.205,113,1
24,6.542,0.905,3411,1
9,3.778,0.412,126,1
25,18.84,0.449,5290,1
9,9.222,0.293,219,1
9,5.111,0.338,140,1
6,2.833,0.382,39,1
9,7,0.284,161,1
10,11.8,0.277,327,1
8,1.5,0.438,42,1
5,6.4,0.431,69,1
12,22.667,0.329,1075,1
7,1.286,0.429,27,1
6,2.167,0.359,28,1
7,5.714,0.336,94,1
7,0.714,0.257,9,1
8,10.75,0.494,340,1
9,18.444,0.392,585,1
11,0.818,0.545,54,1
9,24.444,0.23,456,1
9,3.333,0.304,82,1
11,4,0.314,152,1
10,26.2,0.274,719,1
7,1,0.367,18,1
7,2.143,0.229,24,1
5,1.4,0.4,14,1
16,26.5,0.371,2518,1
9,4.222,0.377,129,1
13,31.462,0.267,1421,1
8,2.5,0.263,42,1
5,5.6,0.329,46,1
7,4.714,0.368,85,1
8,4.75,0.339,103,1
8,1.5,0.448,43,1
7,3.714,0.192,35,1
8,1.125,0.319,23,1
9,2.667,0.213,46,1
9,0.778,0.349,22,1
5,3.8,0.316,30,1
9,2.889,0.316,74,1
25,7.92,0.869,4304,1
8,10,0.347,222,1
9,0.778,0.365,23,1
10,2.7,0.344,93,1
8,3.875,0.371,92,1
9,1.333,0.426,46,1
22,9.455,0.203,928,1
5,1.6,0.35,14,1
9,10.889,0.491,433,1
1,12,0.583,7,1
11,0.727,0.261,23,1
7,14.286,0.279,195,1
9,1.778,0.278,40,1
8,1.125,0.361,26,1
12,5.917,0.608,518,1
7,4.714,0.364,84,1
10,17.6,0.181,319,1
11,7.636,0.262,242,1
5,8.6,0.265,57,1
8,6.625,0.358,152,1
6,1,0.306,11,1
8,8.75,0.463,259,1
10,5.2,0.298,155,1
11,14.636,0.329,582,1
6,15.667,0.188,106,1
10,0.7,0.329,23,1
11,1.091,0.5,66,1
10,19.7,0.245,482,1
7,1.857,0.374,34,1
12,41.417,0.278,1657,1
8,8.625,0.415,229,1
14,29.929,0.373,2188,1
9,4.778,0.3,116,1
24,7.083,0.924,3768,1
9,1,0.358,29,1
11,6.364,0.381,293,1
10,18.1,0.491,888,1
10,26.2,0.288,754,1
14,27.5,0.369,1990,1
5,15,0.259,97,1
8,2.125,0.265,36,1
11,1.818,0.564,124,1
7,2,0.347,34,1
9,19.444,0.177,279,1
10,1.4,0.371,52,1
6,2.167,0.295,23,1
9,8.889,0.293,211,1
6,4.333,0.519,81,1
12,27.667,0.402,1602,1
10,1.9,0.584,111,1
7,20,0.131,128,1
8,5.875,0.34,128,1
5,0.8,0.45,9,1
10,1.9,0.363,69,1
24,2.667,0.227,348,1
9,5.222,0.286,121,1
11,4.727,0.262,150,1
9,9.333,0.407,308,1
9,11,0.189,168,1
10,10.1,0.45,455,1
9,9.222,0.376,281,1
7,6.143,0.249,75,1
9,4,0.54,175,1
7,2.857,0.457,64,1
7,1.857,0.264,24,1
9,18.444,0.274,409,1
7,2.857,0.257,36,1
8,1.125,0.361,26,1
13,2.846,0.306,147,1
7,4.429,0.295,64,1
7,7.571,0.267,99,1
9,56.667,0.149,684,1
8,3.125,0.385,77,1
8,4.375,0.382,107,1
8,14,0.17,152,1
4,4.5,0.333,24,1
10,23.6,0.183,432,1
9,1.778,0.222,32,1
8,26,0.194,323,1
8,3.375,0.218,47,1
10,0.7,0.357,25,1
8,2.125,0.228,31,1
10,4.3,0.458,197,1
5,2.2,0.6,33,1
8,17.625,0.371,418,1
13,29.692,0.286,1437,1
8,15.75,0.209,211,1
9,8,0.255,165,1
7,2.571,0.468,59,1
13,14.462,0.188,460,1
7,26.143,0.265,340,1
13,29,0.178,872,1
9,1.333,0.407,44,1
6,10,0.292,105,1
9,3.556,0.299,86,1
5,8.4,0.257,54,1
8,1,0.234,15,1
8,8.875,0.136,77,1
11,4.818,0.249,145,1
8,19,0.199,242,1
7,10.714,0.661,347,1
14,26.429,0.175,907,1
9,59.444,0.173,832,1
10,26.2,0.179,469,1
9,33.889,0.191,525,1
12,5.917,0.608,518,1
9,3.667,0.347,103,1
3,1.333,0.917,11,1
6,1.667,0.267,16,1
10,3.3,0.391,129,1
21,5.048,0.136,302,1
79,2.013,0.319,4009,1
8,3.75,0.225,54,1
5,1.2,0.4,12,1
5,2,0.56,28,1
8,0.75,0.5,24,1
28,1.143,0.501,449,1
14,22.786,0.37,1654,1
6,5.333,0.286,55,1
7,2.143,0.333,35,1
10,3.4,0.356,121,1
14,26,0.366,1865,1
14,18.143,0.377,1341,1
18,8.778,0.198,563,1
8,5.375,0.398,137,1
7,1,0.245,12,1
12,6.917,0.253,252,1
12,9.833,0.255,361,1
10,3.9,0.295,115,1
2,22.5,0.078,7,1
7,1.857,0.33,30,1
10,10,0.41,410,1
13,8.846,0.314,469,1
9,37,0.237,711,1
9,4.778,0.47,182,1
24,14.167,0.211,1718,1
8,3.125,0.405,81,1
13,31.385,0.281,1492,1
5,1.4,0.4,14,1
10,8.4,0.356,299,1
11,6.545,0.665,527,1
10,10.1,0.442,446,1
28,1.607,0.368,464,1
10,3,0.367,110,1
5,1.4,0.457,16,1
22,3.273,0.52,823,1
5,3.6,0.322,29,1
8,9.375,0.228,137,1
6,4.667,0.405,68,1
11,1.364,0.352,58,1
6,6,0.495,107,1
7,2.857,0.229,32,1
6,2.167,0.372,29,1
6,2.333,0.298,25,1
8,15.375,0.255,251,1
6,1.333,0.646,31,1
4,1.5,0.458,11,1
11,27.545,0.183,611,1
12,18,0.507,1315,1
6,4.5,0.154,25,1
10,4.4,0.35,154,1
25,7.12,0.475,2115,1
8,5.75,0.356,131,1
9,10.556,0.284,243,1
10,6.7,0.291,195,1
8,0.5,0.25,8,1
8,10.25,0.434,285,1
9,12.333,0.209,209,1
7,2.429,0.412,49,1
7,1.857,0.286,26,1
6,12.667,0.353,161,1
9,59.333,0.163,784,1
8,10.5,0.36,242,1
10,3.9,0.31,121,1
12,1.917,0.576,159,1
8,2.75,0.398,70,1
5,7,0.2,35,1
5,11.6,0.2,58,1
10,7.3,0.273,199,1
9,3.778,0.288,88,1
8,1,0.359,23,1
5,1.4,0.4,14,1
7,3,0.313,46,1
8,4.875,0.369,115,1
5,1.4,0.314,11,1
7,0.571,0.357,10,1
8,1.125,0.319,23,1
11,9.091,0.473,520,1
8,3.25,0.389,81,1
9,3,0.358,87,1
1,45,0.2,9,1
8,8.75,0.279,156,1
9,4,0.352,114,1
7,0.857,0.476,20,1
14,18.071,0.372,1317,1
7,25,0.186,228,1
9,8.444,0.436,298,1
7,1.571,0.299,23,1
10,7.9,0.244,193,1
10,3.7,0.33,122,1
8,1.75,0.429,48,1
11,2,0.281,68,1
10,50.9,0.097,492,1
9,11.889,0.357,344,1
8,3.5,0.442,99,1
7,1.429,0.343,24,1
8,3.625,0.453,105,1
5,4.6,0.504,58,1
8,10.375,0.404,268,1
9,56.444,0.164,748,1
7,1.857,0.297,27,1
8,3.25,0.264,55,1
8,32.625,0.218,455,1
14,2.714,0.244,130,1
10,8.5,0.333,283,1
6,13.333,0.352,169,1
9,4.111,0.453,151,1
8,4.5,0.299,86,1
10,26.9,0.306,824,1
11,2,0.649,157,1
8,1.5,0.427,41,1
7,4.286,0.329,69,1
14,10.714,0.225,472,1
12,22.583,0.259,843,1
6,1.833,0.379,25,1
9,3.889,0.273,86,1
9,12.222,0.311,308,1
9,1.889,0.307,47,1
3,2.333,0.619,13,1
12,1.667,0.525,126,1
5,5.8,0.4,58,1
10,1.5,0.273,41,1
24,7.75,0.514,2296,1
10,0.8,0.675,54,1
1,249,0.173,43,1
7,1.857,0.209,19,1
10,9.8,0.379,371,1
8,21.75,0.161,224,1
6,16,0.309,178,1
9,4.889,0.465,184,1
8,1.25,0.4,32,1
11,0.727,0.602,53,1
5,18.4,0.287,132,1
5,3.8,0.389,37,1
8,3.875,0.327,81,1
14,25.643,0.368,1848,1
8,1.75,0.455,51,1
8,8.125,0.302,157,1
9,9.111,0.364,269,1
10,7.7,0.469,361,1
8,2.375,0.382,58,1
7,1.857,0.363,33,1
8,1.125,0.458,33,1
1,29,0.31,9,1
8,3.875,0.411,102,1
10,1.8,0.294,53,1
7,1.571,0.455,35,1
38,1.368,0.452,894,1
8,3.125,0.28,56,1
8,18.5,0.196,232,1
8,1.125,0.375,27,1
4,24,0.479,184,1
10,3,0.333,100,1
10,9.7,0.425,412,1
7,45,0.056,124,1
7,5.286,0.305,79,1
7,74.143,0.073,265,1
9,7.333,0.323,192,1
10,4.6,0.278,128,1
17,14.412,0.913,3801,1
7,1.571,0.364,28,1
7,4.429,0.382,83,1
6,5.167,0.301,56,1
8,1.5,0.417,40,1
12,6,0.638,551,1
12,3.333,0.271,130,1
8,3.875,0.415,103,1
10,27.1,0.176,476,1
11,7.455,0.236,213,1
8,1.75,0.268,30,1
7,3.286,0.273,44,1
10,2.8,0.336,94,1
11,0.727,0.409,36,1
20,0.95,0.495,188,1
8,3.125,0.335,67,1
27,11.852,0.321,2774,1
10,5.5,0.295,162,1
8,2.625,0.31,52,1
8,3.5,0.259,58,1
87,1.333,0.406,4093,1
9,5.444,0.265,117,1
9,56.444,0.184,840,1
10,9.7,0.423,410,1
10,9.8,0.391,383,1
10,3.3,0.321,106,1
9,19.444,0.19,299,1
6,1.167,0.405,17,1
24,5,0.927,2670,1
9,22.444,0.087,158,1
11,10.727,0.459,596,1
7,1.143,0.339,19,1
9,59.444,0.156,752,1
7,1.857,0.396,36,1
9,3,0.333,81,1
11,6.636,0.27,217,1
9,27.778,0.36,810,1
9,9.111,0.352,260,1
8,8.5,0.336,183,1
17,1.412,0.426,174,1
7,11.429,0.5,280,1
8,3.625,0.384,89,1
9,11.333,0.183,168,1
5,2.6,0.154,10,1
7,5,0.269,66,1
5,2.6,0.554,36,1
8,6.75,0.245,106,1
9,2.778,0.249,56,1
7,1.857,0.78,71,1
8,4.5,0.458,132,1
8,3,0.417,80,1
5,19.8,0.356,176,1
8,6,0.31,119,1
7,2.714,0.286,38,1
6,3.5,0.349,44,1
5,6.6,0.376,62,1
8,10,0.298,191,1
8,3.5,0.406,91,1
7,11.429,0.102,57,1
16,21.063,0.369,1992,1
10,3.7,0.354,131,1
10,6.9,0.277,191,1
9,1.778,0.16,23,1
9,4.667,0.325,123,1
9,17.222,0.376,524,1
5,2.6,0.262,17,1
9,59.333,0.14,671,1
7,3.429,0.244,41,1
8,7.375,0.292,138,1
8,1.5,0.479,46,1
8,1.75,0.286,32,1
9,2.333,0.529,100,1
5,1,0.36,9,1
6,4.333,0.288,45,1
6,4,0.292,42,1
24,5.625,0.911,2953,1
9,3.778,0.31,95,1
9,18.778,0.333,507,1
9,34,0.213,587,1
7,2.286,0.286,32,1
8,19,0.27,328,1
7,20,0.253,248,1
9,2.333,0.429,81,1
9,7.222,0.265,155,1
7,8.857,0.189,82,1
10,17,0.261,444,1
9,12,0.247,240,1
8,2.75,0.477,84,1
10,2.2,0.277,61,1
11,3.727,0.337,152,1
8,1,0.234,15,1
11,1.727,0.579,121,1
5,5.2,0.523,68,1
8,1.625,0.423,44,1
11,14.182,0.224,385,1
10,4.4,0.441,194,1
7,2.429,0.16,19,1
7,7.714,0.497,188,1
9,7.444,0.468,282,1
8,4.25,0.379,103,1
8,4.625,0.264,78,1
10,3.3,0.367,121,1
11,10.818,0.236,309,1
7,1,0.429,21,1
10,27.1,0.188,509,1
8,2.25,0.396,57,1
8,2.875,0.462,85,1
9,20.556,0.398,663,1
5,5.8,0.276,40,1
7,2.143,0.324,34,1
13,37.462,0.247,1564,1
7,1.571,0.364,28,1
9,1.444,0.308,36,1
8,1.875,0.475,57,1
7,21.143,0.184,191,1
13,0.462,0.436,34,1
6,16,0.267,154,1
6,4.5,0.241,39,1
8,4,0.367,94,1
6,3.167,0.289,33,1
10,1.7,0.382,65,1
8,3.125,0.285,57,1
8,4.875,0.282,88,1
9,18.667,0.268,405,1
5,2.6,0.554,36,1
13,9.462,0.428,684,1
10,1.8,0.656,118,1
5,2.8,0.557,39,1
5,1.4,0.6,21,1
16,13.25,0.376,1276,1
10,2.5,0.268,67,1
11,10.727,0.26,338,1
9,11.889,0.357,344,1
11,3.091,0.324,121,1
7,55.571,0.167,455,1
8,10,0.184,118,1
7,4.429,0.313,68,1
14,29.214,0.172,984,1
8,4.875,0.362,113,1
7,1.571,0.351,27,1
6,14.833,0.298,159,1
6,2.833,0.294,30,1
10,2.5,0.328,82,1
9,8.333,0.194,131,1
10,6.3,0.294,185,1
8,7.5,0.335,161,1
7,1.571,0.351,27,1
5,10.4,0.208,54,1
7,4,0.337,66,1
7,5.429,0.286,76,1
7,1.571,0.312,24,1
37,2.73,0.282,1053,1
7,28.286,0.055,76,1
8,1.5,0.208,20,1
10,1.2,0.333,40,1
8,1.75,0.438,49,1
13,23.923,0.216,873,1
9,25.778,0.274,573,1
9,2,0.414,67,1
13,11.308,0.358,684,1
9,4.778,0.455,176,1
7,6,0.333,98,1
7,2,0.357,35,1
24,12.875,0.921,6828,1
8,10.625,0.238,162,1
6,13.5,0.282,137,1
10,10,0.267,267,1
8,1.5,0.521,50,1
9,2.556,0.3,62,1
9,4.444,0.356,128,1
9,7.111,0.318,183,1
7,1.571,0.364,28,1
13,20.538,0.401,1392,1
13,2.923,0.314,155,1
8,5.25,0.259,87,1
7,1.857,0.275,25,1
13,5,0.302,255,1
9,20.333,0.327,538,1
25,13.6,0.866,7358,1
5,1.6,0.425,17,1
8,2.125,0.463,63,1
8,0.875,0.5,28,1
18,2.667,0.264,228,1
8,12.75,0.212,173,1
7,49.429,0.173,418,1
8,2.25,0.403,58,1
5,2.6,0.262,17,1
8,1,0.219,14,1
10,1.9,0.337,64,1
10,14.1,0.236,333,1
17,10.059,0.208,606,1
9,4.111,0.3,100,1
5,5,0.4,50,1
9,4.778,0.388,150,1
8,4.75,0.349,106,1
7,15.857,0.254,197,1
9,11,0.27,241,1
9,9.111,0.383,283,1
10,6.4,0.514,329,1
8,1.75,0.509,57,1
8,4,0.23,59,1
5,0.6,0.533,8,1
4,63.25,0.129,131,1
10,3.8,0.195,74,1
10,25,0.12,301,1
8,8,0.541,277,1
12,5.75,0.4,331,1
10,50.8,0.1,506,1
8,13.625,0.447,390,1
8,5.25,0.414,139,1
5,0.8,0.7,14,1
7,8.429,0.462,191,1
11,2.455,0.303,90,1
7,1.571,0.338,26,1
12,0.583,0.214,18,1
12,22.833,0.208,685,1
7,0.286,0.714,10,1
5,2.4,0.317,19,1
1,118,0.186,22,1
7,1.143,0.357,20,1
12,9.667,0.331,461,1
10,8.6,0.145,125,1
3,1.333,0.75,9,1
11,1.091,0.295,39,1
8,3.75,0.383,92,1
8,1.875,0.433,52,1
7,7.571,0.089,33,1
7,27,0.339,449,1
12,0.667,0.198,19,1
16,25.625,0.381,2497,1
9,9,0.348,254,1
7,5.857,0.355,102,1
7,1.571,0.299,23,1
8,6.625,0.347,147,1
7,1.143,0.321,18,1
7,3.286,0.329,53,1
5,3.4,0.4,34,1
7,30.143,0.257,380,1
8,2.125,0.353,48,1
7,7,0.318,109,1
1,60,0.2,12,1
5,0.8,0.4,8,1
9,4.333,0.368,129,1
8,2.625,0.357,60,1
9,4.111,0.598,199,1
7,1.857,0.297,27,1
7,1.857,0.407,37,1
2,8.5,0.324,11,1
11,3.182,0.351,135,1
7,14.286,0.411,288,1
7,2,0.378,37,1
6,3.5,0.238,30,1
10,32.7,0.379,1239,1
1,18,0.389,7,1
12,0.667,0.51,49,1
8,3.625,0.345,80,1
8,1.75,0.518,58,1
7,15.714,0.21,162,1
9,12.333,0.218,218,1
10,2.5,0.32,80,1
7,9.286,0.215,98,1
5,3.2,0.563,45,1
8,1.25,0.4,32,1
7,4.429,0.3,65,1
8,3.625,0.444,103,1
2,9.5,0.184,7,1
8,1.5,0.458,44,1
5,1.2,0.433,13,1
4,11.75,0.298,56,1
8,0.875,0.446,25,1
7,1.286,0.286,18,1
7,5.143,0.456,115,1
3,1,0.889,8,1
1,89,0.191,17,1
8,8.75,0.332,186,1
5,0.8,0.7,14,1
7,16.857,0.386,319,1
9,13.556,0.333,366,1
6,2.167,0.551,43,1
5,11.6,0.09,26,1
7,0.571,0.429,12,1
9,1.556,0.278,35,1
9,1.333,0.444,48,1
10,3,0.427,128,1
6,8.333,0.327,98,1
7,1.714,0.464,39,1
13,17.538,0.24,710,1
5,5.8,0.317,46,1
8,2.125,0.419,57,1
6,2.667,0.49,47,1
5,1.4,0.371,13,1
11,9.182,0.398,442,1
10,4.7,0.338,159,1
7,1.143,0.304,17,1
8,1.25,0.35,28,1
10,3.8,0.187,71,1
7,6.143,0.545,164,1
6,1.833,0.394,26,1
7,3.857,0.344,65,1
6,9.5,0.453,155,1
9,29.778,0.465,1122,1
9,14.667,0.189,225,1
9,4.111,0.228,76,1
10,2.6,0.3,78,1
9,1.333,0.648,70,1
7,4.143,0.286,58,1
15,1.933,0.524,228,1
5,3.6,0.378,34,1
7,1.286,0.397,25,1
11,23.727,0.257,738,1
7,5.429,0.41,109,1
11,13.818,0.365,610,1
8,21.25,0.277,377,1
9,4.111,0.39,130,1
7,5.714,0.25,70,1
24,4.458,0.908,2333,1
9,59.556,0.091,441,1
10,5.2,0.319,166,1
9,2,0.623,101,1
8,0.625,0.4,16,1
5,0.6,0.6,9,1
9,2.111,0.269,46,1
16,11.438,0.413,1208,1
9,11.333,0.214,196,1
10,26.2,0.281,736,1
9,11.889,0.375,361,1
5,4.4,0.536,59,1
9,4,0.556,180,1
8,3,0.438,84,1
9,0.778,0.302,19,1
7,1.571,0.234,18,1
8,2,0.422,54,1
22,3.227,0.519,810,1
9,50.778,0.173,712,1
12,33.667,0.334,1617,1
8,1.625,0.49,51,1
6,2.833,0.324,33,1
9,3.667,0.377,112,1
7,0.857,0.381,16,1
7,1.714,0.405,34,1
8,1.5,0.583,56,1
8,5.75,0.315,116,1
6,1.833,0.303,20,1
8,2,0.344,44,1
6,1.333,0.542,26,1
9,4.889,0.467,185,1
8,1.75,0.339,38,1
9,2.222,0.361,65,1
7,2.143,0.4,42,1
14,29.286,0.241,1382,1
14,21.5,0.257,1084,1
8,2.25,0.472,68,1
7,1.571,0.299,23,1
11,4.727,0.28,160,1
6,1.5,0.296,16,1
10,11.9,0.202,240,1
6,1,0.361,13,1
8,43,0.216,595,1
11,9.364,0.156,177,1
5,10.2,0.314,80,1
7,5.857,0.307,88,1
7,28.143,0.072,99,1
8,22.5,0.371,534,1
9,6.111,0.299,148,1
10,1.1,0.427,47,1
11,12.455,0.317,478,1
14,8.286,0.27,439,1
8,2.875,0.38,70,1
14,0.857,0.661,111,1
7,6.143,0.219,66,1
8,1.375,0.443,39,1
17,15.647,0.921,4167,1
9,29.667,0.164,393,1
10,51.1,0.141,721,1
11,4.455,0.343,185,1
9,59.444,0.126,606,1
9,17.778,0.36,518,1
7,19.286,0.114,108,1
11,2.182,0.307,81,1
9,11.222,0.196,178,1
12,2.167,0.224,70,1
7,2.571,0.27,34,1
8,0.875,0.411,23,1
9,2.556,0.246,51,1
11,0.818,0.404,40,1
14,26.214,0.349,1791,1
8,3.375,0.435,94,1
7,30.714,0.538,810,1
11,3.636,0.27,119,1
10,7.5,0.428,321,1
5,9.2,0.174,40,1
25,11.68,0.45,3283,1
6,6.5,0.226,53,1
7,1,0.327,16,1
7,10.714,0.263,138,1
6,1.167,0.429,18,1
8,1.25,0.288,23,1
8,3.25,0.375,78,1
8,5.375,0.494,170,1
10,9.4,0.25,235,1
9,2.333,0.243,46,1
8,0.875,0.429,24,1
23,5.217,0.942,2599,1
7,3,0.313,46,1
8,4.125,0.39,103,1
11,15.182,0.371,681,1
9,5.556,0.496,223,1
11,5.455,0.32,211,1
12,27.583,0.237,942,1
9,16.778,0.184,250,1
7,2.429,0.227,27,1
10,2.8,0.375,105,1
11,8.364,0.361,365,1
10,2.9,0.29,84,1
9,9.556,0.211,163,1
12,26.667,0.231,888,1
11,17.182,0.174,361,1
10,6.6,0.324,214,1
10,3.3,0.318,105,1
21,0.619,0.168,46,1
9,2.333,0.487,92,1
4,7.75,0.419,52,1
7,15.571,0.283,216,1
6,1.333,0.604,29,1
7,1.286,0.381,24,1
10,28.5,0.175,499,1
9,12,0.345,335,1
8,65.375,0.06,250,1
8,2.5,0.363,58,1
7,13.571,0.268,178,1
10,2.1,0.457,96,1
6,2.833,0.314,32,1
7,1.429,0.329,23,1
10,15.4,0.342,527,1
9,3.889,0.33,104,1
7,6.429,0.483,152,1
1,263,0.152,40,1
8,4.5,0.323,93,1
9,0.111,1,9,1
7,49.429,0.167,404,1
10,2,0.275,55,1
9,2.444,0.318,63,1
5,2.6,0.477,31,1
11,27.364,0.308,1019,1
9,6.778,0.213,117,1
7,5.286,0.301,78,1
8,2.875,0.239,44,1
8,0.25,0.563,9,1
8,30.25,0.128,247,1
3,1.333,0.75,9,1
9,56.111,0.189,861,1
7,2,0.347,34,1
8,12.25,0.282,221,1
9,1.444,0.53,62,1
9,39.222,0.187,594,1
8,1.5,0.406,39,1
6,4.833,0.368,64,1
7,0.571,0.286,8,1
25,11.64,0.466,3392,1
7,5.429,0.414,110,1
5,5.6,0.307,43,1
7,5,0.188,46,1
10,24,0.383,919,1
8,3.5,0.393,88,1
8,27.25,0.144,252,1
9,3.889,0.397,125,1
7,4,0.27,53,1
9,1.556,0.333,42,1
8,2,0.438,56,1
9,9.111,0.408,301,1
10,3.1,0.316,98,1
11,9.273,0.223,250,1
8,3,0.297,57,1
6,3.167,0.254,29,1
10,1.9,0.584,111,1
8,12.625,0.29,234,1
5,3.4,0.412,35,1
7,1.286,0.333,21,1
7,2.714,0.331,44,1
12,1.083,0.391,61,1
5,3,0.56,42,1
2,3.5,0.5,7,1
7,2.286,0.241,27,1
7,2.571,0.357,45,1
7,1.857,0.286,26,1
9,3.667,0.36,107,1
7,8.857,0.392,170,1
2,26,0.144,15,1
8,10.375,0.437,290,1
8,5.5,0.284,100,1
6,16,0.293,169,1
13,2.923,0.332,164,1
9,6.333,0.285,146,1
6,19,0.278,190,1
8,0.625,0.375,15,1
9,31.111,0.165,415,1
7,5.714,0.336,94,1
11,9.091,0.269,296,1
11,0.818,0.515,51,1
11,8.818,0.297,317,1
8,3.125,0.355,71,1
7,4.429,0.267,58,1
9,29,0.183,430,1
7,2.714,0.398,53,1
8,34,0.186,404,1
10,1.8,0.311,56,1
6,36.833,0.268,356,1
23,5.391,0.941,2684,1
10,2,0.605,121,1
10,6.3,0.184,116,1
8,4.125,0.371,98,1
5,6,0.587,88,1
9,19,0.4,615,1
9,4.111,0.444,148,1
12,10.167,0.26,381,1
7,5,0.245,60,1
