@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
6.857,0.268,56,1
10.455,0.266,188,1
1.333,0.62,14,1
9.556,0.3,109,1
4.571,0.268,47,1
9.111,0.343,125,1
28.625,0.168,196,1
8.5,0.324,4,1
14.833,0.303,89,1
30.111,0.285,382,1
4.833,0.333,38,1
3.875,0.298,51,1
1.182,0.283,84,1
15.5,0.329,177,1
5.154,0.432,57,1
28.4,0.202,402,1
1.424,0.659,22,1
17.571,0.265,137,1
1.429,0.286,11,1
5,0.31,49,1
9.333,0.329,120,1
4.418,0.088,1134,1
5.429,0.41,60,1
5.333,0.417,38,1
13.1,0.487,217,1
1.125,0.319,10,1
5,0.453,45,1
5.667,0.296,58,1
6.235,0.927,115,1
12,0.276,120,1
4.5,0.136,11,1
12.429,0.365,116,1
0.778,0.349,6,1
0.286,0.714,1,1
1.286,0.349,10,1
28.444,0.099,167,1
5.333,0.286,39,1
11.333,0.183,132,1
1.889,0.523,11,1
7.4,0.303,103,1
2,0.321,23,1
2.25,0.417,9,1
1.857,0.78,9,1
3.875,0.375,46,1
7.333,0.241,101,1
1,0.417,8,1
5.889,0.252,78,1
28.667,0.294,175,1
12.667,0.272,150,1
5.375,0.445,56,1
9.333,0.222,93,1
7.75,0.363,85,1
177,0.203,35,1
1.294,0.321,14,1
8.625,0.216,83,1
5.875,0.266,64,1
13.375,0.381,136,1
5.75,0.34,70,1
3.5,0.406,44,1
4.077,0.509,61,1
38.625,0.186,325,1
65.375,0.06,209,1
3.222,0.234,47,1
28.286,0.17,174,1
16.727,0.471,213,1
8.429,0.462,82,1
25.938,0.389,499,1
2.444,0.268,16,1
5.375,0.494,50,1
1.5,0.479,21,1
7.625,0.342,86,1
2.25,0.438,23,1
0.6,0.6,2,1
22.7,0.225,311,1
6.12,0.255,470,1
3.818,0.335,69,1
0.5,0.438,3,1
1.857,0.396,27,1
9.25,0.412,114,1
1.4,0.457,8,1
2.473,0.544,58,1
7,1,1,1
21.75,0.207,358,1
4.857,0.282,45,1
4.2,0.355,70,1
38.556,0.111,275,1
1.5,0.406,18,1
4.286,0.324,44,1
2.714,0.286,23,1
15.333,0.155,144,1
3.8,0.187,52,1
0.667,0.583,3,1
4.143,0.365,37,1
10.818,0.261,181,1
23.4,0.188,319,1
5.4,0.267,21,1
4.625,0.392,60,1
5.778,0.37,101,1
1.75,0.402,29,1
24.667,0.202,266,1
2.75,0.438,32,1
5.857,0.254,51,1
3.125,0.38,42,1
3.556,0.413,69,1
3.167,0.289,24,1
1.875,0.458,22,1
7.8,0.395,21,1
1.571,0.39,17,1
8.5,0.294,61,1
2.5,0.406,35,1
16.25,0.36,169,1
2.136,0.319,155,1
27.778,0.36,316,1
50.6,0.15,564,1
42,0.405,16,1
3.783,0.286,242,1
2.25,0.403,36,1
16.818,0.487,220,1
5.9,0.403,80,1
26.875,0.404,239,1
1.5,0.479,20,1
5.429,0.308,53,1
11.6,0.273,186,1
7.889,0.294,87,1
10.333,0.3,228,1
2.333,0.354,25,1
1.333,0.648,7,1
10.111,0.233,112,1
13.375,0.384,155,1
2.4,0.267,9,1
4.9,0.529,86,1
19.214,0.337,276,1
0.5,0.25,1,1
2.5,0.3,4,1
3.556,0.271,35,1
13.778,0.367,144,1
16.385,0.359,214,1
2.571,0.413,28,1
22,0.318,6,1
8.9,0.252,69,1
22.938,0.385,427,1
1.083,0.372,25,1
1.091,0.5,16,1
4.444,0.319,49,1
24.143,0.167,154,1
2.571,0.254,23,1
21.4,0.247,92,1
3.3,0.367,62,1
36,0.222,7,1
10.286,0.236,70,1
7.667,0.343,122,1
26.1,0.269,388,1
9.5,0.232,75,1
11.625,0.261,125,1
6.4,0.439,109,1
21.313,0.378,394,1
18.286,0.265,140,1
1.5,0.542,8,1
10.778,0.328,162,1
0.9,0.489,9,1
7.818,0.413,126,1
5.889,0.335,66,1
13.778,0.348,151,1
4,0.208,151,1
1.167,0.405,4,1
1.5,0.438,20,1
2.429,0.328,27,1
6.5,0.475,112,1
59.222,0.166,612,1
1.143,0.482,12,1
5.333,0.227,69,1
3.25,0.37,44,1
6.143,0.545,64,1
1.167,0.405,4,1
2.3,0.27,31,1
8.111,0.376,94,1
7.111,0.345,87,1
7.818,0.297,144,1
3.286,0.323,31,1
1.9,0.6,14,1
7.636,0.251,131,1
1.5,0.433,19,1
9.5,0.184,5,1
3.8,0.232,4,1
2,0.414,29,1
5.5,0.486,58,1
5.75,0.315,65,1
11.222,0.256,136,1
9.25,0.568,108,1
0.9,0.522,5,1
11.889,0.371,138,1
4.458,0.908,138,1
1.889,0.235,25,1
4.444,0.494,61,1
4.625,0.182,40,1
8.889,0.304,122,1
5.3,0.294,89,1
8.5,0.257,178,1
29.111,0.209,356,1
2.286,0.438,24,1
2.667,0.281,11,1
2,0.337,18,1
1.571,0.377,20,1
2.5,0.394,30,1
4,0.145,212,1
3.5,0.397,43,1
1,0.358,13,1
2.75,0.391,38,1
16.5,0.311,163,1
8.154,0.306,178,1
3.143,0.156,15,1
30.9,0.2,441,1
17.462,0.226,215,1
60,0.217,12,1
1,0.406,12,1
4.889,0.46,64,1
5.444,0.587,83,1
1.818,0.577,15,1
2.2,0.436,14,1
1.333,0.454,34,1
1.412,0.407,34,1
1.571,0.286,17,1
1.625,0.663,10,1
59.556,0.154,547,1
1.143,0.357,7,1
0.909,0.436,11,1
4.5,0.427,62,1
3.25,0.423,36,1
2.625,0.357,29,1
5.3,0.306,88,1
2.167,0.295,15,1
11.222,0.211,140,1
6.111,0.255,91,1
11.333,0.386,128,1
0.889,0.583,2,1
0.818,0.384,10,1
6.286,0.218,53,1
1.857,0.363,21,1
1.5,0.427,15,1
1.5,0.427,19,1
18.111,0.148,170,1
0.857,0.5,9,1
4.625,0.334,77,1
45,0.2,8,1
13.625,0.109,76,1
3,0.313,22,1
9.75,0.231,193,1
27.1,0.193,409,1
24.727,0.279,423,1
1,0.327,12,1
1.857,0.286,15,1
1.333,0.833,1,1
6.667,0.221,42,1
2.857,0.336,21,1
0.909,0.28,23,1
2,0.347,17,1
1.1,0.373,26,1
31.273,0.446,358,1
32.571,0.154,175,1
2.067,0.204,24,1
0.571,0.286,4,1
5.222,0.307,64,1
4.909,0.273,74,1
19,0.121,138,1
4.125,0.424,50,1
1,0.347,9,1
6,0.405,58,1
2.4,0.2,6,1
0.818,0.475,3,1
3.3,0.352,56,1
4.167,0.345,76,1
4.286,0.295,35,1
8.545,0.28,143,1
5.857,0.321,62,1
1.571,0.39,19,1
1.857,0.374,20,1
34.556,0.163,340,1
2.857,0.464,29,1
4.375,0.425,57,1
11.429,0.361,124,1
2.333,0.206,32,1
1.714,0.464,18,1
2.2,0.364,15,1
31.167,0.188,168,1
2.5,0.375,32,1
0.714,0.829,1,1
12.4,0.473,171,1
6.222,0.343,88,1
6.107,0.258,621,1
2.571,0.27,26,1
3.857,0.164,12,1
9.462,0.428,156,1
3,0.354,32,1
16.833,0.411,129,1
11.833,0.131,43,1
2.25,0.403,32,1
3.125,0.3,27,1
4.556,0.298,58,1
2.286,0.42,22,1
3.5,0.299,42,1
2,0.435,30,1
2.222,0.361,28,1
51,0.162,564,1
2.8,0.329,9,1
2.4,0.483,21,1
23.429,0.281,202,1
5.1,0.306,68,1
21.857,0.467,182,1
14.444,0.513,210,1
27,0.339,237,1
8.3,0.357,130,1
0.727,0.716,8,1
7.2,0.292,116,1
3.5,0.442,40,1
2.2,0.345,13,1
3.375,0.208,31,1
13.143,0.143,63,1
0.714,0.371,7,1
3.25,0.346,39,1
13,0.334,121,1
18.667,0.268,214,1
6.25,0.528,70,1
1.5,0.438,20,1
2.75,0.376,111,1
13.143,0.292,122,1
4.667,0.325,72,1
5.714,0.336,60,1
1.889,0.627,15,1
2.714,0.244,44,1
3,0.339,36,1
24.444,0.23,316,1
2,0.398,19,1
6.455,0.666,84,1
2.333,0.365,30,1
9.4,0.25,138,1
4.875,0.347,338,1
7.333,0.254,40,1
9.111,0.385,124,1
20.091,0.25,312,1
4.545,0.255,74,1
2.714,0.331,31,1
2,0.293,30,1
3.182,0.335,27,1
8.091,0.17,61,1
19.333,0.316,375,1
3.286,0.273,30,1
0.5,0.556,1,1
0.857,0.452,10,1
8,0.44,63,1
9,0.338,77,1
8.889,0.231,108,1
2.111,0.298,19,1
49,0.286,2,1
26,0.282,412,1
8.4,0.356,121,1
50.8,0.131,527,1
15.1,0.193,197,1
28.714,0.399,473,1
3,0.328,36,1
6.556,0.348,82,1
24.125,0.4,246,1
2,0.408,23,1
3,0.296,4,1
0.857,0.333,3,1
1,0.438,6,1
4.556,0.425,58,1
20,0.343,225,1
10.571,0.276,91,1
5.4,0.407,26,1
4.25,0.379,56,1
4,0.295,57,1
2.167,0.282,14,1
1.286,0.317,9,1
2.429,0.227,10,1
2.444,0.212,26,1
6.917,0.253,144,1
14.111,0.213,154,1
5.75,0.407,107,1
23.2,0.376,100,1
7.714,0.235,58,1
1.7,0.571,15,1
12.6,0.456,202,1
1.8,0.572,16,1
3,0.287,7,1
16.444,0.146,167,1
1.6,0.35,14,1
8.5,0.333,124,1
8.875,0.289,100,1
1.857,0.297,23,1
2,0.36,14,1
4.4,0.441,66,1
4.667,0.381,58,1
1,0.286,9,1
2.3,0.287,30,1
5.625,0.469,58,1
5.125,0.335,53,1
8.333,0.327,49,1
6.4,0.35,42,1
28.846,0.154,521,1
5.208,0.915,129,1
3.818,0.284,68,1
4.9,0.52,86,1
3.75,0.467,38,1
4.8,0.579,46,1
17.222,0.376,207,1
26.545,0.341,371,1
1.4,0.457,11,1
16,0.293,81,1
2.833,0.275,21,1
13.5,0.282,102,1
2.429,0.353,27,1
3.25,0.399,43,1
3,0.279,27,1
7,0.393,3,1
41.417,0.269,658,1
2.857,0.307,29,1
2.556,0.169,12,1
25.313,0.382,467,1
31.857,0.121,142,1
2.333,0.519,30,1
1.727,0.598,17,1
10.333,0.229,122,1
2.333,0.571,21,1
6,0.223,91,1
2.625,0.417,36,1
8,0.553,87,1
2.5,0.408,42,1
1.857,0.198,8,1
2.857,0.421,24,1
16,0.319,80,1
24.438,0.401,477,1
1.375,0.318,20,1
2.375,0.428,37,1
19.333,0.178,163,1
2.714,0.338,27,1
26.8,0.494,220,1
9.111,0.335,100,1
7.5,0.433,69,1
5.917,0.631,81,1
4.429,0.336,48,1
1,0.889,1,1
51.1,0.115,385,1
4.259,0.293,388,1
1.625,0.635,8,1
19.8,0.356,117,1
2.143,0.4,28,1
2.857,0.436,26,1
8,0.308,122,1
17,0.285,158,1
14.636,0.333,217,1
2.375,0.434,22,1
10.333,0.323,131,1
2.667,0.227,103,1
1.25,0.4,16,1
3,0.3,42,1
0.75,0.313,5,1
9.182,0.239,165,1
1.2,0.35,18,1
6.143,0.219,52,1
2.571,0.286,23,1
19.2,0.342,77,1
1.923,0.351,19,1
1.5,0.385,19,1
1.571,0.299,14,1
9.833,0.237,61,1
5,0.447,56,1
3.2,0.306,58,1
25.5,0.39,482,1
4.111,0.381,62,1
5.739,0.95,139,1
2,0.357,23,1
1.857,0.242,15,1
3.556,0.292,55,1
4.714,0.385,40,1
2.8,0.311,49,1
31.444,0.186,389,1
28.5,0.175,315,1
2.625,0.548,26,1
29.778,0.465,178,1
1.889,0.307,34,1
2.75,0.398,34,1
3.25,0.37,32,1
0.818,0.343,10,1
9.833,0.253,184,1
8.3,0.295,121,1
3.714,0.302,36,1
51.1,0.134,534,1
8.75,0.388,98,1
1.833,0.348,15,1
3.833,0.377,22,1
5.75,0.318,56,1
32.625,0.218,340,1
50.333,0.08,269,1
2.111,0.292,19,1
5.909,0.39,107,1
6.2,0.265,75,1
6,0.228,110,1
7.143,0.266,64,1
31.462,0.312,547,1
1.625,0.452,24,1
4.529,0.314,140,1
0.8,0.45,3,1
4.833,0.343,62,1
0.667,0.417,2,1
7.429,0.272,81,1
10.5,0.36,125,1
26.875,0.367,243,1
5.4,0.319,94,1
1,0.286,4,1
19.667,0.196,227,1
6.3,0.298,109,1
1.2,0.433,8,1
32.778,0.2,354,1
1,0.778,1,1
8.429,0.242,56,1
31.5,0.324,227,1
50.778,0.173,555,1
24.286,0.259,503,1
2.375,0.178,18,1
2,0.357,20,1
9,0.288,79,1
22.8,0.24,495,1
9.111,0.252,93,1
4.6,0.226,16,1
4,0.402,3,1
3.714,0.374,41,1
12.5,0.19,170,1
1.125,0.361,12,1
1.125,0.375,16,1
9.375,0.415,105,1
2.625,0.435,31,1
19.7,0.245,258,1
11.2,0.121,26,1
28.875,0.21,236,1
26.125,0.173,228,1
8.333,0.373,113,1
3.25,0.282,33,1
23.778,0.23,307,1
10.25,0.288,95,1
13.857,0.196,79,1
14.625,0.173,125,1
7.667,0.322,60,1
4,0.531,61,1
18.6,0.347,267,1
1,0.234,6,1
16.692,0.361,334,1
2.818,0.323,53,1
1.167,0.286,8,1
34.167,0.333,608,1
2.909,0.332,63,1
59.333,0.102,351,1
16,0.335,79,1
6,0.495,56,1
9.111,0.245,122,1
5.571,0.293,56,1
0.8,0.688,6,1
0.875,0.482,11,1
3.75,0.342,41,1
1.667,0.407,24,1
5.714,0.229,51,1
4.444,0.344,60,1
15.846,0.32,1142,1
3.714,0.445,36,1
2.857,0.229,27,1
5.286,0.282,54,1
18.444,0.274,217,1
9.8,0.376,175,1
3.8,0.387,59,1
5.875,0.362,68,1
30.889,0.258,398,1
8.7,0.375,146,1
2.333,0.323,34,1
16.889,0.379,187,1
7.818,0.283,140,1
5.222,0.492,86,1
17.077,0.377,221,1
34.083,0.302,515,1
5.625,0.197,204,1
15.125,0.431,134,1
16.778,0.185,181,1
20.286,0.365,285,1
6,0.235,52,1
3.2,0.425,25,1
1.571,0.364,19,1
2.8,0.557,14,1
2.778,0.378,40,1
2.429,0.336,27,1
6.625,0.192,218,1
12.889,0.339,190,1
1.75,0.286,1,1
16.444,0.198,198,1
1.2,0.333,4,1
13.357,0.265,300,1
6.75,0.188,53,1
6.75,0.275,87,1
7.6,0.474,119,1
7.5,0.456,75,1
6,0.221,62,1
2.222,0.261,28,1
11.182,0.48,113,1
2,0.367,23,1
2.143,0.705,12,1
16.727,0.455,195,1
6.111,0.259,87,1
15.857,0.254,131,1
1.7,0.482,12,1
24.714,0.207,187,1
1.857,0.33,21,1
7.8,0.255,113,1
27.933,0.345,482,1
17.111,0.406,192,1
0.667,0.51,7,1
17.727,0.358,256,1
9.111,0.408,126,1
15.5,0.276,101,1
8.333,0.213,49,1
0.75,0.396,12,1
18.3,0.267,293,1
0.5,0.594,7,1
12,0.376,155,1
9.5,0.184,2,1
2.143,0.181,7,1
1.143,0.268,14,1
1.667,0.183,6,1
11,0.461,155,1
6,0.341,67,1
17.538,0.264,238,1
1.833,0.394,17,1
3.778,0.32,63,1
2.222,0.261,20,1
8.5,0.324,122,1
10.826,0.77,270,1
14.667,0.168,149,1
1.167,0.452,8,1
11.875,0.466,120,1
3.714,0.396,36,1
3.667,0.294,67,1
10.727,0.408,80,1
6,0.281,113,1
9.111,0.352,99,1
11.708,0.468,397,1
5.125,0.265,37,1
6,0.365,93,1
36.571,0.135,178,1
8.714,0.321,77,1
3.6,0.689,18,1
5.125,0.393,59,1
1,0.391,10,1
3,0.25,4,1
1.5,0.385,17,1
3,0.417,42,1
2,0.242,16,1
4,0.491,48,1
0.833,0.675,7,1
9.222,0.284,111,1
0.875,0.411,11,1
0.857,0.476,11,1
1.286,0.298,15,1
9.182,0.398,160,1
1.857,0.264,13,1
6.714,0.286,67,1
3.3,0.321,43,1
3.136,0.516,74,1
1.9,0.326,39,1
1,0.16,8,1
2.273,0.298,40,1
5.875,0.221,66,1
38.778,0.125,306,1
13.1,0.439,206,1
1.222,0.222,17,1
33.308,0.375,438,1
12.375,0.211,113,1
7.6,0.322,123,1
37,0.237,452,1
7.875,0.256,85,1
2.333,0.536,22,1
35.667,0.154,339,1
4,0.292,31,1
5.3,0.343,91,1
4.111,0.453,56,1
0.8,0.45,4,1
1.286,0.286,15,1
28.286,0.055,62,1
74,0.189,13,1
2.846,0.306,41,1
4.778,0.455,59,1
5,0.259,75,1
4.429,0.396,41,1
4.111,0.532,55,1
21.5,0.373,358,1
29.778,0.183,341,1
4.714,0.342,53,1
13.667,0.104,39,1
4,0.577,62,1
3.875,0.327,44,1
0.778,0.302,10,1
17.867,0.413,326,1
10.545,0.274,194,1
32.3,0.198,465,1
7.75,0.214,74,1
5.286,0.243,47,1
4.727,0.262,84,1
2.571,0.214,24,1
1.917,0.576,21,1
2.2,0.309,29,1
9.111,0.337,100,1
11.875,0.303,130,1
7.714,0.304,91,1
15.647,0.921,325,1
5.167,0.318,292,1
1.143,0.429,13,1
4.5,0.296,65,1
8.444,0.436,126,1
1.75,0.143,6,1
4.667,0.235,65,1
0.571,0.25,3,1
10.111,0.302,125,1
9.067,0.24,174,1
1.714,0.405,21,1
1.5,0.448,21,1
6.4,0.514,116,1
10,0.347,127,1
4,0.387,61,1
6.364,0.381,83,1
21.222,0.328,264,1
1.4,0.314,6,1
3.375,0.269,45,1
18.444,0.392,190,1
2.111,0.275,31,1
16.625,0.272,162,1
30.667,0.272,195,1
4.875,0.205,47,1
12.5,0.245,124,1
2,0.328,22,1
9,0.388,119,1
2,0.259,27,1
7.125,0.434,68,1
4.2,0.317,60,1
3.375,0.343,42,1
3,0.343,21,1
2.556,0.324,41,1
3.667,0.458,62,1
1.222,0.343,24,1
25.1,0.141,287,1
13.444,0.356,176,1
5.636,0.353,75,1
57.556,0.096,360,1
2.1,0.324,20,1
3.583,0.31,69,1
5.3,0.34,99,1
5.125,0.378,77,1
3.5,0.259,30,1
1.412,0.4,34,1
2.25,0.403,23,1
11.071,0.303,238,1
0.9,0.644,1,1
1.75,0.223,7,1
21.714,0.214,179,1
9.7,0.425,152,1
2.375,0.395,31,1
0.571,0.321,1,1
4.429,0.286,40,1
9.273,0.223,163,1
7.44,0.478,310,1
6,0.328,63,1
3.778,0.386,49,1
6,0.635,92,1
8.818,0.297,132,1
2.6,0.3,49,1
23.75,0.118,148,1
0.857,0.661,12,1
17.333,0.099,31,1
20.714,0.207,140,1
1.9,0.568,11,1
0.5,0.875,1,1
13.1,0.456,199,1
18.778,0.26,217,1
2,0.383,25,1
11,0.464,164,1
37.25,0.242,383,1
1,0.234,10,1
2.2,0.377,34,1
16.667,0.237,183,1
9,0.338,83,1
2.9,0.383,45,1
24.5,0.142,159,1
2.875,0.255,22,1
10.333,0.259,125,1
1.7,0.224,16,1
1.5,0.208,18,1
7.111,0.177,44,1
5.545,0.294,89,1
8,0.316,58,1
3.4,0.279,51,1
10.143,0.394,105,1
1,0.25,10,1
4.333,0.423,28,1
4.75,0.25,55,1
7.44,0.456,263,1
7.75,0.505,305,1
0.857,0.357,9,1
10.4,0.208,40,1
1.6,0.3,26,1
16.5,0.36,181,1
4.333,0.293,50,1
1.889,0.229,21,1
17.857,0.29,160,1
19,0.27,164,1
4.4,0.35,81,1
1.294,0.409,34,1
2.111,0.269,34,1
2,0.327,28,1
1,0.5,11,1
17.25,0.2,292,1
5.222,0.274,48,1
4.818,0.225,38,1
4,0.314,79,1
1.5,0.417,19,1
0.8,0.4,8,1
1,0.516,14,1
1.4,0.429,11,1
2.333,0.175,20,1
3.6,0.367,58,1
9.286,0.404,89,1
2.667,0.49,24,1
5.048,0.136,152,1
2,0.234,19,1
1.857,0.275,19,1
1.125,0.528,12,1
26.923,0.381,386,1
1.875,0.292,19,1
3.143,0.396,33,1
19,0.255,70,1
10.75,0.494,129,1
1.5,0.273,29,1
6.8,0.224,29,1
33,0.225,518,1
0.8,0.35,3,1
1.857,0.341,17,1
12.333,0.218,128,1
9.125,0.433,92,1
12.6,0.368,58,1
0.8,0.6,5,1
1,0.4,2,1
2.4,0.6,12,1
8.923,0.279,183,1
1.875,0.467,25,1
26.8,0.395,180,1
5.833,0.533,42,1
0.875,0.357,11,1
5.4,0.378,65,1
4,0.47,20,1
2,0.422,29,1
0.6,0.6,1,1
0.889,0.681,4,1
4.1,0.276,70,1
11.455,0.273,180,1
7.111,0.491,110,1
2.222,0.55,10,1
6.667,0.296,52,1
18,0.389,2,1
1.714,0.369,20,1
50.9,0.097,401,1
3.556,0.365,47,1
2.929,0.271,70,1
1.5,0.3,24,1
22.583,0.259,423,1
2.1,0.457,33,1
14.444,0.448,199,1
23.706,0.349,440,1
16.167,0.266,85,1
2.5,0.384,39,1
14.125,0.21,135,1
10.385,0.492,157,1
9,0.332,116,1
7.8,0.381,118,1
9.429,0.294,93,1
2.6,0.462,7,1
0.375,0.458,4,1
6.375,0.306,64,1
7.818,0.332,143,1
17.6,0.257,263,1
8,0.319,86,1
8.333,0.327,49,1
1.167,0.524,11,1
6.625,0.33,67,1
2.333,0.274,18,1
19.333,0.15,193,1
3.75,0.354,42,1
10.231,0.36,127,1
2.2,0.6,12,1
3.25,0.389,35,1
27,0.593,4,1
4.125,0.375,62,1
2.8,0.543,19,1
15.182,0.371,238,1
4,0.286,36,1
44.125,0.07,165,1
3.3,0.294,53,1
9.364,0.156,123,1
5.2,0.319,89,1
0.9,0.356,20,1
4.333,0.444,57,1
59.222,0.167,596,1
8.3,0.266,105,1
1.571,0.351,15,1
1.5,0.417,23,1
3.2,0.25,10,1
11.833,0.329,89,1
2.2,0.591,20,1
0.5,0.406,6,1
1.75,0.393,19,1
11.778,0.373,127,1
13.917,0.225,234,1
5.857,0.213,46,1
3.4,0.356,61,1
1.857,0.363,15,1
1,0.469,11,1
1,0.52,6,1
4.25,0.426,63,1
2,0.375,18,1
27.364,0.308,458,1
4.1,0.463,68,1
22.429,0.379,357,1
8.8,0.241,21,1
4.429,0.281,39,1
1,0.52,6,1
39.778,0.385,525,1
25.429,0.242,213,1
5.7,0.407,79,1
13,0.769,2,1
3.462,0.429,38,1
0.8,0.65,4,1
6.429,0.254,57,1
7.667,0.315,41,1
4.6,0.504,24,1
2.8,0.386,16,1
3,0.292,10,1
4.429,0.461,41,1
10.44,0.887,326,1
8.875,0.407,112,1
1.8,0.333,8,1
5.444,0.265,73,1
12.1,0.37,186,1
1.125,0.403,15,1
0.4,0.7,1,1
4.429,0.276,48,1
3.222,0.414,45,1
1.167,0.357,7,1
2,0.603,17,1
4.667,0.149,17,1
2.556,0.304,39,1
3.889,0.362,58,1
8.857,0.189,64,1
0.25,0.563,1,1
6.5,0.445,112,1
3.875,0.371,46,1
13.857,0.211,95,1
19.167,0.164,130,1
5,0.494,55,1
2.75,0.403,35,1
0.857,0.333,8,1
3.9,0.31,62,1
11,0.288,132,1
12.455,0.317,177,1
11.667,0.449,389,1
27.25,0.144,195,1
2.5,0.392,47,1
3.222,0.307,41,1
9.182,0.253,164,1
1.429,0.286,9,1
20.111,0.35,216,1
27.2,0.191,348,1
1,0.347,8,1
3,0.507,12,1
11.692,0.312,220,1
24,0.479,72,1
30,0.194,279,1
29.2,0.203,397,1
5,0.319,61,1
5.25,0.39,54,1
11.75,0.298,24,1
3.7,0.592,27,1
2,0.54,12,1
10.333,0.278,140,1
6.833,0.224,46,1
5.222,0.371,57,1
43.25,0.166,339,1
1,0.306,9,1
8.6,0.456,69,1
2.333,0.487,28,1
4.778,0.509,55,1
2.857,0.493,38,1
2.286,0.446,25,1
1.857,0.308,18,1
65.625,0.095,297,1
10.375,0.294,90,1
7.8,0.41,48,1
8.571,0.286,80,1
2.125,0.529,25,1
16.4,0.361,70,1
29.778,0.132,258,1
6.25,0.28,21,1
2.538,0.245,27,1
2.857,0.357,27,1
9.667,0.331,176,1
19.429,0.18,142,1
0.667,0.583,4,1
15.5,0.427,163,1
3.7,0.324,65,1
0.833,0.442,10,1
4.5,0.296,59,1
3.714,0.33,29,1
0.636,0.468,10,1
2.6,0.354,44,1
2.75,0.398,27,1
19,0.199,191,1
52,0.063,12,1
30.25,0.171,228,1
1.833,0.303,13,1
17.286,0.305,144,1
0.727,0.602,13,1
6.571,0.155,12,1
15.9,0.377,192,1
56.444,0.16,563,1
12.444,0.213,135,1
5.545,0.361,48,1
2.6,0.477,21,1
49.9,0.147,575,1
5.435,0.953,132,1
2,0.486,16,1
22.273,0.252,365,1
56.667,0.149,533,1
31.222,0.272,398,1
2,0.337,24,1
2,0.214,19,1
0.667,0.667,4,1
0.875,0.5,9,1
16.818,0.295,310,1
9.333,0.288,119,1
11.333,0.18,137,1
23.143,0.096,73,1
3,0.583,1,1
2.8,0.257,5,1
10.182,0.217,154,1
31.071,0.355,472,1
56.667,0.075,241,1
40,0.4,15,1
8,0.329,78,1
1.857,0.275,11,1
8.625,0.261,98,1
4.4,0.314,72,1
2.125,0.382,21,1
2,0.624,16,1
25.667,0.196,274,1
20.667,0.16,213,1
1.875,0.258,8,1
18.8,0.234,79,1
3.4,0.421,71,1
0.8,0.45,1,1
2,0.309,19,1
1.412,0.426,39,1
9.091,0.456,165,1
4.778,0.3,65,1
11.333,0.404,132,1
56.667,0.171,618,1
27.1,0.173,318,1
19.5,0.373,310,1
3.4,0.388,63,1
22.5,0.371,230,1
24.75,0.215,260,1
4.571,0.232,40,1
1.909,0.316,17,1
3.182,0.445,257,1
8.143,0.321,87,1
2.167,0.372,17,1
1.75,0.518,18,1
28.2,0.191,378,1
3.125,0.515,39,1
2,0.357,19,1
3.875,0.351,44,1
13.667,0.39,153,1
1.167,0.5,12,1
0.75,0.458,8,1
1,0.327,7,1
4,0.549,54,1
0.727,0.409,1,1
7.5,0.451,119,1
16,0.217,86,1
11.615,0.302,229,1
16.2,0.311,97,1
6.7,0.3,94,1
9.111,0.383,108,1
22.5,0.21,124,1
7.083,0.931,223,1
21.889,0.274,278,1
1,0.203,3,1
39.111,0.205,486,1
1,0.56,2,1
4.875,0.362,65,1
5.8,0.4,31,1
4,0.49,31,1
1.857,0.308,21,1
2.923,0.312,45,1
0.714,0.429,6,1
6.4,0.477,109,1
34.167,0.324,645,1
2.125,0.265,21,1
8.417,0.292,178,1
36.778,0.126,308,1
0.667,0.625,3,1
23.875,0.375,444,1
31,0.097,181,1
26.667,0.179,306,1
6.917,0.905,211,1
2.778,0.329,29,1
27.556,0.33,308,1
1.4,0.657,6,1
4.333,0.519,36,1
8.111,0.298,77,1
8.6,0.145,103,1
6.625,0.347,76,1
9.111,0.428,133,1
1.889,0.183,16,1
12.6,0.21,45,1
29,0.178,548,1
1.75,0.286,12,1
8.375,0.392,91,1
3.75,0.233,45,1
9.556,0.394,107,1
59.333,0.169,607,1
1.8,0.467,10,1
5.5,0.284,70,1
3,0.36,20,1
12.1,0.402,180,1
2.875,0.348,32,1
3,0.385,41,1
14,0.36,206,1
1.286,0.349,13,1
8.125,0.269,100,1
9.75,0.244,113,1
2.167,0.308,17,1
1.556,0.278,17,1
4.9,0.59,93,1
5.143,0.409,56,1
18.875,0.174,178,1
27.583,0.237,431,1
15,0.259,82,1
23.727,0.243,361,1
2.7,0.63,28,1
18.143,0.377,284,1
1.9,0.363,28,1
5.111,0.297,74,1
59.444,0.146,534,1
2.667,0.352,35,1
1.75,0.482,16,1
5,0.463,60,1
2,0.359,23,1
5,0.445,44,1
1.167,0.357,26,1
10.714,0.225,114,1
40,0.2,7,1
0.6,0.467,1,1
4.875,0.388,55,1
6.571,0.304,64,1
39.222,0.187,411,1
2,0.361,18,1
8.929,0.289,228,1
3.227,0.499,71,1
2,0.417,25,1
13.625,0.219,119,1
139.5,0.075,40,1
10.667,0.281,124,1
4.125,0.39,60,1
28.357,0.342,420,1
22.583,0.248,433,1
5.5,0.432,26,1
0.429,0.571,3,1
20.143,0.163,139,1
5.429,0.301,55,1
3.25,0.25,38,1
22.667,0.329,393,1
8.286,0.212,38,1
21.75,0.223,364,1
6.455,0.461,65,1
3.375,0.282,45,1
5,0.494,47,1
0.7,0.329,13,1
