@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
3,1,0.889,1
8,32.625,0.218,1
9,56.667,0.148,1
8,3.5,0.397,1
8,4.125,0.326,1
7,2.714,0.361,1
5,2.2,0.436,1
13,5.923,0.298,1
8,8,0.301,1
8,10.5,0.36,1
7,2.857,0.429,1
39,9.051,0.557,1
8,9.5,0.475,1
10,9.8,0.392,1
4,4.25,0.191,1
11,7.364,0.339,1
8,7,0.424,1
8,6.25,0.428,1
5,1.2,0.367,1
7,6.571,0.416,1
10,9.9,0.473,1
12,5.917,0.608,1
9,24.222,0.148,1
10,4.5,0.282,1
12,22.667,0.249,1
7,5.857,0.213,1
7,3,0.286,1
8,1,0.25,1
25,16.4,0.272,1
9,0.556,0.244,1
11,4.091,0.267,1
9,2.556,0.246,1
9,7.667,0.343,1
8,3.625,0.444,1
17,1.235,0.373,1
9,5.222,0.371,1
8,6.625,0.347,1
10,25.6,0.363,1
11,2.091,0.585,1
7,2,0.347,1
10,1.1,0.427,1
5,1.6,0.55,1
11,3.909,0.336,1
28,4.893,0.265,1
8,1.625,0.423,1
9,16.667,0.237,1
5,2.8,0.557,1
8,1.5,0.531,1
10,50.8,0.16,1
6,1.667,0.183,1
8,22.5,0.199,1
9,3.556,0.365,1
8,1.5,0.396,1
10,4.3,0.256,1
7,49.429,0.185,1
11,0.727,0.705,1
8,30,0.193,1
8,0.875,0.429,1
9,14.778,0.236,1
8,10.25,0.418,1
10,7.6,0.474,1
7,6.571,0.354,1
5,2.8,0.386,1
7,3.286,0.329,1
8,12.5,0.245,1
9,1.889,0.608,1
6,16.667,0.342,1
16,26.063,0.381,1
8,1.25,0.425,1
7,1.714,0.417,1
25,7.12,0.49,1
1,89,0.169,1
8,8.875,0.31,1
7,1.857,0.791,1
1,65,0.2,1
7,17.571,0.265,1
8,27,0.408,1
9,59.444,0.126,1
9,14.222,0.219,1
8,2.375,0.395,1
10,4,0.278,1
7,3,0.313,1
8,4.5,0.465,1
9,23.667,0.203,1
11,20.727,0.282,1
12,6.917,0.253,1
9,3.222,0.23,1
1,7,1,1
9,1.333,0.37,1
7,3,0.327,1
10,18.1,0.491,1
11,0.818,0.404,1
8,0.375,0.458,1
7,3,0.259,1
8,4.25,0.36,1
3,9,0.481,1
8,34,0.186,1
8,3.25,0.37,1
10,9.7,0.423,1
7,7,0.318,1
7,2.857,0.436,1
11,1,0.388,1
9,11.444,0.243,1
15,0.733,0.503,1
10,8.8,0.248,1
11,7.818,0.332,1
6,28.667,0.294,1
8,5.75,0.318,1
7,21.714,0.214,1
13,2.923,0.312,1
10,4.9,0.59,1
12,9.833,0.309,1
10,20.5,0.381,1
9,13.222,0.422,1
9,2.222,0.35,1
9,12,0.329,1
12,7.583,0.281,1
11,3.091,0.364,1
8,6.5,0.38,1
6,3.5,0.238,1
8,1.125,0.528,1
10,7.9,0.306,1
8,1.625,0.471,1
12,0.75,0.509,1
7,0.857,0.5,1
5,2.6,0.554,1
5,3.4,0.388,1
6,1.833,0.364,1
8,3.375,0.269,1
8,1.125,0.458,1
7,1.286,0.349,1
9,27.667,0.346,1
10,10.8,0.319,1
10,7.9,0.244,1
12,1.917,0.417,1
12,9.75,0.2,1
14,13.357,0.265,1
10,0.8,0.4,1
9,1.889,0.235,1
8,1.125,0.431,1
9,11.889,0.209,1
9,18.778,0.353,1
9,18.333,0.337,1
8,2.375,0.355,1
23,3.783,0.286,1
10,2.2,0.332,1
9,10.111,0.302,1
7,2.571,0.468,1
7,5.429,0.414,1
8,3.25,0.293,1
10,11.9,0.202,1
9,9.111,0.252,1
7,5.286,0.301,1
7,1.571,0.364,1
11,12.818,0.366,1
8,8.625,0.279,1
9,0.556,0.467,1
11,26.182,0.248,1
7,4.429,0.267,1
7,28.286,0.17,1
8,3.75,0.225,1
11,1.818,0.564,1
9,2.222,0.55,1
10,2,0.61,1
5,1.8,0.333,1
9,33.222,0.133,1
10,0.7,0.429,1
10,3.3,0.391,1
7,1.714,0.226,1
6,13.833,0.329,1
4,3.75,0.267,1
11,6.636,0.27,1
2,15.5,0.194,1
7,0.571,0.25,1
9,4.444,0.483,1
9,18.444,0.336,1
4,24,0.479,1
5,1,0.52,1
6,3,0.287,1
7,0.571,0.321,1
7,2.429,0.261,1
10,3.1,0.197,1
7,1.429,0.286,1
5,5.6,0.329,1
11,1.727,0.598,1
5,2.2,0.345,1
8,2.875,0.462,1
10,8.3,0.266,1
9,8.889,0.333,1
9,8.778,0.323,1
14,6.5,0.389,1
9,20.333,0.218,1
6,1.667,0.267,1
7,1.571,0.325,1
16,25.938,0.389,1
7,1.857,0.78,1
9,3.556,0.417,1
3,1,0.778,1
7,0.857,0.333,1
10,0.9,0.356,1
8,15.5,0.427,1
5,0.8,0.35,1
11,4.909,0.316,1
8,1.25,0.375,1
1,167,0.192,1
9,5.889,0.252,1
5,1.2,0.233,1
11,2.273,0.335,1
7,3,0.293,1
9,13.333,0.176,1
7,0.571,0.25,1
11,2.909,0.335,1
7,5.714,0.186,1
8,3.25,0.346,1
27,11.852,0.321,1
7,9.857,0.188,1
10,5.1,0.306,1
6,8.333,0.24,1
7,4.429,0.396,1
8,49.75,0.279,1
22,3.273,0.469,1
9,11.778,0.309,1
8,1.125,0.278,1
7,2,0.357,1
9,4,0.577,1
8,9.25,0.412,1
8,12.25,0.282,1
7,5,0.339,1
9,14,0.484,1
8,3.25,0.24,1
11,6.455,0.37,1
7,1.143,0.321,1
10,50.8,0.131,1
7,6.714,0.258,1
8,1.125,0.431,1
12,6,0.623,1
5,19.4,0.334,1
3,1.333,0.75,1
8,9.75,0.244,1
5,3.6,0.322,1
18,1.333,0.454,1
8,5.75,0.34,1
11,7.636,0.291,1
9,1.556,0.706,1
12,1.667,0.525,1
9,3.667,0.377,1
13,27.231,0.38,1
9,4.667,0.312,1
7,1.143,0.304,1
10,4.2,0.355,1
79,2.013,0.319,1
13,15.462,0.4,1
12,7.417,0.429,1
25,11.68,0.479,1
7,1.429,0.329,1
5,6.8,0.224,1
8,1.5,0.438,1
7,1.857,0.363,1
7,4.429,0.304,1
8,1.625,0.625,1
7,1,0.388,1
14,4.143,0.683,1
10,8.5,0.324,1
9,51.556,0.158,1
8,5.25,0.414,1
9,1.556,0.333,1
9,3,0.346,1
8,1.5,0.417,1
10,10,0.212,1
12,3.667,0.294,1
10,1.6,0.3,1
10,3,0.367,1
5,5.8,0.538,1
8,5.375,0.398,1
7,1.429,0.286,1
7,2.429,0.336,1
8,2.125,0.456,1
7,3.571,0.349,1
11,3.727,0.337,1
8,23.25,0.399,1
6,8,0.316,1
6,4.5,0.241,1
7,3.286,0.447,1
6,17.167,0.248,1
10,4.9,0.196,1
7,1.857,0.264,1
14,0.786,0.526,1
10,4.2,0.317,1
8,1,0.5,1
11,5.182,0.343,1
8,1.875,0.292,1
15,2.067,0.204,1
12,14.667,0.302,1
16,21.063,0.369,1
7,5,0.302,1
25,19.8,0.464,1
8,12.25,0.221,1
6,16,0.234,1
8,3.375,0.236,1
10,3.6,0.264,1
8,15.125,0.431,1
12,3.75,0.467,1
6,1.667,0.483,1
8,42.5,0.183,1
5,0.8,0.45,1
8,3.625,0.401,1
8,4.75,0.408,1
10,3.3,0.318,1
7,3.286,0.373,1
4,3,0.25,1
10,12,0.279,1
9,2.111,0.298,1
8,1.125,0.389,1
9,19,0.121,1
10,1.3,0.285,1
9,59.444,0.192,1
7,1.857,0.286,1
9,17.556,0.217,1
9,34.889,0.156,1
7,2.286,0.304,1
8,1.5,0.438,1
7,2.143,0.229,1
16,26.5,0.371,1
5,8.6,0.33,1
7,0.714,0.257,1
10,1.9,0.142,1
10,8.6,0.326,1
8,0.125,1,1
13,10.615,0.232,1
11,5.182,0.271,1
25,7.4,0.479,1
9,6.444,0.351,1
7,1.571,0.351,1
7,17.429,0.281,1
13,38.308,0.281,1
7,6.143,0.249,1
8,2,0.242,1
7,3,0.354,1
6,0.333,0.583,1
14,26.5,0.38,1
9,11.889,0.383,1
10,26.2,0.185,1
7,0.571,0.357,1
9,20.333,0.327,1
5,3.2,0.25,1
9,20.667,0.16,1
7,4.571,0.339,1
8,0.75,0.313,1
9,9.333,0.407,1
11,15.182,0.371,1
8,5.625,0.492,1
11,23.727,0.246,1
8,1,0.234,1
10,6.5,0.445,1
10,6.4,0.189,1
9,1.111,0.344,1
6,1.333,0.646,1
10,3.2,0.334,1
10,3.2,0.306,1
6,1,0.306,1
7,4.143,0.36,1
9,12,0.345,1
8,1.125,0.375,1
13,16.385,0.359,1
7,6.571,0.298,1
10,19.7,0.245,1
12,1.833,0.542,1
8,2.375,0.184,1
8,26.875,0.404,1
11,2.727,0.379,1
14,7.286,0.356,1
7,3.571,0.303,1
7,1.714,0.476,1
10,15.1,0.193,1
5,23.2,0.376,1
9,29.333,0.261,1
6,6.667,0.296,1
11,24.636,0.176,1
7,1.571,0.143,1
7,6.714,0.286,1
10,4,0.295,1
9,1.333,0.426,1
7,1.714,0.393,1
8,1.125,0.361,1
10,3.8,0.424,1
4,1,0.5,1
4,28.5,0.393,1
10,3.5,0.337,1
10,25.8,0.337,1
9,1,0.358,1
8,7.75,0.363,1
10,6.6,0.273,1
12,22.667,0.329,1
7,2.857,0.257,1
9,28.778,0.189,1
10,8.8,0.257,1
10,18.5,0.36,1
13,17.308,0.253,1
10,3.4,0.426,1
11,22.273,0.252,1
9,11.889,0.191,1
9,3.778,0.412,1
6,2.833,0.294,1
13,22.846,0.409,1
10,3.1,0.284,1
7,21,0.215,1
5,4,0.47,1
7,6,0.333,1
7,4.429,0.461,1
7,45,0.056,1
8,22.5,0.371,1
3,3,0.296,1
12,10.667,0.339,1
9,9.667,0.444,1
12,8.75,0.37,1
13,3.385,0.171,1
9,7.889,0.294,1
10,50.4,0.139,1
10,15.5,0.35,1
8,5,0.463,1
5,6.8,0.141,1
7,3.857,0.101,1
3,1,0.778,1
12,9.667,0.246,1
7,5.429,0.301,1
8,1.5,0.208,1
5,1.4,0.371,1
10,1.9,0.311,1
11,8.545,0.38,1
38,5.974,0.304,1
14,2.429,0.279,1
7,0.714,0.514,1
9,4.556,0.374,1
4,23.75,0.311,1
9,3.889,0.26,1
11,16.727,0.455,1
8,18.875,0.174,1
8,0.625,0.375,1
9,24.111,0.168,1
13,33.846,0.255,1
19,23.947,0.081,1
8,4,0.387,1
8,32,0.124,1
6,17.667,0.129,1
10,1.6,0.444,1
10,0.9,0.644,1
8,2,0.344,1
7,5.571,0.253,1
8,4,0.23,1
10,27.1,0.173,1
8,7.875,0.435,1
9,10.222,0.287,1
25,8.12,0.837,1
9,33.889,0.191,1
11,7,0.345,1
9,56.778,0.225,1
7,1.857,0.33,1
8,1.5,0.427,1
6,16,0.259,1
8,1.625,0.529,1
10,6.1,0.487,1
8,43.25,0.166,1
9,11.333,0.193,1
11,3.182,0.351,1
9,5.222,0.385,1
15,23.733,0.398,1
6,15,0.394,1
7,3,0.306,1
6,6.667,0.221,1
8,1.75,0.339,1
9,10.222,0.365,1
10,27.1,0.199,1
7,9,0.288,1
7,2,0.184,1
9,1.111,0.344,1
10,2.2,0.377,1
11,23.727,0.233,1
10,25,0.12,1
8,2.75,0.398,1
9,19.111,0.171,1
10,1.2,0.55,1
10,18.9,0.263,1
8,3.875,0.427,1
5,0.6,0.6,1
9,2.444,0.268,1
8,2.125,0.228,1
7,1,0.306,1
8,0.5,0.375,1
6,16.833,0.411,1
9,6.111,0.299,1
9,18.444,0.392,1
9,7,0.284,1
8,15.75,0.469,1
6,2.667,0.198,1
9,11.333,0.183,1
12,1.667,0.546,1
10,7.9,0.385,1
10,5.8,0.3,1
24,7.417,0.491,1
2,22.5,0.078,1
10,3.1,0.281,1
10,0.8,0.5,1
12,1.833,0.58,1
8,2.375,0.382,1
7,1.714,0.476,1
6,4.833,0.333,1
5,5.8,0.276,1
10,1,0.56,1
10,1.2,0.142,1
9,27.222,0.16,1
9,2.111,0.292,1
10,1.7,0.318,1
7,4.857,0.252,1
9,5.778,0.37,1
7,11.429,0.155,1
5,6.2,0.361,1
8,1.75,0.384,1
7,2.429,0.429,1
9,14.667,0.189,1
9,4.778,0.3,1
26,7.077,0.773,1
14,13.286,0.307,1
8,17.625,0.371,1
7,1.857,0.33,1
10,1,0.52,1
7,2,0.357,1
9,11.889,0.217,1
9,5.778,0.286,1
10,0.9,0.667,1
9,3,0.346,1
9,2.222,0.3,1
8,6.875,0.225,1
14,18.071,0.372,1
10,3.8,0.308,1
8,5.75,0.285,1
10,3.1,0.645,1
12,34.167,0.324,1
8,2.75,0.438,1
10,15.4,0.342,1
9,27.889,0.187,1
7,4.429,0.221,1
6,5.833,0.533,1
6,4.667,0.327,1
9,4.111,0.453,1
7,9.429,0.171,1
9,9.111,0.374,1
8,3.75,0.242,1
7,1.286,0.46,1
7,1.857,0.308,1
6,16.167,0.282,1
10,1.8,0.539,1
7,1.571,0.234,1
7,5,0.408,1
7,2.714,0.346,1
8,1.25,0.313,1
6,0.667,0.667,1
7,8.714,0.319,1
8,16.5,0.31,1
7,7.143,0.214,1
9,9.222,0.376,1
11,10.727,0.408,1
5,5,0.4,1
5,13.8,0.249,1
9,33.444,0.178,1
8,1.5,0.406,1
8,24.875,0.115,1
10,1.6,0.619,1
7,3.714,0.396,1
9,23.444,0.219,1
6,13.667,0.274,1
7,4.286,0.338,1
5,1.8,0.533,1
7,17.286,0.272,1
8,1.875,0.475,1
8,0.625,0.35,1
9,5,0.319,1
10,26.2,0.19,1
12,3.333,0.271,1
8,2.625,0.381,1
10,2.6,0.354,1
4,24.5,0.523,1
10,5,0.326,1
9,3.667,0.347,1
8,2.5,0.375,1
10,5.7,0.556,1
4,5,0.388,1
11,2,0.624,1
8,6.625,0.33,1
9,2.111,0.386,1
24,11.708,0.468,1
8,1.875,0.267,1
8,1.75,0.223,1
24,14.167,0.211,1
6,7.333,0.447,1
7,1.571,0.364,1
12,5.75,0.4,1
9,5.111,0.338,1
7,14.286,0.411,1
8,3.875,0.371,1
11,21.455,0.354,1
3,2.667,0.333,1
11,23.727,0.231,1
8,5.875,0.324,1
5,9.2,0.174,1
8,2.125,0.36,1
9,0.667,0.5,1
9,2.556,0.222,1
10,1.9,0.563,1
9,5.778,0.359,1
8,0.625,0.525,1
9,19.889,0.341,1
10,1.9,0.605,1
7,7,0.297,1
10,2,0.485,1
5,2.4,0.6,1
10,28.5,0.175,1
9,59.333,0.163,1
9,2.333,0.487,1
10,2.1,0.348,1
9,30.222,0.269,1
1,40,0.9,1
11,8.818,0.297,1
10,0.7,0.329,1
9,12,0.247,1
8,30.25,0.171,1
8,0.375,0.417,1
7,1.286,0.429,1
7,0.286,0.5,1
10,2.1,0.324,1
9,9.111,0.364,1
9,2,0.605,1
9,2.667,0.218,1
11,8.364,0.361,1
7,32.571,0.154,1
10,17,0.261,1
8,7.375,0.206,1
10,4.4,0.393,1
12,27.667,0.402,1
4,11,0.267,1
8,42.75,0.163,1
8,1.625,0.587,1
8,1,0.484,1
9,2.333,0.302,1
8,7.25,0.442,1
9,17.778,0.36,1
7,16,0.168,1
3,1.333,0.667,1
8,2.75,0.398,1
5,8,0.44,1
19,6.842,0.208,1
19,6.474,0.089,1
8,3.75,0.242,1
12,3.583,0.293,1
7,3.286,0.286,1
10,25.6,0.371,1
10,5.9,0.269,1
1,47,0.426,1
13,5.154,0.441,1
6,1.833,0.197,1
12,7.5,0.183,1
6,10.333,0.234,1
9,0.778,0.302,1
5,0.6,0.467,1
8,5.75,0.348,1
12,26.667,0.231,1
10,1.5,0.247,1
11,0.818,0.465,1
19,0.632,0.303,1
10,27.2,0.191,1
7,3.714,0.374,1
9,13.889,0.21,1
1,88,0.193,1
7,3,0.388,1
8,5,0.281,1
9,11,0.288,1
9,4,0.506,1
14,14.5,0.362,1
9,13,0.419,1
11,7.818,0.283,1
10,2,0.4,1
7,5.429,0.259,1
9,9,0.332,1
5,3,0.093,1
11,5.455,0.271,1
10,4.8,0.579,1
7,74.429,0.091,1
8,39.875,0.174,1
9,4.111,0.333,1
9,5,0.306,1
1,95,0.379,1
8,2.125,0.419,1
17,1.412,0.426,1
11,5.182,0.295,1
23,2.043,0.315,1
7,6.286,0.218,1
9,13.444,0.322,1
10,5.1,0.28,1
9,2.222,0.55,1
7,0.857,0.357,1
10,27.1,0.249,1
9,28.444,0.099,1
10,9.6,0.418,1
7,0.857,0.333,1
22,0.909,0.28,1
8,1.5,0.427,1
7,1.571,0.364,1
9,13.667,0.395,1
7,1,0.347,1
8,1.125,0.431,1
7,1.143,0.357,1
8,10,0.298,1
4,4,0.391,1
7,23.143,0.096,1
5,2.6,0.262,1
9,1.444,0.368,1
7,2,0.316,1
7,5.857,0.185,1
8,37.75,0.211,1
10,2.3,0.361,1
8,1.75,0.402,1
9,12,0.389,1
9,8.111,0.376,1
9,9.333,0.288,1
9,8.889,0.333,1
9,13.111,0.372,1
22,3.273,0.52,1
11,5.818,0.25,1
6,8.333,0.397,1
6,2.333,0.56,1
9,3.556,0.33,1
9,3.667,0.458,1
7,2.714,0.406,1
7,9.286,0.215,1
7,31.857,0.205,1
26,6.538,0.188,1
10,3.4,0.279,1
8,0.875,0.5,1
7,1.143,0.339,1
9,4.556,0.244,1
9,16.444,0.194,1
9,54.444,0.067,1
9,12.333,0.209,1
8,3,0.328,1
9,10.222,0.24,1
6,11.833,0.329,1
11,1.818,0.577,1
14,1.286,0.298,1
9,59.333,0.184,1
8,4.625,0.334,1
9,4.111,0.39,1
4,1,0.438,1
12,9.583,0.256,1
1,60,0.2,1
7,53.571,0.092,1
7,20.143,0.163,1
10,28.8,0.191,1
4,7,0.455,1
6,7.5,0.456,1
5,3,0.507,1
38,1.368,0.452,1
9,13.333,0.331,1
6,1.333,0.542,1
9,7,0.289,1
14,0.857,0.429,1
7,28.286,0.055,1
11,10.727,0.459,1
10,4.6,0.363,1
5,3.6,0.689,1
10,53.5,0.166,1
9,59.444,0.165,1
11,1.091,0.295,1
9,9.222,0.292,1
9,8.111,0.298,1
1,45,0.356,1
7,2.571,0.302,1
8,8.125,0.302,1
13,17.385,0.258,1
7,2.143,0.314,1
9,5.222,0.336,1
8,1.125,0.389,1
6,2,0.375,1
12,7,0.42,1
8,3.25,0.236,1
7,2.143,0.371,1
11,1.182,0.42,1
8,1.125,0.417,1
10,1.8,0.522,1
6,2.167,0.346,1
9,4.111,0.598,1
7,8.857,0.272,1
8,2.625,0.482,1
7,3,0.286,1
7,2.429,0.16,1
9,6,0.391,1
8,2.25,0.361,1
8,4.25,0.379,1
10,13.1,0.456,1
8,8.375,0.381,1
8,18.5,0.196,1
7,9.143,0.498,1
10,6.7,0.321,1
9,30.889,0.176,1
14,14.357,0.373,1
4,2.25,0.417,1
8,2.875,0.353,1
10,3,0.307,1
8,30.25,0.128,1
8,3,0.438,1
7,3.286,0.248,1
7,2.143,0.333,1
6,16,0.238,1
9,5.444,0.222,1
6,4.667,0.149,1
11,17.727,0.358,1
6,7.833,0.177,1
13,2.923,0.285,1
5,1.4,0.457,1
9,15,0.249,1
7,1.571,0.221,1
5,1.4,0.4,1
9,59.444,0.156,1
7,5.143,0.365,1
9,1.333,0.407,1
7,2,0.327,1
10,23.4,0.188,1
14,2.714,0.227,1
8,0.75,0.313,1
7,1.143,0.25,1
8,2.125,0.265,1
24,19.625,0.474,1
9,9,0.287,1
9,1.778,0.208,1
8,6.25,0.253,1
13,2.923,0.33,1
8,28.875,0.21,1
9,1.333,0.389,1
4,2.75,0.432,1
5,7.6,0.316,1
6,1.167,0.452,1
15,17.867,0.413,1
9,29.333,0.197,1
8,2,0.258,1
7,5.286,0.282,1
31,10.387,0.689,1
10,24.9,0.294,1
10,5.1,0.337,1
12,6.667,0.324,1
9,1.333,0.454,1
25,10.44,0.887,1
1,42,0.405,1
7,2.429,0.395,1
9,0.889,0.681,1
7,0.571,0.286,1
9,12.111,0.219,1
6,8.167,0.32,1
28,1.143,0.501,1
9,4.889,0.24,1
10,2,0.435,1
10,0.9,0.3,1
7,1.571,0.416,1
5,3.2,0.563,1
9,11.889,0.357,1
7,1.857,0.67,1
20,1.5,0.433,1
8,1.25,0.438,1
11,2,0.277,1
8,1.875,0.325,1
25,4.6,0.296,1
2,34.5,0.087,1
8,10.375,0.325,1
7,13.571,0.296,1
11,7.727,0.268,1
8,2.5,0.394,1
8,1.5,0.385,1
5,3.2,0.425,1
9,0.889,0.222,1
11,11.091,0.256,1
15,4.467,0.293,1
9,9,0.348,1
13,18.615,0.231,1
7,2,0.255,1
8,1.125,0.319,1
7,6.143,0.545,1
13,11.308,0.358,1
5,1.6,0.35,1
1,25,1,1
7,5.429,0.353,1
9,4.556,0.336,1
5,2.8,0.543,1
7,2,0.378,1
9,20.111,0.375,1
10,2.3,0.317,1
5,7.2,0.406,1
10,0.4,0.375,1
8,7.625,0.342,1
13,9.308,0.376,1
10,4,0.338,1
11,23.818,0.238,1
8,5.625,0.206,1
13,30.769,0.364,1
7,1.571,0.299,1
8,3.125,0.33,1
13,18.385,0.239,1
7,0.714,0.486,1
8,1.75,0.357,1
4,11,0.267,1
8,10.25,0.412,1
8,4.25,0.371,1
8,3.75,0.233,1
7,6.857,0.33,1
23,10.826,0.77,1
7,1.286,0.333,1
8,6.125,0.406,1
10,5.1,0.308,1
6,1.333,0.417,1
9,4.333,0.368,1
8,7.5,0.335,1
9,31,0.097,1
9,29.667,0.131,1
8,5,0.409,1
6,4.667,0.369,1
6,24.333,0.325,1
19,1.474,0.588,1
9,20.667,0.425,1
7,1.714,0.25,1
10,4.8,0.36,1
9,59.556,0.091,1
8,4.375,0.396,1
7,2,0.265,1
8,1.5,0.583,1
8,2.5,0.5,1
5,2.2,0.364,1
10,21.2,0.24,1
7,2.857,0.493,1
8,5.375,0.392,1
9,4.333,0.259,1
9,8.778,0.343,1
8,20.25,0.327,1
9,8.333,0.396,1
12,0.667,0.615,1
11,0.727,0.716,1
7,0.571,0.393,1
12,9.833,0.253,1
13,16.692,0.361,1
7,13.857,0.211,1
11,1.091,0.432,1
6,8.167,0.241,1
7,13.714,0.274,1
11,2.818,0.323,1
9,3.778,0.225,1
24,7.75,0.505,1
9,59.556,0.154,1
14,28.357,0.342,1
6,16,0.262,1
8,1.5,0.396,1
11,0.727,0.58,1
7,1.571,0.247,1
9,3.778,0.288,1
8,19.625,0.446,1
8,11,0.195,1
8,6,0.354,1
7,2.857,0.379,1
9,16.889,0.379,1
9,4.444,0.386,1
7,23.429,0.281,1
10,14.3,0.355,1
10,0.9,0.344,1
8,10.75,0.494,1
7,22.429,0.439,1
14,28.714,0.399,1
8,5.875,0.266,1
8,10.125,0.221,1
11,22.818,0.355,1
9,39.111,0.205,1
9,1,0.296,1
9,5.333,0.273,1
5,1.6,0.425,1
8,1,0.516,1
7,2.571,0.238,1
5,1.4,0.686,1
8,2.375,0.178,1
10,15.7,0.233,1
9,3.778,0.209,1
38,2.526,0.431,1
7,14.286,0.279,1
8,2.75,0.477,1
8,5.25,0.271,1
8,1.75,0.482,1
9,1.222,0.283,1
9,5.444,0.58,1
23,0.87,0.507,1
10,0.6,0.433,1
7,1.286,0.317,1
6,1.333,0.5,1
8,1.5,0.438,1
10,11.9,0.275,1
7,15.571,0.283,1
7,3.714,0.33,1
5,23,0.417,1
8,9,0.399,1
8,3.875,0.375,1
9,9.111,0.329,1
24,6.917,0.905,1
10,15,0.252,1
6,1.833,0.333,1
8,8.625,0.234,1
3,1,0.778,1
9,4,0.42,1
8,6.625,0.37,1
9,4.889,0.449,1
7,9.429,0.294,1
7,10,0.535,1
8,2.875,0.239,1
6,21.5,0.195,1
8,13.375,0.384,1
9,11.222,0.442,1
8,3.375,0.435,1
10,1.1,0.373,1
7,1.143,0.268,1
10,17.4,0.278,1
6,1.167,0.476,1
5,3.8,0.442,1
5,4.4,0.536,1
1,91,0.352,1
14,27.5,0.369,1
9,5.889,0.335,1
14,15.5,0.268,1
8,3.125,0.365,1
6,2.167,0.282,1
8,4.5,0.427,1
11,18,0.383,1
10,12.6,0.456,1
8,15.375,0.402,1
10,4.4,0.35,1
23,11.783,0.126,1
10,4.1,0.312,1
7,1,0.327,1
36,0.139,0.656,1
9,2,0.259,1
5,5.4,0.607,1
11,0.909,0.436,1
12,3.417,0.289,1
9,11.222,0.196,1
10,3.3,0.294,1
8,3.25,0.25,1
7,16.571,0.309,1
6,30.667,0.272,1
7,3,0.34,1
7,4.857,0.462,1
7,5.857,0.209,1
3,2.333,0.619,1
7,9.571,0.258,1
10,12.6,0.425,1
8,1.125,0.361,1
1,143,0.133,1
9,20.667,0.372,1
7,0.857,0.476,1
7,5.857,0.226,1
8,10.25,0.402,1
11,10.727,0.26,1
9,11.333,0.386,1
3,3,0.296,1
8,63.5,0.092,1
9,19.111,0.353,1
9,4.778,0.344,1
5,3,0.36,1
10,27.1,0.187,1
7,0.857,0.452,1
9,2.667,0.213,1
10,25.1,0.151,1
10,26.2,0.273,1
9,1.444,0.53,1
9,22,0.289,1
9,5.889,0.317,1
7,5.286,0.243,1
8,13,0.575,1
7,1.571,0.312,1
7,2.429,0.353,1
10,26.9,0.306,1
6,1.333,0.458,1
8,9.25,0.456,1
7,9,0.333,1
8,0.625,0.325,1
6,5.5,0.52,1
9,2.556,0.213,1
9,6.556,0.237,1
9,9.444,0.302,1
8,5.125,0.393,1
11,8.182,0.47,1
12,5.917,0.631,1
10,1.5,0.273,1
1,200,0.13,1
5,2.8,0.586,1
9,8.444,0.38,1
8,1.5,0.417,1
7,7.429,0.266,1
9,1,0.16,1
10,26.2,0.288,1
10,8,0.553,1
10,26.2,0.274,1
9,13.556,0.378,1
6,3.333,0.333,1
9,4.222,0.371,1
6,1.833,0.333,1
7,2.429,0.412,1
8,1.125,0.361,1
7,0.286,0.643,1
9,1.556,0.127,1
10,13.1,0.415,1
22,3.045,0.221,1
6,1.167,0.405,1
1,118,0.186,1
8,4.875,0.205,1
8,9.375,0.415,1
8,5,0.363,1
10,1.9,0.584,1
14,10.929,0.38,1
11,9.182,0.33,1
8,1.5,0.385,1
9,12.333,0.188,1
10,7.5,0.451,1
5,40.6,0.239,1
12,7,0.282,1
12,2.167,0.276,1
14,25.643,0.368,1
5,0.8,0.45,1
8,1.75,0.429,1
12,19.333,0.316,1
8,3,0.406,1
9,7.111,0.307,1
7,5.571,0.33,1
10,27.1,0.188,1
12,1.083,0.372,1
8,12.375,0.351,1
7,30.714,0.548,1
16,25.625,0.381,1
7,1.143,0.429,1
12,1.833,0.553,1
9,2.222,0.367,1
9,3.333,0.248,1
10,2.5,0.328,1
7,12.286,0.244,1
8,5.625,0.222,1
9,59.444,0.146,1
9,7.778,0.433,1
6,1.5,0.352,1
8,5.125,0.293,1
7,8,0.143,1
10,27.2,0.232,1
7,3.857,0.37,1
7,2.143,0.4,1
10,3.9,0.285,1
4,0.75,0.667,1
9,0.667,0.667,1
7,4.857,0.403,1
10,1.2,0.35,1
7,1.857,0.209,1
7,14.286,0.283,1
10,27.1,0.168,1
8,8.75,0.298,1
8,15.375,0.255,1
7,1.571,0.416,1
10,15.1,0.381,1
9,9.222,0.293,1
9,31.222,0.272,1
6,6,0.509,1
9,6.222,0.196,1
9,3.222,0.414,1
8,5.25,0.39,1
7,1.571,0.299,1
9,2.667,0.352,1
10,2.9,0.29,1
9,2.444,0.389,1
9,2.556,0.304,1
9,54.222,0.074,1
6,4,0.264,1
8,13.625,0.109,1
11,24.727,0.281,1
7,0.714,0.829,1
9,2,0.414,1
6,500,0.5,1
7,2.571,0.206,1
8,1.5,0.458,1
8,5.25,0.259,1
9,9.111,0.312,1
7,1.714,0.369,1
9,59.333,0.14,1
5,2,0.56,1
10,5.8,0.402,1
10,14.5,0.268,1
