@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R7-8,10-12,17-18,20-21,24-25,28-30,33-34,36-37'

@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
110,140,31,114,140,47,31,131,47,128,60,99,53,51,50,36,128,2
82,72,66,82,72,50,71,74,50,74,51,75,51,72,48,72,75,1
94,79,77,90,79,60,79,85,64,81,59,79,63,91,67,91,87,1
102,87,98,111,91,68,91,88,68,85,71,87,75,91,75,95,87,1
106,83,85,102,87,56,83,85,56,85,63,87,63,87,63,87,87,1
111,131,34,111,128,53,51,114,50,128,67,83,63,79,59,68,92,2
108,88,87,104,85,55,83,83,51,79,63,92,56,91,52,83,81,1
108,92,87,108,85,59,95,92,63,87,63,89,63,96,63,100,92,1
96,78,68,104,88,59,75,79,59,92,56,78,52,56,59,67,74,5
104,87,103,109,87,59,87,81,66,89,52,83,56,81,59,84,79,1
109,87,95,113,92,63,91,89,63,89,67,94,63,99,63,103,94,1
113,96,103,113,96,70,104,96,70,96,75,98,75,108,71,108,94,1
96,92,61,100,96,66,79,85,63,92,71,94,67,88,63,73,86,5
93,83,61,89,79,56,60,81,56,78,59,83,59,63,56,60,79,5
84,74,71,92,74,46,66,72,49,75,47,80,50,71,50,67,76,1
100,78,87,96,81,52,84,83,56,79,57,80,57,75,57,79,80,1
108,89,96,108,92,59,84,79,59,86,57,80,60,84,60,75,83,1
92,81,60,96,92,59,70,72,59,90,50,83,57,67,60,71,83,5
97,79,95,105,83,78,92,76,78,76,80,76,80,94,80,98,76,3
93,79,91,101,90,60,92,90,67,90,60,91,64,98,68,106,94,1
114,94,103,114,98,70,106,94,70,94,64,94,68,106,68,102,94,1
105,80,111,114,90,92,115,94,92,98,92,96,97,112,97,116,96,3
110,87,97,110,83,80,94,76,80,79,84,74,80,95,84,95,81,3
105,90,92,105,87,68,94,91,57,83,84,96,68,103,53,91,88,1
105,87,92,110,90,60,94,91,64,91,68,92,68,107,68,103,92,1
110,94,97,114,97,88,115,102,88,94,84,103,92,116,84,112,96,1
97,83,60,97,87,60,77,83,60,91,56,74,60,71,60,64,99,5
94,76,94,98,79,84,95,85,84,92,88,87,93,107,93,111,96,3
111,91,102,106,91,84,103,96,84,88,88,92,88,103,84,99,92,3
98,79,77,94,76,53,83,78,53,78,51,79,51,72,48,79,79,1
94,76,73,90,76,56,71,74,56,74,51,71,55,72,55,72,75,1
98,79,73,90,79,64,87,85,60,81,63,83,63,95,63,95,83,1
94,79,81,90,83,64,87,88,64,88,59,83,63,87,63,83,87,1
90,83,62,86,83,64,79,85,56,85,63,87,63,79,59,75,87,1
98,79,89,98,79,71,91,81,76,88,75,83,75,95,71,91,83,4
108,92,107,118,96,93,111,96,97,96,90,92,90,118,95,118,96,3
96,81,79,96,81,48,75,79,51,79,49,74,49,67,49,67,74,1
122,99,107,122,96,84,111,100,84,96,78,96,78,104,78,104,96,1
83,78,68,87,74,59,75,75,59,71,59,81,63,83,59,83,74,5
102,76,94,102,76,80,95,78,80,78,79,79,79,95,79,95,75,4
102,76,94,102,76,80,95,78,80,78,79,79,79,95,79,95,75,4
98,76,94,98,76,80,95,74,76,74,75,79,75,91,75,91,71,4
106,87,106,111,87,88,95,81,84,85,88,79,88,95,88,103,83,3
82,68,73,78,65,71,79,67,71,67,71,67,71,79,71,75,67,7
118,88,107,118,92,84,99,87,84,83,63,85,82,96,86,100,85,3
104,81,99,108,85,88,95,83,88,83,86,85,82,100,82,100,78,3
81,62,79,85,62,66,79,66,70,66,63,72,63,73,59,60,98,4
81,67,72,81,67,70,79,66,70,66,71,68,71,77,71,81,68,7
97,72,81,86,68,82,97,80,78,73,80,79,76,94,76,89,72,3
110,108,40,119,122,47,34,135,47,135,46,146,43,31,43,31,143,2
110,83,111,114,87,92,111,91,92,91,84,88,88,107,88,107,88,3
89,73,79,82,65,76,89,72,76,72,71,67,71,75,68,79,67,7
125,102,111,111,91,88,116,96,84,85,88,92,88,103,84,107,87,3
102,79,98,98,79,80,99,78,80,78,84,79,79,99,84,95,79,3
94,72,89,94,72,80,99,74,80,74,79,75,84,91,84,95,79,3
115,91,111,120,94,88,112,92,92,92,84,92,88,111,93,116,96,3
115,87,102,102,83,88,103,85,84,81,88,87,84,99,79,91,71,3
86,72,85,86,68,71,83,70,71,74,71,62,79,87,75,87,71,7
118,92,111,113,92,90,109,89,86,92,96,94,92,112,92,112,94,3
104,83,107,109,87,86,104,85,86,85,87,86,87,103,87,103,86,3
113,92,107,109,87,86,109,85,90,89,87,86,87,108,92,112,90,3
109,87,111,109,87,86,109,89,90,92,92,90,92,112,92,108,94,3
109,87,111,109,92,90,104,85,90,85,92,90,96,112,92,117,98,3
112,89,109,112,92,83,103,90,87,90,89,90,85,106,89,111,94,3
104,85,104,108,85,87,103,83,92,90,89,90,89,111,97,120,97,3
108,85,100,108,81,83,95,79,75,72,70,65,67,79,63,71,58,7
119,94,108,114,90,93,115,94,97,94,88,91,92,111,88,111,87,3
110,90,108,110,90,89,111,90,89,90,88,87,92,111,88,106,87,3
120,94,115,115,94,88,107,88,88,88,93,92,88,111,88,111,92,3
125,135,31,125,135,50,31,132,46,135,44,137,48,34,48,32,133,2
106,87,102,111,83,88,107,88,88,85,88,92,88,107,88,103,83,3
71,57,69,74,57,68,75,59,68,56,67,58,63,68,63,68,58,7
104,85,103,113,88,79,95,79,88,87,49,125,52,49,74,79,81,3
104,85,103,113,85,88,103,83,88,87,90,89,90,104,86,104,85,3
53,34,57,56,45,59,54,42,55,46,56,48,59,53,59,56,44,5
123,129,32,128,137,52,43,103,49,122,49,124,49,40,52,45,105,2
67,46,51,67,50,59,53,44,59,44,56,49,56,51,56,54,45,5
127,133,34,127,129,42,32,135,46,135,44,136,44,34,44,34,136,2
73,59,67,73,59,63,66,64,63,60,57,51,57,56,57,60,58,7
66,55,75,80,63,67,70,60,67,64,67,62,67,75,67,71,69,7
101,80,88,89,73,80,89,76,76,76,80,81,80,99,80,103,81,4
67,48,49,70,55,53,52,50,53,50,56,56,56,51,56,51,56,5
70,62,60,70,65,53,46,94,47,116,53,96,46,34,43,29,139,2
115,120,31,131,135,50,45,107,50,135,48,129,48,37,51,42,104,2
120,94,111,115,91,84,99,81,84,78,79,79,84,95,79,95,75,3
106,79,98,98,79,84,95,78,80,74,84,75,71,83,71,79,67,7
71,50,52,71,50,56,51,56,56,56,55,62,55,48,55,51,54,5
118,125,34,118,121,44,34,121,48,121,49,125,49,34,46,32,125,2
75,63,61,75,67,59,58,67,63,62,66,70,59,60,59,56,70,5
74,58,72,70,54,63,67,55,63,55,67,53,67,66,63,70,53,7
96,75,103,104,83,70,79,63,66,66,71,64,71,81,75,81,64,7
84,70,79,80,66,79,88,72,75,68,74,69,74,84,67,75,69,7
69,52,46,69,52,56,51,57,59,53,53,69,50,46,53,49,58,5
119,131,32,114,127,47,37,133,53,119,57,102,60,69,68,73,65,2
93,72,91,97,72,74,84,69,74,69,80,72,76,81,72,81,72,7
124,146,30,124,135,44,31,140,44,133,44,124,44,37,47,37,113,2
93,76,88,85,73,80,94,76,80,72,68,63,76,87,80,87,78,7
85,73,56,82,73,68,77,76,60,72,68,67,71,79,71,71,74,7
78,73,46,78,69,57,52,72,50,76,64,70,60,61,56,54,74,5
101,101,37,101,104,41,34,113,44,120,40,107,43,31,43,29,114,2
64,54,69,71,57,60,71,56,64,56,67,54,63,68,67,68,54,7
71,54,69,78,54,64,71,59,68,59,67,54,67,72,67,72,54,7
78,61,77,74,61,68,71,56,68,56,67,58,67,72,67,72,58,7
122,96,116,122,96,93,116,96,97,96,95,96,95,118,99,113,96,3
113,92,107,113,88,93,111,92,93,87,95,89,99,113,99,113,96,3
96,78,75,87,78,67,75,62,67,58,70,63,63,71,63,71,55,7
96,96,48,96,96,44,32,116,51,96,46,114,40,29,43,27,125,2
108,114,34,104,103,41,32,112,44,112,43,107,43,32,40,32,107,2
123,96,116,118,96,95,118,92,99,96,96,90,96,112,96,117,94,3
109,87,111,109,87,99,113,96,95,89,96,94,92,117,92,108,86,3
77,54,72,77,54,66,75,59,66,59,67,64,67,77,63,77,60,7
100,108,34,104,108,46,32,114,46,111,71,83,59,51,46,32,116,2
88,78,71,88,78,71,77,79,71,79,74,73,70,84,70,75,76,5
88,78,71,92,74,71,73,79,67,75,70,80,70,75,67,75,76,5
92,74,75,84,70,67,73,75,67,75,70,76,67,75,67,75,80,5
114,90,108,114,94,97,115,90,93,94,88,91,88,106,88,106,91,3
82,60,77,82,60,67,75,62,67,58,64,61,64,73,68,73,57,7
101,119,31,105,122,47,34,113,47,116,46,110,46,34,43,36,114,2
110,126,27,110,129,44,29,128,41,128,46,121,40,31,40,29,132,2
120,94,120,120,98,101,116,96,101,96,93,92,97,121,97,116,100,3
115,94,111,111,91,92,107,96,92,88,97,96,93,111,93,107,87,3
78,57,73,78,61,68,75,59,68,63,71,58,71,79,67,79,58,7
83,67,87,91,74,75,83,67,71,71,66,63,70,83,70,79,66,7
113,87,107,113,87,90,113,92,90,89,87,90,92,112,87,103,83,4
104,121,32,109,125,46,34,107,46,114,46,105,49,37,52,40,101,2
113,129,29,113,129,46,27,129,43,129,52,101,52,40,52,48,98,2
112,89,104,108,85,92,112,90,92,94,97,101,93,120,93,120,97,3
73,59,75,73,59,63,70,57,67,60,63,55,63,71,63,71,58,7
75,60,73,82,57,63,75,55,67,58,64,57,64,77,64,77,61,7
101,80,88,97,73,80,98,72,76,68,80,74,80,87,76,87,67,4
97,76,67,101,94,72,89,76,72,76,76,70,68,79,68,75,63,4
78,61,77,78,57,68,79,63,68,59,67,62,67,79,67,75,58,7
98,76,98,98,76,80,99,78,76,78,79,79,79,95,75,91,75,4
75,63,83,87,70,67,68,58,67,62,63,55,63,67,59,67,55,7
81,58,72,77,58,59,60,81,66,70,56,86,59,57,59,63,79,5
96,74,96,100,74,75,84,75,79,79,78,76,78,88,85,102,83,4
104,81,100,104,81,83,103,83,83,83,85,83,85,102,85,102,80,4
105,83,99,105,83,82,102,83,82,83,64,65,76,94,84,98,83,4
105,79,99,101,83,85,102,83,82,80,84,83,84,102,84,102,79,4
101,75,91,97,72,82,92,76,78,76,84,79,84,94,76,85,72,4
93,75,91,101,79,78,88,76,85,83,76,72,76,94,80,102,79,4
93,68,81,86,64,82,97,83,78,73,76,79,80,94,76,85,68,7
124,98,108,124,98,70,111,101,67,101,68,98,68,115,68,111,98,1
97,76,88,93,76,84,94,79,76,72,84,85,80,99,76,91,74,4
85,62,75,82,62,72,81,65,72,61,80,78,76,91,71,79,63,7
82,65,60,85,76,64,62,68,60,76,64,67,60,61,56,57,70,5
86,68,89,98,79,76,83,74,80,78,63,67,71,91,75,91,71,7
82,72,59,74,68,56,57,67,56,70,55,71,55,58,55,54,71,5
100,78,95,100,78,71,87,71,75,79,74,63,70,83,66,87,70,7
100,75,87,93,75,82,96,78,82,78,79,79,83,103,83,91,79,4
85,71,54,85,71,56,60,74,56,74,56,72,56,51,49,54,75,5
92,70,79,84,63,75,91,72,71,68,74,65,74,88,78,92,73,4
104,78,91,96,78,83,103,83,83,79,78,83,82,102,78,88,83,4
101,79,103,105,83,78,97,83,82,87,68,65,72,89,80,102,87,4
97,72,84,93,68,78,92,80,78,80,76,76,80,98,80,98,76,7
110,86,108,119,98,67,111,94,67,94,68,91,68,111,68,111,98,1
124,101,112,124,98,70,115,101,70,101,72,102,68,115,68,115,98,1
89,69,84,89,69,72,85,68,72,68,76,70,76,83,71,87,70,4
82,65,84,85,69,64,81,65,68,65,68,63,68,83,68,83,63,7
90,68,85,90,68,71,87,70,76,67,75,71,75,87,79,91,71,4
82,61,52,74,65,53,54,67,56,63,55,58,55,54,55,54,58,5
75,59,51,71,59,55,54,58,51,62,52,59,56,53,52,53,63,5
85,62,79,85,67,66,79,66,63,63,79,72,71,84,67,81,64,7
80,66,83,80,63,71,84,68,67,64,78,73,78,88,70,79,65,4
92,74,67,80,70,75,88,79,75,75,78,76,74,79,67,75,73,4
100,78,91,96,81,75,81,68,75,72,70,73,70,79,70,79,69,7
73,59,56,69,55,56,57,57,56,57,60,69,60,63,60,56,69,5
108,89,113,122,96,67,99,86,71,98,63,80,63,88,67,97,87,1
117,96,109,122,100,63,103,94,67,98,67,97,63,102,63,106,94,1
122,100,113,127,103,67,108,98,67,98,63,90,63,106,63,106,97,1
69,59,67,69,55,67,66,57,63,57,63,58,67,71,63,71,58,7
93,72,91,90,68,82,84,73,78,69,76,68,76,85,76,89,68,4
90,68,88,90,72,78,84,69,78,69,76,68,76,89,80,85,68,4
86,64,81,82,64,70,79,62,67,62,76,68,68,77,68,77,65,7
82,64,84,82,68,67,84,65,67,62,72,68,72,81,68,77,65,7
72,57,54,79,60,60,56,69,60,80,60,83,64,69,72,81,87,5
110,86,99,101,83,70,111,94,67,90,76,94,68,106,68,102,91,1
119,90,103,119,94,63,102,94,63,94,64,94,64,106,68,106,94,1
119,94,103,119,94,63,102,94,67,97,64,94,68,106,64,102,94,1
124,98,108,119,98,63,111,97,63,101,64,102,68,111,68,106,98,1
93,73,79,93,65,80,89,72,76,68,76,63,80,91,76,87,70,4
89,73,75,89,73,72,81,76,68,68,64,63,71,79,71,75,70,4
94,72,85,86,68,76,91,70,71,70,79,71,75,87,75,87,67,4
94,72,85,94,68,80,91,67,76,70,75,67,75,87,75,87,67,4
86,65,81,86,68,68,83,63,68,63,71,67,67,79,67,79,62,7
120,94,111,125,102,64,107,96,68,96,71,96,67,107,63,107,100,1
131,102,111,120,98,68,107,96,71,99,67,100,67,111,71,111,96,1
91,74,91,96,70,75,91,75,79,71,78,70,74,87,74,91,70,4
96,70,91,91,70,79,87,71,75,71,74,70,74,91,74,87,66,4
91,70,87,91,70,75,87,71,75,67,74,70,74,87,74,87,66,4
91,78,99,104,78,71,79,75,84,83,63,55,63,60,78,83,78,5
122,96,112,122,99,63,107,100,63,100,63,96,63,100,66,109,100,1
93,71,91,96,75,78,87,70,74,70,75,68,75,84,75,84,68,4
118,96,107,118,96,63,100,92,63,96,67,83,67,95,67,99,86,1
109,83,87,89,75,70,109,96,66,85,71,98,67,112,67,103,90,1
80,63,79,76,63,67,84,64,67,64,67,69,70,88,74,88,73,7
100,78,96,104,85,79,91,83,83,83,74,73,78,92,78,97,83,7
112,92,100,112,92,67,99,94,63,90,63,87,60,97,60,102,90,1
112,92,104,108,96,67,95,79,63,79,67,80,63,88,63,84,73,1
90,68,84,90,68,70,79,62,67,58,64,57,64,69,64,69,57,7
90,72,84,90,64,67,84,69,70,73,64,61,72,81,80,98,83,7
110,90,91,105,90,60,102,90,57,87,53,83,57,89,57,81,79,1
110,90,99,114,90,57,88,83,60,83,57,76,53,85,57,85,83,1
119,98,108,119,98,67,111,94,67,97,72,98,72,111,68,111,94,1
119,98,103,110,90,67,111,94,67,97,68,98,68,111,68,111,94,1
78,62,79,89,73,68,77,68,76,79,76,70,76,87,76,83,78,7
89,73,92,97,87,76,85,79,76,79,76,78,76,83,76,83,78,7
114,94,97,105,87,60,98,87,57,83,60,88,53,83,53,83,81,1
90,68,85,98,79,76,87,78,76,78,79,75,75,87,75,79,79,7
111,87,85,98,83,53,83,85,53,81,55,83,51,79,51,75,79,1
111,87,94,102,87,56,87,81,53,78,59,83,59,87,55,79,75,1
106,87,89,106,83,53,87,88,53,85,55,79,55,83,51,83,83,1
120,94,106,115,94,64,107,96,71,96,71,96,67,107,79,111,96,1
79,63,83,83,70,63,72,58,67,67,63,59,66,75,70,79,63,7
113,88,99,108,85,75,83,79,75,83,90,85,78,91,66,71,78,7
104,81,83,100,85,51,75,79,51,75,49,78,52,67,52,71,78,1
122,99,112,118,96,71,107,96,71,92,70,100,70,109,70,113,100,1
89,71,79,81,67,70,83,70,78,78,87,83,87,99,87,112,90,7
109,87,103,113,92,78,91,81,86,92,75,83,87,103,92,108,98,7
93,75,91,104,83,52,71,74,56,74,52,68,56,70,56,84,79,1
104,83,87,100,83,56,79,74,56,85,56,72,56,84,59,91,86,1
96,78,71,84,78,83,88,79,67,72,85,83,82,92,74,79,73,7
68,57,73,68,57,67,71,58,67,62,80,72,80,89,80,98,79,7
82,64,81,75,68,85,106,83,85,83,88,87,84,106,84,102,87,3
97,79,66,82,72,82,92,80,74,73,88,79,84,98,72,81,65,7
90,68,73,86,68,67,71,65,70,73,60,61,64,66,64,66,65,7
97,79,73,93,79,57,84,76,57,73,60,83,60,94,60,81,76,1
85,65,97,97,76,88,111,91,92,91,84,81,88,107,88,112,92,3
105,87,106,114,94,88,106,87,88,94,88,81,84,103,84,103,88,3
93,76,67,89,73,53,69,72,50,76,53,74,50,68,53,64,74,1
89,73,71,85,73,50,66,76,50,76,50,70,53,64,53,61,67,1
82,65,89,102,87,76,83,74,76,88,88,92,84,103,84,107,96,7
102,87,73,94,76,53,79,81,53,74,48,75,48,72,51,68,71,1
120,98,111,120,98,68,107,96,71,103,67,96,67,107,67,111,96,1
111,91,89,106,83,80,95,96,80,92,75,96,75,95,75,95,96,5
113,85,107,113,85,88,107,87,88,87,90,89,90,104,86,100,89,3
100,81,71,91,74,48,72,75,51,71,49,78,49,71,49,71,74,1
100,78,87,104,81,63,95,87,63,87,70,92,63,96,63,96,89,1
109,96,95,113,96,70,87,100,66,100,67,98,67,88,75,91,94,5
96,81,79,88,81,59,81,83,56,79,53,87,50,79,53,79,76,1
114,86,112,119,94,89,106,94,93,94,84,87,88,111,92,115,94,3
101,79,103,105,83,85,97,80,85,83,88,83,88,98,84,102,79,3
119,139,32,114,135,44,31,140,44,133,47,131,47,34,44,34,128,2
72,72,63,79,72,63,75,73,60,65,68,79,72,77,76,85,76,7
110,87,102,110,90,84,98,83,84,87,80,78,80,91,80,95,81,3
110,87,102,114,87,84,102,87,84,87,80,81,84,103,88,112,88,3
89,80,71,85,76,53,69,72,53,72,50,74,50,71,50,71,74,1
82,65,71,85,73,50,69,72,53,72,56,67,53,68,53,71,74,1
110,94,92,105,87,60,85,87,60,87,56,85,56,83,60,91,85,1
114,133,31,114,133,44,34,128,44,131,50,128,43,36,46,39,114,2
93,80,75,89,73,68,77,79,72,76,64,99,64,68,71,83,81,7
120,102,115,125,102,68,99,99,71,103,63,96,71,103,71,103,96,1
106,124,43,98,109,56,61,88,56,85,55,87,55,58,59,58,83,5
102,91,77,106,98,64,68,88,64,92,59,79,59,64,59,58,100,5
113,88,99,108,85,67,99,92,67,92,59,74,59,79,63,87,89,1
104,79,99,109,83,90,100,85,86,81,96,90,92,103,87,103,83,3
109,83,99,100,79,86,100,81,82,81,87,86,83,95,83,99,83,3
109,92,95,109,87,63,87,89,63,89,63,90,67,103,63,99,90,1
113,96,91,104,92,66,104,96,70,96,75,98,71,99,75,108,98,1
100,87,68,96,92,70,100,89,66,85,63,86,71,95,67,88,86,1
96,79,95,96,79,63,67,96,70,85,59,90,63,66,67,77,90,5
104,81,100,104,81,83,99,83,87,86,85,83,89,102,85,102,87,3
84,74,79,96,81,59,81,79,63,90,63,87,60,92,67,102,90,1
112,92,100,112,92,71,103,98,75,98,70,94,70,106,74,111,97,1
105,83,95,101,79,78,92,76,82,80,80,79,80,98,84,94,79,3
93,75,81,93,79,63,92,87,60,90,64,91,60,94,64,98,91,1
110,94,77,97,79,67,97,90,67,87,76,94,76,106,76,102,98,1
97,79,88,93,75,74,84,76,74,76,76,79,72,89,76,85,79,4
110,90,102,114,90,64,98,91,68,94,68,92,68,103,71,103,92,1
101,83,75,97,80,60,77,76,57,76,64,81,60,83,60,83,85,1
102,83,77,90,79,53,91,88,50,85,67,96,55,91,55,87,87,1
78,83,52,82,79,56,64,81,53,78,59,83,59,75,59,75,75,5
91,81,64,104,99,63,79,75,63,92,59,74,59,83,59,83,70,5
