@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
6,A32,A61,A72,A173,2
48,A33,A61,A75,A173,2
18,A32,A61,A73,A173,2
12,A32,A62,A72,A172,2
36,A34,A61,A73,A173,2
39,A34,A61,A74,A173,2
36,A32,A65,A73,A173,2
18,A32,A61,A72,A172,2
24,A32,A61,A75,A174,2
21,A32,A61,A75,A173,2
24,A31,A63,A72,A173,2
15,A32,A62,A73,A173,2
12,A32,A65,A75,A173,2
18,A32,A61,A73,A173,2
36,A33,A61,A73,A174,2
48,A32,A62,A74,A173,2
42,A32,A61,A72,A173,2
15,A31,A62,A71,A174,2
15,A32,A62,A73,A174,2
12,A32,A61,A73,A173,2
24,A32,A65,A73,A173,2
36,A32,A61,A72,A174,2
12,A32,A61,A73,A173,2
12,A34,A63,A74,A173,2
24,A32,A61,A74,A173,2
12,A32,A62,A72,A173,2
36,A34,A61,A73,A174,2
18,A32,A61,A73,A173,2
24,A32,A62,A73,A172,2
24,A31,A61,A73,A173,2
12,A34,A61,A75,A173,2
6,A31,A61,A75,A173,2
24,A32,A61,A72,A173,2
12,A32,A61,A72,A173,2
24,A32,A61,A72,A173,2
24,A32,A61,A71,A174,2
15,A30,A61,A75,A173,2
48,A30,A62,A74,A172,2
9,A31,A61,A75,A174,2
18,A34,A61,A75,A173,2
12,A34,A61,A75,A173,2
12,A32,A61,A73,A172,2
30,A32,A61,A74,A173,2
