@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Age numeric
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A13,10,A62,A75,48,1,A172,2
A11,6,A61,A75,68,1,A174,2
A12,60,A62,A72,24,1,A174,2
A11,24,A63,A72,30,1,A173,2
A12,36,A61,A72,27,2,A173,2
A12,15,A62,A73,28,2,A173,2
A12,36,A61,A75,61,1,A174,2
A11,12,A61,A73,40,1,A172,2
A13,9,A61,A73,28,1,A172,2
A11,12,A61,A74,28,2,A173,2
A11,24,A61,A71,43,2,A173,2
A11,18,A61,A71,25,1,A171,2
A12,12,A61,A74,25,1,A172,2
A14,12,A61,A71,42,2,A174,2
A12,27,A61,A75,42,2,A174,2
A11,12,A62,A71,22,1,A173,2
A12,24,A62,A72,38,2,A173,2
A12,48,A61,A73,30,1,A174,2
A11,9,A61,A72,27,1,A174,2
A11,48,A61,A72,24,1,A173,2
A11,30,A61,A72,31,1,A172,2
A11,24,A61,A74,27,1,A173,2
A11,36,A61,A75,31,1,A173,2
A12,60,A62,A75,60,2,A174,2
A12,15,A61,A72,26,2,A171,2
A11,48,A61,A74,46,1,A173,2
A12,12,A61,A73,37,1,A172,2
A12,30,A61,A73,24,1,A173,2
A11,12,A61,A74,36,1,A173,2
A12,18,A61,A71,38,1,A174,2
A12,30,A62,A73,21,1,A173,2
A11,12,A61,A75,35,2,A173,2
A11,18,A61,A73,65,2,A173,2
A12,36,A61,A75,57,2,A173,2
A11,24,A61,A72,24,1,A173,2
A14,36,A61,A72,28,2,A173,2
A14,36,A61,A73,37,1,A173,2
A11,20,A61,A73,33,2,A173,2
A11,45,A61,A73,23,1,A173,2
A12,12,A65,A71,52,1,A174,2
A12,48,A61,A74,28,2,A173,2
A14,36,A61,A73,26,2,A174,2
A11,24,A61,A74,23,2,A173,2
A11,12,A61,A73,20,1,A173,2
A11,40,A61,A73,27,1,A173,2
A12,18,A61,A75,40,1,A174,2
A12,24,A61,A75,31,2,A173,2
A13,30,A61,A75,66,1,A174,2
A12,24,A61,A73,29,2,A174,2
A14,9,A61,A72,19,2,A173,2
A13,18,A61,A73,34,1,A172,2
A12,6,A61,A71,47,1,A174,2
A11,42,A61,A74,26,2,A173,2
A11,24,A61,A75,23,2,A173,2
A12,18,A61,A75,30,2,A173,2
A12,12,A61,A72,23,1,A173,2
A12,6,A64,A72,24,1,A173,2
A11,21,A61,A73,25,2,A173,2
A12,18,A61,A72,31,2,A172,2
A11,18,A61,A73,42,1,A173,2
A12,24,A63,A72,28,1,A173,2
A11,12,A61,A75,35,1,A173,2
A11,24,A61,A75,60,2,A172,2
A11,24,A61,A75,39,1,A174,2
A12,27,A63,A73,23,2,A172,2
A11,28,A61,A73,45,1,A172,2
A11,24,A61,A72,32,1,A173,2
A11,45,A61,A75,29,2,A173,2
A12,6,A62,A72,32,1,A172,2
A12,36,A62,A73,50,1,A173,2
A12,30,A62,A72,30,2,A174,2
A11,12,A61,A75,60,2,A173,2
A11,48,A61,A73,54,1,A173,2
A11,42,A65,A74,30,1,A174,2
A11,30,A61,A72,34,1,A172,2
A13,24,A65,A74,37,2,A172,2
A11,48,A61,A74,37,1,A173,2
A12,48,A61,A73,23,1,A173,2
A11,18,A61,A72,26,1,A173,2
A12,9,A61,A73,29,1,A173,2
A11,24,A65,A73,25,1,A173,2
A11,18,A61,A73,25,2,A173,2
A11,6,A61,A75,35,1,A173,2
A11,18,A61,A71,27,1,A171,2
A11,12,A61,A72,33,1,A172,2
A14,10,A65,A73,27,1,A172,2
A12,12,A61,A72,25,1,A173,2
A12,9,A62,A74,29,1,A173,2
A11,12,A61,A73,29,2,A173,2
A13,12,A61,A72,26,1,A171,2
A11,24,A62,A73,32,1,A172,2
A11,48,A61,A75,42,1,A174,2
A14,21,A63,A72,41,1,A172,2
A11,9,A61,A73,28,1,A172,2
A12,24,A61,A73,20,1,A172,2
A12,24,A61,A75,44,1,A174,2
A11,24,A61,A73,53,2,A173,2
A12,12,A65,A75,25,1,A173,2
A12,15,A62,A73,25,1,A173,2
A11,36,A61,A74,24,1,A173,2
A12,27,A61,A73,36,1,A173,2
A11,18,A61,A71,55,3,A171,2
A12,39,A61,A74,25,2,A173,2
A11,15,A61,A73,29,1,A173,2
A11,48,A61,A75,24,2,A173,2
A11,36,A61,A72,23,2,A172,2
A11,60,A61,A75,36,1,A173,2
A11,24,A65,A75,40,1,A174,2
A12,72,A62,A73,24,1,A173,2
A11,24,A65,A75,29,1,A173,2
A11,48,A61,A73,53,2,A173,2
A12,18,A65,A73,33,1,A173,2
A12,12,A63,A73,66,1,A172,2
A14,24,A62,A75,31,2,A173,2
A11,24,A65,A73,35,1,A173,2
A14,36,A61,A73,25,2,A173,2
A12,24,A61,A71,34,1,A174,2
A12,9,A61,A75,74,1,A174,2
A11,6,A61,A73,44,1,A174,2
A14,48,A63,A73,44,1,A173,2
A14,10,A61,A73,25,1,A172,2
A11,36,A61,A73,25,2,A174,2
A12,24,A62,A72,22,1,A173,2
A14,24,A65,A72,44,2,A173,2
A11,48,A61,A73,31,1,A173,2
A11,12,A61,A75,53,1,A174,2
A12,12,A62,A72,27,4,A173,2
A14,36,A61,A73,28,1,A174,2
A11,36,A61,A73,31,1,A173,2
A14,36,A61,A72,23,2,A173,2
A11,24,A61,A72,29,1,A172,2
A11,24,A65,A74,32,1,A173,2
A11,21,A61,A72,26,2,A173,2
A11,24,A61,A72,23,1,A172,2
A12,24,A61,A72,23,1,A172,2
A11,60,A61,A75,63,2,A173,2
A14,18,A61,A71,22,1,A173,2
A11,36,A61,A72,34,1,A173,2
A12,36,A61,A72,28,1,A174,2
A12,24,A61,A74,43,1,A173,2
A11,36,A61,A73,26,1,A173,2
A14,12,A61,A75,41,1,A172,2
A12,45,A62,A73,21,1,A173,2
A11,15,A65,A73,24,1,A173,2
A14,18,A62,A73,30,2,A173,2
A11,18,A61,A73,47,1,A172,2
A11,24,A61,A75,45,1,A173,2
A11,18,A61,A73,24,2,A173,2
A12,15,A61,A75,37,1,A173,2
A12,21,A61,A75,39,1,A173,2
A11,24,A62,A71,33,1,A173,2
A14,9,A61,A74,22,1,A173,2
A12,60,A61,A74,27,1,A174,2
A11,12,A61,A72,37,1,A172,2
A11,12,A61,A73,24,1,A172,2
A12,18,A61,A73,33,1,A173,2
A12,12,A61,A75,46,2,A173,2
A11,24,A61,A72,35,1,A173,2
A11,24,A61,A71,29,2,A171,2
A11,24,A61,A72,27,1,A173,2
A11,18,A61,A74,32,2,A172,2
A11,18,A61,A73,24,1,A173,2
A12,24,A61,A73,36,3,A172,2
A11,24,A61,A71,30,1,A174,2
A14,48,A62,A73,24,2,A172,2
A14,24,A61,A75,47,2,A172,2
A12,48,A61,A73,32,1,A174,2
A12,12,A61,A72,25,2,A173,2
A11,18,A61,A73,20,1,A173,2
A11,24,A61,A74,31,1,A173,2
A11,24,A61,A72,55,1,A173,2
A11,33,A63,A73,23,2,A173,2
A14,48,A65,A73,38,1,A173,2
A12,18,A62,A72,28,2,A173,2
A13,18,A61,A73,37,1,A173,2
A11,36,A61,A75,41,1,A173,2
A14,18,A65,A73,68,2,A173,2
A12,15,A64,A73,61,2,A173,2
A14,24,A63,A75,35,2,A173,2
A12,9,A64,A75,32,2,A173,2
A12,36,A62,A73,47,1,A173,2
A12,48,A64,A74,27,2,A173,2
A14,12,A65,A75,33,1,A172,2
A14,48,A61,A71,33,1,A174,2
A11,48,A61,A75,46,2,A173,2
A11,48,A61,A74,34,2,A173,2
A11,12,A61,A73,48,2,A173,2
A11,36,A61,A74,29,1,A173,2
A11,30,A61,A74,23,1,A173,2
A12,48,A61,A73,25,1,A173,2
A12,12,A62,A72,23,1,A172,2
A11,12,A61,A73,29,1,A173,2
A11,12,A61,A73,28,2,A173,2
A12,36,A62,A72,29,1,A174,2
A11,12,A61,A73,24,1,A172,2
A12,36,A61,A73,30,2,A174,2
A14,18,A61,A72,23,1,A173,2
A14,18,A61,A75,39,2,A174,2
A13,15,A65,A73,39,2,A173,2
A14,18,A61,A73,32,2,A173,2
A12,60,A61,A73,42,1,A173,2
A11,24,A61,A73,31,1,A173,2
A12,24,A61,A72,25,1,A172,2
A12,24,A61,A74,34,1,A172,2
A12,12,A61,A75,41,1,A172,2
A12,24,A61,A73,23,2,A174,2
A11,36,A65,A75,47,1,A173,2
A14,21,A65,A75,30,1,A174,2
A13,9,A61,A72,34,2,A174,2
A12,36,A61,A72,33,1,A172,2
A11,27,A61,A71,50,2,A173,2
A14,21,A65,A73,29,2,A173,2
A12,12,A61,A73,30,1,A173,2
A11,18,A61,A72,23,1,A173,2
A12,6,A65,A71,23,1,A171,2
A12,24,A61,A72,25,1,A172,2
