@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A12,24,A43,A61,4,A101,48,A201,1
A14,24,A46,A61,4,A101,54,A201,1
A12,21,A42,A64,3,A101,32,A201,1
A14,24,A41,A61,4,A101,35,A201,1
A12,12,A40,A61,2,A101,32,A201,1
A12,20,A41,A65,3,A101,36,A201,1
A11,21,A43,A64,4,A101,29,A201,1
A11,15,A42,A61,2,A101,25,A201,1
A11,24,A42,A63,4,A101,22,A201,1
A14,6,A40,A65,1,A103,26,A201,1
A12,12,A40,A64,4,A101,54,A201,1
A14,48,A43,A65,4,A101,47,A201,1
A14,12,A43,A61,4,A101,52,A201,1
A11,12,A43,A63,3,A101,35,A201,1
A14,60,A43,A62,2,A101,21,A201,1
A12,18,A49,A64,4,A101,35,A201,1
A11,24,A410,A61,4,A103,58,A201,1
A14,15,A42,A65,1,A101,33,A201,1
A11,18,A42,A61,1,A101,22,A201,1
A12,9,A42,A61,4,A101,35,A201,1
A12,6,A43,A61,3,A103,28,A201,1
A14,24,A40,A64,4,A101,37,A201,1
A12,48,A43,A65,4,A101,41,A201,1
A12,6,A45,A61,3,A101,22,A201,1
A13,9,A43,A62,2,A101,49,A201,1
A12,24,A41,A65,4,A101,36,A201,1
A11,6,A40,A65,4,A101,75,A201,1
A14,24,A49,A61,4,A101,25,A201,1
A13,24,A42,A61,2,A101,26,A201,1
A14,24,A43,A62,4,A101,29,A201,1
A14,12,A43,A65,4,A101,38,A201,1
A11,15,A42,A61,4,A103,46,A201,1
A12,42,A41,A61,1,A101,55,A201,1
A14,6,A43,A61,3,A101,29,A201,1
A14,48,A43,A63,4,A101,37,A201,1
A13,42,A49,A61,2,A101,33,A201,1
A14,30,A43,A61,4,A101,33,A201,1
A14,12,A49,A61,2,A101,26,A202,1
A12,30,A42,A61,2,A101,49,A201,2
A12,27,A49,A61,2,A101,42,A201,2
A11,18,A42,A61,4,A101,33,A201,2
A11,12,A40,A61,4,A101,35,A201,2
A11,30,A42,A61,4,A101,23,A201,2
A13,24,A40,A65,4,A101,37,A201,2
A11,6,A40,A61,1,A101,68,A201,2
A11,12,A40,A61,2,A101,36,A201,2
A14,21,A49,A63,4,A101,41,A201,2
A12,48,A42,A61,2,A101,30,A201,2
A14,18,A43,A61,3,A102,22,A201,2
A12,15,A40,A61,2,A101,26,A201,2
A11,36,A42,A61,4,A101,31,A201,2
A11,36,A42,A61,4,A102,23,A201,2
A12,36,A43,A62,4,A102,50,A201,2
A12,21,A49,A62,4,A101,61,A201,2
A11,12,A40,A61,4,A101,48,A201,2
A12,24,A41,A61,4,A101,44,A201,2
A11,12,A48,A61,4,A101,21,A201,2
A11,24,A410,A65,4,A101,40,A201,2
A14,12,A45,A64,4,A101,55,A201,2
A11,42,A43,A61,3,A101,26,A201,2
A12,15,A43,A61,4,A101,37,A201,2
A14,18,A42,A61,4,A102,43,A201,2
A11,18,A40,A61,4,A101,23,A201,2
A11,16,A40,A61,2,A103,43,A201,2
A11,36,A46,A61,4,A101,29,A201,2
A14,18,A46,A62,4,A101,30,A201,2
A12,12,A42,A61,4,A101,25,A201,2
A11,48,A42,A61,3,A101,53,A201,2
A11,48,A43,A61,1,A103,34,A201,2
A11,48,A41,A61,4,A101,58,A201,2
A11,24,A40,A65,4,A101,32,A201,2
A12,48,A43,A64,1,A102,27,A201,2
A14,10,A40,A65,4,A103,27,A201,2
A12,24,A42,A61,2,A101,25,A201,2
A14,18,A40,A61,2,A101,39,A201,2
A11,36,A40,A61,4,A101,34,A201,2
A13,12,A40,A63,4,A101,28,A201,2
A12,9,A40,A62,2,A101,29,A201,2
A12,24,A41,A63,3,A101,28,A201,2
A14,48,A49,A65,4,A101,38,A201,2
A11,24,A43,A61,4,A101,30,A201,2
A11,6,A42,A61,1,A101,44,A201,2
A12,36,A49,A61,2,A101,30,A201,2
A11,48,A43,A61,3,A101,31,A201,2
A11,24,A42,A61,4,A101,23,A201,2
A11,36,A43,A61,4,A101,31,A201,2
A12,21,A49,A61,2,A101,39,A201,2
A11,24,A40,A61,4,A101,43,A201,2
A12,54,A49,A61,3,A101,58,A201,2
A14,18,A40,A61,3,A101,32,A201,2
A11,24,A40,A61,1,A102,29,A201,2
A11,60,A49,A61,3,A101,63,A201,2
A11,60,A49,A61,4,A102,36,A201,2
A14,21,A40,A65,1,A101,29,A201,2
A12,9,A42,A61,4,A101,30,A201,2
A14,36,A42,A61,4,A101,26,A201,2
A11,24,A43,A61,4,A101,32,A201,2
A12,36,A45,A61,4,A101,33,A201,2
A11,30,A45,A61,1,A101,34,A201,2
A11,12,A42,A61,2,A101,20,A201,2
A11,18,A43,A61,4,A101,26,A201,2
A11,18,A41,A65,1,A101,51,A201,2
A11,21,A40,A65,4,A101,40,A201,2
A12,60,A46,A61,4,A101,42,A201,2
A11,18,A40,A61,1,A101,33,A201,2
A12,9,A46,A64,4,A101,32,A201,2
A14,18,A49,A61,4,A101,28,A201,2
A11,24,A43,A61,4,A101,35,A201,2
A12,12,A42,A62,4,A101,27,A201,2
A13,18,A43,A61,4,A102,37,A201,2
A11,24,A40,A61,2,A102,31,A201,2
A12,48,A49,A62,4,A101,34,A201,2
A11,18,A42,A61,4,A101,25,A201,2
A14,9,A43,A61,4,A101,22,A201,2
A11,12,A43,A61,4,A101,57,A201,2
A14,6,A42,A61,1,A101,32,A201,2
A12,12,A43,A65,2,A101,52,A201,2
A12,6,A40,A61,4,A101,47,A201,2
A11,27,A49,A61,2,A101,50,A201,2
A11,18,A40,A61,1,A101,23,A201,2
A11,24,A42,A61,3,A101,27,A201,2
A11,12,A40,A61,3,A102,29,A201,2
A14,18,A49,A61,2,A101,36,A201,2
A11,9,A40,A61,4,A101,28,A201,2
A12,15,A45,A64,3,A101,61,A201,2
A11,12,A40,A61,4,A101,33,A201,2
A11,24,A42,A61,4,A101,39,A201,2
A11,36,A41,A61,4,A101,24,A201,2
A12,18,A40,A61,3,A103,30,A201,2
A12,15,A40,A62,2,A101,25,A201,2
A11,18,A43,A61,2,A101,24,A201,2
A11,12,A43,A61,4,A101,28,A201,2
A14,27,A40,A61,3,A101,21,A201,2
A12,15,A40,A62,2,A101,28,A201,2
A14,10,A42,A61,2,A101,25,A201,2
A12,36,A42,A62,4,A102,29,A201,2
A11,18,A42,A61,2,A102,42,A201,2
A14,36,A49,A61,1,A101,28,A201,2
A11,18,A40,A61,4,A101,32,A201,2
A11,36,A46,A61,3,A101,25,A201,2
A14,24,A49,A61,2,A101,27,A201,2
A11,24,A40,A61,4,A102,45,A201,2
A12,60,A410,A62,3,A101,60,A201,2
A14,21,A40,A65,4,A101,30,A201,2
A12,36,A40,A62,2,A101,42,A201,2
A12,48,A43,A61,4,A101,28,A201,2
A12,30,A40,A61,4,A101,28,A201,2
A11,24,A40,A61,4,A101,23,A201,2
A11,45,A49,A61,2,A101,29,A201,2
A11,42,A43,A61,4,A101,34,A201,2
A11,14,A40,A61,1,A101,45,A202,2
A11,24,A43,A61,4,A101,29,A201,2
A11,12,A46,A61,4,A101,40,A201,2
A11,48,A41,A61,4,A101,39,A201,2
A12,12,A43,A63,4,A101,66,A201,2
A12,30,A40,A61,4,A103,24,A201,2
A11,24,A40,A61,4,A101,60,A201,2
A11,24,A40,A65,4,A101,25,A201,2
A12,36,A40,A61,4,A101,57,A201,2
A12,36,A46,A62,1,A101,47,A201,2
A12,30,A43,A62,4,A101,30,A201,2
A14,30,A41,A65,4,A101,53,A201,2
A13,15,A43,A65,3,A101,39,A201,2
A11,18,A45,A61,2,A101,55,A201,2
A12,15,A40,A62,1,A101,34,A201,2
A11,12,A42,A61,3,A101,60,A201,2
A11,42,A43,A65,4,A101,30,A201,2
A14,36,A46,A61,4,A101,37,A201,2
A11,24,A40,A61,4,A101,27,A201,2
A12,48,A42,A61,1,A101,26,A201,2
A12,24,A42,A61,3,A101,43,A201,2
A11,18,A46,A61,4,A101,27,A201,2
A11,12,A40,A61,4,A101,24,A201,2
A11,15,A40,A61,4,A101,33,A201,2
A11,12,A45,A61,4,A101,28,A201,2
A11,36,A42,A61,4,A101,42,A201,2
A12,6,A40,A62,1,A101,32,A201,2
A12,72,A43,A62,2,A101,24,A201,2
A11,18,A44,A61,4,A101,47,A201,2
A12,45,A43,A62,4,A103,21,A201,2
A11,12,A43,A61,4,A101,29,A201,2
A14,18,A45,A61,4,A101,23,A201,2
A11,12,A42,A61,4,A101,53,A201,2
A14,36,A49,A65,4,A101,27,A201,2
A11,12,A40,A61,3,A101,37,A201,2
A12,9,A42,A61,1,A101,29,A202,2
A13,30,A49,A61,4,A101,66,A201,2
A12,27,A49,A61,4,A101,36,A201,2
A11,24,A49,A61,4,A101,31,A201,2
A11,24,A42,A61,2,A101,55,A201,2
A12,36,A40,A65,1,A101,37,A201,2
A14,36,A42,A61,4,A101,28,A201,2
A14,36,A43,A61,4,A101,26,A201,2
A11,6,A46,A61,4,A101,23,A201,2
A14,36,A40,A61,4,A101,25,A201,2
A12,24,A43,A61,1,A101,22,A201,2
A11,15,A44,A65,4,A101,24,A201,2
A13,18,A42,A61,2,A101,34,A201,2
A11,12,A40,A65,4,A101,23,A201,2
A11,36,A41,A65,3,A101,47,A201,2
A12,60,A40,A61,4,A101,27,A201,2
A11,24,A43,A61,4,A101,48,A201,2
A12,24,A42,A61,3,A101,34,A201,2
A14,12,A43,A65,4,A101,33,A201,2
A13,15,A43,A61,2,A101,25,A201,2
A12,12,A40,A61,4,A101,41,A201,2
A11,12,A40,A61,4,A101,46,A201,2
A11,30,A42,A65,4,A101,31,A201,2
A11,18,A43,A61,4,A101,65,A201,2
A12,30,A49,A62,4,A101,26,A201,2
A11,48,A41,A61,4,A101,46,A201,2
A11,40,A46,A61,4,A101,27,A201,2
A12,18,A43,A61,4,A101,33,A201,2
A12,39,A43,A61,2,A103,25,A201,2
A14,12,A46,A61,4,A101,41,A201,2
A11,36,A40,A61,2,A101,24,A201,2
A11,48,A40,A61,4,A101,42,A201,2
A12,12,A42,A61,4,A101,37,A201,2
A11,6,A46,A61,4,A101,35,A201,2
A14,12,A40,A63,2,A101,26,A201,2
A11,21,A43,A61,3,A101,25,A201,2
A12,24,A410,A61,2,A102,29,A201,2
A14,24,A43,A62,2,A101,31,A201,2
A12,18,A40,A65,4,A101,33,A201,2
A12,18,A42,A65,4,A101,27,A201,2
A12,48,A46,A61,4,A101,50,A201,2
A12,12,A43,A61,1,A101,23,A201,2
A12,8,A42,A61,3,A101,24,A201,2
A12,48,A43,A61,2,A101,22,A201,2
A12,24,A40,A61,4,A101,23,A201,2
A11,24,A42,A65,2,A101,20,A201,2
A14,12,A49,A61,4,A101,42,A201,2
A11,9,A43,A61,3,A101,22,A201,2
A11,24,A43,A61,4,A103,24,A201,2
A12,12,A43,A65,2,A101,25,A201,2
A14,36,A42,A61,2,A101,23,A201,2
A11,24,A40,A65,4,A101,35,A201,2
A12,24,A40,A61,3,A101,25,A201,2
A11,24,A43,A61,2,A101,21,A201,2
A13,36,A43,A61,4,A101,26,A201,2
A11,24,A42,A63,4,A101,30,A201,2
A11,36,A42,A61,4,A101,29,A201,2
A14,12,A42,A63,4,A101,29,A201,2
A12,24,A49,A61,4,A101,31,A201,2
A11,24,A40,A61,3,A101,53,A201,2
A12,36,A43,A61,4,A101,42,A201,2
A12,24,A41,A61,1,A101,23,A201,2
A11,33,A42,A63,1,A101,23,A201,2
A12,24,A49,A61,1,A101,36,A201,2
A11,48,A49,A61,3,A101,24,A201,2
A12,24,A410,A61,2,A102,39,A201,2
A14,18,A40,A65,2,A101,68,A201,2
A11,12,A40,A61,3,A102,43,A201,2
A12,6,A46,A64,4,A101,24,A201,2
A12,30,A40,A61,4,A101,28,A201,2
A11,24,A42,A61,3,A101,23,A201,2
A11,36,A46,A65,4,A101,40,A201,2
A11,45,A43,A61,4,A101,23,A201,2
A12,30,A42,A62,2,A102,21,A201,2
A11,12,A43,A62,4,A101,20,A201,2
A12,48,A410,A61,1,A101,32,A202,2
A12,27,A43,A63,4,A101,23,A201,2
A11,9,A40,A61,3,A101,27,A201,2
A13,12,A49,A61,4,A101,26,A201,2
A11,18,A42,A61,2,A101,22,A201,2
A12,12,A45,A61,4,A101,30,A201,2
A12,6,A40,A65,1,A101,23,A201,2
A12,36,A40,A61,4,A101,27,A201,2
A11,36,A41,A61,2,A101,26,A201,2
A14,48,A49,A61,3,A101,33,A201,2
A12,18,A41,A61,3,A101,38,A201,2
A12,36,A49,A61,4,A101,61,A201,2
A12,24,A46,A61,4,A101,34,A201,2
A11,21,A46,A61,2,A101,26,A201,2
A11,12,A44,A62,4,A101,22,A201,2
A12,48,A49,A61,4,A101,59,A201,2
A11,12,A41,A61,3,A101,35,A201,2
A11,48,A41,A61,3,A101,24,A201,2
A12,48,A40,A62,3,A101,24,A201,2
A12,12,A40,A61,3,A101,25,A201,2
A11,12,A40,A61,4,A101,26,A201,2
A12,12,A42,A65,1,A101,25,A201,2
A12,18,A42,A61,4,A101,40,A201,2
A12,24,A43,A62,4,A101,38,A201,2
A11,28,A40,A61,3,A101,45,A201,2
A11,30,A42,A61,2,A101,31,A201,2
A12,18,A42,A61,2,A101,31,A201,2
A14,18,A42,A61,4,A101,22,A201,2
A12,12,A40,A61,2,A101,25,A201,2
A12,12,A40,A62,4,A101,23,A201,2
A12,36,A40,A61,4,A101,57,A201,2
A11,12,A43,A62,4,A101,33,A201,2
A12,12,A43,A61,2,A101,22,A201,2
A11,18,A42,A61,1,A101,20,A201,2
A11,18,A42,A61,4,A101,44,A201,2
A14,9,A42,A61,2,A102,19,A201,2
A11,48,A44,A61,3,A101,54,A201,2
A12,24,A40,A61,3,A101,20,A201,2
A12,18,A40,A62,3,A101,28,A201,2
A13,10,A40,A62,1,A101,48,A201,2
A14,48,A40,A63,2,A101,44,A201,2
A11,36,A42,A61,2,A101,41,A201,2
A14,24,A49,A64,2,A101,54,A201,2
A11,24,A40,A65,4,A101,29,A201,2
A12,45,A43,A61,4,A101,25,A201,2
A14,15,A46,A62,3,A101,40,A201,2
A12,36,A41,A61,1,A101,28,A201,2
A11,18,A42,A61,4,A101,24,A201,2
