@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NCredits numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,A32,A62,2,A121,23,1,1,1
A14,A32,A65,2,A122,31,1,1,1
A14,A32,A61,3,A123,32,1,1,1
A11,A34,A61,2,A124,36,3,1,1
A12,A32,A62,4,A121,22,1,1,1
A14,A32,A63,4,A123,28,1,1,1
A12,A32,A61,3,A121,34,1,1,1
A14,A34,A61,4,A123,37,2,1,1
A14,A32,A61,4,A123,34,2,1,1
A11,A32,A65,4,A124,49,1,2,1
A12,A34,A63,4,A122,23,2,1,2
A14,A32,A61,4,A122,43,1,2,2
A14,A32,A61,2,A123,19,2,1,2
A11,A32,A65,1,A122,51,1,2,2
A11,A32,A65,4,A122,35,1,1,2
A12,A30,A62,3,A123,28,2,1,2
A11,A34,A61,2,A124,55,3,2,2
A12,A33,A62,4,A124,30,2,1,2
A12,A32,A61,1,A123,28,1,1,2
A12,A30,A61,4,A124,61,1,1,2
A11,A32,A61,4,A122,32,1,1,2
A11,A32,A61,3,A122,24,1,1,2
A11,A32,A61,2,A122,41,1,2,2
A13,A34,A65,4,A121,37,2,2,2
A12,A32,A61,3,A123,25,1,1,2
A11,A32,A65,4,A124,40,1,1,2
A12,A33,A61,3,A122,34,1,1,2
A12,A32,A61,2,A123,25,1,1,2
A12,A33,A61,4,A124,57,2,1,2
A11,A30,A61,2,A123,29,2,1,2
A12,A32,A61,4,A123,37,1,2,2
A12,A32,A61,4,A124,33,1,1,2
A11,A30,A61,4,A122,28,2,1,2
A12,A32,A61,3,A124,38,1,1,2
A11,A32,A61,3,A123,31,1,1,2
A11,A32,A62,4,A124,33,1,1,2
A12,A32,A61,4,A122,30,1,1,2
A12,A32,A61,1,A123,23,2,1,2
A12,A32,A62,3,A122,24,1,1,2
A11,A33,A61,2,A122,26,2,1,2
A11,A32,A61,2,A122,26,1,2,2
A13,A32,A61,2,A121,25,1,1,2
A14,A31,A61,2,A124,39,2,2,2
A12,A34,A61,4,A121,31,2,1,2
A11,A32,A61,4,A123,33,1,1,2
A11,A32,A61,4,A121,27,1,1,2
A11,A32,A65,2,A123,20,1,1,2
A11,A31,A61,4,A124,29,1,1,2
A11,A32,A65,4,A123,23,1,1,2
A11,A30,A61,2,A122,50,2,1,2
A11,A32,A61,4,A121,26,1,1,2
A12,A32,A61,4,A121,23,1,1,2
A12,A33,A62,2,A123,42,4,1,2
A12,A32,A62,4,A122,21,1,1,2
A12,A33,A64,3,A122,61,2,1,2
A11,A32,A61,4,A121,26,1,1,2
A11,A30,A61,3,A124,23,2,2,2
A12,A32,A61,4,A123,36,1,2,2
A11,A32,A61,4,A123,23,1,1,2
A12,A32,A61,4,A121,28,2,1,2
A11,A32,A65,4,A124,32,1,1,2
A12,A32,A61,4,A123,41,1,2,2
A12,A34,A61,4,A123,28,2,1,2
A11,A31,A63,4,A124,30,1,2,2
A11,A32,A61,4,A123,23,2,1,2
A12,A30,A61,1,A121,36,3,1,2
A11,A34,A61,1,A121,44,1,1,2
A12,A34,A61,2,A123,30,1,1,2
A12,A32,A61,4,A124,27,1,1,2
A11,A32,A61,2,A123,20,1,1,2
A14,A32,A61,3,A123,33,1,1,2
A11,A30,A61,3,A124,53,2,2,2
A14,A33,A63,4,A121,41,1,2,2
A11,A32,A61,4,A124,39,3,2,2
A11,A32,A61,4,A123,30,1,2,2
A12,A34,A61,4,A122,25,2,1,2
A11,A32,A65,3,A124,47,1,1,2
A14,A32,A61,4,A123,41,1,2,2
A14,A34,A62,4,A121,30,2,1,2
A11,A32,A61,4,A123,31,1,1,2
A14,A32,A61,3,A121,21,1,1,2
A11,A32,A61,4,A121,23,1,1,2
A11,A32,A61,1,A123,23,1,1,2
A11,A32,A65,4,A123,30,1,1,2
A12,A30,A62,4,A124,34,1,2,2
A11,A31,A61,4,A124,35,1,1,2
A12,A32,A62,2,A123,24,1,1,2
A11,A32,A62,4,A122,20,1,1,2
A14,A32,A63,4,A123,29,1,1,2
A11,A32,A65,4,A123,29,1,1,2
A12,A32,A61,3,A123,25,1,1,2
A12,A32,A65,2,A124,52,1,1,2
A11,A32,A61,4,A121,23,1,1,2
A14,A33,A65,4,A123,27,2,1,2
A14,A34,A61,3,A122,32,2,1,2
A14,A32,A62,3,A122,40,1,1,2
A12,A33,A61,4,A124,50,1,1,2
A12,A32,A61,2,A123,22,1,1,2
A11,A32,A61,1,A124,34,1,1,2
A11,A34,A61,4,A121,24,2,1,2
A11,A34,A61,3,A124,25,2,1,2
A12,A32,A61,4,A122,37,1,1,2
A13,A33,A61,4,A121,66,1,1,2
A12,A30,A61,4,A122,25,2,1,2
A12,A32,A62,2,A123,28,2,1,2
A11,A32,A61,3,A121,37,1,1,2
A11,A32,A61,4,A121,33,1,2,2
A11,A32,A61,4,A124,65,2,1,2
A11,A31,A61,2,A122,55,1,1,2
A11,A31,A61,3,A123,27,1,1,2
A12,A32,A65,1,A122,23,1,1,2
A12,A32,A65,1,A124,37,1,1,2
A11,A32,A61,2,A123,42,1,1,2
A11,A34,A61,4,A123,60,2,1,2
A14,A33,A64,4,A124,55,2,2,2
A12,A31,A64,4,A122,24,1,2,2
A14,A32,A61,4,A123,26,2,1,2
A12,A33,A61,4,A122,47,1,1,2
A11,A32,A61,4,A123,40,1,2,2
A11,A34,A61,3,A122,60,2,1,2
A11,A34,A61,3,A121,29,2,1,2
A14,A32,A62,2,A123,31,2,1,2
A12,A32,A61,4,A124,42,1,1,2
A11,A32,A61,4,A121,24,1,1,2
A12,A33,A61,2,A121,30,2,1,2
A11,A33,A61,3,A122,26,2,2,2
A12,A31,A61,4,A124,59,1,1,2
A12,A32,A61,2,A122,39,1,2,2
A11,A31,A61,4,A123,31,1,1,2
A11,A33,A61,4,A121,43,2,2,2
A12,A34,A61,4,A123,33,1,1,2
A11,A30,A61,4,A121,28,2,1,2
A11,A34,A61,3,A122,43,2,1,2
A12,A32,A61,2,A123,29,2,1,2
A11,A34,A61,4,A124,46,2,1,2
A13,A32,A61,4,A123,26,1,1,2
A12,A32,A62,4,A123,61,2,1,2
A11,A33,A61,4,A121,48,1,1,2
A12,A34,A61,2,A123,39,2,2,2
A14,A30,A61,2,A123,36,2,2,2
A11,A30,A61,3,A124,24,2,2,2
A11,A32,A61,4,A121,35,1,1,2
A14,A34,A65,4,A122,33,1,2,2
A11,A30,A61,4,A123,48,2,1,2
A11,A32,A61,2,A122,31,1,1,2
A11,A32,A61,3,A124,35,1,1,2
A11,A32,A61,4,A122,21,1,1,2
A11,A32,A61,4,A123,28,1,1,2
A14,A32,A61,3,A121,22,1,1,2
A12,A34,A61,2,A121,25,2,1,2
A11,A33,A61,3,A124,53,2,2,2
A12,A31,A62,1,A122,32,1,1,2
A11,A32,A61,4,A121,45,1,1,2
A11,A32,A61,2,A122,31,1,1,2
A12,A30,A61,2,A121,26,2,1,2
A11,A31,A61,4,A123,46,2,1,2
A14,A32,A61,4,A123,28,1,1,2
A11,A31,A61,1,A124,29,2,1,2
A12,A32,A63,3,A123,28,1,1,2
A14,A32,A61,2,A121,25,1,1,2
A12,A32,A61,1,A123,29,1,1,2
A14,A30,A65,1,A122,29,2,1,2
A11,A32,A65,4,A122,31,1,1,2
A14,A32,A63,2,A122,26,1,1,2
A14,A31,A65,4,A121,53,1,1,2
A11,A32,A61,4,A121,47,1,1,2
A12,A32,A61,1,A122,22,1,1,2
A12,A32,A65,2,A121,25,1,1,2
A11,A32,A61,4,A123,25,1,1,2
A12,A32,A62,4,A124,50,1,1,2
A12,A32,A61,3,A121,24,1,1,2
A14,A33,A61,2,A123,27,2,1,2
A11,A32,A61,4,A124,23,1,1,2
A11,A34,A61,4,A124,23,2,1,2
A12,A34,A61,2,A121,31,2,1,2
A12,A32,A64,1,A124,27,2,1,2
A11,A33,A61,4,A122,29,1,1,2
A11,A32,A61,1,A121,34,2,1,2
A11,A30,A61,4,A123,33,2,2,2
A14,A34,A61,4,A123,42,2,1,2
A11,A32,A61,1,A124,68,1,1,2
A11,A32,A61,4,A123,42,1,2,2
A11,A33,A61,4,A123,29,1,1,2
A11,A32,A65,4,A123,24,1,1,2
A11,A32,A61,4,A122,29,1,1,2
A11,A32,A61,4,A122,39,1,1,2
A11,A31,A61,4,A124,32,2,2,2
A12,A30,A61,1,A122,32,1,1,2
A14,A33,A61,4,A123,26,2,1,2
A11,A32,A61,4,A124,42,1,1,2
A14,A34,A61,2,A122,23,2,1,2
A11,A32,A61,4,A123,34,1,1,2
A14,A33,A61,4,A123,28,1,1,2
A14,A32,A65,2,A123,68,2,1,2
A12,A32,A65,1,A122,25,1,1,2
A11,A34,A61,4,A124,58,2,1,2
A11,A32,A61,2,A123,22,1,1,2
A11,A32,A61,2,A121,24,1,1,2
A12,A34,A61,4,A123,27,2,1,2
A14,A32,A64,2,A122,54,3,1,2
A11,A32,A61,4,A124,36,1,1,2
A11,A34,A61,4,A124,27,1,1,2
A13,A34,A63,4,A121,28,3,1,2
A11,A34,A63,1,A123,23,2,1,2
A14,A34,A61,4,A121,25,2,1,2
A14,A32,A61,4,A124,37,1,1,2
A12,A30,A61,4,A123,42,1,1,2
A12,A31,A62,2,A124,29,1,1,2
A12,A32,A65,4,A122,33,1,1,2
A14,A34,A63,2,A124,44,1,1,2
A14,A32,A61,1,A122,32,1,1,2
A12,A32,A61,4,A124,57,1,1,2
A12,A32,A61,4,A124,44,1,1,2
A11,A32,A61,3,A124,27,1,1,2
A11,A31,A61,4,A123,44,1,1,2
A12,A30,A61,2,A124,42,2,1,2
A12,A32,A62,4,A123,27,4,1,2
A14,A32,A65,4,A122,27,1,1,2
A11,A32,A61,4,A123,34,1,1,2
A12,A32,A62,4,A124,29,1,1,2
A11,A32,A61,3,A121,25,2,1,2
A11,A32,A61,3,A122,22,1,1,2
A12,A34,A64,4,A124,32,2,2,2
A12,A32,A61,4,A123,30,1,1,2
A14,A33,A61,1,A123,28,2,1,2
A14,A32,A65,4,A121,38,1,1,2
A12,A30,A62,4,A123,26,2,1,2
A11,A32,A61,1,A122,45,1,1,2
A12,A34,A61,2,A122,49,1,1,2
A14,A32,A61,4,A123,22,1,1,2
A11,A32,A61,2,A123,24,1,1,2
A12,A30,A61,3,A124,58,1,1,2
A11,A34,A61,2,A122,43,1,1,2
A12,A31,A62,3,A124,60,2,1,2
A13,A32,A61,2,A121,34,1,2,2
A11,A34,A61,1,A121,33,3,1,2
A12,A33,A61,4,A124,40,1,1,2
A11,A32,A62,4,A122,22,1,1,2
A11,A32,A61,2,A121,21,1,2,2
A12,A32,A62,4,A122,23,1,1,2
A12,A34,A62,4,A124,38,2,2,2
A12,A34,A61,4,A123,28,2,1,2
A11,A32,A61,2,A123,36,1,1,2
A11,A32,A61,4,A122,27,1,1,2
A11,A31,A61,4,A123,24,1,1,2
A11,A31,A65,4,A122,40,2,2,2
A12,A32,A61,3,A122,20,1,1,2
A12,A32,A61,3,A123,43,1,1,2
A12,A32,A63,4,A121,66,1,1,2
A12,A32,A61,4,A124,24,1,1,2
A11,A34,A61,4,A122,35,2,1,2
A14,A33,A61,4,A121,22,1,1,2
A11,A32,A61,1,A121,20,1,1,2
A11,A32,A61,3,A123,54,1,1,2
A11,A31,A61,4,A122,31,1,1,2
A12,A32,A65,4,A121,27,1,1,2
A12,A31,A62,2,A122,25,1,1,2
A13,A34,A65,3,A124,39,2,1,2
A13,A32,A61,4,A121,37,1,1,2
A12,A32,A62,2,A123,21,1,1,2
A11,A32,A61,3,A123,45,1,1,2
A12,A34,A61,3,A121,30,2,1,2
A11,A32,A61,4,A122,23,1,1,2
A11,A32,A65,4,A121,25,1,1,2
A12,A31,A61,4,A124,34,1,1,2
A12,A31,A62,1,A122,34,1,2,2
A11,A32,A61,4,A124,53,1,1,2
A12,A34,A61,2,A123,25,1,1,2
A11,A32,A61,4,A121,57,1,1,2
A14,A34,A65,4,A124,30,1,1,2
A13,A32,A62,1,A124,48,1,2,2
A14,A32,A61,4,A121,23,1,1,2
A13,A31,A61,4,A121,26,1,1,2
A12,A32,A61,1,A121,23,1,1,2
A12,A32,A62,1,A124,47,1,2,2
A12,A32,A61,2,A121,22,1,1,2
A11,A31,A65,4,A123,40,1,1,2
A12,A32,A61,1,A123,26,1,1,2
A11,A33,A61,3,A124,63,2,1,2
A11,A34,A61,4,A123,24,2,1,2
