@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A11,18,3190,A92,A121,24,1,2
A12,24,11938,A93,A123,39,2,2
A12,36,9398,A94,A123,28,1,2
A12,18,1924,A92,A121,27,1,2
A11,12,759,A93,A121,26,1,2
A12,36,8086,A93,A123,42,4,2
A14,36,1819,A93,A124,37,1,2
A11,45,1845,A93,A124,23,1,2
A11,20,2235,A94,A122,33,2,2
A13,30,1908,A93,A121,66,1,2
A12,9,1136,A93,A124,32,2,2
A12,36,9034,A93,A124,29,1,2
A11,12,6199,A93,A122,28,2,2
A12,24,2039,A94,A122,22,1,2
A12,9,5129,A92,A124,74,1,2
A11,6,14896,A93,A124,68,1,2
A14,18,1533,A94,A122,43,1,2
A12,6,433,A92,A122,24,1,2
A12,48,10961,A93,A124,27,2,2
A11,21,3414,A93,A122,26,2,2
A12,24,4241,A93,A121,36,3,2
A12,12,1295,A92,A123,25,1,2
A11,24,1381,A92,A122,35,1,2
A12,12,951,A92,A123,27,4,2
A11,24,1333,A93,A121,43,2,2
A14,30,7485,A92,A121,53,1,2
A11,36,2145,A93,A123,24,2,2
A14,24,5943,A92,A123,44,2,2
A11,60,7297,A93,A124,36,1,2
A12,24,1837,A92,A124,34,1,2
A14,48,3914,A91,A121,38,1,2
A11,24,1358,A93,A123,40,1,2
A11,30,6350,A93,A122,31,1,2
A12,24,2064,A92,A122,34,1,2
A11,18,2462,A93,A123,22,1,2
A11,24,2439,A92,A121,35,1,2
A14,24,2397,A93,A123,35,2,2
A11,24,2996,A94,A123,20,1,2
A11,24,1938,A91,A122,32,1,2
A11,18,3114,A92,A122,26,1,2
A14,18,6761,A93,A123,68,2,2
A12,24,2718,A92,A122,20,1,2
A11,18,1553,A93,A123,44,1,2
A14,24,8648,A93,A123,27,2,2
A11,12,3499,A92,A121,29,2,2
A11,16,2625,A93,A122,43,1,2
A11,48,7685,A92,A123,37,1,2
A12,36,4455,A91,A121,30,2,2
A12,12,1331,A93,A123,22,1,2
A12,12,6468,A93,A124,52,1,2
A14,21,5003,A92,A122,29,2,2
A13,15,2327,A92,A121,25,1,2
A11,42,7174,A92,A123,30,1,2
A11,48,7763,A93,A124,42,1,2
A14,18,1808,A92,A121,22,1,2
A11,15,3959,A92,A122,29,1,2
A12,30,2150,A92,A124,24,1,2
A11,48,6143,A92,A124,58,2,2
A11,36,9629,A93,A123,24,2,2
A14,48,11590,A92,A123,24,2,2
A12,12,1534,A94,A121,23,1,2
A12,48,6560,A93,A122,24,1,2
A11,24,1659,A92,A123,29,1,2
A11,24,915,A92,A123,29,1,2
A14,12,2292,A93,A123,42,2,2
A12,12,1223,A91,A121,46,2,2
A12,24,4057,A91,A123,43,1,2
A11,18,976,A92,A123,23,1,2
A12,15,6850,A93,A122,34,1,2
A14,12,1555,A93,A124,55,2,2
A12,6,931,A92,A122,32,1,2
A11,48,3931,A93,A124,46,1,2
A11,40,5998,A93,A124,27,1,2
A12,24,12579,A92,A124,44,1,2
A11,18,750,A92,A121,27,1,2
A11,18,1442,A93,A124,32,2,2
A11,18,2600,A93,A124,65,2,2
A11,12,2579,A93,A121,33,1,2
A12,9,1501,A92,A123,34,2,2
A11,28,4006,A93,A123,45,1,2
A11,12,1108,A93,A121,28,2,2
A11,12,4843,A93,A122,43,2,2
A12,48,5096,A92,A123,30,1,2
A12,12,1922,A93,A122,37,1,2
A14,12,719,A93,A123,41,1,2
A11,36,8229,A93,A122,26,1,2
A11,48,3051,A93,A123,54,1,2
A12,48,3060,A93,A121,28,2,2
A12,30,8386,A93,A122,49,1,2
A11,12,741,A92,A122,22,1,2
A11,9,654,A93,A123,28,1,2
A12,36,2671,A92,A124,50,1,2
A11,12,2149,A91,A124,29,1,2
A11,48,6331,A93,A124,46,2,2
A13,36,4210,A93,A123,26,1,2
A11,42,3965,A93,A123,34,1,2
A11,48,4308,A92,A122,24,1,2
A11,24,1024,A94,A121,48,1,2
A12,36,2225,A93,A124,57,2,2
A11,12,7865,A93,A124,53,1,2
A12,18,1056,A93,A121,30,2,2
A12,9,959,A92,A123,29,1,2
A12,18,1245,A94,A123,33,1,2
A13,9,745,A92,A121,28,1,2
A11,12,709,A93,A121,57,1,2
A12,36,12612,A93,A124,47,1,2
A14,27,2570,A92,A121,21,1,2
A11,30,3108,A91,A122,31,1,2
A11,18,7511,A93,A122,51,1,2
A11,12,902,A94,A122,21,1,2
A12,48,9960,A92,A123,26,1,2
A12,60,7408,A92,A122,24,1,2
A14,21,12680,A93,A124,30,1,2
A11,24,3161,A93,A122,31,1,2
A12,18,2278,A92,A123,28,2,2
A11,24,3234,A92,A121,23,1,2
A12,8,1237,A92,A121,24,1,2
A11,36,2302,A91,A123,31,1,2
A11,24,1193,A92,A124,29,2,2
A12,48,18424,A92,A122,32,1,2
A11,24,4870,A93,A124,53,2,2
A13,24,1344,A93,A121,37,2,2
A11,24,6872,A91,A122,55,1,2
A11,42,4370,A93,A122,26,2,2
A12,60,14782,A92,A124,60,2,2
A11,15,1275,A92,A123,24,1,2
A12,48,5951,A92,A121,22,1,2
A12,48,14421,A93,A123,25,1,2
A14,24,3621,A93,A123,31,2,2
A11,36,6229,A92,A124,23,2,2
A12,9,1437,A93,A124,29,1,2
A11,36,8335,A93,A124,47,1,2
A12,24,11328,A93,A123,29,2,2
A12,18,12976,A92,A124,38,1,2
A11,24,3349,A93,A124,30,1,2
A11,48,4605,A93,A124,24,2,2
A11,27,5293,A93,A122,50,2,2
A11,12,684,A93,A123,40,1,2
A14,36,7127,A92,A122,23,2,2
A11,24,1285,A92,A124,32,1,2
A11,12,1372,A91,A123,36,1,2
A14,18,4165,A93,A123,36,2,2
A11,36,8065,A92,A124,25,2,2
A11,24,2359,A91,A122,33,1,2
A12,12,685,A94,A123,25,1,2
A11,36,3446,A93,A123,42,1,2
A12,27,2520,A93,A122,23,2,2
A13,9,1337,A93,A123,34,2,2
A11,24,1282,A92,A123,32,1,2
A11,48,6758,A92,A123,31,1,2
A11,24,3345,A93,A122,39,1,2
A12,48,3844,A93,A124,34,1,2
A12,48,6416,A92,A124,59,1,2
A11,30,2406,A92,A121,23,1,2
A11,18,2473,A93,A123,25,1,2
A11,36,9271,A93,A123,24,1,2
A14,36,4463,A93,A123,26,2,2
A12,9,1670,A92,A123,22,1,2
A11,6,1198,A92,A124,35,1,2
A11,18,1882,A92,A123,25,2,2
A12,39,4933,A93,A121,25,2,2
A12,27,8318,A92,A124,42,2,2
A11,6,3384,A91,A121,44,1,2
A14,48,10127,A93,A124,44,1,2
A13,10,1240,A92,A124,48,1,2
A12,24,4113,A92,A123,28,1,2
A12,48,15672,A93,A123,23,1,2
A11,12,674,A94,A122,20,1,2
A11,14,8978,A91,A122,45,1,2
A11,24,1371,A92,A121,25,1,2
A14,6,4611,A92,A122,32,1,2
A12,48,6224,A93,A124,50,1,2
A12,36,3804,A92,A123,42,1,2
A12,18,1042,A92,A122,33,1,2
A12,9,918,A92,A122,30,1,2
A12,12,2762,A92,A122,25,1,2
A14,12,1123,A92,A123,29,1,2
A11,24,1442,A92,A123,23,2,2
A12,24,1355,A92,A123,25,1,2
A12,30,5234,A94,A123,28,2,2
A12,30,1919,A93,A124,30,2,2
A12,18,1928,A93,A121,31,2,2
A12,18,4297,A91,A124,40,1,2
A11,12,3386,A93,A124,35,1,2
A13,15,1271,A93,A124,39,2,2
A11,12,1274,A92,A121,37,1,2
A12,15,1778,A92,A121,26,2,2
A12,60,14027,A93,A124,27,1,2
A12,15,2631,A92,A123,28,2,2
A11,12,727,A94,A124,33,1,2
A14,10,2210,A93,A121,25,1,2
A11,12,697,A93,A123,46,2,2
A12,27,3915,A93,A123,36,1,2
A13,18,2864,A93,A121,34,1,2
A14,18,1530,A93,A122,32,2,2
A11,48,6999,A94,A121,34,2,2
A11,18,1131,A92,A123,33,1,2
A11,18,1217,A94,A121,47,1,2
A11,48,10297,A93,A124,39,3,2
A12,15,802,A93,A123,37,1,2
A12,6,1209,A93,A122,47,1,2
A14,9,1980,A92,A123,19,2,2
A12,24,3092,A94,A123,22,1,2
A11,24,1199,A93,A123,60,2,2
A14,36,7980,A93,A123,27,2,2
A11,24,1207,A92,A122,24,1,2
A11,6,448,A92,A122,23,1,2
A13,18,2100,A93,A121,37,1,2
A12,21,2767,A91,A123,61,2,2
A13,21,2319,A91,A123,33,1,2
