@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,A61,3,39,A143,2,2
A12,A61,2,31,A143,1,2
A14,A61,2,31,A141,1,2
A12,A61,4,24,A143,1,2
A11,A61,4,46,A143,1,2
A12,A61,1,22,A143,1,2
A11,A61,4,35,A143,1,2
A12,A61,4,50,A143,1,2
A11,A61,4,21,A143,2,2
A14,A61,2,25,A141,1,2
A13,A62,4,48,A143,2,2
A14,A61,2,28,A143,1,2
A11,A61,4,39,A142,2,2
A12,A62,2,24,A143,1,2
A14,A65,4,29,A141,1,2
A11,A61,2,26,A143,2,2
A11,A61,4,29,A143,1,2
A14,A62,2,30,A143,1,2
A11,A61,1,27,A143,1,2
A14,A63,4,29,A143,1,2
A13,A61,2,28,A143,1,2
A11,A61,4,23,A143,1,2
A12,A61,1,25,A143,1,2
A12,A62,2,22,A143,1,2
A12,A61,1,30,A143,1,2
A12,A65,2,23,A143,1,2
A12,A61,3,34,A143,1,2
A12,A61,2,49,A143,1,2
A12,A61,4,38,A143,1,2
A12,A61,2,25,A143,1,2
A12,A61,3,25,A141,1,2
A12,A65,4,37,A143,1,2
A14,A65,4,30,A143,1,2
A13,A65,4,39,A143,1,2
A14,A62,2,40,A143,1,2
A11,A65,3,30,A143,1,2
A11,A61,2,42,A143,2,2
A14,A61,3,21,A143,1,2
A11,A61,4,23,A143,1,2
A14,A61,2,25,A142,1,2
A11,A61,4,54,A143,1,2
A11,A65,4,40,A143,1,2
A11,A61,1,29,A143,1,2
A12,A61,4,36,A141,2,2
A12,A61,4,41,A141,2,2
A14,A61,2,19,A143,1,2
A12,A62,2,23,A141,1,2
A12,A61,2,28,A143,1,2
A12,A63,4,28,A143,1,2
A11,A65,4,32,A143,1,2
A12,A61,2,30,A143,1,2
A11,A61,2,33,A143,1,2
A12,A61,2,32,A141,1,2
A12,A64,2,24,A141,2,2
A11,A61,4,31,A141,1,2
A12,A61,2,57,A143,1,2
A11,A61,4,24,A143,1,2
A12,A61,3,30,A143,1,2
A11,A61,4,58,A142,1,2
A11,A61,4,48,A141,1,2
A14,A65,4,68,A143,1,2
A12,A61,3,25,A143,1,2
A12,A61,1,33,A143,1,2
A11,A65,2,40,A143,2,2
A11,A61,4,36,A143,1,2
A11,A61,3,36,A143,1,2
A12,A61,3,37,A143,2,2
A12,A62,3,28,A143,1,2
A11,A61,4,42,A141,1,2
A11,A61,4,34,A143,1,2
A11,A61,3,31,A143,1,2
A13,A61,2,37,A142,1,2
A11,A62,1,20,A143,1,2
A11,A61,3,35,A143,1,2
A11,A61,2,31,A143,1,2
A12,A61,4,28,A143,1,2
A12,A61,4,20,A143,1,2
A11,A61,3,47,A143,1,2
A11,A61,3,28,A143,1,2
A14,A65,2,38,A141,1,2
A11,A61,4,65,A143,1,2
A12,A65,3,27,A143,1,2
A12,A61,4,42,A143,1,2
A13,A61,1,34,A143,2,2
A12,A61,2,24,A141,1,2
A14,A63,2,26,A143,1,2
A11,A61,1,26,A143,1,2
A11,A61,1,55,A141,1,2
A11,A65,2,29,A141,1,2
A12,A61,2,30,A142,1,2
A14,A63,2,35,A141,1,2
A11,A61,4,43,A141,1,2
A12,A62,4,34,A143,2,2
