@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,1442,A153,A172,A191,2
A12,918,A152,A173,A191,2
A11,14896,A152,A174,A192,2
A12,959,A152,A173,A191,2
A14,1555,A153,A173,A191,2
A13,2319,A151,A173,A191,2
A12,6560,A152,A173,A191,2
A14,1980,A151,A173,A191,2
A11,684,A151,A172,A191,2
A11,6331,A153,A173,A192,2
A12,11938,A152,A174,A192,2
A11,8335,A153,A173,A191,2
A14,1478,A152,A173,A191,2
A12,6224,A153,A173,A191,2
A11,3051,A152,A173,A191,2
A12,1331,A152,A173,A191,2
A11,1553,A152,A173,A191,2
A11,7297,A151,A173,A191,2
A11,691,A152,A173,A191,2
A11,11998,A152,A172,A192,2
A13,1344,A152,A172,A191,2
A11,6229,A151,A172,A192,2
A14,5943,A152,A173,A192,2
A11,4605,A153,A173,A191,2
A11,3114,A151,A173,A191,2
A12,6850,A152,A174,A192,2
A11,2600,A153,A173,A191,2
A11,6836,A152,A173,A192,2
A14,1819,A153,A173,A192,2
A12,4057,A152,A173,A192,2
A11,1274,A152,A172,A191,2
A12,1223,A151,A173,A191,2
A11,9629,A152,A173,A192,2
A11,4843,A151,A173,A192,2
A11,1193,A151,A171,A191,2
A12,1670,A152,A173,A192,2
A12,2225,A153,A173,A192,2
A11,2579,A152,A172,A191,2
A12,1924,A151,A173,A191,2
A14,4165,A152,A173,A191,2
A12,5096,A152,A174,A192,2
A11,8978,A152,A174,A192,2
A11,1381,A152,A173,A191,2
A11,1823,A152,A174,A191,2
A12,802,A152,A173,A191,2
A14,433,A151,A173,A191,2
A11,654,A152,A172,A191,2
A11,626,A152,A172,A191,2
A12,1237,A152,A173,A191,2
A11,1546,A151,A172,A191,2
A14,1123,A151,A172,A191,2
A11,1228,A152,A172,A191,2
A11,8065,A152,A174,A192,2
A12,2631,A151,A173,A192,2
A12,14555,A152,A171,A192,2
A11,950,A151,A173,A191,2
A11,1442,A151,A173,A191,2
A12,14421,A152,A173,A192,2
A12,3441,A151,A173,A191,2
A12,1056,A152,A173,A191,2
A14,7980,A151,A173,A192,2
A12,1355,A152,A172,A192,2
A12,3092,A151,A173,A192,2
A14,1530,A152,A173,A191,2
A12,8086,A152,A174,A192,2
A12,7408,A152,A174,A191,2
A11,2359,A152,A173,A191,2
A11,1345,A152,A173,A191,2
A14,7485,A152,A174,A192,2
A11,4281,A152,A173,A191,2
A11,3965,A152,A173,A191,2
A12,14027,A152,A174,A192,2
A12,2767,A151,A172,A191,2
A14,2538,A152,A172,A191,2
A12,11560,A151,A174,A191,2
A11,4870,A153,A173,A191,2
A12,836,A152,A172,A191,2
A12,3060,A152,A173,A191,2
A11,1108,A152,A173,A191,2
A11,2473,A152,A171,A191,2
A12,5951,A152,A173,A191,2
A11,2303,A152,A173,A191,2
A11,3161,A151,A173,A192,2
A11,10297,A153,A173,A192,2
A11,3552,A152,A173,A191,2
