@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute InstallmentPlans {A143,A141,A142}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A13,A43,A61,A93,A143,A201,2
A11,A43,A61,A92,A141,A201,2
A14,A42,A61,A92,A143,A201,2
A11,A41,A61,A93,A143,A201,2
A11,A42,A61,A92,A143,A201,2
A11,A49,A61,A93,A143,A201,2
A11,A43,A61,A91,A143,A201,2
A14,A49,A61,A94,A143,A201,2
A12,A40,A61,A94,A141,A201,2
A14,A45,A61,A92,A143,A201,2
A12,A43,A61,A92,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A49,A61,A92,A143,A201,2
A14,A49,A65,A91,A141,A201,2
A14,A42,A61,A92,A143,A201,2
A14,A49,A61,A93,A141,A201,2
A12,A46,A61,A92,A141,A201,2
A11,A40,A65,A94,A143,A201,2
A12,A41,A61,A94,A143,A201,2
A13,A46,A61,A91,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A12,A40,A62,A93,A143,A201,2
A11,A41,A61,A92,A142,A201,2
A11,A42,A62,A91,A143,A201,2
A11,A40,A61,A92,A143,A201,2
A11,A49,A61,A93,A143,A201,2
A11,A40,A61,A93,A141,A201,2
A11,A42,A61,A93,A143,A201,2
A11,A40,A65,A92,A143,A201,2
A13,A49,A61,A92,A143,A201,2
A12,A40,A62,A93,A143,A201,2
A11,A40,A65,A92,A143,A201,2
A11,A40,A61,A92,A143,A201,2
A14,A41,A62,A92,A141,A201,2
A11,A42,A61,A92,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A12,A40,A62,A94,A143,A201,2
A12,A42,A61,A91,A143,A201,2
A11,A49,A61,A93,A143,A201,2
A11,A43,A61,A93,A143,A201,2
A14,A42,A61,A92,A143,A201,2
A11,A42,A61,A93,A143,A201,2
A14,A40,A63,A93,A141,A201,2
A12,A42,A61,A92,A143,A202,2
A11,A42,A61,A93,A143,A201,2
A12,A40,A65,A93,A143,A201,2
A11,A43,A65,A92,A143,A201,2
A11,A43,A61,A93,A142,A201,2
A11,A42,A61,A92,A143,A201,2
A11,A43,A61,A91,A143,A201,2
A11,A42,A61,A93,A141,A201,2
A11,A46,A61,A93,A142,A201,2
A12,A43,A62,A93,A143,A201,2
A11,A42,A61,A93,A141,A201,2
A14,A42,A61,A92,A143,A201,2
A12,A42,A62,A92,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A43,A61,A92,A143,A201,2
A13,A40,A61,A93,A141,A201,2
A11,A40,A61,A92,A143,A201,2
A13,A43,A61,A92,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A42,A65,A94,A143,A201,2
A11,A43,A61,A92,A143,A201,2
A12,A42,A61,A92,A143,A201,2
A12,A43,A62,A92,A143,A201,2
A14,A49,A61,A93,A141,A201,2
A12,A42,A62,A92,A141,A201,2
A12,A40,A62,A92,A141,A201,2
A11,A42,A61,A91,A143,A201,2
A12,A49,A61,A92,A143,A201,2
A12,A41,A61,A92,A143,A201,2
A11,A410,A65,A93,A142,A201,2
A12,A410,A61,A93,A141,A201,2
A12,A40,A61,A91,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A41,A61,A93,A143,A201,2
A11,A49,A61,A93,A143,A201,2
A11,A43,A61,A92,A143,A201,2
A12,A49,A61,A93,A143,A201,2
A12,A43,A61,A93,A143,A201,2
A14,A46,A61,A93,A141,A201,2
A11,A40,A61,A93,A141,A201,2
A11,A42,A61,A92,A143,A201,2
A12,A49,A61,A93,A143,A201,2
A11,A46,A61,A92,A143,A201,2
A11,A43,A62,A92,A143,A201,2
A11,A46,A61,A93,A143,A201,2
A12,A49,A61,A91,A142,A201,2
A14,A49,A61,A93,A142,A201,2
A11,A42,A61,A93,A143,A201,2
A11,A49,A61,A93,A142,A201,2
A14,A49,A64,A93,A143,A201,2
A13,A43,A61,A93,A143,A201,2
A12,A43,A61,A94,A143,A201,2
A11,A42,A65,A93,A143,A201,2
A11,A40,A61,A93,A141,A201,2
A14,A46,A61,A93,A142,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A42,A61,A91,A141,A201,2
A12,A40,A65,A93,A143,A201,2
A11,A44,A62,A92,A143,A201,2
A11,A43,A62,A94,A143,A201,2
A11,A42,A61,A93,A141,A201,2
A11,A40,A61,A92,A143,A201,2
A12,A42,A65,A92,A141,A201,2
A11,A42,A61,A91,A143,A201,2
A14,A46,A62,A92,A143,A201,2
A11,A41,A61,A93,A143,A201,2
A12,A49,A62,A92,A143,A201,2
A12,A41,A63,A92,A143,A201,2
A12,A45,A61,A93,A143,A201,2
A12,A43,A65,A93,A143,A201,2
A12,A40,A61,A92,A143,A201,2
A11,A40,A61,A92,A143,A201,2
A13,A42,A61,A93,A143,A201,2
A12,A40,A61,A93,A141,A201,2
A12,A49,A61,A92,A143,A201,2
A11,A40,A61,A91,A143,A201,2
A11,A45,A61,A91,A143,A201,2
A12,A42,A65,A92,A143,A201,2
A11,A46,A61,A92,A143,A201,2
A12,A43,A64,A93,A141,A201,2
A11,A44,A65,A92,A143,A201,2
A12,A43,A61,A93,A143,A201,2
A11,A43,A61,A94,A143,A201,2
A12,A40,A61,A93,A141,A201,2
A12,A40,A61,A94,A143,A201,2
A11,A41,A61,A93,A142,A201,2
A12,A49,A61,A93,A143,A201,2
A14,A40,A65,A93,A143,A201,2
A12,A43,A61,A94,A143,A201,2
A11,A42,A61,A93,A141,A201,2
A14,A46,A62,A93,A143,A201,2
A12,A42,A62,A93,A143,A201,2
A13,A40,A62,A92,A143,A201,2
A11,A43,A61,A93,A142,A201,2
A11,A45,A61,A92,A143,A201,2
A14,A43,A61,A92,A143,A201,2
A11,A42,A61,A92,A141,A201,2
A12,A41,A61,A92,A143,A201,2
A11,A43,A61,A93,A141,A201,2
A14,A40,A61,A93,A141,A201,2
A11,A44,A61,A93,A143,A201,2
A12,A49,A62,A93,A143,A201,2
A12,A40,A61,A93,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A14,A40,A61,A92,A143,A201,2
A11,A42,A63,A92,A143,A201,2
A11,A40,A61,A92,A143,A201,2
A14,A41,A65,A92,A141,A201,2
A14,A42,A61,A93,A141,A201,2
A11,A49,A61,A93,A143,A201,2
A12,A43,A62,A94,A143,A201,2
A11,A43,A61,A94,A141,A201,2
A12,A43,A62,A93,A141,A201,2
A12,A49,A61,A92,A143,A201,2
A13,A43,A61,A93,A142,A201,2
A12,A40,A61,A92,A143,A201,2
A11,A40,A61,A94,A141,A202,2
A13,A43,A65,A93,A143,A201,2
A11,A40,A65,A93,A143,A201,2
A14,A40,A65,A93,A143,A201,2
A12,A49,A62,A91,A141,A201,2
A11,A40,A61,A92,A143,A201,2
A12,A40,A61,A91,A143,A201,2
A12,A46,A62,A93,A143,A201,2
A12,A40,A62,A93,A143,A201,2
A12,A40,A62,A92,A142,A201,2
A14,A40,A65,A92,A141,A201,2
A12,A49,A61,A93,A143,A201,2
A12,A40,A62,A92,A143,A201,2
A11,A40,A61,A91,A143,A202,2
A11,A42,A61,A93,A143,A201,2
A14,A43,A63,A93,A141,A201,2
A12,A42,A61,A92,A141,A201,2
A14,A43,A61,A93,A143,A201,2
A12,A40,A61,A94,A143,A201,2
A13,A43,A61,A92,A143,A201,2
A12,A46,A64,A92,A141,A201,2
A12,A43,A61,A93,A143,A201,2
A11,A40,A61,A93,A143,A201,2
A11,A46,A65,A93,A143,A201,2
A14,A42,A63,A92,A143,A201,2
A11,A42,A61,A92,A143,A201,2
A11,A40,A61,A92,A143,A201,2
A12,A40,A61,A93,A141,A201,2
A11,A43,A61,A93,A143,A201,2
A11,A44,A61,A94,A143,A201,2
A11,A42,A63,A93,A143,A201,2
A12,A43,A61,A93,A143,A201,2
A11,A42,A61,A93,A143,A201,2
A14,A40,A65,A93,A143,A201,2
A11,A40,A61,A93,A141,A201,2
A11,A43,A61,A92,A143,A201,2
A12,A42,A61,A92,A143,A201,2
A12,A46,A61,A92,A143,A201,2
A12,A40,A62,A93,A143,A201,2
A11,A46,A61,A92,A143,A201,2
A14,A42,A61,A92,A143,A201,2
A13,A40,A65,A93,A141,A201,2
A12,A43,A63,A93,A143,A201,2
A12,A46,A64,A93,A143,A201,2
A14,A40,A61,A92,A142,A201,2
A13,A49,A61,A93,A143,A201,2
A12,A42,A61,A93,A143,A201,2
A14,A43,A65,A92,A141,A201,2
A12,A42,A61,A92,A143,A201,2
A12,A43,A61,A94,A143,A201,2
A11,A43,A61,A91,A143,A201,2
A11,A43,A61,A94,A142,A201,2
A12,A40,A61,A92,A141,A201,2
A14,A40,A61,A93,A143,A201,2
A12,A42,A61,A92,A143,A201,2
A14,A42,A61,A94,A143,A201,2
A11,A40,A61,A92,A143,A201,2
