@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A11,A32,1977,A93,A174,1,2
A11,A34,2124,A92,A173,1,2
A14,A32,1533,A94,A172,2,2
A14,A31,6458,A93,A174,2,2
A12,A31,1437,A93,A173,1,2
A14,A30,4165,A93,A173,2,2
A14,A32,10974,A92,A174,1,2
A13,A34,1344,A93,A172,2,2
A12,A30,18424,A92,A174,1,2
A11,A32,1422,A93,A174,1,2
A14,A32,1309,A93,A172,1,2
A12,A32,3092,A94,A173,1,2
A12,A33,4297,A91,A174,1,2
A14,A32,2210,A93,A172,1,2
A14,A32,3349,A92,A174,1,2
A12,A30,4280,A92,A172,1,2
A14,A32,1943,A92,A173,1,2
A14,A34,797,A92,A172,2,2
A12,A33,6224,A93,A173,1,2
A12,A30,1953,A93,A174,1,2
A12,A30,2278,A92,A173,1,2
A11,A34,4281,A92,A173,1,2
A12,A32,2671,A92,A173,1,2
A11,A32,1216,A92,A173,1,2
A11,A30,7119,A93,A173,2,2
A14,A32,1123,A92,A172,1,2
A12,A34,4736,A92,A172,1,2
A12,A32,3915,A93,A173,2,2
A14,A32,3621,A93,A173,1,2
A11,A31,697,A93,A173,1,2
A12,A32,1484,A94,A173,1,2
A11,A32,1987,A93,A172,2,2
A12,A32,1331,A93,A173,1,2
A12,A32,1670,A92,A173,1,2
A12,A32,6468,A93,A174,1,2
A12,A32,2150,A92,A173,1,2
A12,A32,888,A93,A172,2,2
A11,A32,902,A94,A173,1,2
A11,A32,6999,A94,A173,1,2
A12,A31,433,A92,A173,2,2
A12,A34,2820,A91,A173,1,2
A11,A32,2302,A91,A173,1,2
A11,A32,3234,A92,A172,1,2
A11,A32,900,A94,A173,1,2
A14,A34,1530,A93,A173,1,2
A12,A32,3441,A92,A173,1,2
A11,A32,1842,A92,A173,1,2
A12,A32,2039,A94,A173,1,2
A11,A32,741,A92,A173,1,2
A12,A33,1919,A93,A174,1,2
A12,A30,14421,A93,A173,1,2
A11,A34,2235,A94,A173,1,2
A11,A32,3446,A93,A173,2,2
A14,A33,2538,A93,A172,2,2
A12,A32,2762,A92,A173,1,2
A14,A32,1386,A92,A173,1,2
A11,A32,11998,A91,A172,1,2
A14,A34,2292,A93,A174,1,2
A11,A32,1835,A92,A173,1,2
A13,A34,1271,A93,A173,1,2
A12,A32,836,A92,A172,1,2
A12,A30,15945,A93,A173,1,2
A11,A32,448,A92,A173,1,2
A14,A32,1478,A93,A173,1,2
A11,A32,7174,A92,A174,1,2
A12,A32,2767,A91,A172,1,2
A11,A32,976,A92,A172,1,2
A11,A32,709,A93,A172,1,2
A14,A33,7980,A93,A173,1,2
A14,A33,1808,A92,A173,1,2
A12,A32,11328,A93,A174,1,2
A12,A31,6850,A93,A174,2,2
A11,A32,3123,A92,A173,1,2
A11,A32,2996,A94,A173,1,2
A12,A32,1223,A91,A173,1,2
A12,A32,639,A93,A173,1,2
A12,A31,1264,A94,A173,1,2
A11,A30,11816,A93,A173,1,2
A11,A30,4110,A93,A173,2,2
A11,A32,2579,A93,A172,2,2
A13,A32,4210,A93,A173,1,2
A12,A32,14555,A93,A171,1,2
A13,A32,2100,A93,A173,1,2
A12,A32,1534,A94,A173,1,2
A11,A32,7865,A93,A174,1,2
A11,A33,6836,A93,A173,1,2
A14,A32,5943,A92,A173,1,2
A12,A33,4455,A91,A174,1,2
A11,A32,1282,A92,A172,1,2
A14,A33,2580,A93,A172,2,2
A13,A34,2319,A91,A173,1,2
A11,A32,1823,A93,A174,2,2
A11,A32,1217,A94,A172,1,2
A12,A34,4933,A93,A173,1,2
A11,A31,2149,A91,A173,1,2
A11,A32,8335,A93,A173,1,2
A14,A32,6761,A93,A173,1,2
A11,A32,2359,A91,A173,1,2
A13,A32,2864,A93,A172,2,2
A14,A33,9572,A91,A173,1,2
A11,A32,1207,A92,A173,1,2
A11,A32,2473,A93,A171,1,2
A14,A32,4844,A93,A174,1,2
A11,A32,4817,A93,A173,1,2
A11,A31,3161,A93,A173,1,2
A11,A32,2039,A92,A173,1,2
A12,A32,918,A92,A173,1,2
A12,A32,1246,A93,A172,1,2
A13,A34,939,A94,A173,1,2
A11,A34,5998,A93,A173,1,2
A12,A32,4057,A91,A173,1,2
A11,A32,4153,A93,A173,1,2
A14,A34,11590,A92,A172,1,2
A11,A30,1108,A93,A173,1,2
A12,A30,3804,A92,A173,1,2
A12,A32,1295,A92,A173,1,2
A11,A32,1372,A91,A173,1,2
A11,A34,1190,A92,A171,2,2
A11,A34,4843,A93,A173,1,2
A11,A30,6199,A93,A173,1,2
A14,A32,4623,A93,A174,1,2
A11,A32,2406,A92,A173,1,2
A13,A33,1908,A93,A174,1,2
A12,A33,2064,A92,A174,1,2
A12,A34,1136,A93,A173,2,2
A11,A30,3114,A92,A173,1,2
A11,A32,759,A93,A173,1,2
A12,A32,5951,A92,A173,1,2
A12,A30,8318,A92,A174,1,2
A12,A34,1056,A93,A173,1,2
A11,A32,3386,A93,A173,1,2
A12,A32,802,A93,A173,2,2
A12,A30,4241,A93,A172,1,2
A11,A32,915,A92,A173,1,2
A12,A34,1928,A93,A172,1,2
A13,A32,1240,A92,A172,2,2
A12,A34,1501,A92,A174,1,2
A13,A32,947,A93,A173,2,2
A14,A34,1864,A92,A173,1,2
A11,A32,1275,A92,A173,1,2
A11,A32,1381,A92,A173,1,2
A14,A34,7855,A92,A173,1,2
A11,A32,1282,A92,A173,1,2
A14,A30,5003,A92,A173,1,2
A11,A34,3499,A92,A173,1,2
A11,A32,1366,A92,A173,1,2
A11,A31,1647,A93,A172,2,2
A11,A32,1131,A92,A173,1,2
A11,A32,750,A92,A171,1,2
A12,A32,11560,A92,A174,1,2
A14,A31,7485,A92,A174,1,2
A11,A34,2625,A93,A173,1,2
A12,A30,1778,A92,A171,1,2
A12,A32,6560,A93,A173,1,2
A12,A34,884,A93,A173,2,2
A11,A31,1546,A93,A172,1,2
A11,A31,626,A92,A172,1,2
A11,A34,2246,A93,A173,1,2
A11,A31,2746,A93,A173,1,2
A11,A33,1024,A94,A173,1,2
A11,A32,8978,A91,A174,1,2
A14,A34,2775,A93,A173,1,2
A13,A32,2327,A92,A172,1,2
A12,A34,5096,A92,A174,1,2
A11,A30,4605,A93,A173,2,2
A11,A33,1333,A93,A173,2,2
A12,A32,1042,A92,A173,1,2
A12,A32,9034,A93,A174,1,2
A11,A33,3414,A93,A173,1,2
A14,A34,12680,A93,A174,1,2
A12,A31,14782,A92,A174,1,2
A12,A32,6288,A93,A173,1,2
A12,A34,4746,A93,A172,1,2
A12,A32,7408,A92,A174,1,2
A11,A32,3965,A93,A173,1,2
