@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
42,A32,7174,30,1,A192,2
24,A33,2064,34,1,A192,2
18,A32,2039,20,1,A191,2
36,A32,2712,41,1,A191,2
15,A32,3959,29,1,A192,2
48,A32,10297,39,3,A192,2
48,A30,3844,34,1,A191,2
9,A32,654,28,1,A191,2
24,A32,1285,32,1,A191,2
18,A34,1190,55,3,A191,2
48,A32,3931,46,1,A191,2
12,A34,2246,60,2,A191,2
12,A34,3499,29,2,A191,2
24,A31,1837,34,1,A191,2
24,A32,1823,30,1,A191,2
24,A32,1282,32,1,A191,2
24,A31,3552,27,1,A191,2
18,A31,1553,44,1,A191,2
12,A32,719,41,1,A191,2
48,A33,6224,50,1,A191,2
12,A32,674,20,1,A191,2
12,A32,684,40,1,A191,2
24,A33,1333,43,2,A191,2
12,A34,4843,43,2,A192,2
21,A32,2767,61,2,A191,2
12,A32,1922,37,1,A191,2
48,A30,14421,25,1,A192,2
9,A32,959,29,1,A191,2
12,A32,727,33,1,A192,2
24,A32,11560,23,2,A191,2
36,A32,12389,37,1,A192,2
12,A32,888,41,1,A191,2
36,A34,6229,23,2,A192,2
24,A32,2039,22,1,A192,2
30,A34,8386,49,1,A191,2
30,A31,7485,53,1,A192,2
18,A34,2124,24,2,A191,2
30,A34,5234,28,2,A191,2
45,A30,11816,29,2,A191,2
48,A32,7763,42,1,A191,2
45,A32,1845,23,1,A192,2
8,A32,1237,24,1,A191,2
12,A32,1123,29,1,A191,2
12,A31,626,24,1,A191,2
24,A32,2397,35,2,A192,2
18,A32,1216,23,1,A192,2
21,A34,2319,33,1,A191,2
24,A31,3349,30,1,A192,2
6,A32,14555,23,1,A192,2
27,A30,5293,50,2,A192,2
12,A32,2762,25,1,A192,2
36,A33,4455,30,2,A192,2
30,A33,1908,66,1,A192,2
24,A32,1355,25,1,A192,2
54,A30,15945,58,1,A192,2
24,A34,11938,39,2,A192,2
18,A34,1245,33,1,A191,2
12,A32,1372,36,1,A191,2
45,A34,4746,25,2,A191,2
18,A32,1533,43,1,A191,2
18,A32,1882,25,2,A191,2
30,A30,4280,26,2,A191,2
36,A34,2820,27,2,A191,2
36,A33,2145,24,2,A192,2
18,A32,1345,26,1,A191,2
18,A32,4153,42,1,A191,2
36,A33,7980,27,2,A192,2
24,A34,4736,25,1,A191,2
24,A30,4241,36,3,A192,2
18,A30,3114,26,1,A191,2
60,A32,7297,36,1,A191,2
6,A31,1198,35,1,A191,2
24,A33,2538,47,2,A191,2
30,A32,2406,23,1,A191,2
36,A32,5179,29,1,A191,2
9,A32,745,28,1,A191,2
18,A30,4165,36,2,A191,2
12,A32,1228,24,1,A191,2
36,A32,1842,34,1,A192,2
18,A32,3190,24,1,A191,2
15,A30,950,33,2,A191,2
36,A33,6887,29,1,A192,2
12,A30,6199,28,2,A192,2
48,A32,4308,24,1,A191,2
15,A30,1778,26,2,A191,2
