@relation 'spambase-weka.filters.unsupervised.attribute.Remove-V-R6,11,14,18,24,27,30,35,39,43-44,47,51,53,55-58'

@attribute Word_freq_over numeric
@attribute Word_freq_receive numeric
@attribute Word_freq_report numeric
@attribute Word_freq_email numeric
@attribute Word_freq_money numeric
@attribute Word_freq_george numeric
@attribute Word_freq_labs numeric
@attribute Word_freq_85 numeric
@attribute Word_freq_pm numeric
@attribute Word_freq_original numeric
@attribute Word_freq_project numeric
@attribute Word_freq_table numeric
@attribute Char_freq3 numeric
@attribute Char_freq5 numeric
@attribute Capital_run_length_average numeric
@attribute Capital_run_length_longest numeric
@attribute Capital_run_length_total numeric
@attribute Spam {1,0}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,9,0
0.25,0.25,0,1.25,0,0.25,0,0,0,0,0,0,0,0,1.204,7,118,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.192,35,239,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,9,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,2.333,5,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,5,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0
0,0.05,0.05,0.07,0,0,0,0,0,0,0.03,0.01,0.131,0.09,2.577,82,5395,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.818,8,31,0
0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.03,1.571,42,297,0
0.16,0.08,0,0,0,0,0,0.36,0,0,0,0,0,0.071,1.983,23,1361,0
0,0,0,0,0,0.97,0,0,0,0,0,0,0.163,0,4.312,33,138,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,3,5,0
0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,2,13,42,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.166,3,21,0
0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,1.6,5,16,0
0.07,0,0.07,0.07,0,0,0.29,0,0,0,0,0,0,0,1.912,22,568,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461,6,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.166,7,26,0
0,0,0,0,0,3.03,3.03,3.03,0,0,0,0,0,0,2.75,11,33,0
0,0,0,0,0,1.07,0.26,0.26,0,0.53,0.53,0,0,0,2.879,19,262,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5,15,0
0,0,0,0,0,0.7,0,0,0,0,0,0,0.066,0,17.857,199,375,0
0,0,1.19,1.19,0,0,0,0,0,0,0,0,0,0,2.178,21,61,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,4,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.823,8,31,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.714,6,12,0
0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,1.571,4,11,0
0,0,0,0,0,25,0,0,0,0,0,0,0,0,1.25,2,5,0
0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,1.88,1.41,1.41,0,0.47,0,0,0.072,0,2,13,168,0
0.21,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0.031,1.793,12,391,0
0,0,0,0,0,0.21,0,0,0.21,0.42,0.21,0,0.068,0,2.524,18,260,0
0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,1.272,4,14,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.187,5,35,0
0,0,0,0,0,0,0,3.7,0,0,0,0,1.634,0,2.352,11,40,0
0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,4.758,14,276,0
0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.028,0.028,2.785,32,507,0
0,0,0,0,0,0,0,0,0,0,0,0,0.148,0,2.034,13,59,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.888,29,53,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384,4,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,1.5,3,6,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,12.43,30,2051,0
0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,2.508,17,143,0
0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.142,3,40,0
0,0.13,0.33,0,0,0,0.26,0.06,0,0,0,0,0,0,1.997,20,787,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,2,5,0
0.13,0,0,0,0,0,0,0,0,0.13,0,0,0,0,5.15,82,582,0
0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,2.842,11,54,0
0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.375,5,99,0
0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,1.522,11,67,0
0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,1.115,2,29,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.788,6,93,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,4,29,0
0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,1.714,4,12,0
0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,0,0,1.958,55,190,0
0,0,0,1.88,0,1.88,0,0,0,0,0,0,0,0,1.307,3,17,0
0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,3.888,13,35,0
0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2.161,27,575,0
0,0,0,0,0,0,0,1.11,0,0,0.55,0,0,0,2.018,12,107,0
0,0,0,0,0,1.66,0.55,0.55,0.55,0.55,0,0,0.091,0,2.117,12,108,0
0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,1.565,4,36,0
0.47,0,0,0,0,0.47,0,0,0,0,0,0,0,0,1.884,8,98,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.846,17,76,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.096,21,189,0
0.4,0,0,0,0,0.4,0.4,0,0,0,0.81,0,0,0,1.84,8,81,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428,4,10,0
0.03,0,0,0.03,0,0.03,0,0,0,0,0,0,0.035,0.01,3.233,66,1387,0
0,0,0,0,0,0.45,0,0,0,0,0,0,0.29,0,4.461,28,290,0
0,0,1.78,0,0,0,0,0,0,3.57,0,0,0,0,1.444,5,13,0
0,0,0,0,0,0,0,0,1.88,1.88,0,0,0,0,2.8,18,42,0
0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,1.062,2,17,0
0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,2.142,5,45,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.405,28,89,0
0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,2.875,12,46,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,7,33,0
0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,2.288,9,135,0
0,0,0,0,0,4.16,4.16,4.16,0,0,0,0,0,0,3.444,11,31,0
0,0,0,0,0,1.16,1.16,0.58,0.58,0.58,0,0,0,0,2.222,12,140,0
0,0,0,0.32,0,0.64,0.32,0.32,0.32,0.64,0.32,0,0.047,0,1.919,13,167,0
0,0,0,0.26,0,0,0,0,0,0,0.26,0,0,0,1.081,3,53,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.315,7,44,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,24,0
0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,2.362,15,137,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0
0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,1.114,9,272,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2,11,0
0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,4.176,55,71,0
0,0,0,0.9,0,0,0,0,0,0,1.8,0,0,0,1.727,5,19,0
0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,3.149,9,1310,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,18,182,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.304,47,76,0
0.66,0,0,0,0,0,0,0,0,0,0.33,0,0,0,1.142,4,56,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.103,51,90,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,51,81,0
0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857,16,52,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625,47,84,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,21,85,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333,4,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,4,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.423,43,334,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.263,6,24,0
0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,1.933,8,29,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459,10,54,0
0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,5.397,43,448,0
0,0.54,0,0,0,0,1.09,0.54,0,0.54,0,0,0,0,3.533,34,159,0
0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,3.08,63,419,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.689,30,330,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,2,13,64,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.612,11,50,0
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065,7,146,0
0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,1.653,5,86,0
0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,1.627,15,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538,10,40,0
0.44,0,0,0.44,0,0,0,0,0,0,0,0,0.058,0,8.478,122,390,0
0,0,0,0.43,0,0,0,0,0,0,0.87,0,0,0,1.292,5,53,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.866,4,28,0
0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,1,1,8,0
0.25,0,0,0.38,0,0,0,0,0,0,0,0,0,0.038,1.642,17,207,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352,15,40,0
0.38,0,0,0,0,0,0,0,0.38,0,0,0,0,0,2.285,15,144,0
0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,3.121,15,103,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.043,15,70,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837,12,68,0
0.34,0,0,0.34,0,0,0,0,0,0,0,0,0,0,1.189,5,69,0
0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,1.285,4,27,0
