@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R13,16-18,22,26-29,33,36,39,42,44,46,49,51,54,59,63,65'

@attribute Atr-12 numeric
@attribute Atr-15 numeric
@attribute Atr-16 numeric
@attribute Atr-17 numeric
@attribute Atr-21 numeric
@attribute Atr-25 numeric
@attribute Atr-26 numeric
@attribute Atr-27 numeric
@attribute Atr-28 numeric
@attribute Atr-32 numeric
@attribute Atr-35 numeric
@attribute Atr-38 numeric
@attribute Atr-41 numeric
@attribute Atr-43 numeric
@attribute Atr-45 numeric
@attribute Atr-48 numeric
@attribute Atr-50 numeric
@attribute Atr-53 numeric
@attribute Atr-58 numeric
@attribute Atr-62 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
14,0,0,0,0,0,7,16,4,0,16,1,2,16,16,0,9,12,0,10,6
4,0,0,0,16,0,0,0,8,0,16,4,3,12,0,0,3,0,11,0,7
8,0,0,3,15,0,0,0,6,0,1,0,0,12,0,0,8,13,6,0,2
13,0,0,3,0,0,8,14,0,0,16,0,0,16,0,0,15,0,13,0,5
4,0,0,4,16,0,13,16,16,0,16,0,0,16,0,0,16,0,13,0,8
16,0,0,0,0,0,11,12,0,0,2,3,11,9,15,0,11,8,0,0,4
1,0,0,0,16,5,16,4,13,0,16,9,3,15,12,0,1,0,3,0,4
13,0,0,4,16,0,14,14,16,0,4,5,0,0,13,0,16,15,6,1,9
2,0,0,0,11,0,1,13,16,0,12,0,7,3,14,0,13,10,0,0,8
9,0,0,3,0,0,11,12,12,0,11,0,1,5,10,0,10,8,14,0,8
8,0,0,5,0,6,11,0,0,0,14,0,1,10,2,0,13,0,1,9,6
10,0,0,3,0,0,1,7,13,0,13,0,0,15,0,0,14,8,16,16,2
0,0,0,10,0,8,16,13,16,0,14,6,5,6,2,0,16,3,6,8,6
9,0,0,0,11,0,1,9,16,0,9,1,0,0,15,0,14,16,6,0,3
14,0,0,2,15,0,8,16,16,0,12,0,1,2,16,0,14,16,10,1,8
4,0,0,5,0,5,14,11,16,0,0,0,0,0,16,0,4,16,13,0,5
14,0,0,5,4,1,2,0,12,0,0,0,0,1,3,0,6,4,12,15,2
12,0,0,0,13,1,16,16,16,0,8,6,0,8,3,0,1,0,5,0,7
16,0,0,4,15,6,12,0,0,0,0,8,7,0,15,0,16,16,7,0,0
16,0,0,8,12,4,15,11,13,0,7,0,0,0,13,0,7,12,6,6,9
5,0,0,0,14,5,16,4,8,0,16,5,0,5,8,0,0,0,0,0,4
13,0,0,3,5,6,16,14,15,0,16,5,0,4,9,0,4,16,1,0,9
16,0,0,0,0,1,15,13,0,0,13,4,1,16,16,0,8,16,0,14,6
12,0,0,8,14,0,0,2,16,0,1,7,0,0,8,0,14,16,6,1,3
13,0,0,0,12,0,8,14,16,0,16,0,0,15,2,0,7,6,1,0,8
11,0,0,5,16,0,0,0,6,0,0,0,0,4,5,0,6,9,12,13,2
8,0,0,12,16,3,13,16,16,0,0,9,0,0,6,0,5,10,8,2,9
8,0,0,0,15,0,2,8,14,0,16,7,0,14,0,0,4,0,12,0,7
12,0,0,8,12,0,0,6,16,0,5,10,0,0,8,0,6,13,5,1,3
4,0,0,3,8,8,4,0,0,0,0,8,0,1,4,0,10,12,2,0,0
15,0,0,0,0,4,16,7,6,0,13,0,16,12,11,4,4,7,0,0,4
8,0,0,2,0,1,15,12,5,0,13,0,0,0,16,0,7,15,10,0,5
14,0,0,5,4,2,10,0,13,0,9,0,0,15,0,0,16,4,9,6,2
9,0,0,9,0,12,10,8,13,0,10,0,0,15,0,0,15,14,11,6,2
11,0,0,0,0,6,14,0,0,0,16,2,1,4,15,0,0,16,1,0,5
13,0,0,0,10,6,16,16,13,0,16,6,0,7,12,0,0,2,0,0,4
6,0,0,0,0,1,16,9,0,0,16,0,0,16,16,0,8,11,1,14,6
16,0,0,0,14,1,15,0,0,0,0,5,2,0,14,0,14,16,6,0,0
14,0,0,14,11,0,3,15,16,0,12,3,0,0,10,0,9,13,6,4,3
13,0,0,4,16,0,14,13,15,0,11,8,0,0,14,0,12,16,10,0,9
16,0,0,0,7,0,0,5,16,0,16,1,0,16,16,0,9,5,9,0,7
0,0,0,3,0,4,12,0,0,0,16,0,3,8,16,0,16,16,11,0,6
13,0,0,0,11,0,0,1,16,0,16,6,0,16,8,0,6,0,11,0,7
16,0,0,0,8,0,8,8,16,0,16,6,0,15,4,0,11,0,12,0,7
0,0,0,0,0,0,12,14,0,0,16,4,0,13,16,0,13,16,8,0,6
16,0,0,11,3,1,2,15,14,0,12,1,0,0,14,0,8,16,9,1,3
0,0,0,2,0,0,16,5,0,0,10,0,4,16,14,0,16,16,7,2,6
1,0,0,0,7,0,3,14,12,0,15,0,0,10,0,0,13,0,7,0,8
11,0,0,1,12,0,3,14,13,0,10,0,0,12,0,0,12,0,10,0,8
7,0,0,0,13,0,0,13,16,0,15,0,0,5,13,0,14,15,6,0,8
16,0,0,0,1,0,1,16,16,0,16,0,0,16,0,0,2,0,1,0,1
14,0,0,0,0,0,0,15,15,0,14,0,0,15,0,0,0,0,0,0,1
13,0,0,6,7,0,0,6,16,0,15,0,0,14,0,0,16,2,10,3,2
16,0,0,10,1,0,0,12,12,0,15,0,0,8,0,0,16,8,15,11,2
1,0,0,3,0,4,16,3,0,0,1,3,2,10,12,0,11,7,3,10,6
9,0,0,7,13,6,16,14,16,0,4,0,0,0,10,0,0,5,0,0,9
16,0,0,0,4,1,12,14,2,0,13,7,9,16,13,0,0,6,0,0,4
15,0,0,0,16,6,16,16,16,0,6,0,0,0,12,0,0,13,0,3,1
15,0,0,8,16,8,12,0,0,0,0,8,5,2,13,0,15,15,6,0,0
8,0,0,10,14,8,15,8,14,0,16,1,0,10,10,0,4,10,1,6,8
11,0,0,5,0,8,16,16,12,0,8,0,0,0,16,0,5,15,5,0,5
16,0,0,1,12,4,16,16,16,0,16,0,4,16,3,0,16,2,7,0,1
16,0,0,0,3,4,15,16,16,0,16,0,0,12,4,0,0,4,0,0,1
16,0,0,4,0,5,16,10,0,0,16,0,0,12,0,0,6,0,15,0,5
11,0,0,0,0,0,13,4,0,0,3,0,0,16,14,0,5,14,0,13,6
1,0,0,6,8,10,16,16,16,0,10,0,0,8,3,0,2,0,10,0,4
0,0,0,0,0,2,16,5,0,0,8,0,8,16,14,0,15,16,4,1,6
16,0,0,1,8,0,0,12,16,0,5,3,0,0,16,0,1,14,7,0,3
16,0,0,1,16,6,16,15,14,0,2,0,0,0,14,0,0,12,0,0,1
0,0,0,0,0,0,16,8,4,0,16,2,6,14,15,0,15,15,4,0,6
16,0,0,3,0,2,16,16,15,0,6,0,0,1,10,0,5,2,15,0,5
14,0,0,8,13,7,9,1,0,0,0,9,0,2,8,0,9,16,0,0,0
7,0,0,0,14,5,11,8,9,0,16,9,1,9,6,0,0,0,4,0,7
16,0,0,0,14,0,0,0,14,0,12,0,7,16,0,0,9,11,0,3,2
11,0,0,0,15,0,0,11,15,0,4,0,0,0,10,0,3,16,13,0,3
0,0,0,0,0,1,16,0,0,0,2,0,3,16,16,0,15,10,4,7,6
16,0,0,0,7,7,16,8,16,0,6,0,0,4,6,0,0,6,0,0,1
16,0,0,0,15,0,0,0,5,0,3,0,7,16,0,0,11,7,0,9,2
10,0,0,6,11,1,13,10,16,0,16,0,1,16,0,0,16,0,3,0,8
16,0,0,7,13,8,12,0,0,0,0,8,5,0,4,0,14,10,7,4,0
16,0,0,8,15,8,12,0,0,0,0,8,5,1,8,0,15,15,5,0,0
11,0,0,0,0,0,15,11,0,0,13,0,0,16,15,0,10,16,1,11,6
13,0,0,14,0,15,15,5,16,0,16,0,0,13,1,0,0,0,0,0,4
10,0,0,0,0,0,12,14,0,0,16,0,0,16,15,0,7,13,0,6,6
14,0,0,0,15,0,0,0,16,0,0,0,0,0,16,0,14,16,15,0,3
12,0,0,0,16,0,2,14,16,0,0,0,0,0,8,0,8,7,11,0,9
15,0,0,0,16,7,16,10,8,0,0,4,0,0,16,0,0,16,0,0,1
16,0,0,4,12,1,9,16,15,0,16,0,3,5,16,0,15,12,6,0,8
15,0,0,0,16,0,12,16,16,0,3,0,2,0,12,0,0,13,0,0,1
9,0,0,0,0,0,5,16,9,0,14,0,0,9,5,0,10,4,16,0,5
10,0,0,3,16,6,16,0,0,0,1,8,4,4,15,0,13,14,4,0,0
15,0,0,7,2,3,6,12,16,0,15,0,0,16,1,0,9,15,7,1,2
11,0,0,0,0,0,7,12,16,0,16,5,1,16,0,0,9,0,16,0,7
16,0,0,0,3,0,12,6,16,0,0,3,6,16,11,0,0,0,0,0,4
16,0,0,0,13,0,11,16,16,0,16,0,0,14,0,0,3,0,12,0,7
16,0,0,2,0,0,0,11,11,0,16,0,0,16,0,0,15,5,11,2,2
15,0,0,0,16,0,0,5,16,0,3,1,0,2,16,0,6,12,15,0,3
11,0,0,0,16,0,10,16,16,0,7,4,1,0,16,0,0,16,0,1,1
16,0,0,0,15,4,15,16,16,0,16,0,0,12,13,0,0,16,0,6,1
16,0,0,0,15,0,2,14,16,0,16,0,0,11,12,0,16,15,5,0,8
16,0,0,0,8,0,4,16,16,0,16,0,2,16,0,0,13,2,1,0,1
12,0,0,8,0,2,11,8,14,0,0,1,0,0,14,0,9,14,10,0,5
1,0,0,3,12,4,16,11,14,0,16,0,0,12,2,0,8,4,3,0,8
8,0,0,0,13,0,0,0,3,0,15,9,0,13,8,0,0,0,0,0,7
16,0,0,5,1,0,0,10,9,0,16,0,0,9,0,0,11,6,6,2,2
4,0,0,8,15,4,16,16,13,0,9,0,0,14,14,0,9,13,3,1,8
5,0,0,1,0,2,14,0,0,0,5,4,0,14,6,0,13,4,3,7,6
16,0,0,2,0,2,16,16,12,0,16,0,1,16,0,0,16,0,7,0,1
4,0,0,10,0,3,12,16,14,0,2,2,0,0,15,0,2,15,10,0,5
4,0,0,6,13,0,9,14,14,0,16,0,0,10,1,0,11,4,1,0,8
16,0,0,10,14,8,12,0,0,0,0,8,5,0,12,0,16,16,9,0,0
12,0,0,1,0,7,16,5,5,0,16,5,0,13,13,0,9,16,1,0,6
12,0,0,9,0,5,10,4,16,0,5,0,0,13,2,0,10,14,7,4,2
6,0,0,9,16,5,13,0,6,0,16,0,0,14,13,0,3,16,0,0,8
16,0,0,1,12,1,5,2,11,0,0,0,3,0,15,0,15,11,9,0,5
15,0,0,6,16,1,13,13,15,0,4,8,0,0,12,0,12,14,5,1,9
10,0,0,0,10,2,15,2,14,0,5,4,11,16,14,0,0,0,0,0,4
10,0,0,7,2,0,0,8,16,0,10,2,0,0,14,0,11,11,8,6,3
16,0,0,3,11,4,12,0,2,0,0,8,4,0,15,0,15,15,5,0,0
2,0,0,0,0,0,3,15,6,0,10,0,0,3,0,0,7,12,6,16,1
16,0,0,9,5,10,13,3,16,0,11,0,0,13,0,0,2,16,6,9,2
15,0,0,13,9,14,10,0,15,0,2,0,0,9,1,0,2,16,2,12,2
11,0,0,0,15,0,2,8,10,0,13,5,0,3,5,0,0,0,3,0,7
4,0,0,0,0,0,12,16,8,0,16,0,0,8,2,0,3,13,5,16,1
9,0,0,0,9,0,2,10,16,0,16,3,0,14,0,0,6,0,10,0,7
6,0,0,0,12,0,0,1,15,0,10,0,0,1,15,0,14,5,2,8,3
11,0,0,0,11,0,1,6,14,0,16,5,0,11,0,0,1,0,5,0,7
1,0,0,0,11,0,10,10,14,0,16,0,7,7,3,0,7,14,0,2,8
1,0,0,2,13,8,11,6,16,0,12,11,11,16,7,0,7,0,5,0,4
12,0,0,4,6,0,0,1,13,0,9,0,0,13,4,0,10,15,9,1,2
12,12,0,0,0,0,0,7,12,0,16,2,0,1,8,0,0,1,0,0,7
8,0,0,7,0,11,15,12,5,0,16,0,0,6,2,0,3,0,11,0,5
8,0,0,5,13,1,4,0,11,0,0,1,0,0,13,0,0,16,0,0,3
0,0,0,0,0,2,14,0,0,0,0,2,4,13,14,0,13,11,3,1,6
11,0,0,0,12,0,0,7,16,0,0,10,0,0,15,0,3,16,7,0,3
16,0,0,0,9,2,15,16,13,0,16,0,1,16,0,0,9,1,0,0,1
16,0,0,0,14,0,1,15,16,0,14,0,0,13,5,0,1,1,0,0,1
8,0,0,0,0,0,12,10,0,0,7,0,0,15,16,0,4,4,0,10,6
14,0,0,0,0,0,1,11,8,0,16,4,0,4,12,0,2,12,5,0,3
16,0,0,0,8,4,16,16,16,0,16,0,0,16,3,0,13,0,2,0,1
13,0,0,5,12,7,13,5,0,0,0,10,0,2,12,0,9,16,0,0,0
6,0,0,1,14,6,14,0,12,0,2,5,16,13,15,1,16,2,3,0,4
13,0,0,2,12,4,8,0,0,0,0,5,1,5,15,0,7,15,0,0,0
16,0,0,0,10,0,0,16,16,0,16,0,0,16,5,0,5,1,2,0,1
15,0,0,0,7,0,5,9,16,0,16,10,0,16,0,0,8,0,15,0,7
6,0,0,1,0,0,6,16,1,0,12,0,3,8,0,0,16,15,16,3,2
14,0,0,0,9,0,1,11,15,0,16,1,1,4,16,0,14,15,12,0,3
8,0,0,0,16,0,1,10,16,0,15,0,0,1,16,0,7,16,6,0,3
2,0,0,0,5,2,15,15,12,0,4,8,2,7,12,0,5,15,0,0,6
16,0,0,0,3,0,1,14,13,0,7,0,0,0,16,0,3,16,10,0,3
7,0,0,0,0,0,16,14,8,0,10,1,2,3,12,0,10,10,0,5,6
3,0,0,0,1,4,16,4,11,0,2,1,13,16,13,0,4,0,0,0,4
8,0,0,0,16,0,6,10,13,0,0,8,8,0,15,0,14,16,2,0,9
13,0,0,12,0,3,14,15,1,0,16,0,0,15,0,0,7,0,15,0,5
13,0,0,0,0,4,15,8,0,0,1,5,16,12,16,0,12,10,0,0,4
1,0,0,0,16,0,4,10,12,0,0,6,8,0,15,0,12,16,0,0,9
14,0,0,0,13,0,5,12,11,0,0,8,0,0,10,0,13,14,7,1,9
1,0,0,4,0,6,12,0,0,0,5,1,5,13,10,0,10,7,1,2,6
16,1,0,3,15,5,8,0,9,0,9,4,0,16,15,0,0,0,6,0,7
16,0,0,0,2,0,2,16,15,0,0,2,4,0,13,0,13,16,10,0,3
3,0,0,7,1,5,15,12,13,0,0,4,0,0,8,0,10,15,13,0,5
10,0,0,1,11,1,7,1,16,0,7,1,0,16,16,0,2,3,6,0,7
10,0,0,4,15,2,14,16,16,0,4,6,0,0,2,0,3,2,10,11,9
8,0,0,7,0,8,16,13,13,0,0,5,0,0,4,0,11,10,10,4,5
5,0,0,3,0,5,12,0,0,0,15,3,2,11,7,0,14,9,2,6,6
6,0,0,4,9,8,9,0,0,0,0,8,4,0,9,0,13,14,5,0,0
10,0,0,0,13,1,7,1,16,0,13,6,4,15,11,0,3,0,9,0,7
15,0,0,2,4,0,2,2,16,0,5,0,0,9,0,0,9,7,13,16,2
1,0,0,4,0,8,9,0,0,0,5,0,4,14,12,0,13,10,3,5,6
5,0,0,0,15,0,0,6,16,0,0,4,0,0,4,0,13,8,0,6,3
5,0,0,2,1,2,16,16,16,0,1,4,0,0,14,0,0,7,7,0,5
11,0,0,4,8,8,10,15,14,0,7,1,0,0,5,0,2,12,10,0,9
5,0,0,0,0,3,16,16,13,0,5,0,5,1,3,0,0,0,7,0,5
16,0,0,0,8,0,3,16,11,0,14,0,0,9,2,0,12,0,12,0,8
12,0,0,6,7,1,5,9,14,0,16,0,8,16,5,0,11,0,14,0,7
3,0,0,0,0,0,14,6,0,0,12,3,2,15,9,0,11,3,1,15,6
16,0,0,0,3,0,2,16,16,0,16,0,0,16,2,0,3,3,0,0,1
10,0,0,3,0,8,16,16,16,0,2,0,0,0,13,0,0,11,0,0,5
7,0,0,7,7,0,0,10,16,0,0,5,0,0,7,0,2,11,15,0,3
16,0,0,0,16,0,4,16,16,0,16,0,3,16,4,0,16,1,14,0,1
7,0,0,1,16,1,12,16,16,0,4,0,0,0,15,0,3,16,13,1,9
5,0,0,0,0,4,14,1,0,0,12,6,5,9,15,0,0,9,0,0,4
16,0,0,1,11,11,16,12,16,0,7,0,0,6,5,0,0,8,0,0,1
15,0,0,0,3,5,16,8,0,0,4,9,12,16,16,0,4,11,0,0,4
16,0,0,12,2,9,9,16,10,0,15,0,0,16,0,0,3,0,0,0,1
12,0,0,6,16,3,16,5,3,0,16,10,0,6,15,0,0,16,10,0,9
16,0,0,0,0,0,2,16,14,0,16,0,0,14,0,0,0,0,0,0,1
12,0,0,15,7,0,0,6,16,0,15,0,0,16,0,0,15,12,15,5,2
8,0,0,0,16,0,0,0,14,0,0,3,0,0,16,0,4,16,15,1,3
11,0,0,0,0,0,16,12,0,0,16,1,2,12,11,0,10,14,1,10,6
10,0,0,0,16,0,0,1,12,0,10,0,0,16,0,0,14,10,13,8,2
9,0,0,0,15,0,0,4,16,0,7,0,0,0,11,0,4,14,16,0,3
5,0,0,12,16,6,10,9,13,0,4,4,0,0,13,0,6,14,5,0,9
16,0,0,0,5,0,11,16,15,0,16,0,0,16,0,0,7,1,5,0,1
15,0,0,1,8,0,1,7,16,0,16,0,0,10,0,0,0,0,5,0,7
10,0,0,3,13,0,0,3,16,0,13,0,0,15,0,0,16,8,15,12,2
11,0,0,6,16,2,14,10,15,0,11,5,0,0,16,0,3,15,13,0,9
5,0,0,4,4,4,8,0,0,0,0,2,8,0,10,0,12,1,11,0,0
12,0,0,0,0,0,11,10,0,0,1,5,9,7,16,0,15,10,0,0,4
10,0,0,8,13,0,15,12,15,0,16,0,0,15,2,0,12,8,5,0,8
12,0,0,0,0,0,10,16,8,0,16,5,0,16,6,0,7,10,1,12,6
7,0,0,12,16,3,13,12,14,0,0,7,0,0,9,0,0,16,8,0,9
9,0,0,9,15,7,9,4,12,0,11,2,0,0,11,0,10,13,3,0,9
14,0,0,0,0,0,13,11,0,0,2,7,8,12,16,0,11,12,0,0,4
4,0,0,0,16,0,3,14,13,0,0,7,0,0,7,0,13,7,1,2,9
5,0,0,0,10,3,16,4,0,0,0,2,3,0,15,0,13,9,2,0,0
8,0,0,5,13,5,13,0,0,0,0,7,4,0,14,0,15,10,7,0,0
8,0,0,0,14,0,7,15,16,0,12,2,0,12,0,0,2,0,13,0,7
10,0,0,4,16,0,0,3,11,0,16,8,0,12,0,0,1,0,3,0,7
7,0,0,1,0,0,13,16,8,0,4,0,0,0,8,0,3,4,14,0,5
11,0,0,0,0,5,16,3,4,0,14,10,9,7,16,0,0,12,0,0,4
12,0,0,11,12,3,14,13,14,0,16,0,1,13,0,0,13,0,3,0,8
9,0,0,0,12,0,6,0,4,0,15,9,0,13,9,0,0,0,1,0,7
0,0,0,2,0,4,14,8,7,0,12,2,2,1,7,0,13,13,2,1,6
7,0,0,9,0,0,0,7,15,0,13,0,0,16,2,0,12,16,16,11,2
8,0,0,4,0,4,16,12,11,0,4,5,0,0,8,0,6,15,16,0,5
16,0,0,3,12,6,9,0,0,0,0,8,4,0,9,0,15,16,3,0,0
16,0,0,8,16,3,7,0,8,0,0,5,0,0,16,0,0,16,0,7,1
15,0,0,3,14,10,16,15,16,0,0,0,0,0,13,0,0,16,0,6,1
8,0,0,0,0,2,16,5,4,0,16,3,1,4,8,0,8,5,0,11,6
16,0,0,5,4,4,16,16,16,0,16,0,0,16,0,0,4,0,2,0,1
16,0,0,4,1,7,16,16,14,0,16,0,1,16,0,0,5,0,2,0,1
0,0,0,4,15,3,15,16,14,0,10,0,0,0,2,0,0,0,0,0,9
15,0,0,11,4,1,0,0,15,0,4,0,0,12,0,0,11,4,15,16,2
13,0,0,0,0,0,10,12,0,0,14,0,0,16,13,0,5,16,0,1,6
11,0,0,0,0,0,11,11,6,0,14,8,0,13,5,0,6,15,0,2,6
1,0,0,0,16,0,10,16,16,0,9,0,0,14,0,0,5,0,11,0,4
11,0,0,0,0,0,11,14,11,0,16,10,0,15,5,0,6,14,0,4,6
16,0,0,7,13,0,3,7,16,0,2,0,0,0,15,0,7,14,7,0,3
9,0,0,6,16,5,16,16,16,0,8,0,0,3,5,0,0,0,1,0,9
6,0,0,16,0,10,16,14,8,0,8,0,0,10,0,0,4,0,7,0,5
15,0,0,0,14,0,0,3,8,0,0,10,0,0,11,0,1,15,6,2,9
3,0,0,0,15,0,8,15,15,0,11,0,2,2,0,0,7,0,1,0,8
13,0,0,0,0,0,2,14,3,0,15,6,14,12,16,0,0,14,0,0,4
16,0,0,0,4,0,0,8,14,0,16,0,2,14,6,0,16,15,10,0,2
15,0,0,0,2,1,15,16,11,0,16,0,0,16,5,0,10,14,4,0,1
0,0,0,4,0,7,16,10,1,0,16,0,6,9,16,0,8,15,1,4,6
16,0,0,0,16,0,9,14,16,0,16,1,0,14,0,0,3,0,7,0,7
8,0,0,3,11,4,14,0,0,0,0,8,4,0,14,0,16,15,6,0,0
13,0,0,1,15,0,10,16,16,0,0,4,0,0,15,0,7,16,6,0,9
0,0,0,0,12,3,15,0,0,0,0,7,2,1,12,0,16,15,4,0,0
0,0,0,4,0,0,16,14,16,0,12,5,1,1,14,0,0,13,1,0,5
16,0,0,0,11,0,10,16,16,0,14,0,4,0,15,0,14,16,6,0,8
16,0,0,0,2,2,6,12,16,0,16,9,10,16,1,0,6,0,10,0,7
15,0,0,0,15,0,1,14,12,0,16,0,0,3,15,0,0,14,10,0,3
9,0,0,0,0,4,16,8,0,0,9,0,3,14,13,0,14,10,2,7,6
15,0,0,0,2,2,14,13,1,0,6,3,16,16,13,0,12,10,0,0,4
