@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
7,13.714,0.274,660,1
15,23.733,0.406,3342,1
9,11.778,0.373,619,1
11,11.091,0.256,881,1
9,1.556,0.706,109,1
8,0.625,0.35,24,1
9,20.556,0.417,1309,1
8,1,0.406,61,1
7,5.429,0.259,183,1
5,6.8,0.224,103,1
8,1.25,0.4,66,1
7,10.143,0.231,376,1
8,0.75,0.417,44,1
14,4.071,0.727,759,1
7,11.429,0.102,262,1
11,12.818,0.366,1225,1
8,4.25,0.379,264,1
8,18.5,0.208,858,1
5,3.4,0.376,63,1
9,12,0.345,627,1
8,9.625,0.232,450,1
8,11.875,0.187,490,1
8,0.875,0.482,53,1
8,1.5,0.438,96,1
9,5.222,0.279,327,1
10,4.4,0.393,375,1
10,12.6,0.425,1086,1
11,7.727,0.25,621,1
7,2.286,0.321,72,1
6,16.167,0.299,408,1
5,0.8,0.6,20,1
9,18.778,0.333,1104,1
11,2.091,0.265,186,1
6,2,0.278,72,1
10,4.2,0.317,357,1
9,15.333,0.155,890,1
8,10,0.298,565,1
10,3.6,0.319,294,1
9,11,0.288,714,1
11,7.909,0.253,634,1
3,1,0.778,7,1
9,59.444,0.192,3167,1
8,0.625,0.525,40,1
9,4.667,0.429,369,1
8,4.875,0.378,300,1
7,24.714,0.207,1042,1
6,1.833,0.333,52,1
12,5.583,0.403,566,1
9,4.111,0.526,299,1
10,1.6,0.544,140,1
7,4.429,0.396,187,1
10,1.6,0.375,123,1
8,7.75,0.296,431,1
5,0.8,0.45,16,1
25,4.72,0.268,2198,1
6,11.333,0.172,380,1
10,7.6,0.474,607,1
7,1.571,0.364,71,1
24,14,0.898,7729,1
6,2.167,0.282,73,1
11,8.727,0.331,1007,1
8,0.5,0.469,28,1
11,1.091,0.492,99,1
11,13.364,0.32,982,1
7,3,0.306,109,1
5,2.4,0.317,45,1
9,4.667,0.45,342,1
7,2,0.265,81,1
9,7.889,0.352,573,1
7,8.714,0.321,285,1
10,5.2,0.319,417,1
9,1.111,0.389,80,1
9,5.444,0.58,439,1
4,0.5,0.875,7,1
7,2.857,0.379,140,1
7,1.571,0.403,75,1
8,2.125,0.463,100,1
9,38.111,0.162,2091,1
7,1.286,0.333,31,1
5,19.2,0.329,344,1
18,1.333,0.454,324,1
8,15.375,0.255,814,1
6,4.667,0.327,99,1
10,3.8,0.187,176,1
8,0.875,0.268,44,1
9,11.333,0.386,822,1
10,12.2,0.294,840,1
7,0.571,0.25,25,1
7,1.286,0.302,57,1
7,1.857,0.308,89,1
10,12.4,0.473,1009,1
11,23.727,0.251,1898,1
10,7.9,0.347,619,1
7,1.286,0.349,47,1
9,54.444,0.067,1425,1
6,3,0.306,85,1
9,10.778,0.328,804,1
5,2.2,0.4,51,1
7,8.429,0.228,272,1
7,6.571,0.416,250,1
9,1.889,0.601,136,1
8,3,0.339,176,1
8,2,0.453,87,1
16,21.5,0.373,3146,1
10,27.1,0.251,2044,1
7,2.143,0.324,80,1
8,1.875,0.517,104,1
7,17.286,0.276,514,1
3,1.333,1,12,1
9,34.444,0.17,2211,1
8,4.5,0.615,270,1
11,2,0.649,205,1
17,6.471,0.175,1128,1
11,5.182,0.295,451,1
8,2.125,0.309,92,1
9,1.333,0.38,108,1
6,2.833,0.245,82,1
8,1.5,0.583,86,1
8,3.875,0.327,196,1
8,10.375,0.437,575,1
7,1.143,0.321,44,1
10,1.9,0.142,62,1
10,4.6,0.317,314,1
5,1.4,0.457,35,1
6,2,0.319,72,1
10,3.4,0.321,290,1
5,2.2,0.345,48,1
8,7.125,0.268,364,1
9,10.889,0.285,569,1
24,7.417,0.491,4141,1
9,4.556,0.263,274,1
9,15.556,0.38,953,1
9,4,0.568,302,1
8,1.75,0.482,85,1
9,3.556,0.299,199,1
14,19.5,0.373,2681,1
12,9.75,0.251,891,1
8,2.125,0.36,113,1
9,3.556,0.292,238,1
9,11.111,0.247,573,1
13,12.231,0.412,1296,1
8,6.75,0.183,317,1
10,2.7,0.344,217,1
12,8.5,0.292,935,1
4,34.25,0.173,341,1
8,26,0.194,817,1
8,1.625,0.365,84,1
8,5.75,0.356,341,1
8,1.5,0.208,74,1
24,11.667,0.452,6042,1
9,2.556,0.3,207,1
5,2.6,0.154,43,1
10,9.9,0.443,903,1
14,28.5,0.383,3315,1
10,2.2,0.336,184,1
11,1.182,0.42,140,1
10,1.8,0.539,146,1
8,0.5,0.406,32,1
8,1.875,0.467,94,1
11,8.545,0.257,625,1
9,12.222,0.311,621,1
7,4.286,0.305,183,1
9,30.222,0.269,1868,1
9,34.889,0.156,1659,1
9,7.778,0.433,536,1
9,13.667,0.39,1103,1
9,5.444,0.265,288,1
8,12.25,0.221,685,1
5,2.8,0.557,61,1
7,1,0.327,44,1
12,3.25,0.282,228,1
7,0.857,0.5,42,1
8,7.375,0.464,465,1
8,17.625,0.371,1102,1
9,20.444,0.214,1322,1
9,9.111,0.247,690,1
19,2.368,0.243,498,1
9,13.111,0.372,869,1
9,19.111,0.353,1237,1
12,9.75,0.2,1002,1
9,9,0.322,597,1
1,118,0.186,118,1
16,15.188,0.394,2756,1
18,1.222,0.366,203,1
6,16,0.234,385,1
10,2.1,0.457,196,1
11,8.909,0.378,781,1
10,1.8,0.511,157,1
7,0.571,0.357,16,1
10,1.2,0.35,104,1
25,3.36,0.443,1722,1
10,3,0.333,279,1
11,8.364,0.361,861,1
7,1.429,0.314,70,1
9,9,0.332,710,1
7,9,0.288,437,1
9,29.778,0.132,1288,1
8,22.5,0.371,1198,1
12,0.583,0.56,84,1
9,26.444,0.168,1316,1
7,5,0.482,206,1
13,22.846,0.409,2318,1
9,5.444,0.587,424,1
9,8.111,0.174,285,1
11,23.727,0.231,1711,1
10,1.3,0.231,104,1
8,3.25,0.399,203,1
6,1.167,0.357,23,1
8,8.75,0.279,407,1
9,1.333,0.407,108,1
8,5.125,0.265,202,1
5,3.6,0.378,86,1
7,1.571,0.299,77,1
7,2.143,0.343,105,1
7,15.857,0.254,686,1
13,4.462,0.336,452,1
7,6.571,0.304,310,1
8,49.75,0.279,2113,1
9,59.444,0.163,2887,1
8,0.875,0.304,53,1
7,6.143,0.545,293,1
10,1.9,0.611,166,1
7,5.714,0.232,198,1
9,10.556,0.285,618,1
8,9,0.198,424,1
10,0.7,0.357,53,1
9,54.667,0.209,3457,1
7,5.857,0.355,246,1
3,10.333,0.226,72,1
7,7.714,0.497,321,1
7,1.571,0.364,73,1
9,4.667,0.344,352,1
9,24.333,0.109,1060,1
5,8.6,0.456,215,1
7,2.286,0.259,112,1
9,13,0.419,997,1
8,1.25,0.35,80,1
9,4.444,0.506,347,1
9,21.667,0.126,673,1
8,7.125,0.309,382,1
7,3.714,0.396,182,1
7,1.571,0.299,60,1
9,0.889,0.222,53,1
10,0.9,0.522,59,1
6,1,0.528,33,1
5,17.6,0.364,341,1
9,1.889,0.235,99,1
8,15.75,0.209,578,1
9,32.778,0.2,1483,1
9,5,0.279,318,1
12,3.583,0.293,408,1
9,2.333,0.529,181,1
6,0.667,0.417,12,1
9,4.111,0.532,304,1
11,10.818,0.261,1045,1
10,17.3,0.09,649,1
10,4.7,0.338,328,1
17,1.412,0.4,342,1
9,59.333,0.184,3524,1
8,1.5,0.396,95,1
13,8,0.198,864,1
9,11,0.21,693,1
7,49.429,0.185,1771,1
9,1.667,0.407,114,1
9,1.667,0.244,112,1
8,24.375,0.175,1506,1
10,3.8,0.439,341,1
9,59.333,0.169,3208,1
5,9.2,0.278,192,1
7,1.857,0.242,78,1
7,2.286,0.286,79,1
8,0.875,0.411,56,1
9,6.556,0.237,426,1
7,2.571,0.357,109,1
10,0.8,0.675,80,1
7,1.286,0.286,61,1
6,3,0.287,80,1
7,1.571,0.234,42,1
7,7.429,0.272,287,1
6,3.167,0.316,101,1
8,2.875,0.239,102,1
9,1.333,0.491,96,1
8,7,0.424,422,1
10,9.6,0.418,851,1
9,4.889,0.465,374,1
9,59.333,0.134,2419,1
8,0.75,0.313,38,1
7,7.714,0.267,234,1
7,9,0.338,440,1
10,6.5,0.445,592,1
10,11.9,0.275,791,1
10,1.8,0.656,162,1
8,8,0.385,467,1
10,32.3,0.198,2183,1
7,8.857,0.272,418,1
7,6.857,0.292,270,1
11,3.636,0.27,272,1
9,2.556,0.246,118,1
11,11.364,0.432,1105,1
9,8.556,0.486,672,1
11,1.364,0.352,147,1
10,4.6,0.3,278,1
6,5,0.45,150,1
7,6.571,0.354,322,1
6,13.667,0.104,149,1
67,4.418,0.088,5649,1
5,18.6,0.351,465,1
7,1.286,0.365,54,1
8,13.625,0.2,745,1
7,4.429,0.461,215,1
1,12,0.583,12,1
11,0.727,0.261,88,1
5,6.2,0.419,147,1
8,1.75,0.223,74,1
9,59.444,0.184,3257,1
11,1.818,0.168,165,1
8,2.75,0.295,85,1
12,31.917,0.307,2771,1
9,18.444,0.336,1080,1
9,2.222,0.361,157,1
8,3.75,0.242,160,1
10,1.7,0.224,124,1
7,5.714,0.229,191,1
16,2.75,0.376,524,1
7,1.571,0.455,75,1
7,2.571,0.413,120,1
9,1.444,0.239,54,1
6,2.167,0.538,72,1
5,3.6,0.689,90,1
7,9.286,0.407,407,1
9,2.667,0.213,101,1
9,29.778,0.183,1654,1
10,2.1,0.324,126,1
8,3.625,0.345,158,1
10,3.2,0.338,261,1
13,1.923,0.351,221,1
9,18.111,0.148,978,1
7,2.714,0.331,102,1
8,43.25,0.144,1607,1
7,10.714,0.156,398,1
7,1.571,0.377,75,1
10,4.8,0.36,414,1
10,50.6,0.15,2980,1
10,15.9,0.355,1144,1
7,4.429,0.415,170,1
8,2.5,0.456,160,1
12,2.083,0.32,193,1
8,14.875,0.337,876,1
9,56.667,0.149,2484,1
9,5.556,0.32,322,1
8,5.375,0.494,328,1
9,14.667,0.189,698,1
10,2.3,0.348,205,1
7,2.429,0.311,108,1
5,4.2,0.295,77,1
25,11.68,0.45,6670,1
9,51.556,0.158,2297,1
6,5.333,0.417,185,1
10,8.4,0.356,713,1
8,5.625,0.492,260,1
6,1.167,0.452,42,1
7,24,0.081,434,1
1,89,0.169,89,1
11,2.909,0.344,270,1
7,1.571,0.338,68,1
14,23.286,0.363,2689,1
7,13,0.163,341,1
11,8.727,0.277,718,1
9,4.667,0.452,356,1
12,1.667,0.546,201,1
7,3.286,0.342,126,1
8,8.625,0.312,465,1
3,34.667,0.606,213,1
10,18.9,0.263,973,1
11,1.727,0.306,165,1
10,4,0.295,273,1
7,3.714,0.302,157,1
8,5,0.35,290,1
7,2.714,0.361,122,1
38,2.526,0.431,3051,1
7,1.857,0.374,91,1
1,89,0.191,89,1
9,28.778,0.22,1745,1
10,20.5,0.381,1451,1
2,9.5,0.184,21,1
8,35,0.191,1589,1
9,3,0.346,231,1
23,10.826,0.77,5488,1
9,2.889,0.299,223,1
24,6.542,0.905,3609,1
7,6.857,0.298,206,1
7,5,0.494,245,1
10,4.1,0.278,259,1
6,2.167,0.295,54,1
12,22.833,0.208,2687,1
9,11.333,0.404,820,1
7,3.571,0.189,141,1
13,21.308,0.293,2292,1
7,7.857,0.374,316,1
7,14.286,0.279,686,1
7,2,0.327,97,1
9,0.889,0.583,70,1
7,1.286,0.333,60,1
7,2,0.214,77,1
8,0.875,0.339,54,1
8,37.375,0.186,1643,1
9,5.222,0.286,312,1
10,10.1,0.466,902,1
9,8.667,0.464,625,1
7,17.571,0.265,539,1
22,3.227,0.536,1368,1
8,4,0.402,230,1
6,5,0.311,144,1
14,29.429,0.179,3869,1
6,15.5,0.276,537,1
5,1.4,0.6,31,1
1,77,0.325,77,1
8,1.625,0.365,97,1
12,2.25,0.318,291,1
11,11.182,0.48,887,1
8,1.875,0.417,111,1
7,6.286,0.218,226,1
10,1.8,0.289,134,1
7,7.286,0.207,346,1
10,28.5,0.175,1703,1
8,9.375,0.415,546,1
11,6.909,0.254,575,1
5,1,0.52,25,1
13,24.769,0.375,2990,1
9,27.667,0.301,1655,1
11,4.545,0.255,308,1
7,7,0.297,220,1
4,3,0.292,48,1
2,7,0.393,15,1
10,5,0.602,373,1
9,36.778,0.126,1570,1
7,1.714,0.452,80,1
10,2,0.4,121,1
6,4.833,0.368,166,1
4,28.5,0.393,446,1
14,29.214,0.172,3307,1
7,21.857,0.467,1039,1
7,2.429,0.387,102,1
7,15,0.256,518,1
11,22.273,0.252,2235,1
8,2.875,0.353,152,1
16,24.563,0.341,4103,1
8,4.375,0.321,217,1
8,1.75,0.268,62,1
8,1.375,0.25,73,1
9,3.667,0.34,201,1
5,0.8,0.65,17,1
9,2.889,0.342,192,1
10,6.4,0.477,585,1
10,27.2,0.279,2147,1
10,6.9,0.277,469,1
11,10.727,0.26,1061,1
13,5.923,0.258,565,1
12,3.667,0.294,392,1
5,2.6,0.262,50,1
6,4.5,0.241,160,1
10,13.1,0.415,1123,1
13,3.462,0.429,331,1
14,28.357,0.342,2979,1
7,5.143,0.409,217,1
8,3.875,0.411,184,1
10,12.3,0.362,1092,1
5,6.4,0.413,159,1
8,6.75,0.188,337,1
10,1.6,0.425,127,1
5,2.8,0.543,65,1
8,63.5,0.092,1599,1
5,1.6,0.35,39,1
9,11,0.461,807,1
9,4.222,0.211,192,1
7,8.714,0.321,412,1
8,5.25,0.414,321,1
7,5.857,0.209,187,1
7,5.857,0.307,232,1
7,2.429,0.319,111,1
24,14.167,0.211,3822,1
10,2.8,0.311,268,1
4,24.5,0.523,384,1
6,1,0.361,28,1
8,2,0.211,86,1
8,1.125,0.389,53,1
9,11.444,0.357,801,1
8,4.375,0.382,280,1
11,24.636,0.162,1616,1
22,2.136,0.319,779,1
8,5.5,0.455,334,1
9,16.667,0.237,782,1
9,5.889,0.317,384,1
9,6,0.391,397,1
6,6.667,0.221,149,1
9,18.444,0.392,1120,1
7,4.429,0.304,183,1
7,3,0.34,125,1
7,2.714,0.398,117,1
9,0.778,0.349,38,1
8,12.5,0.245,690,1
8,0.5,0.469,23,1
7,7.143,0.266,259,1
11,6.455,0.461,515,1
9,2,0.519,129,1
7,8.429,0.15,238,1
7,4.571,0.272,193,1
1,99,0.192,99,1
7,3.571,0.371,175,1
11,1,0.438,105,1
7,20.143,0.16,747,1
9,1.889,0.333,137,1
10,4.4,0.35,421,1
10,14.5,0.268,1083,1
7,9,0.333,428,1
8,4.25,0.371,208,1
8,2.875,0.38,182,1
6,1.833,0.197,56,1
1,40,0.2,40,1
11,2.273,0.276,173,1
6,4.5,0.136,109,1
12,20.417,0.204,2342,1
5,19.2,0.404,392,1
14,26.5,0.38,3066,1
8,4.125,0.345,234,1
9,11.333,0.166,514,1
13,3.385,0.171,407,1
10,18.5,0.36,1272,1
8,2.375,0.184,129,1
5,8.6,0.233,172,1
10,8.4,0.279,753,1
22,0.909,0.28,251,1
9,0.556,0.378,42,1
17,0.647,0.417,121,1
7,20.714,0.207,668,1
7,14,0.207,337,1
9,2.222,0.461,180,1
5,3,0.093,26,1
8,4,0.23,157,1
9,14.111,0.174,821,1
9,9.222,0.371,543,1
7,2.857,0.357,98,1
5,0.8,0.45,9,1
5,5.2,0.523,128,1
5,3.4,0.388,73,1
10,6.4,0.189,256,1
11,2.364,0.283,254,1
14,10.071,0.278,1323,1
10,4.8,0.331,356,1
8,1.5,0.427,96,1
7,4,0.306,166,1
6,2.167,0.359,78,1
10,12.6,0.456,1113,1
9,21.889,0.274,1240,1
10,27.2,0.187,1765,1
10,1.3,0.285,115,1
4,3.75,0.267,48,1
13,2.923,0.285,448,1
8,26.875,0.366,1362,1
8,5.375,0.445,296,1
10,10.8,0.297,897,1
10,13.1,0.456,1115,1
6,22.5,0.21,596,1
7,0.571,0.286,10,1
8,27,0.408,1290,1
9,4.889,0.46,371,1
8,6.5,0.38,366,1
9,24.667,0.202,1421,1
8,22.5,0.213,1143,1
5,0.4,0.7,7,1
8,0.625,0.375,38,1
10,29.2,0.203,1896,1
4,2,0.344,25,1
8,2.75,0.477,176,1
9,57.556,0.096,2001,1
8,3.75,0.433,240,1
9,7.333,0.241,420,1
5,4,0.49,99,1
6,4.5,0.154,78,1
8,3.875,0.427,246,1
9,3.778,0.225,231,1
7,1.143,0.393,42,1
9,2.222,0.261,100,1
10,9.3,0.206,738,1
7,1.857,0.297,78,1
7,1.571,0.364,72,1
7,0.714,0.486,33,1
6,16,0.351,435,1
10,3.3,0.294,261,1
10,12.5,0.456,1078,1
8,3.375,0.435,208,1
5,2.6,0.431,60,1
19,6.474,0.089,208,1
8,11.625,0.185,400,1
8,10.25,0.358,551,1
6,16.167,0.235,409,1
12,2.167,0.224,283,1
7,2.143,0.438,94,1
7,1,0.265,30,1
10,2,0.32,122,1
9,7.222,0.222,460,1
6,2,0.292,56,1
9,2,0.605,145,1
13,10.615,0.232,1251,1
8,6.125,0.406,291,1
5,0.6,0.6,9,1
9,56.444,0.164,3154,1
8,0.625,0.325,36,1
8,15.25,0.227,634,1
23,11.783,0.126,2239,1
9,1.889,0.608,131,1
10,3,0.367,235,1
8,2.125,0.265,77,1
17,14.412,0.913,4152,1
8,1.25,0.45,79,1
9,14,0.484,1081,1
5,6.2,0.355,151,1
10,14.3,0.355,1108,1
9,16.444,0.198,1025,1
5,21.4,0.247,487,1
17,23.706,0.349,3568,1
12,8.583,0.353,895,1
6,2,0.375,68,1
10,3.5,0.331,240,1
18,2.667,0.264,453,1
9,1.111,0.344,71,1
17,1.412,0.407,330,1
9,2,0.309,146,1
13,31.846,0.357,3514,1
6,2.167,0.359,61,1
9,16,0.123,793,1
9,3,0.346,237,1
16,0.75,0.526,160,1
7,2.429,0.412,96,1
9,29.333,0.197,1558,1
10,4.9,0.52,471,1
8,11.5,0.359,672,1
8,4.625,0.334,246,1
11,6.455,0.69,742,1
8,4.25,0.419,213,1
7,1.571,0.39,59,1
18,4.389,0.257,876,1
9,18.778,0.353,1129,1
8,8.625,0.159,426,1
8,37.25,0.242,1886,1
1,60,0.2,60,1
9,30.222,0.277,1640,1
16,5.625,0.197,1109,1
9,4.111,0.444,299,1
8,2.25,0.479,142,1
9,8.444,0.307,603,1
11,0.818,0.475,63,1
9,1.778,0.326,114,1
16,7,0.305,1576,1
12,8.75,0.37,903,1
6,14.833,0.303,422,1
14,10.929,0.38,1378,1
9,1.889,0.536,140,1
9,4.667,0.325,311,1
7,3,0.286,126,1
7,27.286,0.307,1000,1
15,3.6,0.323,558,1
10,3.7,0.33,332,1
8,3.875,0.351,208,1
9,4.333,0.308,249,1
7,2.714,0.331,97,1
11,16.727,0.484,1789,1
7,1.857,0.319,77,1
9,2.333,0.243,143,1
7,2.714,0.278,88,1
9,10.333,0.323,743,1
9,56.444,0.184,3224,1
8,4.5,0.323,225,1
13,28.385,0.397,3176,1
8,11.75,0.485,693,1
4,24,0.417,289,1
24,7.792,0.485,4122,1
10,9.4,0.25,678,1
5,5.6,0.329,122,1
9,1,0.63,65,1
11,9.273,0.223,862,1
11,3.818,0.284,302,1
10,11.6,0.246,881,1
9,59.444,0.088,1530,1
8,10.375,0.393,465,1
10,0.9,0.222,90,1
7,2.571,0.365,120,1
25,10.44,0.887,6164,1
8,2.875,0.462,184,1
8,1.125,0.361,57,1
5,6.8,0.141,101,1
6,16.167,0.282,462,1
7,0.857,0.214,12,1
7,3.714,0.445,178,1
9,4.778,0.455,348,1
8,5.375,0.398,325,1
7,13.714,0.314,664,1
8,5.875,0.221,264,1
10,26.1,0.269,1860,1
7,3.857,0.079,33,1
9,18.111,0.264,748,1
5,2.6,0.554,52,1
8,5.625,0.156,261,1
2,10.5,0.167,27,1
9,9.333,0.25,722,1
5,2.4,0.2,35,1
9,31.444,0.186,1852,1
27,3.926,0.261,1368,1
8,10.25,0.402,650,1
8,4.5,0.427,288,1
8,5.375,0.398,323,1
5,3.4,0.576,81,1
7,6.429,0.238,211,1
12,0.667,0.615,93,1
8,1.75,0.25,88,1
14,6.5,0.389,800,1
11,24.636,0.177,1752,1
8,19.375,0.452,1094,1
9,5.222,0.274,316,1
5,8,0.44,187,1
9,7.222,0.265,427,1
10,8.1,0.279,656,1
9,3.778,0.337,250,1
9,0.667,0.667,41,1
11,3.818,0.292,351,1
9,10.111,0.161,360,1
8,4.5,0.299,153,1
9,9,0.388,654,1
7,6,0.333,248,1
14,8.286,0.27,1054,1
10,15.7,0.233,887,1
10,2,0.435,178,1
7,5.429,0.353,240,1
11,21.818,0.27,1674,1
9,2.222,0.339,139,1
13,31.462,0.267,3095,1
6,11.833,0.131,334,1
17,10.059,0.208,1226,1
7,4.714,0.264,195,1
11,17.727,0.358,1676,1
22,3.227,0.499,1306,1
6,3.167,0.36,81,1
7,2.857,0.35,106,1
9,11,0.464,839,1
8,5.875,0.324,337,1
5,5.6,0.307,114,1
8,1.75,0.295,96,1
6,2.333,0.274,84,1
7,1.571,0.364,69,1
9,4.333,0.368,256,1
7,2.571,0.27,90,1
8,2.75,0.398,138,1
7,4.286,0.324,199,1
11,0.727,0.511,75,1
6,4.333,0.34,152,1
6,7.833,0.177,127,1
8,0.375,0.458,17,1
9,24.111,0.168,1339,1
8,2.625,0.31,125,1
31,10.387,0.689,7519,1
4,3,0.146,48,1
10,51.1,0.141,2701,1
7,10.286,0.236,328,1
10,15.4,0.315,984,1
8,4.25,0.309,247,1
12,2.167,0.276,259,1
7,74.429,0.091,1409,1
17,1.118,0.362,123,1
8,1.125,0.417,72,1
10,51,0.163,2763,1
11,10.818,0.236,978,1
7,6,0.262,217,1
9,30.222,0.269,1704,1
8,1.875,0.283,78,1
9,9.444,0.308,569,1
9,14.222,0.219,858,1
11,0.727,0.409,42,1
7,1.857,0.286,90,1
7,3.429,0.244,130,1
9,2,0.259,115,1
8,6.625,0.358,416,1
6,2.833,0.314,70,1
8,2.125,0.419,130,1
8,4.125,0.326,224,1
14,31.071,0.355,3478,1
28,4.893,0.265,2163,1
9,41.778,0.225,2960,1
13,17.308,0.253,2612,1
12,3.083,0.41,332,1
5,2.2,0.6,45,1
19,23.947,0.081,821,1
8,7.75,0.361,435,1
7,0.571,0.393,19,1
8,16.5,0.311,922,1
23,5.13,0.293,2129,1
10,14.5,0.278,1050,1
9,4,0.54,301,1
11,8.182,0.362,800,1
9,19.111,0.167,1050,1
8,2.875,0.348,133,1
16,7.563,0.396,1182,1
6,4.833,0.356,119,1
7,1.571,0.377,74,1
8,3.125,0.285,176,1
6,13.333,0.352,461,1
10,12.8,0.355,961,1
9,4.222,0.377,250,1
9,13.333,0.331,928,1
9,5.444,0.592,440,1
10,26.2,0.281,1811,1
7,2.714,0.338,110,1
9,11.667,0.236,547,1
8,34.375,0.209,1621,1
7,27,0.339,932,1
8,1.5,0.458,89,1
8,26.875,0.404,1357,1
8,1.625,0.413,104,1
8,8.75,0.371,510,1
9,10.222,0.365,790,1
8,3.375,0.218,179,1
3,1,0.889,9,1
9,3.222,0.318,233,1
9,3.556,0.365,225,1
12,1,0.306,141,1
6,3,0.537,106,1
10,3.6,0.356,242,1
9,27.778,0.347,1659,1
8,2,0.461,119,1
10,2.6,0.296,245,1
5,40.6,0.239,872,1
10,27.1,0.197,2027,1
9,11,0.484,847,1
7,2.714,0.346,133,1
10,2,0.605,159,1
6,24.333,0.325,605,1
6,0.667,0.417,14,1
9,2,0.327,148,1
7,1,0.306,29,1
10,1.9,0.6,163,1
10,17.1,0.126,773,1
7,1.571,0.312,65,1
9,0.111,1,9,1
9,6.111,0.299,495,1
4,1,0.5,8,1
8,1.75,0.429,112,1
10,2.5,0.328,207,1
9,13.556,0.333,910,1
6,3,0.444,107,1
8,4.625,0.182,192,1
4,11,0.267,137,1
14,0.786,0.526,109,1
9,9.111,0.309,574,1
10,18.6,0.347,1434,1
14,22.857,0.354,2621,1
10,3.4,0.279,272,1
9,4.222,0.444,307,1
10,22.8,0.26,1390,1
8,1.5,0.51,81,1
8,34,0.359,1846,1
8,5.375,0.326,258,1
7,2.143,0.333,88,1
10,15,0.252,878,1
10,4.6,0.278,268,1
11,0.909,0.436,102,1
10,3.7,0.324,256,1
5,18.8,0.277,444,1
11,10.727,0.408,800,1
6,54.333,0.213,1400,1
7,2.429,0.395,93,1
5,4,0.54,95,1
6,2.167,0.269,52,1
8,6.625,0.33,384,1
12,3.583,0.31,409,1
5,2.8,0.443,52,1
8,0.5,0.25,11,1
6,1.333,0.542,45,1
9,9.333,0.222,708,1
12,3.583,0.357,438,1
10,25.1,0.141,1559,1
14,7.286,0.356,1013,1
9,9,0.348,676,1
9,11.222,0.196,701,1
11,8.273,0.286,598,1
12,5.917,0.481,645,1
8,1,0.234,21,1
7,17.429,0.281,535,1
5,1.4,0.6,35,1
8,7.875,0.435,425,1
7,4.429,0.267,155,1
10,0.8,0.4,56,1
6,15,0.298,416,1
9,2.667,0.356,196,1
8,1.5,0.396,93,1
6,16,0.262,485,1
9,0.889,0.264,72,1
12,5.917,0.628,743,1
8,0.375,0.5,16,1
7,1.571,0.377,77,1
26,15.846,0.32,7118,1
7,14.286,0.283,691,1
8,1.125,0.389,51,1
7,4.714,0.351,228,1
12,8.5,0.257,984,1
12,7,0.42,570,1
8,1.25,0.375,68,1
7,1.857,0.363,85,1
8,1.875,0.433,75,1
8,12.75,0.403,758,1
9,5,0.447,363,1
9,4.667,0.347,346,1
6,7.333,0.265,214,1
10,1.2,0.225,67,1
7,2.429,0.328,87,1
9,18.778,0.26,942,1
9,9.111,0.312,494,1
11,0.727,0.545,88,1
9,59.556,0.154,2904,1
8,1.625,0.625,85,1
11,24.727,0.283,2103,1
11,7.455,0.236,734,1
10,2.3,0.317,205,1
8,3.375,0.282,188,1
9,40.333,0.128,1738,1
9,11.889,0.191,712,1
10,2.9,0.307,248,1
10,8.6,0.145,548,1
9,2.333,0.291,144,1
9,6.222,0.327,347,1
9,50.778,0.173,2590,1
6,28.667,0.294,936,1
8,7.375,0.206,326,1
6,3.667,0.197,132,1
8,6.625,0.347,325,1
9,17.222,0.376,1007,1
6,1.833,0.318,47,1
9,5.222,0.404,399,1
10,26.3,0.204,1550,1
8,9.375,0.373,573,1
9,4.889,0.341,268,1
7,2.429,0.336,104,1
9,3.333,0.248,253,1
10,5.1,0.22,429,1
7,2.429,0.227,106,1
6,15.667,0.188,493,1
7,1.714,0.405,83,1
6,1.5,0.296,43,1
12,10.75,0.303,1100,1
7,0.571,0.393,28,1
8,7.75,0.363,459,1
9,2,0.241,159,1
12,1.917,0.576,228,1
28,10.036,0.318,4339,1
7,0.857,0.476,37,1
10,1.4,0.371,124,1
8,1,0.219,56,1
9,3.222,0.31,179,1
7,4.429,0.313,154,1
7,30.143,0.257,965,1
7,19.429,0.18,738,1
8,1.625,0.683,85,1
11,2,0.632,209,1
8,5,0.456,319,1
7,7.286,0.322,280,1
11,5.636,0.218,481,1
23,5.957,0.855,2943,1
5,1,0.44,25,1
8,9,0.399,467,1
9,11.222,0.442,783,1
8,1.625,0.49,97,1
8,27,0.156,883,1
8,15.375,0.402,738,1
12,1.083,0.391,153,1
10,25.9,0.351,2018,1
9,34.556,0.163,1629,1
10,26.8,0.395,1581,1
8,6.625,0.33,379,1
11,2.909,0.256,188,1
13,10.385,0.492,1462,1
36,0.139,0.656,147,1
13,27.231,0.38,2750,1
8,1.5,0.427,92,1
2,15.5,0.194,32,1
24,19.625,0.474,10409,1
9,14.667,0.168,823,1
1,40,0.4,40,1
7,1.286,0.238,39,1
7,4.143,0.281,159,1
5,4,0.17,48,1
8,0.5,0.406,25,1
8,32,0.124,1153,1
10,1.5,0.247,108,1
11,33.364,0.221,3108,1
8,2.125,0.529,116,1
8,16.375,0.246,834,1
25,11.64,0.456,6796,1
10,4.1,0.339,341,1
9,2.444,0.298,191,1
11,6.545,0.665,743,1
7,1.143,0.268,43,1
7,17.571,0.139,580,1
