@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
1.857,0.341,1.82,31,1
1.5,0.296,1.23,16,1
1,0.286,1.56,14,1
3.227,0.499,10.99,780,1
20.111,0.369,2.99,601,1
4,0.611,3.36,198,1
8.923,0.292,2.49,441,1
3,0.507,3.17,38,1
9,0.357,2.22,260,1
26.2,0.179,1.36,469,1
1.286,0.238,1.5,15,1
7.75,0.514,7.55,2296,1
10.385,0.492,5.5,864,1
7.636,0.279,2.35,258,1
2.571,0.214,1.13,27,1
6.538,0.327,2.76,361,1
1.75,0.518,3.22,58,1
22.273,0.252,1.86,678,1
6.143,0.246,1.32,74,1
2.273,0.276,1.9,76,1
3.6,0.467,1.91,42,1
27.2,0.206,1.4,559,1
1.25,0.35,2,28,1
16.875,0.077,1.54,83,1
19.75,0.102,1.33,129,1
1.571,0.364,1.33,28,1
1.833,0.568,7.5,150,1
4,0.395,2.1,101,1
0.8,0.7,2.33,14,1
1.833,0.333,1.47,22,1
1.727,0.579,7.56,121,1
1.5,0.556,2.14,30,1
1.571,0.247,1.36,19,1
6.429,0.381,2.22,120,1
34,0.189,1.32,411,1
1.364,0.358,2.19,59,1
9.333,0.407,2.75,308,1
22.333,0.152,1.27,275,1
17.7,0.26,1.77,461,1
0.857,0.429,6.55,72,1
3.286,0.28,1.29,45,1
6.667,0.413,2.75,223,1
2.5,0.206,1.38,33,1
4,0.208,3.18,480,1
3.783,0.286,2.36,572,1
5.583,0.35,2.84,281,1
9,0.338,1.8,149,1
1.556,0.238,1.36,30,1
31.286,0.182,1.26,279,1
8.857,0.189,1.28,82,1
1,0.43,4.73,52,1
1,0.516,2.54,33,1
4,0.375,2.09,96,1
8.286,0.27,2.12,439,1
15.875,0.314,1.98,319,1
1.2,0.367,1.69,44,1
27.917,0.4,4.61,1606,1
31.071,0.355,4.58,2164,1
3.462,0.429,6.61,251,1
3.8,0.187,1.37,71,1
14,0.207,1.42,142,1
27.1,0.251,1.88,679,1
4.167,0.313,1.38,47,1
1,0.347,1.42,17,1
2.2,0.591,6.5,130,1
3,0.417,1.9,80,1
2,0.337,1.83,33,1
59.333,0.131,1.31,629,1
2.5,0.363,1.93,58,1
3.333,0.304,1.86,82,1
2.125,0.463,2.86,63,1
2.067,0.204,3.96,95,1
1.625,0.587,4.69,61,1
31.9,0.239,1.67,764,1
0.778,0.365,1.77,23,1
6.3,0.251,1.84,158,1
7.8,0.338,1.35,66,1
13.818,0.365,2.88,610,1
43.25,0.166,1.35,459,1
8,0.279,1.92,223,1
1.333,0.407,1.63,44,1
1.727,0.378,1.93,79,1
0.8,0.6,2.4,12,1
10.111,0.302,1.98,247,1
18.778,0.353,2.53,537,1
4.111,0.3,2,100,1
11.708,0.468,7.95,3155,1
9.455,0.203,1.59,928,1
2.889,0.316,1.85,74,1
10.818,0.261,1.88,341,1
13.444,0.399,2.4,434,1
1.412,0.36,5.88,147,1
6,0.328,2,126,1
1.571,0.234,1.64,18,1
2.857,0.436,2.35,61,1
0.857,0.405,1.89,17,1
2,0.277,1.86,67,1
0.286,0.5,7,7,1
2,0.649,8.72,157,1
17.25,0.2,1.7,496,1
26.214,0.349,4.5,1791,1
7.375,0.307,1.84,145,1
18.4,0.287,1.38,132,1
2,0.58,7.83,94,1
14,0.255,2.1,515,1
28.875,0.228,1.64,421,1
2.083,0.32,2.59,96,1
2.857,0.421,2.46,59,1
3.1,0.3,3.32,93,1
21.833,0.106,1.38,83,1
3.667,0.197,2.89,26,1
5.1,0.337,2.12,172,1
1.667,0.317,1.19,19,1
27.286,0.307,1.66,411,1
3.571,0.354,2.14,62,1
3.091,0.364,2.78,136,1
3.136,0.516,10.59,784,1
2.625,0.435,2.35,73,1
9.364,0.156,1.44,177,1
8,0.541,3.85,277,1
4.444,0.319,2.35,115,1
8,0.44,1.4,88,1
1.125,0.458,3,33,1
1.167,0.524,2,22,1
1.778,0.556,6.67,80,1
4.429,0.313,1.58,68,1
1.2,0.433,13,13,1
59.556,0.154,1.36,743,1
12.333,0.209,1.57,209,1
1,0.52,2.17,13,1
0.875,0.321,6,18,1
27.571,0.206,1.37,278,1
2.556,0.246,1.82,51,1
2.667,0.198,2.38,19,1
1.857,0.363,1.94,33,1
36.778,0.126,1.21,374,1
9,0.399,2.25,230,1
1.5,0.313,2.24,47,1
24.875,0.115,1.18,183,1
1,0.406,2.17,26,1
34.889,0.156,1.25,440,1
1.875,0.558,2.91,67,1
2.846,0.306,3.59,147,1
2.375,0.421,1.83,64,1
3.333,0.285,1.51,77,1
16,0.168,1.25,132,1
18.444,0.386,2.95,576,1
7.563,0.396,5.6,767,1
24.9,0.294,2.32,731,1
1.5,0.406,1.86,39,1
4.4,0.441,2.94,194,1
1.2,0.433,1.63,13,1
0.8,0.45,2.25,9,1
25.643,0.368,4.56,1848,1
6.5,0.45,2.88,187,1
1.333,0.75,9,9,1
2.286,0.241,1.93,27,1
11.333,0.183,1.27,168,1
9.667,0.444,2.37,348,1
3.375,0.236,1.31,51,1
7.8,0.395,3.67,77,1
0.571,0.286,8,8,1
1.125,0.403,1.93,29,1
6.429,0.483,2.45,152,1
10.059,0.208,2.42,606,1
1.6,0.35,4.67,14,1
0.727,0.511,9,45,1
249,0.173,1.02,43,1
2.8,0.457,1.52,32,1
3.583,0.328,2.56,169,1
15.714,0.21,1.38,162,1
41.417,0.278,2.27,1657,1
8.6,0.405,1.61,87,1
2.167,0.224,1.63,70,1
2.5,0.506,2.45,81,1
4,0.333,1.82,133,1
2,0.367,1.57,36,1
0.625,0.425,1.55,17,1
14.636,0.333,2.71,589,1
21.063,0.369,5.15,1992,1
5.571,0.253,1.33,69,1
5.6,0.307,1.3,43,1
177,0.203,1.03,36,1
19.375,0.452,2.78,561,1
2.1,0.324,3.4,68,1
1.4,0.4,2.33,14,1
4.6,0.322,1.32,37,1
4.6,0.363,2.01,167,1
6,0.292,1.48,142,1
20.444,0.206,1.36,341,1
19.7,0.144,1.25,284,1
2.273,0.335,2.56,92,1
3,0.278,2.1,101,1
1.2,0.433,1.63,13,1
3.3,0.352,2.07,116,1
3,0.313,1.48,46,1
7.2,0.406,1.35,73,1
29.786,0.359,4.48,2094,1
7.222,0.222,1.35,130,1
17.571,0.139,1.26,120,1
4,0.352,1.8,90,1
11.68,0.479,7.58,3496,1
16.667,0.237,1.75,320,1
1.182,0.35,2.08,50,1
1.25,0.325,1.53,26,1
1.286,0.444,3.11,28,1
30.222,0.137,1.33,336,1
1.857,0.242,1.47,22,1
11.429,0.102,1.39,57,1
4.9,0.52,2.97,255,1
15.647,0.921,12.82,4167,1
2.333,0.619,13,13,1
9.222,0.376,2.49,281,1
4.286,0.295,1.77,62,1
4.6,0.296,2.56,851,1
29.214,0.172,1.79,984,1
1.778,0.278,1.48,40,1
10,0.265,1.4,130,1
0.8,0.45,3,9,1
2.625,0.357,2.07,60,1
26,0.282,1.78,732,1
2.625,0.363,1.69,61,1
18.444,0.274,1.88,409,1
4.571,0.272,1.53,61,1
1.2,0.35,2.33,42,1
1.6,0.3,1.85,48,1
4.529,0.314,2.94,411,1
0.667,0.667,4,16,1
2.6,0.554,3,36,1
6,0.36,1.26,54,1
5.25,0.423,2.37,142,1
3.5,0.411,1.92,92,1
9.2,0.174,1.43,40,1
7.667,0.315,2.12,87,1
7.286,0.283,1.35,101,1
2.364,0.283,2.19,81,1
9.286,0.284,1.57,129,1
1.333,0.454,5.76,196,1
7.818,0.413,3.1,391,1
2.2,0.4,1.57,22,1
5.714,0.336,1.57,94,1
109,0.183,1.05,20,1
15.667,0.188,1.63,106,1
1.9,0.584,6.94,111,1
27.857,0.358,4.44,1956,1
13.25,0.376,5.75,1276,1
1.667,0.183,1.83,11,1
5.25,0.375,2.07,126,1
7.417,0.491,7.86,2099,1
1.7,0.506,7.82,86,1
2.167,0.269,1.5,21,1
2,0.485,8.82,97,1
27.143,0.293,1.79,390,1
13.364,0.257,1.58,416,1
30.143,0.18,1.7,1062,1
5.222,0.371,2.75,157,1
4.5,0.181,6.5,13,1
5.8,0.081,1.62,47,1
2.429,0.395,1.81,47,1
3.667,0.357,2.47,106,1
9.833,0.35,2.98,495,1
12.2,0.273,2.03,333,1
4.571,0.308,1.25,69,1
5,0.482,2.81,118,1
2.2,0.332,2.15,73,1
0.5,0.469,5,15,1
8.8,0.241,2.52,53,1
6.455,0.666,6.19,520,1
24.727,0.26,1.82,778,1
17.3,0.09,1.52,155,1
3.353,0.105,2.59,406,1
0.857,0.333,1.4,14,1
18.071,0.372,4.36,1317,1
14.538,0.229,3.46,2252,1
3.125,0.405,1.98,81,1
2.25,0.354,1.65,51,1
1.5,0.427,2.16,41,1
4.8,0.331,2.37,159,1
6.6,0.376,1.44,62,1
13.778,0.367,2.85,410,1
13.667,0.274,1.39,135,1
7.92,0.869,15.94,4304,1
29.333,0.197,1.34,468,1
2.375,0.388,1.74,59,1
0.818,0.465,9.2,46,1
1.607,0.368,7.86,464,1
1.5,0.427,1.64,41,1
4.375,0.379,1.66,106,1
6.625,0.33,2.09,140,1
0.625,0.4,2.67,16,1
4.667,0.235,1.37,89,1
8.5,0.54,3.03,294,1
5.8,0.4,1.87,58,1
18,0.507,5.3,1315,1
8.429,0.462,2.33,191,1
7,1,7,7,1
15.833,0.226,1.45,129,1
8.5,0.294,1.48,90,1
1.571,0.312,1.33,24,1
8,0.316,1.57,91,1
2,0.422,1.86,54,1
7,0.318,1.91,109,1
1.125,0.278,2.86,20,1
4.25,0.309,1.5,84,1
2.429,0.311,1.54,37,1
5.154,0.441,5.19,384,1
20.667,0.425,3.24,712,1
26.9,0.306,5.15,824,1
7.714,0.286,1.4,108,1
16.875,0.131,1.22,142,1
1.75,0.438,2.23,49,1
17.571,0.419,2.62,361,1
4.556,0.298,1.9,110,1
40,0.4,1.07,16,1
1.857,0.396,1.33,36,1
2.571,0.286,1.57,36,1
7.75,0.357,1.79,177,1
9.571,0.258,1.7,121,1
18.111,0.264,2.98,387,1
2.923,0.334,3.93,165,1
9.111,0.408,2.39,301,1
3.857,0.37,1.79,70,1
1.75,0.25,3.11,28,1
21.75,0.223,1.92,698,1
3.286,0.329,1.66,53,1
1.857,0.33,1.43,30,1
2,0.123,17.75,71,1
5.8,0.317,1.39,46,1
3.556,0.417,3.08,120,1
10.333,0.229,1.57,192,1
3.7,0.354,3.2,131,1
2.833,0.294,1.15,30,1
1.6,0.35,1,14,1
1.9,0.605,8.85,115,1
6.3,0.233,1.69,147,1
1.5,0.396,1.65,38,1
0.818,0.475,15.67,47,1
11.75,0.298,2.33,56,1
3.286,0.28,1.45,45,1
3.556,0.299,2.1,86,1
11.9,0.392,2.46,467,1
4.25,0.309,3.5,21,1
2.875,0.359,1.65,66,1
6.12,0.255,2.08,977,1
1.125,0.361,1.53,26,1
2,0.408,2.5,40,1
22.471,0.363,5.46,2355,1
1.222,0.222,1.29,22,1
12.6,0.456,2.85,575,1
2.286,0.313,1.75,35,1
3.4,0.356,1.83,121,1
25.25,0.313,1.83,505,1
3.227,0.487,10.13,760,1
3,0.354,1.63,52,1
3.545,0.317,2.47,136,1
0.8,0.675,9,54,1
6.857,0.268,1.61,90,1
2.143,0.371,1.77,39,1
20.375,0.383,2.79,500,1
21.143,0.184,1.2,191,1
15.375,0.402,2.71,396,1
5.444,0.231,1.46,102,1
51,0.162,1.47,827,1
1.364,0.352,2.07,58,1
5.625,0.206,1.8,74,1
4.909,0.273,2.19,162,1
16.444,0.198,1.33,264,1
9.833,0.309,2.42,438,1
15.846,0.32,3,3424,1
3.333,0.367,1.38,44,1
3.3,0.391,2.05,129,1
3.625,0.341,1.93,79,1
2.909,0.335,2.27,118,1
10.667,0.281,1.96,243,1
0.632,0.303,7.67,69,1
3.571,0.331,1.41,58,1
4.7,0.223,1.62,105,1
3.338,0.465,72.47,9204,1
7.8,0.338,1.74,66,1
1.286,0.349,2.2,22,1
3.75,0.233,1.24,56,1
13.143,0.309,1.88,199,1
1,0.361,1.44,13,1
5.167,0.318,7.28,2126,1
19.2,0.342,2.13,164,1
15.462,0.4,4.45,1046,1
1.1,0.2,2.2,22,1
3.5,0.326,2.24,114,1
24.563,0.341,5.13,2145,1
6.375,0.37,2.19,151,1
9.222,0.292,2.42,218,1
3.5,0.311,1.88,109,1
4.444,0.483,2.85,174,1
2.857,0.429,1.94,60,1
1.4,0.4,1.75,14,1
12,0.111,1.35,85,1
1.857,0.308,1.33,28,1
14.5,0.268,1.83,389,1
8.8,0.257,1.82,226,1
0.75,0.396,1.58,19,1
10.25,0.396,2.63,260,1
5.143,0.409,1.84,103,1
0.429,0.571,4,12,1
1.571,0.455,1.75,35,1
3.556,0.365,2.23,105,1
3.429,0.232,1.22,39,1
2.6,0.3,1.59,78,1
6,0.228,1.79,197,1
5.2,0.319,1.87,166,1
4.8,0.3,2.15,144,1
1.333,0.444,1.85,48,1
4.143,0.305,1.48,62,1
4.167,0.34,1.42,51,1
24,0.383,2.75,919,1
0.909,0.436,4.36,48,1
59.444,0.157,1.23,757,1
2.8,0.311,1.78,87,1
17.444,0.222,1.58,313,1
1.625,0.413,1.95,43,1
8.7,0.375,2.23,326,1
1.571,0.221,1.21,17,1
3,0.491,2.04,53,1
11.75,0.485,3.07,365,1
22.929,0.361,4.71,1624,1
1.571,0.364,1.47,28,1
33.875,0.217,1.29,470,1
0.727,0.693,10.17,61,1
2,0.359,2,46,1
4.556,0.507,3.28,187,1
0.727,0.409,36,36,1
3.417,0.289,2.06,142,1
15.7,0.233,1.65,366,1
2.8,0.336,1.68,94,1
1,0.438,7,7,1
7.6,0.322,1.99,245,1
0.5,0.25,8,8,1
2.1,0.3,1.91,63,1
5,0.388,1.41,31,1
1.5,0.417,1.74,40,1
6.714,0.258,1.29,85,1
23.818,0.242,1.91,697,1
1,0.358,2.23,29,1
7.125,0.434,2.91,198,1
2.4,0.383,1.92,23,1
0.5,0.375,2.4,12,1
1.286,0.429,2.45,27,1
3.7,0.324,1.85,120,1
1.3,0.231,1.76,30,1
6.3,0.294,2.2,185,1
1.143,0.429,1.85,24,1
1.857,0.374,1.89,34,1
3.182,0.351,2.25,135,1
11.889,0.191,1.36,184,1
7.4,0.479,7.24,2214,1
0.625,0.35,3.5,14,1
22.571,0.239,1.33,264,1
54.667,0.132,1.22,583,1
7.571,0.089,1.5,33,1
2.6,0.296,2.2,77,1
32.778,0.2,1.5,531,1
30,0.111,1.27,270,1
1.5,0.273,1.41,41,1
5.542,0.907,18.67,2894,1
5.333,0.257,1.41,111,1
2.571,0.31,1.39,39,1
1.9,0.326,1.59,62,1
1.833,0.318,1.31,21,1
1.889,0.608,7.15,93,1
4,0.338,1.9,135,1
6.625,0.344,1.83,146,1
8.111,0.298,2.55,196,1
5.143,0.456,2.05,115,1
0.556,0.244,1.83,11,1
38.111,0.162,1.24,499,1
5.556,0.22,1.32,99,1
4.857,0.273,1.55,65,1
3.7,0.33,2,122,1
13.7,0.191,1.4,261,1
5.375,0.212,1.4,73,1
1.8,0.306,2.5,55,1
22.571,0.211,1.6,233,1
15.1,0.381,3.48,575,1
1,0.889,8,8,1
33.364,0.221,1.64,891,1
16.571,0.262,1.84,213,1
2.636,0.32,2.22,102,1
18.615,0.231,2.33,726,1
1.125,0.528,3.17,38,1
10.727,0.26,2.01,338,1
1,0.306,3.67,11,1
27.778,0.305,2.18,686,1
9,0.187,1.49,136,1
13.333,0.352,1.51,169,1
2.143,0.343,1.64,36,1
28.667,0.294,1.73,303,1
21.889,0.274,1.74,485,1
8.167,0.245,2.23,288,1
13.667,0.331,2.3,366,1
7.545,0.274,1.71,250,1
3.9,0.344,2.79,134,1
8.333,0.213,1.31,64,1
4.778,0.377,2.25,146,1
8.333,0.327,2,98,1
8.923,0.279,2.3,421,1
4.429,0.433,5.97,376,1
12,0.376,2.35,365,1
1.375,0.477,2,42,1
4.625,0.264,1.86,78,1
11.455,0.273,2.11,379,1
22.857,0.354,4.46,1584,1
2.8,0.257,3.6,18,1
24,0.207,1.57,318,1
1.167,0.476,2.22,20,1
12.6,0.456,2.98,575,1
26.545,0.341,2.95,1096,1
9.556,0.394,2.85,305,1
3.556,0.261,3.24,301,1
4.6,0.3,2.09,138,1
5.444,0.592,2.97,261,1
5.875,0.34,2,128,1
1.1,0.473,2.48,52,1
3.714,0.445,2.25,81,1
3,0.296,1.33,8,1
4.875,0.388,2.2,121,1
3.3,0.367,1.95,121,1
1.4,0.571,2.5,20,1
11.333,0.193,1.29,177,1
2.625,0.262,1.52,44,1
1.182,0.42,2.22,60,1
2.429,0.336,1.48,40,1
19,0.255,1.73,121,1
7.8,0.436,3.54,85,1
1.111,0.389,1.94,35,1
3.6,0.689,3.44,62,1
2.875,0.364,2.03,67,1
2.143,0.4,1.83,42,1
7.5,0.433,3.01,208,1
27.778,0.36,2.56,810,1
17.1,0.126,1.78,215,1
1.429,0.3,3.5,21,1
1.571,0.351,1.35,27,1
0.769,0.3,6.5,39,1
7.818,0.332,2.2,314,1
7.143,0.214,1.23,75,1
1.9,0.611,8.92,116,1
7.625,0.342,1.94,167,1
2,0.258,1.18,33,1
51.556,0.158,1.3,658,1
4.6,0.452,1.79,52,1
17.333,0.234,1.32,146,1
38.778,0.125,1.29,394,1
1.091,0.492,4.33,65,1
8.667,0.329,2.1,231,1
3,0.388,1.84,57,1
1.2,0.225,2.7,27,1
10.222,0.365,2.2,302,1
5.75,0.356,1.79,131,1
2.182,0.307,2.08,81,1
1.111,0.344,2.07,31,1
1.286,0.317,1.54,20,1
6,0.235,1.33,69,1
7.75,0.308,1.91,153,1
1.1,0.491,4.5,54,1
0.818,0.485,6,48,1
3.4,0.356,1.98,121,1
6,0.354,1.68,136,1
1.6,0.425,1.55,17,1
15.75,0.209,1.45,211,1
6.571,0.416,2.63,134,1
9.111,0.337,2.01,249,1
1.727,0.598,7.35,125,1
8.909,0.397,2.61,428,1
4.071,0.714,11.88,570,1
11.222,0.196,1.22,178,1
1.875,0.475,2.38,57,1
0.889,0.681,12.25,49,1
0.857,0.357,1.67,15,1
1.778,0.208,2.14,30,1
1.5,0.406,1.56,39,1
29.778,0.198,1.36,478,1
2.2,0.345,1.46,19,1
28.667,0.173,1.28,401,1
1.167,0.452,2.38,19,1
2,0.316,1.48,31,1
4.385,0.745,11.5,552,1
0.8,0.35,1.75,7,1
5,0.447,3.23,181,1
11.889,0.375,1.94,361,1
1.4,0.6,2.33,21,1
2.667,0.537,2.9,116,1
37.375,0.186,1.32,446,1
12,0.329,2.27,320,1
3.2,0.25,2,20,1
38.308,0.281,2.28,1820,1
8.167,0.241,1.42,71,1
13,0.334,1.76,213,1
2.3,0.287,2.2,66,1
24,0.417,2.19,160,1
1.833,0.379,1.67,25,1
4.1,0.266,1.98,109,1
1,0.234,5,15,1
2.6,0.354,2.09,92,1
10.111,0.206,1.37,169,1
13.556,0.378,2.73,415,1
12,0.247,1.69,240,1
1.833,0.58,7.65,153,1
2.333,0.302,1.9,57,1
2.8,0.343,2.13,96,1
24.214,0.248,2.44,1175,1
1.125,0.361,2.17,26,1
9,0.549,3.36,178,1
1.875,0.475,2.59,57,1
3,0.438,1.95,84,1
3.778,0.363,1.76,111,1
5.429,0.414,2.44,110,1
27.1,0.176,1.39,476,1
3.286,0.342,1.45,55,1
2.8,0.543,2,38,1
30.769,0.364,4.52,1891,1
6.571,0.354,1.46,114,1
24.727,0.281,2,840,1
2.2,0.455,1.67,25,1
37.429,0.152,1.28,279,1
15.667,0.326,2.02,184,1
1.333,0.426,1.64,46,1
0.4,0.375,15,15,1
1.333,0.37,2,40,1
18.444,0.336,2.38,502,1
10.571,0.276,1.57,143,1
1.8,0.656,6.94,118,1
6.4,0.295,2.25,189,1
3.222,0.234,1.39,61,1
1.909,0.316,4.29,73,1
4.333,0.308,1.69,108,1
31.444,0.186,1.22,474,1
2.2,0.309,2.34,68,1
3.286,0.329,1.39,53,1
42,0.381,1.07,16,1
10.111,0.321,1.95,263,1
2.333,0.393,1.57,33,1
6.75,0.245,1.29,106,1
4.467,0.293,3.59,294,1
26.2,0.288,1.79,754,1
18.8,0.183,1.62,86,1
2.182,0.53,10,140,1
7.75,0.361,3.03,179,1
1,0.265,1.44,13,1
11.438,0.413,4.81,1208,1
1,0.388,1.9,19,1
3.5,0.5,3.5,7,1
1,0.361,1.63,13,1
2.125,0.309,2.33,42,1
9.462,0.428,4.38,684,1
2.143,0.181,2.71,19,1
1.286,0.397,2.78,25,1
3,0.327,1.41,48,1
5.7,0.326,1.98,186,1
6.111,0.259,1.47,128,1
5.375,0.494,3.4,170,1
1.571,0.338,1.63,26,1
8.8,0.248,2.16,218,1
5.167,0.234,1.58,174,1
11.6,0.2,1.41,58,1
27.1,0.188,1.31,509,1
4.714,0.342,1.98,79,1
6.8,0.141,1.26,24,1
2.143,0.4,1.5,42,1
31.556,0.137,1.41,350,1
4.875,0.347,2.88,975,1
6.4,0.406,1.41,65,1
0.6,0.333,2.5,20,1
6.8,0.224,1.31,38,1
1.429,0.329,1.28,23,1
1.091,0.5,4.13,66,1
0.727,0.705,7.75,62,1
27.778,0.347,2.44,781,1
54.333,0.213,1.29,416,1
3,0.313,2.09,46,1
2.538,0.245,3.89,105,1
1.857,0.33,1.58,30,1
2,0.438,2.67,56,1
1.778,0.375,2.08,54,1
10.8,0.319,2.14,345,1
28.214,0.359,4.7,1988,1
27.933,0.345,4.5,2170,1
4.111,0.532,3.22,177,1
2.625,0.548,3.54,92,1
18.111,0.263,2.82,386,1
2.091,0.265,2.09,67,1
1.625,0.442,2,46,1
2.571,0.167,2.63,21,1
9.9,0.443,2.64,439,1
27.438,0.384,5.09,2696,1
3.926,0.261,5.45,747,1
10.714,0.225,4.14,472,1
4.5,0.458,2.06,132,1
5.818,0.395,3.35,278,1
8,0.385,1.93,197,1
2,0.28,7,14,1
3.6,0.367,2.24,132,1
0.667,0.625,5,15,1
1.875,0.433,2.74,52,1
1.571,0.416,1.6,32,1
1.8,0.294,1.96,53,1
4,0.375,2.04,96,1
31.6,0.366,2.74,1158,1
2.333,0.206,1.22,39,1
2.667,0.281,2.45,27,1
2.043,0.315,2.2,341,1
1.816,0.476,4.27,1247,1
9.222,0.293,2.28,219,1
0.571,0.714,10,20,1
32.5,0.215,1.51,700,1
7,1,7,7,1
1.5,0.427,1.86,41,1
1.333,0.563,3.38,27,1
7.12,0.49,7.9,2181,1
3.375,0.343,1.76,74,1
5.857,0.22,1.47,63,1
1.143,0.482,2.25,27,1
14,0.187,1.94,317,1
1.4,0.371,4.33,13,1
2.429,0.361,1.65,43,1
15.833,0.3,1.64,171,1
12.6,0.425,2.68,536,1
7.778,0.433,2.79,273,1
28.5,0.383,5.04,2142,1
7.375,0.514,8.02,2182,1
6.25,0.36,1.97,144,1
22.143,0.178,1.46,193,1
3.556,0.354,1.7,102,1
26.667,0.259,1.66,559,1
0.8,0.5,26.67,160,1
11.9,0.275,1.84,327,1
2,0.278,2.22,20,1
9.833,0.253,1.95,358,1
2,0.422,1.8,54,1
24.2,0.26,2.08,630,1
6.286,0.169,1.58,52,1
3.5,0.42,2.23,147,1
5.5,0.284,1.43,100,1
1.222,0.366,14.5,145,1
33.222,0.226,1.58,607,1
1.3,0.108,2.33,14,1
1.5,0.393,4.72,151,1
2,0.417,4.04,101,1
1.9,0.568,9.82,108,1
5.4,0.306,1.94,165,1
1.875,0.267,2.29,32,1
5.75,0.4,3.48,331,1
20.5,0.381,3.04,781,1
3.8,0.211,1.33,20,1
11.333,0.172,1.25,70,1
5.875,0.362,2,136,1
6.364,0.381,3.53,293,1
35.667,0.154,1.32,446,1
1,0.286,1.27,14,1
2.143,0.314,1.57,33,1
3.75,0.225,1.23,54,1
2.6,0.431,1.87,28,1
34.167,0.324,2.47,1595,1
4,0.349,1.82,113,1
29.778,0.132,1.24,319,1
5,0.408,2.38,100,1
4.7,0.198,1.29,93,1
6.875,0.243,1.39,107,1
6.5,0.342,2.05,80,1
16.167,0.299,1.85,174,1
1.353,0.419,6.56,164,1
1.125,0.361,1.63,26,1
5,0.442,3.31,179,1
3.778,0.412,1.91,126,1
5,0.456,2.7,146,1
6.714,0.38,2.31,125,1
5.5,0.678,6.32,373,1
2,0.29,2.52,58,1
8.75,0.341,1.66,191,1
3.667,0.294,2.31,155,1
2,0.293,2.37,71,1
13,0.163,1.46,104,1
6.625,0.37,1.76,157,1
31.308,0.266,2.31,1406,1
4.778,0.388,2.73,150,1
4.125,0.375,1.6,99,1
7.417,0.483,8,2063,1
3.2,0.425,1.36,34,1
2.444,0.268,3.31,53,1
2.625,0.411,2.56,69,1
5.167,0.199,1.85,37,1
7.111,0.177,2.32,102,1
12,0.279,1.7,335,1
5.625,0.492,9.32,177,1
3.3,0.318,2.33,105,1
4,0.586,3.45,190,1
10.1,0.466,3.02,471,1
8.545,0.28,2.03,290,1
6.4,0.419,1.31,67,1
1.8,0.444,1.43,20,1
2.273,0.327,1.96,90,1
8.714,0.321,1.9,137,1
3.091,0.324,2.47,121,1
20,0.374,2.86,606,1
7.333,0.265,1.23,70,1
2,0.214,1.11,21,1
10.333,0.234,1.36,87,1
30.3,0.179,1.32,543,1
6.3,0.298,1.72,188,1
8.889,0.293,1.85,211,1
30.571,0.461,2.95,691,1
21.75,0.161,1.3,224,1
4.75,0.401,2.65,122,1
3,0.56,2.21,42,1
8.3,0.425,2.92,353,1
4,0.395,2.37,128,1
1.857,0.374,1.79,34,1
5.75,0.348,1.97,128,1
25.778,0.274,1.76,573,1
0.667,0.615,5.9,59,1
2,0.234,1.58,30,1
7.077,0.773,16.88,3696,1
0.7,0.357,2.78,25,1
28.286,0.055,1.23,76,1
59.556,0.126,1.34,609,1
1.333,0.917,11,11,1
8.7,0.344,2.27,299,1
1.9,0.363,2.46,69,1
2,0.36,1.29,18,1
1.429,0.286,1.25,20,1
2.222,0.367,2.2,66,1
10.4,0.208,1.35,54,1
0.727,0.58,5.1,51,1
1.4,0.543,2.11,19,1
3.5,0.438,19.6,98,1
4.375,0.425,2.09,119,1
4.3,0.256,1.8,110,1
9.111,0.32,2.13,236,1
5.545,0.361,5.04,242,1
21.571,0.077,1.33,81,1
17.889,0.273,2.41,396,1
9.333,0.288,1.83,218,1
20.25,0.435,3,564,1
5.714,0.25,1.59,70,1
27.1,0.197,1.38,533,1
1.5,0.385,2.18,37,1
1.333,0.444,1.78,48,1
1.294,0.321,8.57,120,1
13.214,0.254,2.27,657,1
4.8,0.342,1.32,41,1
25.625,0.381,5.55,2497,1
0.909,0.28,5.35,123,1
2.8,0.375,2.33,105,1
1.5,0.36,2.08,54,1
1,0.469,2.73,30,1
30.444,0.158,1.31,390,1
2,0.245,1.85,24,1
8.4,0.356,2.47,299,1
10.929,0.38,4.44,813,1
1.25,0.363,3.22,29,1
28.286,0.17,1.36,236,1
3.167,0.254,1.16,29,1
1.889,0.235,1.44,36,1
56.667,0.075,1.44,346,1
1.4,0.429,1.36,15,1
19.333,0.15,1.22,235,1
23.75,0.326,2.22,495,1
4.444,0.344,2.07,124,1
13.667,0.346,2.21,383,1
10.625,0.238,1.46,162,1
1,0.245,1.71,12,1
28.846,0.154,1.44,751,1
1.667,0.333,1.54,20,1
6.235,0.927,14.53,1671,1
3.6,0.4,1.64,36,1
1.4,0.371,2.89,52,1
11.833,0.131,1.3,56,1
59.333,0.14,1.32,671,1
2.667,0.213,1.28,46,1
4.545,0.255,1.89,140,1
41.778,0.225,1.34,760,1
59.444,0.163,1.4,786,1
10.375,0.325,1.76,216,1
6.5,0.475,2.76,309,1
10.278,0.163,2.39,544,1
3,0.146,1,7,1
14.4,0.256,1.8,368,1
2.333,0.497,3.62,94,1
17.6,0.181,1.36,319,1
10,0.292,1.57,105,1
