@relation german

@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
900,A65,A123,23,A191,2
802,A61,A123,37,A191,2
11938,A61,A123,39,A192,2
918,A61,A122,30,A191,2
8978,A61,A122,45,A192,2
7297,A61,A124,36,A191,2
1987,A61,A121,21,A191,2
2718,A61,A122,20,A192,2
6229,A61,A124,23,A192,2
4165,A61,A123,36,A191,2
2225,A61,A124,57,A192,2
2538,A61,A123,47,A191,2
6850,A62,A122,34,A192,2
1193,A61,A124,29,A191,2
12680,A65,A124,30,A192,2
10961,A64,A124,27,A192,2
1056,A61,A121,30,A191,2
1437,A62,A124,29,A191,2
884,A61,A123,36,A192,2
1943,A61,A121,23,A191,2
1553,A61,A123,44,A191,2
3349,A61,A123,28,A192,2
1919,A62,A124,30,A191,2
1228,A61,A121,24,A191,2
2303,A61,A121,45,A191,2
609,A61,A121,26,A191,2
1835,A61,A121,25,A192,2
1131,A61,A123,33,A191,2
2820,A61,A123,27,A191,2
4746,A61,A122,25,A191,2
3161,A61,A122,31,A192,2
7485,A65,A121,53,A192,2
3051,A61,A123,54,A191,2
