@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A11,2124,4,24,A143,1,2
A11,697,2,46,A141,1,2
A11,1282,2,32,A143,1,2
A12,1534,1,23,A143,1,2
A14,1819,4,37,A142,1,2
A12,14027,2,27,A143,1,2
A11,1358,3,40,A142,1,2
A12,3915,2,36,A143,2,2
A11,3965,3,34,A143,1,2
A12,6288,4,42,A143,1,2
A12,959,2,29,A143,1,2
A14,10127,2,44,A141,1,2
A12,6850,2,34,A143,2,2
A11,626,4,24,A141,1,2
A12,1778,1,26,A143,1,2
A12,14318,2,57,A143,1,2
A12,433,2,24,A141,2,2
A12,11328,3,29,A141,1,2
A14,4611,4,32,A143,1,2
A12,2278,3,28,A143,1,2
A12,1136,3,32,A143,2,2
A11,8978,4,45,A143,1,2
A11,6836,4,63,A143,1,2
A12,14421,2,25,A143,1,2
A12,1670,2,22,A143,1,2
A11,2359,1,33,A143,1,2
A11,902,4,21,A143,1,2
A14,797,3,33,A141,2,2
A13,4210,2,26,A143,1,2
A11,1372,3,36,A143,1,2
A11,727,3,33,A143,1,2
A11,2712,2,41,A141,2,2
A14,6458,4,39,A141,2,2
A12,9398,4,28,A143,1,2
A12,4455,2,30,A142,1,2
A11,1217,3,47,A143,1,2
A11,2145,1,24,A143,1,2
A11,4153,3,42,A143,1,2
A11,5179,2,29,A143,1,2
A12,1245,2,33,A143,1,2
A12,4280,4,26,A143,1,2
A11,9271,1,24,A143,1,2
A12,1209,4,47,A143,1,2
A11,709,4,57,A142,1,2
A11,4817,3,31,A143,1,2
A11,1024,4,48,A142,1,2
A11,1082,4,48,A141,1,2
A14,11590,4,24,A141,1,2
A11,2149,1,29,A143,1,2
A13,2319,1,33,A143,1,2
A12,2762,2,25,A141,1,2
A14,7855,2,25,A142,1,2
A12,12976,4,38,A143,1,2
A12,1837,4,34,A141,1,2
A11,915,2,29,A141,1,2
A12,9034,1,29,A143,1,2
A12,884,4,36,A141,2,2
A11,1938,3,32,A143,1,2
A11,1333,2,43,A143,2,2
A11,3414,1,26,A143,1,2
A11,4605,4,24,A143,2,2
A14,2397,2,35,A141,1,2
A11,3114,4,26,A143,1,2
A11,3499,2,29,A143,1,2
A12,951,4,27,A141,1,2
A11,3931,4,46,A143,2,2
A11,2625,4,43,A141,1,2
A12,4241,4,36,A143,1,2
A11,6887,3,29,A142,1,2
A11,976,2,23,A143,1,2
A11,1553,3,44,A141,1,2
A14,7980,4,27,A143,1,2
A13,2100,2,37,A142,1,2
A12,8086,4,42,A143,1,2
A11,1275,2,24,A143,1,2
A11,3349,4,30,A143,2,2
A14,2210,2,25,A141,1,2
A12,6560,2,24,A143,1,2
A14,3349,2,28,A143,1,2
A12,1501,3,34,A143,1,2
A11,3161,2,31,A143,1,2
A12,2225,4,57,A141,1,2
A11,1282,4,20,A143,1,2
A14,433,4,22,A143,1,2
A14,4463,2,26,A143,1,2
A12,2820,4,27,A143,1,2
