@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute ResidenceSince numeric
@attribute Customer {1,2}

@data
A11,18,A32,A40,976,A92,2,2
A11,24,A32,A40,1371,A92,4,2
A12,12,A32,A42,2762,A92,2,2
A12,12,A32,A43,1534,A94,1,2
A11,45,A30,A49,11816,A93,4,2
A11,27,A30,A49,5293,A93,4,2
A13,9,A32,A43,745,A92,2,2
A12,18,A33,A42,4297,A91,3,2
A11,12,A32,A40,759,A93,2,2
A11,24,A32,A43,1938,A91,3,2
A12,36,A30,A49,1953,A93,4,2
A11,12,A32,A43,674,A94,1,2
A11,12,A31,A43,2149,A91,1,2
A11,12,A31,A40,697,A93,2,2
A12,15,A31,A40,6850,A93,2,2
A11,36,A33,A46,6887,A93,3,2
A11,24,A32,A43,1987,A93,4,2
A12,12,A32,A42,1922,A93,2,2
A12,30,A34,A40,4249,A94,2,2
A12,27,A30,A49,8318,A92,4,2
A11,12,A32,A40,900,A94,2,2
A12,36,A32,A40,14318,A93,2,2
A11,18,A32,A42,2473,A93,1,2
A14,18,A32,A43,433,A92,4,2
A11,20,A34,A40,2235,A94,2,2
A11,9,A32,A43,1366,A92,4,2
A11,24,A32,A42,3345,A93,2,2
A11,48,A32,A44,3051,A93,4,2
A14,18,A34,A46,1864,A92,2,2
A11,24,A34,A40,1199,A93,4,2
A12,36,A32,A42,9034,A93,1,2
A12,24,A34,A43,1216,A93,4,2
A12,12,A32,A43,766,A93,3,2
A11,6,A34,A42,3384,A91,4,2
A11,18,A32,A43,3190,A92,2,2
A12,48,A30,A410,18424,A92,2,2
A14,24,A32,A43,2397,A93,2,2
A11,24,A33,A40,1333,A93,2,2
A12,36,A32,A45,2384,A93,1,2
A12,12,A30,A42,2969,A92,3,2
A14,21,A33,A49,2580,A93,2,2
A12,9,A31,A41,5129,A92,4,2
A11,24,A31,A43,1546,A93,4,2
A12,21,A32,A49,1188,A92,4,2
A11,12,A32,A43,709,A93,4,2
A12,18,A34,A42,1928,A93,2,2
A14,48,A32,A49,3914,A91,2,2
A11,30,A32,A45,11998,A91,1,2
A11,36,A32,A43,2302,A91,4,2
A12,9,A32,A43,1670,A92,2,2
A11,6,A31,A46,1198,A92,4,2
A12,12,A32,A40,1223,A91,1,2
A11,12,A32,A44,741,A92,3,2
A11,36,A32,A40,9271,A93,1,2
A14,18,A32,A42,1533,A94,1,2
A13,24,A32,A40,947,A93,3,2
A11,30,A32,A42,6350,A93,4,2
A12,48,A32,A43,10961,A93,2,2
A12,24,A30,A49,4241,A93,4,2
A12,12,A32,A45,639,A93,2,2
A12,18,A34,A43,1245,A94,2,2
A11,9,A32,A40,1422,A93,2,2
A14,36,A34,A42,7127,A92,4,2
A11,18,A32,A42,1131,A92,2,2
A11,60,A32,A49,7297,A93,4,2
A12,15,A32,A43,802,A93,3,2
A14,36,A33,A43,4463,A93,2,2
A12,24,A32,A42,4057,A91,3,2
A14,36,A32,A42,10974,A92,2,2
A11,45,A32,A43,1845,A93,4,2
A11,24,A32,A40,1207,A92,4,2
A12,48,A32,A49,15672,A93,2,2
A11,18,A32,A42,2039,A92,4,2
A12,30,A33,A43,1919,A93,3,2
A11,24,A32,A43,1823,A93,2,2
A14,18,A33,A49,2169,A94,2,2
A14,18,A32,A45,1943,A92,4,2
A11,48,A32,A43,6758,A92,2,2
A11,24,A33,A43,1024,A94,4,2
A14,10,A32,A42,2210,A93,2,2
A11,18,A32,A43,1345,A94,3,2
A12,48,A32,A43,5951,A92,2,2
A12,8,A32,A42,1237,A92,4,2
A12,24,A32,A41,4113,A92,4,2
A11,36,A34,A46,8065,A92,2,2
A11,12,A32,A40,1228,A92,2,2
A12,15,A33,A45,1512,A94,3,2
A12,48,A31,A49,6416,A92,3,2
A12,18,A32,A41,12976,A92,4,2
A12,15,A31,A40,1264,A94,2,2
A14,24,A32,A43,5943,A92,1,2
A11,24,A31,A42,3552,A93,4,2
A11,12,A32,A41,3386,A93,4,2
A11,12,A32,A46,795,A92,4,2
A14,10,A32,A40,1309,A93,4,2
A11,18,A32,A43,1882,A92,4,2
A11,12,A32,A43,727,A94,3,2
A12,24,A32,A43,3092,A94,2,2
A12,60,A32,A46,6288,A93,4,2
A14,12,A33,A45,1555,A93,4,2
A12,15,A30,A40,1778,A92,1,2
A12,21,A32,A49,2767,A91,2,2
A12,6,A32,A40,14555,A93,2,2
A11,36,A32,A41,8335,A93,4,2
A11,60,A33,A49,6836,A93,4,2
A12,24,A32,A410,11328,A93,3,2
A12,9,A32,A42,918,A92,1,2
A11,36,A32,A42,5179,A93,2,2
A11,15,A30,A40,950,A93,3,2
A11,24,A32,A40,3123,A92,1,2
A12,45,A32,A43,3031,A93,4,2
A14,12,A32,A42,1123,A92,4,2
A11,42,A33,A43,4370,A93,2,2
A12,36,A32,A46,12612,A93,4,2
A11,36,A32,A41,8229,A93,2,2
A11,12,A34,A40,691,A93,3,2
A13,12,A34,A40,939,A94,2,2
A11,12,A34,A40,4843,A93,4,2
A12,6,A31,A40,931,A92,1,2
A11,15,A32,A44,1275,A92,2,2
A11,24,A32,A42,2359,A91,1,2
A11,12,A34,A40,3499,A92,2,2
A11,24,A32,A40,1285,A92,4,2
A12,36,A32,A40,12389,A93,4,2
A12,24,A32,A40,1246,A93,2,2
A12,36,A30,A43,3804,A92,1,2
A11,36,A34,A42,6229,A92,4,2
A12,24,A34,A42,4736,A92,4,2
A13,21,A34,A46,2319,A91,1,2
A12,27,A34,A43,2520,A93,2,2
A14,36,A32,A46,1819,A93,4,2
A12,12,A32,A43,1331,A93,1,2
A11,24,A31,A410,1358,A93,3,2
A12,12,A32,A42,951,A92,4,2
A14,18,A31,A40,6458,A93,4,2
A12,24,A32,A41,11560,A92,4,2
A11,18,A31,A40,1442,A93,4,2
A11,18,A32,A46,750,A92,1,2
A11,18,A34,A45,1190,A92,4,2
A11,12,A30,A45,1108,A93,3,2
A12,6,A33,A40,1209,A93,4,2
A14,18,A30,A49,4165,A93,2,2
A12,18,A32,A40,1042,A92,2,2
A11,24,A32,A42,3234,A92,4,2
A12,24,A32,A41,12579,A92,2,2
A11,24,A32,A40,2303,A93,1,2
A12,60,A32,A40,7408,A92,2,2
A11,30,A32,A42,2406,A92,4,2
A14,48,A34,A41,11590,A92,4,2
A14,48,A34,A40,10127,A93,2,2
A12,30,A34,A42,8386,A93,2,2
A11,18,A32,A44,1217,A94,3,2
A14,12,A34,A43,797,A92,3,2
A11,12,A30,A43,6199,A93,2,2
A14,24,A32,A49,4591,A93,3,2
A11,30,A32,A42,3108,A91,4,2
A12,24,A32,A40,2718,A92,4,2
A12,15,A32,A40,2631,A92,4,2
A11,12,A34,A42,2246,A93,3,2
A11,42,A32,A43,3965,A93,3,2
A11,33,A34,A42,4281,A92,4,2
A11,16,A34,A40,2625,A93,4,2
A12,36,A34,A40,2820,A91,4,2
A14,30,A31,A41,7485,A92,1,2
A11,24,A31,A40,1193,A92,4,2
A14,24,A33,A40,2538,A93,4,2
A12,48,A33,A46,6224,A93,4,2
A13,15,A32,A43,2327,A92,3,2
A12,36,A33,A40,2225,A93,4,2
A12,18,A32,A42,1924,A92,3,2
A12,18,A34,A40,884,A93,4,2
A11,18,A31,A42,1553,A93,3,2
A11,42,A32,A43,7174,A92,3,2
A12,12,A32,A40,1295,A92,1,2
A11,12,A32,A46,684,A93,4,2
A12,45,A34,A43,4746,A93,2,2
A12,30,A32,A42,3441,A92,4,2
A12,60,A32,A40,14027,A93,2,2
A12,12,A32,A40,685,A94,3,2
A14,12,A32,A46,719,A93,4,2
A11,18,A32,A43,2600,A93,4,2
A14,18,A32,A40,6761,A93,4,2
A12,24,A32,A40,1355,A92,4,2
A14,21,A34,A40,12680,A93,4,2
A12,9,A34,A46,1136,A93,3,2
A12,48,A32,A42,9960,A92,2,2
A11,36,A33,A49,2145,A93,1,2
A14,27,A32,A40,2570,A92,3,2
A14,36,A34,A40,7855,A92,2,2
A11,18,A32,A40,1216,A92,3,2
A11,12,A32,A40,2579,A93,1,2
A11,48,A32,A40,7763,A93,4,2
A11,24,A30,A42,4110,A93,4,2
A12,12,A32,A40,836,A92,2,2
A14,12,A34,A49,2292,A93,2,2
A11,36,A32,A42,2712,A93,2,2
A14,6,A32,A42,4611,A92,4,2
A11,6,A32,A46,448,A92,4,2
A11,40,A34,A46,5998,A93,3,2
A11,18,A32,A41,7511,A93,4,2
A14,18,A34,A40,2775,A93,2,2
A11,12,A32,A42,1282,A92,4,2
A11,6,A32,A40,14896,A93,4,2
A11,48,A34,A41,6331,A93,4,2
A11,48,A34,A41,6143,A92,4,2
A11,15,A32,A40,3959,A92,2,2
A14,18,A34,A40,1530,A93,2,2
A12,36,A32,A43,2671,A92,4,2
A11,48,A31,A49,7685,A92,4,2
A11,24,A32,A43,1282,A92,2,2
A12,24,A33,A42,2064,A92,2,2
A14,24,A32,A43,3621,A93,4,2
A12,12,A32,A43,1484,A94,1,2
A12,24,A31,A46,1837,A92,4,2
A11,28,A32,A40,4006,A93,2,2
A11,24,A32,A40,1442,A92,4,2
A12,24,A34,A410,11938,A93,3,2
A11,12,A31,A43,626,A92,4,2
A11,48,A32,A49,4308,A92,4,2
A11,36,A34,A41,9629,A93,4,2
A11,12,A30,A40,1082,A93,4,2
A12,48,A34,A42,5096,A92,3,2
A14,9,A32,A43,1478,A93,2,2
A11,18,A34,A40,3966,A92,4,2
A11,18,A30,A42,3114,A92,4,2
A14,24,A33,A49,8648,A93,2,2
A11,24,A31,A49,3161,A93,2,2
A14,48,A32,A49,4844,A93,2,2
A11,18,A32,A42,4153,A93,3,2
A14,12,A32,A40,1386,A92,2,2
A11,24,A31,A42,3349,A93,4,2
A11,12,A32,A48,902,A94,4,2
A11,24,A32,A43,2439,A92,4,2
A12,9,A32,A42,959,A92,2,2
A11,21,A32,A43,1835,A92,2,2
A11,24,A32,A40,4817,A93,3,2
A11,18,A32,A42,2462,A93,2,2
A11,21,A33,A46,3414,A93,1,2
A12,30,A32,A40,2150,A92,2,2
A12,54,A30,A49,15945,A93,4,2
A12,60,A31,A410,14782,A92,4,2
A14,36,A33,A49,9572,A91,1,2
A12,9,A31,A40,1437,A93,3,2
A11,36,A32,A42,3446,A93,2,2
A12,24,A34,A49,1935,A91,4,2
A14,36,A32,A42,3349,A92,2,2
A11,48,A32,A40,3931,A93,4,2
