@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A12,A30,A173,1,A201,2
A14,A33,A172,2,A201,2
A14,A34,A173,1,A201,2
A13,A32,A173,2,A201,2
A14,A32,A173,1,A201,2
A11,A34,A173,1,A201,2
A14,A32,A173,1,A201,2
A12,A32,A173,1,A202,2
A14,A32,A174,1,A201,2
A12,A32,A174,1,A201,2
A14,A33,A173,1,A201,2
A12,A32,A173,1,A201,2
A12,A32,A174,1,A201,2
A11,A30,A173,1,A201,2
A12,A31,A173,1,A201,2
A12,A33,A174,1,A201,2
A13,A32,A173,1,A201,2
A13,A34,A172,2,A201,2
A11,A33,A173,1,A201,2
A11,A30,A173,2,A201,2
A11,A34,A173,1,A201,2
A11,A32,A172,2,A201,2
A11,A32,A173,1,A201,2
A12,A34,A173,1,A201,2
A11,A32,A173,2,A201,2
A11,A32,A172,1,A201,2
A12,A34,A174,1,A201,2
A11,A31,A173,1,A201,2
A12,A30,A173,1,A201,2
A11,A32,A173,1,A201,2
A14,A32,A174,1,A201,2
A12,A32,A173,1,A201,2
A12,A34,A172,1,A201,2
A11,A32,A174,1,A201,2
A11,A32,A173,1,A201,2
A11,A32,A173,1,A201,2
A12,A32,A173,1,A201,2
A11,A32,A172,1,A201,2
A11,A32,A173,1,A201,2
A11,A31,A172,1,A201,2
A12,A32,A173,2,A201,2
