@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A11,A61,4,A92,A121,24,1,2
A12,A61,4,A93,A122,37,1,2
A12,A62,2,A94,A123,24,1,2
A11,A61,3,A92,A122,22,1,2
A11,A61,4,A92,A123,29,1,2
A11,A63,1,A92,A123,23,1,2
A13,A61,4,A92,A121,26,1,2
A11,A61,4,A93,A123,40,2,2
A12,A61,3,A92,A123,25,1,2
A11,A61,2,A93,A123,42,1,2
A12,A61,4,A93,A123,36,2,2
A11,A61,4,A92,A123,34,1,2
A14,A61,4,A93,A124,37,1,2
A12,A62,3,A92,A123,28,1,2
A11,A65,4,A92,A123,24,1,2
A14,A61,4,A93,A123,42,1,2
A14,A61,4,A93,A123,22,1,2
A11,A62,4,A94,A122,20,1,2
A11,A65,4,A93,A124,40,1,2
A12,A61,4,A92,A123,22,1,2
A12,A61,2,A92,A122,39,2,2
A12,A61,4,A92,A124,24,1,2
A13,A61,4,A93,A121,66,1,2
A11,A61,4,A93,A123,60,1,2
A11,A61,4,A92,A123,23,1,2
A13,A65,4,A93,A121,37,2,2
A12,A62,3,A93,A122,24,1,2
A11,A61,4,A93,A121,43,2,2
A11,A65,4,A92,A123,30,1,2
A11,A61,4,A93,A123,48,1,2
A12,A61,4,A92,A124,44,1,2
A12,A62,4,A92,A122,23,1,2
A12,A61,4,A91,A123,27,1,2
A12,A61,1,A92,A123,29,1,2
A11,A61,4,A93,A123,42,2,2
A12,A61,3,A92,A122,20,1,2
A12,A61,2,A92,A124,74,2,2
A14,A61,4,A92,A123,26,1,2
A11,A61,1,A92,A121,33,1,2
A12,A61,4,A94,A123,28,1,2
A12,A61,4,A91,A124,40,1,2
A12,A62,4,A92,A123,26,1,2
A14,A61,1,A91,A123,28,1,2
A11,A61,2,A93,A123,29,1,2
A11,A61,4,A92,A123,33,1,2
A14,A61,3,A92,A121,22,1,2
A11,A65,4,A92,A121,25,1,2
A14,A61,4,A92,A123,28,1,2
A11,A61,2,A93,A123,22,1,2
A11,A61,4,A93,A122,39,1,2
A11,A62,1,A91,A122,33,1,2
A11,A61,4,A92,A121,24,1,2
A11,A61,3,A93,A123,27,1,2
A11,A61,4,A93,A124,32,2,2
A11,A65,4,A94,A123,23,1,2
A11,A61,4,A93,A124,39,2,2
A14,A61,4,A92,A121,22,1,2
A11,A61,4,A93,A124,46,1,2
A12,A61,4,A93,A124,57,1,2
A14,A62,3,A93,A122,40,1,2
A14,A61,4,A94,A122,43,2,2
A12,A61,4,A93,A122,25,1,2
A11,A61,2,A91,A122,31,1,2
A12,A62,2,A92,A123,28,1,2
A12,A62,2,A93,A123,42,1,2
A12,A61,2,A92,A123,30,1,2
A11,A61,3,A92,A123,31,1,2
A12,A62,4,A92,A124,50,1,2
A12,A61,4,A93,A124,50,1,2
A12,A61,4,A91,A121,31,1,2
A12,A61,2,A92,A123,34,1,2
A12,A61,2,A93,A123,25,1,2
A11,A61,4,A92,A121,35,1,2
A12,A61,4,A93,A124,57,1,2
A11,A61,4,A93,A124,53,1,2
A12,A61,1,A94,A122,22,1,2
A14,A64,4,A93,A124,55,2,2
A11,A65,4,A92,A124,32,1,2
A12,A64,4,A92,A122,24,2,2
A11,A65,4,A93,A122,31,1,2
A11,A61,2,A93,A122,31,1,2
A13,A63,4,A94,A121,28,1,2
A12,A61,2,A92,A124,42,1,2
A11,A61,4,A94,A121,26,1,2
A11,A62,4,A94,A124,33,1,2
A11,A61,4,A94,A121,48,1,2
A13,A61,3,A92,A121,28,1,2
A11,A61,2,A92,A123,37,1,2
A13,A61,2,A92,A121,25,1,2
A11,A61,4,A93,A122,29,1,2
A12,A61,3,A91,A123,43,1,2
A12,A61,4,A93,A121,28,1,2
A11,A65,4,A93,A122,40,2,2
A11,A61,4,A93,A121,45,1,2
A11,A61,1,A91,A124,34,1,2
A11,A61,3,A93,A122,43,1,2
A12,A61,2,A93,A121,25,1,2
A12,A61,2,A92,A123,25,1,2
A14,A61,4,A92,A121,23,1,2
A12,A61,4,A94,A123,28,1,2
A11,A61,2,A93,A122,41,2,2
A11,A61,4,A93,A124,65,1,2
A11,A61,2,A93,A121,21,2,2
A12,A61,2,A92,A121,26,1,2
A11,A61,4,A93,A123,34,1,2
A12,A61,1,A92,A122,32,1,2
A14,A65,1,A92,A122,29,1,2
A12,A61,4,A93,A122,47,1,2
A11,A61,4,A93,A123,25,1,2
A11,A61,4,A92,A122,23,1,2
A12,A62,4,A92,A122,24,1,2
A11,A61,4,A92,A121,24,1,2
A11,A61,4,A93,A122,35,1,2
A12,A61,1,A92,A123,23,1,2
A14,A65,4,A93,A122,27,1,2
A12,A65,1,A93,A124,37,1,2
A11,A61,2,A93,A122,26,2,2
A12,A62,1,A93,A122,34,2,2
A11,A61,1,A92,A124,29,1,2
A14,A63,4,A93,A121,41,2,2
A12,A61,2,A92,A121,22,1,2
A14,A61,2,A92,A123,19,1,2
A11,A61,4,A92,A124,23,1,2
A12,A61,2,A93,A123,23,1,2
A11,A61,1,A92,A121,20,1,2
A14,A65,4,A92,A121,53,1,2
A12,A61,4,A93,A123,37,2,2
A11,A61,4,A93,A122,31,1,2
A11,A61,3,A92,A124,25,1,2
A11,A61,4,A91,A122,32,1,2
A11,A61,2,A93,A122,50,1,2
A12,A62,1,A93,A124,47,2,2
A11,A61,1,A91,A122,45,1,2
A11,A61,4,A93,A124,27,1,2
A14,A61,1,A92,A122,32,1,2
A11,A61,3,A93,A124,63,1,2
A12,A62,4,A93,A124,34,2,2
A14,A65,4,A91,A121,38,1,2
A12,A62,3,A94,A123,22,1,2
A14,A63,2,A93,A124,44,1,2
A12,A61,3,A93,A121,30,1,2
A11,A61,2,A92,A123,20,1,2
A11,A61,4,A93,A123,33,2,2
A13,A61,4,A93,A121,37,1,2
A14,A61,2,A93,A121,25,1,2
A11,A61,4,A92,A124,35,1,2
A12,A61,1,A94,A123,28,1,2
A14,A61,2,A93,A124,39,2,2
A11,A61,4,A92,A123,23,1,2
A11,A61,2,A93,A122,43,1,2
A12,A65,2,A93,A124,52,1,2
A11,A61,4,A93,A122,29,1,2
A12,A61,2,A93,A123,22,1,2
A11,A62,4,A92,A123,32,1,2
A11,A61,2,A91,A123,36,1,2
A11,A61,3,A92,A121,25,1,2
A12,A61,4,A92,A122,25,1,2
A11,A61,3,A93,A124,35,1,2
A12,A61,3,A92,A123,25,1,2
A11,A65,4,A92,A123,29,1,2
A14,A61,2,A93,A122,31,1,2
A12,A61,4,A92,A123,42,1,2
A11,A61,3,A93,A123,54,1,2
A14,A61,3,A93,A122,32,1,2
A11,A61,3,A92,A122,29,1,2
A13,A61,2,A93,A121,34,2,2
A11,A65,3,A93,A124,47,1,2
A12,A62,2,A94,A122,25,1,2
A11,A61,1,A92,A123,23,1,2
A11,A61,4,A93,A122,28,1,2
A13,A61,4,A93,A123,34,1,2
A11,A61,4,A93,A123,28,1,2
A11,A61,3,A93,A122,60,1,2
A13,A61,2,A91,A123,33,1,2
A12,A65,1,A93,A122,23,1,2
A12,A64,3,A94,A122,61,1,2
A12,A61,4,A92,A124,59,1,2
A11,A61,3,A92,A121,37,1,2
A11,A61,4,A93,A123,46,1,2
A14,A65,1,A92,A123,44,1,2
A11,A61,3,A93,A124,23,2,2
A14,A64,2,A93,A122,54,1,2
A11,A61,4,A93,A123,44,1,2
A11,A61,4,A93,A123,24,1,2
A12,A61,4,A93,A121,23,1,2
A12,A61,4,A93,A123,36,2,2
A12,A61,3,A92,A121,24,1,2
A12,A63,3,A92,A123,28,1,2
A11,A61,4,A93,A124,36,1,2
A11,A61,3,A93,A122,26,2,2
A12,A61,1,A91,A121,46,1,2
A14,A61,3,A92,A121,21,1,2
A12,A61,4,A93,A124,61,1,2
A14,A62,2,A93,A123,31,1,2
A11,A61,3,A93,A123,45,1,2
A11,A61,4,A93,A121,33,2,2
A12,A63,4,A93,A122,23,1,2
A11,A61,2,A93,A123,24,1,2
A13,A61,4,A93,A124,38,2,2
A12,A62,4,A92,A123,27,1,2
A12,A61,3,A93,A124,58,1,2
A14,A61,2,A93,A123,27,1,2
A11,A61,3,A93,A124,27,1,2
A12,A62,1,A92,A122,32,1,2
A12,A62,4,A93,A124,30,1,2
A11,A61,3,A92,A122,24,1,2
A11,A61,3,A93,A124,53,2,2
A14,A63,3,A93,A123,35,1,2
A11,A61,3,A93,A124,53,2,2
A14,A62,4,A92,A121,30,1,2
A12,A61,3,A92,A124,38,1,2
A11,A61,1,A91,A121,44,1,2
A12,A61,4,A93,A124,27,1,2
A12,A61,4,A92,A122,30,1,2
A14,A61,3,A93,A123,33,1,2
A11,A61,4,A94,A122,33,1,2
