@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentRate numeric
@attribute Property {A121,A122,A124,A123}
@attribute Job {A173,A172,A174,A171}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A11,A61,4,A124,A173,A201,2
A11,A62,4,A123,A172,A201,2
A11,A61,2,A122,A172,A201,2
A11,A61,3,A124,A173,A201,2
A12,A61,4,A124,A173,A201,2
A12,A61,4,A123,A173,A201,2
A11,A61,4,A123,A173,A201,2
A12,A62,2,A123,A173,A201,2
A11,A61,4,A124,A173,A201,2
A12,A61,2,A123,A174,A201,2
A11,A61,2,A122,A173,A201,2
A14,A63,4,A123,A172,A201,2
A11,A61,4,A123,A173,A201,2
A11,A62,4,A122,A173,A201,2
A11,A65,2,A123,A173,A201,2
A11,A61,3,A124,A173,A201,2
A12,A62,2,A123,A173,A201,2
A11,A61,4,A123,A173,A201,2
A12,A63,4,A121,A172,A201,2
A11,A61,4,A124,A173,A201,2
A12,A61,4,A124,A173,A201,2
A14,A61,3,A122,A173,A201,2
A12,A61,3,A123,A173,A201,2
A12,A62,1,A122,A174,A201,2
A14,A64,2,A122,A174,A201,2
A14,A65,4,A122,A172,A201,2
A14,A61,2,A122,A173,A201,2
A11,A65,4,A123,A173,A201,2
A11,A61,2,A122,A173,A201,2
A11,A61,1,A124,A174,A201,2
A11,A61,4,A121,A173,A201,2
A11,A61,3,A124,A173,A201,2
A12,A63,4,A122,A172,A201,2
A14,A61,4,A123,A174,A201,2
A11,A61,4,A123,A172,A201,2
A11,A61,4,A121,A172,A201,2
A11,A61,4,A121,A173,A201,2
A11,A61,3,A124,A174,A201,2
A11,A61,4,A122,A173,A201,2
A12,A61,1,A123,A174,A201,2
A11,A61,4,A122,A173,A201,2
A11,A61,4,A124,A173,A201,2
A12,A61,2,A121,A172,A201,2
A11,A61,4,A123,A173,A201,2
A11,A62,4,A122,A173,A201,2
A12,A65,2,A121,A173,A201,2
A13,A62,1,A124,A172,A201,2
A11,A61,4,A122,A173,A201,2
A11,A61,4,A121,A171,A201,2
A11,A61,2,A122,A173,A201,2
A14,A63,4,A121,A172,A201,2
A14,A61,1,A122,A173,A201,2
A13,A61,4,A123,A174,A201,2
A11,A61,2,A123,A173,A201,2
A11,A61,4,A124,A172,A201,2
A11,A61,2,A123,A173,A201,2
A12,A62,4,A123,A173,A201,2
A12,A62,1,A122,A172,A201,2
A14,A61,4,A123,A172,A201,2
A12,A61,4,A123,A173,A201,2
A12,A61,4,A121,A173,A201,2
A11,A61,4,A123,A172,A201,2
A11,A61,1,A121,A173,A201,2
A12,A62,3,A123,A173,A201,2
A12,A61,2,A124,A174,A201,2
A14,A61,4,A123,A173,A201,2
A13,A65,4,A121,A172,A201,2
A14,A61,4,A123,A174,A201,2
A11,A61,3,A124,A173,A201,2
A12,A61,4,A124,A173,A201,2
A11,A61,2,A123,A173,A201,2
A11,A63,4,A124,A173,A201,2
A14,A61,4,A124,A173,A201,2
A12,A64,3,A122,A173,A201,2
A12,A62,4,A124,A174,A201,2
A14,A61,4,A123,A172,A201,2
A11,A65,4,A124,A174,A201,2
A12,A62,4,A123,A172,A201,2
A14,A61,2,A123,A173,A201,2
A11,A61,3,A122,A173,A201,2
A11,A61,1,A124,A172,A201,2
A12,A62,4,A124,A173,A201,2
A12,A61,4,A123,A173,A201,2
A12,A61,2,A121,A171,A201,2
A14,A61,4,A121,A173,A201,2
A12,A65,2,A124,A174,A201,2
A13,A61,3,A121,A172,A201,2
A11,A65,4,A123,A174,A201,2
A14,A65,4,A121,A174,A201,2
A11,A61,4,A122,A173,A202,2
A12,A61,1,A123,A173,A202,2
A11,A61,3,A123,A173,A201,2
A12,A65,4,A122,A173,A201,2
A12,A61,2,A124,A174,A201,2
A11,A61,4,A121,A173,A201,2
A12,A61,4,A124,A174,A201,2
A12,A61,2,A123,A174,A201,2
A12,A61,2,A122,A173,A201,2
A12,A61,4,A124,A174,A201,2
A13,A61,2,A121,A172,A201,2
A12,A61,2,A122,A173,A201,2
A11,A61,4,A124,A173,A201,2
A11,A61,4,A124,A174,A201,2
A11,A62,4,A124,A172,A201,2
A12,A61,1,A123,A174,A201,2
A12,A61,4,A123,A173,A201,2
A12,A61,1,A122,A173,A201,2
A12,A61,4,A123,A173,A201,2
A11,A65,4,A123,A173,A201,2
A12,A62,4,A124,A173,A201,2
A12,A61,4,A124,A172,A201,2
A12,A62,4,A122,A173,A201,2
A11,A61,4,A124,A173,A201,2
A11,A61,2,A122,A173,A201,2
A12,A65,4,A121,A173,A201,2
A12,A61,2,A123,A174,A201,2
A11,A65,4,A121,A173,A201,2
A12,A61,2,A121,A173,A201,2
A12,A61,4,A122,A173,A201,2
A14,A65,4,A123,A173,A201,2
A11,A61,4,A123,A173,A201,2
A11,A61,4,A122,A173,A201,2
A11,A61,4,A121,A172,A201,2
A11,A61,1,A123,A172,A201,2
A11,A65,4,A122,A173,A201,2
A11,A63,1,A123,A173,A201,2
A11,A61,4,A123,A173,A201,2
A12,A61,1,A122,A174,A202,2
A12,A61,3,A122,A174,A201,2
A11,A61,4,A121,A173,A201,2
A11,A61,3,A123,A173,A201,2
A11,A61,3,A122,A173,A201,2
A11,A65,3,A124,A173,A201,2
A11,A61,4,A124,A173,A201,2
A12,A64,4,A124,A173,A201,2
A12,A62,3,A122,A173,A201,2
A13,A61,2,A123,A173,A201,2
A12,A62,4,A123,A172,A201,2
A12,A61,2,A123,A172,A201,2
A11,A61,1,A121,A173,A201,2
A11,A61,4,A122,A174,A201,2
A13,A61,4,A121,A174,A201,2
A14,A61,2,A123,A173,A201,2
A12,A63,3,A123,A173,A201,2
A12,A62,2,A124,A173,A201,2
A13,A61,4,A124,A173,A201,2
A12,A61,2,A123,A174,A201,2
A11,A61,3,A121,A172,A201,2
A11,A61,2,A121,A172,A201,2
A11,A61,1,A122,A174,A202,2
A11,A61,4,A123,A172,A201,2
A14,A65,1,A123,A173,A201,2
A12,A61,4,A122,A172,A201,2
A11,A61,4,A122,A173,A201,2
A12,A62,3,A124,A174,A201,2
A12,A62,4,A124,A174,A201,2
A14,A61,4,A123,A173,A201,2
A14,A61,2,A124,A174,A201,2
A11,A62,1,A122,A173,A201,2
A11,A61,4,A124,A174,A201,2
A14,A63,2,A124,A173,A201,2
A11,A61,1,A124,A171,A201,2
A11,A61,4,A123,A173,A201,2
A11,A65,4,A123,A173,A201,2
A11,A61,4,A121,A173,A201,2
A12,A61,3,A121,A173,A201,2
A12,A61,2,A121,A173,A201,2
A14,A61,1,A123,A173,A201,2
A12,A61,4,A123,A172,A201,2
A11,A61,2,A123,A173,A201,2
A12,A61,4,A123,A173,A201,2
A11,A61,4,A123,A173,A201,2
A13,A65,3,A124,A173,A201,2
A11,A61,4,A122,A173,A201,2
A14,A62,2,A123,A173,A201,2
A12,A61,3,A124,A173,A201,2
A11,A61,4,A122,A173,A201,2
A13,A61,4,A123,A173,A201,2
A11,A65,4,A122,A172,A201,2
