@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.32,8
I,0.46,8
M,0.37,8
M,0.45,8
I,0.27,8
M,0.465,8
I,0.28,8
M,0.45,8
F,0.435,8
I,0.405,8
F,0.4,8
M,0.34,8
F,0.445,8
M,0.385,8
F,0.34,8
I,0.335,8
I,0.375,8
I,0.39,8
I,0.43,8
I,0.365,8
F,0.385,8
M,0.275,8
I,0.315,8
I,0.385,8
F,0.48,8
I,0.3,8
F,0.275,8
I,0.375,8
M,0.265,8
I,0.32,8
I,0.37,8
I,0.375,8
M,0.44,8
I,0.325,8
M,0.45,8
M,0.365,8
F,0.45,8
I,0.435,8
M,0.46,8
M,0.37,8
I,0.385,8
I,0.4,8
F,0.425,8
I,0.39,8
I,0.355,8
M,0.41,8
F,0.3,8
M,0.42,8
F,0.415,8
I,0.38,8
F,0.51,8
F,0.495,8
F,0.505,8
I,0.29,8
M,0.395,8
F,0.445,8
I,0.425,8
F,0.49,8
F,0.435,8
F,0.53,8
F,0.465,8
I,0.345,8
I,0.36,8
I,0.405,8
F,0.445,8
I,0.42,8
I,0.355,8
M,0.5,8
M,0.525,8
I,0.4,8
I,0.43,8
F,0.46,8
F,0.355,8
M,0.465,8
F,0.455,8
I,0.29,8
F,0.47,8
I,0.44,8
I,0.31,8
I,0.47,8
I,0.45,8
I,0.365,8
I,0.34,8
I,0.405,8
M,0.45,8
F,0.46,8
F,0.305,8
I,0.285,8
F,0.305,8
M,0.47,8
M,0.37,8
I,0.385,8
M,0.445,8
I,0.375,8
M,0.325,8
M,0.415,8
I,0.355,8
I,0.33,8
M,0.43,8
I,0.325,8
I,0.345,8
M,0.45,8
F,0.43,8
I,0.325,8
I,0.42,8
I,0.31,8
M,0.355,8
I,0.375,8
I,0.3,8
F,0.4,8
M,0.485,8
M,0.375,8
I,0.39,8
M,0.355,8
F,0.475,8
I,0.215,8
F,0.43,8
F,0.45,8
M,0.425,8
M,0.48,8
I,0.365,8
F,0.43,8
F,0.42,8
M,0.465,8
M,0.37,8
M,0.48,8
I,0.355,8
I,0.42,8
M,0.465,8
M,0.435,8
I,0.365,8
I,0.31,8
I,0.365,8
I,0.43,8
F,0.455,8
M,0.4,8
F,0.46,8
I,0.355,8
M,0.4,8
I,0.2,8
I,0.385,8
I,0.42,8
F,0.455,8
M,0.335,8
M,0.48,8
M,0.355,8
I,0.415,8
F,0.39,8
I,0.31,8
M,0.415,8
F,0.46,8
I,0.435,8
I,0.28,8
F,0.365,8
I,0.45,8
I,0.45,8
M,0.365,8
M,0.565,8
M,0.455,8
M,0.195,8
M,0.41,8
I,0.4,8
I,0.365,8
F,0.34,8
I,0.38,8
I,0.395,8
I,0.385,8
M,0.485,8
M,0.41,8
M,0.39,8
M,0.52,8
M,0.505,8
M,0.415,8
I,0.3,8
I,0.34,8
M,0.345,8
M,0.405,8
F,0.46,8
F,0.365,8
M,0.445,8
M,0.38,8
I,0.305,8
I,0.4,8
I,0.38,8
I,0.395,8
I,0.375,8
F,0.44,8
I,0.425,8
F,0.435,8
I,0.385,8
F,0.465,8
M,0.47,8
I,0.38,8
M,0.455,8
F,0.325,8
I,0.385,8
M,0.23,8
I,0.38,8
M,0.39,8
I,0.355,8
I,0.21,8
F,0.425,8
M,0.385,8
I,0.335,8
I,0.44,8
I,0.34,8
I,0.36,8
I,0.38,8
M,0.455,8
F,0.43,8
I,0.4,8
I,0.33,8
I,0.275,8
M,0.335,8
I,0.26,8
F,0.435,8
F,0.49,8
M,0.375,8
I,0.38,8
I,0.3,8
I,0.285,8
M,0.395,8
I,0.37,8
M,0.485,8
M,0.325,8
M,0.395,8
I,0.335,8
I,0.36,8
I,0.325,8
F,0.46,8
I,0.34,8
M,0.44,8
F,0.415,8
I,0.26,8
I,0.32,8
I,0.38,8
F,0.425,8
F,0.44,8
I,0.3,8
I,0.375,8
I,0.345,8
I,0.4,8
F,0.405,8
M,0.42,8
I,0.3,8
M,0.35,8
F,0.35,8
M,0.54,8
M,0.275,8
M,0.45,8
M,0.48,8
I,0.4,8
F,0.42,8
I,0.39,8
M,0.455,8
I,0.36,8
I,0.28,8
I,0.435,8
I,0.395,8
I,0.4,8
M,0.33,8
I,0.37,8
M,0.255,8
I,0.35,8
I,0.43,8
F,0.36,8
I,0.39,8
I,0.37,8
F,0.32,8
I,0.29,8
F,0.48,8
I,0.34,8
I,0.415,8
I,0.355,8
M,0.47,8
M,0.36,8
M,0.445,8
M,0.435,8
I,0.4,8
M,0.295,8
F,0.4,8
I,0.41,8
M,0.425,8
I,0.38,8
I,0.28,8
I,0.37,8
I,0.34,8
I,0.375,8
I,0.395,8
I,0.395,8
I,0.375,8
F,0.275,8
I,0.325,8
I,0.27,8
F,0.46,8
M,0.405,8
I,0.385,8
M,0.47,8
I,0.375,8
M,0.385,8
I,0.42,8
I,0.355,8
I,0.31,8
I,0.34,8
I,0.245,8
I,0.4,8
I,0.315,8
F,0.425,8
M,0.355,8
I,0.3,8
I,0.35,8
I,0.34,8
I,0.37,8
M,0.28,8
I,0.4,8
M,0.395,8
M,0.385,8
F,0.35,8
I,0.36,8
M,0.39,8
I,0.43,8
M,0.47,8
I,0.35,8
M,0.35,8
F,0.355,8
M,0.375,8
M,0.435,8
F,0.33,8
I,0.315,8
F,0.38,8
I,0.34,8
F,0.265,8
I,0.395,8
I,0.26,8
I,0.375,8
I,0.34,8
M,0.36,8
F,0.375,8
I,0.41,8
M,0.4,8
I,0.375,8
I,0.25,8
F,0.425,8
I,0.355,8
M,0.465,8
M,0.38,8
I,0.375,8
I,0.4,8
M,0.35,8
F,0.34,8
M,0.4,8
M,0.39,8
I,0.295,8
M,0.41,8
M,0.385,8
F,0.48,8
M,0.39,8
F,0.475,8
I,0.37,8
I,0.4,8
I,0.355,8
F,0.44,8
I,0.38,8
I,0.31,8
I,0.32,8
I,0.38,8
M,0.35,8
F,0.405,8
I,0.36,8
I,0.36,8
M,0.285,8
I,0.42,8
F,0.465,8
F,0.42,8
I,0.345,8
M,0.375,8
I,0.345,8
I,0.315,8
I,0.325,8
I,0.475,8
I,0.325,8
M,0.335,8
I,0.355,8
F,0.44,8
I,0.405,8
I,0.255,8
I,0.33,8
F,0.355,8
M,0.41,8
F,0.325,8
M,0.455,8
M,0.505,8
M,0.28,8
M,0.44,8
I,0.32,8
I,0.33,8
M,0.44,8
I,0.31,8
I,0.375,8
I,0.37,8
F,0.5,8
F,0.5,8
M,0.48,8
F,0.36,8
M,0.3,8
I,0.395,8
I,0.385,8
I,0.375,8
M,0.445,8
M,0.455,8
F,0.38,8
I,0.225,8
I,0.355,8
I,0.34,8
F,0.41,8
M,0.45,8
F,0.43,8
F,0.435,8
I,0.24,8
F,0.43,8
I,0.38,8
M,0.58,20
I,0.42,20
F,0.415,20
M,0.435,20
M,0.515,20
F,0.545,20
M,0.44,20
F,0.485,20
F,0.525,20
M,0.515,20
F,0.4,20
M,0.47,20
M,0.525,20
F,0.57,20
M,0.525,20
F,0.47,20
F,0.475,20
F,0.45,20
F,0.455,20
I,0.445,20
M,0.44,20
M,0.415,20
M,0.525,20
F,0.48,16
M,0.5,16
M,0.48,16
M,0.575,16
M,0.455,16
M,0.515,16
F,0.425,16
F,0.595,16
M,0.42,16
F,0.535,16
M,0.545,16
M,0.45,16
M,0.5,16
M,0.45,16
M,0.45,16
I,0.48,16
F,0.425,16
I,0.355,16
M,0.415,16
M,0.565,16
M,0.51,16
M,0.365,16
F,0.525,16
M,0.485,16
F,0.52,16
F,0.5,16
F,0.445,16
F,0.5,16
F,0.425,16
F,0.44,16
M,0.4,16
I,0.33,16
M,0.52,16
M,0.465,16
F,0.315,16
M,0.405,16
M,0.47,16
F,0.35,16
M,0.485,16
M,0.525,16
I,0.445,16
F,0.515,16
F,0.435,16
F,0.39,16
F,0.525,16
F,0.465,16
M,0.46,16
M,0.515,16
F,0.4,16
F,0.545,16
I,0.445,16
F,0.6,16
F,0.515,16
M,0.485,16
F,0.405,16
F,0.545,16
F,0.475,16
F,0.565,16
M,0.35,16
M,0.525,16
F,0.375,16
M,0.57,19
F,0.46,19
F,0.425,19
M,0.5,19
M,0.38,19
I,0.355,19
F,0.52,19
F,0.525,19
M,0.41,19
F,0.41,19
F,0.485,19
F,0.555,19
M,0.515,19
M,0.455,19
M,0.405,19
M,0.45,19
M,0.55,19
F,0.55,19
F,0.475,19
F,0.44,19
M,0.435,19
M,0.405,19
M,0.515,19
M,0.535,19
F,0.58,19
M,0.475,19
F,0.44,19
F,0.455,19
F,0.455,14
F,0.51,14
M,0.485,14
M,0.36,14
I,0.4,14
F,0.385,14
M,0.44,14
M,0.48,14
I,0.475,14
F,0.455,14
M,0.5,14
I,0.425,14
F,0.505,14
M,0.495,14
F,0.365,14
M,0.575,14
I,0.345,14
F,0.53,14
M,0.44,14
M,0.385,14
M,0.56,14
F,0.485,14
F,0.445,14
M,0.51,14
M,0.53,14
I,0.46,14
M,0.395,14
F,0.47,14
M,0.38,14
M,0.42,14
F,0.54,14
I,0.435,14
F,0.45,14
M,0.535,14
M,0.39,14
M,0.41,14
F,0.51,14
M,0.455,14
M,0.38,14
F,0.515,14
M,0.53,14
M,0.48,14
F,0.41,14
F,0.44,14
M,0.375,14
M,0.515,14
M,0.45,14
F,0.46,14
M,0.395,14
F,0.45,14
F,0.465,14
M,0.51,14
M,0.385,14
M,0.475,14
F,0.485,14
F,0.355,14
F,0.475,14
I,0.45,14
M,0.42,14
I,0.345,14
F,0.42,14
F,0.435,14
M,0.455,14
F,0.48,14
F,0.51,14
F,0.475,14
M,0.35,14
M,0.57,14
F,0.47,14
F,0.65,14
M,0.42,14
M,0.42,14
M,0.535,14
F,0.485,14
F,0.575,14
M,0.385,14
M,0.455,14
M,0.45,14
F,0.47,14
F,0.365,14
F,0.395,14
F,0.495,14
I,0.305,14
F,0.405,14
F,0.525,14
F,0.425,14
M,0.45,14
I,0.465,14
I,0.34,14
F,0.535,14
M,0.55,14
F,0.565,14
M,0.45,14
F,0.55,14
F,0.495,14
F,0.51,14
M,0.335,14
F,0.38,14
M,0.33,14
M,0.41,14
F,0.425,14
M,0.585,14
F,0.61,14
F,0.54,14
I,0.385,14
F,0.38,14
M,0.45,14
F,0.55,14
M,0.45,14
M,0.475,14
M,0.385,14
F,0.475,14
I,0.42,14
I,0.405,14
F,0.56,11
F,0.32,11
M,0.545,11
M,0.515,11
M,0.54,11
M,0.495,11
F,0.51,11
M,0.5,11
M,0.495,11
M,0.5,11
F,0.495,11
F,0.565,11
M,0.4,11
F,0.405,11
F,0.47,11
M,0.52,11
F,0.465,11
M,0.42,11
F,0.56,11
M,0.495,11
I,0.445,11
F,0.475,11
I,0.44,11
M,0.525,11
F,0.375,11
F,0.55,11
F,0.515,11
M,0.41,11
M,0.565,11
F,0.43,11
M,0.48,11
F,0.51,11
M,0.535,11
M,0.5,11
M,0.525,11
F,0.545,11
M,0.475,11
M,0.565,11
M,0.495,11
F,0.455,11
M,0.47,11
F,0.44,11
M,0.515,11
F,0.4,11
F,0.52,11
F,0.51,11
M,0.485,11
M,0.47,11
F,0.545,11
M,0.57,11
I,0.31,11
M,0.505,11
M,0.345,11
F,0.495,11
F,0.445,11
M,0.45,11
F,0.475,11
F,0.46,11
M,0.455,11
F,0.32,11
F,0.41,11
I,0.405,11
M,0.32,11
M,0.495,11
F,0.385,11
M,0.43,11
M,0.41,11
M,0.375,11
M,0.51,11
F,0.495,11
M,0.5,11
I,0.28,11
M,0.495,11
F,0.375,11
I,0.425,11
F,0.515,11
M,0.36,11
F,0.55,11
M,0.515,11
M,0.55,11
M,0.47,11
F,0.5,11
M,0.59,11
M,0.4,11
M,0.51,11
F,0.49,11
M,0.475,11
M,0.285,11
M,0.54,11
F,0.485,11
F,0.505,11
F,0.54,11
I,0.45,11
M,0.45,11
M,0.465,11
M,0.53,11
F,0.495,11
F,0.495,11
I,0.43,11
M,0.52,11
M,0.585,11
M,0.575,11
M,0.28,11
M,0.56,11
M,0.47,11
M,0.495,11
I,0.26,11
F,0.445,11
F,0.475,11
M,0.48,11
I,0.41,11
M,0.46,11
F,0.41,11
M,0.39,11
M,0.435,11
M,0.515,11
F,0.505,11
M,0.25,11
M,0.4,11
I,0.38,11
F,0.485,11
M,0.425,11
M,0.31,11
I,0.44,11
M,0.465,11
I,0.425,11
M,0.52,11
M,0.4,11
M,0.34,11
I,0.46,11
F,0.35,11
M,0.495,11
F,0.45,11
M,0.505,11
M,0.36,11
M,0.465,11
I,0.49,11
F,0.495,11
M,0.525,11
F,0.525,11
I,0.485,11
F,0.495,11
M,0.475,11
M,0.53,11
F,0.565,11
F,0.505,11
F,0.475,11
F,0.54,11
M,0.395,11
F,0.425,11
M,0.4,11
M,0.42,11
F,0.58,11
I,0.355,11
I,0.445,11
M,0.545,11
M,0.31,11
F,0.475,11
M,0.45,11
F,0.57,11
M,0.555,11
F,0.475,11
M,0.525,11
M,0.53,11
M,0.45,11
F,0.545,11
F,0.45,11
F,0.505,11
M,0.57,11
M,0.31,11
I,0.41,11
M,0.51,11
M,0.39,11
M,0.44,11
M,0.49,11
F,0.485,11
M,0.48,11
I,0.43,11
F,0.475,11
I,0.38,11
F,0.44,11
F,0.49,11
F,0.385,11
F,0.54,11
M,0.505,11
M,0.575,11
F,0.35,11
M,0.41,11
F,0.625,11
F,0.47,11
F,0.46,11
F,0.515,11
M,0.47,11
F,0.51,11
I,0.41,11
F,0.53,11
M,0.515,11
M,0.3,11
F,0.525,11
M,0.53,11
I,0.34,11
M,0.445,11
M,0.475,11
F,0.535,11
I,0.42,11
F,0.575,11
M,0.505,11
F,0.375,11
M,0.49,11
M,0.48,11
F,0.555,11
F,0.53,11
F,0.5,11
I,0.525,11
I,0.325,11
M,0.51,11
F,0.495,11
M,0.48,11
F,0.485,11
M,0.385,11
I,0.35,11
F,0.52,11
I,0.42,11
F,0.305,11
F,0.52,11
M,0.525,11
F,0.505,11
M,0.525,11
M,0.49,11
F,0.45,11
F,0.42,11
F,0.37,11
F,0.42,11
M,0.55,11
M,0.45,11
F,0.485,11
M,0.455,11
M,0.525,11
F,0.45,11
M,0.455,11
M,0.42,11
I,0.45,11
F,0.54,11
F,0.545,11
F,0.6,11
F,0.525,11
F,0.5,11
F,0.34,11
M,0.555,11
F,0.485,11
F,0.59,11
M,0.545,11
I,0.35,11
F,0.52,11
F,0.355,11
F,0.505,11
M,0.475,11
F,0.5,11
F,0.54,11
F,0.485,11
M,0.47,11
M,0.495,11
I,0.505,11
F,0.505,11
M,0.59,11
M,0.35,11
I,0.435,11
I,0.465,11
M,0.42,11
M,0.505,11
F,0.45,11
M,0.455,11
F,0.51,11
F,0.47,11
M,0.495,11
F,0.455,11
M,0.48,11
M,0.6,11
M,0.42,11
F,0.49,11
M,0.485,11
F,0.505,11
F,0.49,11
I,0.475,11
M,0.45,11
M,0.55,11
F,0.465,11
M,0.49,11
F,0.505,11
F,0.415,11
F,0.41,11
F,0.455,11
M,0.51,11
M,0.455,11
I,0.435,11
M,0.54,11
F,0.525,11
F,0.505,11
M,0.35,11
I,0.395,11
F,0.43,11
I,0.39,11
F,0.51,11
M,0.485,11
F,0.52,11
F,0.345,11
M,0.505,11
F,0.505,11
I,0.405,11
M,0.525,11
M,0.475,11
M,0.47,11
F,0.5,11
M,0.44,11
M,0.49,11
M,0.52,11
F,0.56,11
M,0.47,11
M,0.515,11
F,0.405,11
F,0.56,11
M,0.565,11
M,0.455,11
I,0.49,11
F,0.55,11
F,0.5,11
F,0.445,11
M,0.52,11
M,0.52,11
F,0.49,11
M,0.46,11
M,0.485,11
F,0.465,11
M,0.555,11
F,0.515,11
F,0.575,11
I,0.35,11
F,0.52,11
F,0.415,11
F,0.55,11
F,0.415,11
M,0.475,11
I,0.47,11
M,0.595,11
M,0.585,11
M,0.45,11
M,0.55,11
F,0.385,11
I,0.28,11
M,0.605,11
I,0.47,11
M,0.5,11
F,0.525,11
F,0.47,11
I,0.445,11
F,0.335,11
M,0.38,11
F,0.56,11
F,0.35,11
M,0.455,11
M,0.49,11
F,0.345,11
F,0.515,11
F,0.49,11
M,0.505,11
F,0.485,11
F,0.51,11
M,0.41,11
I,0.435,11
F,0.535,11
F,0.525,11
F,0.515,11
F,0.4,11
M,0.515,11
M,0.515,11
I,0.425,11
F,0.56,11
F,0.5,11
I,0.385,11
M,0.465,11
I,0.445,11
M,0.39,11
M,0.495,11
F,0.475,11
M,0.52,11
M,0.49,11
F,0.43,11
F,0.47,11
I,0.43,11
M,0.39,11
M,0.515,11
M,0.35,11
M,0.525,11
F,0.355,11
M,0.245,11
F,0.56,11
M,0.535,11
M,0.565,11
F,0.375,11
I,0.395,11
M,0.245,11
M,0.545,11
M,0.515,11
I,0.33,11
I,0.485,11
F,0.56,11
M,0.51,11
M,0.46,11
M,0.49,11
F,0.35,11
M,0.55,11
I,0.43,11
I,0.49,11
I,0.4,11
M,0.46,11
M,0.56,11
F,0.485,11
F,0.43,11
F,0.495,11
F,0.425,11
F,0.465,11
I,0.345,11
F,0.38,11
F,0.59,11
F,0.38,11
M,0.49,11
M,0.355,11
F,0.57,11
M,0.495,11
F,0.465,11
M,0.5,11
M,0.505,11
M,0.575,11
F,0.535,11
F,0.325,11
F,0.405,11
M,0.45,11
M,0.515,11
I,0.37,12
M,0.505,12
F,0.46,12
F,0.405,12
F,0.47,12
F,0.53,12
F,0.5,12
M,0.52,12
I,0.415,12
M,0.5,12
F,0.575,12
F,0.5,12
M,0.51,12
M,0.585,12
F,0.405,12
F,0.5,12
M,0.465,12
F,0.45,12
F,0.48,12
M,0.345,12
M,0.5,12
M,0.52,12
M,0.555,12
F,0.525,12
F,0.575,12
M,0.45,12
F,0.525,12
F,0.465,12
I,0.325,12
M,0.44,12
F,0.565,12
F,0.475,12
M,0.55,12
M,0.385,12
M,0.4,12
M,0.525,12
F,0.515,12
M,0.51,12
F,0.465,12
F,0.355,12
M,0.295,12
F,0.405,12
M,0.38,12
F,0.52,12
M,0.46,12
F,0.5,12
M,0.505,12
M,0.45,12
F,0.51,12
F,0.555,12
F,0.53,12
F,0.325,12
F,0.39,12
F,0.465,12
M,0.51,12
M,0.505,12
F,0.51,12
F,0.39,12
I,0.47,12
F,0.515,12
F,0.615,12
F,0.545,12
F,0.48,12
M,0.4,12
F,0.43,12
M,0.325,12
F,0.415,12
M,0.54,12
F,0.53,12
M,0.37,12
M,0.495,12
M,0.595,12
I,0.42,12
F,0.51,12
I,0.41,12
F,0.305,12
F,0.45,12
F,0.395,12
F,0.48,12
F,0.515,12
F,0.385,12
F,0.5,12
M,0.48,12
M,0.395,12
F,0.38,12
M,0.355,12
I,0.43,12
F,0.465,12
M,0.405,12
F,0.525,12
M,0.46,12
M,0.45,12
M,0.485,12
M,0.51,12
F,0.5,12
F,0.44,12
F,0.49,12
F,0.505,12
F,0.345,12
M,0.41,12
M,0.5,12
F,0.525,12
F,0.485,12
M,0.46,12
F,0.505,12
F,0.57,12
I,0.36,12
M,0.535,12
F,0.575,12
I,0.335,12
F,0.47,12
F,0.57,12
F,0.48,12
F,0.38,12
M,0.54,12
F,0.45,12
F,0.375,12
F,0.565,12
F,0.55,12
F,0.48,12
M,0.445,12
F,0.44,12
M,0.47,12
M,0.575,12
F,0.455,12
F,0.325,12
F,0.38,12
F,0.48,12
F,0.465,12
M,0.58,12
I,0.445,12
M,0.525,12
M,0.44,12
F,0.535,12
F,0.5,12
I,0.39,12
M,0.48,12
F,0.545,12
M,0.6,12
M,0.425,12
I,0.28,12
M,0.59,12
F,0.48,12
F,0.38,12
F,0.575,12
M,0.45,12
M,0.49,12
M,0.265,12
F,0.44,12
I,0.35,12
M,0.485,12
M,0.38,12
M,0.53,12
F,0.505,12
F,0.555,12
F,0.455,12
F,0.47,12
I,0.495,12
F,0.39,12
F,0.45,12
M,0.385,12
M,0.5,12
M,0.46,12
I,0.44,12
F,0.44,12
F,0.45,12
F,0.41,12
M,0.435,12
I,0.44,12
M,0.42,12
M,0.47,12
M,0.38,12
M,0.485,12
F,0.395,12
I,0.485,12
F,0.41,12
M,0.28,12
F,0.565,12
M,0.415,12
M,0.45,12
M,0.515,12
M,0.48,12
M,0.495,12
M,0.47,12
M,0.475,12
M,0.465,12
F,0.4,12
M,0.445,12
F,0.54,12
F,0.44,12
M,0.395,12
M,0.315,12
M,0.285,12
M,0.5,12
F,0.5,12
M,0.375,12
F,0.535,12
F,0.3,12
M,0.455,12
M,0.6,12
F,0.55,12
F,0.385,12
M,0.425,12
I,0.33,12
M,0.385,12
M,0.5,12
F,0.435,12
M,0.55,12
M,0.415,12
M,0.5,12
M,0.585,12
F,0.565,12
F,0.4,12
F,0.45,12
F,0.485,12
M,0.385,12
F,0.505,12
M,0.44,12
M,0.4,12
M,0.565,12
F,0.465,12
M,0.47,12
F,0.45,12
F,0.475,12
F,0.36,12
M,0.45,12
M,0.62,12
M,0.575,12
M,0.525,12
F,0.365,12
M,0.575,12
M,0.505,12
F,0.495,12
F,0.465,12
M,0.375,12
M,0.42,12
F,0.565,12
F,0.45,12
F,0.495,12
F,0.475,18
M,0.505,18
F,0.45,18
F,0.35,18
I,0.41,18
F,0.525,18
I,0.37,18
I,0.525,18
M,0.525,18
M,0.475,18
M,0.48,18
I,0.49,18
F,0.48,18
F,0.405,18
F,0.455,18
M,0.51,18
F,0.405,18
F,0.53,18
F,0.455,18
F,0.585,18
M,0.475,18
M,0.315,18
M,0.54,18
M,0.53,18
F,0.49,18
F,0.54,18
M,0.505,18
F,0.45,18
F,0.56,18
M,0.41,18
F,0.485,18
F,0.525,18
M,0.5,18
F,0.5,18
F,0.5,18
M,0.425,18
M,0.435,18
M,0.49,18
F,0.39,13
M,0.55,13
M,0.42,13
F,0.39,13
I,0.39,13
M,0.4,13
M,0.525,13
F,0.35,13
M,0.49,13
M,0.435,13
M,0.48,13
M,0.505,13
F,0.555,13
F,0.41,13
M,0.465,13
M,0.49,13
M,0.47,13
M,0.41,13
F,0.35,13
I,0.4,13
M,0.425,13
F,0.355,13
F,0.415,13
I,0.4,13
M,0.58,13
M,0.575,13
I,0.345,13
M,0.47,13
F,0.57,13
F,0.46,13
F,0.42,13
F,0.525,13
F,0.4,13
I,0.45,13
F,0.475,13
M,0.405,13
M,0.415,13
F,0.45,13
F,0.515,13
M,0.55,13
M,0.435,13
F,0.35,13
F,0.51,13
M,0.4,13
I,0.34,13
M,0.45,13
F,0.4,13
M,0.41,13
M,0.545,13
F,0.5,13
M,0.375,13
F,0.575,13
F,0.495,13
M,0.44,13
F,0.45,13
F,0.455,13
F,0.495,13
M,0.4,13
F,0.445,13
M,0.415,13
M,0.55,13
I,0.47,13
F,0.5,13
I,0.5,13
F,0.465,13
F,0.4,13
M,0.525,13
I,0.245,13
M,0.44,13
F,0.495,13
F,0.575,13
F,0.52,13
M,0.54,13
M,0.605,13
F,0.4,13
I,0.325,13
F,0.435,13
I,0.355,13
F,0.5,13
F,0.415,13
F,0.52,13
F,0.525,13
F,0.575,13
M,0.355,13
M,0.455,13
I,0.4,13
F,0.445,13
M,0.535,13
M,0.41,13
M,0.455,13
F,0.375,13
M,0.525,13
M,0.515,13
M,0.38,13
F,0.525,13
F,0.5,13
F,0.455,13
F,0.52,13
F,0.545,13
M,0.515,13
F,0.425,13
M,0.58,13
I,0.385,13
F,0.485,13
M,0.515,13
M,0.51,13
F,0.51,13
F,0.435,13
F,0.385,13
M,0.53,13
M,0.42,13
M,0.465,13
M,0.55,13
I,0.455,13
F,0.545,13
M,0.48,13
F,0.435,13
F,0.485,13
M,0.42,13
M,0.435,13
M,0.38,13
F,0.475,13
M,0.42,13
M,0.345,13
F,0.505,13
M,0.415,13
M,0.475,13
M,0.52,13
M,0.605,13
F,0.335,13
F,0.38,13
M,0.48,13
M,0.54,13
F,0.55,13
I,0.33,13
F,0.46,13
M,0.44,13
M,0.5,13
F,0.475,13
M,0.42,13
I,0.42,13
F,0.36,13
F,0.425,13
M,0.415,13
I,0.49,13
F,0.365,13
M,0.515,13
F,0.39,13
M,0.485,13
M,0.43,13
I,0.475,13
M,0.535,13
M,0.56,13
M,0.395,13
M,0.255,13
F,0.575,13
M,0.46,13
M,0.545,13
M,0.405,13
M,0.55,13
F,0.415,13
I,0.345,13
I,0.37,13
M,0.39,13
F,0.55,13
F,0.55,13
F,0.53,13
F,0.43,13
F,0.45,13
F,0.35,13
M,0.425,13
F,0.525,13
F,0.46,13
M,0.425,13
I,0.485,13
I,0.38,13
F,0.495,13
M,0.525,13
M,0.49,13
I,0.48,13
M,0.41,13
M,0.515,13
M,0.53,13
I,0.32,5
I,0.17,5
I,0.195,5
I,0.265,5
I,0.18,5
I,0.23,5
I,0.32,5
I,0.265,5
I,0.25,5
I,0.23,5
I,0.205,5
I,0.21,5
I,0.21,5
I,0.145,5
I,0.245,5
I,0.215,5
I,0.34,5
I,0.185,5
I,0.28,5
I,0.15,5
I,0.18,5
M,0.18,5
I,0.235,5
M,0.14,5
I,0.215,5
I,0.275,5
I,0.135,5
I,0.21,5
I,0.24,5
I,0.15,5
I,0.29,5
M,0.21,5
M,0.135,5
I,0.21,5
I,0.29,5
I,0.185,5
I,0.27,5
I,0.205,5
I,0.21,5
I,0.22,5
I,0.205,5
I,0.225,5
I,0.175,5
I,0.19,5
I,0.235,5
I,0.21,5
I,0.175,5
F,0.275,5
I,0.21,5
I,0.185,5
I,0.125,5
I,0.22,5
F,0.225,5
I,0.25,5
I,0.13,5
I,0.155,5
I,0.18,5
I,0.17,5
M,0.2,5
I,0.26,5
I,0.28,5
I,0.205,5
I,0.25,5
M,0.115,5
I,0.175,5
I,0.17,5
I,0.16,5
I,0.26,5
I,0.19,5
I,0.175,5
I,0.3,5
I,0.3,5
I,0.15,5
I,0.22,5
I,0.295,5
I,0.13,5
I,0.12,5
I,0.205,5
I,0.22,5
I,0.135,5
I,0.255,5
I,0.175,5
I,0.21,5
I,0.2,5
M,0.215,5
I,0.215,5
I,0.22,5
I,0.165,5
I,0.22,5
M,0.2,5
F,0.27,5
I,0.225,5
I,0.255,5
M,0.205,5
I,0.205,5
I,0.175,5
I,0.2,5
I,0.165,5
I,0.19,5
I,0.19,5
I,0.23,5
M,0.205,5
I,0.255,5
I,0.145,4
I,0.195,4
M,0.23,4
I,0.145,4
I,0.185,4
I,0.195,4
I,0.15,4
I,0.2,4
M,0.16,4
I,0.095,4
I,0.205,4
I,0.17,4
M,0.125,4
I,0.175,4
I,0.11,4
I,0.12,4
I,0.105,4
M,0.145,4
I,0.21,4
I,0.135,4
I,0.19,4
I,0.16,4
I,0.235,4
M,0.18,4
I,0.15,4
I,0.16,4
I,0.205,4
I,0.15,4
I,0.155,4
I,0.165,4
I,0.18,4
M,0.125,4
I,0.18,4
I,0.215,4
I,0.125,4
I,0.13,4
I,0.27,4
I,0.105,4
I,0.145,4
I,0.125,4
I,0.12,4
I,0.185,4
I,0.235,4
I,0.18,4
I,0.15,4
I,0.115,4
I,0.205,4
I,0.15,4
I,0.105,4
I,0.13,4
I,0.11,4
I,0.165,4
I,0.195,6
I,0.28,6
I,0.31,6
I,0.27,6
I,0.28,6
I,0.215,6
I,0.3,6
I,0.325,6
I,0.25,6
I,0.19,6
I,0.28,6
M,0.265,6
I,0.28,6
I,0.205,6
I,0.31,6
I,0.34,6
I,0.3,6
I,0.215,6
M,0.2,6
I,0.275,6
I,0.345,6
I,0.23,6
I,0.27,6
I,0.275,6
I,0.32,6
I,0.23,6
I,0.27,6
I,0.23,6
I,0.265,6
I,0.26,6
I,0.315,6
I,0.38,6
I,0.215,6
I,0.25,6
I,0.21,6
M,0.375,6
I,0.205,6
