@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.475,0.35,0.125,0.4225,0.1905,9
M,0.62,0.48,0.165,1.0725,0.4815,9
M,0.645,0.51,0.19,1.4745,0.605,9
M,0.395,0.305,0.105,0.282,0.0975,9
M,0.58,0.445,0.16,0.984,0.49,9
F,0.69,0.54,0.155,1.454,0.624,9
M,0.645,0.485,0.15,1.2215,0.5695,9
M,0.685,0.51,0.18,1.4545,0.6315,9
F,0.625,0.485,0.2,1.38,0.5845,9
M,0.555,0.435,0.145,0.9685,0.4985,9
I,0.5,0.375,0.145,0.5795,0.239,9
I,0.445,0.36,0.11,0.4235,0.182,9
I,0.56,0.425,0.145,0.688,0.3095,9
F,0.435,0.335,0.11,0.38,0.1695,9
M,0.565,0.44,0.125,0.802,0.3595,9
I,0.455,0.365,0.135,0.441,0.1515,9
I,0.535,0.4,0.135,0.6025,0.2895,9
M,0.46,0.375,0.13,0.5735,0.2505,9
M,0.575,0.45,0.13,0.785,0.318,9
F,0.53,0.405,0.13,0.6355,0.2635,9
I,0.525,0.415,0.12,0.596,0.2805,9
M,0.525,0.4,0.155,0.707,0.282,9
I,0.46,0.36,0.14,0.447,0.161,9
F,0.58,0.435,0.14,0.953,0.475,9
M,0.505,0.385,0.11,0.655,0.3185,9
F,0.67,0.505,0.205,1.3645,0.6075,9
F,0.6,0.475,0.15,1.13,0.575,9
F,0.58,0.45,0.15,0.92,0.393,9
M,0.59,0.435,0.165,0.9765,0.4525,9
F,0.33,0.26,0.08,0.2,0.0625,9
F,0.55,0.47,0.15,0.897,0.377,9
I,0.4,0.3,0.11,0.315,0.109,9
M,0.57,0.45,0.14,0.795,0.3385,9
I,0.62,0.47,0.14,0.8565,0.3595,9
M,0.65,0.52,0.155,1.368,0.6185,9
M,0.5,0.39,0.135,0.7815,0.361,9
M,0.545,0.41,0.12,0.793,0.434,9
I,0.45,0.33,0.105,0.448,0.208,9
F,0.6,0.475,0.16,1.0265,0.485,9
I,0.51,0.4,0.125,0.5575,0.2615,9
M,0.485,0.37,0.155,0.968,0.419,9
M,0.575,0.45,0.155,0.886,0.3605,9
I,0.53,0.395,0.13,0.575,0.247,9
F,0.62,0.485,0.155,1.1945,0.5105,9
M,0.55,0.41,0.13,0.8705,0.4455,9
F,0.545,0.43,0.16,0.844,0.3945,9
M,0.455,0.35,0.105,0.401,0.1575,9
I,0.55,0.4,0.135,0.717,0.3315,9
M,0.58,0.47,0.165,1.041,0.54,9
I,0.295,0.225,0.08,0.124,0.0485,9
F,0.665,0.505,0.165,1.349,0.5985,9
F,0.635,0.495,0.015,1.1565,0.5115,9
F,0.56,0.44,0.135,0.8025,0.35,9
F,0.45,0.335,0.105,0.425,0.1865,9
I,0.575,0.45,0.125,0.78,0.3275,9
M,0.495,0.375,0.155,0.976,0.45,9
M,0.65,0.51,0.19,1.542,0.7155,9
I,0.555,0.45,0.175,0.738,0.304,9
M,0.565,0.45,0.16,0.895,0.415,9
F,0.525,0.4,0.13,0.6995,0.3115,9
M,0.56,0.425,0.135,0.9415,0.509,9
F,0.55,0.425,0.145,0.797,0.297,9
I,0.565,0.465,0.15,1.1815,0.581,9
I,0.44,0.305,0.115,0.379,0.162,9
M,0.565,0.445,0.14,0.836,0.406,9
I,0.5,0.395,0.12,0.537,0.2165,9
F,0.655,0.51,0.15,1.043,0.4795,9
M,0.66,0.535,0.19,1.5905,0.6425,9
I,0.535,0.41,0.13,0.6075,0.268,9
M,0.53,0.425,0.13,0.702,0.2975,9
I,0.565,0.43,0.125,0.6545,0.2815,9
F,0.64,0.49,0.18,1.36,0.653,9
I,0.5,0.375,0.14,0.559,0.2375,9
I,0.515,0.395,0.125,0.5805,0.2365,9
I,0.53,0.42,0.14,0.6765,0.256,9
I,0.485,0.355,0.12,0.5085,0.21,9
F,0.575,0.46,0.16,1.103,0.538,9
M,0.4,0.29,0.115,0.2795,0.1115,9
F,0.65,0.525,0.165,1.238,0.647,9
M,0.515,0.4,0.14,0.6335,0.288,9
F,0.565,0.45,0.175,1.0095,0.447,9
M,0.625,0.485,0.16,1.2135,0.631,9
M,0.575,0.445,0.17,1.0225,0.549,9
M,0.55,0.435,0.11,0.806,0.3415,9
F,0.64,0.525,0.175,1.382,0.646,9
F,0.565,0.44,0.15,0.983,0.4475,9
I,0.36,0.28,0.105,0.199,0.0695,9
M,0.58,0.455,0.17,0.93,0.408,9
F,0.54,0.415,0.15,0.8115,0.3875,9
I,0.44,0.34,0.12,0.438,0.2115,9
I,0.52,0.41,0.145,0.646,0.2965,9
M,0.575,0.475,0.16,1.114,0.4955,9
F,0.705,0.54,0.205,1.757,0.8265,9
F,0.64,0.475,0.175,1.1545,0.4865,9
F,0.605,0.475,0.165,1.056,0.433,9
F,0.545,0.385,0.15,1.1185,0.5425,9
I,0.52,0.395,0.135,0.633,0.2985,9
I,0.535,0.39,0.125,0.599,0.2595,9
M,0.62,0.49,0.155,1.1,0.505,9
F,0.345,0.255,0.1,0.197,0.071,9
F,0.57,0.46,0.135,0.9795,0.397,9
I,0.455,0.355,0.08,0.452,0.2165,9
F,0.54,0.42,0.14,0.8035,0.38,9
M,0.6,0.48,0.165,0.9165,0.4135,9
F,0.515,0.4,0.115,0.578,0.191,9
F,0.625,0.49,0.165,1.127,0.477,9
I,0.585,0.46,0.14,0.7635,0.326,9
M,0.43,0.31,0.13,0.6485,0.2735,9
M,0.59,0.46,0.14,1.004,0.496,9
I,0.59,0.45,0.125,0.86,0.437,9
M,0.605,0.49,0.18,1.167,0.457,9
I,0.515,0.4,0.135,0.636,0.3055,9
F,0.635,0.49,0.17,1.2615,0.5385,9
M,0.59,0.47,0.18,1.187,0.5985,9
M,0.6,0.475,0.175,1.11,0.5105,9
M,0.645,0.51,0.16,1.33,0.6665,9
I,0.59,0.46,0.125,0.755,0.334,9
M,0.53,0.425,0.155,0.7905,0.307,9
M,0.575,0.445,0.16,0.839,0.4005,9
M,0.58,0.455,0.195,1.859,0.945,9
F,0.545,0.4,0.14,0.778,0.368,9
I,0.465,0.37,0.115,0.4075,0.1515,9
I,0.36,0.275,0.085,0.1975,0.0745,9
M,0.57,0.455,0.175,1.02,0.4805,9
F,0.605,0.47,0.165,1.1775,0.611,9
M,0.58,0.44,0.16,0.8295,0.3365,9
M,0.4,0.3,0.125,0.417,0.191,9
M,0.565,0.43,0.13,0.784,0.3495,9
F,0.615,0.47,0.155,1.084,0.5885,9
M,0.525,0.42,0.155,0.842,0.428,9
F,0.505,0.4,0.165,0.729,0.2675,9
F,0.585,0.45,0.145,0.9835,0.4845,9
I,0.515,0.405,0.13,0.573,0.213,9
F,0.745,0.57,0.215,2.25,1.1565,9
M,0.5,0.38,0.12,0.5765,0.273,9
F,0.58,0.46,0.175,1.165,0.65,9
M,0.625,0.48,0.16,1.2415,0.6575,9
I,0.465,0.37,0.12,0.4365,0.188,9
F,0.53,0.44,0.135,0.7835,0.313,9
M,0.64,0.49,0.155,1.1285,0.477,9
F,0.55,0.435,0.14,0.745,0.347,9
M,0.59,0.45,0.16,0.998,0.445,9
M,0.615,0.47,0.15,1.0875,0.4975,9
M,0.46,0.375,0.14,0.5105,0.192,9
I,0.57,0.435,0.17,0.848,0.4,9
I,0.58,0.42,0.14,0.701,0.3285,9
M,0.575,0.45,0.135,0.9215,0.354,9
M,0.52,0.385,0.14,0.6595,0.2485,9
M,0.505,0.395,0.125,0.635,0.29,9
M,0.58,0.49,0.13,1.1335,0.586,9
M,0.565,0.445,0.145,0.9255,0.4345,9
F,0.65,0.475,0.165,1.3875,0.58,9
F,0.595,0.47,0.155,1.1775,0.542,9
F,0.56,0.44,0.155,0.9705,0.4315,9
I,0.52,0.395,0.125,0.663,0.3005,9
F,0.56,0.42,0.18,1.6645,0.7755,9
I,0.44,0.365,0.115,0.501,0.2435,9
I,0.53,0.415,0.11,0.5745,0.2525,9
F,0.65,0.495,0.16,1.3105,0.577,9
I,0.5,0.38,0.135,0.594,0.2945,9
M,0.585,0.465,0.155,0.9145,0.4555,9
M,0.625,0.455,0.17,1.082,0.4955,9
M,0.635,0.5,0.18,1.2915,0.594,9
M,0.525,0.4,0.13,0.622,0.2655,9
M,0.625,0.495,0.175,1.2935,0.5805,9
M,0.59,0.48,0.16,1.262,0.5685,9
M,0.35,0.255,0.08,0.1915,0.08,9
I,0.505,0.38,0.135,0.5385,0.2645,9
F,0.615,0.515,0.135,1.1215,0.545,9
F,0.615,0.455,0.135,1.059,0.4735,9
M,0.57,0.46,0.15,1.0375,0.5415,9
I,0.605,0.47,0.145,0.8025,0.379,9
M,0.625,0.495,0.175,1.254,0.5815,9
M,0.595,0.465,0.15,0.919,0.4335,9
F,0.56,0.455,0.16,0.967,0.4525,9
F,0.565,0.44,0.135,0.83,0.393,9
M,0.55,0.43,0.15,0.8745,0.413,9
M,0.555,0.44,0.14,0.8705,0.407,9
M,0.575,0.465,0.12,1.0535,0.516,9
F,0.57,0.45,0.15,0.9645,0.531,9
I,0.555,0.43,0.14,0.7665,0.341,9
M,0.425,0.325,0.12,0.3755,0.142,9
F,0.615,0.465,0.15,0.923,0.4615,9
F,0.53,0.43,0.15,0.741,0.325,9
M,0.49,0.395,0.12,0.674,0.3325,9
M,0.375,0.285,0.095,0.253,0.096,9
F,0.615,0.495,0.155,1.0805,0.52,9
M,0.6,0.47,0.165,1.059,0.504,9
F,0.595,0.46,0.14,1.0045,0.4655,9
F,0.51,0.37,0.21,1.183,0.508,9
F,0.595,0.455,0.16,1.04,0.452,9
I,0.53,0.4,0.145,0.555,0.1935,9
M,0.5,0.42,0.135,0.6765,0.302,9
F,0.56,0.435,0.15,0.8715,0.4755,9
I,0.515,0.36,0.125,0.4725,0.1815,9
I,0.475,0.365,0.115,0.49,0.223,9
M,0.425,0.33,0.13,0.4405,0.152,9
F,0.45,0.345,0.12,0.4165,0.1655,9
M,0.295,0.225,0.09,0.1385,0.048,9
M,0.61,0.485,0.17,1.281,0.597,9
F,0.53,0.395,0.115,0.5685,0.249,9
I,0.55,0.425,0.135,0.7305,0.3325,9
M,0.65,0.52,0.175,1.2655,0.615,9
F,0.49,0.4,0.115,0.569,0.256,9
F,0.66,0.5,0.175,1.3275,0.556,9
F,0.56,0.465,0.16,1.0315,0.432,9
M,0.62,0.47,0.15,1.309,0.587,9
F,0.43,0.35,0.09,0.397,0.1575,9
M,0.37,0.28,0.105,0.234,0.0905,9
F,0.405,0.325,0.11,0.3555,0.151,9
M,0.35,0.26,0.09,0.195,0.0745,9
M,0.41,0.3,0.1,0.301,0.124,9
F,0.545,0.445,0.15,0.8,0.3535,9
F,0.615,0.475,0.155,1.027,0.447,9
M,0.385,0.305,0.09,0.2775,0.109,9
M,0.545,0.41,0.14,0.737,0.349,9
M,0.54,0.435,0.14,0.7345,0.33,9
F,0.605,0.455,0.145,0.862,0.334,9
I,0.565,0.42,0.155,0.743,0.31,9
M,0.65,0.515,0.125,1.1805,0.5235,9
I,0.575,0.45,0.145,0.872,0.4675,9
M,0.61,0.47,0.16,1.022,0.449,9
M,0.615,0.475,0.15,1.0375,0.476,9
M,0.31,0.225,0.075,0.1295,0.0455,9
M,0.655,0.52,0.165,1.4095,0.586,9
I,0.455,0.35,0.13,0.4725,0.215,9
M,0.64,0.5,0.17,1.4545,0.642,9
I,0.53,0.425,0.13,0.781,0.3905,9
I,0.54,0.42,0.14,0.7265,0.3205,9
F,0.505,0.39,0.13,0.674,0.3165,9
M,0.44,0.375,0.13,0.487,0.226,9
M,0.595,0.47,0.165,1.108,0.4915,9
F,0.47,0.365,0.105,0.4205,0.163,9
I,0.53,0.405,0.12,0.632,0.2715,9
F,0.645,0.51,0.16,1.2415,0.5815,9
M,0.53,0.415,0.12,0.706,0.3355,9
M,0.615,0.475,0.175,1.224,0.6035,9
M,0.475,0.355,0.125,0.4625,0.186,9
M,0.59,0.485,0.155,1.0785,0.4535,9
I,0.5,0.375,0.12,0.542,0.215,9
I,0.6,0.445,0.135,0.9205,0.445,9
M,0.62,0.49,0.15,1.195,0.4605,9
M,0.595,0.48,0.14,0.9125,0.4095,9
F,0.59,0.44,0.14,1.007,0.4775,9
I,0.5,0.41,0.14,0.6615,0.2585,9
M,0.535,0.435,0.15,0.725,0.269,9
F,0.455,0.355,0.12,0.4495,0.177,9
F,0.57,0.44,0.12,0.803,0.382,9
F,0.62,0.48,0.175,1.0405,0.464,9
M,0.52,0.4,0.105,0.872,0.4515,9
I,0.46,0.35,0.105,0.3705,0.1575,9
I,0.28,0.205,0.08,0.127,0.052,9
F,0.53,0.42,0.135,0.677,0.2565,9
M,0.65,0.495,0.16,1.304,0.57,9
F,0.5,0.395,0.15,0.7145,0.3235,9
M,0.645,0.495,0.15,1.2095,0.603,9
M,0.625,0.47,0.15,1.124,0.556,9
F,0.635,0.51,0.17,1.2235,0.532,9
I,0.5,0.365,0.125,0.528,0.229,9
F,0.63,0.495,0.145,1.147,0.5455,9
I,0.54,0.415,0.135,0.709,0.3195,9
I,0.585,0.45,0.135,0.855,0.3795,9
F,0.57,0.45,0.18,0.908,0.4015,9
F,0.625,0.485,0.16,1.254,0.591,9
M,0.445,0.37,0.125,0.515,0.2495,9
M,0.58,0.445,0.135,0.814,0.3775,9
I,0.565,0.44,0.135,0.768,0.3305,9
F,0.625,0.515,0.16,1.264,0.5715,9
M,0.51,0.405,0.13,0.7175,0.3725,9
M,0.645,0.48,0.15,1.192,0.6055,9
M,0.575,0.455,0.135,0.907,0.4245,9
I,0.48,0.355,0.125,0.494,0.2385,9
M,0.325,0.24,0.075,0.155,0.0475,9
F,0.575,0.465,0.175,1.099,0.4735,9
I,0.42,0.345,0.115,0.3435,0.1515,9
F,0.67,0.54,0.2,1.46,0.6435,9
M,0.595,0.435,0.16,1.057,0.4255,9
I,0.405,0.315,0.105,0.347,0.1605,9
I,0.525,0.39,0.12,0.664,0.3115,9
F,0.59,0.465,0.15,1.151,0.613,9
I,0.53,0.405,0.13,0.6615,0.2945,9
M,0.585,0.465,0.15,0.98,0.4315,9
I,0.515,0.39,0.12,0.565,0.235,9
M,0.425,0.35,0.105,0.393,0.13,9
M,0.575,0.475,0.145,0.857,0.3665,9
M,0.465,0.36,0.105,0.431,0.172,9
F,0.55,0.415,0.135,0.7635,0.318,9
I,0.365,0.295,0.095,0.25,0.1075,9
M,0.585,0.455,0.14,0.97,0.462,9
I,0.5,0.38,0.11,0.5605,0.28,9
I,0.44,0.32,0.105,0.3875,0.1755,9
F,0.655,0.46,0.16,1.494,0.6895,9
M,0.41,0.325,0.1,0.3555,0.146,9
M,0.61,0.475,0.175,1.024,0.409,9
M,0.47,0.39,0.15,0.6355,0.2185,9
F,0.575,0.46,0.15,0.927,0.333,9
F,0.625,0.5,0.165,1.288,0.573,9
I,0.59,0.445,0.135,0.7715,0.328,9
M,0.355,0.29,0.09,0.3275,0.134,9
F,0.53,0.41,0.145,0.8255,0.375,9
M,0.56,0.465,0.145,0.8875,0.3345,9
F,0.5,0.37,0.135,0.45,0.1715,9
I,0.52,0.395,0.125,0.5805,0.2445,9
I,0.67,0.485,0.175,1.2565,0.5355,9
F,0.61,0.495,0.165,1.0835,0.4525,9
M,0.46,0.35,0.125,0.5165,0.1885,9
F,0.655,0.52,0.2,1.5475,0.713,9
I,0.56,0.435,0.13,0.777,0.354,9
F,0.605,0.48,0.175,1.1685,0.4815,9
I,0.43,0.34,0.12,0.3575,0.151,9
F,0.685,0.535,0.175,1.5845,0.7175,9
F,0.645,0.52,0.18,1.285,0.5775,9
I,0.485,0.39,0.125,0.591,0.287,9
F,0.61,0.45,0.16,1.136,0.414,9
I,0.475,0.335,0.1,0.4425,0.1895,9
I,0.555,0.43,0.15,0.783,0.345,9
F,0.56,0.445,0.18,0.903,0.3575,9
M,0.595,0.475,0.165,1.213,0.621,9
M,0.55,0.425,0.16,0.793,0.343,9
F,0.675,0.52,0.175,1.494,0.7365,9
I,0.555,0.395,0.13,0.5585,0.222,9
I,0.49,0.385,0.12,0.591,0.271,9
M,0.665,0.5,0.175,1.2975,0.6075,9
M,0.505,0.405,0.11,0.625,0.305,9
M,0.535,0.435,0.15,0.717,0.3475,9
M,0.58,0.45,0.16,0.8675,0.3935,9
F,0.665,0.5,0.175,1.4355,0.643,9
M,0.5,0.38,0.125,0.577,0.269,9
I,0.505,0.385,0.125,0.596,0.245,9
F,0.515,0.39,0.13,0.5755,0.1975,9
F,0.575,0.48,0.165,1.078,0.511,9
F,0.45,0.36,0.105,0.4715,0.2035,9
M,0.56,0.45,0.145,0.894,0.3885,9
M,0.61,0.47,0.155,1.0325,0.497,9
M,0.38,0.29,0.12,0.283,0.1175,9
M,0.425,0.335,0.1,0.4085,0.1755,9
F,0.55,0.415,0.18,1.1655,0.502,9
I,0.475,0.355,0.125,0.4865,0.2155,9
I,0.61,0.465,0.125,0.9225,0.436,9
M,0.61,0.475,0.15,1.142,0.62,9
F,0.675,0.53,0.195,1.4985,0.62,9
F,0.52,0.4,0.125,0.6865,0.295,9
F,0.505,0.39,0.16,0.644,0.2475,9
F,0.505,0.38,0.135,0.6855,0.361,9
F,0.625,0.48,0.2,1.3235,0.6075,9
M,0.635,0.51,0.17,1.3555,0.619,9
F,0.57,0.43,0.16,0.811,0.3875,9
F,0.705,0.55,0.17,1.219,0.6395,9
M,0.625,0.495,0.155,1.025,0.46,9
F,0.405,0.305,0.095,0.3485,0.1455,9
M,0.525,0.405,0.12,0.7555,0.3755,9
F,0.62,0.51,0.175,1.2705,0.5415,9
F,0.64,0.5,0.15,1.2015,0.559,9
F,0.455,0.37,0.105,0.4925,0.216,9
F,0.575,0.43,0.155,0.7955,0.3485,9
F,0.595,0.46,0.16,0.921,0.4005,9
F,0.545,0.41,0.14,0.7405,0.3565,9
M,0.65,0.505,0.18,1.469,0.7115,9
I,0.575,0.445,0.16,0.9175,0.45,9
I,0.575,0.445,0.17,0.8015,0.3475,9
F,0.56,0.41,0.16,0.8215,0.342,9
M,0.525,0.41,0.13,0.6875,0.3435,9
I,0.505,0.425,0.125,0.6115,0.245,9
I,0.32,0.25,0.08,0.1565,0.057,9
M,0.58,0.45,0.14,0.9615,0.486,9
M,0.57,0.45,0.135,1.02,0.546,9
M,0.59,0.475,0.165,1.077,0.4545,9
I,0.61,0.465,0.15,0.9605,0.4495,9
F,0.635,0.485,0.165,1.2945,0.668,9
F,0.605,0.475,0.175,1.076,0.463,9
M,0.625,0.5,0.17,1.0985,0.4645,9
F,0.65,0.495,0.155,1.337,0.615,9
F,0.545,0.43,0.14,0.832,0.4355,9
I,0.465,0.355,0.09,0.4325,0.2005,9
I,0.525,0.4,0.125,0.6965,0.369,9
F,0.72,0.55,0.195,2.073,1.0715,9
M,0.47,0.37,0.18,0.51,0.1915,9
F,0.56,0.455,0.19,0.714,0.283,9
F,0.535,0.41,0.13,0.7145,0.335,9
F,0.6,0.475,0.135,1.4405,0.5885,9
I,0.365,0.26,0.115,0.218,0.0935,9
I,0.525,0.4,0.145,0.6095,0.248,9
M,0.545,0.415,0.14,0.82,0.4615,9
F,0.605,0.5,0.185,1.1185,0.469,9
M,0.59,0.405,0.15,0.853,0.326,9
M,0.565,0.455,0.15,0.9595,0.4565,9
I,0.48,0.37,0.125,0.474,0.179,9
M,0.645,0.5,0.16,1.3815,0.672,9
M,0.555,0.455,0.135,0.837,0.382,9
I,0.46,0.35,0.11,0.3945,0.1685,9
I,0.56,0.445,0.165,0.832,0.3455,9
M,0.54,0.42,0.12,0.8115,0.392,9
I,0.355,0.27,0.105,0.271,0.1425,9
F,0.44,0.34,0.14,0.482,0.186,9
F,0.58,0.425,0.15,0.844,0.3645,9
I,0.55,0.465,0.15,0.936,0.481,9
F,0.595,0.455,0.14,0.914,0.3895,9
M,0.67,0.525,0.17,1.4005,0.715,9
F,0.49,0.38,0.155,0.578,0.2395,9
M,0.635,0.5,0.18,1.154,0.4405,9
I,0.455,0.355,0.105,0.372,0.138,9
I,0.585,0.42,0.145,0.6735,0.2895,9
I,0.5,0.39,0.13,0.5075,0.2115,9
M,0.375,0.29,0.1,0.276,0.1175,9
I,0.56,0.425,0.135,0.8205,0.3715,9
I,0.5,0.395,0.14,0.6215,0.2925,9
M,0.47,0.37,0.12,0.5795,0.293,9
M,0.585,0.47,0.145,0.9565,0.4025,9
F,0.415,0.325,0.115,0.3455,0.1405,9
M,0.335,0.265,0.095,0.1975,0.0795,9
F,0.585,0.465,0.165,0.9355,0.4035,9
I,0.57,0.42,0.13,0.7745,0.3535,9
M,0.6,0.46,0.15,1.247,0.5335,9
F,0.69,0.55,0.18,1.659,0.8715,9
M,0.495,0.395,0.125,0.5415,0.2375,9
I,0.525,0.375,0.12,0.6315,0.3045,9
M,0.56,0.43,0.145,0.8995,0.464,9
F,0.65,0.5,0.19,1.464,0.6415,9
I,0.4,0.265,0.1,0.2775,0.1245,9
I,0.47,0.355,0.12,0.4915,0.1765,9
I,0.29,0.225,0.075,0.152,0.071,9
F,0.54,0.425,0.16,0.9455,0.3675,9
F,0.6,0.485,0.165,1.1405,0.587,9
M,0.48,0.375,0.145,0.777,0.216,9
F,0.55,0.405,0.125,0.651,0.2965,9
I,0.455,0.37,0.125,0.433,0.201,9
I,0.41,0.31,0.11,0.315,0.124,9
F,0.525,0.42,0.16,0.756,0.2745,9
F,0.69,0.53,0.17,1.5535,0.7945,9
M,0.685,0.545,0.205,1.7925,0.8145,9
F,0.63,0.485,0.17,1.3205,0.5945,9
M,0.57,0.44,0.175,0.9415,0.3805,9
M,0.575,0.435,0.14,0.8455,0.401,9
I,0.53,0.415,0.13,0.694,0.3905,9
M,0.575,0.465,0.15,1.08,0.595,9
F,0.595,0.47,0.165,1.0155,0.491,9
F,0.55,0.445,0.155,0.9905,0.544,9
F,0.725,0.58,0.185,1.523,0.8045,9
I,0.48,0.37,0.125,0.5435,0.244,9
M,0.52,0.4,0.145,0.7765,0.3525,9
I,0.515,0.4,0.125,0.5925,0.265,9
M,0.445,0.34,0.12,0.4475,0.193,9
F,0.585,0.46,0.17,0.9325,0.365,9
F,0.475,0.36,0.125,0.447,0.1695,9
F,0.65,0.5,0.16,1.3825,0.702,9
M,0.655,0.52,0.17,1.1445,0.53,9
M,0.365,0.285,0.085,0.2205,0.0855,9
F,0.565,0.44,0.15,0.863,0.435,9
M,0.345,0.27,0.095,0.197,0.0665,9
M,0.34,0.255,0.095,0.213,0.081,9
M,0.63,0.49,0.155,1.2525,0.63,9
I,0.535,0.455,0.14,1.0015,0.53,9
M,0.51,0.41,0.155,1.2825,0.569,9
I,0.44,0.365,0.11,0.4465,0.213,9
F,0.64,0.5,0.17,1.2645,0.565,9
M,0.41,0.315,0.095,0.306,0.121,9
M,0.345,0.255,0.09,0.2005,0.094,9
F,0.515,0.42,0.135,0.6295,0.2815,9
F,0.57,0.465,0.155,0.9685,0.446,9
I,0.57,0.445,0.155,0.867,0.3705,9
F,0.6,0.45,0.15,0.9625,0.4375,9
F,0.61,0.5,0.18,1.438,0.5185,9
F,0.495,0.41,0.125,0.7555,0.3355,9
I,0.335,0.255,0.085,0.1785,0.071,9
M,0.44,0.35,0.11,0.4585,0.2,9
I,0.475,0.365,0.125,0.5465,0.229,9
I,0.49,0.39,0.12,0.511,0.2205,9
I,0.485,0.355,0.105,0.498,0.2175,9
F,0.57,0.445,0.15,0.995,0.504,9
F,0.62,0.49,0.16,1.056,0.493,9
M,0.67,0.52,0.19,1.6385,0.8115,9
F,0.635,0.49,0.155,1.145,0.4775,9
I,0.35,0.265,0.11,0.209,0.066,9
M,0.63,0.47,0.145,1.1005,0.52,9
M,0.555,0.425,0.15,0.873,0.4625,9
I,0.54,0.395,0.135,0.6555,0.2705,9
I,0.58,0.445,0.125,0.7095,0.303,9
M,0.615,0.51,0.15,1.296,0.545,9
M,0.65,0.525,0.185,1.3455,0.586,9
M,0.44,0.335,0.11,0.394,0.157,9
M,0.515,0.455,0.135,0.7225,0.295,9
F,0.45,0.325,0.135,0.438,0.1805,9
F,0.6,0.47,0.17,1.0805,0.4995,9
M,0.615,0.48,0.175,1.118,0.446,9
F,0.62,0.465,0.14,1.1605,0.6005,9
M,0.425,0.305,0.11,0.359,0.173,9
M,0.505,0.39,0.12,0.653,0.3315,9
M,0.455,0.34,0.135,0.462,0.1675,9
F,0.555,0.43,0.135,0.812,0.4055,9
I,0.475,0.375,0.11,0.456,0.182,9
M,0.61,0.47,0.17,1.1185,0.5225,9
I,0.485,0.37,0.115,0.457,0.1885,9
M,0.57,0.435,0.125,0.8965,0.383,9
F,0.58,0.45,0.155,0.93,0.385,9
M,0.36,0.295,0.1,0.2105,0.066,9
M,0.63,0.505,0.17,1.0915,0.4615,9
M,0.515,0.37,0.115,0.6145,0.3415,9
M,0.54,0.405,0.125,0.891,0.4815,9
I,0.53,0.425,0.13,0.7675,0.419,9
F,0.54,0.42,0.13,0.7505,0.368,9
F,0.575,0.47,0.165,0.869,0.435,9
F,0.625,0.49,0.155,1.115,0.484,9
I,0.555,0.425,0.145,0.7905,0.3485,9
I,0.44,0.35,0.12,0.375,0.1425,9
M,0.53,0.41,0.125,0.769,0.346,9
M,0.66,0.5,0.165,1.3195,0.667,9
I,0.575,0.44,0.125,0.8515,0.4555,9
M,0.45,0.34,0.13,0.3715,0.1605,9
M,0.605,0.475,0.155,1.161,0.572,9
I,0.55,0.42,0.155,0.912,0.495,9
I,0.465,0.36,0.105,0.452,0.22,9
M,0.61,0.47,0.165,1.052,0.498,9
I,0.435,0.355,0.125,0.4075,0.1535,9
F,0.525,0.43,0.135,0.8435,0.4325,9
F,0.605,0.485,0.16,1.201,0.417,9
F,0.545,0.41,0.115,0.6765,0.29,9
I,0.42,0.305,0.11,0.28,0.094,9
F,0.645,0.52,0.175,1.3345,0.667,10
I,0.395,0.295,0.1,0.2715,0.134,10
M,0.605,0.475,0.15,1.15,0.575,10
M,0.645,0.505,0.165,1.307,0.4335,10
F,0.55,0.45,0.15,0.875,0.362,10
F,0.58,0.455,0.12,1.0735,0.479,10
F,0.59,0.455,0.15,0.976,0.465,10
F,0.615,0.455,0.145,1.1155,0.5045,10
M,0.62,0.525,0.155,1.085,0.454,10
I,0.435,0.34,0.11,0.407,0.1685,10
M,0.69,0.53,0.19,1.5955,0.678,10
F,0.61,0.46,0.145,1.1185,0.478,10
M,0.625,0.49,0.175,1.3325,0.5705,10
F,0.61,0.495,0.175,1.2635,0.53,10
F,0.47,0.375,0.125,0.5615,0.252,10
M,0.58,0.44,0.15,1.0465,0.518,10
F,0.635,0.505,0.145,1.1345,0.505,10
F,0.62,0.48,0.165,1.0125,0.5325,10
M,0.505,0.385,0.115,0.4825,0.21,10
F,0.67,0.525,0.195,1.42,0.573,10
F,0.655,0.525,0.175,1.348,0.5855,10
I,0.59,0.475,0.145,0.9745,0.4675,10
M,0.59,0.44,0.135,0.966,0.439,10
M,0.635,0.525,0.185,1.4065,0.684,10
M,0.605,0.455,0.16,1.1215,0.533,10
M,0.51,0.39,0.125,0.6565,0.262,10
I,0.54,0.415,0.155,0.702,0.322,10
I,0.52,0.41,0.14,0.699,0.3395,10
F,0.56,0.445,0.155,1.224,0.5565,10
I,0.515,0.35,0.105,0.4745,0.213,10
I,0.555,0.43,0.155,0.7395,0.3135,10
M,0.53,0.42,0.135,0.675,0.294,10
F,0.605,0.465,0.155,1.1,0.547,10
M,0.66,0.51,0.18,1.261,0.5,10
M,0.66,0.505,0.165,1.374,0.589,10
M,0.57,0.44,0.145,0.8815,0.3605,10
F,0.71,0.5,0.15,1.3165,0.6835,10
