@relation abalone

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.155,0.469,10
M,0.13,0.365,10
M,0.17,0.508,10
M,0.135,0.373,10
F,0.17,0.535,10
M,0.165,0.694,10
I,0.155,0.3755,10
M,0.17,0.435,10
I,0.14,0.295,10
M,0.185,0.5995,10
M,0.175,0.3155,10
M,0.17,0.4815,10
M,0.16,0.465,10
F,0.145,0.505,10
I,0.13,0.403,10
F,0.17,0.6135,10
M,0.135,0.405,10
M,0.165,0.559,10
M,0.15,0.518,10
F,0.115,0.093,10
I,0.11,0.1685,10
M,0.165,0.279,10
F,0.15,0.618,10
F,0.16,0.4995,10
F,0.175,0.6775,10
I,0.14,0.362,10
M,0.1,0.0675,10
F,0.14,0.4205,10
F,0.095,0.1205,10
F,0.11,0.0945,10
M,0.175,0.4865,10
F,0.17,0.4905,10
M,0.175,0.6575,10
M,0.19,0.678,10
M,0.17,0.438,10
M,0.16,0.5005,10
F,0.165,0.1905,10
I,0.13,0.2955,10
M,0.155,0.454,10
M,0.065,0.0705,10
I,0.145,0.339,10
M,0.105,0.2025,10
M,0.165,0.699,10
M,0.185,0.684,10
F,0.165,0.5215,10
I,0.165,0.482,10
I,0.22,0.7735,10
M,0.15,0.4965,10
M,0.165,0.632,10
F,0.15,0.385,10
M,0.145,0.38,10
I,0.1,0.134,10
F,0.185,0.6565,10
M,0.19,0.6115,10
M,0.155,0.554,10
M,0.155,0.512,10
F,0.17,0.506,10
F,0.155,0.509,10
F,0.15,0.4305,10
M,0.145,0.292,10
M,0.135,0.3265,10
F,0.11,0.1255,10
F,0.12,0.2105,10
F,0.15,0.4625,10
F,0.1,0.1675,10
M,0.145,0.4645,10
F,0.16,0.2845,10
M,0.18,0.8005,10
F,0.145,0.419,10
M,0.175,0.5705,10
M,0.2,0.6705,10
M,0.175,0.5395,10
M,0.21,1.1705,10
F,0.155,0.547,10
F,0.155,0.767,10
M,0.155,0.388,10
M,0.135,0.3305,10
M,0.21,0.664,10
M,0.2,0.564,10
F,0.125,0.289,10
F,0.175,0.8035,10
M,0.135,0.313,10
M,0.17,0.382,10
I,0.14,0.2095,10
F,0.21,0.818,10
F,0.125,0.245,10
M,0.14,0.1535,10
M,0.16,0.623,10
M,0.165,0.6035,10
I,0.14,0.3395,10
F,0.12,0.192,10
I,0.135,0.257,10
I,0.135,0.358,10
M,0.145,0.3795,10
M,0.15,0.581,10
M,0.165,0.6565,10
I,0.085,0.0705,10
M,0.205,1.1055,10
F,0.175,0.545,10
F,0.065,0.0745,10
F,0.155,0.4565,10
I,0.14,0.331,10
M,0.16,0.6325,10
M,0.18,0.5475,10
F,0.175,0.609,10
M,0.18,0.4785,10
F,0.17,0.6535,10
F,0.155,0.484,10
M,0.14,0.4925,10
I,0.14,0.2405,10
F,0.145,0.508,10
F,0.165,0.5835,10
F,0.175,0.4055,10
I,0.115,0.2085,10
M,0.155,0.583,10
F,0.11,0.12,10
F,0.225,0.739,10
M,0.125,0.1895,10
F,0.14,0.4305,10
F,0.165,0.6,10
M,0.195,0.5935,10
M,0.18,0.495,10
F,0.175,0.4755,10
I,0.13,0.181,10
F,0.125,0.2945,10
M,0.08,0.06,10
F,0.13,0.146,10
F,0.195,1.0745,10
F,0.155,0.452,10
M,0.13,0.2075,10
I,0.105,0.167,10
M,0.13,0.0895,10
M,0.085,0.108,10
M,0.1,0.1465,10
M,0.175,0.739,10
F,0.125,0.1985,10
F,0.19,0.707,10
M,0.145,0.511,10
M,0.14,0.419,10
F,0.195,0.6045,10
M,0.175,0.7395,10
M,0.11,0.1805,10
I,0.145,0.3025,10
F,0.14,0.385,10
M,0.15,0.4315,10
F,0.21,0.724,10
M,0.17,0.582,10
M,0.18,0.4405,10
F,0.125,0.2775,10
M,0.13,0.2425,10
M,0.17,0.4565,10
F,0.105,0.12,10
I,0.15,0.565,10
M,0.15,0.5205,10
F,0.175,0.4355,10
I,0.135,0.45,10
F,0.14,0.346,10
F,0.135,0.1925,10
F,0.185,0.8195,10
F,0.185,0.531,10
M,0.14,0.204,10
M,0.155,0.3285,10
I,0.14,0.305,10
I,0.11,0.378,10
M,0.09,0.0725,10
M,0.175,0.651,10
F,0.13,0.3125,10
M,0.205,0.8295,10
M,0.165,0.589,10
F,0.125,0.261,10
M,0.145,0.6025,10
M,0.14,0.207,10
F,0.125,0.2945,10
M,0.125,0.2155,10
F,0.195,0.5985,10
M,0.15,0.407,10
M,0.155,0.513,10
M,0.08,0.515,10
M,0.125,0.119,10
F,0.2,0.9035,10
F,0.165,0.4835,10
M,0.185,0.52,10
M,0.195,0.6165,10
F,0.145,0.437,10
F,0.175,0.667,10
F,0.15,0.515,10
F,0.15,0.531,10
F,0.145,0.4315,10
M,0.12,0.2525,10
I,0.13,0.233,10
M,0.16,0.5625,10
I,0.155,0.322,10
M,0.17,0.4795,10
M,0.175,0.554,10
M,0.155,0.462,10
F,0.14,0.1965,10
M,0.145,0.3945,10
F,0.155,0.4935,10
M,0.185,0.482,10
F,0.155,0.653,10
F,0.155,0.4475,10
I,0.115,0.2555,10
F,0.19,0.536,10
M,0.14,0.244,10
M,0.135,0.207,10
M,0.165,0.4465,10
M,0.18,0.586,10
M,0.165,0.5825,10
M,0.18,0.9115,10
I,0.15,0.3685,10
M,0.215,0.8825,10
M,0.15,0.4985,10
F,0.15,0.4115,10
M,0.18,0.4715,10
M,0.16,0.5035,10
M,0.14,0.419,10
F,0.15,0.498,10
M,0.19,0.59,10
M,0.19,0.889,10
F,0.145,0.3425,10
F,0.155,0.5565,10
F,0.165,0.543,10
M,0.195,0.592,10
F,0.175,0.5805,10
M,0.185,0.522,10
M,0.175,0.5715,10
F,0.16,0.429,10
M,0.18,0.871,10
I,0.1,0.1145,10
F,0.09,0.096,10
M,0.155,0.4735,10
F,0.17,0.6235,10
M,0.12,0.2945,10
M,0.15,0.382,10
M,0.175,0.656,10
M,0.155,0.4415,10
F,0.13,0.439,10
M,0.16,0.534,10
F,0.19,0.492,10
I,0.11,0.095,10
I,0.14,0.3125,10
M,0.135,0.439,10
M,0.17,0.671,10
M,0.17,0.339,10
M,0.18,0.5815,10
M,0.195,0.4935,10
M,0.2,0.893,10
M,0.16,0.441,10
M,0.16,0.55,10
F,0.13,0.182,10
M,0.16,0.539,10
M,0.15,0.5315,10
F,0.16,0.4835,10
M,0.115,0.18,10
F,0.17,0.622,10
I,0.135,0.364,10
I,0.125,0.2985,10
M,0.135,0.368,10
M,0.165,0.8,10
F,0.165,0.4535,10
M,0.2,0.919,10
F,0.175,0.5205,10
F,0.15,0.3455,10
M,0.19,0.755,10
M,0.105,0.188,10
M,0.13,0.349,10
I,0.125,0.252,10
F,0.16,0.5445,10
F,0.125,0.222,10
F,0.165,1.0685,10
I,0.185,0.439,10
M,0.155,0.405,10
M,0.155,0.705,10
M,0.09,0.0615,10
M,0.195,0.6505,10
M,0.14,0.4625,10
M,0.095,0.0875,10
M,0.18,0.565,10
F,0.165,0.5325,10
M,0.175,0.691,10
M,0.185,0.4985,10
M,0.145,0.3925,10
M,0.195,0.617,10
F,0.165,0.444,10
F,0.23,0.8655,10
M,0.19,0.667,10
I,0.135,0.285,10
M,0.145,0.665,10
I,0.155,0.4865,10
M,0.135,0.2875,10
F,0.1,0.188,10
F,0.16,0.5005,10
M,0.185,0.434,10
F,0.16,0.3155,10
F,0.135,0.5005,10
F,0.13,0.277,10
M,0.14,0.245,10
I,0.155,0.3135,10
I,0.15,0.2605,10
F,0.135,0.429,10
F,0.205,0.5925,10
F,0.12,0.347,10
F,0.175,0.5305,10
M,0.195,0.594,10
F,0.145,0.2725,10
M,0.175,0.5315,10
M,0.18,0.423,10
F,0.14,0.459,10
I,0.15,0.3015,10
F,0.16,0.5095,10
I,0.155,0.425,10
M,0.13,0.2995,10
M,0.165,0.3935,10
F,0.175,0.5855,10
F,0.18,0.6345,10
F,0.18,0.539,10
M,0.14,0.2455,10
M,0.12,0.456,10
M,0.14,0.3105,10
I,0.17,0.28,10
M,0.155,0.492,10
F,0.145,0.478,10
F,0.18,0.7765,10
M,0.515,1.1075,10
F,0.195,0.708,10
M,0.125,0.2565,10
F,0.145,0.3325,10
M,0.16,0.516,10
F,0.19,0.564,10
F,0.175,0.4935,10
M,0.125,0.262,10
F,0.175,0.7035,10
F,0.185,0.747,10
M,0.15,0.352,10
F,0.16,0.3145,10
F,0.11,0.1225,10
M,0.175,0.4635,10
F,0.095,0.078,10
M,0.17,0.5395,10
F,0.125,0.237,10
F,0.11,0.206,10
M,0.165,0.797,10
F,0.155,0.341,10
F,0.165,0.5505,10
F,0.155,0.5265,10
I,0.135,0.434,10
I,0.15,0.307,10
F,0.15,0.4505,10
F,0.195,0.573,10
M,0.19,0.517,10
M,0.135,0.294,10
M,0.185,0.3635,10
M,0.19,0.6325,10
I,0.14,0.4005,10
F,0.205,0.9915,10
M,0.135,0.432,10
M,0.105,0.1305,10
F,0.16,0.605,10
F,0.13,0.153,10
F,0.165,0.4945,10
I,0.13,0.3155,10
M,0.16,0.5715,10
M,0.195,0.5885,10
M,0.155,0.3595,10
F,0.15,0.363,10
M,0.165,0.5055,10
F,0.17,0.525,10
F,0.175,0.5105,10
F,0.15,0.629,10
I,0.15,0.302,10
I,0.135,0.3615,10
M,0.175,0.6395,10
M,0.165,0.4025,10
F,0.185,0.548,10
F,0.15,0.329,10
F,0.155,0.4305,10
I,0.105,0.1285,10
M,0.15,0.386,10
M,0.13,0.368,10
M,0.23,0.8105,10
I,0.13,0.347,10
M,0.165,0.5175,10
I,0.14,0.3285,10
M,0.08,0.0535,10
F,0.175,0.5465,10
M,0.155,0.5325,10
F,0.135,0.318,10
F,0.115,0.2635,10
M,0.145,0.463,10
F,0.16,0.271,10
F,0.175,0.4375,10
M,0.175,0.5635,10
M,0.17,0.5205,10
M,0.19,0.293,10
M,0.13,0.2105,10
F,0.175,0.6765,10
I,0.125,0.2075,10
M,0.165,0.5165,10
M,0.2,0.6065,10
M,0.12,0.224,10
F,0.155,0.6145,10
F,0.155,0.6675,10
I,0.12,0.2505,10
I,0.15,0.3535,10
F,0.16,0.5475,10
F,0.13,0.302,10
F,0.185,0.3515,10
M,0.14,0.327,10
M,0.09,0.0615,10
I,0.145,0.354,10
M,0.155,0.6615,10
M,0.14,0.3465,10
M,0.155,0.6245,10
F,0.14,0.3165,10
I,0.135,0.245,10
M,0.155,0.6355,10
M,0.135,0.436,10
M,0.09,0.11,10
F,0.165,0.5415,10
M,0.135,0.1655,10
M,0.13,0.2595,10
I,0.145,0.3065,10
F,0.135,0.362,10
F,0.115,0.2105,10
F,0.17,0.4625,10
F,0.15,0.2905,10
M,0.14,0.3965,10
M,0.125,0.3245,10
F,0.19,0.573,10
I,0.145,0.5165,10
F,0.15,0.6835,10
F,0.115,0.1475,10
I,0.105,0.1665,10
M,0.12,0.215,10
M,0.12,0.149,10
F,0.17,0.5475,10
I,0.115,0.232,10
F,0.2,0.567,10
F,0.205,0.802,10
F,0.105,0.159,10
M,0.105,0.1135,10
M,0.185,0.592,10
F,0.165,0.37,10
M,0.13,0.2855,10
M,0.13,0.49,10
M,0.165,0.481,10
F,0.125,0.252,10
F,0.09,0.0775,10
F,0.175,0.391,10
M,0.14,0.325,10
F,0.22,0.929,10
M,0.175,0.8745,10
F,0.155,0.5015,10
M,0.185,0.6895,10
I,0.105,0.213,10
F,0.195,1.0265,10
F,0.145,0.249,10
F,0.14,0.3265,10
M,0.09,0.0725,10
I,0.11,0.2755,10
M,0.16,0.341,10
M,0.175,0.3275,10
M,0.14,0.5445,10
I,0.155,0.4725,10
F,0.15,0.362,10
F,0.125,0.146,10
F,0.16,0.556,10
M,0.15,0.5195,10
M,0.18,0.479,10
F,0.15,0.533,10
M,0.15,0.411,10
F,0.15,0.2085,10
M,0.125,0.277,10
M,0.16,0.494,10
F,0.13,0.1645,10
M,0.165,0.575,10
F,0.175,0.675,10
F,0.17,0.615,10
I,0.145,0.364,10
I,0.1,0.08,10
I,0.14,0.3915,10
M,0.19,0.89,10
M,0.135,0.28,10
M,0.155,0.671,10
F,0.135,0.461,10
F,0.18,0.5945,10
I,0.11,0.123,10
M,0.18,0.5,10
F,0.14,0.37,10
F,0.145,0.295,10
F,0.175,0.53,10
F,0.175,0.6095,10
F,0.185,0.5985,10
M,0.195,0.6465,10
I,0.135,0.488,10
M,0.185,0.3745,10
F,0.185,0.54,10
I,0.14,0.2495,10
M,0.185,0.6645,10
M,0.15,0.407,10
F,0.145,0.5045,10
I,0.155,0.412,10
M,0.15,0.519,10
M,0.17,0.57,10
M,0.21,1.005,10
F,0.175,0.6205,10
M,0.155,0.4275,10
M,0.115,0.21,10
M,0.18,0.4865,10
M,0.185,0.5075,10
F,0.12,0.479,10
F,0.18,0.637,10
F,0.15,0.596,10
F,0.225,0.6805,10
M,0.125,0.266,10
F,0.165,0.5075,10
M,0.17,0.567,10
M,0.17,0.4845,10
M,0.16,0.3345,10
F,0.12,0.2895,10
M,0.165,0.4895,10
F,0.16,0.272,10
F,0.165,0.4815,10
M,0.12,0.197,10
M,0.175,0.7645,10
F,0.18,0.7765,10
I,0.1,0.083,10
M,0.16,0.533,10
F,0.165,0.289,10
I,0.15,0.3845,10
F,0.165,0.513,10
F,0.14,0.3115,10
I,0.1,0.1535,10
M,0.185,0.885,10
I,0.125,0.163,8
I,0.125,0.205,8
M,0.14,0.6165,8
M,0.115,0.1685,8
I,0.15,0.3425,8
I,0.12,0.249,8
M,0.115,0.2235,8
F,0.14,0.375,8
F,0.15,0.433,8
M,0.1,0.106,8
M,0.115,0.2125,8
F,0.15,0.54,8
I,0.115,0.2055,8
F,0.165,0.583,8
I,0.165,0.4235,8
I,0.095,0.1125,8
I,0.095,0.1385,8
M,0.15,0.5795,8
M,0.16,0.629,8
I,0.1,0.1745,8
I,0.135,0.2295,8
M,0.15,0.3635,8
F,0.145,0.412,8
F,0.15,0.4605,8
F,0.13,0.3075,8
M,0.155,0.3645,8
I,0.11,0.1495,8
M,0.11,0.2185,8
F,0.14,0.367,8
I,0.095,0.1785,8
I,0.125,0.3395,8
I,0.14,0.3445,8
I,0.125,0.233,8
F,0.14,0.438,8
I,0.11,0.2165,8
F,0.18,0.514,8
M,0.125,0.32,8
I,0.11,0.211,8
F,0.15,0.5455,8
F,0.125,0.206,8
I,0.13,0.325,8
M,0.145,0.3945,8
I,0.115,0.14,8
M,0.12,0.199,8
M,0.175,0.709,8
M,0.11,0.253,8
M,0.13,0.2075,8
M,0.09,0.1305,8
I,0.145,0.3045,8
F,0.145,0.43,8
I,0.095,0.073,8
I,0.105,0.195,8
F,0.16,0.4925,8
M,0.15,0.537,8
I,0.125,0.294,8
M,0.15,0.3795,8
I,0.11,0.416,8
I,0.095,0.0985,8
I,0.125,0.3395,8
M,0.14,0.3685,8
I,0.11,0.195,8
I,0.135,0.3035,8
M,0.145,0.43,8
I,0.12,0.251,8
I,0.125,0.238,8
M,0.085,0.2945,8
I,0.14,0.414,8
M,0.145,0.4475,8
I,0.14,0.2425,8
I,0.1,0.1305,8
I,0.12,0.197,8
M,0.16,0.5315,8
F,0.135,0.434,8
I,0.14,0.1895,8
M,0.09,0.457,8
F,0.15,0.4235,8
F,0.14,0.277,8
I,0.135,0.2145,8
I,0.125,0.2695,8
I,0.12,0.2235,8
M,0.135,0.539,8
F,0.115,0.318,8
M,0.15,0.371,8
M,0.15,0.481,8
F,0.135,0.427,8
F,0.135,0.259,8
I,0.125,0.21,8
I,0.1,0.2535,8
M,0.14,0.477,8
F,0.135,0.4065,8
F,0.14,0.3475,8
F,0.15,0.371,8
I,0.09,0.138,8
I,0.135,0.27,8
M,0.15,0.413,8
F,0.095,0.1255,8
M,0.155,0.4365,8
M,0.14,0.341,8
I,0.14,0.2,8
I,0.09,0.151,8
F,0.16,0.5635,8
I,0.16,0.35,8
M,0.105,0.227,8
F,0.18,0.1525,8
I,0.09,0.135,8
I,0.11,0.3015,8
I,0.12,0.1775,8
F,0.195,0.417,8
F,0.15,0.428,8
I,0.105,0.197,8
F,0.13,0.411,8
M,0.11,0.2,8
F,0.105,0.148,8
I,0.105,0.136,8
I,0.115,0.1295,8
M,0.13,0.3265,8
I,0.07,0.0565,8
M,0.155,0.321,8
I,0.15,0.3595,8
I,0.1,0.15,8
I,0.14,0.171,8
F,0.15,0.6025,8
M,0.165,0.5575,8
F,0.14,0.3085,8
M,0.14,0.2855,8
I,0.11,0.225,8
M,0.155,0.465,8
I,0.07,0.053,8
M,0.155,0.637,8
I,0.12,0.152,8
M,0.12,0.234,8
M,0.15,0.444,8
I,0.09,0.129,8
I,0.125,0.288,8
F,0.135,0.2945,8
I,0.095,0.1645,8
I,0.09,0.12,8
M,0.155,0.589,8
F,0.165,0.7595,8
F,0.11,0.4445,8
F,0.11,0.165,8
I,0.105,0.187,8
I,0.09,0.1795,8
M,0.135,0.472,8
I,0.14,0.14,8
I,0.15,0.3975,8
F,0.16,0.5225,8
F,0.15,0.4,8
I,0.115,0.25,8
F,0.15,0.4175,8
I,0.13,0.264,8
I,0.08,0.0865,8
I,0.09,0.1525,8
I,0.135,0.3815,8
I,0.12,0.2005,8
I,0.13,0.358,8
I,0.105,0.21,8
I,0.13,0.2835,8
M,0.1,0.1885,8
I,0.15,0.486,8
I,0.11,0.2935,8
F,0.155,0.427,8
M,0.105,0.2575,8
I,0.155,0.349,8
I,0.11,0.1485,8
I,0.1,0.124,8
M,0.125,0.372,8
M,0.125,0.254,8
M,0.15,0.456,8
F,0.1,0.093,8
M,0.135,0.3035,8
I,0.125,0.2485,8
F,0.15,0.4055,8
I,0.135,0.368,8
M,0.16,0.479,8
I,0.13,0.2375,8
F,0.12,0.29,8
I,0.14,0.181,8
I,0.13,0.2355,8
I,0.125,0.2755,8
M,0.15,0.347,8
F,0.115,0.1635,8
I,0.13,0.3065,8
I,0.08,0.0435,8
I,0.095,0.115,8
F,0.135,0.4025,8
I,0.145,0.3985,8
I,0.09,0.141,8
I,0.105,0.156,8
I,0.11,0.207,8
F,0.17,0.583,8
I,0.145,0.453,8
I,0.08,0.0825,8
I,0.14,0.25,8
I,0.11,0.25,8
F,0.145,0.4215,8
M,0.12,0.3125,8
F,0.1,0.1635,8
M,0.16,0.42,8
M,0.18,0.336,8
M,0.145,0.404,8
M,0.125,0.2165,8
I,0.11,0.1675,8
M,0.135,0.2765,8
F,0.16,0.5015,8
I,0.11,0.253,8
I,0.145,0.2545,8
I,0.135,0.3475,8
M,0.12,0.2725,8
M,0.145,0.497,8
M,0.125,0.398,8
F,0.125,0.5475,8
F,0.115,0.2105,8
I,0.125,0.2525,8
I,0.13,0.294,8
I,0.135,0.2065,8
F,0.145,0.41,8
I,0.12,0.1525,8
M,0.15,0.564,8
I,0.135,0.261,8
M,0.135,0.3935,8
M,0.165,0.604,8
I,0.11,0.191,8
M,0.15,0.504,8
I,0.13,0.296,8
M,0.09,0.05,8
M,0.08,0.144,8
F,0.135,0.3345,8
I,0.18,0.2055,8
I,0.13,0.266,8
F,0.09,0.078,8
I,0.12,0.2385,8
I,0.11,0.2415,8
I,0.125,0.2135,8
I,0.14,0.278,8
M,0.125,0.355,8
M,0.085,0.042,8
M,0.13,0.349,8
I,0.115,0.092,8
I,0.095,0.141,8
I,0.145,0.373,8
F,0.175,0.551,8
F,0.185,0.536,8
I,0.15,0.3095,8
I,0.1,0.1765,8
I,0.145,0.332,8
I,0.11,0.1855,8
I,0.115,0.241,8
M,0.14,0.3495,8
I,0.12,0.1875,8
I,0.105,0.234,8
F,0.135,0.1505,8
F,0.125,0.2865,8
I,0.12,0.2835,8
F,0.165,0.4985,8
I,0.07,0.036,8
M,0.145,0.4165,8
M,0.135,0.25,8
F,0.14,0.2905,8
I,0.09,0.134,8
M,0.12,0.224,8
I,0.125,0.2505,8
M,0.14,0.3735,8
M,0.125,0.2345,8
F,0.145,0.3395,8
I,0.11,0.211,8
M,0.11,0.21,8
I,0.105,0.175,8
M,0.12,0.2435,8
I,0.115,0.212,8
I,0.085,0.112,8
I,0.14,0.289,8
F,0.165,0.684,8
I,0.085,0.1235,8
M,0.185,0.7725,8
I,0.105,0.248,8
I,0.15,0.339,8
I,0.11,0.1985,8
I,0.125,0.2255,8
F,0.115,0.19,8
M,0.16,0.597,8
I,0.105,0.2505,8
I,0.125,0.3175,8
I,0.09,0.1,8
I,0.08,0.038,8
M,0.105,0.0815,8
M,0.115,0.0975,8
I,0.13,0.327,8
I,0.12,0.268,8
M,0.11,0.1225,8
I,0.12,0.2455,8
I,0.075,0.037,8
F,0.13,0.3695,8
I,0.14,0.3495,8
F,0.115,0.1955,8
M,0.145,0.3295,8
F,0.18,0.4945,8
I,0.115,0.2065,8
M,0.1,0.246,8
I,0.09,0.3165,8
F,0.14,0.4735,8
F,0.155,0.4255,8
M,0.12,0.234,8
M,0.11,0.2935,8
M,0.145,0.3525,8
I,0.115,0.1625,8
F,0.155,0.3005,8
M,0.185,0.544,8
M,0.115,0.1565,8
M,0.12,0.2435,8
M,0.14,0.5265,8
M,0.15,0.387,8
F,0.08,0.093,8
I,0.13,0.2695,8
I,0.11,0.1525,8
M,0.12,0.266,8
I,0.12,0.259,8
I,0.105,0.2875,8
M,0.13,0.214,8
F,0.11,0.1405,8
F,0.14,0.3905,8
M,0.185,0.587,8
I,0.11,0.194,8
M,0.115,0.2575,8
I,0.12,0.2375,8
I,0.145,0.334,8
F,0.16,0.405,8
F,0.135,0.282,8
I,0.12,0.3075,8
F,0.135,0.3935,8
I,0.095,0.1415,8
I,0.11,0.201,8
I,0.125,0.292,8
I,0.115,0.261,8
I,0.12,0.2855,8
I,0,0.2065,8
F,0.15,0.453,8
M,0.1,0.243,8
I,0.07,0.045,8
I,0.125,0.3465,8
I,0.085,0.092,8
F,0.125,0.4035,8
I,0.105,0.1605,8
M,0.155,0.61,8
M,0.13,0.3695,8
M,0.175,0.258,8
F,0.155,0.6235,8
I,0.135,0.2735,8
M,0.15,0.44,8
I,0.13,0.2895,8
M,0.085,0.1145,8
I,0.11,0.1825,8
F,0.16,0.3485,8
M,0.12,0.2825,8
I,0.085,0.053,8
F,0.15,0.395,8
M,0.135,0.5315,8
F,0.145,0.5155,8
I,0.135,0.31,8
I,0.12,0.167,8
M,0.15,0.5305,8
M,0.145,0.691,8
I,0.155,0.2465,8
I,0.085,0.1215,8
I,0.12,0.261,8
I,0.125,0.2215,8
M,0.15,0.4765,8
F,0.115,0.184,8
F,0.14,0.4895,8
M,0.19,0.6715,8
I,0.11,0.2015,8
M,0.13,0.37,8
F,1.13,0.332,8
I,0.115,0.2025,8
I,0.125,0.279,8
M,0.095,0.11,8
I,0.095,0.0795,8
M,0.155,0.5085,8
I,0.125,0.2075,8
M,0.145,0.547,8
I,0.13,0.349,8
I,0.09,0.106,8
M,0.075,0.0615,8
I,0.07,0.0545,8
F,0.13,0.391,8
I,0.11,0.135,8
I,0.13,0.3355,8
I,0.125,0.293,8
I,0.09,0.0855,8
F,0.155,0.477,8
M,0.115,0.175,8
I,0.1,0.105,8
I,0.125,0.32,8
M,0.155,0.486,8
I,0.12,0.1815,8
M,0.13,0.2405,8
F,0.13,0.3125,8
I,0.125,0.2435,8
F,0.12,0.2765,8
F,0.15,0.2635,8
I,0.11,0.2385,8
M,0.15,0.4095,8
M,0.135,0.4235,8
I,0.1,0.1395,8
I,0.12,0.214,8
F,0.16,0.445,8
F,0.19,0.593,8
I,0.075,0.082,8
M,0.105,0.0865,8
F,0.145,0.5585,8
I,0.135,0.372,8
M,0.1,0.1065,8
F,0.12,0.134,8
M,0.125,0.347,8
M,0.115,0.19,8
M,0.115,0.171,8
I,0.14,0.3595,8
I,0.18,0.4955,8
I,0.1,0.0785,8
M,0.135,0.2505,8
I,0.12,0.255,8
I,0.135,0.226,8
M,0.115,0.25,8
I,0.135,0.4005,8
M,0.13,0.343,8
I,0.13,0.245,8
M,0.17,0.696,8
I,0.1,0.252,8
I,0.105,0.111,8
M,0.1,0.194,8
M,0.15,0.4155,8
F,0.12,0.2555,8
M,0.15,0.5185,8
F,0.115,0.32,8
M,0.125,0.3065,8
F,0.16,0.509,8
F,0.12,0.2705,8
I,0.115,0.1885,8
I,0.11,0.1325,8
M,0.155,0.4,8
I,0.145,0.205,8
M,0.13,0.174,8
F,0.15,0.328,8
F,0.13,0.325,8
M,0.14,0.416,8
F,0.155,0.336,8
M,0.12,0.192,8
I,0.1,0.1125,8
M,0.115,0.166,8
M,0.16,0.221,8
I,0.095,0.1135,8
F,0.105,0.237,8
F,0.16,0.585,8
M,0.165,0.498,8
F,0.145,0.3985,8
I,0.095,0.1495,8
M,0.135,0.3165,8
I,0.12,0.2465,8
I,0.095,0.175,8
I,0.15,0.377,8
I,0.11,0.3015,8
F,0.15,0.5415,8
I,0.14,0.298,8
I,0.085,0.072,8
I,0.13,0.353,8
I,0.12,0.2375,8
F,0.14,0.479,8
I,0.145,0.2825,8
I,0.115,0.204,8
M,0.095,0.3395,8
F,0.15,0.366,8
F,0.175,0.4485,8
M,0.13,0.41,8
I,0.125,0.358,8
F,0.16,0.4315,8
F,0.135,0.3765,8
F,0.135,0.221,8
F,0.12,0.165,8
I,0.105,0.1185,8
I,0.085,0.097,8
M,0.085,0.069,8
I,0.11,0.271,8
I,0.11,0.1755,8
I,0.115,0.2275,8
M,0.14,0.3415,8
I,0.1,0.358,8
I,0.135,0.196,8
I,0.165,0.34,8
I,0.105,0.123,8
I,0.11,0.1385,8
I,0.125,0.25,8
M,0.16,0.4645,8
I,0.085,0.063,8
I,0.1,0.115,8
F,0.14,0.2565,8
I,0.09,0.077,8
F,0.135,0.484,8
M,0.2,0.4285,8
F,0.145,0.453,8
I,0.125,0.2265,8
M,0.065,0.0315,8
M,0.165,0.3765,8
I,0.105,0.1135,8
F,0.115,0.3045,8
I,0.12,0.196,8
I,0.14,0.3945,8
F,0.115,0.1335,8
M,0.14,0.4375,8
I,0.12,0.1265,8
I,0.08,0.0395,8
F,0.15,0.237,20
I,0.17,0.3935,20
M,0.205,0.7415,20
M,0.185,0.354,20
I,0.185,0.299,20
M,0.16,0.348,20
M,0.13,0.275,20
M,0.165,0.488,20
F,0.195,0.6845,20
F,0.205,0.625,20
M,0.175,0.5295,20
F,0.17,0.5595,20
M,0.185,0.487,20
F,0.175,0.61,20
F,0.17,0.3975,20
F,0.175,0.765,20
F,0.165,0.27,20
M,0.205,0.55,20
M,0.175,0.393,20
M,0.155,0.4375,20
F,0.17,0.48,20
M,0.16,0.2885,20
F,0.17,0.414,20
M,0.155,0.367,20
I,0.175,0.383,16
M,0.16,0.2925,16
F,0.225,0.8045,16
F,0.155,0.367,16
M,0.23,0.8835,16
M,0.165,0.376,16
F,0.17,0.258,16
F,0.215,0.5115,16
F,0.135,0.2225,16
M,0.15,0.377,16
F,0.21,0.616,16
I,0.18,0.5485,16
M,0.14,0.3025,16
F,0.23,0.5605,16
F,0.195,0.692,16
F,0.18,0.405,16
M,0.145,0.4035,16
I,0.165,0.159,16
F,0.16,0.592,16
M,0.175,0.4325,16
F,0.205,0.4445,16
M,0.165,0.473,16
M,0.185,0.473,16
F,0.105,0.1185,16
F,0.155,0.302,16
F,0.125,0.294,16
M,0.2,0.412,16
F,0.165,0.396,16
I,0.14,0.21,16
F,0.125,0.1585,16
F,0.215,0.564,16
M,0.215,0.546,16
M,0.235,0.413,16
M,0.14,0.202,16
M,0.185,0.3175,16
F,0.135,0.2265,16
M,0.14,0.2955,16
I,0.2,0.6255,16
M,0.2,0.443,16
M,0.165,0.292,16
F,0.195,0.305,16
F,0.18,0.54,16
M,0.185,0.4445,16
