@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.37,8
I,0.52,8
I,0.545,8
I,0.32,8
M,0.575,8
I,0.375,8
F,0.53,8
I,0.435,8
M,0.48,8
I,0.54,8
F,0.525,8
M,0.58,8
M,0.525,8
F,0.655,8
F,0.575,8
M,0.49,8
F,0.58,8
F,0.48,8
M,0.525,8
M,0.335,8
M,0.575,8
F,0.6,8
M,0.405,8
F,0.6,8
F,0.47,8
I,0.445,8
I,0.35,8
I,0.51,8
I,0.355,8
I,0.455,8
M,0.355,8
I,0.29,8
I,0.385,8
F,0.555,8
I,0.455,8
M,0.475,8
F,0.37,8
M,0.495,8
I,0.385,8
I,0.41,8
M,0.445,8
I,0.445,8
F,0.58,8
I,0.485,8
M,0.57,8
M,0.505,8
M,0.37,8
I,0.485,8
I,0.525,8
F,0.655,8
I,0.515,8
M,0.45,8
I,0.525,8
I,0.42,8
M,0.51,8
F,0.615,8
M,0.6,8
F,0.425,8
I,0.575,8
I,0.45,8
F,0.62,8
I,0.425,8
I,0.44,8
M,0.59,8
I,0.57,8
I,0.53,8
F,0.63,8
M,0.555,8
I,0.435,8
I,0.575,8
M,0.66,8
M,0.505,8
M,0.62,8
I,0.51,8
F,0.465,8
F,0.595,8
I,0.485,8
F,0.57,8
I,0.295,8
I,0.45,8
I,0.51,8
M,0.615,8
F,0.4,8
I,0.5,8
I,0.39,8
M,0.625,8
M,0.515,8
M,0.47,8
I,0.5,8
M,0.475,8
M,0.47,8
I,0.325,8
F,0.505,8
I,0.5,8
M,0.445,8
I,0.545,8
I,0.445,8
I,0.545,8
I,0.47,8
I,0.435,8
M,0.56,8
F,0.55,8
M,0.565,8
M,0.635,8
F,0.58,8
M,0.6,8
F,0.59,8
I,0.49,8
F,0.6,8
I,0.42,8
I,0.51,8
I,0.415,8
F,0.58,8
M,0.56,8
M,0.61,8
F,0.505,8
I,0.435,8
I,0.52,8
I,0.515,8
M,0.545,8
I,0.375,8
I,0.475,8
F,0.58,8
I,0.27,8
I,0.455,8
I,0.455,8
I,0.495,8
I,0.53,8
M,0.645,8
M,0.55,8
F,0.64,8
F,0.535,8
M,0.535,8
M,0.38,8
I,0.395,8
I,0.485,8
I,0.495,8
I,0.45,8
I,0.44,8
I,0.395,8
I,0.48,8
I,0.485,8
F,0.455,8
M,0.465,8
I,0.48,8
I,0.54,8
I,0.56,8
I,0.52,8
F,0.55,8
F,0.575,8
I,0.36,8
M,0.43,8
F,0.635,8
F,0.6,8
F,0.52,8
I,0.505,8
M,0.48,8
I,0.48,8
F,0.58,8
F,0.58,8
I,0.375,8
I,0.42,8
M,0.65,8
I,0.465,8
M,0.5,8
I,0.45,8
M,0.55,8
I,0.485,8
F,0.47,8
I,0.295,8
M,0.45,8
F,0.64,8
F,0.59,8
I,0.52,8
M,0.465,8
I,0.5,8
I,0.335,8
I,0.45,8
M,0.52,8
F,0.5,8
M,0.45,8
I,0.35,8
I,0.515,8
M,0.63,8
M,0.415,8
M,0.6,8
M,0.56,8
F,0.56,8
F,0.62,8
M,0.52,8
I,0.415,8
I,0.495,8
M,0.37,8
I,0.525,8
I,0.495,8
M,0.48,8
F,0.555,8
I,0.485,8
M,0.525,8
I,0.545,8
I,0.395,8
I,0.535,8
M,0.57,8
I,0.5,8
M,0.565,8
I,0.425,8
M,0.57,8
I,0.42,8
I,0.35,8
I,0.465,8
F,0.55,8
F,0.49,8
I,0.49,8
M,0.55,8
I,0.495,8
F,0.61,8
M,0.63,8
I,0.485,8
F,0.64,8
I,0.49,8
I,0.5,8
I,0.475,8
I,0.615,8
F,0.535,8
M,0.35,8
I,0.385,8
M,0.665,8
I,0.455,8
F,0.525,8
M,0.555,8
I,0.515,8
M,0.385,8
M,0.61,8
I,0.525,8
F,0.53,8
I,0.425,8
I,0.53,8
F,0.46,8
M,0.61,8
M,0.49,8
I,0.475,8
I,0.51,8
M,0.63,8
M,0.58,8
F,0.47,8
I,0.53,8
F,0.63,8
F,0.605,8
F,0.535,8
F,0.575,8
M,0.53,8
M,0.485,8
M,0.52,8
I,0.525,8
M,0.255,8
M,0.6,8
M,0.555,8
I,0.355,8
F,0.4,8
I,0.43,8
I,0.455,8
F,0.55,8
M,0.59,8
M,0.515,8
I,0.395,8
M,0.48,8
I,0.47,8
I,0.495,8
I,0.45,8
M,0.51,8
F,0.4,8
M,0.535,8
M,0.52,8
I,0.43,8
F,0.44,8
I,0.475,8
F,0.55,8
I,0.495,8
F,0.45,8
M,0.62,8
I,0.475,8
I,0.435,8
F,0.51,8
I,0.495,8
I,0.37,8
F,0.455,8
I,0.435,8
F,0.61,8
M,0.47,8
I,0.46,8
I,0.515,8
I,0.46,8
F,0.38,8
M,0.59,8
F,0.57,8
F,0.465,8
I,0.47,8
I,0.48,8
I,0.475,8
I,0.43,8
M,0.57,8
M,0.52,8
I,0.405,8
F,0.585,8
M,0.58,8
M,0.505,8
I,0.48,8
M,0.69,8
I,0.475,8
M,0.455,8
M,0.525,8
I,0.56,8
I,0.525,8
M,0.72,8
I,0.42,8
I,0.55,8
I,0.545,8
F,0.585,8
F,0.61,8
F,0.565,8
I,0.335,8
M,0.58,8
F,0.36,8
F,0.585,8
F,0.53,8
I,0.49,8
I,0.33,8
F,0.595,8
F,0.545,8
I,0.52,8
I,0.38,8
F,0.48,8
I,0.5,8
I,0.475,8
I,0.505,8
M,0.49,8
M,0.45,8
I,0.405,8
I,0.495,8
I,0.4,8
I,0.48,8
M,0.63,8
I,0.55,8
I,0.59,8
I,0.55,8
I,0.485,8
I,0.57,8
I,0.45,8
I,0.415,8
M,0.615,8
M,0.39,8
I,0.54,8
I,0.505,8
I,0.55,8
M,0.535,8
I,0.42,8
I,0.46,8
I,0.55,8
I,0.445,8
M,0.46,8
I,0.495,8
I,0.47,8
M,0.485,8
I,0.3,8
M,0.595,8
M,0.295,8
M,0.45,8
M,0.555,8
M,0.53,8
M,0.63,8
F,0.5,8
I,0.5,8
I,0.36,8
I,0.475,8
M,0.59,8
I,0.385,8
I,0.51,8
F,0.46,8
F,0.535,8
M,0.59,8
I,0.505,8
M,0.44,8
I,0.405,8
I,0.47,8
I,0.545,8
F,0.565,8
I,0.315,8
I,0.495,8
F,0.62,8
F,0.515,8
I,0.465,8
I,0.455,8
I,0.41,8
F,0.515,8
M,0.515,8
I,0.41,8
F,0.61,8
I,0.555,8
M,0.465,8
M,0.47,8
M,0.495,8
M,0.59,8
I,0.395,8
I,0.5,8
F,0.57,8
M,0.41,8
I,0.5,8
F,0.47,8
M,0.535,8
I,0.45,8
I,0.475,8
F,0.45,8
M,0.475,8
I,0.485,8
I,0.545,8
M,0.36,8
I,0.47,8
I,0.535,8
I,0.54,8
M,0.575,8
I,0.58,20
M,0.565,20
M,0.635,20
F,0.65,20
M,0.55,20
M,0.6,20
M,0.565,20
F,0.63,20
M,0.65,20
M,0.615,20
F,0.725,20
F,0.53,20
F,0.595,20
F,0.68,20
F,0.57,20
F,0.585,20
M,0.7,20
M,0.655,20
F,0.5,20
I,0.53,20
M,0.53,20
F,0.675,20
M,0.63,20
M,0.55,20
F,0.56,16
I,0.6,16
M,0.72,16
F,0.675,16
M,0.475,16
M,0.575,16
M,0.635,16
M,0.63,16
M,0.675,16
F,0.72,16
F,0.535,16
M,0.65,16
F,0.52,16
M,0.515,16
F,0.395,16
M,0.575,16
F,0.65,16
M,0.645,16
I,0.635,16
M,0.595,16
M,0.66,16
I,0.45,16
F,0.65,16
I,0.635,16
M,0.59,16
M,0.64,16
M,0.59,16
F,0.66,16
M,0.725,16
M,0.51,16
F,0.625,16
M,0.525,16
F,0.615,16
F,0.515,16
M,0.535,16
F,0.65,16
F,0.525,16
M,0.535,16
M,0.58,16
I,0.44,16
F,0.685,16
M,0.64,16
F,0.55,16
F,0.535,16
F,0.455,16
M,0.655,16
F,0.645,16
F,0.57,16
F,0.465,16
M,0.565,16
M,0.44,16
M,0.605,16
M,0.545,16
F,0.685,16
F,0.545,16
F,0.63,16
F,0.66,16
F,0.57,16
M,0.59,16
F,0.615,16
I,0.45,19
M,0.69,19
M,0.57,19
F,0.66,19
M,0.59,19
M,0.54,19
F,0.55,19
F,0.68,19
M,0.525,19
F,0.58,19
M,0.7,19
M,0.595,19
M,0.56,19
M,0.54,19
F,0.645,19
F,0.53,19
M,0.695,19
F,0.58,19
F,0.705,19
M,0.63,19
M,0.5,19
F,0.6,19
M,0.545,19
F,0.565,19
F,0.605,19
I,0.52,19
F,0.59,19
F,0.505,19
M,0.645,19
F,0.625,14
M,0.515,14
F,0.575,14
F,0.555,14
F,0.57,14
I,0.44,14
F,0.63,14
F,0.57,14
F,0.64,14
M,0.56,14
F,0.57,14
I,0.58,14
M,0.725,14
M,0.615,14
F,0.7,14
F,0.675,14
F,0.48,14
F,0.525,14
F,0.46,14
M,0.52,14
F,0.515,14
M,0.695,14
I,0.45,14
F,0.54,14
M,0.55,14
M,0.495,14
M,0.5,14
F,0.645,14
F,0.585,14
F,0.595,14
I,0.525,14
I,0.625,14
M,0.535,14
M,0.65,14
F,0.55,14
M,0.55,14
M,0.59,14
F,0.615,14
F,0.55,14
I,0.625,14
F,0.815,14
I,0.43,14
F,0.75,14
M,0.445,14
I,0.5,14
M,0.68,14
M,0.495,14
M,0.485,14
F,0.605,14
M,0.58,14
M,0.605,14
M,0.53,14
F,0.685,14
M,0.555,14
M,0.49,14
F,0.485,14
M,0.695,14
M,0.59,14
M,0.5,14
M,0.63,14
M,0.62,14
M,0.56,14
M,0.66,14
F,0.655,14
M,0.565,14
F,0.525,14
M,0.585,14
F,0.465,14
F,0.605,14
F,0.535,14
M,0.64,14
M,0.46,14
M,0.705,14
F,0.58,14
F,0.47,14
M,0.57,14
F,0.695,14
M,0.76,14
F,0.665,14
M,0.595,14
M,0.49,14
M,0.645,14
M,0.5,14
M,0.61,14
M,0.73,14
F,0.635,14
F,0.67,14
F,0.615,14
M,0.43,14
M,0.575,14
F,0.595,14
F,0.57,14
M,0.585,14
I,0.47,14
F,0.63,14
M,0.475,14
M,0.665,14
F,0.625,14
F,0.485,14
F,0.5,14
F,0.52,14
F,0.58,14
F,0.73,14
F,0.57,14
F,0.57,14
F,0.725,14
I,0.61,14
M,0.6,14
I,0.59,14
F,0.62,14
M,0.65,14
F,0.61,14
M,0.665,14
F,0.425,11
M,0.685,11
F,0.65,11
M,0.62,11
F,0.53,11
F,0.545,11
M,0.585,11
M,0.48,11
F,0.695,11
M,0.63,11
M,0.72,11
M,0.6,11
I,0.52,11
F,0.67,11
I,0.45,11
I,0.53,11
M,0.41,11
F,0.65,11
M,0.72,11
M,0.585,11
F,0.435,11
F,0.725,11
F,0.61,11
F,0.52,11
M,0.64,11
M,0.645,11
M,0.565,11
I,0.465,11
F,0.555,11
M,0.455,11
F,0.585,11
F,0.61,11
M,0.675,11
M,0.7,11
F,0.625,11
M,0.645,11
F,0.615,11
I,0.565,11
M,0.615,11
F,0.7,11
M,0.5,11
F,0.6,11
I,0.63,11
M,0.53,11
M,0.65,11
F,0.69,11
I,0.53,11
M,0.42,11
I,0.335,11
M,0.65,11
I,0.605,11
F,0.705,11
M,0.675,11
F,0.64,11
M,0.57,11
M,0.55,11
M,0.75,11
M,0.69,11
F,0.595,11
F,0.595,11
M,0.615,11
F,0.495,11
M,0.71,11
I,0.58,11
F,0.545,11
M,0.59,11
F,0.54,11
F,0.64,11
I,0.49,11
F,0.725,11
M,0.77,11
F,0.545,11
I,0.47,11
F,0.605,11
I,0.63,11
M,0.58,11
M,0.52,11
M,0.355,11
M,0.65,11
I,0.52,11
M,0.6,11
M,0.685,11
F,0.52,11
F,0.625,11
M,0.65,11
M,0.65,11
F,0.625,11
M,0.615,11
M,0.58,11
F,0.58,11
M,0.61,11
M,0.625,11
F,0.645,11
M,0.71,11
I,0.51,11
M,0.56,11
M,0.63,11
F,0.49,11
F,0.53,11
M,0.59,11
F,0.735,11
F,0.51,11
F,0.52,11
M,0.465,11
F,0.63,11
M,0.655,11
M,0.72,11
M,0.505,11
F,0.71,11
I,0.55,11
F,0.435,11
M,0.525,11
F,0.445,11
F,0.72,11
F,0.675,11
F,0.655,11
F,0.695,11
M,0.61,11
M,0.745,11
I,0.565,11
M,0.5,11
F,0.59,11
M,0.655,11
M,0.49,11
M,0.54,11
M,0.685,11
F,0.64,11
F,0.615,11
M,0.68,11
M,0.315,11
M,0.67,11
M,0.65,11
F,0.655,11
M,0.645,11
M,0.71,11
M,0.545,11
F,0.655,11
M,0.63,11
F,0.75,11
F,0.585,11
M,0.62,11
F,0.565,11
F,0.59,11
F,0.47,11
I,0.58,11
F,0.7,11
F,0.505,11
F,0.655,11
F,0.62,11
M,0.45,11
F,0.635,11
I,0.355,11
F,0.6,11
M,0.735,11
F,0.715,11
M,0.695,11
M,0.55,11
F,0.65,11
I,0.445,11
M,0.585,11
M,0.6,11
F,0.655,11
M,0.63,11
F,0.78,11
F,0.72,11
I,0.56,11
M,0.455,11
F,0.64,11
F,0.655,11
M,0.5,11
M,0.565,11
M,0.58,11
M,0.57,11
F,0.54,11
F,0.67,11
M,0.525,11
M,0.67,11
F,0.68,11
M,0.72,11
F,0.645,11
M,0.715,11
M,0.695,11
F,0.68,11
M,0.68,11
M,0.625,11
F,0.625,11
I,0.505,11
I,0.53,11
I,0.49,11
F,0.68,11
F,0.65,11
M,0.56,11
I,0.61,11
F,0.44,11
F,0.75,11
M,0.4,11
M,0.62,11
M,0.65,11
F,0.585,11
F,0.665,11
I,0.55,11
I,0.495,11
F,0.64,11
F,0.505,11
M,0.735,11
M,0.72,11
I,0.62,11
M,0.58,11
M,0.78,11
F,0.565,11
F,0.7,11
F,0.525,11
F,0.65,11
M,0.64,11
M,0.615,11
M,0.6,11
M,0.63,11
M,0.71,11
F,0.595,11
M,0.695,11
M,0.62,11
M,0.625,11
M,0.615,11
M,0.625,11
M,0.65,11
M,0.66,11
M,0.6,11
F,0.65,11
M,0.625,11
F,0.62,11
M,0.68,11
I,0.63,11
F,0.625,11
M,0.51,11
F,0.68,11
M,0.53,11
M,0.505,11
I,0.54,11
M,0.55,11
F,0.66,11
F,0.72,11
M,0.555,11
F,0.63,11
F,0.595,11
F,0.515,11
M,0.645,11
M,0.68,11
I,0.555,11
M,0.6,11
F,0.73,11
F,0.61,11
F,0.565,11
F,0.525,11
F,0.585,11
M,0.68,11
F,0.6,11
M,0.63,11
F,0.45,11
M,0.64,11
I,0.555,11
I,0.55,11
F,0.675,11
M,0.5,11
F,0.49,11
I,0.575,11
M,0.655,11
F,0.75,11
F,0.65,11
F,0.71,11
F,0.5,11
I,0.52,11
I,0.42,11
F,0.635,11
M,0.465,11
I,0.55,11
M,0.665,11
F,0.585,11
M,0.625,11
F,0.66,11
F,0.41,11
M,0.545,11
I,0.52,11
F,0.61,11
M,0.52,11
M,0.585,11
F,0.63,11
F,0.615,11
I,0.445,11
M,0.66,11
M,0.635,11
F,0.62,11
F,0.755,11
M,0.58,11
F,0.645,11
F,0.63,11
F,0.56,11
F,0.62,11
I,0.61,11
F,0.625,11
M,0.705,11
F,0.655,11
F,0.58,11
F,0.755,11
M,0.675,11
F,0.67,11
F,0.685,11
F,0.585,11
F,0.67,11
M,0.63,11
M,0.38,11
F,0.635,11
M,0.585,11
M,0.56,11
M,0.545,11
I,0.62,11
F,0.58,11
F,0.61,11
I,0.605,11
F,0.68,11
M,0.56,11
I,0.37,11
M,0.7,11
F,0.55,11
F,0.47,11
F,0.61,11
M,0.635,11
F,0.675,11
F,0.635,11
M,0.53,11
F,0.625,11
F,0.575,11
F,0.58,11
M,0.545,11
F,0.695,11
M,0.75,11
M,0.63,11
M,0.64,11
F,0.495,11
M,0.625,11
M,0.645,11
M,0.32,11
I,0.58,11
F,0.605,11
F,0.625,11
M,0.57,11
M,0.575,11
M,0.63,11
I,0.59,11
F,0.66,11
F,0.63,11
M,0.605,11
F,0.635,11
I,0.52,11
M,0.43,11
M,0.735,11
M,0.565,11
M,0.665,11
M,0.565,11
F,0.46,11
F,0.655,11
M,0.635,11
I,0.535,11
I,0.56,11
M,0.59,11
M,0.6,11
M,0.685,11
F,0.6,11
F,0.685,11
I,0.625,11
M,0.57,11
F,0.445,11
M,0.375,11
M,0.49,11
M,0.65,11
F,0.64,11
F,0.635,11
F,0.635,11
M,0.6,11
M,0.645,11
M,0.63,11
I,0.54,11
F,0.66,11
F,0.675,11
M,0.65,11
M,0.67,11
I,0.565,11
F,0.61,11
I,0.555,11
M,0.645,11
M,0.705,11
F,0.485,11
F,0.71,11
F,0.545,11
M,0.64,11
M,0.6,11
M,0.385,11
M,0.645,11
M,0.665,11
M,0.33,11
M,0.67,11
M,0.415,11
F,0.625,11
F,0.6,11
M,0.5,11
M,0.71,11
F,0.665,11
F,0.63,11
F,0.705,11
F,0.71,11
F,0.725,11
I,0.66,11
F,0.44,11
M,0.465,11
F,0.58,11
M,0.615,11
F,0.635,11
M,0.68,11
M,0.635,11
F,0.665,11
F,0.58,11
F,0.625,11
I,0.39,11
I,0.47,11
M,0.67,11
F,0.725,11
M,0.62,11
F,0.635,11
M,0.5,11
M,0.575,11
I,0.465,11
F,0.505,11
F,0.61,11
M,0.655,11
M,0.31,11
F,0.475,11
M,0.67,11
M,0.655,11
F,0.49,11
I,0.625,12
F,0.7,12
M,0.5,12
F,0.61,12
F,0.595,12
M,0.54,12
F,0.655,12
F,0.425,12
M,0.635,12
F,0.575,12
M,0.605,12
F,0.5,12
F,0.655,12
F,0.5,12
M,0.7,12
M,0.55,12
F,0.645,12
I,0.435,12
F,0.5,12
F,0.67,12
F,0.69,12
M,0.74,12
M,0.58,12
M,0.63,12
M,0.67,12
M,0.555,12
F,0.67,12
M,0.385,12
F,0.675,12
F,0.675,12
F,0.59,12
F,0.575,12
M,0.675,12
M,0.625,12
M,0.415,12
M,0.695,12
I,0.625,12
M,0.765,12
M,0.65,12
F,0.74,12
M,0.545,12
F,0.565,12
F,0.56,12
F,0.57,12
F,0.64,12
F,0.575,12
F,0.63,12
M,0.57,12
F,0.705,12
M,0.725,12
M,0.72,12
M,0.525,12
F,0.525,12
F,0.61,12
F,0.505,12
F,0.69,12
M,0.645,12
F,0.63,12
M,0.575,12
F,0.515,12
I,0.415,12
I,0.515,12
F,0.625,12
F,0.45,12
M,0.645,12
M,0.645,12
M,0.505,12
M,0.53,12
F,0.645,12
M,0.63,12
F,0.57,12
F,0.38,12
F,0.61,12
F,0.575,12
F,0.655,12
M,0.505,12
M,0.62,12
M,0.525,12
M,0.6,12
M,0.615,12
F,0.66,12
M,0.765,12
F,0.49,12
M,0.63,12
M,0.745,12
M,0.65,12
F,0.64,12
M,0.535,12
F,0.615,12
M,0.565,12
F,0.64,12
F,0.405,12
F,0.505,12
F,0.61,12
F,0.72,12
M,0.635,12
M,0.59,12
F,0.585,12
F,0.645,12
F,0.735,12
F,0.66,12
I,0.55,12
M,0.35,12
I,0.485,12
F,0.48,12
F,0.48,12
F,0.52,12
M,0.635,12
F,0.475,12
I,0.55,12
F,0.75,12
I,0.56,12
M,0.62,12
M,0.395,12
M,0.51,12
F,0.565,12
M,0.61,12
F,0.59,12
F,0.585,12
F,0.655,12
F,0.705,12
F,0.595,12
I,0.56,12
F,0.515,12
M,0.68,12
F,0.525,12
M,0.63,12
F,0.705,12
M,0.65,12
F,0.62,12
M,0.5,12
I,0.435,12
M,0.535,12
M,0.69,12
F,0.71,12
M,0.775,12
F,0.595,12
F,0.565,12
M,0.47,12
F,0.57,12
F,0.71,12
M,0.64,12
F,0.48,12
I,0.47,12
M,0.72,12
M,0.665,12
M,0.575,12
M,0.41,12
F,0.645,12
F,0.565,12
F,0.565,12
M,0.52,12
M,0.56,12
M,0.62,12
M,0.5,12
I,0.375,12
M,0.495,12
I,0.62,12
M,0.505,12
F,0.44,12
M,0.595,12
F,0.595,12
M,0.605,12
M,0.55,12
F,0.49,12
F,0.68,12
M,0.48,12
M,0.62,12
I,0.62,12
I,0.44,12
M,0.715,12
F,0.475,12
F,0.64,12
F,0.52,12
M,0.45,12
F,0.415,12
F,0.65,12
M,0.61,12
M,0.68,12
M,0.595,12
F,0.48,12
F,0.585,12
F,0.61,12
I,0.57,12
M,0.62,12
M,0.715,12
M,0.65,12
F,0.62,12
F,0.525,12
M,0.62,12
M,0.47,12
F,0.61,12
F,0.525,12
M,0.57,12
M,0.51,12
F,0.6,12
F,0.62,12
M,0.5,12
M,0.72,12
M,0.69,12
M,0.485,12
I,0.5,12
I,0.535,12
M,0.63,12
F,0.615,12
M,0.605,12
M,0.645,12
F,0.74,12
F,0.67,12
M,0.61,12
F,0.71,12
F,0.69,12
M,0.585,12
M,0.565,12
F,0.505,12
F,0.61,12
F,0.635,12
M,0.505,12
F,0.72,12
F,0.395,12
M,0.395,12
M,0.54,12
F,0.565,12
F,0.66,12
M,0.52,12
M,0.62,12
M,0.6,12
F,0.68,12
M,0.61,12
M,0.55,12
F,0.615,12
F,0.595,12
M,0.63,12
F,0.565,12
M,0.63,12
F,0.635,12
M,0.665,12
F,0.52,12
M,0.735,12
M,0.59,12
F,0.565,18
M,0.57,18
F,0.575,18
M,0.61,18
F,0.61,18
M,0.425,18
M,0.7,18
F,0.725,18
M,0.66,18
M,0.64,18
F,0.6,18
F,0.745,18
F,0.655,18
M,0.615,18
M,0.665,18
M,0.525,18
I,0.65,18
I,0.495,18
F,0.645,18
M,0.52,18
F,0.565,18
F,0.655,18
F,0.66,18
M,0.565,18
M,0.48,18
M,0.635,18
F,0.645,18
M,0.605,18
M,0.545,18
M,0.71,18
F,0.545,18
I,0.525,18
I,0.58,18
F,0.5,18
F,0.57,18
I,0.485,18
M,0.645,18
F,0.635,18
F,0.605,13
F,0.59,13
F,0.56,13
F,0.535,13
F,0.5,13
I,0.575,13
M,0.5,13
I,0.575,13
F,0.655,13
I,0.615,13
M,0.615,13
M,0.68,13
F,0.53,13
F,0.585,13
M,0.625,13
M,0.505,13
M,0.695,13
M,0.555,13
F,0.59,13
F,0.645,13
M,0.495,13
F,0.405,13
I,0.425,13
M,0.59,13
F,0.65,13
F,0.6,13
F,0.735,13
M,0.475,13
F,0.465,13
I,0.48,13
M,0.675,13
M,0.62,13
M,0.535,13
F,0.5,13
F,0.525,13
M,0.515,13
F,0.62,13
M,0.595,13
M,0.72,13
F,0.665,13
F,0.43,13
M,0.685,13
M,0.55,13
F,0.54,13
M,0.74,13
I,0.635,13
I,0.575,13
M,0.615,13
M,0.695,13
F,0.705,13
F,0.695,13
M,0.49,13
M,0.57,13
F,0.575,13
M,0.485,13
M,0.62,13
M,0.71,13
F,0.555,13
F,0.45,13
F,0.39,13
M,0.655,13
F,0.545,13
M,0.415,13
M,0.55,13
F,0.585,13
M,0.65,13
M,0.6,13
M,0.56,13
M,0.57,13
I,0.51,13
M,0.455,13
M,0.645,13
F,0.575,13
F,0.58,13
M,0.65,13
M,0.465,13
F,0.605,13
M,0.555,13
F,0.7,13
M,0.515,13
M,0.7,13
I,0.515,13
M,0.555,13
F,0.695,13
F,0.645,13
F,0.605,13
F,0.51,13
F,0.66,13
M,0.535,13
M,0.71,13
M,0.525,13
I,0.48,13
F,0.525,13
F,0.55,13
F,0.67,13
I,0.44,13
M,0.72,13
I,0.495,13
I,0.43,13
F,0.535,13
F,0.625,13
M,0.69,13
M,0.57,13
F,0.675,13
M,0.63,13
M,0.7,13
F,0.485,13
F,0.515,13
F,0.52,13
M,0.655,13
M,0.49,13
M,0.625,13
M,0.575,13
F,0.475,13
I,0.46,13
F,0.67,13
I,0.515,13
M,0.605,13
F,0.45,13
I,0.605,13
I,0.32,13
F,0.58,13
M,0.63,13
I,0.445,13
M,0.545,13
M,0.575,13
I,0.49,13
F,0.56,13
F,0.625,13
M,0.62,13
M,0.47,13
F,0.7,13
F,0.65,13
F,0.62,13
M,0.675,13
M,0.455,13
F,0.625,13
M,0.555,13
M,0.62,13
M,0.35,13
F,0.455,13
M,0.655,13
M,0.525,13
M,0.505,13
F,0.675,13
M,0.695,13
M,0.5,13
F,0.45,13
M,0.675,13
F,0.59,13
F,0.475,13
M,0.54,13
M,0.7,13
M,0.6,13
M,0.555,13
M,0.74,13
F,0.51,13
F,0.595,13
F,0.475,13
F,0.705,13
I,0.62,13
F,0.655,13
M,0.55,13
F,0.67,13
F,0.53,13
M,0.76,13
I,0.61,13
F,0.62,13
F,0.59,13
M,0.64,13
M,0.575,13
F,0.49,13
M,0.67,13
F,0.605,13
F,0.595,13
M,0.545,13
M,0.62,13
F,0.435,13
M,0.53,13
F,0.72,13
M,0.545,13
M,0.58,13
M,0.275,5
M,0.175,5
M,0.28,5
M,0.285,5
I,0.28,5
I,0.335,5
I,0.23,5
I,0.28,5
I,0.255,5
I,0.315,5
I,0.215,5
M,0.28,5
M,0.255,5
I,0.29,5
M,0.275,5
I,0.265,5
I,0.3,5
I,0.4,5
I,0.27,5
I,0.24,5
I,0.25,5
I,0.3,5
I,0.34,5
I,0.36,5
I,0.23,5
I,0.385,5
I,0.3,5
I,0.3,5
I,0.25,5
I,0.275,5
I,0.275,5
I,0.265,5
I,0.315,5
I,0.235,5
I,0.25,5
I,0.235,5
F,0.37,5
I,0.285,5
I,0.44,5
I,0.21,5
I,0.255,5
I,0.31,5
I,0.16,5
I,0.19,5
I,0.365,5
I,0.275,5
I,0.25,5
M,0.155,5
F,0.36,5
I,0.215,5
I,0.375,5
I,0.35,5
I,0.18,5
I,0.34,5
I,0.2,5
I,0.42,5
I,0.32,5
M,0.2,5
I,0.33,5
M,0.375,5
I,0.29,5
I,0.285,5
I,0.215,5
I,0.27,5
M,0.28,5
I,0.245,5
I,0.28,5
I,0.325,5
I,0.29,5
I,0.205,5
I,0.325,5
I,0.315,5
I,0.29,5
I,0.27,5
I,0.255,5
I,0.41,5
I,0.32,5
I,0.26,5
I,0.295,5
I,0.28,5
I,0.35,5
I,0.175,5
I,0.185,5
I,0.25,5
I,0.275,5
I,0.21,5
I,0.255,5
I,0.37,5
I,0.285,5
I,0.32,5
I,0.235,5
I,0.395,5
I,0.33,5
I,0.27,5
I,0.305,5
I,0.28,5
I,0.295,5
F,0.275,5
I,0.385,5
I,0.285,5
I,0.24,5
I,0.345,5
I,0.305,5
I,0.235,5
M,0.165,4
I,0.18,4
I,0.17,4
I,0.2,4
I,0.275,4
M,0.235,4
I,0.225,4
I,0.245,4
I,0.22,4
I,0.23,4
I,0.13,4
I,0.225,4
M,0.195,4
I,0.245,4
I,0.165,4
I,0.275,4
M,0.175,4
I,0.225,4
I,0.245,4
I,0.25,4
I,0.28,4
I,0.255,4
M,0.245,4
I,0.185,4
I,0.175,4
I,0.14,4
I,0.3,4
I,0.255,4
I,0.27,4
I,0.225,4
I,0.28,4
I,0.2,4
I,0.135,4
I,0.17,4
I,0.36,4
I,0.19,4
I,0.255,4
I,0.185,4
I,0.155,4
I,0.25,4
I,0.21,4
M,0.325,4
I,0.165,4
I,0.315,4
I,0.16,4
I,0.2,4
I,0.195,4
I,0.245,4
I,0.24,4
I,0.205,4
I,0.16,4
I,0.415,6
I,0.37,6
I,0.395,6
I,0.235,6
I,0.355,6
I,0.325,6
I,0.43,6
I,0.425,6
I,0.42,6
I,0.34,6
I,0.4,6
I,0.44,6
I,0.315,6
I,0.3,6
I,0.42,6
I,0.415,6
I,0.25,6
I,0.42,6
I,0.375,6
I,0.37,6
I,0.29,6
I,0.4,6
I,0.3,6
I,0.315,6
I,0.235,6
I,0.35,6
I,0.45,6
I,0.4,6
I,0.375,6
I,0.31,6
I,0.385,6
F,0.46,6
I,0.4,6
I,0.425,6
M,0.3,6
F,0.385,6
M,0.48,6
I,0.35,6
