@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute Mean_tr numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,195,7.8,2.09,32,1
11,2761,22.818,2.93,334,1
14,5530,28.214,4.7,423,1
28,2296,2.929,8.9,70,1
8,664,10.375,2.15,123,1
8,176,2.75,2.41,32,1
14,3976,20.286,2.24,419,1
10,3250,32.5,1.51,463,1
3,12,1.333,9,1,1
10,190,1.9,2.46,28,1
2,22,5.5,9,1,1
8,856,13.375,2.24,139,1
14,4760,24.286,2.45,503,1
10,260,2.6,1.87,38,1
10,1260,12.6,2.85,202,1
7,861,17.571,1.66,137,1
8,104,1.625,1.9,20,1
8,48,0.75,1.58,12,1
8,200,3.125,1.81,42,1
8,168,2.625,3.54,26,1
8,632,9.875,1.8,111,1
7,77,1.571,1.21,14,1
8,440,6.875,1.39,77,1
9,2358,29.111,1.19,176,1
8,936,14.625,1.45,130,1
9,819,10.111,1.98,125,1
2,38,9.5,1.8,5,1
9,171,2.111,2.2,30,1
9,837,10.333,2.06,131,1
6,84,2.333,2.24,21,1
8,760,11.875,2.95,120,1
7,427,8.714,1.77,77,1
7,231,4.714,1.36,59,1
7,126,2.571,2,23,1
24,11304,19.625,7.9,679,1
9,81,1,1.63,8,1
9,180,2.222,8.25,12,1
7,273,5.571,1.33,52,1
8,552,8.625,1.94,104,1
6,606,16.833,1.93,129,1
1,45,45,1.13,8,1
3,42,4.667,3.2,5,1
8,232,3.625,2.15,48,1
5,10,0.4,7,1,1
9,2799,34.556,1.34,340,1
9,126,1.556,7.42,12,1
10,180,1.8,8.4,10,1
10,660,6.6,1.87,95,1
8,768,12,1.77,120,1
87,10092,1.333,104.95,39,1
71,2414,0.479,1.91,119,1
8,384,6,1.92,62,1
7,266,5.429,1.69,45,1
7,70,1.429,1.77,13,1
5,130,5.2,2.37,27,1
10,2620,26.2,1.79,421,1
9,468,5.778,1.84,73,1
9,576,7.111,2.32,44,1
8,472,7.375,2.41,63,1
11,1078,8.909,3.04,134,1
8,152,2.375,1.47,19,1
7,49,1,22.5,2,1
7,77,1.571,1.77,13,1
6,78,2.167,1.67,6,1
7,392,8,1.65,78,1
8,560,8.75,1.66,112,1
14,4466,22.786,4.54,364,1
9,918,11.333,1.58,96,1
7,259,5.286,1.81,43,1
7,119,2.429,1.73,11,1
11,132,1.091,4.13,16,1
10,2510,25.1,1.29,293,1
9,4815,59.444,1.32,534,1
12,804,5.583,3.68,88,1
7,189,3.857,1.32,41,1
11,693,5.727,2.77,83,1
4,72,4.5,1.71,14,1
10,350,3.5,1.93,60,1
10,90,0.9,1.25,16,1
8,128,2,1.58,19,1
7,1561,31.857,1.4,229,1
10,750,7.5,2.84,119,1
9,153,1.889,2.22,27,1
9,4590,56.667,1.44,241,1
10,1770,17.7,1.77,261,1
8,256,4,1.23,43,1
7,1246,25.429,1.41,213,1
10,2710,27.1,1.39,342,1
7,42,0.857,1.82,11,1
7,2723,55.571,1.19,381,1
11,77,0.636,36,1,1
9,1089,13.444,2.08,169,1
9,999,12.333,1.7,128,1
8,536,8.375,2.31,91,1
12,96,0.667,3.11,9,1
7,49,1,2.42,12,1
6,78,2.167,1.41,17,1
8,664,10.375,2.52,115,1
10,570,5.7,1.98,94,1
5,95,3.8,1.5,20,1
9,81,1,13,2,1
7,161,3.286,1.95,37,1
6,456,12.667,1.49,108,1
8,72,1.125,2.86,7,1
7,77,1.571,1.77,13,1
5,25,1,1.29,7,1
8,184,2.875,1.65,40,1
5,35,1.4,5,3,1
8,176,2.75,2.42,31,1
6,570,15.833,1.78,82,1
7,77,1.571,1.58,19,1
8,2176,34,1.41,288,1
7,98,2,1.65,23,1
5,215,8.6,1.33,43,1
10,520,5.2,2.09,74,1
8,264,4.125,2,43,1
6,426,11.833,1.3,43,1
7,322,6.571,2.58,38,1
9,4572,56.444,1.27,461,1
8,176,2.75,1.78,32,1
8,2176,34,1.32,311,1
13,2886,17.077,4.92,221,1
7,77,1.571,1.21,19,1
8,784,12.25,1.42,122,1
5,50,2,1.29,14,1
10,1410,14.1,2.25,148,1
6,264,7.333,2.11,56,1
8,1664,26,1.65,196,1
5,105,4.2,1.48,21,1
8,496,7.75,1.79,99,1
8,368,5.75,1.85,53,1
8,224,3.5,2.07,43,1
10,180,1.8,2.97,31,1
9,2250,27.778,2.56,316,1
6,534,14.833,2.03,106,1
8,1720,26.875,2.6,243,1
7,224,4.571,1.41,44,1
7,161,3.286,1.68,31,1
11,242,2,9.44,16,1
8,3184,49.75,1.7,521,1
8,296,4.625,1.87,53,1
8,160,2.5,2.27,30,1
1,104,104,1.05,19,1
9,369,4.556,2.06,67,1
16,6112,23.875,5.16,444,1
8,496,7.75,1.57,69,1
7,245,5,2.48,44,1
8,376,5.875,2,68,1
11,660,5.455,2.01,105,1
11,990,8.182,4.6,101,1
9,81,1,1.38,16,1
9,396,4.889,2.55,53,1
9,2439,30.111,1.93,358,1
8,64,1,2.17,12,1
7,42,0.857,2.29,7,1
8,96,1.5,1.95,19,1
8,664,10.375,1.76,123,1
6,432,12,4.08,64,1
13,1690,10,4.77,139,1
10,360,3.6,2.28,58,1
7,28,0.571,8,1,1
12,2784,19.333,2.34,375,1
5,60,2.4,2,6,1
9,720,8.889,2.02,119,1
9,297,3.667,2.24,50,1
12,1020,7.083,5.4,90,1
10,380,3.8,2.89,57,1
9,126,1.556,1.36,22,1
8,200,3.125,1.6,35,1
6,72,2,2.09,11,1
11,1111,9.182,2.76,160,1
7,238,4.857,1.31,54,1
9,828,10.222,1.93,123,1
8,136,2.125,1.71,21,1
8,72,1.125,2.3,10,1
5,60,2.4,4.67,6,1
10,1440,14.4,1.8,205,1
8,560,8.75,1.7,122,1
1,47,47,1.05,19,1
6,1134,31.5,1.62,227,1
9,162,2,7.29,14,1
11,407,3.364,2.01,75,1
8,56,0.875,2.09,11,1
8,1936,30.25,1.45,228,1
7,3633,74.143,1.23,215,1
8,344,5.375,1.4,52,1
9,873,10.778,2.42,168,1
24,3768,6.542,18.34,186,1
14,5726,29.214,1.79,551,1
7,98,2,1.75,20,1
7,119,2.429,1.74,23,1
8,1440,22.5,2.32,230,1
9,2520,31.111,1.24,336,1
15,435,1.933,4.15,55,1
6,270,7.5,1.73,66,1
10,670,6.7,2.27,86,1
9,189,2.333,3.62,26,1
8,64,1,1.5,10,1
13,117,0.692,3.36,14,1
6,42,1.167,2.14,7,1
7,161,3.286,1.21,33,1
11,3025,25,2.83,307,1
7,217,4.429,1.78,27,1
12,876,6.083,2.14,105,1
9,657,8.111,1.44,79,1
6,240,6.667,1.43,37,1
4,48,3,3,4,1
10,750,7.5,2.28,141,1
11,352,2.909,2.69,45,1
7,112,2.286,2.57,14,1
8,384,6,1.76,66,1
10,190,1.9,8.14,14,1
8,424,6.625,1.87,86,1
10,130,1.3,2,25,1
6,78,2.167,1.87,15,1
8,200,3.125,1.83,40,1
8,288,4.5,2.05,60,1
11,1848,15.273,1.55,279,1
14,616,3.143,2.5,98,1
7,77,1.571,1.75,16,1
8,160,2.5,1.86,35,1
7,91,1.857,1.41,17,1
8,1080,16.875,1.22,116,1
11,242,2,8.59,17,1
7,91,1.857,1.56,18,1
8,400,6.25,3.01,70,1
11,990,8.182,2.82,127,1
7,1176,24,1.14,83,1
7,504,10.286,1.7,70,1
7,147,3,1.4,35,1
10,1700,17,4.35,195,1
5,30,1.2,1.63,8,1
1,65,65,1.08,12,1
9,963,11.889,2.59,138,1
9,891,11,1.39,135,1
10,380,3.8,2.49,59,1
8,552,8.625,1.38,39,1
8,688,10.75,2.64,129,1
10,790,7.9,2.19,117,1
10,120,1.2,2.2,10,1
10,500,5,2.01,81,1
7,231,4.714,2.36,14,1
10,80,0.8,9.17,6,1
5,145,5.8,1.87,31,1
6,174,4.833,1.73,37,1
9,423,5.222,2.51,65,1
7,42,0.857,9,1,1
10,460,4.6,2.09,66,1
11,583,4.818,1.93,75,1
7,63,1.286,3,9,1
10,190,1.9,8.29,14,1
5,290,11.6,1.41,41,1
6,78,2.167,1.33,21,1
9,441,5.444,2.97,88,1
8,32,0.5,4.67,3,1
5,65,2.6,2.43,7,1
10,740,7.4,2.17,103,1
26,7644,11.308,7.6,456,1
7,56,1.143,1.15,13,1
1,89,89,1.06,16,1
5,120,4.8,1.32,31,1
8,2088,32.625,1.34,340,1
8,16,0.25,9,1,1
10,3190,31.9,1.67,458,1
11,1309,10.818,1.75,177,1
11,583,4.818,3.45,38,1
9,1440,17.778,1.58,196,1
11,220,1.818,8.86,14,1
7,77,1.571,1.29,14,1
9,531,6.556,1.56,81,1
5,155,6.2,1.56,36,1
13,5018,29.692,2.19,657,1
7,553,11.286,3.56,88,1
9,2250,27.778,2.6,317,1
8,1080,16.875,1.54,54,1
11,2024,16.727,4.72,195,1
10,5080,50.8,1.27,527,1
6,414,11.5,1.4,83,1
8,240,3.75,1.53,38,1
5,215,8.6,1.35,37,1
9,1467,18.111,2.98,130,1
7,371,7.571,2.4,53,1
8,208,3.25,1.45,38,1
28,896,1.143,5.96,69,1
8,624,9.75,1.35,113,1
9,675,8.333,1.46,90,1
8,376,5.875,1.56,64,1
6,78,2.167,1.64,14,1
8,1480,23.125,1.97,199,1
9,738,9.111,1.93,118,1
11,110,0.909,4.36,11,1
8,32,0.5,2.17,6,1
7,77,1.571,1.33,18,1
10,550,5.5,6.32,59,1
7,112,2.286,2,25,1
10,300,3,2.42,45,1
9,738,9.111,2.35,119,1
7,217,4.429,1.52,48,1
10,340,3.4,1.98,61,1
5,25,1,18,1,1
10,1210,12.1,2.7,180,1
5,20,0.8,1.75,4,1
8,80,1.25,2,17,1
10,2680,26.8,6.02,220,1
7,133,2.714,2.25,12,1
8,400,6.25,1.7,89,1
12,864,6,5.97,92,1
7,119,2.429,2.71,17,1
8,904,14.125,1.41,135,1
6,42,1.167,4.25,4,1
8,808,12.625,1.71,137,1
5,60,2.4,1.92,12,1
7,140,2.857,1.58,31,1
4,124,7.75,1.58,33,1
14,5768,29.429,1.59,651,1
7,497,10.143,1.87,105,1
9,351,4.333,2.06,50,1
12,2004,13.917,1.93,234,1
7,231,4.714,1.98,40,1
10,870,8.7,2.27,132,1
7,133,2.714,1.67,27,1
9,1386,17.111,2.93,192,1
10,1280,12.8,2.25,202,1
8,328,5.125,1.61,77,1
8,152,2.375,2.19,27,1
8,408,6.375,1.95,64,1
22,1562,3.227,11.25,72,1
9,180,2.222,2.59,32,1
25,7300,11.68,7.23,454,1
6,66,1.833,1.67,15,1
8,240,3.75,1.88,49,1
10,820,8.2,2.05,120,1
8,184,2.875,2.08,40,1
7,378,7.714,1.4,77,1
8,56,0.875,3.11,9,1
7,700,14.286,1.67,123,1
6,576,16,1.73,103,1
11,3212,26.545,2.95,371,1
10,880,8.8,2.16,101,1
9,360,4.444,2.35,49,1
6,174,4.833,1.53,38,1
8,272,4.25,1.5,56,1
12,3288,22.833,1.65,416,1
5,40,1.6,1.83,12,1
8,160,2.5,2.1,30,1
11,231,1.909,7.2,15,1
13,494,2.923,4,41,1
7,49,1,1.89,9,1
9,1107,13.667,2.3,159,1
11,1452,12,2.04,134,1
11,253,2.091,3.5,30,1
9,405,5,3.31,54,1
14,168,0.857,9.25,12,1
11,99,0.818,4.44,9,1
9,945,11.667,2.19,144,1
23,2875,5.435,20.75,132,1
6,72,2,1.5,18,1
8,552,8.625,1.47,98,1
7,189,3.857,1.97,33,1
10,100,1,1.94,18,1
7,14,0.286,12,1,1
8,152,2.375,1.94,31,1
14,1750,8.929,2.21,228,1
8,72,1.125,2.08,13,1
10,1970,19.7,1.87,258,1
9,153,1.889,1.67,21,1
10,110,1.1,2.48,21,1
9,378,4.667,2.38,61,1
9,1080,13.333,1.98,181,1
7,161,3.286,1.39,38,1
9,1548,19.111,2.43,225,1
7,105,2.143,2.71,7,1
9,135,1.667,1.57,21,1
7,210,4.286,1.38,50,1
10,350,3.5,2.62,45,1
12,1224,8.5,1.77,178,1
9,2349,29,1.42,302,1
8,1568,24.5,1.4,159,1
11,330,2.727,4.16,37,1
7,119,2.429,1.5,18,1
8,152,2.375,1.74,34,1
8,112,1.75,3.11,9,1
7,98,2,1.94,16,1
8,504,7.875,1.82,89,1
7,434,8.857,1.87,91,1
10,590,5.9,2.98,80,1
7,280,5.714,1.38,47,1
13,741,4.385,11.5,48,1
11,341,2.818,2.08,53,1
9,639,7.889,2.44,102,1
7,84,1.714,1.67,18,1
10,500,5,2.74,86,1
8,272,4.25,2,57,1
8,248,3.875,1.98,44,1
9,1485,18.333,2.54,197,1
9,828,10.222,1.93,123,1
3,9,1,7,1,1
5,135,5.4,2.34,35,1
9,288,3.556,2.23,35,1
13,130,0.769,6.5,6,1
6,306,8.5,1.48,61,1
8,296,4.625,1.35,40,1
9,2502,30.889,1.28,345,1
5,180,7.2,1.35,54,1
9,81,1,1.6,15,1
9,918,11.333,1.3,151,1
9,1206,14.889,1.65,158,1
5,65,2.6,4.29,7,1
9,1107,13.667,2.78,143,1
6,264,7.333,1.68,40,1
9,162,2,1.56,27,1
16,5456,21.313,5.23,394,1
9,891,11,1.4,120,1
8,168,2.625,1.69,36,1
12,480,3.333,1.97,66,1
6,564,15.667,1.63,65,1
8,328,5.125,1.44,48,1
10,270,2.7,1.87,53,1
7,280,5.714,2.26,23,1
8,288,4.5,2.21,39,1
12,84,0.583,3.6,5,1
11,1650,13.636,2.06,149,1
9,441,5.444,1.38,87,1
9,3141,38.778,1.29,306,1
5,90,3.6,1.91,22,1
7,63,1.286,1.64,14,1
8,1296,20.25,2.85,149,1
11,1969,16.273,2.88,226,1
11,682,5.636,3.21,75,1
10,230,2.3,1.88,42,1
9,4599,56.778,1.38,751,1
12,96,0.667,4.3,10,1
8,472,7.375,1.49,59,1
5,575,23,2.03,118,1
17,187,0.647,10.17,6,1
11,990,8.182,2.41,158,1
9,144,1.778,1.74,27,1
9,99,1.222,1.42,24,1
4,72,4.5,6.5,2,1
13,1599,9.462,4.38,156,1
8,560,8.75,1.76,95,1
7,105,2.143,1.6,15,1
1,118,118,1.05,21,1
7,140,2.857,2.32,28,1
5,100,4,1.58,31,1
12,240,1.667,8.19,16,1
8,1440,22.5,1.39,220,1
10,1230,12.3,2.99,149,1
13,2821,16.692,3.05,334,1
9,189,2.333,3,27,1
25,5075,8.12,15.22,279,1
8,584,9.125,1.47,93,1
9,153,1.889,1.44,25,1
7,91,1.857,1.7,20,1
11,99,0.818,3.83,12,1
5,480,19.2,1.78,87,1
15,810,3.6,2.45,107,1
10,930,9.3,1.78,140,1
7,77,1.571,1.47,17,1
4,16,1,7,1,1
7,84,1.714,1.55,20,1
9,144,1.778,2.29,24,1
7,161,3.286,1.36,11,1
8,368,5.75,2.11,62,1
9,423,5.222,2.34,56,1
5,230,9.2,2.21,29,1
8,896,14,1.27,120,1
12,516,3.583,2.56,66,1
7,1211,24.714,1.34,187,1
9,315,3.889,1.37,60,1
8,744,11.625,1.99,121,1
6,300,8.333,1.31,49,1
7,98,2,1.84,19,1
9,4788,59.111,1.29,572,1
11,935,7.727,1.67,144,1
15,4410,19.6,5.28,330,1
6,24,0.667,5,3,1
10,210,2.1,2.56,27,1
8,424,6.625,1.54,99,1
9,4077,50.333,1.21,269,1
10,70,0.7,1.83,12,1
7,854,17.429,1.73,139,1
9,1719,21.222,2.14,264,1
9,261,3.222,1.48,33,1
11,1122,9.273,1.87,173,1
6,24,0.667,3.5,4,1
16,384,1.5,4.51,35,1
7,217,4.429,1.97,33,1
11,1617,13.364,1.58,264,1
9,351,4.333,1.69,64,1
10,340,3.4,3.02,48,1
9,1674,20.667,3.24,220,1
6,240,6.667,1.37,52,1
11,99,0.818,3.8,10,1
11,671,5.545,2.21,89,1
10,610,6.1,1.98,94,1
6,60,1.667,2.07,14,1
3,93,10.333,2.1,10,1
7,70,1.429,1.33,15,1
9,693,8.556,1.87,93,1
8,120,1.875,2.48,25,1
11,2277,18.818,1.84,332,1
10,180,1.8,7.5,14,1
8,2768,43.25,1.35,339,1
7,1330,27.143,1.79,218,1
5,45,1.8,1.88,8,1
9,333,4.111,2.8,64,1
11,1298,10.727,2.71,167,1
13,494,2.923,3.88,42,1
7,203,4.143,1.71,34,1
24,4272,7.417,7.86,267,1
3,312,34.667,9.95,19,1
7,147,3,2.09,22,1
9,162,2,1.83,29,1
7,413,8.429,2.33,82,1
8,424,6.625,1.83,80,1
8,120,1.875,2.38,24,1
9,4806,59.333,1.34,585,1
9,342,4.222,2.71,56,1
8,184,2.875,2.09,33,1
10,2800,28,2.63,380,1
9,180,2.222,2.15,27,1
9,216,2.667,2.9,40,1
10,2610,26.1,1.77,390,1
10,1550,15.5,2.64,184,1
9,108,1.333,2,20,1
9,729,9,2.09,116,1
8,96,1.5,2.05,20,1
11,2035,16.818,4.5,220,1
6,408,11.333,1.25,56,1
6,78,2.167,3,6,1
25,7275,11.64,7.29,455,1
9,324,4,3.02,62,1
11,1144,9.455,2.57,168,1
10,180,1.8,2.3,30,1
10,440,4.4,2.94,66,1
11,2255,18.636,3.01,278,1
8,344,5.375,2.73,56,1
7,434,8.857,1.46,81,1
25,7275,11.64,7.34,462,1
8,648,10.125,1.29,111,1
7,245,5,2.81,42,1
20,380,0.95,12.53,15,1
7,301,6.143,1.29,58,1
7,287,5.857,1.47,43,1
9,360,4.444,2.44,57,1
6,186,5.167,1.65,34,1
8,112,1.75,1.83,18,1
8,544,8.5,3.03,97,1
4,40,2.5,4,5,1
8,40,0.625,2.67,6,1
5,35,1.4,2,8,1
10,410,4.1,2.79,68,1
11,5621,46.455,1.42,671,1
5,215,8.6,1.16,61,1
10,640,6.4,2.84,116,1
7,448,9.143,2.93,76,1
10,5340,53.4,1.28,548,1
9,45,0.556,10.5,2,1
7,63,1.286,2.45,11,1
8,96,1.5,2.59,17,1
6,222,6.167,1.42,48,1
5,60,2.4,1.78,9,1
2,90,22.5,1.17,6,1
8,1064,16.625,1.78,162,1
5,160,6.4,1.35,49,1
8,488,7.625,1.31,77,1
10,120,1.2,1.69,26,1
7,63,1.286,1.73,11,1
10,430,4.3,3.58,55,1
9,324,4,2,68,1
10,3180,31.8,1.18,344,1
7,280,5.714,1.59,44,1
10,300,3,2.78,46,1
8,488,7.625,2.03,76,1
7,392,8,1.56,36,1
28,896,1.143,7.02,64,1
7,63,1.286,21,1,1
10,630,6.3,1.69,87,1
8,216,3.375,2.24,21,1
9,4185,51.667,1.24,532,1
7,112,2.286,1.75,20,1
11,561,4.636,2.06,80,1
9,1629,20.111,2.76,213,1
8,496,7.75,3.03,59,1
12,576,4,1.71,85,1
8,360,5.625,2.91,58,1
10,180,1.8,6.94,17,1
7,266,5.429,2.44,45,1
8,1680,26.25,1.44,208,1
5,30,1.2,1.4,5,1
10,260,2.6,2.03,40,1
9,90,1.111,2.07,15,1
1,77,77,1.04,24,1
10,5080,50.8,1.41,578,1
7,77,1.571,1.59,17,1
9,783,9.667,2.37,147,1
9,225,2.778,2.55,29,1
10,2340,23.4,1.38,319,1
16,384,1.5,4.72,32,1
9,522,6.444,2.29,80,1
9,738,9.111,2.86,79,1
8,168,2.625,1.97,29,1
9,2547,31.444,1.22,389,1
8,1720,26.875,2.91,239,1
11,2992,24.727,2.1,392,1
12,312,2.167,1.6,43,1
16,6256,24.438,5.26,477,1
19,228,0.632,7.67,9,1
1,33,33,1.09,11,1
7,126,2.571,1.79,28,1
7,140,2.857,1.87,30,1
8,1296,20.25,3,188,1
9,198,2.444,2.42,26,1
8,960,15,1.66,145,1
7,1386,28.286,1.23,62,1
6,192,5.333,1.37,41,1
9,738,9.111,2.01,124,1
9,1638,20.222,2.95,210,1
8,120,1.875,2.5,22,1
8,2176,34,2.7,289,1
9,1566,19.333,1.22,193,1
15,2070,9.2,5.45,164,1
4,128,8,2.11,19,1
7,833,17,1.5,158,1
6,90,2.5,2.2,10,1
6,186,5.167,1.94,48,1
9,45,0.556,2.83,6,1
10,120,1.2,2.33,18,1
5,115,4.6,2.42,24,1
9,2754,34,1.38,424,1
7,560,11.429,1.63,124,1
10,330,3.3,1.4,43,1
10,170,1.7,7.82,11,1
10,2720,27.2,1.4,399,1
9,171,2.111,7.57,14,1
10,1220,12.2,2.1,171,1
7,56,1.143,1.71,7,1
9,774,9.556,2.85,107,1
11,1298,10.727,4.81,124,1
9,90,1.111,3.88,8,1
10,470,4.7,2.26,70,1
9,2979,36.778,1.57,421,1
9,162,2,2.26,23,1
9,225,2.778,2.25,32,1
9,4815,59.444,1.49,596,1
11,330,2.727,3.05,41,1
10,860,8.6,1.21,103,1
6,582,16.167,1.82,85,1
7,98,2,1.57,23,1
9,4797,59.222,1.3,612,1
6,30,0.833,1.67,6,1
9,1629,20.111,2.99,201,1
8,1112,17.375,2.17,82,1
13,871,5.154,6.6,57,1
6,78,2.167,1.37,19,1
7,182,3.714,1.23,40,1
9,585,7.222,1.67,93,1
1,35,35,1.07,14,1
2,34,8.5,2.75,4,1
9,2691,33.222,1.58,385,1
10,220,2.2,2.15,34,1
12,852,5.917,5.95,87,1
4,40,2.5,4,6,1
9,4176,51.556,1.3,505,1
10,1450,14.5,1.83,213,1
10,1510,15.1,3.48,165,1
7,98,2,1.65,20,1
10,520,5.2,2.13,72,1
8,256,4,34.33,3,1
12,852,5.917,6.64,81,1
6,576,16,2.2,79,1
10,440,4.4,1.92,72,1
9,189,2.333,2.88,24,1
7,1281,26.143,1.88,181,1
9,315,3.889,2.86,29,1
5,65,2.6,1.33,12,1
7,119,2.429,2.58,19,1
7,280,5.714,1.43,61,1
7,91,1.857,1.94,17,1
11,165,1.364,2.07,28,1
10,2620,26.2,1.36,344,1
9,2448,30.222,1.93,342,1
10,2480,24.8,2.6,340,1
8,96,1.5,1.74,23,1
7,56,1.143,1.62,13,1
23,598,1.13,1.8,92,1
8,128,2,2.44,25,1
6,1326,36.833,1.95,183,1
7,497,10.143,1.37,84,1
7,77,1.571,1.5,18,1
8,64,1,5,3,1
5,90,3.6,1.64,22,1
8,64,1,2.5,10,1
9,738,9.111,2.62,108,1
9,576,7.111,2.58,104,1
10,1190,11.9,2.75,169,1
9,288,3.556,2.1,41,1
7,2422,49.429,1.26,355,1
9,873,10.778,2.28,174,1
8,800,12.5,3.43,113,1
1,13,13,5,2,1
8,1056,16.5,2.01,163,1
5,35,1.4,1.17,12,1
7,154,3.143,1.36,11,1
4,32,2,1.83,6,1
12,1008,7,2.35,142,1
14,4480,22.857,4.46,355,1
10,200,2,8.13,15,1
9,720,8.889,2.04,119,1
8,128,2,2.67,21,1
7,294,6,1.27,33,1
6,84,2.333,1.28,18,1
7,266,5.429,1.82,60,1
16,6480,25.313,5.3,467,1
1,40,40,1.14,7,1
13,2951,17.462,3.11,215,1
8,432,6.75,3.36,69,1
6,60,1.667,1.86,14,1
10,2680,26.8,5.88,180,1
6,24,0.667,2.5,4,1
7,1050,21.429,1.36,138,1
9,1512,18.667,2.15,221,1
8,344,5.375,2.21,61,1
9,234,2.889,1.85,40,1
7,945,19.286,1.43,134,1
5,160,6.4,1.33,42,1
8,592,9.25,2.48,109,1
13,78,0.462,34,1,1
7,952,19.429,1.2,142,1
9,36,0.444,8,2,1
7,560,11.429,1.18,74,1
10,2610,26.1,1.49,321,1
7,119,2.429,1.56,27,1
10,220,2.2,2.09,34,1
10,400,4,1.9,71,1
10,5090,50.9,1.23,401,1
10,790,7.9,1.79,108,1
6,156,4.333,1.29,35,1
7,1015,20.714,1.5,140,1
9,2250,27.778,2.44,320,1
9,306,3.778,2.41,49,1
9,1782,22,1.88,274,1
7,56,1.143,2.3,10,1
9,306,3.778,1.61,59,1
8,552,8.625,1.54,84,1
7,217,4.429,1.56,39,1
14,798,4.071,11.84,49,1
6,486,13.5,1.34,102,1
6,54,1.5,2.14,14,1
8,112,1.75,1.72,25,1
5,190,7.6,1.42,57,1
8,1520,23.75,2.22,223,1
8,96,1.5,1.95,22,1
16,5504,21.5,5.73,358,1
8,1832,28.625,1.57,196,1
6,108,3,2.45,22,1
9,360,4.444,1.6,62,1
11,418,3.455,1.96,70,1
6,300,8.333,2,49,1
9,4572,56.444,1.22,614,1
9,2997,37,1.57,452,1
7,91,1.857,7.89,9,1
8,24,0.375,3,4,1
9,288,3.556,2.23,47,1
10,460,4.6,1.66,77,1
8,208,3.25,2.18,39,1
11,1507,12.455,2.7,177,1
13,1768,10.462,4.58,160,1
8,328,5.125,1.66,64,1
10,2720,27.2,1.43,401,1
7,77,1.571,1.35,17,1
7,980,20,1.49,167,1
7,1267,25.857,1.65,242,1
7,707,14.429,3.19,111,1
11,473,3.909,2.74,58,1
9,387,4.778,3.58,55,1
8,152,2.375,1.75,32,1
39,13767,9.051,16.89,454,1
6,264,7.333,1.23,57,1
7,140,2.857,1.19,27,1
5,160,6.4,1.47,47,1
9,117,1.444,2.69,16,1
8,88,1.375,1.33,21,1
13,3692,21.846,1.87,405,1
7,287,5.857,1.36,44,1
10,330,3.3,1.66,68,1
8,400,6.25,2.31,74,1
12,696,4.833,3.85,62,1
33,5940,5.455,1.68,835,1
9,270,3.333,1.51,51,1
6,210,5.833,2.67,42,1
8,312,4.875,1.64,72,1
11,264,2.182,10,14,1
12,3024,21,4.75,265,1
10,1470,14.7,1.29,191,1
9,180,2.222,2.35,26,1
8,304,4.75,1.65,75,1
10,290,2.9,2.47,45,1
5,35,1.4,3.5,6,1
18,396,1.222,14.5,10,1
8,88,1.375,1.75,8,1
7,98,2,1.38,24,1
9,1629,20.111,1.66,213,1
8,40,0.625,1.55,11,1
9,162,2,1.44,27,1
7,35,0.714,4.25,4,1
9,1089,13.444,2.2,176,1
12,1536,10.667,2.91,179,1
8,248,3.875,1.87,55,1
7,287,5.857,1.55,64,1
11,2024,16.727,4.48,213,1
9,1152,14.222,1.44,175,1
8,2416,37.75,1.43,356,1
10,720,7.2,1.81,116,1
6,66,1.833,1.54,13,1
6,258,7.167,1.67,52,1
6,780,21.667,2.05,96,1
10,1760,17.6,1.72,263,1
1,7,7,7,1,1
6,54,1.5,1.23,13,1
6,144,4,1.35,31,1
9,747,9.222,2.42,90,1
11,671,5.545,5.04,48,1
9,1971,24.333,1.43,150,1
7,98,2,1.11,19,1
8,112,1.75,1.71,21,1
8,96,1.5,3.67,12,1
10,340,3.4,1.86,51,1
10,3300,33,1.61,425,1
14,5208,26.571,4.99,395,1
7,182,3.714,2.25,36,1
9,414,5.111,1.47,68,1
10,1540,15.4,2.53,192,1
8,280,4.375,1.64,61,1
7,126,2.571,1.53,30,1
10,380,3.8,2.13,55,1
14,5698,29.071,4.54,443,1
11,352,2.909,2,45,1
17,391,1.353,6.56,25,1
9,4590,56.667,1.33,513,1
8,1960,30.625,1.36,286,1
9,378,4.667,1.37,65,1
7,287,5.857,1.51,35,1
6,78,2.167,2.53,17,1
10,360,3.6,1.98,58,1
11,572,4.727,1.79,84,1
6,60,1.667,1.78,9,1
12,600,4.167,2.72,76,1
11,4763,39.364,4.65,460,1
15,5340,23.733,5.29,410,1
8,128,2,2.9,20,1
10,180,1.8,1.93,29,1
8,192,3,1.85,27,1
13,2483,14.692,4.71,214,1
13,1729,10.231,4.9,127,1
9,153,1.889,6.31,13,1
8,336,5.25,2.18,56,1
8,96,1.5,1.9,20,1
7,133,2.714,1.5,32,1
7,161,3.286,1.37,41,1
6,510,14.167,1.42,86,1
9,990,12.222,2.08,148,1
13,1001,5.923,2.4,124,1
8,640,10,1.72,111,1
7,49,1,1.67,9,1
8,472,7.375,1.84,79,1
9,189,2.333,2.61,23,1
9,891,11,1.93,125,1
9,324,4,2.37,54,1
11,715,5.909,2.61,107,1
10,210,2.1,3.17,23,1
6,294,8.167,2.94,32,1
6,498,13.833,1.58,104,1
6,12,0.333,8,1,1
8,64,1,2.91,11,1
