@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
497,10.143,0.231,84,1
115,4.6,0.322,28,1
168,4.667,0.405,37,1
330,2.727,0.379,41,1
99,0.818,0.465,8,1
5768,29.429,0.179,651,1
564,15.667,0.188,65,1
296,4.625,0.392,60,1
576,16,0.318,61,1
324,4,0.611,59,1
380,3.8,0.432,59,1
576,16,0.351,83,1
88,0.727,0.443,1,1
140,5.6,0.329,26,1
432,12,0.604,64,1
1152,14.222,0.219,175,1
984,15.375,0.255,147,1
266,5.429,0.41,60,1
2992,24.727,0.279,423,1
913,7.545,0.274,146,1
1674,20.667,0.16,213,1
864,6,0.63,89,1
10712,15.846,0.32,1142,1
160,6.4,0.419,51,1
405,16.2,0.311,97,1
9,9,1,1,1
126,2.571,0.365,23,1
1220,12.2,0.294,171,1
486,13.5,0.282,109,1
66,1.833,0.364,18,1
288,3.556,0.382,51,1
231,1.909,0.411,24,1
774,9.556,0.211,126,1
1728,27,0.408,222,1
2992,24.727,0.283,431,1
248,3.875,0.375,46,1
231,4.714,0.342,40,1
288,3.556,0.24,46,1
637,13,0.163,71,1
4564,23.286,0.363,377,1
320,3.2,0.334,51,1
120,1.875,0.458,22,1
324,4,0.349,62,1
145,5.8,0.317,33,1
333,4.111,0.538,64,1
102,2.833,0.245,16,1
5080,50.8,0.131,527,1
1296,20.25,0.435,188,1
6720,11.667,0.452,399,1
343,7,0.318,71,1
576,9,0.198,91,1
90,0.9,0.667,2,1
380,23.75,0.311,78,1
2563,21.182,0.245,349,1
378,1.929,0.479,25,1
420,4.2,0.355,70,1
427,8.714,0.241,70,1
1771,14.636,0.329,191,1
576,7.111,0.177,44,1
70,0.7,0.357,9,1
495,6.111,0.259,87,1
48,0.75,0.5,3,1
1440,22.5,0.371,230,1
2502,30.889,0.176,345,1
288,3.556,0.417,39,1
147,3,0.293,32,1
570,15.833,0.209,73,1
162,2,0.605,14,1
84,2.333,0.274,18,1
84,2.333,0.536,22,1
72,0.889,0.222,9,1
4590,56.667,0.075,241,1
784,12.25,0.282,156,1
781,6.455,0.666,84,1
370,3.7,0.354,41,1
78,2.167,0.295,16,1
1495,8.846,0.314,179,1
35,0.714,0.371,7,1
180,0.139,0.656,15,1
296,4.625,0.334,53,1
360,3.6,0.367,59,1
35,1.4,0.429,11,1
162,2,0.623,13,1
3784,31.273,0.446,358,1
510,5.1,0.28,86,1
290,11.6,0.09,22,1
351,4.333,0.368,50,1
110,1.1,0.273,19,1
864,13.5,0.235,144,1
98,2,0.357,19,1
1956,54.333,0.213,323,1
32,0.5,0.438,3,1
112,1.75,0.286,12,1
136,2.125,0.441,36,1
990,9.9,0.443,166,1
360,5.625,0.206,41,1
56,1.143,0.482,12,1
44,2.75,0.432,14,1
42,0.857,0.452,11,1
2761,22.818,0.355,334,1
48,3,0.25,4,1
180,1.8,0.539,11,1
189,2.333,0.487,28,1
217,4.429,0.221,27,1
1773,21.889,0.274,278,1
216,2.667,0.213,36,1
1204,24.571,0.294,171,1
1107,13.667,0.395,154,1
300,3,0.357,50,1
238,4.857,0.282,45,1
352,5.5,0.486,58,1
150,6,0.16,14,1
160,6.4,0.413,49,1
496,7.75,0.361,59,1
918,11.333,0.18,137,1
56,0.875,0.357,11,1
1491,30.429,0.235,234,1
686,14,0.207,100,1
1809,22.333,0.152,216,1
192,5.333,0.292,41,1
77,1.571,0.234,14,1
72,1.125,0.361,15,1
972,12,0.345,137,1
1792,36.571,0.135,178,1
4590,56.667,0.149,533,1
4797,59.222,0.167,596,1
120,1.875,0.433,19,1
582,16.167,0.235,80,1
200,2,0.29,23,1
160,1.6,0.288,21,1
400,4,0.333,73,1
208,3.25,0.423,36,1
360,5.625,0.492,19,1
5908,30.143,0.18,624,1
161,3.286,0.28,31,1
42,1.167,0.714,1,1
1104,30.667,0.323,179,1
552,8.625,0.216,83,1
568,8.875,0.312,95,1
1330,27.143,0.293,218,1
320,5,0.403,51,1
96,2.667,0.49,24,1
1377,17,0.304,203,1
192,0.75,0.526,14,1
378,4.667,0.45,61,1
45,0.556,0.467,2,1
440,6.875,0.243,77,1
909,11.222,0.442,150,1
78,2.167,0.282,14,1
570,5.7,0.556,61,1
152,2.375,0.178,18,1
143,1.182,0.35,24,1
63,1.286,0.429,11,1
230,2.3,0.348,36,1
98,2,0.347,17,1
144,2.25,0.424,30,1
1449,17.889,0.432,218,1
2790,34.444,0.17,375,1
2979,36.778,0.222,421,1
63,1.286,0.333,15,1
210,4.286,0.305,39,1
49,1,0.265,4,1
184,2.875,0.348,32,1
1719,21.222,0.328,264,1
133,2.714,0.398,31,1
220,2.2,0.336,27,1
1521,18.778,0.26,217,1
301,6.143,0.319,68,1
4920,34.167,0.333,608,1
494,2.923,0.312,45,1
2340,23.4,0.188,319,1
336,6.857,0.268,56,1
40,1.6,0.375,1,1
68,4.25,0.191,7,1
128,2,0.516,26,1
1368,16.889,0.379,187,1
5940,5.455,0.236,835,1
256,4,0.387,61,1
90,2.5,0.467,13,1
264,4.125,0.375,62,1
5696,22.25,0.377,371,1
2808,4.875,0.347,338,1
140,2.857,0.25,24,1
1467,18.111,0.148,170,1
350,3.5,0.091,12,1
135,5.4,0.296,13,1
1200,18.75,0.158,154,1
94,23.5,0.17,14,1
1701,34.714,0.198,227,1
954,11.778,0.373,127,1
671,5.545,0.294,89,1
5350,53.5,0.166,671,1
2630,26.3,0.204,348,1
153,1.889,0.229,21,1
2422,49.429,0.185,355,1
850,8.5,0.324,122,1
174,4.833,0.305,42,1
808,12.625,0.29,137,1
96,0.667,0.479,1,1
25,25,1,1,1
24,0.375,0.417,1,1
270,3.333,0.27,52,1
108,1.333,0.37,20,1
5340,23.733,0.406,410,1
256,4,0.367,38,1
847,7,0.345,120,1
800,12.5,0.485,113,1
1296,20.25,0.204,85,1
60,1.667,0.483,14,1
238,4.857,0.462,47,1
28,0.571,0.25,4,1
378,7.714,0.286,77,1
1480,23.125,0.265,199,1
56,1.143,0.339,8,1
56,0.875,0.268,9,1
470,18.8,0.234,79,1
852,5.917,0.631,81,1
234,6.5,0.466,52,1
2510,25.1,0.179,327,1
675,8.333,0.396,121,1
1180,11.8,0.277,162,1
2826,34.889,0.156,352,1
456,7.125,0.434,68,1
780,7.8,0.255,113,1
256,4,0.23,42,1
1491,30.429,0.199,237,1
180,1.8,0.656,17,1
891,11,0.484,171,1
984,15.375,0.402,146,1
1969,16.273,0.33,226,1
72,1.125,0.403,15,1
165,6.6,0.376,43,1
876,6.083,0.257,105,1
96,1.5,0.375,14,1
95,3.8,0.505,22,1
77,1.571,0.364,18,1
112,1.75,0.277,11,1
1477,30.143,0.257,223,1
81,1,0.728,8,1
5964,41.417,0.269,658,1
2680,26.8,0.395,180,1
830,8.3,0.295,121,1
112,2.286,0.286,19,1
1111,9.182,0.253,164,1
2403,29.667,0.164,307,1
392,24.5,0.523,96,1
180,2.222,0.339,35,1
2403,29.667,0.131,234,1
2790,27.9,0.377,389,1
952,19.429,0.18,142,1
1520,23.75,0.326,223,1
2710,27.1,0.249,358,1
119,2.429,0.361,26,1
344,5.375,0.445,56,1
35,0.714,0.486,4,1
198,2.444,0.227,28,1
49,1,0.265,9,1
640,6.4,0.514,116,1
208,3.25,0.389,35,1
54,1.5,0.37,10,1
4248,7.375,0.508,268,1
203,4.143,0.305,42,1
224,3.5,0.308,22,1
100,1,0.57,18,1
5586,28.5,0.383,425,1
492,3.417,0.289,69,1
60,1.667,0.267,9,1
40,0.4,0.375,1,1
98,2,0.296,18,1
1864,29.125,0.151,207,1
304,4.75,0.339,59,1
315,3.889,0.263,29,1
4494,22.929,0.361,345,1
118,118,0.186,21,1
1250,12.5,0.19,170,1
4815,59.444,0.192,654,1
594,4.909,0.273,74,1
1976,11.692,0.312,220,1
245,5,0.482,42,1
4815,59.444,0.163,561,1
128,2,0.344,29,1
410,4.1,0.312,66,1
1067,8.818,0.297,132,1
272,4.25,0.371,48,1
3252,22.583,0.246,410,1
84,1.714,0.476,19,1
3836,4.893,0.265,201,1
1416,9.833,0.266,189,1
4410,19.6,0.395,330,1
686,14,0.254,114,1
576,7.111,0.299,95,1
216,2.667,0.537,40,1
4428,54.667,0.132,476,1
1078,8.909,0.276,138,1
112,1.75,0.42,23,1
140,2.857,0.229,27,1
48,3,0.146,7,1
1746,21.556,0.191,238,1
144,2.25,0.396,31,1
2490,24.9,0.462,326,1
963,11.889,0.209,146,1
540,15,0.394,97,1
77,1.571,0.234,11,1
869,7.182,0.342,135,1
504,6.222,0.339,77,1
583,4.818,0.225,38,1
77,1.571,0.312,16,1
424,6.625,0.33,86,1
50,2,0.36,14,1
492,13.667,0.274,97,1
672,13.714,0.274,115,1
2979,36.778,0.195,452,1
231,4.714,0.264,51,1
640,6.4,0.439,109,1
4184,65.375,0.06,209,1
265,10.6,0.223,46,1
264,4.125,0.371,52,1
95,3.8,0.442,28,1
664,10.375,0.294,90,1
927,11.444,0.243,159,1
1210,12.1,0.37,186,1
820,8.2,0.362,108,1
230,2.3,0.37,37,1
738,9.111,0.312,84,1
91,1.857,0.341,17,1
1326,36.833,0.268,183,1
460,0.87,0.507,11,1
500,5,0.326,81,1
320,5,0.35,62,1
264,4.125,0.345,58,1
477,5.889,0.252,78,1
423,5.222,0.286,62,1
72,1.125,0.375,13,1
30,1.2,0.433,8,1
396,24.75,0.503,83,1
99,0.818,0.404,9,1
25,1,0.36,7,1
266,5.429,0.248,50,1
70,1.429,0.329,18,1
5628,28.714,0.399,473,1
1665,20.556,0.417,222,1
112,2.286,0.259,14,1
13767,9.051,0.557,454,1
128,2,0.234,19,1
567,7,0.284,82,1
4300,43,0.351,559,1
324,2.25,0.318,39,1
108,3,0.315,21,1
2250,27.778,0.305,314,1
96,1.5,0.396,23,1
266,5.429,0.338,58,1
891,11,0.464,164,1
245,5,0.404,52,1
60,60,0.217,12,1
552,8.625,0.098,39,1
160,1.6,0.544,12,1
153,1.889,0.392,27,1
1400,21.875,0.156,183,1
730,7.3,0.273,108,1
3036,5.739,0.95,139,1
77,1.571,0.299,17,1
48,0.75,0.5,8,1
78,2.167,0.308,17,1
161,3.286,0.248,33,1
1928,30.125,0.119,182,1
77,1.571,0.312,20,1
30,1.2,0.333,1,1
161,3.286,0.286,29,1
282,7.833,0.177,31,1
385,3.182,0.335,27,1
396,4.889,0.412,66,1
120,1.875,0.3,23,1
981,12.111,0.243,151,1
1332,16.444,0.198,198,1
460,4.6,0.278,77,1
85,3.4,0.471,17,1
2871,23.727,0.231,354,1
24,0.667,0.583,3,1
384,6,0.354,72,1
176,2.75,0.403,35,1
5138,26.214,0.349,398,1
1122,9.273,0.289,173,1
96,2.667,0.49,22,1
4428,54.667,0.209,697,1
672,13.714,0.314,119,1
168,2.625,0.435,37,1
136,2.125,0.419,27,1
2620,26.2,0.273,391,1
391,1.353,0.373,14,1
847,17.286,0.305,144,1
242,2,0.603,17,1
891,11,0.27,125,1
363,3,0.278,48,1
704,5.818,0.395,83,1
774,9.556,0.301,105,1
408,11.333,0.257,91,1
180,2.222,0.339,26,1
560,8.75,0.371,122,1
217,4.429,0.382,45,1
378,4.667,0.378,54,1
48,1.333,0.542,13,1
18865,3.182,0.445,257,1
287,5.857,0.209,44,1
387,4.778,0.377,65,1
1210,12.1,0.268,131,1
49,1,0.918,2,1
1770,17.7,0.26,261,1
120,1.875,0.267,26,1
96,0.667,0.792,5,1
84,2.333,0.274,18,1
4272,7.417,0.483,258,1
210,2.1,0.324,20,1
576,16,0.238,99,1
184,2.875,0.321,39,1
1078,8.909,0.317,122,1
15,0.6,0.6,2,1
261,3.222,0.23,46,1
200,2,0.435,30,1
63,1.286,0.349,10,1
245,5,0.408,42,1
1260,12.6,0.463,185,1
208,3.25,0.37,44,1
126,2.571,0.214,24,1
408,1.412,0.407,34,1
80,0.8,0.313,16,1
2205,45,0.056,110,1
98,2,0.184,1,1
304,4.75,0.408,75,1
2620,26.2,0.19,377,1
24,0.375,0.458,5,1
1144,9.455,0.394,152,1
60,2.4,0.317,13,1
414,11.5,0.28,83,1
9,1,0.889,1,1
441,9,0.317,82,1
700,14.286,0.279,120,1
160,1.6,0.619,16,1
160,2.5,0.375,32,1
2768,43.25,0.166,339,1
2414,0.479,0.094,119,1
5632,22,0.39,418,1
35,1.4,0.686,8,1
259,5.286,0.282,54,1
15,0.6,0.6,1,1
6672,26.063,0.381,481,1
610,6.1,0.29,82,1
119,2.429,0.429,23,1
852,5.917,0.481,70,1
396,4.889,0.46,64,1
6224,24.313,0.364,424,1
700,14.286,0.411,157,1
5060,50.6,0.15,564,1
760,11.875,0.303,130,1
200,2,0.32,30,1
153,1.889,0.183,16,1
455,9.286,0.404,89,1
624,17.333,0.099,31,1
170,6.8,0.224,29,1
56,1.143,0.357,9,1
336,5.25,0.363,56,1
25748,3.829,0.296,703,1
1533,31.286,0.195,207,1
640,10,0.303,113,1
432,6.75,0.35,87,1
3146,18.615,0.231,312,1
330,2.727,0.467,37,1
462,9.429,0.171,53,1
300,2.083,0.32,37,1
320,5,0.391,60,1
1134,14,0.466,186,1
96,1.5,0.427,15,1
896,1.143,0.501,64,1
640,10,0.298,111,1
160,2.5,0.525,24,1
48,1.333,0.646,10,1
1068,7.417,0.429,131,1
84,1.714,0.476,14,1
64,1,0.391,9,1
1440,14.4,0.256,205,1
830,8.3,0.357,130,1
84,2.333,0.274,14,1
468,3.25,0.282,33,1
301,6.143,0.292,66,1
63,1.286,0.302,13,1
918,11.333,0.357,135,1
217,4.429,0.396,41,1
222,6.167,0.392,39,1
1056,8.727,0.331,81,1
423,5.222,0.371,57,1
128,2,0.375,23,1
2420,24.2,0.26,303,1
4848,33.667,0.334,573,1
105,2.143,0.324,11,1
940,9.4,0.25,138,1
136,2.125,0.199,9,1
656,10.25,0.402,126,1
1008,7,0.331,142,1
510,5.1,0.41,67,1
312,4.875,0.304,69,1
1575,19.444,0.19,221,1
156,4.333,0.519,36,1
264,4.125,0.39,60,1
144,1.778,0.208,14,1
1746,21.556,0.169,215,1
210,4.286,0.329,50,1
1440,22.5,0.199,219,1
180,2.222,0.261,28,1
369,4.556,0.507,57,1
2035,16.818,0.295,310,1
828,5.75,0.4,95,1
99,0.818,0.545,6,1
210,2.1,0.3,33,1
40,1.6,0.55,9,1
287,5.857,0.254,51,1
40,1.6,0.325,8,1
1030,10.3,0.25,146,1
72,1.125,0.458,15,1
2024,16.727,0.455,195,1
803,6.636,0.27,107,1
190,1.9,0.563,13,1
1281,26.143,0.265,181,1
210,4.286,0.295,35,1
72,1.125,0.319,11,1
259,5.286,0.301,43,1
2196,27.111,0.237,327,1
297,3.667,0.377,50,1
98,2,0.265,22,1
4450,7.12,0.475,266,1
45,45,0.356,15,1
344,5.375,0.387,69,1
918,11.333,0.404,132,1
55,0.455,0.655,3,1
132,1.091,0.455,27,1
504,3.5,0.355,66,1
180,1.8,0.389,37,1
1578,43.833,0.124,177,1
112,7,0.455,40,1
1053,13,0.419,178,1
91,1.857,0.308,21,1
470,4.7,0.198,72,1
432,6.75,0.275,87,1
770,15.714,0.174,107,1
168,0.857,0.661,12,1
1386,11.455,0.273,180,1
413,8.429,0.228,76,1
264,1.833,0.538,17,1
64,1,0.516,13,1
351,4.333,0.239,55,1
1128,17.625,0.371,227,1
10,0.4,0.8,1,1
70,1.429,0.286,11,1
56,1.143,0.357,10,1
512,8,0.541,72,1
96,1.5,0.417,20,1
108,0.75,0.509,6,1
473,3.909,0.281,61,1
20,0.8,0.6,5,1
40,2.5,0.5,5,1
423,5.222,0.371,57,1
4043,23.923,0.216,537,1
1815,8.067,0.428,145,1
2710,27.1,0.251,362,1
1276,10.545,0.274,194,1
693,5.727,0.413,93,1
531,6.556,0.492,81,1
9,9,0.778,1,1
114,3.167,0.184,17,1
376,5.875,0.324,56,1
287,5.857,0.185,35,1
78,2.167,0.282,14,1
1300,13,0.486,199,1
2040,9.067,0.24,174,1
42,10.5,0.167,5,1
1422,17.556,0.217,212,1
333,4.111,0.526,55,1
328,5.125,0.393,59,1
24,0.667,0.5,2,1
24,2.667,0.333,6,1
75,3,0.547,20,1
16,1,0.5,1,1
242,2,0.624,16,1
600,16.667,0.345,123,1
472,7.375,0.307,79,1
1818,22.444,0.087,122,1
80,3.2,0.563,17,1
2135,43.571,0.109,191,1
2620,26.2,0.274,399,1
738,9.111,0.428,133,1
2907,10.059,0.208,250,1
24,0.667,0.542,7,1
328,5.125,0.323,64,1
729,9,0.348,115,1
3240,5.625,0.911,158,1
306,3.778,0.386,49,1
150,4.167,0.34,36,1
128,2,0.422,30,1
330,3.3,0.327,46,1
126,3.5,0.349,33,1
207,2.556,0.222,34,1
108,1.333,0.389,18,1
42,1.167,0.452,9,1
147,3,0.259,26,1
32,0.5,0.469,3,1
570,15.833,0.256,82,1
81,1,0.296,15,1
473,3.909,0.336,58,1
918,11.333,0.166,96,1
25,1,0.52,6,1
128,2,0.359,23,1
510,14.167,0.239,86,1
153,1.889,0.608,13,1
408,1.412,0.4,34,1
387,4.778,0.509,55,1
707,14.429,0.501,111,1
140,2.857,0.457,26,1
648,8,0.255,82,1
1404,9.75,0.2,176,1
312,2.167,0.221,43,1
4596,31.917,0.307,485,1
602,12.286,0.294,105,1
2720,27.2,0.187,368,1
261,3.222,0.234,47,1
44,2.75,0.364,12,1
7300,11.68,0.45,454,1
4815,59.444,0.126,469,1
203,4.143,0.365,37,1
492,13.667,0.104,39,1
856,13.375,0.363,139,1
880,7.273,0.492,87,1
640,6.4,0.295,84,1
330,3.3,0.318,45,1
12,3,0.583,1,1
2079,17.182,0.174,256,1
1265,10.455,0.266,188,1
64,1,0.484,9,1
264,1.833,0.553,19,1
576,16,0.319,80,1
3384,41.778,0.225,569,1
1452,12,0.189,134,1
98,2,0.316,14,1
1386,28.286,0.055,62,1
2160,26.667,0.179,306,1
1700,17,0.261,268,1
64,1,0.406,12,1
200,3.125,0.37,36,1
392,6.125,0.413,84,1
90,3.6,0.467,22,1
168,2.625,0.262,29,1
5894,30.071,0.379,466,1
364,7.429,0.272,81,1
238,4.857,0.223,40,1
1539,19,0.121,138,1
210,4.286,0.338,46,1
312,4.875,0.205,47,1
1190,11.9,0.39,169,1
2988,36.889,0.159,393,1
4625,7.4,0.479,306,1
144,4,0.264,26,1
531,6.556,0.348,82,1
252,5.143,0.365,55,1
1106,22.571,0.211,146,1
40,1.6,0.425,11,1
693,8.556,0.251,93,1
96,1.5,0.438,28,1
224,3.5,0.259,30,1
47,47,0.426,19,1
855,2.368,0.243,69,1
49,1,0.306,11,1
56,0.875,0.482,10,1
315,3.889,0.362,58,1
405,5,0.447,56,1
30,0.833,0.367,4,1
48,1.333,0.458,9,1
140,5.6,0.307,33,1
440,6.875,0.225,56,1
198,2.444,0.192,29,1
90,3.6,0.689,18,1
42,0.857,0.405,9,1
2871,23.727,0.243,361,1
1386,28.286,0.17,174,1
904,14.125,0.21,135,1
182,3.714,0.346,42,1
180,2.222,0.3,31,1
128,2,0.344,23,1
130,1.3,0.315,17,1
3192,5.542,0.907,155,1
1210,12.1,0.415,192,1
63,1.286,0.46,12,1
1540,3.182,0.525,70,1
203,4.143,0.36,52,1
104,1.625,0.529,19,1
440,4.4,0.314,72,1
27,27,0.593,4,1
896,14,0.17,120,1
837,10.333,0.229,122,1
2889,35.667,0.154,339,1
1617,13.364,0.32,235,1
990,8.182,0.385,158,1
56,0.875,0.411,12,1
576,16,0.309,73,1
548,34.25,0.173,29,1
1963,11.615,0.302,229,1
180,2.222,0.628,14,1
488,7.625,0.207,77,1
156,1.083,0.372,25,1
100,1,0.5,1,1
820,8.2,0.3,120,1
60,60,0.2,11,1
672,10.5,0.229,110,1
195,7.8,0.436,24,1
144,2.25,0.215,13,1
576,16,0.26,98,1
2710,27.1,0.168,351,1
5558,28.357,0.342,420,1
594,16.5,0.301,123,1
684,8.444,0.307,114,1
462,3.818,0.284,68,1
1270,12.7,0.388,210,1
497,10.143,0.193,67,1
630,6.3,0.294,84,1
360,5.625,0.222,42,1
42,42,0.381,15,1
324,4,0.552,51,1
1440,17.778,0.36,197,1
276,7.667,0.315,41,1
380,3.8,0.397,56,1
340,3.4,0.356,61,1
423,5.222,0.307,64,1
215,8.6,0.372,55,1
441,5.444,0.222,77,1
5026,25.643,0.368,405,1
1310,13.1,0.456,199,1
42,4.667,0.381,5,1
384,24,0.417,73,1
260,2.6,0.354,44,1
2710,27.1,0.267,369,1
216,6,0.509,55,1
2610,26.1,0.259,388,1
80,0.8,0.575,5,1
480,4.8,0.313,60,1
99,0.818,0.475,3,1
72,2,0.375,18,1
5720,33.846,0.255,669,1
224,3.5,0.397,43,1
6768,11.75,0.443,384,1
108,1.333,0.407,27,1
560,11.429,0.5,79,1
972,12,0.247,142,1
3647,74.429,0.091,260,1
756,9.333,0.288,119,1
650,6.5,0.475,112,1
49,1,0.286,4,1
98,2,0.255,16,1
80,1.25,0.475,13,1
189,2.333,0.291,35,1
128,2,0.328,22,1
760,11.875,0.187,106,1
3692,21.846,0.205,405,1
322,6.571,0.304,64,1
2981,24.636,0.278,417,1
147,3,0.313,22,1
2875,5.435,0.953,132,1
1250,12.5,0.456,195,1
1730,17.3,0.09,102,1
350,3.5,0.42,66,1
54,1.5,0.556,14,1
234,2.889,0.342,34,1
648,10.125,0.221,111,1
105,2.143,0.4,23,1
598,1.13,0.278,92,1
264,4.125,0.371,51,1
126,3.5,0.238,19,1
4760,24.286,0.344,356,1
77,1.571,0.364,19,1
60,1.667,0.4,16,1
360,4.444,0.319,49,1
276,1.917,0.576,21,1
1584,24.75,0.215,260,1
4590,56.667,0.148,513,1
3264,22.667,0.249,404,1
410,16.4,0.361,70,1
2331,28.778,0.189,336,1
3471,20.538,0.401,286,1
275,2.273,0.327,46,1
360,5.625,0.156,30,1
42,1.167,0.5,10,1
264,4.125,0.436,61,1
391,1.353,0.419,25,1
2178,18,0.383,288,1
352,5.5,0.415,71,1
174,4.833,0.42,38,1
374,1.294,0.321,14,1
837,10.333,0.278,140,1
534,14.833,0.298,99,1
2622,1.816,0.476,292,1
560,8.75,0.341,115,1
100,4,0.49,31,1
462,3.818,0.292,70,1
100,6.25,0.28,21,1
405,5,0.279,52,1
3264,22.667,0.219,397,1
324,4,0.565,58,1
747,9.222,0.335,122,1
35,1.4,0.571,8,1
378,7.714,0.497,55,1
946,7.818,0.283,140,1
180,1.8,0.467,10,1
20,0.8,0.45,1,1
90,0.9,0.689,6,1
460,4.6,0.3,66,1
104,1.625,0.413,22,1
80,1.25,0.425,16,1
1298,10.727,0.348,167,1
735,15,0.127,67,1
1360,21.25,0.277,236,1
162,2,0.63,14,1
1050,10.5,0.234,145,1
77,1.571,0.39,19,1
572,3.385,0.171,61,1
4410,54.444,0.067,212,1
392,8,0.143,36,1
152,2.375,0.388,27,1
738,9.111,0.335,100,1
56,3.5,0.268,9,1
230,2.3,0.261,34,1
2840,28.4,0.202,402,1
40,0.625,0.325,2,1
564,15.667,0.287,66,1
75,3,0.507,12,1
2565,31.667,0.338,358,1
81,1,0.346,10,1
390,3.9,0.31,62,1
140,2.857,0.464,28,1
738,9.111,0.389,123,1
210,4.286,0.271,43,1
999,12.333,0.188,126,1
1080,13.333,0.176,147,1
808,12.625,0.222,139,1
24,0.667,0.417,2,1
288,3.556,0.271,35,1
42,1.167,0.262,8,1
322,6.571,0.354,78,1
200,3.125,0.28,35,1
60,2.4,0.467,6,1
4199,24.846,0.256,449,1
344,5.375,0.398,81,1
4186,24.769,0.375,340,1
91,1.857,0.374,18,1
100,1,0.34,18,1
320,5,0.347,68,1
240,2.4,0.267,31,1
105,4.2,0.333,24,1
390,3.9,0.285,58,1
344,5.375,0.326,62,1
312,4.875,0.388,55,1
5130,22.8,0.24,495,1
195,7.8,0.328,31,1
1020,7.083,0.476,90,1
333,4.111,0.333,50,1
133,2.714,0.286,28,1
490,4.9,0.165,60,1
369,4.556,0.263,69,1
980,9.8,0.379,167,1
1620,20,0.16,186,1
468,5.778,0.37,101,1
40,40,0.9,3,1
1298,10.727,0.26,168,1
273,0.619,0.168,20,1
63,1.286,0.365,14,1
630,6.3,0.184,83,1
102,2.833,0.451,18,1
15580,10.789,0.254,1651,1
152,2.375,0.388,30,1
248,3.875,0.371,46,1
5317,31.462,0.267,637,1
250,2.5,0.32,40,1
220,2.2,0.309,29,1
2620,26.2,0.185,369,1
4824,59.556,0.189,662,1
440,0.909,0.28,23,1
180,2.222,0.294,35,1
72,1.125,0.528,12,1
152,2.375,0.184,19,1
144,2.25,0.403,23,1
252,5.143,0.302,56,1
468,5.778,0.359,70,1
495,6.111,0.275,71,1
756,9.333,0.25,103,1
2448,30.222,0.269,342,1
144,1.778,0.556,12,1
28,0.571,0.714,2,1
63,0.778,0.365,13,1
531,6.556,0.237,81,1
385,7.857,0.374,69,1
1080,7.5,0.183,103,1
85,3.4,0.576,21,1
322,6.571,0.298,44,1
192,3,0.406,35,1
1079,6.385,0.373,115,1
72,1.125,0.361,15,1
427,8.714,0.319,77,1
630,7.778,0.433,98,1
128,2,0.367,25,1
252,5.143,0.409,56,1
217,4.429,0.461,47,1
384,1.5,0.393,32,1
66,1.833,0.303,13,1
325,1.923,0.351,19,1
120,0.833,0.442,10,1
1176,8.167,0.267,135,1
333,4.111,0.444,71,1
20,0.8,0.35,4,1
352,2.909,0.256,45,1
3123,38.556,0.111,275,1
136,2.125,0.529,25,1
55,2.2,0.309,10,1
1064,21.714,0.214,179,1
247,0.684,0.215,35,1
200,3.125,0.405,41,1
75,3,0.36,20,1
231,4.714,0.143,14,1
1150,11.5,0.24,187,1
2784,19.333,0.316,375,1
40,0.625,0.475,8,1
1200,18.75,0.205,187,1
81,1,0.383,13,1
24,1.5,0.458,2,1
1507,12.455,0.317,177,1
184,2.875,0.364,33,1
368,5.75,0.34,70,1
400,4,0.338,71,1
42,1.167,0.476,9,1
280,4.375,0.418,49,1
81,1,0.16,8,1
112,1.75,0.375,20,1
112,2.286,0.42,22,1
504,7.875,0.435,91,1
200,3.125,0.335,40,1
112,1.75,0.143,6,1
108,1.333,0.444,28,1
336,5.25,0.271,59,1
144,2.25,0.361,24,1
81,1,0.321,2,1
132,1.091,0.492,15,1
1056,16.5,0.31,178,1
864,13.5,0.348,182,1
963,11.889,0.375,186,1
1606,13.273,0.238,209,1
152,2.375,0.434,22,1
77,1.571,0.416,16,1
828,10.222,0.35,140,1
72,4.5,0.333,14,1
189,2.333,0.429,27,1
105,2.143,0.371,22,1
190,1.9,0.363,28,1
65,2.6,0.246,12,1
495,19.8,0.303,78,1
4806,59.333,0.169,607,1
138,3.833,0.377,22,1
485,19.4,0.334,82,1
738,9.111,0.385,124,1
90,0.9,0.344,11,1
441,9,0.333,74,1
380,3.8,0.187,52,1
1674,20.667,0.372,255,1
49,1,0.327,12,1
252,3.111,0.25,43,1
423,5.222,0.333,59,1
78,2.167,0.179,7,1
5460,27.857,0.358,441,1
830,8.3,0.266,105,1
352,5.5,0.426,46,1
426,11.833,0.329,89,1
450,4.5,0.296,59,1
70,2.8,0.257,5,1
135,5.4,0.267,21,1
528,3.667,0.294,67,1
102,2.833,0.275,21,1
1834,37.429,0.152,218,1
644,13.143,0.309,106,1
170,1.7,0.535,12,1
1435,29.286,0.109,124,1
207,2.556,0.169,12,1
2422,49.429,0.167,339,1
1337,27.286,0.307,247,1
49,1,0.429,11,1
60,1.667,0.183,6,1
1505,30.714,0.548,246,1
2920,29.2,0.203,397,1
477,5.889,0.317,91,1
192,3,0.323,28,1
320,5,0.456,54,1
468,5.778,0.286,73,1
88,0.727,0.693,6,1
270,3.333,0.285,51,1
176,2.75,0.398,27,1
322,6.571,0.416,51,1
49,1,0.245,7,1
