@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,48,A101,44,1,A201,2
A13,12,A101,28,1,A201,2
A11,12,A101,24,1,A201,2
A11,18,A101,23,1,A201,2
A12,12,A101,25,1,A201,2
A12,12,A101,46,1,A201,2
A12,9,A101,74,2,A201,2
A14,24,A101,47,2,A201,2
A11,18,A101,32,2,A201,2
A14,36,A101,25,1,A201,2
A11,16,A103,43,1,A201,2
A12,30,A101,26,1,A201,2
A11,18,A101,65,1,A201,2
A11,48,A101,54,1,A201,2
A12,36,A101,30,1,A201,2
A12,24,A101,23,1,A201,2
A11,12,A101,46,1,A201,2
A12,36,A101,37,1,A201,2
A11,18,A102,42,1,A201,2
A12,9,A101,22,1,A201,2
A11,48,A101,31,1,A201,2
A12,12,A101,37,1,A201,2
A14,18,A101,31,1,A201,2
A12,30,A101,30,1,A201,2
A12,30,A101,28,1,A201,2
A12,18,A101,38,1,A201,2
A12,60,A101,27,1,A201,2
A14,18,A101,32,1,A201,2
A11,42,A101,34,1,A201,2
A11,60,A101,63,1,A201,2
A11,12,A101,24,1,A201,2
A11,48,A101,46,1,A201,2
A14,9,A102,19,1,A201,2
A11,18,A101,51,2,A201,2
A11,12,A101,48,1,A201,2
A11,15,A101,33,2,A201,2
A12,27,A101,42,1,A201,2
A12,48,A101,24,1,A201,2
A14,12,A101,41,2,A201,2
A14,36,A101,26,1,A201,2
A11,24,A101,21,2,A201,2
A14,21,A101,41,2,A201,2
A14,18,A101,22,1,A201,2
A12,60,A101,24,1,A201,2
A11,18,A101,20,1,A201,2
A11,30,A101,31,1,A201,2
A11,24,A101,53,2,A201,2
A11,18,A101,24,1,A201,2
A11,48,A101,24,2,A201,2
A11,20,A103,33,1,A202,2
A14,10,A103,27,1,A201,2
A14,36,A101,28,1,A201,2
A11,14,A101,45,1,A202,2
A12,15,A101,61,1,A201,2
A11,21,A101,26,1,A201,2
A12,6,A101,23,1,A201,2
A11,12,A101,53,1,A201,2
A12,36,A101,28,1,A201,2
A11,24,A103,24,1,A201,2
A14,18,A102,43,2,A201,2
A11,36,A101,31,1,A201,2
A12,18,A101,33,1,A201,2
A12,12,A101,25,1,A201,2
A11,24,A101,48,1,A201,2
A14,48,A101,33,1,A201,2
A14,18,A101,28,1,A201,2
A14,18,A101,36,2,A201,2
A12,9,A101,34,1,A201,2
A11,60,A102,36,1,A201,2
A11,36,A101,29,1,A201,2
A11,24,A101,39,1,A201,2
A11,24,A101,29,1,A201,2
A13,9,A101,34,1,A201,2
A12,24,A101,34,1,A201,2
A12,9,A101,30,1,A201,2
A12,18,A103,30,1,A201,2
A12,15,A101,26,1,A201,2
A12,48,A101,50,1,A201,2
A14,30,A101,53,1,A201,2
A12,48,A101,28,1,A201,2
A11,24,A101,27,1,A201,2
A13,24,A101,38,2,A201,2
A12,18,A101,33,1,A201,2
A12,12,A101,25,1,A201,2
A11,28,A101,45,1,A201,2
A11,12,A101,28,1,A201,2
A12,30,A101,49,1,A201,2
A12,12,A101,25,1,A201,2
A11,48,A101,39,2,A201,2
A12,24,A101,22,1,A201,2
A11,48,A101,42,1,A201,2
