@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,A32,A42,959,A152,A173,2
A12,A30,A49,14421,A152,A173,2
A11,A32,A40,900,A152,A173,2
A11,A32,A41,7511,A153,A173,2
A11,A32,A40,7763,A153,A174,2
A11,A32,A40,1842,A152,A173,2
A12,A34,A40,4249,A152,A174,2
A11,A33,A46,3414,A152,A173,2
A12,A32,A43,766,A152,A172,2
A12,A34,A43,1245,A152,A173,2
A12,A32,A42,1922,A152,A172,2
A14,A34,A40,2775,A152,A173,2
A12,A30,A40,1778,A151,A171,2
A11,A30,A42,3114,A151,A173,2
A11,A30,A45,1108,A152,A173,2
A11,A32,A48,902,A151,A173,2
A12,A33,A43,1919,A152,A174,2
A11,A32,A40,2579,A152,A172,2
A11,A32,A42,7865,A153,A174,2
A12,A33,A40,1209,A152,A174,2
A11,A33,A43,1659,A151,A172,2
A12,A32,A43,5595,A152,A173,2
A14,A32,A45,1943,A152,A173,2
A12,A32,A40,7408,A152,A174,2
A11,A34,A42,4281,A152,A173,2
A12,A32,A43,1670,A152,A173,2
A12,A34,A43,4933,A152,A173,2
A11,A30,A42,7119,A153,A173,2
A12,A33,A45,1512,A152,A173,2
A11,A34,A40,2625,A151,A173,2
A11,A30,A40,950,A151,A173,2
A11,A30,A40,1082,A152,A173,2
A14,A32,A49,3914,A152,A173,2
A12,A32,A40,836,A152,A172,2
A14,A32,A42,4611,A152,A173,2
A12,A34,A40,2820,A152,A173,2
A13,A34,A43,1271,A153,A173,2
A11,A32,A42,3234,A151,A172,2
A13,A34,A46,2319,A151,A173,2
A14,A33,A49,7980,A151,A173,2
A11,A32,A46,750,A152,A171,2
A11,A32,A44,1217,A152,A172,2
A11,A31,A42,6872,A152,A173,2
A12,A34,A40,1056,A152,A173,2
A12,A33,A42,2064,A152,A174,2
A12,A31,A46,1837,A153,A172,2
A12,A31,A40,931,A152,A172,2
A11,A32,A40,1207,A151,A173,2
A14,A32,A40,1386,A152,A173,2
A12,A32,A40,888,A152,A172,2
A12,A31,A40,6850,A152,A174,2
A13,A32,A40,1240,A153,A172,2
A11,A30,A43,6199,A151,A173,2
A13,A32,A43,2100,A152,A173,2
A12,A34,A42,4736,A152,A172,2
A11,A31,A49,3161,A151,A173,2
A11,A32,A43,1882,A151,A173,2
A14,A33,A40,2538,A152,A172,2
A12,A32,A46,6288,A153,A173,2
A11,A32,A43,1823,A152,A174,2
A11,A34,A40,2235,A151,A173,2
A12,A32,A40,14318,A153,A174,2
A14,A32,A43,3621,A152,A173,2
A12,A30,A410,18424,A152,A174,2
A14,A32,A42,10974,A152,A174,2
A12,A30,A40,2278,A152,A173,2
A14,A32,A40,1309,A152,A172,2
A12,A32,A43,1331,A152,A173,2
A12,A30,A43,3804,A152,A173,2
A11,A31,A42,2746,A152,A173,2
A11,A32,A46,684,A151,A172,2
A11,A31,A42,3552,A152,A173,2
A12,A32,A42,918,A152,A173,2
A11,A32,A43,674,A152,A173,2
A14,A32,A43,5943,A152,A173,2
A11,A32,A43,2302,A151,A173,2
A11,A34,A40,3499,A152,A173,2
A11,A32,A43,1366,A151,A173,2
A11,A32,A40,1371,A151,A173,2
A14,A31,A40,6458,A152,A174,2
A12,A34,A46,1501,A152,A174,2
A11,A32,A40,4817,A152,A173,2
A11,A34,A40,3966,A151,A173,2
A11,A34,A40,1199,A152,A172,2
A14,A33,A49,9572,A152,A173,2
A14,A32,A43,433,A151,A173,2
A14,A32,A40,2570,A151,A173,2
A11,A31,A42,3349,A153,A173,2
A12,A31,A46,433,A151,A173,2
A11,A34,A41,6331,A153,A173,2
A12,A34,A42,5096,A152,A174,2
A11,A33,A46,6887,A152,A173,2
A14,A32,A42,1533,A152,A172,2
A11,A32,A43,6999,A152,A173,2
A11,A32,A46,1977,A152,A174,2
A12,A34,A43,4746,A152,A172,2
A11,A32,A40,9271,A152,A173,2
A12,A30,A49,4280,A151,A172,2
A12,A32,A43,5951,A152,A173,2
A12,A32,A46,12612,A153,A173,2
A11,A32,A44,3051,A152,A173,2
A12,A33,A46,6224,A153,A173,2
A11,A32,A44,741,A152,A173,2
A11,A32,A40,915,A152,A173,2
A12,A30,A49,15945,A151,A173,2
A12,A32,A40,1295,A151,A173,2
A11,A32,A42,5179,A152,A173,2
A13,A32,A43,745,A152,A172,2
A11,A32,A43,3190,A152,A173,2
A12,A32,A49,2767,A151,A172,2
A11,A32,A43,709,A152,A172,2
A12,A34,A40,884,A152,A173,2
A12,A34,A40,5234,A152,A174,2
A13,A31,A49,609,A152,A171,2
A14,A34,A40,7855,A152,A173,2
A11,A32,A40,3959,A152,A173,2
A11,A32,A43,1345,A152,A173,2
A11,A32,A42,2712,A152,A173,2
A14,A31,A41,7485,A152,A174,2
A11,A31,A49,7685,A151,A173,2
A14,A32,A46,719,A152,A172,2
A14,A32,A49,4844,A151,A174,2
A12,A32,A45,639,A152,A173,2
A12,A32,A43,3092,A151,A173,2
A13,A32,A40,947,A153,A173,2
A11,A32,A40,3931,A153,A173,2
A12,A32,A40,1042,A152,A173,2
A11,A32,A42,4153,A152,A173,2
A14,A32,A42,3349,A152,A174,2
A11,A34,A45,1190,A153,A171,2
A11,A32,A42,6350,A152,A173,2
A14,A32,A42,1123,A151,A172,2
A11,A32,A46,795,A152,A173,2
A11,A31,A410,1358,A152,A174,2
A12,A33,A49,4455,A152,A174,2
A11,A32,A40,976,A152,A172,2
A12,A31,A49,6416,A151,A173,2
A12,A31,A41,5129,A153,A174,2
A12,A32,A40,2718,A151,A172,2
A13,A34,A40,939,A152,A173,2
A11,A32,A43,2600,A153,A173,2
A14,A32,A43,2397,A152,A173,2
A11,A33,A49,6836,A152,A173,2
A11,A32,A43,1987,A151,A172,2
A12,A32,A410,11328,A152,A174,2
A12,A32,A40,685,A152,A172,2
A12,A32,A42,951,A151,A173,2
A12,A32,A45,2384,A151,A172,2
A12,A31,A40,1264,A151,A173,2
A14,A33,A43,4463,A152,A174,2
A11,A33,A43,4370,A152,A173,2
A14,A33,A49,8648,A152,A173,2
A11,A32,A40,1372,A152,A173,2
A14,A34,A49,2292,A152,A174,2
A11,A32,A43,7174,A152,A174,2
A12,A32,A40,1223,A151,A173,2
A11,A34,A42,6229,A151,A172,2
A11,A32,A43,1938,A152,A173,2
A12,A32,A49,1188,A152,A173,2
A12,A34,A43,1216,A152,A173,2
A11,A32,A40,759,A152,A173,2
A12,A32,A43,1484,A152,A173,2
A11,A32,A42,3345,A151,A174,2
A12,A30,A49,8318,A153,A174,2
A11,A32,A40,1216,A151,A173,2
A14,A34,A41,11590,A151,A172,2
A11,A32,A40,1228,A152,A172,2
A12,A30,A49,1953,A153,A174,2
A12,A32,A40,1246,A152,A172,2
A12,A32,A43,802,A152,A173,2
A14,A34,A42,7127,A151,A173,2
A12,A32,A42,9960,A152,A173,2
A12,A32,A41,9398,A151,A174,2
A12,A34,A46,1136,A153,A173,2
A12,A32,A42,1237,A152,A173,2
A11,A32,A43,6758,A152,A173,2
A11,A32,A43,1835,A152,A173,2
A12,A31,A410,14782,A153,A174,2
A11,A32,A40,8978,A152,A174,2
A14,A33,A49,2580,A152,A172,2
A11,A31,A40,1442,A153,A172,2
A12,A34,A42,8386,A152,A173,2
A12,A33,A40,8086,A152,A174,2
A12,A32,A49,3915,A152,A173,2
A11,A32,A43,1282,A152,A172,2
A12,A32,A42,2762,A152,A173,2
A12,A32,A40,2150,A152,A173,2
A14,A32,A46,4623,A152,A174,2
A12,A32,A40,6560,A152,A173,2
A12,A32,A41,11560,A151,A174,2
A12,A32,A49,15672,A152,A173,2
A12,A32,A40,1355,A152,A172,2
A11,A31,A40,1193,A151,A171,2
A12,A32,A41,12976,A153,A174,2
A12,A32,A43,6468,A152,A174,2
A12,A30,A42,2969,A151,A173,2
A11,A32,A40,1422,A153,A174,2
A13,A32,A42,2864,A152,A172,2
A12,A30,A49,3844,A153,A172,2
A11,A32,A40,1285,A151,A173,2
A11,A34,A42,3384,A151,A174,2
A11,A32,A40,4006,A152,A172,2
A11,A31,A40,697,A152,A173,2
A12,A34,A42,1928,A152,A172,2
A11,A32,A42,2473,A152,A171,2
A11,A34,A40,691,A152,A173,2
A11,A32,A46,448,A152,A173,2
A14,A30,A40,5003,A152,A173,2
A11,A33,A40,4870,A153,A173,2
A11,A32,A42,2359,A152,A173,2
A11,A31,A43,626,A152,A172,2
A14,A32,A43,1478,A152,A173,2
A11,A32,A42,1282,A151,A173,2
