@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A14,A32,A43,2171,A123,A141,A152,1,1
A14,A32,A43,2299,A123,A143,A152,1,1
A11,A34,A43,1957,A123,A143,A152,1,1
A14,A34,A43,3578,A121,A143,A152,1,1
A12,A32,A49,1410,A121,A143,A152,1,1
A11,A32,A40,3249,A124,A141,A153,1,1
A14,A34,A46,2748,A124,A141,A153,3,1
A14,A34,A46,936,A123,A143,A152,2,1
A12,A32,A43,625,A121,A141,A152,1,1
A14,A32,A41,3812,A123,A143,A152,1,1
A12,A32,A43,5084,A123,A143,A152,1,1
A11,A34,A41,1526,A124,A143,A153,2,1
A12,A32,A43,590,A121,A143,A152,1,1
A14,A32,A40,7393,A122,A143,A152,1,1
A14,A34,A43,1516,A121,A143,A152,2,1
A14,A34,A40,1495,A121,A143,A152,2,1
A12,A33,A43,9157,A124,A143,A153,1,1
A14,A32,A40,2133,A124,A143,A153,1,1
A13,A34,A40,781,A124,A143,A153,2,1
A14,A33,A49,2375,A123,A143,A152,2,1
A14,A34,A40,6761,A124,A143,A152,2,1
A14,A32,A41,2670,A123,A143,A152,1,1
A14,A32,A40,6527,A124,A143,A153,1,1
A12,A33,A49,9857,A122,A143,A152,2,1
A14,A32,A43,707,A121,A141,A152,2,1
A13,A32,A43,4473,A123,A143,A152,1,1
A11,A32,A42,1262,A122,A143,A152,1,1
A14,A34,A41,4042,A122,A143,A152,2,1
A14,A34,A40,2080,A123,A143,A152,1,1
A12,A33,A40,7432,A122,A143,A151,1,1
A12,A32,A46,1199,A122,A143,A152,2,1
A12,A34,A46,5743,A124,A143,A153,2,1
A14,A33,A49,4272,A122,A143,A152,2,1
A13,A32,A46,392,A122,A143,A151,1,1
A12,A34,A42,3617,A123,A143,A151,3,1
A14,A30,A45,2613,A123,A143,A152,2,1
A14,A34,A43,1934,A124,A143,A152,2,1
A12,A32,A43,753,A121,A143,A152,1,1
A12,A32,A40,7308,A124,A141,A153,1,1
A14,A34,A40,926,A122,A143,A152,1,1
A14,A32,A46,3832,A121,A143,A152,1,1
A11,A32,A42,2136,A121,A143,A152,1,1
A12,A33,A40,1965,A123,A143,A151,2,1
A12,A31,A43,1048,A121,A142,A152,1,1
A14,A32,A44,1338,A121,A143,A152,1,1
A13,A34,A41,4796,A124,A143,A153,1,1
A11,A31,A43,1940,A124,A141,A153,1,1
A12,A33,A43,6403,A123,A143,A152,1,1
A11,A32,A46,7476,A124,A143,A153,1,1
A13,A32,A42,1424,A121,A143,A152,1,1
A14,A32,A49,5742,A123,A143,A152,2,1
A14,A34,A41,5804,A121,A143,A152,2,1
A14,A34,A43,2611,A121,A143,A152,2,1
A14,A32,A43,1979,A123,A143,A152,1,1
A14,A32,A48,894,A122,A143,A152,1,1
A11,A32,A42,1289,A122,A143,A152,1,1
A14,A32,A42,2515,A121,A143,A152,1,1
A12,A33,A46,11760,A124,A143,A151,1,1
A14,A34,A40,1055,A122,A143,A152,2,1
A11,A34,A40,731,A121,A143,A152,2,1
A11,A32,A40,3973,A124,A143,A153,1,1
A14,A34,A40,3535,A123,A143,A152,2,1
A14,A34,A43,1154,A121,A143,A152,3,1
A14,A32,A41,5433,A122,A143,A151,1,1
A12,A32,A41,7966,A123,A143,A152,2,1
A14,A34,A43,5771,A123,A143,A152,2,1
A14,A34,A43,2684,A121,A143,A152,2,1
A11,A34,A43,338,A123,A143,A152,2,1
A14,A32,A41,5248,A123,A143,A152,1,1
A14,A34,A410,6314,A124,A141,A152,2,1
A14,A32,A43,3105,A123,A143,A152,2,1
A11,A34,A42,1433,A122,A143,A151,2,1
A12,A32,A40,276,A121,A143,A151,1,1
A14,A34,A43,4530,A123,A143,A151,1,1
A11,A34,A41,6187,A123,A143,A151,2,1
A14,A31,A48,3447,A121,A143,A152,1,1
A12,A33,A40,2353,A122,A143,A152,2,1
A14,A32,A42,1388,A121,A143,A151,1,1
A12,A31,A44,3990,A124,A141,A152,1,1
A11,A32,A42,1620,A122,A143,A152,1,1
A11,A31,A42,2828,A121,A142,A152,1,1
A13,A32,A40,1330,A121,A143,A152,1,1
A14,A32,A43,1473,A121,A143,A152,1,1
A12,A32,A49,1037,A121,A143,A152,1,1
A12,A32,A43,3031,A122,A143,A151,1,2
A12,A30,A49,4241,A121,A143,A152,3,2
A12,A32,A40,7408,A122,A143,A152,1,2
A14,A32,A46,719,A123,A141,A152,1,2
A11,A34,A40,2235,A122,A141,A151,2,2
A11,A32,A45,11998,A124,A143,A152,1,2
A11,A32,A43,2302,A123,A143,A151,1,2
A11,A32,A40,1285,A124,A143,A151,1,2
A13,A34,A40,1344,A121,A141,A152,2,2
A14,A32,A42,1533,A122,A143,A152,1,2
A14,A33,A49,2580,A121,A141,A152,1,2
A11,A32,A41,10297,A124,A142,A153,3,2
A12,A32,A43,766,A121,A143,A152,1,2
A12,A32,A43,1670,A123,A143,A152,1,2
A14,A33,A49,2169,A123,A143,A152,1,2
A11,A32,A43,727,A124,A143,A152,1,2
A11,A34,A42,2124,A121,A143,A151,2,2
A14,A32,A42,1123,A123,A143,A151,1,2
A11,A34,A40,691,A122,A143,A152,2,2
A13,A32,A40,947,A124,A141,A153,1,2
A12,A32,A42,951,A123,A141,A151,4,2
A12,A32,A45,639,A123,A143,A152,1,2
A12,A34,A40,1056,A121,A141,A152,2,2
A11,A32,A43,1882,A123,A141,A151,2,2
A11,A30,A43,6199,A122,A143,A151,2,2
A11,A32,A43,1938,A122,A143,A152,1,2
A11,A32,A42,4153,A123,A143,A152,1,2
A11,A32,A43,1282,A123,A143,A152,1,2
A14,A33,A43,4463,A123,A143,A152,2,2
A12,A34,A40,884,A123,A141,A152,1,2
A11,A33,A49,2145,A123,A143,A152,2,2
A11,A32,A44,741,A122,A143,A152,1,2
A14,A32,A43,2397,A123,A141,A152,2,2
A11,A31,A410,1358,A123,A142,A152,1,2
A12,A30,A49,4280,A123,A143,A151,2,2
A12,A34,A410,11938,A123,A143,A152,2,2
A11,A33,A43,4370,A122,A141,A152,2,2
A12,A33,A42,4297,A124,A143,A152,1,2
A14,A32,A43,3621,A123,A143,A152,2,2
A14,A33,A42,1808,A121,A143,A152,1,2
A11,A32,A43,1845,A124,A143,A153,1,2
A11,A31,A40,697,A123,A141,A152,2,2
A13,A34,A46,2319,A123,A143,A151,1,2
A12,A32,A41,9398,A123,A143,A151,1,2
A11,A31,A40,1442,A124,A143,A153,2,2
A12,A30,A49,3844,A124,A143,A153,1,2
A12,A32,A42,9034,A124,A143,A151,1,2
A12,A33,A49,4455,A121,A142,A152,2,2
A12,A33,A42,2064,A122,A143,A152,1,2
A11,A30,A42,4110,A124,A141,A151,2,2
A11,A32,A42,7865,A124,A143,A153,1,2
A13,A32,A43,2100,A121,A142,A152,1,2
A11,A30,A49,5293,A122,A142,A152,2,2
A12,A32,A49,15672,A123,A143,A152,1,2
A13,A32,A43,745,A121,A143,A152,1,2
A12,A32,A41,12579,A124,A143,A153,1,2
A12,A30,A49,15945,A124,A143,A151,1,2
A12,A32,A43,3060,A121,A143,A152,2,2
A14,A34,A41,11590,A123,A141,A151,2,2
A12,A31,A41,5129,A124,A141,A153,1,2
A12,A31,A40,931,A122,A142,A152,1,2
A11,A31,A46,1198,A124,A143,A153,1,2
A11,A32,A40,900,A123,A143,A152,1,2
A11,A34,A40,3499,A121,A143,A152,2,2
A12,A33,A40,1209,A122,A143,A152,1,2
A11,A32,A40,3123,A122,A143,A152,1,2
A11,A33,A40,4870,A124,A143,A153,2,2
A14,A34,A40,12680,A124,A143,A153,1,2
A11,A34,A46,5998,A124,A141,A152,1,2
A12,A32,A43,2671,A124,A143,A153,1,2
A13,A32,A40,1240,A124,A143,A153,1,2
A11,A30,A42,3114,A122,A143,A151,1,2
A11,A34,A41,9629,A123,A143,A152,2,2
A12,A32,A42,4057,A123,A143,A152,1,2
A14,A32,A40,6761,A123,A143,A151,2,2
A11,A32,A40,14896,A124,A141,A152,1,2
A11,A32,A46,1977,A124,A143,A152,1,2
A14,A32,A43,5943,A123,A143,A152,2,2
A12,A32,A43,10961,A124,A141,A152,2,2
A11,A32,A43,6758,A123,A143,A152,1,2
A11,A31,A40,1193,A124,A143,A151,2,2
A14,A32,A43,433,A121,A143,A151,1,2
A12,A34,A43,4933,A121,A143,A152,2,2
A11,A32,A46,750,A121,A143,A152,1,2
A11,A31,A49,3161,A122,A143,A151,1,2
A11,A32,A43,1987,A121,A143,A151,1,2
A11,A31,A43,626,A121,A141,A152,1,2
A14,A32,A49,4844,A123,A141,A151,1,2
A11,A31,A42,6872,A122,A141,A152,1,2
A11,A32,A41,8229,A122,A143,A152,1,2
A11,A30,A45,1108,A121,A143,A152,2,2
A12,A33,A40,8086,A123,A143,A152,4,2
A12,A32,A42,2762,A122,A141,A152,1,2
A11,A32,A43,7174,A123,A143,A152,1,2
A12,A32,A410,11328,A123,A141,A152,2,2
A14,A32,A43,1478,A123,A143,A152,1,2
A12,A32,A40,1223,A121,A143,A151,2,2
A14,A32,A40,2570,A121,A143,A151,1,2
A14,A32,A42,1980,A123,A143,A151,2,2
A12,A32,A49,2767,A123,A141,A151,2,2
A12,A32,A43,5595,A123,A143,A152,1,2
A11,A32,A44,3051,A123,A143,A152,1,2
A11,A32,A43,1823,A123,A142,A152,1,2
A11,A32,A43,1366,A122,A143,A151,1,2
A12,A34,A46,1136,A124,A143,A153,2,2
A11,A34,A42,6229,A124,A143,A151,2,2
A11,A32,A44,1217,A121,A143,A152,1,2
A12,A30,A40,1778,A121,A143,A151,2,2
A11,A32,A43,2439,A121,A143,A152,1,2
A11,A34,A41,6331,A124,A143,A153,2,2
A12,A32,A41,4113,A123,A143,A151,1,2
A11,A32,A42,3446,A123,A143,A152,1,2
A11,A32,A41,3386,A124,A143,A153,1,2
A12,A33,A40,2225,A124,A141,A153,2,2
A14,A34,A49,2292,A123,A142,A152,2,2
A14,A32,A49,3914,A121,A141,A152,1,2
A11,A32,A40,1274,A121,A143,A152,1,2
A12,A34,A43,2520,A122,A143,A152,2,2
A12,A32,A42,3441,A123,A143,A151,1,2
A12,A32,A49,3915,A123,A143,A152,1,2
A14,A32,A49,4591,A122,A143,A152,3,2
A12,A32,A40,2150,A124,A141,A152,1,2
A12,A32,A40,6560,A122,A143,A152,1,2
A11,A31,A49,7685,A123,A143,A151,1,2
A11,A32,A46,795,A122,A143,A152,1,2
A11,A32,A42,6350,A122,A143,A152,1,2
A11,A32,A42,5179,A122,A143,A152,1,2
A14,A34,A40,7855,A121,A142,A152,2,2
A11,A32,A40,2579,A121,A143,A152,1,2
A11,A32,A46,448,A122,A143,A152,1,2
A11,A34,A46,8065,A124,A143,A152,2,2
A11,A34,A40,4843,A122,A143,A151,2,2
A12,A30,A43,3804,A123,A143,A152,1,2
A11,A32,A40,654,A123,A143,A152,1,2
A14,A30,A49,4165,A123,A142,A152,2,2
A12,A31,A46,1837,A124,A141,A153,1,2
A11,A30,A40,1082,A123,A141,A152,2,2
A12,A33,A43,1919,A124,A142,A152,2,2
A11,A30,A42,7119,A124,A143,A153,2,2
A11,A34,A40,2625,A122,A141,A151,1,2
A11,A32,A40,976,A123,A143,A152,1,2
A11,A32,A43,2600,A124,A143,A153,2,2
A11,A32,A42,3108,A122,A143,A152,1,2
A11,A32,A40,1381,A122,A143,A152,1,2
A11,A32,A43,709,A121,A142,A152,1,2
A11,A32,A40,3931,A124,A143,A153,1,2
A11,A32,A42,2406,A121,A143,A151,1,2
A12,A34,A46,1501,A123,A143,A152,2,2
A12,A32,A40,1295,A123,A143,A151,1,2
A11,A33,A46,3414,A122,A143,A152,2,2
A11,A32,A40,1207,A122,A143,A151,1,2
A12,A30,A49,14421,A123,A143,A152,1,2
A12,A32,A41,12976,A124,A143,A153,1,2
A11,A32,A40,4006,A123,A143,A152,1,2
A14,A32,A42,4611,A122,A143,A152,1,2
A11,A30,A41,4605,A124,A143,A153,2,2
A12,A34,A40,5234,A123,A143,A152,2,2
A11,A32,A43,674,A122,A143,A152,1,2
A11,A32,A40,1842,A123,A143,A152,1,2
A14,A32,A45,1943,A121,A143,A152,1,2
A12,A32,A40,14318,A124,A143,A153,1,2
A11,A32,A43,3965,A123,A143,A152,1,2
A14,A32,A42,10974,A123,A143,A152,2,2
A11,A31,A43,2149,A124,A143,A153,1,2
A14,A33,A45,1555,A124,A143,A153,2,2
A12,A31,A49,6416,A124,A143,A151,1,2
A12,A32,A42,918,A122,A143,A152,1,2
A11,A32,A42,2473,A123,A143,A152,1,2
A12,A32,A40,1355,A123,A143,A152,1,2
A12,A31,A410,14782,A124,A141,A153,2,2
A14,A32,A40,1309,A122,A143,A152,1,2
A11,A32,A41,8335,A124,A143,A153,1,2
A14,A33,A49,9572,A123,A143,A152,2,2
A12,A32,A42,1922,A122,A143,A152,1,2
A12,A32,A40,1042,A122,A143,A152,1,2
A12,A31,A40,1264,A122,A143,A151,1,2
A14,A33,A40,2538,A123,A143,A152,2,2
A14,A33,A49,8648,A123,A141,A152,2,2
A12,A32,A46,12612,A124,A143,A153,1,2
A11,A32,A46,684,A123,A143,A151,1,2
A14,A31,A41,7485,A121,A141,A152,1,2
A14,A34,A46,1864,A121,A143,A152,2,2
A11,A34,A40,1199,A123,A143,A152,2,2
A14,A34,A40,10127,A124,A141,A153,1,2
A12,A34,A42,1928,A121,A143,A152,2,2
A12,A32,A46,6288,A124,A143,A153,1,2
A13,A32,A43,4210,A123,A143,A152,1,2
A14,A32,A40,1386,A122,A143,A152,1,2
A11,A32,A42,3345,A122,A143,A151,1,2
A12,A31,A46,433,A122,A141,A151,1,2
A14,A32,A42,2210,A121,A141,A151,1,2
A12,A32,A42,959,A123,A143,A152,1,2
A12,A32,A43,1484,A121,A143,A152,1,2
A13,A32,A43,2327,A121,A143,A152,1,2
A12,A34,A43,4746,A122,A143,A152,2,2
A12,A30,A410,18424,A122,A141,A152,1,2
A12,A34,A42,5096,A123,A143,A152,1,2
A14,A34,A40,1530,A122,A141,A152,2,2
A12,A34,A43,1245,A123,A143,A152,1,2
A12,A32,A43,5951,A121,A143,A152,1,2
A12,A30,A42,2969,A122,A143,A151,2,2
A11,A32,A40,4817,A122,A143,A152,1,2
A12,A32,A42,1237,A121,A143,A152,1,2
A11,A32,A40,3959,A122,A143,A152,1,2
A11,A32,A40,7763,A124,A141,A153,1,2
A14,A34,A40,2775,A122,A141,A152,2,2
A12,A34,A42,8386,A122,A143,A152,1,2
A11,A32,A40,1228,A121,A143,A152,1,2
A11,A32,A49,4308,A122,A143,A151,1,2
A12,A32,A43,1534,A121,A143,A151,1,2
A12,A32,A42,1924,A121,A143,A151,1,2
A11,A32,A43,3190,A121,A143,A152,1,2
A11,A32,A42,1131,A123,A143,A152,1,2
A12,A32,A43,6468,A124,A143,A152,1,2
A12,A34,A40,2820,A123,A143,A152,2,2
A12,A30,A40,2278,A123,A143,A152,2,2
A11,A32,A48,902,A122,A143,A151,1,2
A12,A32,A40,685,A123,A141,A152,1,2
A12,A33,A46,6224,A124,A143,A153,1,2
A13,A32,A42,2864,A121,A143,A152,1,2
A11,A32,A40,1442,A123,A143,A151,2,2
A11,A32,A40,1372,A123,A143,A152,1,2
A12,A30,A49,1953,A124,A143,A153,1,2
A13,A33,A49,1908,A121,A143,A152,1,2
A11,A32,A40,759,A121,A143,A152,1,2
A11,A34,A42,3384,A121,A143,A151,1,2
A12,A32,A40,14027,A124,A143,A152,1,2
A11,A32,A42,2462,A123,A143,A152,1,2
A12,A34,A42,4736,A123,A141,A152,1,2
A11,A32,A43,6999,A121,A143,A152,2,2
A12,A32,A43,802,A123,A143,A152,1,2
A12,A31,A40,1437,A124,A143,A152,1,2
A11,A32,A42,3234,A121,A143,A151,1,2
A11,A32,A44,1275,A123,A143,A151,1,2
A12,A32,A42,9960,A123,A143,A152,1,2
A14,A30,A40,5003,A122,A141,A152,2,2
A14,A33,A49,7980,A123,A143,A151,2,2
A11,A32,A42,1282,A123,A143,A151,1,2
A12,A32,A40,2718,A122,A143,A151,1,2
A13,A30,A43,1337,A123,A143,A152,2,2
A12,A32,A40,888,A123,A141,A152,1,2
A12,A32,A40,2631,A123,A143,A151,2,2
A11,A31,A42,1553,A123,A141,A152,1,2
A12,A31,A40,6850,A122,A143,A152,1,2
A11,A33,A43,1659,A123,A143,A151,1,2
A14,A32,A46,1819,A124,A142,A153,1,2
A14,A34,A43,797,A122,A141,A152,1,2
A11,A32,A42,2359,A122,A143,A152,1,2
A13,A34,A43,1271,A124,A143,A153,2,2
A11,A33,A40,1333,A121,A143,A153,2,2
A11,A32,A40,1371,A121,A143,A151,1,2
A12,A34,A43,1216,A124,A141,A152,2,2
A11,A32,A40,915,A123,A141,A152,1,2
A11,A34,A41,6143,A124,A142,A153,2,2
A11,A31,A40,1647,A122,A143,A152,2,2
A11,A33,A43,1024,A121,A142,A152,1,2
A12,A32,A43,3092,A123,A143,A151,1,2
A11,A30,A40,950,A123,A143,A151,2,2
A11,A32,A42,2996,A123,A143,A152,1,2
A14,A34,A42,7127,A122,A143,A151,2,2
A12,A30,A49,8318,A124,A143,A153,2,2
A11,A32,A40,8978,A122,A143,A152,1,2
A11,A31,A42,2746,A123,A141,A152,1,2
A11,A31,A42,3349,A124,A143,A153,1,2
A11,A32,A49,7297,A124,A143,A151,1,2
A11,A32,A41,7511,A122,A143,A153,1,2
A12,A32,A43,1331,A123,A142,A152,1,2
A12,A32,A43,2039,A122,A143,A152,1,2
A11,A32,A40,9271,A123,A143,A152,1,2
A12,A34,A40,4249,A123,A143,A152,2,2
