@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute InstallmentRate numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,42,4,A143,1,A192,2
A12,39,2,A143,2,A191,2
A11,12,4,A143,2,A191,2
A11,18,2,A143,3,A191,2
A12,12,4,A141,1,A191,2
A11,12,4,A143,1,A192,2
A12,24,1,A143,2,A191,2
A12,48,2,A143,1,A192,2
A14,10,2,A141,1,A191,2
A11,48,3,A143,2,A191,2
A12,24,3,A143,1,A192,2
A14,27,3,A143,1,A191,2
A13,9,3,A143,1,A191,2
A12,54,3,A143,1,A192,2
A12,18,2,A143,2,A191,2
A14,36,4,A143,2,A192,2
A11,45,2,A143,2,A191,2
A11,24,3,A143,2,A191,2
A12,30,4,A141,1,A191,2
A12,18,4,A143,1,A191,2
A12,24,2,A141,1,A191,2
A11,27,2,A142,2,A192,2
A13,24,4,A141,2,A191,2
A11,18,1,A143,1,A192,2
A14,18,3,A143,1,A191,2
A11,18,4,A143,2,A191,2
A11,18,4,A143,2,A191,2
A11,36,2,A143,1,A192,2
A13,18,4,A142,1,A191,2
A12,48,4,A143,1,A191,2
A12,36,1,A143,1,A192,2
A12,6,1,A143,1,A192,2
A11,36,4,A143,2,A192,2
A11,48,4,A142,3,A192,2
A12,18,4,A141,1,A192,2
A11,24,4,A143,1,A191,2
A11,9,3,A143,1,A191,2
A11,18,1,A141,1,A191,2
A12,12,1,A141,1,A192,2
A12,24,2,A141,2,A192,2
A12,48,3,A143,1,A191,2
A14,18,4,A143,1,A191,2
A11,48,4,A142,2,A191,2
A14,18,4,A143,2,A191,2
A11,24,4,A143,1,A191,2
A11,12,4,A143,1,A191,2
A12,18,4,A143,1,A191,2
A11,28,3,A143,1,A191,2
A12,60,4,A143,1,A191,2
A11,6,4,A143,1,A191,2
A12,6,4,A143,1,A192,2
A14,12,4,A142,2,A192,2
A11,36,4,A142,1,A192,2
A11,24,4,A143,1,A191,2
A14,48,2,A141,1,A191,2
A14,15,3,A143,1,A192,2
A12,15,2,A143,2,A192,2
A11,24,4,A143,2,A191,2
A11,14,1,A143,1,A192,2
A12,12,2,A141,1,A191,2
A14,21,4,A141,1,A191,2
A11,60,4,A143,1,A191,2
A11,6,1,A141,1,A192,2
A11,48,3,A143,2,A191,2
A12,9,4,A143,2,A191,2
A12,27,4,A143,1,A192,2
A11,24,4,A143,1,A191,2
A11,18,4,A143,1,A192,2
A11,24,1,A143,1,A191,2
A12,24,1,A143,1,A192,2
A14,18,4,A143,1,A191,2
A11,40,4,A141,1,A192,2
A12,18,3,A143,1,A192,2
A12,45,4,A143,2,A191,2
A12,12,2,A143,1,A192,2
A11,48,3,A143,1,A192,2
A11,12,4,A143,1,A191,2
A11,24,4,A142,1,A191,2
A11,12,2,A143,1,A191,2
A14,9,2,A143,2,A191,2
A12,27,4,A143,2,A191,2
A11,18,2,A143,1,A191,2
A12,48,2,A143,1,A192,2
A11,24,2,A141,1,A192,2
A12,30,4,A143,2,A191,2
A11,36,3,A143,1,A191,2
A12,15,1,A143,1,A192,2
A11,21,2,A143,2,A191,2
A14,48,2,A141,2,A191,2
A11,24,4,A143,1,A191,2
A12,9,4,A143,1,A192,2
A12,18,3,A141,2,A191,2
