@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,795,4,53,1,A191,2
A12,2762,1,25,1,A192,2
A12,15672,2,23,1,A192,2
A13,609,4,26,1,A191,2
A14,7855,4,25,2,A192,2
A12,4057,3,43,1,A192,2
A12,8318,2,42,2,A192,2
A12,918,4,30,1,A191,2
A11,684,4,40,1,A191,2
A12,1922,4,37,1,A191,2
A13,2327,2,25,1,A191,2
A14,1123,4,29,1,A191,2
A12,1670,4,22,1,A192,2
A11,8229,2,26,1,A191,2
A11,1845,4,23,1,A192,2
A11,709,4,57,1,A191,2
A13,947,4,38,1,A191,2
A11,2996,2,20,1,A191,2
A14,1555,4,55,2,A191,2
A12,3441,2,21,1,A191,2
A12,5234,4,28,2,A191,2
A11,1842,4,34,1,A192,2
A12,5129,2,74,1,A192,2
A14,2538,4,47,2,A191,2
A11,3552,3,27,1,A191,2
A11,2124,4,24,2,A191,2
A12,2039,1,22,1,A192,2
A14,2580,4,41,1,A191,2
A12,11328,2,29,2,A192,2
A13,745,3,28,1,A191,2
A11,3123,4,27,1,A191,2
A12,884,4,36,1,A192,2
A11,1282,2,20,1,A191,2
A11,14896,1,68,1,A192,2
A14,10127,2,44,1,A191,2
A12,11560,1,23,2,A191,2
A11,2712,2,41,1,A191,2
A11,6350,4,31,1,A191,2
A13,1908,4,66,1,A192,2
A12,1209,4,47,1,A192,2
A11,4817,2,31,1,A192,2
A11,11998,1,34,1,A192,2
A14,5943,1,44,2,A192,2
A11,750,4,27,1,A191,2
A11,4605,3,24,2,A191,2
A14,7485,4,53,1,A192,2
A12,1264,2,25,1,A191,2
A12,2718,3,20,1,A192,2
A12,685,2,25,1,A191,2
A11,2439,4,35,1,A192,2
A12,5951,2,22,1,A191,2
A12,1245,4,33,1,A191,2
A11,7685,2,37,1,A191,2
A12,12579,4,44,1,A192,2
A11,1274,3,37,1,A191,2
A14,1819,4,37,1,A192,2
A12,14421,2,25,1,A192,2
A11,2359,1,33,1,A191,2
A11,976,1,23,1,A191,2
A12,6468,2,52,1,A192,2
A14,2169,4,28,1,A192,2
A11,1193,1,29,2,A191,2
A14,2397,3,35,2,A192,2
A11,2625,2,43,1,A192,2
A12,802,4,37,1,A191,2
A12,1837,4,34,1,A191,2
A11,1987,2,21,1,A191,2
A14,2570,3,21,1,A191,2
A14,5003,1,29,2,A192,2
A12,6416,4,59,1,A191,2
A11,1285,4,32,1,A191,2
A14,4611,1,32,1,A191,2
A12,2767,4,61,2,A191,2
A14,2292,4,42,2,A192,2
A12,1216,4,38,2,A191,2
A11,6999,1,34,2,A192,2
A12,4280,4,26,2,A191,2
A11,3234,4,23,1,A192,2
A12,1355,3,25,1,A192,2
A11,1823,4,30,1,A191,2
A12,4249,4,28,2,A191,2
A11,2462,2,22,1,A191,2
A11,1553,4,44,1,A191,2
A12,6224,4,50,1,A191,2
A11,691,4,35,2,A191,2
