@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,A61,A122,49,A191,2
A11,A61,A124,68,A192,2
A11,A61,A121,28,A191,2
A12,A61,A121,24,A191,2
A11,A61,A122,35,A191,2
A11,A61,A121,57,A191,2
A14,A63,A124,44,A191,2
A11,A61,A122,32,A191,2
A11,A61,A123,33,A191,2
A12,A65,A121,25,A192,2
A12,A62,A123,27,A191,2
A14,A65,A122,29,A192,2
A12,A64,A124,32,A191,2
A13,A61,A123,34,A192,2
A11,A61,A121,24,A191,2
A12,A61,A123,30,A191,2
A12,A61,A121,25,A191,2
A14,A65,A123,44,A192,2
A12,A62,A124,29,A191,2
A14,A61,A123,33,A192,2
A12,A61,A124,27,A192,2
A11,A61,A124,27,A192,2
A11,A61,A123,36,A191,2
A14,A62,A123,31,A191,2
A11,A61,A122,24,A191,2
A13,A61,A121,34,A191,2
A14,A61,A122,31,A191,2
A11,A61,A121,34,A192,2
A11,A61,A121,21,A191,2
A11,A61,A124,58,A191,2
A12,A62,A123,21,A191,2
A11,A61,A122,31,A191,2
A12,A61,A122,25,A191,2
A13,A65,A121,37,A191,2
A12,A61,A124,38,A192,2
A14,A64,A122,54,A192,2
A11,A62,A122,20,A191,2
A12,A62,A122,25,A191,2
A14,A61,A122,32,A191,2
A11,A61,A121,44,A192,2
