@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Property {A121,A122,A124,A123}
@attribute NCredits numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A34,A42,4526,A72,A121,2,A201,1
A32,A42,1577,A72,A121,1,A201,1
A32,A43,790,A73,A121,1,A201,1
A32,A40,1393,A73,A121,1,A201,1
A34,A42,14179,A74,A122,2,A201,1
A33,A41,8947,A74,A123,1,A201,1
A34,A40,2463,A74,A122,2,A201,1
A32,A43,5595,A73,A123,1,A201,2
A30,A49,15945,A72,A124,1,A201,2
A32,A40,1386,A73,A122,1,A201,2
A31,A42,6872,A72,A122,1,A201,2
A32,A43,1987,A73,A121,1,A201,2
A33,A40,2538,A75,A123,2,A201,2
A32,A40,12389,A73,A124,1,A201,2
A32,A42,1282,A73,A123,1,A201,2
A32,A43,802,A75,A123,1,A201,2
A32,A40,1309,A73,A122,1,A201,2
A32,A43,6999,A74,A121,2,A201,2
A32,A46,750,A71,A121,1,A201,2
A31,A49,3161,A73,A122,1,A201,2
A32,A45,2384,A72,A124,1,A201,2
A32,A40,4817,A74,A122,1,A201,2
A32,A43,10961,A74,A124,2,A201,2
A32,A42,2406,A74,A121,1,A201,2
A31,A40,1193,A71,A124,2,A201,2
A32,A41,11560,A73,A123,2,A201,2
A32,A40,7408,A72,A122,1,A201,2
A30,A42,7119,A73,A124,2,A201,2
A32,A40,1842,A72,A123,1,A201,2
A30,A40,1778,A72,A121,2,A201,2
A32,A40,3931,A74,A124,1,A201,2
A32,A42,3349,A73,A123,1,A201,2
A32,A40,14555,A71,A122,1,A201,2
A30,A49,11816,A75,A123,2,A201,2
A32,A40,947,A74,A124,1,A201,2
A34,A46,1501,A75,A123,2,A201,2
A32,A42,959,A73,A123,1,A202,2
A33,A46,3414,A72,A122,2,A201,2
A31,A42,3552,A74,A123,1,A201,2
A31,A49,609,A72,A121,1,A201,2
A32,A43,5951,A73,A121,1,A201,2
A32,A41,7511,A75,A122,1,A201,2
A32,A42,2712,A75,A122,1,A201,2
A34,A43,2520,A73,A122,2,A201,2
A34,A46,8065,A73,A124,2,A201,2
A32,A43,2302,A73,A123,1,A201,2
A30,A43,1337,A72,A123,2,A201,2
A32,A42,1924,A72,A121,1,A201,2
A32,A40,4006,A73,A123,1,A201,2
A30,A49,8318,A75,A124,2,A201,2
A32,A41,12976,A71,A124,1,A201,2
A32,A46,684,A73,A123,1,A201,2
A32,A43,1282,A73,A123,1,A201,2
A31,A410,14782,A75,A124,2,A201,2
A32,A42,2473,A71,A123,1,A201,2
A30,A43,3804,A73,A123,1,A201,2
A32,A40,1422,A72,A124,1,A201,2
A33,A42,1808,A74,A121,1,A201,2
A32,A43,1331,A72,A123,1,A201,2
A32,A41,3386,A75,A124,1,A201,2
A34,A40,2775,A74,A122,2,A201,2
A34,A42,2246,A75,A122,2,A201,2
A34,A42,7127,A72,A122,2,A201,2
A32,A43,3190,A73,A121,1,A201,2
A32,A40,3959,A73,A122,1,A201,2
A33,A49,2580,A72,A121,1,A201,2
A32,A40,2718,A73,A122,1,A201,2
A32,A43,3031,A73,A122,1,A201,2
A32,A40,2579,A72,A121,1,A201,2
A32,A40,1207,A72,A122,1,A201,2
A32,A40,1381,A73,A122,1,A201,2
A32,A40,1371,A73,A121,1,A201,2
A32,A40,1216,A72,A123,1,A201,2
A32,A43,3092,A72,A123,1,A201,2
A32,A40,14896,A75,A124,1,A201,2
A32,A40,1274,A72,A121,1,A201,2
A32,A43,6758,A73,A123,1,A201,2
A30,A49,5293,A71,A122,2,A201,2
A32,A40,654,A73,A123,1,A201,2
A30,A49,1953,A75,A124,1,A201,2
A32,A42,2210,A73,A121,1,A201,2
A30,A410,18424,A73,A122,1,A202,2
A32,A42,1237,A73,A121,1,A201,2
A34,A42,1928,A72,A121,2,A201,2
A34,A40,4249,A71,A123,2,A201,2
A34,A40,2820,A72,A123,2,A201,2
A33,A46,6887,A73,A122,1,A201,2
A32,A43,1345,A73,A121,1,A201,2
A31,A49,6416,A75,A124,1,A201,2
A31,A42,2746,A75,A123,1,A201,2
A32,A42,3446,A75,A123,1,A201,2
A32,A43,7174,A74,A123,1,A201,2
A30,A49,4241,A73,A121,3,A201,2
A32,A40,976,A72,A123,1,A201,2
A31,A40,1442,A74,A124,2,A201,2
A32,A43,2327,A72,A121,1,A201,2
A34,A49,1935,A75,A121,2,A201,2
A34,A45,1190,A71,A124,3,A201,2
A34,A40,3499,A73,A121,2,A201,2
A32,A46,719,A75,A123,1,A201,2
A32,A42,3108,A72,A122,1,A201,2
A34,A40,1199,A75,A123,2,A201,2
A31,A41,7485,A71,A121,1,A201,2
A34,A41,6331,A75,A124,2,A201,2
A32,A46,1977,A75,A124,1,A201,2
A32,A43,433,A71,A121,1,A201,2
A33,A43,4370,A74,A122,2,A201,2
A32,A46,12612,A73,A124,1,A201,2
A32,A42,1533,A72,A122,1,A201,2
A32,A43,2039,A72,A122,1,A201,2
A32,A46,4623,A73,A122,1,A201,2
A31,A42,1553,A73,A123,1,A201,2
A34,A46,2319,A72,A123,1,A201,2
A33,A43,4463,A73,A123,2,A201,2
A33,A45,1512,A73,A122,2,A201,2
A33,A42,4297,A75,A124,1,A201,2
A33,A45,1555,A75,A124,2,A201,2
A34,A40,884,A75,A123,1,A201,2
A32,A43,2671,A73,A124,1,A201,2
A32,A43,766,A73,A121,1,A201,2
A34,A42,5096,A73,A123,1,A201,2
A32,A49,2767,A75,A123,2,A201,2
A32,A43,1823,A71,A123,1,A201,2
A31,A49,7685,A74,A123,1,A201,2
A34,A40,7855,A73,A121,2,A201,2
A32,A42,3234,A72,A121,1,A201,2
A32,A43,2397,A75,A123,2,A201,2
A32,A40,1246,A72,A121,1,A201,2
A32,A42,4611,A72,A122,1,A201,2
A32,A43,2600,A73,A124,2,A201,2
A32,A43,1366,A72,A122,1,A201,2
A30,A42,4110,A75,A124,2,A201,2
A34,A46,1864,A73,A121,2,A201,2
A33,A49,6836,A75,A124,2,A201,2
A30,A45,1108,A74,A121,2,A201,2
A30,A43,6199,A73,A122,2,A201,2
A34,A40,2625,A75,A122,1,A201,2
A32,A49,1188,A75,A122,1,A201,2
A30,A40,1082,A73,A123,2,A201,2
A34,A43,1216,A72,A124,2,A201,2
A32,A41,8335,A75,A124,1,A201,2
A34,A41,9629,A74,A123,2,A201,2
A32,A49,7297,A75,A124,1,A201,2
A32,A42,918,A73,A122,1,A201,2
A34,A40,3966,A75,A121,3,A201,2
A34,A43,4746,A72,A122,2,A201,2
A34,A46,5998,A73,A124,1,A201,2
A32,A43,3621,A75,A123,2,A201,2
A33,A49,9572,A72,A123,2,A201,2
A32,A45,11998,A72,A124,1,A201,2
A32,A40,900,A73,A123,1,A201,2
A32,A40,915,A75,A123,1,A201,2
A32,A40,1042,A73,A122,1,A201,2
A32,A42,6350,A75,A122,1,A201,2
A32,A40,685,A74,A123,1,A201,2
A32,A45,639,A73,A123,1,A201,2
A32,A46,6288,A73,A124,1,A201,2
A32,A43,1938,A72,A122,1,A201,2
A33,A49,2169,A73,A123,1,A201,2
A32,A43,727,A72,A124,1,A201,2
A33,A40,8086,A75,A123,4,A201,2
A31,A40,697,A72,A123,2,A201,2
A32,A40,1285,A74,A124,1,A201,2
A32,A42,1131,A71,A123,1,A201,2
A34,A40,939,A74,A121,3,A201,2
A32,A40,1228,A73,A121,1,A201,2
A33,A49,2145,A74,A123,2,A201,2
A33,A40,1209,A71,A122,1,A201,2
A33,A40,1333,A71,A121,2,A201,2
A34,A40,10127,A73,A124,1,A201,2
A32,A40,1295,A72,A123,1,A201,2
A31,A410,1358,A75,A123,1,A201,2
A33,A46,6224,A75,A124,1,A201,2
A32,A43,1534,A72,A121,1,A201,2
A32,A48,902,A74,A122,1,A201,2
A32,A41,10297,A74,A124,3,A201,2
A30,A49,14421,A73,A123,1,A201,2
A34,A42,4736,A72,A123,1,A201,2
A34,A42,3384,A73,A121,1,A201,2
A32,A44,1217,A73,A121,1,A201,2
A32,A40,1223,A75,A121,2,A201,2
A34,A43,1245,A73,A123,1,A201,2
A34,A43,797,A75,A122,1,A201,2
A32,A49,4591,A73,A122,3,A201,2
A31,A40,6458,A75,A124,2,A201,2
A32,A41,12579,A75,A124,1,A201,2
A31,A40,1437,A74,A124,1,A201,2
A32,A40,9271,A74,A123,1,A201,2
A31,A40,1264,A73,A122,1,A201,2
A32,A42,4057,A74,A123,1,A201,2
A32,A42,2762,A75,A122,1,A201,2
A32,A42,951,A72,A123,4,A201,2
A32,A40,759,A74,A121,1,A201,2
A32,A49,3914,A73,A121,1,A201,2
A32,A42,9960,A72,A123,1,A201,2
A31,A43,626,A73,A121,1,A201,2
A30,A49,4280,A73,A123,2,A201,2
A32,A43,2439,A72,A121,1,A201,2
A32,A44,3051,A73,A123,1,A201,2
A31,A40,931,A72,A122,1,A201,2
A31,A43,2149,A73,A124,1,A201,2
A31,A43,1546,A74,A123,1,A201,2
A32,A43,709,A75,A121,1,A201,2
A34,A40,1530,A73,A122,2,A201,2
A32,A43,5943,A72,A123,2,A201,2
A34,A41,6143,A75,A124,2,A201,2
A32,A42,2359,A71,A122,1,A201,2
A34,A410,11938,A73,A123,2,A201,2
A32,A44,741,A71,A122,1,A201,2
A32,A40,6761,A73,A123,2,A201,2
A33,A49,8648,A72,A123,2,A201,2
A34,A40,4843,A75,A122,2,A201,2
A34,A40,691,A75,A122,2,A201,2
A34,A40,1344,A74,A121,2,A201,2
A32,A43,674,A74,A122,1,A201,2
A32,A42,2996,A73,A123,1,A201,2
A32,A42,2462,A73,A123,1,A201,2
A32,A41,4113,A72,A123,1,A201,2
A34,A49,2292,A71,A123,2,A201,2
A32,A42,1123,A73,A123,1,A201,2
A32,A42,10974,A71,A123,2,A201,2
A32,A42,5179,A74,A122,1,A201,2
A32,A43,1478,A74,A123,1,A201,2
A32,A40,7763,A75,A124,1,A201,2
A34,A42,6229,A72,A124,2,A201,2
A32,A46,1819,A73,A124,1,A201,2
A30,A40,950,A75,A123,2,A201,2
A32,A40,836,A72,A122,1,A201,2
A32,A43,3965,A72,A123,1,A201,2
A31,A46,1837,A74,A124,1,A201,2
A31,A41,5129,A75,A124,1,A201,2
A32,A45,1943,A72,A121,1,A201,2
A32,A46,795,A72,A122,1,A201,2
A32,A49,4308,A72,A122,1,A201,2
A32,A42,3441,A73,A123,1,A201,2
A34,A42,8386,A74,A122,1,A201,2
A33,A42,2064,A71,A122,1,A201,2
A34,A40,12680,A75,A124,1,A201,2
A32,A42,9034,A72,A124,1,A201,2
A32,A43,1670,A72,A123,1,A201,2
A34,A42,4281,A73,A123,2,A201,2
A34,A46,1136,A75,A124,2,A201,2
A30,A42,3114,A72,A122,1,A201,2
A32,A40,2303,A75,A121,1,A201,2
A32,A410,11328,A73,A123,2,A201,2
A32,A42,2039,A73,A121,1,A201,2
A31,A46,1198,A75,A124,1,A201,2
A32,A49,15672,A73,A123,1,A201,2
A32,A43,1484,A73,A121,1,A201,2
A32,A41,8229,A73,A122,1,A201,2
A32,A40,2570,A73,A121,1,A201,2
A32,A40,3123,A72,A122,1,A201,2
A32,A40,2631,A73,A123,2,A201,2
A34,A41,11590,A73,A123,2,A201,2
A32,A46,448,A72,A122,1,A201,2
A30,A49,4165,A73,A123,2,A201,2
A32,A43,745,A73,A121,1,A201,2
A33,A40,2225,A75,A124,2,A201,2
A32,A42,3345,A75,A122,1,A201,2
A30,A42,2969,A72,A122,2,A201,2
A31,A40,6850,A71,A122,1,A201,2
A32,A40,1442,A74,A123,2,A201,2
A32,A43,1882,A73,A123,2,A201,2
A32,A44,1275,A73,A123,1,A201,2
A33,A43,1024,A72,A121,1,A201,2
A34,A40,2235,A73,A122,2,A202,2
A32,A43,1835,A73,A121,2,A201,2
A32,A49,4844,A71,A123,1,A201,2
A33,A43,1919,A72,A124,2,A201,2
A32,A43,1845,A73,A124,1,A201,2
A32,A42,1922,A73,A122,1,A201,2
A32,A40,14027,A74,A124,1,A201,2
A31,A42,3349,A72,A124,1,A201,2
A32,A42,4153,A73,A123,1,A201,2
A32,A40,1355,A72,A123,1,A201,2
A32,A40,2150,A73,A124,1,A201,2
A32,A40,14318,A75,A124,1,A201,2
